[2026-06-12 12:20:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[arXiv] 2026-06-11 | Accidental Symmetry in the Tavis-Cummings Model via the Schwinger Boson Representation
[arXiv] 2026-06-11 | Homotopy-Based Re-Initialization for Switched DAEs in Power System Transient Simulation
[arXiv] 2026-06-11 | A variable time-step, second-order, and MBP-preserving linear stabilized scheme for the time-fractional Allen-Cahn equation
[arXiv] 2026-06-11 | Pushing the Frontiers for Floating Solar Photovoltaics -- The Case for South America
[arXiv] 2026-06-11 | Orchestrating the Twin Transition in Multinational Corporations: Technology Roadmapping for Green and Digital Global Business Services
[arXiv] 2026-06-11 | The No-show Paradox in Single Transferable Vote under One-dimensional Preferences
[arXiv] 2026-06-11 | Constraining Kerr supermassive black hole properties using gravitational waves from inspiraling stellar-mass binary black holes
[arXiv] 2026-06-11 | ProPlay: Procedural World Models for Self-Evolving LLM Agents
[arXiv] 2026-06-11 | Rigel: Reverse-Engineering the Metal 4.1 Tensor Compute Path on the Apple M4 Max GPU
[arXiv] 2026-06-11 | NavWAM: A Navigation World Action Model for Goal-Conditioned Visual Navigation
[arXiv] 2026-06-11 | The ultra low-frequency spectral properties of bright extended radio galaxies in the 3CRR catalogue
[arXiv] 2026-06-11 | Power-weighted Hardy type integral inequalities with additional terms on finite intervals
[arXiv] 2026-06-11 | Exploring Systems-Thinking Approaches to Loss of Control Risk
[arXiv] 2026-06-11 | Khovanov homology: pro-tangles, derived colimits and spectral sequences
[arXiv] 2026-06-11 | $W-δ-μ$ dual codes and LCD codes
[arXiv] 2026-06-11 | A symmetry theorem for localizable steady solutions of the 3D Euler equations
[arXiv] 2026-06-11 | Symmetric Cooperative Motion in Higher Dimensions
[arXiv] 2026-06-11 | Real-Time Visualization of the Spatiotemporal Dynamics of 3D Solitons
[arXiv] 2026-06-11 | Clustering Node Attributed Networks with Graph Neural Networks and Self Learning
[arXiv] 2026-06-11 | S-GBT: Smooth Growth Bound Tensor for Certified Robustness Against Word Substitution Attacks in NLP
[arXiv] 2026-06-11 | Numerical Hints for Dyon Condensation at $θ=2π$ via Wilson-'t Hooft Loops in $SU(2)$ Yang-Mills Theory
[arXiv] 2026-06-11 | Dopant-induced modifications of the optical properties of GaSe
[arXiv] 2026-06-11 | On the class-breadth conjecture for $p>2$ -groups
[arXiv] 2026-06-11 | Kerr-induced nonreciprocal transparency and group delay in a hybrid cavity magnomechanical system
[arXiv] 2026-06-11 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[arXiv] 2026-06-11 | Geometry of non-Hermitian Yang--Mills moduli spaces
[arXiv] 2026-06-11 | Enhanced Photocurrent Response in Epitaxial 0.5PZT-0.5PFN Multiferroic Thin Films
[arXiv] 2026-06-11 | The Influence of Gain and Phase Mismatches on Beam Patterns in Phased Arrays
[arXiv] 2026-06-11 | On the holomorphy of the curvature of planar webs along an invariant curve
[arXiv] 2026-06-11 | Sizing of a grid-forming power converter to improve the small-signal stability of an LCC-HVDC system connected to a weak grid
[arXiv] 2026-06-11 | Stellar Population Spectra Incorporating Detailed Binary Evolution using POSYDON
[arXiv] 2026-06-11 | Finsler structure of Busemann G-spaces
[arXiv] 2026-06-11 | A Note About Algebraic $(s, t)$-Weak Tractability Of Linear Tensor Product Problems In The Worst-Case Setting
[arXiv] 2026-06-11 | Navigating the Safety-Fidelity Trade-off: Massive-Variate Time Series Forecasting for Power Systems via Probabilistic Scenarios
[arXiv] 2026-06-11 | Exploring Exotic Spin-Dependent Interactions Beyond the Standard Model: Theoretical Foundations and Experimental Investigations
[arXiv] 2026-06-11 | ReSum: Synergizing LLM Reasoning and Summarization with Reinforcement Learning
[arXiv] 2026-06-11 | Discrete Fourier Transform Approach to Cyclically Covering Subspaces of $\mathbb{F}^n_q$
[arXiv] 2026-06-11 | DuET: Dual Expert Trajectories for Diffusion Image Editing
[arXiv] 2026-06-11 | Automatic detection of Flare Ribbon Fine Structures as Proxies for Plasmoid Dynamics in Flare Reconnection
[arXiv] 2026-06-11 | See Selectively, Act Adaptively: Dual-Level Structural Decomposition for Bimanual Robot Manipulation
[arXiv] 2026-06-11 | Zero-Shot Captioning for Cultural Heritage: Automated Image Analysis of Traditional Indonesian Clothing
[arXiv] 2026-06-11 | Monotonicity of the rank functions for concave compositions
[arXiv] 2026-06-11 | TimeLens: On-Device Artifact Recognition with Retrieval-Augmented Question Answering for the Grand Egyptian Museum
[arXiv] 2026-06-11 | Selective stabilization of antiferromagnetic orders in FeTe films via local strain engineering
[arXiv] 2026-06-11 | Kubo-Martin-Schwinger conditions for non-Hermitian systems
[arXiv] 2026-06-11 | EvoArena: Tracking Memory Evolution for Robust LLM Agents in Dynamic Environments
[arXiv] 2026-06-11 | Morphology control and low-temperature magnetotransport in chiral 2D perovskite R-(MBA)$_2$PbI$_4$
[arXiv] 2026-06-11 | Robust Control of ECH Deposition Profiles on DIII-D
[arXiv] 2026-06-11 | Specifying Hardware Communication as Programs
[arXiv] 2026-06-11 | Orbital-optimized density functional calculations of excited electronic states: Recent advances and perspectives
[arXiv] 2026-06-11 | To Cool, or Not to Cool? Displacement Sensing with Hot Quantum States
[arXiv] 2026-06-11 | Operadic consistency: a label-free signal for compositional reasoning failures in LLMs
[arXiv] 2026-06-11 | Surflo: Consistent 3D Surface Flow Model with Global State
[arXiv] 2026-06-11 | Recursive Agent Harnesses
[arXiv] 2026-06-11 | Valid Inference with Synthetic Data via Task Exchangeability
[arXiv] 2026-06-11 | Generative Modeling of Bach-Style Symbolic Music: A Comparative Study of Autoregressive, Latent-Variable, and Adversarial Approaches
[arXiv] 2026-06-11 | Beyond Runtime Enforcement: Shield Synthesis as Defensibility Analysis for Adversarial Networks
[arXiv] 2026-06-11 | A Declining CVaR Glidepath Framework for Target-Date Fund Design with an Application to the Chilean Pension System
[arXiv] 2026-06-11 | First Measurement of Sub-GeV $ν_μ$ Charged-Current Coherent Pion Production on Argon in MicroBooNE
[arXiv] 2026-06-11 | Natural Supercooling and Reheating along Supersymmetric Flat Directions and Observable Gravitational Waves at the Einstein Telescope and the Cosmic Explorer
[arXiv] 2026-06-11 | Multiagent Protocols with Aggregated Confidence Signals
[arXiv] 2026-06-11 | ArogyaSutra: A Multi-Agent Framework for Multimodal Medical Reasoning in Indic Languages
[arXiv] 2026-06-11 | Lone-Pair-Induced Lattice Softness Enables Ultralow Thermal Conductivity in Hybrid Organic-Inorganic Perovskite GuaPbI$_3$
[arXiv] 2026-06-11 | Programmable Synthetic Motion at a Time-Varying Interface
[arXiv] 2026-06-11 | Asymptotic regimes for maximum likelihood estimation in the Ewens--Pitman model: When the strength parameter matters
[arXiv] 2026-06-11 | A ribbon ZX calculus for gauge theory
[arXiv] 2026-06-11 | When Does Mixing Help? Analyzing Query Embedding Interpolation in Multilingual Dense Retrieval
[arXiv] 2026-06-11 | AgentRivet: an automated system for producing Rivet routines from journal publications
[arXiv] 2026-06-11 | What's Old is New Again: Classical Dimensionality Reduction for Efficient Saliency-Guided Biometric Attack Detection
[arXiv] 2026-06-11 | Generalized Exact Fractional Quantum Information Model with Memory Effects
[arXiv] 2026-06-11 | Weak order: Alternating sign matrices, monotone triangles, and bumpless pipe dreams
[arXiv] 2026-06-11 | CloudCons: A Comprehensive End-to-End Benchmark for Cloud Resource Consolidation
[arXiv] 2026-06-11 | Skill vs Education Types of Labour Mismatch and Their Association with Earnings
[arXiv] 2026-06-11 | A refined thermodynamic analysis of nonsecular master equations
[arXiv] 2026-06-11 | Improving Robotic Generalist Policies via Flow Reversal Steering
[arXiv] 2026-06-11 | LAUKIN: A Multi-jurisdictional Common Law Contract Dataset
[arXiv] 2026-06-11 | Exact Relevant Stress-Tensor Flows and a Causality No-Go in Self-Dual Electrodynamics
[arXiv] 2026-06-11 | Ultrafast chiral sensing with an ultraviolet vector beam
[arXiv] 2026-06-11 | Feasibility of a Flexible, Hybrid Tokamak-Stellarator Experiment using an Axisymmetric Dipole Coil Array
[arXiv] 2026-06-11 | Observable Dependence of Viscous Corrections in QGP: Heavy Quarks and Dileptons in Chapman--Enskog Theory
[arXiv] 2026-06-11 | G-Long: Graph-Enhanced Memory Management for Efficient Long-Term Dialogue Agents
[arXiv] 2026-06-11 | Hadamard ill-Posedness of the linearised Prandtl Equations in Gevrey spaces
[arXiv] 2026-06-11 | Population dynamics of surface-mediated autocatalytic processes
[arXiv] 2026-06-11 | Interplay between inhomogeneous chiral and crystalline color-superconducting phases in the two-flavor NJL model
[arXiv] 2026-06-11 | Data-Driven Equation Discovery for Nonlinear Liquid Film Flows
[arXiv] 2026-06-11 | Hadron polarization and equation of state at FAIR/RHIC-BES energies
[arXiv] 2026-06-11 | Budget-Constrained Step-Level Diffusion Caching
[arXiv] 2026-06-11 | A proof of conjectures of Esterle and Ransford on negative powers of contractions
[arXiv] 2026-06-11 | New results on gauge field decomposition in SU(3) gluodynamics
[arXiv] 2026-06-11 | Point-Wise Geometry-Aware Transformer for Partial-to-Full Point Cloud Registration in Computer-Assisted Surgery
[arXiv] 2026-06-11 | Branching-selection particle systems and inverse first passage problems
[arXiv] 2026-06-11 | Impedance MPC with Patient-Torque Estimation for Knee Rehabilitation Exoskeletons
[arXiv] 2026-06-11 | A Stabilized Multilevel B-Spline-Based Fast Integral Method for the Solution of the Electric Field Integral Equation
[arXiv] 2026-06-11 | Towards a Control interpretation of Quantum Advantage
[arXiv] 2026-06-11 | Families of smooth Fano fourfolds of Picard rank 1 without Bott vanishing
[arXiv] 2026-06-11 | Ontology Memory-Augmented ASR Correction for Long Text-Speech Interleaved Conversations
[arXiv] 2026-06-11 | Reinforcement Learning for Neural Model Editing
[arXiv] 2026-06-11 | Integrable metrics with potentials on the Hardy space and a class of PDEs
[arXiv] 2026-06-11 | How Much Memory Do We Need? Adaptive Memory Gate for Neural Operators
[arXiv] 2026-06-11 | Japan's Possible Contributions for Coronagraph of the Habitable Worlds Observatory (HWO)
[arXiv] 2026-06-11 | Polarization-controlled transport of light in a two-dimensional waveguide
[arXiv] 2026-06-11 | Accelerating Speculative Diffusions via Block Verification
[arXiv] 2026-06-11 | Mitigating SAR-ADC Non-Idealities in Massive MU-MIMO Systems via Affine Models
[arXiv] 2026-06-11 | Towards Standardizing Affine Frequency Division Multiplexing (AFDM) for Future Wireless Networks
[arXiv] 2026-06-11 | Transport simulations with a constrained momentum-dependent Chiral Mean Field EoS at different iso-spin fractions
[arXiv] 2026-06-11 | An End-to-End Hybrid Framework for Rumour Detection in Low-Resources Algerian Dialect
[arXiv] 2026-06-11 | Person Identification from Contextual Motion
[arXiv] 2026-06-11 | A catalog of fast matrix multiplication algorithms with frontier-closure search
[arXiv] 2026-06-11 | Neuro-Symbolic Agents for Regulated Process Automation: Challenges and Research Agenda
[arXiv] 2026-06-11 | Characterizing the functional role of quantum coherence in energy transfer
[arXiv] 2026-06-11 | Feedback in Extragalactic Star Clusters (FEAST): Spectral Energy Distributions and the Physical Properties of Star Clusters in NGC 628 with CIGALE
[arXiv] 2026-06-11 | From 2D Yang-Mills to Calogero-Sutherland via a colored particle
[arXiv] 2026-06-11 | Who Pays the Price? Stakeholder-Centric Prompt Injection Benchmarking for Real-world Web Agents
[arXiv] 2026-06-11 | An LLM System for Autonomous Variational Quantum Circuit Design
[arXiv] 2026-06-11 | Experimental Design Space Exploration of Ultra-Low Threshold Hybrid III-V/Si Quantum Dot Microring Lasers
[arXiv] 2026-06-11 | IterCAD: An Iterative Multimodal Agent for Visually-Grounded CAD Generation and Editing
[arXiv] 2026-06-11 | Extended Frege proofs, circuits and rewriting
[arXiv] 2026-06-11 | The $(1 + 1)$-EA in Dynamic Environments
[arXiv] 2026-06-11 | IVIE: A Neuro-symbolic Approach to Incremental and Validated Generation of Interactive Fiction Worlds
[arXiv] 2026-06-11 | Improved Runtime Bound for the $(μ+ 1)$ EA on BinVal
[arXiv] 2026-06-11 | A smoothing extended sequential quadratic method for difference-of-convex optimization over a convex composite inequality constraint
[arXiv] 2026-06-11 | Dual-Domain Equivariant Generative Adversarial Network for Multimodal CT-PET Synthesis
[arXiv] 2026-06-11 | Reconstruction for an inverse scattering problem with a Kerr type nonlinearity
[arXiv] 2026-06-11 | Work Stealing for the 2D-Mesh Topology of Satellite Constellations in Low Earth Orbit
[arXiv] 2026-06-11 | Non-Parametric Dual-Manifold Mapping via 8-Bit Bounded Transformation Matrices: Challenging FP-centric Hardware Paradigms in Low-Energy AI
[arXiv] 2026-06-11 | Disclosure risk in a geo-spatial setting
[arXiv] 2026-06-11 | Learning light scattering from operator parameter spaces to Galerkin-consistent solution spaces
[arXiv] 2026-06-11 | SkillCAT: Contrastive Assessment and Topology-Aware Skill Self-Evolution for LLM Agents
[arXiv] 2026-06-11 | Masked and Predictive Self-Supervised Foundation Models for 3D Brain MRI
[arXiv] 2026-06-11 | A complete solution to the biased Alon-Krivelevich-Spencer-Szabó criterion problem for the discrepancy game
[arXiv] 2026-06-11 | Semiparametric Bayesian inference for causal mediation in cluster randomized trials
[arXiv] 2026-06-11 | The Sesquiharmonic Map Flow from Riemannian Surfaces
[arXiv] 2026-06-11 | Simultaneous Latent Budget Trees for Stratified Classification
[arXiv] 2026-06-11 | Understanding quantum behaviors of an electron in a uniform magnetic field alternatively
[arXiv] 2026-06-11 | Cross-Modal Masked Compositional Concept Modeling for Enhancing Visio-Linguistic Compositionality
[arXiv] 2026-06-11 | Once-for-All: Scalable Simultaneous Forecasting via Equilibrium State Estimation
[arXiv] 2026-06-11 | ERTS: Adversarial Robustness Testing of Ethical AI via Semantic Perturbation in a Bounded Consequence Space
[arXiv] 2026-06-11 | ProtoX-AD: Self-Explainable Time Series Anomaly Detection and Characterization
[arXiv] 2026-06-11 | Towards imaging Earth's large-scale structures by directional geoneutrino detection with Ocean Bottom Detector
[arXiv] 2026-06-11 | Frustration effects on the magnetization plateau physics in a trimerized quantum spin-1/2 chain
[arXiv] 2026-06-11 | ffdas: Volumetric ultrasound reconstruction at warp speed
[arXiv] 2026-06-11 | Towards Personalized Federated Learning for Dysarthric Speech Recognition
[arXiv] 2026-06-11 | New 12C/13C and 14N/15N isotopic ratio measurements in Jupiter's stratosphere revealed by ALMA
[arXiv] 2026-06-11 | Multi-Phase Optimization of Shared Charging Infrastructure for Freight Electrification
[arXiv] 2026-06-11 | The QR factorization of a Banded-Plus-Semiseparable Matrix is Computable with Linear Complexity
[arXiv] 2026-06-11 | Distributional Loss for Robust Classification
[arXiv] 2026-06-11 | Proprioceptive-visual correspondence enables self-other distinction in humanoid robots
[arXiv] 2026-06-11 | From Uncertain Judgments to Calibrated Rankings: Conformal Elo Estimation for LLM Evaluation
[arXiv] 2026-06-11 | Mitigating business risks from renewable PPA power sourcing uncertainties for European green hydrogen production: Robust system design, regulatory adjustments and offtake flexibility
[arXiv] 2026-06-11 | Hallucination in Medical Imaging AI: A Cross-Modality Analytical Framework for Taxonomy, Detection, and Mitigation under Regulatory Constraints
[arXiv] 2026-06-11 | On a local variant of the 12th Delfino problem -- the $Π$-side
[arXiv] 2026-06-11 | Understanding helpfulness and harmless tension in reward models
[arXiv] 2026-06-11 | Some results about spaceability in function spaces
[arXiv] 2026-06-11 | Reasoning for Mobile User Experience with Multimodal LLMs: Task, Benchmark, and Approach
[arXiv] 2026-06-11 | SICI: A Semantic-Pragmatic Complexity Index Reveals Regime Shifts in LLM Stance Detection
[arXiv] 2026-06-11 | Sketching Intersection Profiles: A Simple Proof and Three Applications
[arXiv] 2026-06-11 | Modern analog computing for solving differential and matrix equations
[arXiv] 2026-06-11 | Primitive Averages, Directional Expansivity, and Quantitative Twisted Recurrence for Ergodic $\mathbb{Z}^d$-Actions
[arXiv] 2026-06-11 | A Class of Multiparameter Signless Stirling Numbers of the First Kind and their $q$-Analogues
[arXiv] 2026-06-11 | On the Counting Sequence of Z-convex Polyominoes
[arXiv] 2026-06-11 | Decoding Crystallographic Surface Chirality with Machine Learning: From Atomic Geometry to Fermi Surface Projections
[arXiv] 2026-06-11 | MIDSim: Simulating Multi-Channel Information Diffusion in Social Media with LLM-Powered Multi-Agent System
[arXiv] 2026-06-11 | The Limits of Time
[arXiv] 2026-06-11 | Global Well-posedness and Regularity of the Dynamical Prandtl Equation
[arXiv] 2026-06-11 | Fully Distributed Multi-View 3D Tracking in Real-Time
[arXiv] 2026-06-11 | Beyond the Fundamental Metallicity Relation: galaxy sizes encode the link between inflow and metallicity
[arXiv] 2026-06-11 | Deep optical spectroscopic monitoring of the pulsating ULX NGC 1313 X-2 with longslit Gemini observations
[arXiv] 2026-06-11 | Disentangling the origin of degradation in perovskite solar cells via optical imaging and Bayesian inference
[arXiv] 2026-06-11 | FTP-1: A Generalist Foundation Tactile Policy Across Tactile Sensors for Contact-Rich Manipulation
[arXiv] 2026-06-11 | Functional Cache Grafting: Robust and Rapid Code-Policy Synthesis for Embodied Agents
[arXiv] 2026-06-11 | Unified MRI Brain Image Translation via Hierarchical Tumor Structure Comparison
[arXiv] 2026-06-11 | Balancing ASR and diarization in end-to-end LLMs for multi-talker speech recognition
[arXiv] 2026-06-11 | Field line slippage rate signatures in nonlinear force-free field extrapolations
[arXiv] 2026-06-11 | Multi-Objective Coevolution of Prompts and Templates for Circuit Approximation
[arXiv] 2026-06-11 | sebis at CRF Filling 2026: A Two-Stage Local LLM Pipeline for Medical CRF Filling
[arXiv] 2026-06-11 | Chemical signatures from the first stars embedded in metal-poor gas in galaxies at cosmic dawn
[arXiv] 2026-06-11 | Approximate Maximin Share with Subjective Divisibility: Beating the 1/2 Barrier
[arXiv] 2026-06-11 | Rings with Clean-Like Properties: Endomorphism, Matrix and Structural Theorems
[arXiv] 2026-06-11 | Irregular curvature at focal adhesions modulates Piezo1 activity and low frequency ultrasound induced apoptosis in cancer cells
[arXiv] 2026-06-11 | RoboProcessBench: Benchmarking Process-Aware Understanding in Vision-Language Robotic Manipulation
[arXiv] 2026-06-11 | Fault Lines: Navigating Ethics and Responsible AI Where National Policy Meets Local Practice in Public Sector Transformation
[arXiv] 2026-06-11 | Nous: An Attempt to Extract and Inject the Cognition Behind Prediction-Market Behavior
[arXiv] 2026-06-11 | TetherCache: Stabilizing Autoregressive Long-Form Video Generation with Gated Recall and Trusted Alignment
[arXiv] 2026-06-11 | A Quantum Algorithm for Random Number Generation
[arXiv] 2026-06-11 | SAM-Deep-EIoU: Selective Mask Propagation for Multi-Object Tracking
[arXiv] 2026-06-11 | Concavity and hot spots in elliptic problems under mixed boundary conditions
[arXiv] 2026-06-11 | SciR: A Controllable Benchmark for Scientific Reasoning in LLMs
[arXiv] 2026-06-11 | Stochastic Modeling of Composite Interfaces: Sensitivity to Spatial Correlation and Bayesian Identification from Standard Fracture Tests
[arXiv] 2026-06-11 | Complete Calabi-Yau metrics on noncompact K3 fibered threefolds
[arXiv] 2026-06-11 | Bounds and Constructions of Maximum Toroidal Distance Codes
[arXiv] 2026-06-11 | The Illusion of Multi-Agent Advantage
[arXiv] 2026-06-11 | SoK: The Constant Time Model
[arXiv] 2026-06-11 | Efficient emulation of nuclear ground states with neural-network variational Monte Carlo and eigenvector continuation
[arXiv] 2026-06-11 | GenHOI: Contact-Aware Humanoid-Object Interaction by Imitating Generated Videos without Task-Specific Training
[arXiv] 2026-06-11 | DeepJEB++: Foundation Model-Driven Large-Scale 3D Engineering Dataset via 2D Latent Space Augmentation
[arXiv] 2026-06-11 | Charge as a Construct-Validity Factor in Chinese Legal Case Retrieval: A Cross-Benchmark Audit
[arXiv] 2026-06-11 | Efficient, Robust, and Anti-Collusion Fingerprinting of Image Diffusion Models
[arXiv] 2026-06-11 | The reverse mathematics of the Ordered Variable Word theorem
[arXiv] 2026-06-11 | A Delayed Multi-channel Progenitor for Apparently Nonrepeating Fast Radio Bursts
[arXiv] 2026-06-11 | Nucleon matrix elements of axial anomaly, axial currents and pseudoscalar currents in the QCD sum rule
[arXiv] 2026-06-11 | Gravitational wave background from extreme-mass-ratio inspirals
