[2026-08-19 09:35:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-18
正在获取论文...
[arXiv] 2026-08-18 | Quantum simulation of slow analytic time-dependent Hamiltonians
[arXiv] 2026-08-18 | Finite Time Type I Singularities of the Kähler Ricci Flow
[arXiv] 2026-08-18 | EATR-Stereo: Embodiment-Aware Routing of Paired Stereo Evidence for Humanoid Vision-Language-Action Control
[arXiv] 2026-08-18 | FESC: Remodeling Long-Context Private Inference with Encrypted State-Space Models
[arXiv] 2026-08-18 | The Long-Term Effects of British and French Colonization in Africa on Trust in Traditional Leaders
[arXiv] 2026-08-18 | Task-Aware Harness Provisioning for LLM Agents in Mission-Critical Infrastructure Operations
[arXiv] 2026-08-18 | SemComp-Bench: Benchmarking Semantic Task Completion in Video Generation
[arXiv] 2026-08-18 | Fiber Nonlinearity Compensation of Coherent Signals Using Deep Photonic Reservoir Computer
[arXiv] 2026-08-18 | Bi-Layer Ant Colony Optimization for Multi-Robot Task Allocation and Routing in Delivery Applications
[arXiv] 2026-08-18 | Motivic nearby functors on perverse Nori motives
[arXiv] 2026-08-18 | A higher-derivative model predicts a smoothness vs duration relationship in head-pointing movements
[arXiv] 2026-08-18 | The Zonotopic Mixture Filter
[arXiv] 2026-08-18 | Suslin's cancellation conjecture on smooth real affine varieties with few real points
[arXiv] 2026-08-18 | VisDocAgentBench: Benchmarking Agents for Visually Rich Document Retrieval
[arXiv] 2026-08-18 | CFB-GBM v2.0: An Augmented Longitudinal Dataset for Multi-Modal Glioblastoma Segmentation, Radiomics, and RANO Progression Tracking
[arXiv] 2026-08-18 | Area-Preserving Parameterization: Variational Principle, Gradient Flow, and Discrete Approximation
[arXiv] 2026-08-18 | A note on definable endomorphisms of ordered abelian groups
[arXiv] 2026-08-18 | Limiting eigenvalue distribution and entropy of multi-Toeplitz matrices
[arXiv] 2026-08-18 | Graph-Adaptive Horseshoe for Compositional Regression
[arXiv] 2026-08-18 | Rerootable Hypertree Decompositions
[arXiv] 2026-08-18 | Efficient Resource Optimization for Split Federated Learning
[arXiv] 2026-08-18 | Duality-Based $\textit{A Posteriori}$ Error Identities for Subgradient Flows Based on the Brézis-Ekeland-Nayroles Principle
[arXiv] 2026-08-18 | Investigation of the Asymptotic Properties of Active Impedance in Large Finite Array Antennas
[arXiv] 2026-08-18 | Encoded but Not Actionable: Auditing the Decode-Generate-Steer Gap in Frozen LLMs for Geometric Constraints
[arXiv] 2026-08-18 | Elliptic spin Ruijsenaars-Schneider integrable models from 5d $\mathcal{N}=1$ gauge theories
[arXiv] 2026-08-18 | Leveraging Association Context Retrieval in Knowledge Edit- ing to Build White-Box Attacks on LLMs
[arXiv] 2026-08-18 | Variational r-Adaptive Cloth Simulation
[arXiv] 2026-08-18 | MotoSafety: Edge-AI with Learned Temporal Importance for Two-Wheeler Collision Risk Assessment Under Time Pressure
[arXiv] 2026-08-18 | Witt rings, Pfister forms, and equivariant birational geometry
[arXiv] 2026-08-18 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation
[arXiv] 2026-08-18 | Second-pole wall periods for Witten zeta functions in the classical families
[arXiv] 2026-08-18 | Self-Consistent Adjoint Policy Iteration for Constrained Dynamic Portfolio Choice
[arXiv] 2026-08-18 | Threat Aware Task Offloading and Caching for Secure UAV Assisted Vehicular Consumer Electronics
[arXiv] 2026-08-18 | Deformations and homotopy theory of Rota-Baxter Lie algebras
[arXiv] 2026-08-18 | Polarization-Dependent Raman Selection Rules in Sb$_2$S$_3$ from First Principles and Experiment
[arXiv] 2026-08-18 | Preference Is Not Intervention: The Structure and Stability Boundaries of Reader-Specific Evidence Utility
[arXiv] 2026-08-18 | Strict Monotonicity of Numerical Invariants for the Submodules $[(z-w)^k]$ in $H^2(\mathbb D^2)$
[arXiv] 2026-08-18 | Entropy mapping under uniaxial pressure utilizing the elastocaloric effect
[arXiv] 2026-08-18 | Electromagnetic World Model for 6G: A Unified Framework for Joint Environment Reconstruction and Channel Prediction
[arXiv] 2026-08-18 | Stationary periodic solutions for nonlinear Dirac equations with non-coercive nonlinearity II: splitting
[arXiv] 2026-08-18 | Rheology and Dynamic Arrest in Colloidal Depletion Gels Mediated by Surface Brush Density
[arXiv] 2026-08-18 | Study of Existence and Stability of Fixed Points of Hypotenuse Contracting Mappings with Applications to Parabolic PDE
[arXiv] 2026-08-18 | Advancing Inclusivity in Cybersecurity Education: Integrating Intersectionality to Enhance Student Engagement in Australian Higher Education Curriculums Strategies, Barriers, and Future Directions
[arXiv] 2026-08-18 | Depth and Krull dimension of Binomial edge ideals
[arXiv] 2026-08-18 | On the Expressive Power of the Transverse-Field Ising Model for Graph Learning
[arXiv] 2026-08-18 | A strongly compact cardinal yields a left and right coherent ring with $\mathcal{PGF}(R)\subsetneq\mathcal{GP}(R)$
[arXiv] 2026-08-18 | A $5/8$ Lower Bound on the Banach-Mazur Distance to the Cross-Polytope
[arXiv] 2026-08-18 | Active learning molecular beam epitaxy of complex quantum materials
[arXiv] 2026-08-18 | The Roman Coronagraph Community Participation Program: Using the Zernike wavefront sensor for a full characterisation of the Roman Space Telescope and the Coronagraph Instrument
[arXiv] 2026-08-18 | Offline Multi-Agent Reinforcement Learning with a Physics-Informed World Model for Cooperative Mixed Traffic Control
[arXiv] 2026-08-18 | Vacancy-Driven Electronic Reconstruction in Monolayer PtSe$_2$: Formation Thermodynamics and Charge States
[arXiv] 2026-08-18 | Communicating Credit Risk with Large Language Models: Evaluation of Explanations from Standard and Alternative Data-Based Models
[arXiv] 2026-08-18 | Newton Support Functions and Metric Completion of Singular Conformal Metrics at Corners
[arXiv] 2026-08-18 | A Leakage-Proof Benchmark and Conformal Selective Triage for Electrohysterogram-Based Preterm Birth Prediction
[arXiv] 2026-08-18 | Big categorification on towers of classical groups and wreath product groups
[arXiv] 2026-08-18 | Neutron Interferometers from Stacked Holographic Photopolymer Gratings
[arXiv] 2026-08-18 | Influence of the ectonic emission mechanism on the collisionless expansion of a multicomponent cathode plasma
[arXiv] 2026-08-18 | On the p-adic Wirsing problem
[arXiv] 2026-08-18 | Statistical Characterization and Block-EM Estimation of Frequency-Domain NSI for OFDM Systems in Bursty Impulsive Noise
[arXiv] 2026-08-18 | Precise Measurement of $δ$ at LBNE Using Only The Neutrino Sector
[arXiv] 2026-08-18 | A Characterization of Measures of Concordance of Degree Two
[arXiv] 2026-08-18 | On Robust Alpha-Damping Viscous Scheme
[arXiv] 2026-08-18 | Quantum sensors that compute: quantum computational magnetic-field sensing using a superconducting qubit
[arXiv] 2026-08-18 | To Remove or Not to Remove Clouds: A Comparative Analysis and Fusion of Raw SAR and Synthetic NDWI for Overcast Water Segmentation
[arXiv] 2026-08-18 | Quantized Volume Comparison for Fano Manifolds, II
[arXiv] 2026-08-18 | Leveraging generative hallucination and biophysics-informed modeling for unified biomolecular sequence-structure co-design
[arXiv] 2026-08-18 | PTXBench: Benchmark and Adapt LLMs for GPU Kernel Optimization with Architecture-specific PTX
[arXiv] 2026-08-18 | Ostrogradsky's Theorem is Incompatible with Background Independence in Quantum Gravity
[arXiv] 2026-08-18 | The Roman Coronagraph Community Participation Program: early calibration plan and pilot observation of a companion
[arXiv] 2026-08-18 | MoFE: A Novel Mixture-of-Experts Framework with Fourier Neural Operators for Cryptocurrency Forecasting
[arXiv] 2026-08-18 | LLM-Only PDDL Domain Repair with Open-Weight Models
[arXiv] 2026-08-18 | Entropy-type traces and moment expansions for the sine-kernel time-band limiting operator
[arXiv] 2026-08-18 | TileMix: Tile-Centric Mixed-Precision Attention for LLM Inference Acceleration
[arXiv] 2026-08-18 | Beyond Legal Spacing: A Residual-Aware Characterization of Entangling-Zone Spacing in Neutral-Atom Compilation
[arXiv] 2026-08-18 | Reconfiguration-Complete Motion Primitives with Constructive Planning for Deformable Planar Modular Robots
[arXiv] 2026-08-18 | The Distance Spectrum Does Not Determine Bipartiteness
[arXiv] 2026-08-18 | Lepton flavor violating decays $l_j \rightarrow l_iγ$ in the $U(1)_X$VLFM
[arXiv] 2026-08-18 | LiveHouse-TS: An Open-world Living Benchmark for Time Series Foundation Models
[arXiv] 2026-08-18 | Beyond MSE: Rethinking the Evaluation Metric and Benchmarking for Irregular Time Series Forecasting
[arXiv] 2026-08-18 | When Agents Act on Web3: An Attack-Surface Survey of MCP, Skills, and Tool Calling
[arXiv] 2026-08-18 | Bayesian Signaling and Entry Decisions under Uncertain Market Conditions
[arXiv] 2026-08-18 | Task-Based Evaluation of Raw Radar Data Compression: A Pre-Registered Study of Where Classical Codecs Fail to Preserve Target Detection, and Why
[arXiv] 2026-08-18 | A transfer principle for Steklov eigenvalue estimates of graphs
[arXiv] 2026-08-18 | Mirror Polyak and a Primal-Dual Lifting
[arXiv] 2026-08-18 | ADAPTD: Adaptive Detection and Proactive Threat Defense for Autonomous APT attacks
[arXiv] 2026-08-18 | Low-Depth and Noise-Resilient Quantum State Preparation for Partial Differential Equations via Virtual Rz
[arXiv] 2026-08-18 | Assessing Collision Probability in Low-Thrust Deorbit
[arXiv] 2026-08-18 | Small Cancellation Stability and Isomorphism Rigidity for Generic Finitely Presented Groups
[arXiv] 2026-08-18 | Structural Plan-to-Model Conversion with Deterministic Geometry and Guarded Agentic Vision-Language Refinement
[arXiv] 2026-08-18 | COMIC: Reference-Aware Safety Gating for Multimodal Large Language Models
[arXiv] 2026-08-18 | Delta2Gamma: Band-Wise Adaptive Contrastive Learning of EEG for Alzheimer's Disease Detection
[arXiv] 2026-08-18 | Dynamical protection of quantum steering and fidelity dynamics in double Jaynes-Cummings model
[arXiv] 2026-08-18 | Analytic Continuation of Conformal Integrals in Momentum Space
[arXiv] 2026-08-18 | Multi-Agent AI System for Radiology Report Structuring and Quality Assurance with Independent Radiologist Evaluation
[arXiv] 2026-08-18 | EDITBRIDGE: Towards Faithful and Efficient Ultra-High-Resolution Image Editing
[arXiv] 2026-08-18 | Counterexamples to Sato's Weak F-Equivalence Conjecture and a Gorenstein Refinement
[arXiv] 2026-08-18 | The instantaneous mass accretion rate of novae in quiescence: - an archival ultraviolet optical spectral analysis
[arXiv] 2026-08-18 | Imprints of Mass Accretion History on Galaxy Cluster Morphology
[arXiv] 2026-08-18 | Chain-of-Experience for Continual LLM Improvement
[arXiv] 2026-08-18 | Critical behavior and crossover scaling in the Light-Heavy model
[arXiv] 2026-08-18 | A Denotational Semantics for Synchronized Regular Expressions (extended version)
[arXiv] 2026-08-18 | Obstructions to intrinsic perturbation for $A$-hypergeometric series
[arXiv] 2026-08-18 | Conservation of Pseudoangular Momentum in the Radiative Emission and Optical Excitation of Valley-Polarized Surface Lattice Resonances
[arXiv] 2026-08-18 | Physics-Informed Learning of Probabilistic Gegenbauer Reconstruction for Transport-Dominated Problems
[arXiv] 2026-08-18 | Transporting Trial Evidence Under Posterior Drift and Possible Hidden Confounding
[arXiv] 2026-08-18 | AViTS: Adaptive Spatiotemporal Token Selection for Efficient Dynamic-Resolution Generation
[arXiv] 2026-08-18 | Generalized multivariate Fractal Interpolation Function and $α$-Fractal Function
[arXiv] 2026-08-18 | The Roman Coronagraph Community Participation Program: data reduction pipeline astrometric calibration
[arXiv] 2026-08-18 | When Writing Style Drifts: Benchmarking Authorship Verification under Distribution Shifts in Genre, Time and the AI-Era
[arXiv] 2026-08-18 | Volume Growth under Positive Intermediate Curvature and a Ricci Lower Bound
[arXiv] 2026-08-18 | Colour Blinded by the Noise
[arXiv] 2026-08-18 | Target Speaker Identification: A Low-Latency Streaming Pipeline
[arXiv] 2026-08-18 | Evaluating and improving crop-yield forecasting methods during extreme drought
[arXiv] 2026-08-18 | Quo Vadis? Scientific Discovery in the Age of Artificial Intelligence
[arXiv] 2026-08-18 | Hamiltonian dynamics for sampling on discrete spaces
[arXiv] 2026-08-18 | Mathematical modelling of immune persistence and relapse pathways in CAR T-cell therapy for B-ALL
[arXiv] 2026-08-18 | Gravitational Compton scattering at the fifth post-Minkowskian order
[arXiv] 2026-08-18 | Cross-Domain Generalization in Machine Unlearning via Label-Conditioned Energy Magnitude Regularization
[arXiv] 2026-08-18 | Efficient RLVR Scheduling via Graph-Structured Online Difficulty Estimation
[arXiv] 2026-08-18 | Beyond Instrument Motion: Recognizing Tissue Tension Toward Surgical Skill Assessment
[arXiv] 2026-08-18 | Collective Counterfactual Planning: Coordination, Consent, and Verification under Representational Constraints
[arXiv] 2026-08-18 | PerFact: Perception-Derived Fact Prompting for 3D Brain MRI Report Generation
[arXiv] 2026-08-18 | Vera C. Rubin LSST Synthetic Magnitudes derived from Gaia XP Spectra
[arXiv] 2026-08-18 | Hydrodynamics modeling of the water snow line in young protoplanetary disks with dust-size-dependent opacities
[arXiv] 2026-08-18 | Properties and applications of Lorentz--Muckenhoupt classes
[arXiv] 2026-08-18 | Gauge-constrained Spinon Complexes Near Deconfined Quantum Criticality
[arXiv] 2026-08-18 | Ribet bimodules and principally polarized superspecial abelian varieties with quaternion action
[arXiv] 2026-08-18 | A dimension-free weak-type $(1,1)$ bound for the vector Riesz transform on $\mathbb{R}^n$
[arXiv] 2026-08-18 | Body-of-Revolution Finite-Element Model of Plasmon-Enhanced Fluorescence
[arXiv] 2026-08-18 | Simplicial Volume and Scalar Curvature on Closed Kähler Surfaces
[arXiv] 2026-08-18 | An axion constraint from the diffuse supernova neutrino background indicated by Super-Kamiokande
[arXiv] 2026-08-18 | Cohomology for solutions of polygon equations
[arXiv] 2026-08-18 | Absence of nontrivial local conserved quantities in a class of $U(1)$-symmetric spin-1 chains
[arXiv] 2026-08-18 | Pulsed to continuous-wave quantum dot cavity-QED
[arXiv] 2026-08-18 | Quantifying Measurement Objectivity: A Retrodictive Approach
[arXiv] 2026-08-18 | Symmetric Differentials on K3 Surfaces
[arXiv] 2026-08-18 | The Last Mile of Deepfake Speech Detection: An Industry-Academia Experience Report
[arXiv] 2026-08-18 | CryptDough: A Unified Analytics Engine for Secure Multiparty Computation
[arXiv] 2026-08-18 | Effects of Answer Format Variation on Gender Bias in Large Language Models
[arXiv] 2026-08-18 | Dressed magnon dynamics in a Bose-Hubbard bath: retardation, pairing, entanglement and two-magnon scattering
[arXiv] 2026-08-18 | Policy Iteration for Linear-Quadratic Stochastic Differential Games with State- and Control-Dependent Noise
[arXiv] 2026-08-18 | Infinite-Horizon Inverse Linear-Quadratic Differential Games with State- and Control-Dependent Noise
[arXiv] 2026-08-18 | OOD Detection for EEG-based Machine Learning in High-Risk Environments
[arXiv] 2026-08-18 | Modified Bryson-Frazier Smoothing and Hyperparameter Learning for Temporal Gaussian Process Regression
[arXiv] 2026-08-18 | When AI Designs AI: Innovation or Imitation?
[arXiv] 2026-08-18 | Intra-atomic magnetic octupoles and their coupling to cluster magnetic octupoles in Chiral antiferromagnets Mn$_3$Sn
[arXiv] 2026-08-18 | Heat capacity as a marker for shape and jamming transitions in active systems
[arXiv] 2026-08-18 | Gravity and Matter from Soldered Chiral Superconnections
[arXiv] 2026-08-18 | A Residual Learning Approach for Unsteady Aerodynamic Load Prediction
[arXiv] 2026-08-18 | Abstract Simulation of Reaction Networks
[arXiv] 2026-08-18 | Thompson's Conjecture for Finite Simple Groups of Lie Type over Small Fields
[arXiv] 2026-08-18 | Exact and Heuristic Methods for $Γ$-Robust Min-Max Problems
[arXiv] 2026-08-18 | 3D simulations of magnetospheric accretion in T Tauri stars: I. Disk truncation, stellar torques, and application to observations
[arXiv] 2026-08-18 | Idealizing Useful Fictions in Omega Grounded Arithmetic
[arXiv] 2026-08-18 | A solid-state theory for dense cylindrical packings of balls
[arXiv] 2026-08-18 | Simulation tools for realistic high-order wavefront correction with the Roman Coronagraph
[arXiv] 2026-08-18 | Symbolic Regression for Interpretable Emulation of Proton Collective Flow in Intermediate-Energy Heavy-Ion Collisions
[arXiv] 2026-08-18 | Towards Rapid Prototyping of Spray Injectors: A Regime-Agnostic Neural Operator Surrogate for Gas-Liquid Interface Evolution
[arXiv] 2026-08-18 | Machine learning assisted Bayesian calibration of an accelerator digital twin from orbit response data
[arXiv] 2026-08-18 | Interpretable Humans, Alien LLMs: Expert Analysis of Latent Structures in Assessment Responses
[arXiv] 2026-08-18 | A geometric reformulation of the bilevel parameter optimization problem to a single level non-linear programming problem with applications to phase equilibria
[arXiv] 2026-08-18 | Scale Matters: Adaptive Granularity Selection for Cross-Species 3D Plant Organ Segmentation
[arXiv] 2026-08-18 | Fourth-Moment Geometry of Rademacher Sums
[arXiv] 2026-08-18 | StartupBench: Benchmarking General-Purpose Agents on Market-Validated End-to-End Workflows
[arXiv] 2026-08-18 | The Calderón problem for the infinity Laplacian with large affine boundary data
[arXiv] 2026-08-18 | Diff-DDoS: Realistic Cyber-Physical Attack Synthesis and Robust Detection for 5G-Enabled CPS Using Tabular Diffusion Models
[arXiv] 2026-08-18 | Interference Engineering for Quantum Imaginary-Time Evolution through Multiple Energy Shifts
[arXiv] 2026-08-18 | Optimal W-infinity Control of Prandtl-Ishlinskii Hysteresis Model via Weak Derivatives
[arXiv] 2026-08-18 | Anthropogenic Heat in Urban Climate Systems: Forcing, Sensitivity, and Feedback
[arXiv] 2026-08-18 | Resource Extraction from a Stochastic Population with Harvesting Quotas
[arXiv] 2026-08-18 | Training-Free Human-in-the-Loop Anomaly Detection via Memory Bank Correction
[arXiv] 2026-08-18 | Efficient Fuzzy PSI under One-Sided Assumptions
[arXiv] 2026-08-18 | Application of the Shape Design Method to Hidden Regularity of Degenerate Hyperbolic Equations with Degenerate Boundary
[arXiv] 2026-08-18 | Symmetric spaces over a finite ring
[arXiv] 2026-08-18 | Learnware for CSI Feedback: Scene-specific Small Models Can Do Big
[arXiv] 2026-08-18 | A (Purely) Graph-Theoretic Approach to Synchronization of Nonlinear Dynamical Networks
[arXiv] 2026-08-18 | MAGPIE-Net: Predicting short-duration heavy-rainfall events in station neighborhoods from multitemporal FY-4A AGRI observations
[arXiv] 2026-08-18 | Bridging ambient- and high-pressure superconductivity in La$_2$LnNi$_2$O$_7$ films
[arXiv] 2026-08-18 | Thinking in a Low-Resource Language: What SFT Builds, What RL Fixes, What Accuracy Cannot See
[arXiv] 2026-08-18 | eROSITA cosmology with galaxy groups: hot gas budget out to the virial radius
[arXiv] 2026-08-18 | An asymptotic solution to the Erdős four-edge intersection problem
[arXiv] 2026-08-18 | M-QAM MIMO Maximum-Likelihood Detection with QAOA: ML-Rate Offline Angle Design and Correlated Infinite-Size Spin-Glass Models
[arXiv] 2026-08-18 | Monitoring Pasture Restoration from Satellite Image Time Series: Caveats and Opportunities
[arXiv] 2026-08-18 | A Unified Quermassintegral Approach to Quasilinear Heat Dispersion and Loss
[arXiv] 2026-08-18 | Mixture-of-Expert Blocks Contain Strong Hallucination Detection Signals
[arXiv] 2026-08-18 | Auditing Self-Evolution in Financial Agents: Capability Gains, Security Drift, and Execution-Interface Mismatch
[arXiv] 2026-08-18 | Representations of twisted quantum affine algebras
[arXiv] 2026-08-18 | A Semi-Analytical Theory for Improved Orbit Design of the GARATÉA-L
[arXiv] 2026-08-18 | Vacuum Polarization in Quantum-Corrected and Effective Black Hole Geometries: a High Performance Approach
[arXiv] 2026-08-18 | GraphWake: Group Polarization via Memory-Mediated Polarization Cascade in LLM-Agent Communities
[arXiv] 2026-08-18 | An improved lower bound for Bloch's constant
[arXiv] 2026-08-18 | MobileWorldSafety: Benchmarking GUI Agent Safety Against Environmental Injection Attacks in Android Apps
[arXiv] 2026-08-18 | Noisy group neurons with synchronous resetting for high-performance spiking neural networks
[arXiv] 2026-08-18 | Scale Partitioning by Incremental Nested Entropy: A Measure-Oriented Theory of Multiscale Structure
[arXiv] 2026-08-18 | Maximum Flow Without the Outer IPM
[arXiv] 2026-08-18 | Fresnel diffraction imaging of surface nanostructure using coherent resonant X-ray scattering
[arXiv] 2026-08-18 | Exact certification of a positive-order Rényi additivity violation for an explicit channel pair
[arXiv] 2026-08-18 | On the Pseudo-Mixing of Kac's Walk
[arXiv] 2026-08-18 | Machine Learning-Assisted Analysis and Inverse Design of Prism-Based Surface Plasmon Resonance Sensors
[arXiv] 2026-08-18 | Invariant chains of graphs
[arXiv] 2026-08-18 | Repetition as Reinforcement: Enhancing Sample Efficiency via Instant Episode Repetition in Reinforcement Learning
[arXiv] 2026-08-18 | Inductively Scalable, Single-Step Neural Surrogates for Wave-Scattering Inverse Problems
[arXiv] 2026-08-18 | Temporally Distinguishing Photocatalytic Dynamics
[arXiv] 2026-08-18 | Learning latent progression states from spatial heterogeneity in uterine histopathology
[arXiv] 2026-08-18 | SPACE: Sample-cloud Predictive Adaptive Conformal Ellipsoids for Multivariate Time-Series Forecasting
[arXiv] 2026-08-18 | LLMs for Medical Consultation Are Evaluated Too Late: The Preformulation Gap
[arXiv] 2026-08-18 | Extremal graphs for a conjecture on the square energy of graphs
[arXiv] 2026-08-18 | MS-MFAD : Multimodal large language models for Face Anti-spoofing Detection
[arXiv] 2026-08-18 | Sharp $p$-Capacity Estimates via Quermassintegrals in Hyperbolic Space
[arXiv] 2026-08-18 | Spontaneous symmetry-breaking in equilibrium tree-packing configurations of a kinetically constrained cubic-lattice system
[arXiv] 2026-08-18 | Chi-Squared Geometry for Robust Finite-Blocklength Information and Dispersion Analysis
[arXiv] 2026-08-18 | NeuroAbs: A Neuro-Symbolic RTL Abstraction Framework for Property Checking Acceleration
[arXiv] 2026-08-18 | High-dimensional discrete 1-symmetric convex bodies and dimension-free estimates for maximal functions
[arXiv] 2026-08-18 | Sudden emergence of a low-frequency hard X-ray lag in the Seyfert 1 galaxy Mrk 1044
[arXiv] 2026-08-18 | Integrated Heat and Power System Scheduling with Continuous-Time Thermal Dynamics via Bernstein-Galerkin Optimization
[arXiv] 2026-08-18 | UniQuery4R: Unified 4D Scene Reconstruction from a Single Query
[arXiv] 2026-08-18 | Key-Frame Reasoning with SAM3: Third Place Solution for the MeViS-Text Track of the 8th LSVOS Challenge
[arXiv] 2026-08-18 | The Road Less Traveled: Congestion-Aware NoC Placement and Packet Routing for FPGAs
[arXiv] 2026-08-18 | Nonadaptive Learning in Robust Nonlinear Output Regulation
[arXiv] 2026-08-18 | Implementation Possibility of Quantum Simulation for Quantum Molecular Dynamics
[arXiv] 2026-08-18 | Learning Where and What to Lift for Bi-planar X-ray-to-CT Reconstruction
[arXiv] 2026-08-18 | Information fusion and machine learning for sensitivity analysis using physics knowledge and experimental data
[arXiv] 2026-08-18 | Physics-Informed and Hybrid Machine Learning in Additive Manufacturing: Application to Fused Filament Fabrication
[arXiv] 2026-08-18 | Zero Point Density Fluctuations and Electron Brownian Motion
[arXiv] 2026-08-18 | Completing the Boundary Case of the Mahmoodian-Mirzakhani Conjecture and 117 New Computational 5-Cycle Decompositions of Complete Tripartite Graphs
[arXiv] 2026-08-18 | Windmill Spin Dynamics and Its Induced Anomalous Hall Effect in Noncollinear Antiferromagnet Mn3Sn
[arXiv] 2026-08-18 | Probing Association Instability with Track-State Perturbations for Clip-Level Active Learning in Query-Propagation Multi-Object Tracking
[arXiv] 2026-08-18 | Temporal Leakage in Financial News NLP: A Multi-Architecture Audit with a Regime-Specific M&A Signal
[arXiv] 2026-08-18 | Infinite Subtraction Games with Periodic Outcomes and Aperiodic SG Values
[arXiv] 2026-08-18 | Revisiting neutrino event epochs for the blazar PKS 0735+178 with TESS
