[2026-06-02 12:43:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-01
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606010000+TO+202606012359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[IEEE] 2026-6-1 | Oscillation-Based Locomotion of a Spherical Robot Driven by Flywheels With Low Control Torque*
[IEEE] 2026-6-1 | ORION: Option-Regularized Deep Reinforcement Learning for Cooperative Multi-Agent Online Navigation
[IEEE] 2026-6-1 | An Overwriting Vulnerability in IoT Authentication Protocols: Attacks and Countermeasures
[IEEE] 2026-6-1 | Emergency Dispatch Strategy for Electric Vehicles Based on Spatio-Temporal Distribution Characteristics and User Response Willingness
[IEEE] 2026-6-1 | Structure-Aware Matrix Pencil for Estimating the Number of Damped Complex Exponentials_supp1-3698108.pdf
[IEEE] 2026-6-1 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[IEEE] 2026-6-1 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
[IEEE] 2026-6-1 | Blockchain and Ai for Smart Cities Energy Systems
[IEEE] 2026-6-1 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[IEEE] 2026-6-1 | Deepfake Detection in Solar Panel Imagery Using Hybrid Vision Transformer Architecture
[IEEE] 2026-6-1 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[IEEE] 2026-6-1 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[IEEE] 2026-6-1 | An Agentic System for Schema Aware NL2SQL Generation
[IEEE] 2026-6-1 | Study of Factors Influencing the Energy Characteristics of Electromechanical Systems
[IEEE] 2026-6-1 | High-fidelity 3D reconstruction for planetary exploration
[IEEE] 2026-6-1 | Design of Quarter Mode SIW Self Diplexing Slotted Antenna
[IEEE] 2026-6-1 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[IEEE] 2026-6-1 | Energy-Efficient Federated Learning for Space Observation via Neuromorphic Computing: a Use Case
[IEEE] 2026-6-1 | Leveraging Cross-Modal Information to Reduce Gender Bias in Facial Analysis Systems
[ACM] 2026-6-2 | Optimizing Dual-Resource Scheduling for Rice Drying via Branch-and-Price: A Digital Management Approach
[ACM] 2026-6-2 | Does the Digital Transformation of Enterprises Promote Green Transformation——Based on the Dual Perspectives of External Pressure and Internal Attention
[ACM] 2026-6-2 | AHP-BIM Collaborative Approach for Multi-Objective Optimization Design of Eco-Hotels
[ACM] 2026-6-2 | Analysis of Current Research Status and Hot Trends in Preventive Healthcare Management Based on Cite Space
[IEEE] 2026-6-1 | Numerical Modeling of Tidal Current Patterns for Anchorage Channel Planning at Amborawang Laut Port
[IEEE] 2026-6-1 | Towards Automated Discovery of Asymmetric Mempool DoS in Blockchains
[IEEE] 2026-6-1 | Improving the cyber security of IEC 61850 based transmission line protection (128)
[IEEE] 2026-6-1 | Design of a Cable-Driven, Self-Aligning Knee Exoskeleton to Eliminate Joints' Misalignment Across Users With Varying Leg Dimensions
[IEEE] 2026-6-1 | Unlocking High-Frequency Temporal Visual Cues for Personality Traits Recognition
[IEEE] 2026-6-1 | Target Tracking in Cell-Free Multi-Static ISAC Systems with Network-Assisted Full-Duplex
[IEEE] 2026-6-1 | Photonics Breakthroughs 2025: Three-Dimensional Holographic Incoherent Imaging Through Scattering Media
[IEEE] 2026-6-1 | Landfill Site Allocation Multi-Objective Optimization with NSGA-II: A Case Study on Fogo Island, Cape Verde
[IEEE] 2026-6-1 | Bounds on Maximum Hermitian Hull Dimension of MDS Codes and MDS Codes with Explicit Hermitian Hulls
[IEEE] 2026-6-1 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images_supp1-3696868.pdf
[IEEE] 2026-6-1 | Generalized Bayesian Linearized AVO Inversion using Box–Cox Transform
[IEEE] 2026-6-1 | VBT-MPC: Vision-Based Tactile MPC for Contour Following_supp1-3698362.mp4
[IEEE] 2026-6-1 | Self-supervised Representation Learning for Dynamic Functional Connectivity with Subject-wise and Temporal Contrasts_supp1-3698236.pdf
[IEEE] 2026-6-1 | Access Point Deployment for Robust Line-of-Sight Coverage Under Stochastic Obstacles
[IEEE] 2026-6-1 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp4-3697140.mp4
[IEEE] 2026-6-1 | Co-seismic ionospheric disturbances detection with multi-GNSS Case study: Turkey double earthquakes on February 6, 2023
[IEEE] 2026-6-1 | A GAN-Based Method for Mountain Shadow Restoration in Optical Remote Sensing Image
[IEEE] 2026-6-1 | A Tiny Neuromorphic Processor Enabling On-Chip Spike-Based Learning for Edge Intelligent System
[IEEE] 2026-6-1 | HMSA-Net: Hierarchical Modality-Speaker Adaptive Network for Audio-Visual Speaker Diarization
[ACM] 2026-6-1 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[ACM] 2026-6-1 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[ACM] 2026-6-1 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[ACM] 2026-6-1 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[ACM] 2026-6-1 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[ACM] 2026-6-1 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[IEEE] 2026-6-1 | A Minimal Brain–Computer Interface for Efficient Mission-Level Control in Industrial Human–Robot Interaction
[IEEE] 2026-6-1 | Privacy-Preserving and Coercion-Resistant E-Voting via Unlinkable Biometric Credentials on a Hybrid Permissioned Blockchain
[IEEE] 2026-6-1 | Ensemble learning methods as a tool for more robust prediction of mobile payment usage
[IEEE] 2026-6-1 | Relay Protection Functioning Under Integration of Distributed Generation: Challenges for Ukraine
[IEEE] 2026-6-1 | Adaptive Knowledge Retrieval in Multimodal GraphRAG via Cross-Modal Relationship Learning
[IEEE] 2026-6-1 | Synthesize, Adapt, Steal: A Few-Shot Domain Adaptive Model Stealing Attack for Tabular Data
[IEEE] 2026-6-1 | Efficient Disruption of Criminal Networks through Multi-Objective Genetic Algorithms
[IEEE] 2026-6-1 | Design and Simulation of a Battery Electric Vehicle Model for Underground Mining Applications with Synthetic Data Generation for Machine Learning Model
[IEEE] 2026-6-1 | LLM-Augmented Feature Engineering for Machine Learning Pipelines
[IEEE] 2026-6-1 | Convivial Robotics and Silicopathy: Toward a Cross-Cultural Ethics of Human-Robot Coexistence
[IEEE] 2026-6-1 | From Co-Pilots to Co-Workers: A Formal Typology of Human–Agent Collaboration in Organizations
[IEEE] 2026-6-1 | Interpretable Topic Modeling with Online Dirichlet Compound Negative Multinomial Mixture Model and Feature Saliency
[IEEE] 2026-6-1 | Fuzzy Logic Optimization of Electrode Geometry in a Microfluidic Device for Malaria Cell Separation
[IEEE] 2026-6-1 | HeuRiskUNet: UAV Navigation in Risk Maps through Improved Path Planning Heuristics
[IEEE] 2026-6-1 | SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab
[IEEE] 2026-6-1 | AI-based Tools Test Cases Generation and Software Correctness: A Critical Review
[IEEE] 2026-6-1 | Intelligent Spectrum Sensing and Access Using Deep Learning for Cognitive Communication Systems
[IEEE] 2026-6-1 | Energy Efficient Control of Electric Heaters in Biogas Reactors
[IEEE] 2026-6-1 | Resilient Distributed Optimal Power Flow Algorithm Against False Data Injection Attacks
[ACM] 2026-6-2 | Demographic Bias in Generative Data Augmentation: A Study of Makeup and Hairstyle Transfer Models
[ACM] 2026-6-2 | Dual-Feature Shop Scheduling Based on Heterogeneous Cooperative Subpopulation Algorithm
[ACM] 2026-6-2 | Lightweight and Highly Scalable Campus Service WeChat Mini Program Architecture Design and Practice for Private Universities
[ACM] 2026-6-2 | Traffic Estimation Methods for Intelligent Transport
[ACM] 2026-6-2 | Inter-firm Innovation Collaboration: A Bibliometric Analysis of Research Evolution and Emerging Trends Based on CiteSpace
[ACM] 2026-6-2 | Digital Governance Capability, End-User Analytics Use on Scalable Information Systems, and Organizational Performance: Evidence from Chinese Manufacturing Firms
[IEEE] 2026-6-1 | Suite of Ingestible Devices Opens Window to the Gut Nervous System, Microbiome
[IEEE] 2026-6-1 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
[IEEE] 2026-6-1 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
[IEEE] 2026-6-1 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
[IEEE] 2026-6-1 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
[IEEE] 2026-6-1 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
[IEEE] 2026-6-1 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
[IEEE] 2026-6-1 | Intelligent Safe Optimal Control Towards Koopman Operator-Driven Nonlinear Systems with Asymmetric State and Input Constraints
[IEEE] 2026-6-1 | From Episodic Screening to Continuous Insight: AI Architectures for Colorectal Care
[IEEE] 2026-6-1 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
[IEEE] 2026-6-1 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
[IEEE] 2026-6-1 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
[IEEE] 2026-6-1 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
[IEEE] 2026-6-1 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
[IEEE] 2026-6-1 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
[ACM] 2026-6-1 | CNnotator: LLM-Guided Memory Safety Annotation Synthesis
[ACM] 2026-6-1 | Beyond Accuracy: Characterizing Code Comprehension Capabilities in (Large) Language Models
[ACM] 2026-6-1 | Poster: Toward robust, fast, scalable autonomous plastics sorting
[ACM] 2026-6-1 | The 14th International Workshop on News Recommendation and Analytics (INRA 2026)
[ACM] 2026-6-1 | DestiRec: User Interaction with a Travel Destination Recommender System
[ACM] 2026-6-1 | On the Role of Dwell Time for Implicitly Profiling Museum Visitors
[ACM] 2026-6-1 | Evaluating Persona Consistency and Emotion Understanding in Small Language Models
[IEEE] 2026-6-1 | A New Quantum Efficient Fault Tolerant Parity Preserving Clifford + T ALU
[IEEE] 2026-6-1 | Cyberlogic: A Foundational Framework for Cross-Space Logic in the Cyber-Physical-Social-Thinking Hyperspace
[IEEE] 2026-6-1 | Convergence of Large Language Models, Internet of Things, and Process Mining: A Systematic Literature Review_supp2-3696767.xlsx
[IEEE] 2026-6-1 | Force-Level Fusion of a Diffusion Transformer Model with a Learnable Social Force Model based Elastic Strip for Safe Trajectory Prediction
[IEEE] 2026-6-1 | Essential Proteins Prediction Using Features Synergy Model and GO Pure Centrality
[IEEE] 2026-6-1 | Design, Modeling, and Validation of a 6-DoF Wearable Puncture Robot
[IEEE] 2026-6-1 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
[IEEE] 2026-6-1 | Reconstruction of Graph Signals on Complex Manifolds with Kernel Methods
[IEEE] 2026-6-1 | LEABS : A Latency- and Resource-Aware Bi-Directional Service Scheduling Framework for Relay Chains in the Internet of Vehicles
[IEEE] 2026-6-1 | AdRo-FL: Secure and Informed Client Selection for Federated Learning under Adversarial Aggregator_supp1-3696080.pdf
[IEEE] 2026-6-1 | Intermittent Event-Triggered Fixed-Time Containment Control for Disturbed Second-Order Multi-Agent Systems Under DoS Attacks
[IEEE] 2026-6-1 | Mechanistic Insights into Voltage Maintaining Performance of Dielectric Films: Material Dependence and Field Effects_supp1-3698069.docx
[IEEE] 2026-6-1 | Parallel Secure Pattern Matching with Differential Privacy and Consistency Checking
[IEEE] 2026-6-1 | Comprehensive comparison of acceleration voltage of selected dielectric liquids as a critical non-standard parameter describing dielectric properties of insulating liquids
[IEEE] 2026-6-1 | DSFF: Dynamic–Static Feature Fusion Framework for Robust Cross-Dataset Deepfake Detection
[IEEE] 2026-6-1 | An Agentic Framework for Efficient and Scalable Web Content Classification
[IEEE] 2026-6-1 | Granular Convolutional Neural Networks: Interpretable Classification with Uncertainty Quantification
[IEEE] 2026-6-1 | Perception of Gendered Voice and Expressed Apology in Warehouse Robots
[IEEE] 2026-6-1 | Discrete quantum-classical walks for link prediction
[IEEE] 2026-6-1 | Analysis of Routing Problems in Payment Channels and Optimization of the Payment System in Trading Platforms of Microgrid Networks
[IEEE] 2026-6-1 | Comparative Analysis of Autonomous Robotic and Manual Techniques for Ultrasonic Sacral Osteotomy: A Preliminary Study
[IEEE] 2026-6-1 | Evaluating Histogram Matching for Robust Deep Learning–Based Grapevine Disease Detection
[IEEE] 2026-6-1 | Optimal Techno-Economic Energy Storage System Sizing for Islanded Microgrids
[IEEE] 2026-6-1 | Probabilistic Causal Modelling of Factors Contributing to Stress, Anxiety, and Depression for Nurses and Social Workers
[IEEE] 2026-6-1 | LLM-Seeded Genetic Improvement: Hierarchical AST Evolution with Multi-Level Donor-Code Transplants
[IEEE] 2026-6-1 | Sustainability-Aware Multi-Agent Reinforcement Learning for UAV Response and Monitoring with Joint Communication and Sensing
[IEEE] 2026-6-1 | Prompt-Oriented Documentation: A Definition and Framework for Interactive User Manual and Developer Guides
[IEEE] 2026-6-1 | PCR-GP: Prior-Coupled Residual Gaussian Processes for Few-Shot Lipid Nanoparticle Formulation
[IEEE] 2026-6-1 | Federated Recommendations with Built-in Privacy and Explainability: A Conceptual Model
[IEEE] 2026-6-1 | Peak Factor Method for Predicting Maximum Response and Control Force in Across-Wind Direction for Active Base-Isolation
[IEEE] 2026-6-1 | Bridging the Infrastructure Gap: An AI-Driven Framework for Automated Grant Matching in Environmentally Threatened Rural Communities
[IEEE] 2026-6-1 | The analysis of customized tokenizer for the development of isiNdebele language model
[IEEE] 2026-6-1 | Effective-rotor model in frequency-domain stray losses estimation of the stator end-zone in a 240 MW turbogenerator
[IEEE] 2026-6-1 | Comparative Performance of Modern ML Architectures for Operational Seismic Forecasting
[IEEE] 2026-6-1 | Online Weighted Majority Rule with Provably Optimal Weights for Multi-Agent Robotics
[IEEE] 2026-6-1 | A Low Noise Amplifier Design with High Image Rejection and Selectivity Using Integrated BPF
[IEEE] 2026-6-1 | The Equivalent Parameters of Losses in Inactive Parts of Transformers Under Nonsinusoidal Loads
[ACM] 2026-6-2 | A Data-Driven Parts Price Forecasting Model Using Attention-Based Bidirectional LSTM
[ACM] 2026-6-2 | An improved VIKOR method for triangular decision making problem based on Computer Aided Platform
[IEEE] 2026-6-1 | Jamming a Smart Multiuser MISO System: A Shared Equilibrium to Three Jamming Transmit Beamforming Games
[IEEE] 2026-6-1 | Radar Mounting Angle Estimation in Operational Driving Conditions
[IEEE] 2026-6-1 | Semantic-Aware Multipath TCP: Enhancing Industrial IoT Flexible Manufacturing Networks With GAN-Based Packet Recovery
[IEEE] 2026-6-1 | Diffusion Bridge-Based Gradual Domain Adaptation for Fault Diagnosis: Concept, Algorithms and Applications
[IEEE] 2026-6-1 | Transformer-Based Anomaly Behavior Analysis for CPS in Water Infrastructure
[IEEE] 2026-6-1 | An End-to-End GPS-Based Traffic Speed Prediction Framework Without Explicit Map-Matching
[IEEE] 2026-6-1 | Simulated-Annealing-Assisted Artificial Hummingbird Algorithm for Efficient Parcel Delivery in Smart City_supp1-3659807.pdf
[IEEE] 2026-6-1 | A Framework Enabling Object-based Queries Within Images on Digital Documents
[IEEE] 2026-6-1 | Robust Transmission Design for Secure RSMA-Aided ISAC Systems with Uncertain and Unknown Malicious Target Location
[IEEE] 2026-6-1 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp1-3697140.pdf
[IEEE] 2026-6-1 | DQ-VeDT: A Decentralized Quorum-based Authentication for Quantum-Safe Vehicular Digital Twins
[IEEE] 2026-6-1 | 2024 Saudi Arabia Smart Grid (SASG)
[IEEE] 2026-6-1 | Multifrequency Hysteresis Compensation and Fuzzy-Adaptive Fast Terminal Sliding Mode for Piezoelectric Nanorobots_supp1-3692843.docx
[IEEE] 2026-6-1 | IEEE Signal Processing Society Publication Information
[IEEE] 2026-6-1 | Bridging Cross-View Domain Gaps in Semantic Segmentation With Language-Guided Representations
[IEEE] 2026-6-1 | Cryogenic Forming/Breakdown of HfO
                    <sub>x</sub>
                    for Reduced C2C Variability in Filamentary RRAM
[IEEE] 2026-6-1 | The NOAA-21 CrIS Sensor: A NOAA Operational Asset Providing Continuity for Weather Forecast and Environmental Monitoring
[IEEE] 2026-6-1 | Attention-Based Geo–Textual Fusion Network for Disaster Risk Prediction
[IEEE] 2026-6-1 | Stacked Intelligent Metasurface Assisted Multiuser Systems With Transceiver Hardware Impairments
[IEEE] 2026-6-1 | Promoting Generalization for Exact Combinatorial Solvers via Adversarial Instance Augmentation
[IEEE] 2026-6-1 | AL-KalmanNet: Neural Network-Aided Kalman Filtering Based on Active Learning_supp1-3698385.pdf
[ACM] 2026-6-1 | Towards An Agentic Conversational Approach to Group Recommender Systems
[ACM] 2026-6-1 | Cross-Domain Cold-Start Personalization via LLM-Synthesized Structured User Profiles
[ACM] 2026-6-1 | Which Individual Differences Predict Success at an LLM-integrated Search Task?*
[ACM] 2026-6-1 | Sustained Impact of Agentic Personalisation in Marketing
[ACM] 2026-6-1 | Democratizing Physical-AI Interfaces for Scalable Human-Centered Sensing
[ACM] 2026-6-1 | Poster: Robust Multimodal Perception for Autonomous Mowers under Sensor Degradation
[ACM] 2026-6-1 | WikiCoach: Scaffolding Learning for Novices in Online Apprenticeship Communities
[ACM] 2026-6-1 | Toward Practical Voice Privacy Protection in Physical and Digital Communication
[ACM] 2026-6-1 | Poster: An Offline-First Modular mHealth Platform for Rural Youth Mental Wellness
[ACM] 2026-6-2 | Research on the Immersive Development Path of “Red Heritage Integration” Resources in Jilin Province Driven by Digital Twin Technology
[IEEE] 2026-6-1 | Poisoning Object Detection Models for Surface Defect Inspection in Steel Manufacturing
[IEEE] 2026-6-1 | A GA-Optimised Wavelet-Based Ensemble Learning Model for Stock Index Trend Prediction
[IEEE] 2026-6-1 | Themis: An explainable AI-enabled framework for Reinforcement Learning with Human Feedback
[IEEE] 2026-6-1 | SynCAFG-Net: Synergistic Cross-Attention Feature Generation for High-Accuracy Lightweight Image Classification
[IEEE] 2026-6-1 | Multimodal Fusion for Time Series Forecasting: Learning from Temporal and Visual Data
[IEEE] 2026-6-1 | Robust Continuous Hand Gesture Spotting: An Empirical Study with Deep Sequential Encoding and Probabilistic Time-Series Modeling
[IEEE] 2026-6-1 | Delopment of Method for Assessment of Power Supply Efficiency of Shop Electricity Network
[IEEE] 2026-6-1 | Cross-Modal Proxy Prompt Alignment for Fine-Grained Image Classification
[IEEE] 2026-6-1 | Quantum Kernels for SVM Entanglement Detection
[IEEE] 2026-6-1 | Optimization of the Daily Load Schedule of the Microgrid According to the Criterion of the Electricity Purchase Cost
[IEEE] 2026-6-1 | Decentralization of Management in Ukrainian Power System: Understanding and Challenges
[IEEE] 2026-6-1 | Evaluation of a Transfer-Learning Strategy for a Prototype Wearable sEMG Armband Trained for Upper Limb Grasp Classification
[IEEE] 2026-6-1 | Longitudinal Digital Phenotyping for Early Cognitive-Motor Screening
[IEEE] 2026-6-1 | Partial Audio Deepfake Detection: Are We Really Detecting Synthetic Media or Just Dataset Content Biases?
[IEEE] 2026-6-1 | Multi-Agent Reinforcement Learning for Time-Critical UAV Medical Supply Delivery with Dynamic Task Allocation
[IEEE] 2026-6-1 | Combating Disinformation: A Deep Learning Approach for Supply Chain Resilience
[IEEE] 2026-6-1 | Automated detection of Enterobius vermicularis eggs in microscopic images using YOLOv8
[IEEE] 2026-6-1 | Face Density as a Proxy for Data Complexity: Quantifying the Hardness of Instance Count
[IEEE] 2026-6-1 | Exploring Deep Learning and Ultra-Widefield Imaging for Diabetic Retinopathy and Macular Edema
[ACM] 2026-6-2 | ISC-DMAC: Information-Sharing and Curriculum-Learning based Distributed Multi-Agent Control for Serial Walking Robots
[ACM] 2026-6-2 | UMixKAN: A Kolmogorov-Arnold Network Enhanced U-Shaped Decoder for ViT-Based Semantic Segmentation
[IEEE] 2026-6-1 | BCAF: Bimodal connection attention fusion for robust emotion recognition from speech and text
[IEEE] 2026-6-1 | Prompt Optimization through Reinforcement Learning for Generative Language Model Code Synthesis in Multi-Robot Systems
[IEEE] 2026-6-1 | Intelligent Bearing Fault Detection: Deep Learning Model Assessment and Embedded System Deployment
[IEEE] 2026-6-1 | Physics-Guided Adaptive Fusion for Daylight-Effective Photovoltaic Power Forecasting under Meteorological Mismatch
[IEEE] 2026-6-1 | Breaker Page
[IEEE] 2026-6-1 | Ultra-Underactuated Coupled-Two-Wheeled Robot for Agile Omnidirectional Mobility
[IEEE] 2026-6-1 | Edge-Aware RIS-Assisted Dynamic Channel Allocation with Lightweight LLM Decision Agent for Interference Mitigation in Low-Altitude Remote Sensing Networks
[ACM] 2026-6-1 | When Many-Shot Prompting Fails: An Empirical Study of LLM Code Translation
[ACM] 2026-6-1 | Efficient On-Device Intelligence: From Continual Adaptation to Generative AI on Edge Devices
[ACM] 2026-6-1 | High-Performance Networked Systems: A Tale of Connectivity at Scale
[ACM] 2026-6-1 | Toward Physics-Grounded Environmental Intelligence through Wireless Sensing
[ACM] 2026-6-1 | Poster: Radar-based Semi-Autonomous Micro-Mobility Vehicle
[ACM] 2026-6-1 | Demo: Lightweight See-Through V2X Makes Blind Spots Visible
[ACM] 2026-6-1 | Poster: Physics Based Digital Twin Framework for an Autonomous Underwater Vehicle
[ACM] 2026-6-1 | Poster: Towards multi-objective model partitioning for efficient Edge AI
[ACM] 2026-6-1 | Participatory Elicitation of User Model Dimensions for Active Ageing: The EMERGE Methodology
[ACM] 2026-6-1 | Using AI as a Chef: Users Overlook Nutritional Flaws in LLM-Generated Recipes
[ACM] 2026-6-1 | Studying Longitudinal Effects of Recommender Systems: A Multi-Method Approach
[ACM] 2026-6-1 | Instructor-Centered Per-Question Adaptation for Short Answer Grading Using LLM Scores and Informative Sampling
[ACM] 2026-6-1 | Exploring the Latitude of Acceptance over Several Recommendation Turns in a Game Setting
[ACM] 2026-6-1 | Trust as a Situated User State in Social LLM-Based Chatbots
[ACM] 2026-6-1 | PRC: Process-centric Rate Control for Transient Stragglers in Hybrid-Parallel Training
[ACM] 2026-6-1 | Poster: EVERESTS: A Mobile-First, AI-Driven Cyber-Safety Companion for Older Adults
[ACM] 2026-6-1 | Poster: Tight-Coupled TDoA and IMU Fusion for Mobile Robot Localization
[IEEE] 2026-6-1 | 2026 IEEE Conference on Artificial Intelligence (CAI)
[IEEE] 2026-6-1 | Underwater robot localization by measuring the Angle-Of-Arrival of one or more underwater signal transmitters
[IEEE] 2026-6-1 | CWFU: Cross-domain Wavelet Frequency Upsampling for Pan-Sharpening
[IEEE] 2026-6-1 | DS-LABRNav: Land-Air Bimodal Robot Navigation With Traversable Obstacles Base on Vision-Language Model_supp1-3698272.mp4
[IEEE] 2026-6-1 | AR-COMPASS: A Framework for Tacit Knowledge Capturing in Industrial Maintenance
[IEEE] 2026-6-1 | A High-Frequency and High-Voltage Power Supply Based on Pulse Transformer for Driving Glow Discharge Plasma
[IEEE] 2026-6-1 | AutoPath: Learning Transferable Goal-Conditioned Stochastic Path Prior for Safe Navigation Without Human Demonstrations
[IEEE] 2026-6-1 | RPCANet$^{++}$: Deep Interpretable Robust PCA for Sparse Object Segmentation
[IEEE] 2026-6-1 | Reliability-Oriented Remote Sensing Image Captioning via Confounding-Aware Feature Debiasing and Retrieval-Enhanced Conditioning
[IEEE] 2026-6-1 | RL-FM: Reinforcement Learning-Driven Flow Matching for Multimodal Remote Sensing Image Classification
[IEEE] 2026-6-1 | 2026 IEEE 4th International Conference on Device Intelligence, Computing and Communication Technologies (DICCT)
[IEEE] 2026-6-1 | Chemiluminescence Portable Device Integrated with Microfluidic Chip for Free Chlorine Detection in Tap Water
[IEEE] 2026-6-1 | Fine-Grained Text and Spectral Attribute Supervised Semantic Network for Hyperspectral Image Zero-Shot Domain Generalization
[IEEE] 2026-6-1 | ROMA: Enhancing Container OOM Resilience via Reinforced Isolation and Adaptive Shared Resource Reclamation
[IEEE] 2026-6-1 | Joint Resource Allocation and Trajectory Design for UAV-assisted Communication in Mountainous Terrain
