[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[IEEE] 2026-5-4 | Optimized Bidirectional Dual-Input Single-Output DC-DC Converter for Enhanced Electric Vehicle Integration
[IEEE] 2026-5-4 | Efficient Architecture for Cubesat Electric Power System
[IEEE] 2026-5-4 | Loss Minimization Through Non-Dispatchable Distributed Generators in Distribution System
[IEEE] 2026-5-4 | Advanced Incentive-Based Demand Response Strategies for Optimal Energy Management in Microgrids
[IEEE] 2026-5-4 | Cyber Resilient Protection Functionality of Modern Protective Relays
[IEEE] 2026-5-4 | IoT Node Synchronized with Indian Constellation for Phasor Measurement in Power System
[IEEE] 2026-5-4 | Fuzzy Logic Controlled Hybrid EV Charging Station Utilizing Solar Power and Diesel Generator
[IEEE] 2026-5-4 | DMSA: A Decentralized Microservice Architecture for Edge Networks
[IEEE] 2026-5-4 | Attitude Estimation on SO(3) Under Biased, Scaled and Misaligned Rate Gyro Measurements
[IEEE] 2026-5-4 | A Digital Slope Modulation Technique for a PFM-based Series Resonant LED Driver
[ACM] 2026-5-4 | The Landscape of GPU-Centric Communication
[ACM] 2026-5-4 | HierMine: Accelerating Graph Pattern Mining via Hierarchical Sampling
[ACM] 2026-5-4 | MConAI: Multilingual Conversational AI for Low-Cost Early Alzheimer's Detection
[IEEE] 2026-5-4 | Risk-Augmented Loss With Attention Mechanisms: Enhancing Proximal Policy Optimization for Safer Autonomous Driving
[IEEE] 2026-5-4 | SpecAug-DM: Few-Shot Radar Spectrogram Augmentation via Diffusion Model for Human Motion Recognition
[IEEE] 2026-5-4 | Joint Magnetometer-IMU Calibration via Maximum A Posteriori Estimation
[IEEE] 2026-5-4 | AGI-CTFormer: An efficient architecture with attention-based ghost inception ResNet and a convolutional transformer for the detection of Exons in eukaryotic DNA
[IEEE] 2026-5-4 | Bridging the Trust-Latency Gap in 6G NTN V2X: An Edge-Native Architecture and Standardisation Perspective
[IEEE] 2026-5-4 | Wearable Textile Microwave Sensor for Wrist Pulse Wave and Heart Rate Monitoring
[IEEE] 2026-5-4 | FANE: FPGA-Based FP8 Approximate Neural Network Engine
[IEEE] 2026-5-4 | Shaping the Q-U Droop Characteristic of Grid Forming Converters from the Perspective of Constant Voltage Control
[IEEE] 2026-5-4 | Advertisement
[IEEE] 2026-5-4 | Experimental Demonstration of Grid-Gate LDMOS with Ultra-Low
                    <i>R</i>
                    <sub>on,sp</sub>
                    and High HCI Robustness on 55nm BCD Platform
[IEEE] 2026-5-4 | RAID-Crypt: Rounding Alignment of Intermediate Differentials for Cryptanalysis of Lightweight Encryption
[IEEE] 2026-5-4 | A Multi-modal Iterative Guided Framework for Fake News Detection
[IEEE] 2026-5-4 | Cross-Domain Self-Training Network with Prototype Rectification for Few-Shot Hyperspectral Image Classification
[IEEE] 2026-5-4 | A Multi-groove Ceramic-packaged Sapphire-Diaphragm Fiber Sensor for High-temperature Vibration
[ACM] 2026-5-5 | Research on the Pattern Design of Doors and Windows in Tuanshan Village Based on AIGC and Entropy Weight TOPSIS Method
[IEEE] 2026-5-4 | Electric Vehicles Impact on the Power Grid: A Review of Challenges, V2G Integration, and AI-Based Control Strategies
[IEEE] 2026-5-4 | $\text{MoS}_{2}$ /Barium Ferrite Nanocomposite: a Synergistic Electrode for Advanced Supercapacitor Applications
[IEEE] 2026-5-4 | Thermal Analysis of Multiphase Electromagnetic Coupler for High Power Contactless Charging System Considering Core and Shielding Effects
[IEEE] 2026-5-4 | Impact Assessment of Fast DC EV Charging Station Integration in an Islanded Microgrid Using a Node Sensitivity-Based Approach
[IEEE] 2026-5-4 | Subsynchronous Oscillations Identification in Series-Compensated DFIG-Based Wind Farm Using Machine Learning Algorithms: A Comprehensive Review
[IEEE] 2026-5-4 | Estimating Power System Inertia: A Study with Renewable Energy Integrated Power Networks
[IEEE] 2026-5-4 | Asymmetrical Dc-Link Voltage Based 51-Level Multilevel Inverter Topology with Less Switch Count
[IEEE] 2026-5-4 | Five-Level Fault-Tolerant Inverter with Preserved Output Under Multiple Switch Failure
[IEEE] 2026-5-4 | Solar-Powered Boost Converter Using PID Control for Efficient Speed Regulation of a BLDC Motor and Real-Time MPPT
[IEEE] 2026-5-4 | Dual Parametric Fractional Controller for Unstable Fractional Order Processes
[IEEE] 2026-5-4 | LTO Battery Fading Prediction Using Deep Learning
[IEEE] 2026-5-4 | Hybrid BO-LSBoost Model for Accurate Prediction of Remaining Useful Life of Li-Ion Battery
[IEEE] 2026-5-4 | Indirect Field-Oriented Control of a Single-Phase Induction Motor Fed by a Three-Phase Inverter
[IEEE] 2026-5-4 | Multiple-RIS-Aided Predictable V2V Communications in Graph Structure with Doppler Spread Suppression
[IEEE] 2026-5-4 | Challenges and Research Directions for Large Language Model Inference Hardware_supp1-3652916.pdf
[IEEE] 2026-5-4 | GSDeformer: Direct, Real-time and Extensible Cage-based Deformation for 3D Gaussian Splatting_supp1-3687062.pdf
[IEEE] 2026-5-4 | Autonomous Causal Discovery: Evaluating LLMs' Priors and Constraint Strategies for Reliability
[IEEE] 2026-5-4 | Founder Organizer of STPEC
[IEEE] 2026-5-4 | Distilling Large Language Models for Network Active Queue Management
[ACM] 2026-5-4 | Predicting AI Position Salaries: Model Fusion via Weighted Averaging and Feature Correlation Analysis
[ACM] 2026-5-4 | Research on Hierarchical Multi-Aspect Weighted Interactive Model for AIGC
[ACM] 2026-5-4 | A Weighted Citation Graph Model for Automatic Evaluation of Scientific Papers
[ACM] 2026-5-4 | A Deep Learning–Based Framework for Credit Risk Assessment with Multi-Source Financial Data
[IEEE] 2026-5-4 | Nash Equilibrium in Hybrid Impulsive Nonzero-Sum Game: A Weak Convexity Framework
[IEEE] 2026-5-4 | A Diversity-Preserving Multistrategy Differential Evolution Algorithm for 3-D Uncrewed Aerial Vehicle Offline and Online Path Planning_supp1-3683527.pdf
[IEEE] 2026-5-4 | GBFRS: Robust Fuzzy Rough Sets via Granular Ball Computing
[IEEE] 2026-5-4 | A Frequency-Selective Hybrid-Core Architecture for Third-Harmonic Loss Optimization in Wireless Power Transfer Systems
[IEEE] 2026-5-4 | PCCNA: A Probabilistic Caching Strategy Based on Strong Content Consistency and Node Attributes
[IEEE] 2026-5-4 | Quantitative Controllability Analysis and Optimization in Attitude and Altitude Control of High Dynamic Flight Vehicles
[IEEE] 2026-5-4 | A Hybrid Numerical Simulation–Data Driven Modeling Framework for Municipal Solid Waste Incineration Digital Twin Temperature Prediction
[IEEE] 2026-5-4 | Teaching Radio Waves to Compute: Smart Cities will Treat Interference as a New Kind of Calculator
[IEEE] 2026-5-4 | Liver Couinaud Segmentation: A Review on Existing Segmentation Techniques of the Couinaud Classification of Liver_supp1-3623914.pdf
[IEEE] 2026-5-4 | RSMA-Assisted Edge Collaborative Inference for Internet of Vehicles
[IEEE] 2026-5-4 | Air-to-Ground Covert Communication With Location and Interference Uncertainty
[IEEE] 2026-5-4 | Large-Frequency-Ratio Dual-Band Shared-Aperture Conformal Transmit-Reflect-Array Antenna with Independent Beam Control for UAV-Based Space-Air-Ground Emergency Communication Networks
[ACM] 2026-5-4 | Proceedings of the 2026 2nd International Conference on Big Data, Communication Technology and Computer Applications
[IEEE] 2026-5-4 | YOLO-SAE: Spatial-Adaptive Attention Enhancement for Small-Object Detection With Quantified Accuracy-Efficiency Trade-offs
[IEEE] 2026-5-4 | SpineVLM: A Markdown-Guided Structured Fine-Tuning Framework for Spine X-ray Report Generation
[IEEE] 2026-5-4 | IEEE Computational Intelligence Society
[IEEE] 2026-5-4 | Corrections to “Demand Forecasting in Data-Scarce and Resource-Restricted Environments”
[IEEE] 2026-5-4 | Energy Efficient Federated Learning Over Wireless Networks: A GNN-assisted Deep Reinforcement Learning Approach
[IEEE] 2026-5-4 | Dual-Polarized Endfire Phased Array Antenna with Forward Beam Coverage for IoT Devices
[IEEE] 2026-5-4 | Dynamic Analysis and Vibration Reduction of HTS Maglev Vehicle Using MRD Semi-active Control
[IEEE] 2026-5-4 | Hyperbolic Micro-Expression Recognition
[IEEE] 2026-5-4 | Information-Theoretic Sensor Control for Multiple Extended Target Tracking Using Adaptive Hölder Divergence
[IEEE] 2026-5-4 | PVSizer: An Open-Source Python Framework for PV and BESS Sizing and Impact Analysis in Distribution Networks
[IEEE] 2026-5-4 | Rate-Distortion Trade-off in Integrated Communication, Sensing, and Control Closed-Loop Systems
[IEEE] 2026-5-4 | Tournament-Based Index Obfuscation for Secure Space Shift Keying MIMO Systems
[IEEE] 2026-5-4 | A Review on the Implementation of a Proposed Multi-Biometric Driver's License Verification System in Zimbabwe
[IEEE] 2026-5-4 | An Evaluation of Zero-Trust Security Models on Institutional Data Protection in Zimbabwean Universities
[ACM] 2026-5-4 | A Microscopic Traffic Simulation Study on the Impact of Bus-Only Lane Opening on Urban Traffic Mobility
[IEEE] 2026-5-4 | Leakage Current Minimization in Single Phase Grid Connected Solar PV
[IEEE] 2026-5-4 | Triple Switch Triple Mode ASL DC-DC Converter for PV System
[IEEE] 2026-5-4 | Performance Investigation and Characterization of High Semiconductor Devices using ERSC
[IEEE] 2026-5-4 | Design and Development of a Dynamic Wireless Charging System Using a Single Inverter with Constant Voltage and Constant Current Charging
[IEEE] 2026-5-4 | Hybrid Machine Learning for Uncertainty-Aware Net Load Forecasting in Renewable-Integrated Grids
[IEEE] 2026-5-4 | Economic and Operational Analysis of Virtual Energy Storage in Energy Communities
[IEEE] 2026-5-4 | Cost Effective Reconfigurable Induction Motor Stator Windings for Single Phase Integrated Onboard Charger
[IEEE] 2026-5-4 | Embedded Realization of Deep Learning Based LMPC for PMSM Drives
[IEEE] 2026-5-4 | Design, Analysis and Control of Multi-Mode Cell Voltage Equalizer Using Fly-Back Converter for Series-Connected Battery String
[IEEE] 2026-5-4 | Design and Evaluation of Carboxymethyl Cellulose-Starch Hybrid Gel Electrolytes Toward Quasi-Solid-State Zinc-Ion Batteries
[IEEE] 2026-5-4 | Converter Configuration and Control for Switch Fault Detection and Clearance in PMBLDC Motor Driven EVs
[IEEE] 2026-5-4 | Data-Driven Fault Severity Estimation in Permanent Magnet Synchronous Machines
[IEEE] 2026-5-4 | Intelligent Grasp Planning Using Open-Vocabulary Image Segmentation and Large Language Models
[IEEE] 2026-5-4 | 3-Phase Triple-Boosted Multilevel Inverter for Photovoltaic Applications with Seven Levels of Switched Capacitors
[IEEE] 2026-5-4 | Computational Fluid Dynamics Driven Sensor Optimization for Early Hydrogen Leak Detection Enhancing FCEV Safety
[IEEE] 2026-5-4 | Design and Control of a Self-Balanced Quadruple Boost 17-Level Switched Capacitor-Based Inverter
[ACM] 2026-5-5 | Interactive Digital Media Art Narrative System for Art Therapy: A Design Based on User Emotional Feedback Targeting Depression and Autism Spectrum Disorder
[ACM] 2026-5-5 | Research on Intelligent Interactive Product Design Methods Based on User Behavior Data
[ACM] 2026-5-4 | A closed-loop control system for risk management of deep excavation engineering based on digital twins
[ACM] 2026-5-4 | A Review on Uncertain Data Clustering
[IEEE] 2026-5-4 | A Compact 75–105 GHz Symmetric-Cell-Based Distributed Attenuator With Broadband Phase Compensation
[IEEE] 2026-5-4 | Topology-Preserving Deep Hashing for Ultrafast Drone-Dominated Object Detection
[IEEE] 2026-5-4 | A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery
[IEEE] 2026-5-4 | PSD Estimation Based Enhanced Kalman Filter for Target Tracking With Singer Acceleration Noise
[IEEE] 2026-5-4 | SFKH-GC: Harnessing the Power of Full-Neighborhoods Information for Large-Scale Attributed-Graph Learning_supp1-3689771.pdf
[IEEE] 2026-5-4 | PT-Mark: Invisible Watermarking for Text-to-image Diffusion Models via Semantic-aware Pivotal Tuning
[IEEE] 2026-5-4 | Low-Voltage Distribution Network Line Loss Rate Prediction Based on Gradient Boosting Decision Trees
[IEEE] 2026-5-4 | Robust Brain Tumor Segmentation with Incomplete MRI Modalities Using Hölder Divergence and Mutual Information-Enhanced Knowledge Transfer
[IEEE] 2026-5-4 | Affiliate Plan of the IEEE Nuclear and Plasma Sciences Society
[IEEE] 2026-5-4 | Letter to the Editor: Risk Management in Game Development
[IEEE] 2026-5-4 | Regulation of Magnetic Properties in Fe-based Composite Ribbons by External Magnetic Field Coating
[IEEE] 2026-5-4 | Relative Intensity Noise of Datacom Multimode VCSELs with Different Aperture Shapes
[IEEE] 2026-5-4 | 2025 4th Zimbabwe Conference of Information and Communication Technologies (ZCICT)
[ACM] 2026-5-4 | IoT-based Sensor Data Fusion and Machine Learning for Early Detection of Masti-tis in Dairy Cows
[ACM] 2026-5-4 | Overfitting in Music Genre Classification: Evaluating Differences Between the GTZAN and FMA Datasets
[ACM] 2026-5-4 | A Comparative Analysis of Time Series Prediction of Fine Particulate Matter Concentration in Urumqi Based on Gradient Boosting and RBF Neural Network
[IEEE] 2026-5-4 | Optimized Ferrite Design for Wireless Charging of Electric Vehicles a Cost-Efficient Approach
[IEEE] 2026-5-4 | Modeling, Control, and Performance Analysis of a Five-Phase Induction Motor with SPWM
[IEEE] 2026-5-4 | Optimal EPS Control for Minimum Backflow Power and Current Stress for Dual Active Bridge Converter
[IEEE] 2026-5-4 | Techno-Economic Feasibility Study of a Rooftop Solar PV System for EV Charging at University Campus Building
[IEEE] 2026-5-4 | Real-Time Lane Assist System Using Computer Vision with Adaptive PID Control
[IEEE] 2026-5-4 | Enhanced Two-Port Model-Based Study and CCM/DCM Boundary Condition for LCC-LCC IPT Topology
[IEEE] 2026-5-4 | Optimal Reactive Power Dispatch Using Incomprehensible but Intelligible-in-Time Logics
[IEEE] 2026-5-4 | Current Mismatch-Based Newton-Raphson Power Flow Algorithm for Autotransformer Fed Traction Power Supply System
[IEEE] 2026-5-4 | Eddy Current Sensor Based Smart Control System for Optimizing Industrial Zinc Coating Process Using Adaptive Machine Learning and IIoT
[IEEE] 2026-5-4 | A Resilient NN Assisted Switching Control for Networked Control Systems Under DoS Attacks
[IEEE] 2026-5-4 | Control-Oriented Design of a Standalone Pv-Battery-Inverter System with Dynamic Load
[IEEE] 2026-5-4 | Federated Multi-Stage Market Clearing with Integrated Probabilistic Forecasting for Decentralized Energy Systems
[IEEE] 2026-5-4 | Short-Term Electricity Price Forecasting Using RFECV-Based Feature Selection and GA-Optimized BiLSTM
[ACM] 2026-5-5 | Proceedings of the 2026 2nd International Conference on Generative Artificial Intelligence and Digital Media
[ACM] 2026-5-5 | An AI-Assisted Prompt Generation Method for Theatre Rehearsal: Translating Script Text into Executable Stage Actions
[IEEE] 2026-5-4 | Grid Resilience and Renewable Integration: India's Transition to a Sustainable Power System
[IEEE] 2026-5-4 | Series Cascade Control Loop for Double Integrating Processes Based on Smith Predictor
[IEEE] 2026-5-4 | Extended Kalman Filter Based Control of Coupled Inductor Buck-Boost Converter for Grid Connected System
[IEEE] 2026-5-4 | IoT-Based Fault Diagnosis of AFE Using Harmonic Distortion and Waveform Asymmetry for EV Charging Applications
[IEEE] 2026-5-4 | Performance Enhancement and Excess Energy Minimization in Hybrid Renewable Energy System for Cold Desert Regions
[IEEE] 2026-5-4 | An Imposed Distributed Generation for Resynchronization Methodology for Microgrid Seamless Transitions
[IEEE] 2026-5-4 | Securing the Smart Drive: AI-Powered Anomaly Detection in EVs
[IEEE] 2026-5-4 | Parameter Estimation of a PV Model Through Multi-Objective Optimization: Towards an Economically Viable Identification
[IEEE] 2026-5-4 | Advancing Grid-Forming Converter Control Using Transformer-Based Artificial Intelligence Model: A Performance Evaluation
[IEEE] 2026-5-4 | Fault Diagnosis and Identification in Permanent Magnet Synchronous Motor Using Temporal Convolutional Network
[IEEE] 2026-5-4 | Enhanced Sensorless PMSM Drive Control with Data-Driven ANFIS-SMO Integration
[IEEE] 2026-5-4 | GGM-LDMAF Control and Seamless Operation of a Solar-Powered EV Charger
[IEEE] 2026-5-4 | Real-Time Power Balancing in Bidirectional Vehicle-to-Vehicle Wireless Power Transfer Modulation and Control Strategy Development
[IEEE] 2026-5-4 | Finite Element Analysis of a Five Phase PMSM Machine with Open-Circuit Fault and Its Mitigation
[IEEE] 2026-5-4 | Unifying Autoregressive Integrated Moving Average Model, Poisson Regression, Internet of Things and Smart Cameras to Alleviate Traffic
[IEEE] 2026-5-4 | Facial Recognition in Online Examinations: Harnessing Converging Technologies to Redefine Online Exam Integrity
[IEEE] 2026-5-4 | Secure Exam+: A Privacy-Conscious AI and Biometric Framework for Online Assessment Integrity
[IEEE] 2026-5-4 | Leveraging AI and IoT for Sustainable Food Processing and Manufacturing in Developing Countries: A Review
[IEEE] 2026-5-4 | Movable Antenna Enhanced Multiuser Communications with Mutual Coupling
[IEEE] 2026-5-4 | High Power Large Mode Area Solid-Core with Nano Structure Antireflective Surface to Antiresonant Hollow-Core Fiber Splice
[IEEE] 2026-5-4 | Distributed Safe Frequency Control for Networked Microgrids Using Control Barrier Functions
[IEEE] 2026-5-4 | Life with an Experimental Brain Implant: Early Users Reveal what the Technology Gives—And what it Takes
[IEEE] 2026-5-4 | Ads
[IEEE] 2026-5-4 | Stochastic Gradient-Biased Traversal: a Heuristic Approach for Efficient Leak Source Localization
[IEEE] 2026-5-4 | Application of Golden Eagle Optimization in Reduced Order Modeling
[IEEE] 2026-5-4 | Grid-Connected PV System Using Isolated DC-DC Converter for MPPT with Power Quality Enhancement
[IEEE] 2026-5-4 | A Triboelectric Nanogenerator for Wind Energy Harvesting and Battery Charging Applications
[IEEE] 2026-5-4 | Investigation of Flow Induced Variation in Vanadium Redox Flow Battery With Electrochemical Impedance Spectroscopy
[IEEE] 2026-5-4 | Frequency Domain Dielectric Response of Aged Transformer Oil-Paper Insulation Retrofilled with Natural Ester Oil
[IEEE] 2026-5-4 | Frequency Response Analysis of Transformer Winding Faults Using Circuit-Based Modeling and Driving Point Impedance
[IEEE] 2026-5-4 | Modeling and Simulation of Single-Phase Shift Power Modulation in Isolated Bi-directional Dual Active Bridge DC-DC Converter
[IEEE] 2026-5-4 | Intensively Quantized Integrated Fuzzy Neural Network for High-Accuracy Image Classification
[IEEE] 2026-5-4 | Efficiency-Enhanced Polarization-Reconfigurable Transparent Antenna Using Reversed-Stacked ITO Films
[IEEE] 2026-5-4 | Super-Resolution Channel Estimation for RIS-Aided Multi-User mmWave Systems: Dictionary Adaptation and Error Modeling
[IEEE] 2026-5-4 | Model Vectorization and Low Fluctuation Method for Dynamic Wireless Power Transfer
[IEEE] 2026-5-4 | Consumer Responses to Ethical and Privacy Concerns in AI Chatbots: Evidence From Offensive Language, Gender Bias, and Digital Privacy
[IEEE] 2026-5-4 | Space-Forensic Tool Coverage Derivation through Satellite System Profiling
[IEEE] 2026-5-4 | Coupling Structure Optimization and Efficiency Analysis in Ultra-Thin Sapphire Fiber
[IEEE] 2026-5-4 | ECG Wavelet Graph for IoT-Enabled Well-Being Monitoring
[IEEE] 2026-5-4 | Adaptive Detectors for Channel Matrix-based MIMO Radar
[IEEE] 2026-5-4 | An Enhanced Golden Jackal Optimizer for Multi-Criteria DAG Task Scheduling in a Heterogeneous 6G Air-Ground-Space Integrated Network
[IEEE] 2026-5-4 | Strategic 3D Printing Technology Authorization for Spare Parts Under Demand Uncertainty
[IEEE] 2026-5-4 | Stochastic Geometry Analysis and Optimization for Multi-LEO Satellite-Assisted Communications
[IEEE] 2026-5-4 | Semantic-Aware Resource Allocation for Uplink RSMA via Deep Reinforcement Learning
[ACM] 2026-5-4 | Modeling the Propagation of Unsafe Behaviors Among Construction Workers Using a Heterogeneous Graph Framework
[ACM] 2026-5-4 | State-based Data Lifecycle Flow Control in the Context of Big Data
[ACM] 2026-5-4 | Enhancing Multi-Agent Reinforcement Learning with Auxiliary Trajectory Prediction for Dynamic Interaction Modeling
[ACM] 2026-5-4 | Comparative Evaluation of Local vs. Cloud LLMs and a Multi-Agent System for Sentiment Feature Extraction
[ACM] 2026-5-4 | AutoPack-Vision: Automated Inspection of coffee packaging with Faster R-CNN and YOLOv8
[ACM] 2026-5-4 | Enhancing Stock Price Forecasting through GA-SVR: An Evaluation of Three Crossover Strategies
[ACM] 2026-5-5 | Design and Implementation of an AI-Powered Mock Interview System
[ACM] 2026-5-4 | Lesion Segmentation of Neonatal Diffusion MRI Under Simulated K-space Undersampling
[IEEE] 2026-5-4 | Improving MPC of Hybrid Energy Storage Systems of DC Microgrids Using Deadbeat Control
[IEEE] 2026-5-4 | Learning-Based Multiobjective Coevolutionary Algorithm for Mixed-Model Assembly Line Balancing and Sequencing Problem With Collaborative Robots
[IEEE] 2026-5-4 | An Ultrafast Indirect Power Detection Based Short-Circuit Protection Method for GaN HEMTs
[IEEE] 2026-5-4 | When Does Quaternion DQN Work? Hamilton Product Inductive Bias for Rotation-Dominant Reinforcement Learning
[IEEE] 2026-5-4 | pTree: Building Efficient B
                    <sup>+</sup>
                    -Tree on Non-volatile Memory with Processing-in-memory
[IEEE] 2026-5-4 | Linear V
                    <sub>FB</sub>
                    Tuning and Interface Improvement via TMA/Ultrathin HfO
                    <sub>2</sub>
                    Dual-Buffer in La
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Dipole-First Gate Stacks
[IEEE] 2026-5-4 | Design of Compact Quad-Function Filtering Circuit Using Hybrid Coaxial-Dielectric Resonators
[IEEE] 2026-5-4 | A Distributed Braking Scheme for Heavy-Haul Trains Using Coupler Force Compensation
[IEEE] 2026-5-4 | Hyperdimensional Computing Regression: Foundations, Algorithms, and Comparative Review
[IEEE] 2026-5-4 | Label-Free Land-Cover Mapping from Airborne LiDAR via SAM Distillation with Convolutional LoRA Adapters
[IEEE] 2026-5-4 | Compact Three-in-One Integrated Millimeter-Wave and Microwave Antenna Architecture for Metal-Framed 5G/6G Smartphones Featuring Satellite-Direct-to-Cell Communications
[IEEE] 2026-5-4 | State Transfer Graph and its Generating Methods for Place-Timed Petri Nets based Scheduling
[IEEE] 2026-5-4 | LWFusionFormer: Lightweight Convolution and Transformer Fusion for Accurate and Efficient Depth Estimation_supp1-3689768.mp4
[IEEE] 2026-5-4 | Design and Performance Assessment of Hybrid Halbach Brushless PM Motor for UAV Applications Considering Torque and Rare-Earth Utilization Efficiency
[IEEE] 2026-5-4 | Comparative Analysis and Optimization of Digital CR-RC
                    <sup>n</sup>
                    Pulse Shaping Algorithms for
                    <sup>3</sup>
                    He Neutron Detectors
[IEEE] 2026-5-4 | SAR-LiteDETR: A Lightweight Detector for Small Ships in SAR Images
[IEEE] 2026-5-4 | Gramian Angular Field-Assisted Deep Learning Approach for Fault Identification and Localization in Electrical Power Network
[IEEE] 2026-5-4 | Development of a Real-Time Battery Monitoring System for SoC Estimation Using Arduino
[IEEE] 2026-5-4 | Impact of Activation Functions and Optimizers on GNN-Based Reduced Optimal Power Flow
[IEEE] 2026-5-4 | Steady-State Modeling and Frequency Control for Enhanced Power Stability under Dynamic Bidirectional Load Scheduling
[IEEE] 2026-5-4 | Adaptive PID Control for MPPT in Solar PV Powered Boost Converter
[IEEE] 2026-5-4 | A New Single Switch Fault Tolerant Multilevel Inverter for RES Applications
[IEEE] 2026-5-4 | Optimal Sizing and Placement of Electric Vehicle Charging Station with the Integration of Renewable Energy Source
[IEEE] 2026-5-4 | Assessing the Impact of EV Integration in Multi-Area Economic Dispatch Under Renewable Uncertainty
[IEEE] 2026-5-4 | Dual-Factor Authentication for Industrial Machinery Access Using RFID and Fingerprint Verification
[IEEE] 2026-5-4 | Optimized Machine-Learning Approach for Estimation of State-Of-Charge of Lithium-Ion Batteries for Sustainable Transportation
[IEEE] 2026-5-4 | Hybrid Pulse Power Characterization and Equivalent Circuit Modeling of 18650 NMC Batteries at Low Temperature
[IEEE] 2026-5-4 | A Resilient Controller for Enhancement of Load Frequency Control in Multi-Area Restructured Power System with Nonlinearities
[IEEE] 2026-5-4 | Analysis of recent TT and QT Asymmetrical Interconnections in BIPV Arrays under Real-World Partial Shading for Urban Energy Networks
[IEEE] 2026-5-4 | Design and Implementation of HMI by Enhancing Display and Data Logging Capabilities for Improved Process Control
[IEEE] 2026-5-4 | Leader-Follower Consensus with Deep Neural Networks
[ACM] 2026-5-5 | The Ideal Membership Problem and Abelian Groups
[ACM] 2026-5-5 | From Point Clouds to Digital Narratives: A Generative AI Framework for Immersive Media Reconstruction and Cultural Storytelling of Classical Garden Heritage
[IEEE] 2026-5-4 | Deployment Optimization of AP Numbers and Spatial Poses for Distributed MIMO Near-field Communication Systems
[IEEE] 2026-5-4 | Scheduling Training-Inference Co-Location in Demand Response for Sustainable Edge AI_supp1-3686889.pdf
[IEEE] 2026-5-4 | Adaptive Resource Allocation for eMBB and URLLC Under Dynamic Backhaul Traffic: Puncturing or Slicing?
[IEEE] 2026-5-4 | Hybrid Classical–Post-Quantum Migration Framework for Brownfield SCADA Environments
[IEEE] 2026-5-4 | 100-Gb/s All-Electronic THz Wireless Direct Detection System Enabled by Kramers–Kronig Inspired Neural Network
