[2026-07-31 11:29:59] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-30
正在获取论文...
[arXiv] 2026-07-30 | Diversifying Personalized Research Ideation against AI-Induced Homogenization
[arXiv] 2026-07-30 | Generalization and Trade-off in Adversarial Training: An RKHS Perspective via Kernel Integral Operators
[arXiv] 2026-07-30 | Driving up Inference Energy on SNNs: Per-Sample and Universal Sponge Attacks
[arXiv] 2026-07-30 | Mega-Space Current Algebra and Green-Schwarz Geometry in Heterotic String Theory
[arXiv] 2026-07-30 | The Second Quadratic Invariant of Astrophysical Gyrokinetics
[arXiv] 2026-07-30 | What exam scores can and cannot prove about unauthorized AI assistance: Evidence from a highly public classroom episode
[arXiv] 2026-07-30 | A search for HI absorption in distant star-forming galaxies with ASKAP-FLASH - II. Direct observations and stacking of 21 cm line
[arXiv] 2026-07-30 | SRG/eROSITA X-ray selected cataclysmic variable candidates observed in SDSS-V DR20
[arXiv] 2026-07-30 | Isolated Singularities and Measure Data Problems for Semilinear Equations Driven by Stable Lévy Operators
[arXiv] 2026-07-30 | AutoPref: Automatic Discovery of Task-Specific Preference Objectives for Neural Combinatorial Optimization
[arXiv] 2026-07-30 | Safeguards Based on Copyable Context Cannot Provide Reliable Safety for LLMs
[arXiv] 2026-07-30 | $L^\infty$ bounds and asymptotic behavior in a doubly degenerate chemotaxis system below six dimensions
[arXiv] 2026-07-30 | Interpretable Representation via LLM-Driven Generative Disentanglement for Local-Life Service Recommendation
[arXiv] 2026-07-30 | Scaling LLM-Driven Multi-Agent Systems: Design Principles and Architectural Scalability Analysis
[arXiv] 2026-07-30 | STM study of single phosphorus incorporation into silicon by heating PBr3 on Si(100)
[arXiv] 2026-07-30 | The Geometric Nature and a Free Proxy for Flow-Matching Uncertainty
[arXiv] 2026-07-30 | ARD-REFSM: Enhancing Reflection Symmetry Detection with Asymmetric Denoising and Rotation Equivariance
[arXiv] 2026-07-30 | Coulomb and nuclear polarization of the nucleon density in the dinuclear configuration of the $^{40}$Ca + $^{208}$Pb system
[arXiv] 2026-07-30 | Clifford-Appell formulation of a Dirac-type Kronig-Penney model in condensed matter physics
[arXiv] 2026-07-30 | Interconnection of Quantum Networks at Urban scale: Analysis of Temporal Stability of Entangled Photon Sources
[arXiv] 2026-07-30 | One Patch Is Enough: Reinforcement-Optimized Visual Token Grounding for MLLM-Based Scene Text Spotting
[arXiv] 2026-07-30 | Static In, Dynamic Out: Counterfactual Action Augmentation for Moving Object Manipulation
[arXiv] 2026-07-30 | Not All Tokens Deserve Equal Credit: Counterfactual Sensitivity Credit Reallocation for Long-CoT Reasoning
[arXiv] 2026-07-30 | Hyperchaos in a Magnetic Nanodisk Driven by Ferromagnetic Resonance
[arXiv] 2026-07-30 | Pion Transition Form Factor in Lattice QCD
[arXiv] 2026-07-30 | High-Field EPR/ENDOR of N/Be Centers for Defect Engineering in 6H-SiC
[arXiv] 2026-07-30 | Unveiling the period-bounce population of cataclysmic variables: Spectroscopic and time-domain follow-up of eROSITA-selected candidates
[arXiv] 2026-07-30 | Simplifying Neural Networks During Training
[arXiv] 2026-07-30 | Beyond Feeling Better: Capability-Sustaining Emotional Dialogue as a Longitudinal Research Paradigm
[arXiv] 2026-07-30 | Safety-Gated Agentic Supervisory Control on a Coupled Distillation Benchmark: Regime Map, Auditable Gate, and Co-Design Findings
[arXiv] 2026-07-30 | Nanoparticle Networks for Neuromorphic Computing
[arXiv] 2026-07-30 | Compressible solved-volatility stochastic fluid thermodynamics: source-consistent energy, finite-correlation reservoirs, entropy admissibility and boundary conditions
[arXiv] 2026-07-30 | When AI Becomes Routine: A Decade of Public AI Mediation in Korean Go Commentary
[arXiv] 2026-07-30 | A sharp Gaussian harmonic-mean inequality for Neumann eigenvalues of the Ornstein-Uhlenbeck operator
[arXiv] 2026-07-30 | Same Branches, Different Trees: A Bifurcation Connectedness Metric for Coronary Artery Segmentation and FFR-CT Decision Agreement
[arXiv] 2026-07-30 | Influence of Rotational Diffusion on Macromolecular Self-Assembly Kinetics
[arXiv] 2026-07-30 | AdaAnchor4D: Anchor-Conditioned Spatiotemporal Feature Aggregation for Monocular UAV 4D Reconstruction
[arXiv] 2026-07-30 | Mixed-identity-freeness and primitivity of group rings
[arXiv] 2026-07-30 | Current-based RF charge sensing in a carbon nanotube
[arXiv] 2026-07-30 | A Distributed Acoustic Sensing Dataset for Vessel Detection and Localization in Submarine Cable Protection
[arXiv] 2026-07-30 | MonoVoc: Decoupling Geometry and Semantics for Lightweight Monocular Open-Vocabulary 3D Gaussians
[arXiv] 2026-07-30 | A MATLAB Tool for the Stable Generation of Matrix Polynomial Evaluation Schemes with Two-Product Savings
[arXiv] 2026-07-30 | MemHarness: Memory Is Reconstructed, Not Replayed
[arXiv] 2026-07-30 | Limit theorems for differential systems with multipoint boundary conditions in Sobolev spaces
[arXiv] 2026-07-30 | No-gap second-order conditions for optimization problems involving transport distances
[arXiv] 2026-07-30 | When Robots Exchange Meaning: A Demo of Goal-Oriented Semantic Communications for Collaborative Robotics
[arXiv] 2026-07-30 | Self-Evolving Learning for Embodied AI with Criticality Model
[arXiv] 2026-07-30 | Logarithmic corrections to black hole entropy from minimum-assumptions discretization
[arXiv] 2026-07-30 | Euler-type Recurrence Relations for Partition Functions with Congruence Conditions
[arXiv] 2026-07-30 | Exact Homomorphism Thresholds Beyond Cliques
[arXiv] 2026-07-30 | Well-posedness and large deviations for the obstacle problem of first-order stochastic conservation laws
[arXiv] 2026-07-30 | CDAE: Enhancing Perturbation Robustness in Pretrained Language Models with Contrastive Denoising
[arXiv] 2026-07-30 | R3MG-C: a high-order algebraic-geometric multilevel preconditioner for continuous finite element discretizations
[arXiv] 2026-07-30 | EMBL AI Librarian: Life-Sciences Knowledge Layer for AI Agents
[arXiv] 2026-07-30 | Higher-level degenerate spin affine Hecke superalgebras
[arXiv] 2026-07-30 | Queue-Theoretic Admission Control for Multi-Tenant GPU Clusters
[arXiv] 2026-07-30 | Weather Emulators at the Frontier of Heat Extremes Predictability
[arXiv] 2026-07-30 | Hash Chemistry: Minimal Models for Evolutionary Growth of Complexity
[arXiv] 2026-07-30 | Exploring generative design AI tools for astronomical instrumentation: a CubeSat chassis case study
[arXiv] 2026-07-30 | Coexistence of 5G NR and Wi Fi 6E/7 at 6 GHz: Experimental Interference Measurements
[arXiv] 2026-07-30 | Effect of confinement anisotropy on particle transport and structural relaxation of finite dust clusters in complex plasma
[arXiv] 2026-07-30 | Think with Extra-Image: A Farmland Segmentation Agent Driven by Spatio-Temporal Information Gain
[arXiv] 2026-07-30 | Semi-supervised Hopfield model: Theoretical and Numerical results
[arXiv] 2026-07-30 | Where and When to Commit: Candidate-Aware Decoding for Diffusion Language Models
[arXiv] 2026-07-30 | Double shuffle relations imply the infinitesimal hexagon equation
[arXiv] 2026-07-30 | What Makes Deep Learning Work for Traditional Chinese Medicine Tongue Diagnosis? A Comprehensive Ablation Study
[arXiv] 2026-07-30 | LM-GRASP: Instance-Specific Language Models for Combinatorial Construction via Online Imitation Learning
[arXiv] 2026-07-30 | Collaborative Feature Aggregation for Face Super-Resolution and Robust Re-Identification
[arXiv] 2026-07-30 | Information Bottleneck Learning for Faithful Time Series Forecasting Explanations
[arXiv] 2026-07-30 | Characterizing the oxidation state of rocky exoplanets with the Large Interferometer for Exoplanets (LIFE)
[arXiv] 2026-07-30 | Challenges in annotations by humans and LLMs: A case study of evaluative language
[arXiv] 2026-07-30 | mmRadarTwin: A Measurement-Calibrated Signal-Level Digital Twin Platform for Indoor mmWave Radar
[arXiv] 2026-07-30 | Three-Dimensional Kardar--Parisi--Zhang Scaling in Polariton Condensates
[arXiv] 2026-07-30 | An Adaptive Finite Element Method for Marker-Driven Level-Set Transport on Hierarchical Meshes
[arXiv] 2026-07-30 | From Expert Reduction to Behavioral Divergence: Tracing Numerical State through Sparse MoE Inference
[arXiv] 2026-07-30 | From Minds to Models: The Intersection of Psychology and LLM Behaviours
[arXiv] 2026-07-30 | Heterogeneous Ranking in Industrial-Scale Recommender Systems: A Case Study
[arXiv] 2026-07-30 | Consuming Values
[arXiv] 2026-07-30 | Objective-Aligned Direct Answer SFT for Robust Multi-Frame Medical VQA
[arXiv] 2026-07-30 | On the upper bound for the vorticity growth of bi-rotational Euler flows without swirl
[arXiv] 2026-07-30 | A new approach for the determination of through-thickness and free-edge stresses in composite laminates based on structural elements
[arXiv] 2026-07-30 | Training Skills Like Parameters via Self-Supervised Semantic Diffusion
[arXiv] 2026-07-30 | Beyond Hexagonal Boron Nitride: First-Principles Study of Pentaoctite-BN and Pop-BN Monolayers
[arXiv] 2026-07-30 | AnchorMark: Robust Diffusion Watermarking via Latent-Space Rotation Synchrony
[arXiv] 2026-07-30 | Explaining the Macroeconomic Inertia Puzzle
[arXiv] 2026-07-30 | ProgFormer: Hierarchical Voxel Diffusion Transformer for Longitudinal Brain MRI Prediction
[arXiv] 2026-07-30 | Universal topological statistics on triangulated singular spaces
[arXiv] 2026-07-30 | On the greatest common divisor of $n, \lfloor α_1n\rfloor, \lfloor α_2n^2\rfloor, ..., \lfloor α_kn^k\rfloor$
[arXiv] 2026-07-30 | Vector field theory in motion: Revealing latent potentials in soccer dynamics
[arXiv] 2026-07-30 | The X-ray catalogue of FGK stars within 10 pc: The coronal temperature-brightness relation explained with the RTV scaling law
[arXiv] 2026-07-30 | Sign Language Question Answering: A New Task, Benchmark, and Baseline for Sign Language Understanding
[arXiv] 2026-07-30 | Reversing Reserve Logic: Optimal Holdback in Local Allocation under Scalable Entry
[arXiv] 2026-07-30 | Beyond Borrowed Histories: Person-Aligned User Simulation for Interactive Role-Playing Evaluation
[arXiv] 2026-07-30 | Pricing and Semi-static Hedging of Green Pay-as-produced Power Purchase Agreements
[arXiv] 2026-07-30 | $αβ$-Tessarine Toolbox: A high-performance MATLAB framework for hypercomplex tensor algebra
[arXiv] 2026-07-30 | Finite-temperature bulk moduli from an EOS-based Grüneisen function
[arXiv] 2026-07-30 | Robust PIDNet Control of a Dual-Actuator Thrust Vectoring Platform
[arXiv] 2026-07-30 | Semantic-Aligned Structural Abstraction for Multimodal Sentiment Analysis
[arXiv] 2026-07-30 | SpecCal: Ambiguity-Aware Candidate Calibration for Infrared Spectrum-Based Molecular Structure Reconstruction
[arXiv] 2026-07-30 | LoRA Scaffolded Policy Optimization (LSPO): A Sampling-Time Low-Rank Scaffold for Recovering Reinforcement-Learning Gradient on Zero-Reward Cliff Prompts
[arXiv] 2026-07-30 | Gaussian free field in annulus: BPZ equations and crossing probabilities for level lines
[arXiv] 2026-07-30 | Reasoning Consensus: Structural Ensembling of LLM Reasoning via Weighted DAG Aggregation
[arXiv] 2026-07-30 | RIPPLE: Generating Multi-Channel Phase, Not Recovering It
[arXiv] 2026-07-30 | Quantum Magnonics: Quantum States Generation and Applications
[arXiv] 2026-07-30 | DAS-PMVC: A Framework for Partial Multi-View Clustering via Dual Alignment and Structure Enhancement
[arXiv] 2026-07-30 | EgoGVAE: Ego-body Mesh Reconstruction via Guided Variational Autoencoder
[arXiv] 2026-07-30 | Delegated Fair Division
[arXiv] 2026-07-30 | Improving the Robustness/Accuracy Tradeoff Against Adversarial Attacks Using Information Bottleneck Distillation Through Dual Teachers
[arXiv] 2026-07-30 | PrintAnything: Learning an Intermediate Representation for 3D printing G-code Generation
[arXiv] 2026-07-30 | A Graph Matching Based Approach for the Multi-Depot Capacitated Vehicle Routing Problem
[arXiv] 2026-07-30 | Structural Averaged Controllability for Linear Ensemble Systems: Multi-input Case
[arXiv] 2026-07-30 | SpatialCLI: Learning to Reason With Spatial Tools, Then Without Them
[arXiv] 2026-07-30 | A Universal Crystal-Field Design Principle for Orbital-Order-Driven Altermagnetism
[arXiv] 2026-07-30 | LabEvolver: Training-Free Experience Evolution for Safe and Grounded Wet-Lab Agents
[arXiv] 2026-07-30 | Evaluating and Pricing Advertisements in AI-Generated Responses
[arXiv] 2026-07-30 | Event-Structured Physics-Informed Neural Networks for Differentiable Critical Clearing Boundaries
[arXiv] 2026-07-30 | A Bayesian Bootstrap Method for Survival Models
[arXiv] 2026-07-30 | Improved RIP Bounds for Gaussian Partial Circulant Matrices
[arXiv] 2026-07-30 | FedOGL: Combating Catastrophic Forgetting in Federated Open-World Multimodal Graph Learning
[arXiv] 2026-07-30 | Strategy Phasing of Cyber Attacks on Digital Substations
[arXiv] 2026-07-30 | Evaluation Protocols and Cross-Subject Generalization in EEG Emotion Recognition
[arXiv] 2026-07-30 | An extra hard spectral component peaking at sub-GeV in the prompt emission of GRB 260226A
[arXiv] 2026-07-30 | Multi-maturity consistency of option prices under bounded bid-ask spreads: a minimal obstruction and an exact two-date basket operator
[arXiv] 2026-07-30 | Racing to Ruin
[arXiv] 2026-07-30 | 4DHumanDiff: Direct Text-to-4DGS Generation for Consistent 360-Degree Dynamic Humans
[arXiv] 2026-07-30 | Doubly Robust Estimators of Quantile Treatment Effects With Semiparametric Cumulative Probability Models
[arXiv] 2026-07-30 | ReDiPPO: Reference-Guided Value Calibration and Discrepancy-Aware Token Reweighting for Mathematical Reasoning
[arXiv] 2026-07-30 | SCOPE: Synthetic Conditional Objectives for Policy Evolution in Black-Box Combinatorial Optimization
[arXiv] 2026-07-30 | Curved Kakeya problems and the projective geometry of paths
[arXiv] 2026-07-30 | Physics to Circuit Analysis of GaN RF Integrated Circuits versus GaAs and Silicon
[arXiv] 2026-07-30 | MPIE-Bench: Benchmarking Anatomically Plausible Multi-Person Interaction Editing
[arXiv] 2026-07-30 | CORE: In-Context Reconstruction for Unified Tabular Anomaly Detection
[arXiv] 2026-07-30 | Rotation and Mutual Eclipse Events Season in the Kuiper Belt: (524366) 2001 XR$_{254}$
[arXiv] 2026-07-30 | Lattice composite Fermi liquid with broken inversion symmetry
[arXiv] 2026-07-30 | RaDiVe: Robust 4D Radar Odometry with Distance-Bounded NDT and Velocity-Discrepancy Point Uncertainty
[arXiv] 2026-07-30 | Vacuum fluctuations in Rainbow space-time: Study of Casimir effect
[arXiv] 2026-07-30 | Quantum Chaos and Diffusive Transport from Geometric Randomness
[arXiv] 2026-07-30 | Schwartz spaces on L-monoids: non-Archimedean
[arXiv] 2026-07-30 | Learning Arbitrary Lindbladians from Time Evolution
[arXiv] 2026-07-30 | Pauli Encodings & Unclonable Encryption
[arXiv] 2026-07-30 | LISA Reconstruction Landscape for Metastable Cosmic Strings
[arXiv] 2026-07-30 | Change2Task: From Repository Changes to Executable Coding Agent Tasks and Environments
[arXiv] 2026-07-30 | Boundedness of polarized foliated surfaces
[arXiv] 2026-07-30 | ROAD: Reciprocal-Objective Alignment of Discriminative Semantics for 3D Shape Generation
[arXiv] 2026-07-30 | DualG-MRAG: Decoupling Macro-Reasoning and Micro-Matching for Multimodal Retrieval-Augmented Generation
[arXiv] 2026-07-30 | Sample More, Reflect Less: Self-Refine and Reflexion Lose to Repeated Sampling at Equal Token Cost, from 1.5B to 7B
[arXiv] 2026-07-30 | Frontis-MA1: Training an AI4AI Model towards Recursive Self-Improvement in Machine Learning Engineering
[arXiv] 2026-07-30 | Statistically secure uncloneable encryption of arbitrary messages
[arXiv] 2026-07-30 | Sumsets and generalized arithmetic progressions in multiplicative subgroups
[arXiv] 2026-07-30 | Wavefunction-based periodic quantum chemistry
[arXiv] 2026-07-30 | Correcting Mode Collapse in Silicon Sampling with Semantic Similarity Rating
[arXiv] 2026-07-30 | Effects of Auditory Information for People With Visual Impairments in Highly Automated Vehicles
[arXiv] 2026-07-30 | Implementing Homomorphic Encryption-Based Logic Locking in System-on-Chip Designs
[arXiv] 2026-07-30 | A Provable Oracle-Free Quantum Algorithm for Nonlinear Dynamics on Hybrid Oscillator-Qubit Processors
[arXiv] 2026-07-30 | When quantum thermal states look classical
[arXiv] 2026-07-30 | Reliability-calibrated deep residual full-waveform inversion using geometry-invariant physics encoding: synthetic validation and zero-shot Marmousi-2 testing
[arXiv] 2026-07-30 | Topology optimization of conduction-radiation problems based on a ray-tracing approach
[arXiv] 2026-07-30 | Uncertainty-Aware Tidal Disruption Event Classification : A Host-Agnostic Probabilistic Random Forest Approach
[arXiv] 2026-07-30 | Second Eigenvalue Estimates and Spectral Rigidity for Submanifolds of Compact Rank-One Symmetric Spaces
[arXiv] 2026-07-30 | Forecasting Land Art Under Climate Scenarios
[arXiv] 2026-07-30 | Optical linewidth narrowing for device-coupled single T centers
[arXiv] 2026-07-30 | Mitigating quantum decoherence via global optimal control
[arXiv] 2026-07-30 | Would You Walk to the Car Wash? Revealing the Salience Bias of Large Language Models in Commonsense Reasoning
[arXiv] 2026-07-30 | SVR: Self-Verifying Refinement via Joint Verdict-Confidence Reinforcement Learning for Adaptive Test-Time Compute
[arXiv] 2026-07-30 | Graph Neural Multilevel Preconditioners for Iterative Solvers
[arXiv] 2026-07-30 | Potentials and Limitations on Different Busbar Protections in Industrial Applications
[arXiv] 2026-07-30 | Dynamics of compact binary systems in massive scalar Gauss-Bonnet gravity
[arXiv] 2026-07-30 | On credit attribution and research software: A case study from lattice QCD
[arXiv] 2026-07-30 | One Future, Every Robot: Label-Efficient Collective-State Prediction with Decentralized JEPA
[arXiv] 2026-07-30 | ViewMind3D: Modular View-Aware Inference for Training-Free 3D-QA
[arXiv] 2026-07-30 | Beyond a Single Judge: Simulating Social Persona Panels for Generative UI Evaluation
[arXiv] 2026-07-30 | On boundary regularity for the fractional p-Laplacian with unbounded reactions
[arXiv] 2026-07-30 | Classical Tensor Network and Quantum Fourier Transform Approaches for Large-Scale Carr-Madan Option Pricing
[arXiv] 2026-07-30 | AgentRadio: Passive Awareness for Long-Horizon Multi-Agent Collaboration
[arXiv] 2026-07-30 | Negative controls reveal volume-driven confounding in radiomics and imaging foundation model features
[arXiv] 2026-07-30 | Convergence to the exact kinetics of the one-dimensional Riviera model
[arXiv] 2026-07-30 | FasTac: A Curved Multispectral Vision-Based Tactile Sensor for High-Speed High-Precision 3D Shape and Force Perception
[arXiv] 2026-07-30 | The BGV Theorem and the Null Convergence Condition
[arXiv] 2026-07-30 | On-Policy and Off-Policy Learning for Large Action Spaces
[arXiv] 2026-07-30 | Thompson's Group $V$ and Virtual Link Theory
[arXiv] 2026-07-30 | QuantWAMs: Calibrating at the Right Granularity for World Action Models
[arXiv] 2026-07-30 | Large scale cross-regional remote sensing flood monitoring framework for operative mapping and impact analysis
[arXiv] 2026-07-30 | Estimating amplitude of matter density fluctuations in solar and supernova models using neutrino flavor evolution
[arXiv] 2026-07-30 | TacWAM: Anchor-Guided World Action Model with Mechanics-Aware Tactile Prediction
[arXiv] 2026-07-30 | Extreme sensitivity of nonlinear trajectories enhances optical spectral broadening
[arXiv] 2026-07-30 | Search for pair-production of vector-like $T$ quarks decaying into a top quark and a spin-0 particle in the diphoton final state in proton proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector
[arXiv] 2026-07-30 | HyperClaim: Fine-Grained Cross-Modal Hypergraph Reasoning for Video Misinformation Detection
[arXiv] 2026-07-30 | Emergence of a Macroscopic Cat State and Multi-Channel Entanglement in a Frustrated Cluster Spin Chain
[arXiv] 2026-07-30 | On the Computational Complexity of (Extended) Threshold Dimension and (Semi-)Ladder Index
[arXiv] 2026-07-30 | Input-to-state Stable Approximate Nonlinear Model Predictive Control with Realtime Feasibility
[arXiv] 2026-07-30 | Studying Circular Motion with an AI-Generated Smartphone Physics Lab
[arXiv] 2026-07-30 | Multi-branch classification of diffuse cluster radio emission
[arXiv] 2026-07-30 | Reflected diffusion, no-flux continuity equations and confined Lagrangian flows in bounded domains
[arXiv] 2026-07-30 | Capturing Token Tendencies for Training-Free Token Pruning in Multimodal Large Language Models
[arXiv] 2026-07-30 | Wavelength-Resolved Photoinduced Spin Polarization in a Broad Optical Range for a Porphyrin-Quinone System
[arXiv] 2026-07-30 | Wiring diagram extraction and gluing: a case study in classifying figure skating jumps using 3D dataset
[arXiv] 2026-07-30 | Consistent symmetry breaking and topological phases
[arXiv] 2026-07-30 | On small covers over Bier spheres
[arXiv] 2026-07-30 | Brewster-anomaly delocalization for free-electron radiation
[arXiv] 2026-07-30 | Search Strategies for Optimal Classification and Regression Trees
[arXiv] 2026-07-30 | ODEWorld: A Continuous Predictive Architecture via Physical-Time Flow
[arXiv] 2026-07-30 | Statistical treatment of searches for counterparts of positionally-uncertain astrophysical sources: from flux upper limits to detection
[arXiv] 2026-07-30 | Thermal spin transport in easy-planar $d$-wave altermagnets controlled by magnetic field
[arXiv] 2026-07-30 | Evolutionary adaptation through bet-hedging in finite populations under fluctuating environments
[arXiv] 2026-07-30 | S-CEReBrO: Breaking the Memory Barrier in Continuous EEG Monitoring
[arXiv] 2026-07-30 | Non-autonomous KAM theory for lower dimensional invariant tori (I): Normally elliptic and hyperbolic cases
[arXiv] 2026-07-30 | Fully Inductive Cardinality Estimation
[arXiv] 2026-07-30 | Ab Initio Real-Time Gravitational-Wave Parameter Estimation
[arXiv] 2026-07-30 | Signatures of kinetic gravity braiding in cosmological probes of the gravitational field
[arXiv] 2026-07-30 | Old Tricks, New Models: How Simple Image Transformations Break Modern AI-based Content Moderation
[arXiv] 2026-07-30 | String Matching in (Block) Graphs: A Full Classification by Walk Length
[arXiv] 2026-07-30 | DM/WFS mis-registration tracking: Implementation and on-sky validation of SPRINT at LBT
[arXiv] 2026-07-30 | Optical Dipole Trap for Hg Atoms
[arXiv] 2026-07-30 | Entanglement Swapping with Integrated Narrowband Photon Sources for Quantum Repeaters
[arXiv] 2026-07-30 | Homotopy limits of complexes
[arXiv] 2026-07-30 | Realizing additive monoids as mapping degree sets
[arXiv] 2026-07-30 | Checking Information Flow in Cloud-based IoT Access Control Policies (Extended Version)
[arXiv] 2026-07-30 | Statistical Constraints on Albedo Structure in Asteroid Families from NEOWISE Measurements
[arXiv] 2026-07-30 | LEEPS: Latent-Guided Explore-Exploit Prompt Sampling for Efficient RLVR in Large Language Models
[arXiv] 2026-07-30 | Temporal Poisoning: Clean-Label Backdoors via Event Redistribution in SNNs
[arXiv] 2026-07-30 | Random Turán Theorem for the Fano Plane
[arXiv] 2026-07-30 | Spin-canting-induced Giant Nonlinear Optical Magnetochirality in a 2D Ferrotoroid
[arXiv] 2026-07-30 | Deterministic QKD source robust against side-channel attacks
[arXiv] 2026-07-30 | On the Gow--McGuire Conjecture for Primitive Quadratic Polynomials
[arXiv] 2026-07-30 | Multi-Asset Utility Maximization with Jump Signals
[arXiv] 2026-07-30 | IndustryForge-27B: A Domain-Enhanced Multimodal Foundation Model for Industrial CAD
[arXiv] 2026-07-30 | TSOG: A Format For Temporally And Spatially Ordered Gaussians
[arXiv] 2026-07-30 | Quantum Trigonometric Spin Ruijsenaars-Schneider Models from $K$-theoretic Coulomb Branches
[arXiv] 2026-07-30 | ClawTrack: Towards Trace-Level Evaluation and Improvement of Real-World Autonomous Agents
[arXiv] 2026-07-30 | A parametrix construction for time-fractional partial differential equations
[arXiv] 2026-07-30 | Contrastive Reinforced Policy Optimization via Privileged Self-Distillation
[arXiv] 2026-07-30 | Flux-OPD: On-Policy Distillation with Evolving Contexts
[arXiv] 2026-07-30 | Hydrodynamical mass-loss rates for very massive stars II. New theoretical mass-loss predictions at solar metallicity (Z = 0.02)
[arXiv] 2026-07-30 | Deep learning-based hierarchical insect classification using camera trap imagery
[arXiv] 2026-07-30 | Centralizers and classifying spaces for commutativity of $SL_2(\mathbb{Z}[1/p])$
[arXiv] 2026-07-30 | PASS: Perturbation augmented space group structure sampling for transferable Fe-O machine learning interatomic potential
[arXiv] 2026-07-30 | Mpemba effect in a chemomechanical model of the Kinesin molecular motor
[arXiv] 2026-07-30 | SKIMIX: Multi-Agent Harness-Time Scaling with Skill Mixture for Dynamic Harness Engineering
[arXiv] 2026-07-30 | Share the Judge, Learn the Deferral: Where Specialization Helps LLM Evaluation
[arXiv] 2026-07-30 | Load balancing in parallel infinite-server queues with action delay via phase representation
[arXiv] 2026-07-30 | Now You Have My Healthy Attention: A U-DiT for Brain-MRI Inpainting
[arXiv] 2026-07-30 | What Makes Graph Unified? Principles and Generative Sliding-Window Transformer for Graph Foundation Models
[arXiv] 2026-07-30 | Compactness and Willmore Energy of Helicoidal Minimal Surfaces in the 3-Sphere
[arXiv] 2026-07-30 | Invariant manifolds in barred galaxy simulations. III. Self-regulated weakening of strong spiral arms
[arXiv] 2026-07-30 | High-mass binary black hole mergers from detailed binary evolution models
[arXiv] 2026-07-30 | LAST: The Last Query Token Guides Visual Token Pruning for Edge-Cloud Collaborative MLLM Inference
[arXiv] 2026-07-30 | A CPU+DCU Heterogeneous Parallel Framework for Post-Processing Reconstruction in Quantum Circuit Cutting
[arXiv] 2026-07-30 | Shapes from Examples: Foundations of Shape Learning in Recursive SHACL
[arXiv] 2026-07-30 | Feminist voices, partisan networks: gender and political communication by MEPs on social media
[arXiv] 2026-07-30 | Design of a Quantum Error Correction Decoder Exploiting Temporal Parallelism
[arXiv] 2026-07-30 | Harnessing the Potential of Optimizing Data Mixtures via Bayesian Domain Reweighting
[arXiv] 2026-07-30 | The Case for Vibe Modeling: A Missing Step in AI-Based Trustworthy Software Development
[arXiv] 2026-07-30 | Configuration crossing, shape evolution, and odd-proton polarization in yttrium isotopes
[arXiv] 2026-07-30 | OptGraph: Large Language Models Enhanced Evolutionary Optimization Via Graph Retrieval-Augmented Generation
[arXiv] 2026-07-30 | Exact Action Values Are Not Enough: Rollout-Verified Reinforcement Fine-Tuning of a Reasoning Model for Multi-Zone VAV Control
[arXiv] 2026-07-30 | Data-Driven Formal Methods for Complex Dynamical Systems: A Survey
[arXiv] 2026-07-30 | A comparative analysis of automated techniques for security bug report identification
[arXiv] 2026-07-30 | Dynamic Spectral Filtering for Temporal Graph Learning: Learning Evolving Propagation Operators
