[2026-08-25 21:16:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
[arXiv] 2026-08-24 | LoViF 2026 The First Challenge on Unified Removal of Raindrops and Reflections: Methods and Results
[arXiv] 2026-08-24 | Temporal filling-in reduces attentional fluctuations in sustained visual attention
[arXiv] 2026-08-24 | EGAMA-RC: Risk-Calibrated Evidence-Gated Adaptive Malware Analysis for Robust and Interpretable Memory-Forensic Triage
[arXiv] 2026-08-24 | Chiral doublon bound states in a synthetic topological waveguide
[arXiv] 2026-08-24 | Invariant two-jets and effective hyperbolicity for complements of two plane curves
[arXiv] 2026-08-24 | Evolution of cooperation with Q-learning: how much information do we need?
[arXiv] 2026-08-24 | Uniformity of extremal behaviour along geodesics in Liouville quantum gravity
[arXiv] 2026-08-24 | Hybrid Generative-Discriminative Object Placement
[arXiv] 2026-08-24 | Ellipsoids in pseudoconvex domains II
[arXiv] 2026-08-24 | On the formation of retrograde S-type planets in binaries with a polar circumbinary disk
[arXiv] 2026-08-24 | Toward a Unified Axion Cosmology
[arXiv] 2026-08-24 | High-throughput identification of ferromagnetic Kagome candidates in the AT6X4 and AT6X5 families
[arXiv] 2026-08-24 | Four hyperplanes do not always equipartition a mass in $\mathbb{R}^4$
[arXiv] 2026-08-24 | Hazel Prover: A Classroom Proof Assistant for Learning Structural Induction
[arXiv] 2026-08-24 | Absence of lateral domain wall mobility in Zn1-xMgxO thin films
[arXiv] 2026-08-24 | Sigmoid Attention as a Better Substrate for Learned KV Cache Eviction
[arXiv] 2026-08-24 | Quantum Geometry Driven Optical Responses in 1T-MX$_2$ Monolayers: A Symmetry-Constrained Slater-Koster Tight-Binding Approach
[arXiv] 2026-08-24 | SYNTLOG: FSM Benchmarks Evaluation for FPGA
[arXiv] 2026-08-24 | From Natural Language Policies to Executable Obligations: A Verification Harness for Dependable In-Car LLM Agents
[arXiv] 2026-08-24 | An Empirical Study of the TianoCore Community
[arXiv] 2026-08-24 | TianoForge: An Automated Bug Triage Approach for the TianoCore UEFI Firmware Development Community
[arXiv] 2026-08-24 | The Laws of Context Allocation: Causal Measurement and Closed-Loop Orchestration in Generative Search
[arXiv] 2026-08-24 | Semantic Reconstruction and 3-D Detection via Learned Multi-Pair Fusion in RF Imaging
[arXiv] 2026-08-24 | Future Querying: Can LLMs Serve as Implicit Medical World Models?
[arXiv] 2026-08-24 | A Multi-Domain and Multi-Task Generative Framework with Explicit Task and Domain Conditioning for Cross-Domain Event Extraction
[arXiv] 2026-08-24 | MLLM-Assisted Audio VOS: A 3rd Place Report for the MeViS-Audio Track, 8th LSVOS Challenge
[arXiv] 2026-08-24 | Which Histories Matter for Time Series Forecasting? Learning Predictive Relevance with Future Supervision
[arXiv] 2026-08-24 | Well-posedness of fully coupled McKean-Vlasov FBSDEs with jumps under full-tuple law dependence
[arXiv] 2026-08-24 | Representations with k-generalized Fibonacci numbers
[arXiv] 2026-08-24 | Search for Light Scalars in the Two Real Singlet Model at the LHC
[arXiv] 2026-08-24 | Systematic pathway comparison on the powerset of rule-based biochemical systems
[arXiv] 2026-08-24 | Evaluating Modern RAG: Textual, Multimodal, Dense, and Late Interaction Pipelines
[arXiv] 2026-08-24 | Model dependent analytic spin torsion corrections to Blandford Znajek energy extraction in Einstein Cartan gravity
[arXiv] 2026-08-24 | Counterfactual Transition Graphs: Evaluating Cross-Class Transition Quality
[arXiv] 2026-08-24 | Solar chemical composition
[arXiv] 2026-08-24 | Open Quantum Systems Approaches for Heavy-Ion Collisions
[arXiv] 2026-08-24 | A Cosmic Muon Tomography System with Machine Learning based Momentum Measurement for Multi-Object Reconstruction and Material Characterization
[arXiv] 2026-08-24 | A Simulator-Grounded Framework For Constructing Verifiable Muscle-Grounded QA From 3D Tongue Meshes
[arXiv] 2026-08-24 | Bridge Damage Detection from Low-Light UAV Imagery via Degradation-Aware Mixture-of-Experts Enhancement
[arXiv] 2026-08-24 | Graph distance and effective resistance of the random walk trace in four and five dimensions
[arXiv] 2026-08-24 | On The Existence of \(P\)-Contractions that are not Enriched Contractions
[arXiv] 2026-08-24 | Non-Local Energy Dissipation and Topological Obstructions in the Second-Order Positive Modified Burgers' Equation
[arXiv] 2026-08-24 | Physics-Guided Linear Mapper for Quantum Error Mitigation
[arXiv] 2026-08-24 | A fast improved quasi-physical dynamic algorithm for efficient wireless coverage in convex polygonal regions
[arXiv] 2026-08-24 | When a neural surrogate cannot accelerate a solver: runtime share, closed-loop drift, and the economics of uncertainty gating in a stiff coupled simulation
[arXiv] 2026-08-24 | WildHandBench: A Benchmark for Handwritten Text Understanding that Challenges MLLMs and Humans
[arXiv] 2026-08-24 | Identification and Inference for Causal Effects in Extremes under General Conditions
[arXiv] 2026-08-24 | Stochastic gradient descent with initial regularization
[arXiv] 2026-08-24 | A Massively Parallel Three-Grid Preconditioner for the High-Frequency Helmholtz Equation
[arXiv] 2026-08-24 | Extensive Air Showers Parameters Estimation Using Machine Learning Techniques with Simulations of the FAST Telescope
[arXiv] 2026-08-24 | Composition- and Ordering-Dependent Evolution of Simulated Kikuchi Patterns of Au-Ni Alloys
[arXiv] 2026-08-24 | Importance-Reweighted Fock-Space Variational Monte Carlo
[arXiv] 2026-08-24 | HelaBERT: Enhancing Sinhala Language Understanding with Dual Pooling Classification Head
[arXiv] 2026-08-24 | Geometric Phases of a Driven Qubit: Comparing Berry and Uhlmann Holonomies
[arXiv] 2026-08-24 | Unsupervised Speech Recognition at the Syllable Level
[arXiv] 2026-08-24 | Pre-Disclosure Experiment Menus: Oracle-Relative Risk and Joint Sample--Menu Asymptotics
[arXiv] 2026-08-24 | React or Predict? A Spectral Rule for Wireless Threshold Detection
[arXiv] 2026-08-24 | CDEG: Learning Decision-Critical Evidence for Long-Horizon Diagnostic Agents
[arXiv] 2026-08-24 | A particle method for the Boltzmann equation via amortized sampling from Green's function of the lifted linear operator
[arXiv] 2026-08-24 | The Mask Is Not the Model: Auditing Prefix Invariance in Attention, State-Space, and Hybrid Sequence Models
[arXiv] 2026-08-24 | AgentFlow: A Flow-Centric Policy Language and Framework for Securing LLM Agent Systems
[arXiv] 2026-08-24 | Toward Sub-1 kB Identity-Preserving Face Compression: A Benchmark of Codecs, a Custom Learned Codec, and Studies of Resolution, Demographic Fairness, Recompression, and Adversarial Robustness
[arXiv] 2026-08-24 | Following Motion for Sequential Modeling in Video Frame Interpolation
[arXiv] 2026-08-24 | Semileptonic Decay of $Λ_b \rightarrow N(1520)\ell^-\barν_{\ell}$ from QCD Light-cone Sum Rules
[arXiv] 2026-08-24 | Favourable Missingness in Semi-Supervised Classification for Exponential Mixture Models
[arXiv] 2026-08-24 | FinixDoc: Rethinking Financial Document Parsing Beyond Saturated Benchmarks
[arXiv] 2026-08-24 | Entropy of Bernoulli Measures Conditioned on Affine Subspaces and a Problem of Ancheta--Massey
[arXiv] 2026-08-24 | Mirror descent algorithms with logarithmic barriers
[arXiv] 2026-08-24 | Minimal Local Simulation Foundations for LLM- and VLM-Driven Agents in 2D and 3D Environments
[arXiv] 2026-08-24 | Efficient Separation of the Isomeric State $^{26\text{m}}\text{Al}$ from the Intense Ground State Background via Sequential Optical Pumping in Collinear Laser Spectroscopy
[arXiv] 2026-08-24 | Frame definability in second-order arithmetic
[arXiv] 2026-08-24 | SiZeUp: Fast 3D Proxy from Aerial Images via Depth Ordinal Loss
[arXiv] 2026-08-24 | Counterexamples to Escobar's conjecture
[arXiv] 2026-08-24 | tse_tick: A Python Library for Parsing and Querying Nikkei NEEDS Tick Data from the Tokyo Stock Exchange
[arXiv] 2026-08-24 | AutoSaddler: Automatic Harness Optimization with Durable Updates from Agent Execution Traces
[arXiv] 2026-08-24 | RoboRacer Arena: Scaling High-Fidelity Autonomous Racing in Isaac Sim
[arXiv] 2026-08-24 | MobilePA-Bench: Benchmarking Mobile Planner Agents on Complex Real-World Tasks
[arXiv] 2026-08-24 | ST$^2$U: Stateful Test-Time Unlearning via Restricted Knowledge Boundary Control
[arXiv] 2026-08-24 | Signed Sound-Speed Deformations of BSk24-Anchored Barotropes: Neutron-Star Response
[arXiv] 2026-08-24 | Centralized RAN for Future Low-Power Wide-Area Networks: A LoRa Case Study
[arXiv] 2026-08-24 | Simultaneous Indoor and Outdoor Coverage with Conformal Intelligent Omni-Surface
[arXiv] 2026-08-24 | AnaDiffusion: Anatomically CompositionalLatent Diffusion for Controllable 3D Brain MRI Generation
[arXiv] 2026-08-24 | Coarse Indexing, Fine Evidence: Decoupling Temporal Granularity in Long-Video RAG
[arXiv] 2026-08-24 | An improved upper bound for Tuza's conjecture via 2-colorable triangle families
[arXiv] 2026-08-24 | The Hamburger Criterion for Matrix Nevanlinna--Pick Interpolation
[arXiv] 2026-08-24 | PatchWrite: One Line, Not One Section -- Compile-Gated, Validity-Preserving Editing for AI-Drafted Manuscripts
[arXiv] 2026-08-24 | Positive Mass Theorem with Arbitrary Ends and Noncompact Boundary
[arXiv] 2026-08-24 | Channel-Token Attention for Reliable Dynamic Spectrum Access under Bursty Primary-User Traffic
[arXiv] 2026-08-24 | Discovery of New Zintl Films and Nanowires Grown by Topotaxy Conversion of III-V Semiconductors
[arXiv] 2026-08-24 | The Anonymity Gap: Understanding Real Privacy in Shielded UTXO-based Protocols for DeFi
[arXiv] 2026-08-24 | SA-RSQ: A Versatile Sparse Representation Framework for Multi-modal Recommender Systems
[arXiv] 2026-08-24 | Toward Effective and Reliable LLM Agents via Dynamic Ontology
[arXiv] 2026-08-24 | Closed-Loop Bayesian Molecular Inverse Design with Semantic LLM Surrogates
[arXiv] 2026-08-24 | Fundamental Algebras and Varieties with Quadratic Codimension Growth
[arXiv] 2026-08-24 | Exploring spectral element methods on the Tenstorrent RISC-V accelerator
[arXiv] 2026-08-24 | Asymptotics for Model Selection in Probabilistic Principal Component Analysis
[arXiv] 2026-08-24 | Pointing-VLA: Typed Spatial Grounding Interfaces for Vision-Language-Action Manipulation
[arXiv] 2026-08-24 | Reproducible Vision-Guided 6-DoF Robotic Manipulator with a Mixed Stepper-Driver Architecture and Browser-Native Control
[arXiv] 2026-08-24 | Black Box Cryptanalysis of AES128
[arXiv] 2026-08-24 | Observation of current-induced orbital quadrupole accumulation
[arXiv] 2026-08-24 | Flux-induced Aharonov-Bohm Oscillation in the Tunneling Spectroscopy of Kitaev Spin Liquids
[arXiv] 2026-08-24 | Chimera: Efficient Multi-Vector Retrieval via GPU-CPU Co-Processing
[arXiv] 2026-08-24 | The boxicity of the compressed zero divisor graph of the ring of integers modulo N
[arXiv] 2026-08-24 | Dust trapping, collisional velocity and velocity dispersion in gravito-turbulent discs
[arXiv] 2026-08-24 | Non-Abelian Spin Counting of Ordered Stochastic Trajectories: Reentrant Finite-Time Chern Numbers
[arXiv] 2026-08-24 | EarthVerse: Benchmarking Scientific Agents Across Dynamic Earth Systems and Natural Hazards
[arXiv] 2026-08-24 | Local quantum Cuntz--Krieger algebras of dephasing quantum graphs
[arXiv] 2026-08-24 | Post-diffusion cooling effects on Hall-derived active lithium donor profiles in high-purity germanium
[arXiv] 2026-08-24 | Riesz Energy Subset Selection in the Euclidean Plane is NP-Hard
[arXiv] 2026-08-24 | Quantitative Logarithmic Chowla Correlations Uniformly over Growing Shifts
[arXiv] 2026-08-24 | SRPO: Self-Reflective Policy Optimization for Long-Horizon Reasoning
[arXiv] 2026-08-24 | Geometric desingularisation of the sharp-to-smooth travelling wave transition
[arXiv] 2026-08-24 | GeoWAM: Visual Geometry World Action Models for Autonomous Driving
[arXiv] 2026-08-24 | Emergent Noncollinearity and Near-Degenerate Magnetic Superlattices in AT6X6 Kagome Metals
[arXiv] 2026-08-24 | Helical jets driven by a ring of laser irradiation
[arXiv] 2026-08-24 | Exact Rate Exponent Tradeoff for New Classes of Distributed Hypothesis Testing Problems
[arXiv] 2026-08-24 | Fragmentation and tidal locking in young quadruple systems
[arXiv] 2026-08-24 | ProxyFormer: A Dual-Stream Proxy Architecture for Ultra-Long Context and High-Resolution Generation
[arXiv] 2026-08-24 | Diversity-Based Active Learning: An Evaluation of Metric Spaces for Active Learning Selection
[arXiv] 2026-08-24 | Mutual information-entropy plane: a new quantifier space for time series analysis
[arXiv] 2026-08-24 | Inflationary Kicks and Coulomb Filtering of Spectator Dark Matter
[arXiv] 2026-08-24 | Characterizing Necessary Losers to Explain Tournaments Losers
[arXiv] 2026-08-24 | Resistive Switching and Neuromorphic Computing in Metal/Nb:SrTiO$_3$: Mechanisms, Interface Physics, and Charge Transport
[arXiv] 2026-08-24 | Exploring Long-period Architectures: Four New Planet Candidates from Kepler with Periods >342 days
[arXiv] 2026-08-24 | An elementary note on three consecutive powerful numbers
[arXiv] 2026-08-24 | The Axiomatic Trader: Latent Regularity, Information Budgets, and the Canonical Form of a Quantitative Investment System
[arXiv] 2026-08-24 | Graph-Native Attention Acceleration for Attack Detection in Cyber-Physical Systems
[arXiv] 2026-08-24 | Right-Sizing LLM-Agent Decomposition in VAT Determination: A Pilot Controlled Sweep
[arXiv] 2026-08-24 | KellyBoost: Growth-Optimal Portfolio Construction with Gradient-Boosted Trees
[arXiv] 2026-08-24 | Long-Horizon Audio-Visual Generation for Persistent Stories and Interactive Worlds
[arXiv] 2026-08-24 | Culture and constitutional compliance
[arXiv] 2026-08-24 | FormuEvo: LLM-Guided Evolution for Discovering Solver-Efficient Mixed-Integer Programming Formulations
[arXiv] 2026-08-24 | Maker-Breaker games on infinite graphs with precolored edges
[arXiv] 2026-08-24 | Determination of the ferrimagnetic structure of monoclinic TbFe$_{2}$D$_{4.2}$ deuteride and its evolution versus temperature and high magnetic field
[arXiv] 2026-08-24 | Controllable blind deblurring with diffusion models
[arXiv] 2026-08-24 | The Emergence of Relevance Through Axiomatic Attention Patterns During LoRA Fine-Tuning
[arXiv] 2026-08-24 | Can Coding Agents Build Robust Baselines? A Skill-Based Approach for Automating the Medical Imaging Model-Development Pipeline
[arXiv] 2026-08-24 | On Zeeman's collapsibility conjecture for non-standard polyhedra
[arXiv] 2026-08-24 | Admissible Unit Range of Plug-and-Play Distributed Energy Resource (DER) Systems Under Delay: A Scalable Design Framework
[arXiv] 2026-08-24 | The Gao-Zhuang conjecture for the Heisenberg group
[arXiv] 2026-08-24 | Radiative decays of the isoscalar $S$-wave $D\bar D$ molecule
[arXiv] 2026-08-24 | Love at the String Scale: Tidal Deformability Across the Black Hole-String Transition
[arXiv] 2026-08-24 | Bee Detection and Tracking at Hive Entrance using YOLO11 and ByteTrack
[arXiv] 2026-08-24 | Implementation of nonlocal multi-photon interference by mode swapping
[arXiv] 2026-08-24 | LLM Pedagogical Behavior in AI Tutoring Interactions
[arXiv] 2026-08-24 | Complex frequency evolution of direct waves from binary black hole mergers
[arXiv] 2026-08-24 | Think Only When Needed: Prompt-Authority Control for Selective Slow-Path Intervention in Vision-Language-Action Manipulation
[arXiv] 2026-08-24 | EXPLAIN Yourself! Finding Query Planner Stalls Across DBMSes
[arXiv] 2026-08-24 | Least-Squares and Low-Rank Approximation for Linear Relations Using a Diagrammatic Language
[arXiv] 2026-08-24 | Wall-crossing for equivariant DT4 invariants
[arXiv] 2026-08-24 | Budget-Constrained Embodied Perception: Four Resource Walls and a Pre-Registered Evaluation of Access-Structured Perception on Open Models at less than 31B
[arXiv] 2026-08-24 | PHASE: encoding global protein ensembles with local Hamiltonians and all-atom backmapping
[arXiv] 2026-08-24 | Congruence classes of monodromies of even triangulations
[arXiv] 2026-08-24 | SAGE: Stability-Aware Graph-Based Ensemble Feature Selection for Explainable Postpartum Depression Risk Prediction
[arXiv] 2026-08-24 | Contrastive Representation-Guided Genetic Minority Oversampling for Imbalanced Time-Series Classification
[arXiv] 2026-08-24 | SDoH-Aware Narrative Anchoring Bias in Medical LLMs for Trustworthy Clinical Decision Support
[arXiv] 2026-08-24 | TRACE: A Self-Evolving Skill Bank for Consistent, Limit-Aware LLM Agents
[arXiv] 2026-08-24 | OmicSync: Reliability-Aware Spatial Multi-Omics Clustering with Evidence-Constrained LLM Reasoning
[arXiv] 2026-08-24 | Generically Ordinary One-parameter Hyperelliptic Families are Dense
[arXiv] 2026-08-24 | An Inexact Riemannian Gradient Descent Algorithm on the Stiefel Manifold with One Newton-Schulz Iteration
[arXiv] 2026-08-24 | LagrangeGS: Non-Conservative Lagrangian System on Dynamic 3D Gaussian Splatting
[arXiv] 2026-08-24 | An Anchored Logistic Family for Bounded Trait Measurement and Growth: Origin Before Unit
[arXiv] 2026-08-24 | Don't Repeat Yourself: Stopping Verbatim Loops at Sampling Time
[arXiv] 2026-08-24 | ByteAction: Byte-space Action Recognition Foundation Model
[arXiv] 2026-08-24 | XTC: Head-Aware Sampling by Excluding Top Choices
[arXiv] 2026-08-24 | A Study of Bluetooth Access Control Based on NFT Soft Pairing
[arXiv] 2026-08-24 | The Compaction Cliff in Long-Running AI Agent Memory
[arXiv] 2026-08-24 | Orbital Angular Momentum as a Transverse Probe of Elliptic Small-$x$ Gluon Tomography
[arXiv] 2026-08-24 | Seeing the Unseen: Semantic-in-Gaussian for Sparse-View 3D Generalization
[arXiv] 2026-08-24 | Parity-dependent coupling of molecular spin chains to a superconductor
[arXiv] 2026-08-24 | Does Probability Require a Single History?
[arXiv] 2026-08-24 | LLM-Based Selection of Incongruent Verbal and Nonverbal Behavior for Virtual Humans
[arXiv] 2026-08-24 | Spiking Neural Networks for Continuous Control: Neuromorphic Reinforcement Learning in Conventional Computing
[arXiv] 2026-08-24 | Real-Time Edge-based Detection of Correlated AI Data-Center Load Episodes
[arXiv] 2026-08-24 | The Period-Three Secondary Term in the Mean Value of $L(1/2,χ_D)$ in the Hyperelliptic Ensemble
[arXiv] 2026-08-24 | TEE-X: TEE-aware Acceleration Framework for Large Vision Models at the Edge
[arXiv] 2026-08-24 | General-Sum Linear Regulator Games for Positive Systems
[arXiv] 2026-08-24 | Chiral Phonons and Giant Anisotropic Photoresponse in Quasi-1D van der Waals Semiconductor ZrSnS3
[arXiv] 2026-08-24 | Does Rank Still Matter? Position Bias When AI Agents Shop on Our Behalf
[arXiv] 2026-08-24 | Nonlinear Forward-Backward Algorithm for Solving Non-monotone+Lipschitz Inclusions with Applications to Adjoint Mismatch Problems
[arXiv] 2026-08-24 | Robustness Analysis of Agentic AI to Inconsistent and Incomplete Tool Responses
[arXiv] 2026-08-24 | Exact Finite-Length Theory of Uniform Car Parking: Spatial Laws, Absorption, and Aggregation
[arXiv] 2026-08-24 | ReWorld: An Interactive World Model with Long-Horizon Memory
[arXiv] 2026-08-24 | Physics-Constrained Deep Learning Model for Contactless Blood Pressure Monitoring from Triaxial Bodyseismography
[arXiv] 2026-08-24 | Spinor condensate persistent currents in an atomtronic Josephson necklace
[arXiv] 2026-08-24 | FixAnything: 3D-Consistent Rendering Refinement via Video Generative Priors
[arXiv] 2026-08-24 | The Interaction Tax: When Communication Erases Diversity in Multi-Agent Teams
[arXiv] 2026-08-24 | Adapter-Based Few-Shot Continual Learning for Malicious Packet Recognition
[arXiv] 2026-08-24 | Infinite rational distance sets in affine general position: constructions in every dimension
[arXiv] 2026-08-24 | Generalized Chiral $U(1)_{B-L}$: Towards a Less Constrained $Z'$ and Dark Matter
[arXiv] 2026-08-24 | Testing selection on observables in parametric models with refreshment samples
[arXiv] 2026-08-24 | When Names Cross Scripts: A Source-Grounded Benchmark for Historical Entity Reconciliation in the Mongol World
[arXiv] 2026-08-24 | Demailly-Kollár continuity on klt pairs, and applications to alpha and delta invariants
[arXiv] 2026-08-24 | The Informational Model of the Holobiont: Statistical Tests for Selection and Extension to a Theory of Variable Interactions
[arXiv] 2026-08-24 | An Interactive Agent for Requirement-Driven Candidate Sourcing
[arXiv] 2026-08-24 | SVD-Based Typicality Maps for Out-of-Distribution Detection in Vision Transformers
[arXiv] 2026-08-24 | Mitigating Reasoning-Induced Misalignment via Safety-Direction Penalty
[arXiv] 2026-08-24 | A Proof of the Isaacs_Navarro_Wolf Conjecture
[arXiv] 2026-08-24 | Multi-Modal Semantic Expansion with Constrained LLM Reranking for Conversational Music Recommendation
[arXiv] 2026-08-24 | Increased throughput in antisymmetrically actuated acoustofluidic flow-through devices
[arXiv] 2026-08-24 | Geometry-Driven Opti-Acoustic Co-Registration and View-Invariant Reflectivity Mapping for Side-Scan Sonar
[arXiv] 2026-08-24 | From Daily Fluctuations to Annual Hydrological Cycles: A Wavelet-Based Analysis of Nonstationary Seasonality in Senegal River Hydropower Inflows
[arXiv] 2026-08-24 | RAD: Rule-Augmented Relational Anomaly Detection
[arXiv] 2026-08-24 | Competing Extended-$s$- and $d$-Wave Pairing from Distinct Spin-Fluctuation Channels in Stoichiometric $\mathrm{FeTe}$
[arXiv] 2026-08-24 | BLG723.31.34651 as an eclipsing Roche lobe-filling sdOB+WD binary
[arXiv] 2026-08-24 | One micron length scale controls kinetic stability of low energy glasses
[arXiv] 2026-08-24 | Reward-Free Continual Adaptation for Resilient Space Robots
[arXiv] 2026-08-24 | The Oldest Allele in a Moran Model
[arXiv] 2026-08-24 | Highly Stable Glasses of cis-Decalin and cis/trans-Decalin Mixtures
[arXiv] 2026-08-24 | Temporal Property-driven Design Space Exploration with Reinforcement Learning for Cyber-Physical Systems
[arXiv] 2026-08-24 | Next-to-leading-order QCD corrections to $S$- and $P$-wave heavy quarkonium decay to $l^{+}l^{-} γ$
[arXiv] 2026-08-24 | Defect-Mediated Nucleation and Dynamics across the Phase Transition in the Excitonic Insulator Candidate Ta2NiSe5
[arXiv] 2026-08-24 | Image-Conditioned Diffusion Models for Quality Assurance of Organ-at-Risk Segmentations in Radiotherapy
[arXiv] 2026-08-24 | Systematic Bias in Green Patent Classification: Silent Green and False Green
[arXiv] 2026-08-24 | Analysis of correlations of dwell-times of adjacent kinetic states in the activity of the cold and menthol receptor TRPM8
[arXiv] 2026-08-24 | Resonance-continuum interference with a possible tensor $X(6900)$ in radiative double-charmonium production at $\sqrt{s}=10.58~{\rm GeV}$
[arXiv] 2026-08-24 | Whose readiness counts? Disagreement within and between sectors in perceived AI and robotics preparedness
[arXiv] 2026-08-24 | The principle of detailed balance between electrons and phonons in presence of excitonic effects
[arXiv] 2026-08-24 | A Threshold Homomorphic Blockchain Architecture for Secure and Scalable IoT Sensor Data Aggregation
[arXiv] 2026-08-24 | Cross-Domain, Multi-Task Data-to-Text Generation without In-Domain Training Data
[arXiv] 2026-08-24 | Cross-lingual Biography Enrichment via Claim Extraction and Alignment
[arXiv] 2026-08-24 | FASHI DR2: A Catalog of 132 Low-Redshift HI 21 cm Absorption Systems
[arXiv] 2026-08-24 | FUCrIMODo: structure recovery from atomistic descriptors via multi-stage genetic algorithms
[arXiv] 2026-08-24 | Landau theory, effective temperature, and tricritical phenomena in a holographic nonequilibrium steady state
[arXiv] 2026-08-24 | Adversarial Entropy Inflation Against Gumbel-Based Inference Verification
[arXiv] 2026-08-24 | Performance Evaluation of a High-Granularity LYSO-SiPM-Based Position-Sensitive Detector for a One-Shot Gamma-Scanning System with Sub-Millimeter Spatial Resolution
[arXiv] 2026-08-24 | Black holes from a Higgs-like field in the radiation era
[arXiv] 2026-08-24 | Beyond chlorophyll: machine learning estimates of diagnostic phytoplankton pigments from multispectral ocean colour data
[arXiv] 2026-08-24 | Towards Actionable Surgical Team Dynamics: from Teamwork to Counterfactual Annotations
[arXiv] 2026-08-24 | Instantons in a Double-Well are Poisson Distributed
[arXiv] 2026-08-24 | Beyond Point Predictions: Uncertainty-Aware Satellite Poverty Mapping for Public Policy
[arXiv] 2026-08-24 | The invariant ring of degree-four rational maps on the projective line
[arXiv] 2026-08-24 | EviSafe: Evidence-Grounded Safety Evaluation for Vision-Language Models
[arXiv] 2026-08-24 | On a Telegraph Process with Generalized Mittag-Leffler Waiting times and Velocity Driven by Random trials
[arXiv] 2026-08-24 | The ETH matrix model for DSSYK: non-perturbative corrections and intersection theory
[arXiv] 2026-08-24 | What Memory Composition Does Not Tell Us About Anomaly Detection
[arXiv] 2026-08-24 | Episode Clustering in Phylogenetic Networks
[arXiv] 2026-08-24 | Roles of vortices and turbulent eddies in particle preferential concentration and deposition in the human respiratory tract
[arXiv] 2026-08-24 | Intra-system Uniformity through Planetary Embryo Accumulation
[arXiv] 2026-08-24 | The Physical Crash Frontier: What Finite Option Quotes Can and Cannot Reveal
[arXiv] 2026-08-24 | Which transition can be used in sodium mirrorless lasing for mesospheric magnetometry?
[arXiv] 2026-08-24 | Expectations and Practices around AI Disclosure in CS Research
[arXiv] 2026-08-24 | Gravitational lensing outside and inside of a marginally unstable photon sphere at a $Z_2$-symmetric wormhole throat in strong deflection limits
[arXiv] 2026-08-24 | Dual-Grained Agent Memory and Shapley Context Attribution for Multimodal Agentic Learner
[arXiv] 2026-08-24 | From Multimodal Observation to Interpretable Suggestions: Counterfactual Time-Expanded Relational Modeling of Surgical Teams
[arXiv] 2026-08-24 | Mind the Couch! Eliciting MLLM Reasoning in Interior Design via Weak-to-Strong Task Vector Injection
[arXiv] 2026-08-24 | Equidistribution for quasi-projective varieties over function fields
[arXiv] 2026-08-24 | Mover360: Controllable Object Manipulation in 360° Panoramic Images
[arXiv] 2026-08-24 | Convex functions with symplectic Hessian
[arXiv] 2026-08-24 | Interior Hessian estimates for the quadratic Hessian equation
[arXiv] 2026-08-24 | Basins of Attraction to Multiple Fixed Points in Discrete-time Hysteresis Neural Networks
[arXiv] 2026-08-24 | LongWoF-Bench: Evaluating EvoMap Genes for Verifiable Long-Workflow Tasks
[arXiv] 2026-08-24 | PhiShark2026: A Multi-Layer Active-Web Raw-Evidence Dataset for Phishing Website Research
[arXiv] 2026-08-24 | The power law in human mobility is a mixture artifact: evidence from a pandemic natural experiment
