[2026-07-09 12:12:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-08
正在获取论文...
[arXiv] 2026-07-08 | Innovating Risk Modelling for Global Funds
[arXiv] 2026-07-08 | Combining gravitational wave search pipelines to find subthreshold signals in GWTC-5.0
[arXiv] 2026-07-08 | Hubble Space Telescope survey of Magellanic Cloud star clusters. Binaries, mass functions, blue stragglers, and structural parameters
[arXiv] 2026-07-08 | Dyck paths on colored lattices
[arXiv] 2026-07-08 | Evaluation of Multilingual Ability to Use Spatial Deictic Expressions in Vision-Language Models
[arXiv] 2026-07-08 | Critical SO(5) scaling of entanglement entropy at honeycomb lattice deconfined criticality
[arXiv] 2026-07-08 | Skin friction prediction for attached flows based on two-dimensional inviscid solutions
[arXiv] 2026-07-08 | The Stability of the Backward Problem for Photoacoustic Imaging in Attenuating Media via Carleman Estimates
[arXiv] 2026-07-08 | Noncommutative vector field calculi
[arXiv] 2026-07-08 | An Edge-aware Prompt-enhanced SAM for Ultrasound Image Segmentation
[arXiv] 2026-07-08 | Implicit Predecessor-Based Region of Attraction Estimation and Robust Invariance Analysis for a Two-Wheeled Inverted Pendulum
[arXiv] 2026-07-08 | Reasoning Consistency Scanning: A Framework for Auditing Chain-of-Thought Validity in AI Safety Evaluations
[arXiv] 2026-07-08 | On the simplicity of Katsura algebras
[arXiv] 2026-07-08 | Quantum Computing : A New Frontier for Science and Society
[arXiv] 2026-07-08 | Finding and Understanding Miscompilation Bugs in the Solidity Compiler
[arXiv] 2026-07-08 | Why Fake ? Unveiling the Semantic Vocabulary of Deepfake Detectors
[arXiv] 2026-07-08 | Algebraic Structure of Three-Flavor Neutrino Oscillations in Constant-Density Matter: Cayley--Hamilton Evolution, DMP Resummation, and Closed-Form Uncertainty Propagation
[arXiv] 2026-07-08 | Loss-of-hyperbolicity and jump bifurcations in scalar nonautonomous d-concave ODEs
[arXiv] 2026-07-08 | Nucleation and Enhancement of Superconductivity under Tip-Induced Strain Fields
[arXiv] 2026-07-08 | Memory Scarcity, Open Models, and the Restructuring of the AI Industry, 2026-2030 -- A quantitative scenario analysis of inference economics, training-cost divergence, and infrastructure solvency
[arXiv] 2026-07-08 | Geometric--Nongeometric Optimizer Calculus: A Modular Language for Reachable Gradient Methods
[arXiv] 2026-07-08 | X-ray Spectral Properties of Four Classical TeV Blazars using Simultaneous Observations from NICER and NuSTAR
[arXiv] 2026-07-08 | Multi-band optical photometric variability of the blazar OJ 287 from 2015 to 2025
[arXiv] 2026-07-08 | Higgs boson mass and thermal wino dark matter from Starobinsky supergravity with the MSSM
[arXiv] 2026-07-08 | EditVerse3D: High-Quality 3D Object Editing with Region-Aware Learning
[arXiv] 2026-07-08 | Predicting LLM Safety Before Release by Simulating Deployment
[arXiv] 2026-07-08 | Schanuel Integration and Euler Characteristic of Semi-algebraic Sets
[arXiv] 2026-07-08 | Comparative Study of Domain-adapted VLMs for General Document Visual Question Answering
[arXiv] 2026-07-08 | Entropy Pacing Policy Optimization for Multi-Task Agentic Reinforcement Learning
[arXiv] 2026-07-08 | The large-$N$ Yang--Mills $Λ$-parameter from step scaling
[arXiv] 2026-07-08 | NoDrift3R: Raymap-Guided Coupling for Drift-Robust Unposed Feed-Forward 3D Reconstruction
[arXiv] 2026-07-08 | Macroscopic position-position entanglement by photon recoil in Rydberg atoms
[arXiv] 2026-07-08 | Unconditional Uniqueness for the Energy-critical and Energy-supercritical Quadratic NLS
[arXiv] 2026-07-08 | Link-Based Multimodal Traffic Dynamics Model in Continuous-Time Framework
[arXiv] 2026-07-08 | Room-temperature inversionless diamond nitrogen-vacancy electronic spin maser
[arXiv] 2026-07-08 | Reconnection diagnostics for vortex tangles in Bose-condensed and superfluid dark matter halos
[arXiv] 2026-07-08 | Tree-of-Thoughts Reasoning for Text-to-Image In-Context Learning
[arXiv] 2026-07-08 | A knowledge-augmented dataset of high-risk driving scenarios with LLM annotations for autonomous driving
[arXiv] 2026-07-08 | Video-Based Detection of squint and cataract for accessibility-aware adaptive web interface rendering
[arXiv] 2026-07-08 | Unveiling Nanoscale Surface Damage Dynamics in Swift Heavy Ion Irradiated Gallium Nitride
[arXiv] 2026-07-08 | The Dark Photon in the PHELEX Experiment
[arXiv] 2026-07-08 | ShapeTalk: Combining Natural Language and Sketch for Time-Series Pattern Querying
[arXiv] 2026-07-08 | Bessel Beam Optimization for Near-Field THz Communications under UE Location Uncertainty
[arXiv] 2026-07-08 | Ab initio thermodynamic statistical modeling of the miscibility gap and the metal-insulator phase transition in SrTi$_{1-x}$V$_x$O$_{3}$
[arXiv] 2026-07-08 | Ideal class monoids of cubic orders
[arXiv] 2026-07-08 | Topological Signatures of Diffusive Release in Porous Media
[arXiv] 2026-07-08 | Hamiltonian reduction from particular integrals
[arXiv] 2026-07-08 | Quantum Recurrence Plot Algorithm Based on Quantum Principal Component Analysis
[arXiv] 2026-07-08 | Quantitative hyperbolicity for complex manifolds via numerical invariants
[arXiv] 2026-07-08 | On the Chow ring of very general abelian varieties and a question of Pirola
[arXiv] 2026-07-08 | Dzyaloshinskii-Moriya Gradients Unlock Topological Dimensional Reduction in Magnetic Hopfions
[arXiv] 2026-07-08 | TRACE-Seg3D: Counterfactual Context Auditing For Robust 3D Glioma Segmentation Under Institutional Shift
[arXiv] 2026-07-08 | Observer-Based Target Control for Mismatched Time-Delay Systems
[arXiv] 2026-07-08 | Coordinate-wise Elephant Random Walk
[arXiv] 2026-07-08 | Robust Observability for Schrödinger Equations with Rough Potentials on 2D Compact Hyperbolic Surfaces
[arXiv] 2026-07-08 | Tensorized algorithms and scalable filtering methods for hidden Markov and factorial hidden Markov models
[arXiv] 2026-07-08 | Thinking More, Harnessing Better: State Machine Guided Harness Automatic Generation with Project Digestion and Workflow Decomposition
[arXiv] 2026-07-08 | Dimension-dependent continuum limits in tissue mechanics
[arXiv] 2026-07-08 | A Closed-Loop Multi-Agent Framework for Robust Multi-Robot Manipulation
[arXiv] 2026-07-08 | WAM-TTT: Steering World-Action Models by Watching Human Play at Test Time
[arXiv] 2026-07-08 | MMGenre: Benchmarking Singing Voice Synthesis across Multiple Musical Genres
[arXiv] 2026-07-08 | Perturbative determination of CP phase in CKM matrix using rephasing invariants of hierarchical mass matrices and their inverses
[arXiv] 2026-07-08 | Modeling Misinformation as a Commons Problem
[arXiv] 2026-07-08 | EdgeCompress: Coupling Multidimensional Model Compression and Dynamic Inference for EdgeAI
[arXiv] 2026-07-08 | Multi-Trigger Crypto CAT Bonds with On-Chain Settlement: Valuation and Optimal Design
[arXiv] 2026-07-08 | MILES: Modular Instruction Memory with Learnable Selection for Self-Improving LLM Reasoning
[arXiv] 2026-07-08 | Large Language Models (LLMs) and Generative AI in Cybersecurity and Privacy: A Survey of Dual-Use Risks, AI-Generated Malware, Explainability, and Defensive Strategies
[arXiv] 2026-07-08 | Single-laser stimulated Brillouin scattering microscopy
[arXiv] 2026-07-08 | KAN-LSTM-Transformer Neural Networks, MFV and Cosmological Parameters
[arXiv] 2026-07-08 | Fixed Points, a Predictor-Impossibility Theorem, and Applications
[arXiv] 2026-07-08 | Physical activities enable scalable foundation modelling for broad-spectrum health prediction
[arXiv] 2026-07-08 | A quantum model for synchronizing finite state transition systems
[arXiv] 2026-07-08 | Ultrafast proton radiography of the magnetic fields generated by a laser-driven coil current
[arXiv] 2026-07-08 | Stochastic Stability of Nonlinear MPPI via Contraction Theory and Control Lyapunov Functions
[arXiv] 2026-07-08 | $p$-adic Hahn series with sparse support
[arXiv] 2026-07-08 | First constraint on Born-rule violations at high-energy colliders
[arXiv] 2026-07-08 | Mathematical methods of reinforcement learning
[arXiv] 2026-07-08 | Latency-Constrained DNN Architecture Learning for Edge Systems using Zerorized Batch Normalization
[arXiv] 2026-07-08 | Smart Scissor: Coupling Spatial Redundancy Reduction and CNN Compression for Embedded Hardware
[arXiv] 2026-07-08 | Learning Item Embeddings and Hyperparameters for IRT Calibration via Monte Carlo EM
[arXiv] 2026-07-08 | Slowly rotating condensate dark stars beyond the mean-field approximation
[arXiv] 2026-07-08 | Connecting Microseismicity to Lithology via a Model of Slip Avalanches
[arXiv] 2026-07-08 | GemNav: Discrete-Token Visual Robot Navigation using a Multimodal Large Language Model
[arXiv] 2026-07-08 | Gaussian comparison above the median
[arXiv] 2026-07-08 | Radio emission from close-in exoplanets: Can we extend the radio-magnetic scaling law to the sub-Alfvénic stellar wind regime?
[arXiv] 2026-07-08 | From Noisy Traces to Root Causes: Structural Trajectory Analysis and Causal Extraction for Agent Optimization
[arXiv] 2026-07-08 | Decoding magnetic texture
[arXiv] 2026-07-08 | Any-Dimensional Learning by Sampling
[arXiv] 2026-07-08 | SkillCenter: A Large-Scale Source-Grounded Skill Library for Autonomous AI Agents
[arXiv] 2026-07-08 | Does Bielik Know What It Doesn't Know? Activation Dispersion Separates Entity Familiarity from Factual Reliability Across Model Scale
[arXiv] 2026-07-08 | Guidance Breaks the Fitted Operator: A Terminal-Fitted Repair for Classifier-Free Guidance
[arXiv] 2026-07-08 | Single inclusive hadron and jet production in lepton-hadron scattering
[arXiv] 2026-07-08 | Hadronic vacuum polarization in hydrogen-like atoms and ions amid the interplay of recoil and finite-size effects
[arXiv] 2026-07-08 | Predicting Multi-Order Magnetic Polariton Resonances for Radiative Properties Tailoring by Distributed Circuit Model
[arXiv] 2026-07-08 | Pic2Spec: Generative Modeling Reconstructs Single Cell Raman Fingerprints from Brightfield Images
[arXiv] 2026-07-08 | Feller diffusion in an interval: Inhomogeneous fluctuation-induced asymmetric escape
[arXiv] 2026-07-08 | ALER-TI: Aligned Latent Embedding Retrieval for Time Series Imputation
[arXiv] 2026-07-08 | Precision spectroscopy of the fine and hyperfine structures of high molecular Rydberg-Stark states: Metrology of molecular hydrogen ions
[arXiv] 2026-07-08 | QCNN with Rough Path Signature Kernels
[arXiv] 2026-07-08 | Analysis of an Emden-Fowler-Hénon type equation
[arXiv] 2026-07-08 | Fourier restriction norm method adapted to controlled paths: stochastic wave equations
[arXiv] 2026-07-08 | Faster Randomized and Deterministic k-Clustering on Graphs
[arXiv] 2026-07-08 | User identity conditions moral wrongness ratings in non-reasoning large language models
[arXiv] 2026-07-08 | Regularity of Solutions to Monge-Ampère Equations on Stein Spaces
[arXiv] 2026-07-08 | NARAD: Non-colluding Aggregator-oblivious Record-And-Decrypt
[arXiv] 2026-07-08 | Geometric Interpretation of Sum Photon Blockade
[arXiv] 2026-07-08 | Surviving from the tip of a cone in competing first-passage percolation
[arXiv] 2026-07-08 | Context-Aware Force Estimation for Deformable Tool Manipulation in Robotic Environmental Swabbing via Few-Shot Continual Adaptation
[arXiv] 2026-07-08 | Multi-Class vs. Multi-Label BERT for CVE-to-CWE Mapping: How Taxonomy Structure Shapes the Errors
[arXiv] 2026-07-08 | Pressure-induced Structural Phase Transition, Metallization, and Superconductivity in layered metalloid dichalcogenide 1T-SiTe$_2$
[arXiv] 2026-07-08 | The Lubell bound for intersecting-union families
[arXiv] 2026-07-08 | Reduction Types of Genus 2 Curves
[arXiv] 2026-07-08 | Entanglement Asymmetry in Random Quantum Automata
[arXiv] 2026-07-08 | Control Protocols for Entangling Gates for Group-IV Color-Centers in Diamond
[arXiv] 2026-07-08 | Think Big, Search Small: Where Capacity Matters in Hierarchical Search Agents?
[arXiv] 2026-07-08 | On stationary Quasi-Geostrophic Shallow-Water flows
[arXiv] 2026-07-08 | Experimental evidence of Kelvin wave turbulence along a vortex core
[arXiv] 2026-07-08 | The NISQ Trap: Eight Years of Demonstrations the Hardware Was Built to Lose
[arXiv] 2026-07-08 | The hyper-Kummer construction
[arXiv] 2026-07-08 | Learning to Unify Deformable Shape and Texture Representations for Cardiac Video Classification
[arXiv] 2026-07-08 | Spin Textures and Eigenstate Evolution of Isospectrally Patterned Lattices
[arXiv] 2026-07-08 | Finite complete rewriting systems for graphs of free groups with applications to free-by-cyclic, one-relator, and three-manifold groups
[arXiv] 2026-07-08 | Phenomena in the kink-antikink Collisions of $φ^8$ Theory
[arXiv] 2026-07-08 | How Much Spatial Control Is Enough? Subdomain Optimal Control of Reaction-Diffusion Systems in Synthetic Developmental Biology
[arXiv] 2026-07-08 | The Poisoned Chalice of LLM Evaluation Report
[arXiv] 2026-07-08 | SynthAVE: Scalable Synthetic Labeling for E-Commerce with LLM-Arena Validation
[arXiv] 2026-07-08 | ReMoDEx: A Local-to-Global Relevance-Based Model Decision Explainability Framework for large-Scale Image Datasets
[arXiv] 2026-07-08 | Multiple Double Arithmetic on NVIDIA Tensor Cores
[arXiv] 2026-07-08 | Beyond Silica Assumptions: Optical Network Design in the Hollow-Core Era
[arXiv] 2026-07-08 | Ensemble Deep Learning Approaches for AI-Altered Video Detection
[arXiv] 2026-07-08 | Geometric Collapse: When Vision Models Fail to Verify Physical Causality
[arXiv] 2026-07-08 | Phase transitions and uberholography of holographic pure-state geometries
[arXiv] 2026-07-08 | An Erdős-Pósa theorem for cycles and faces of distinct lengths
[arXiv] 2026-07-08 | Extriangulated ideal quotients and $d$-Auslander categories
[arXiv] 2026-07-08 | Hierarchy of Angular Instabilities in Scalarized Black Holes
[arXiv] 2026-07-08 | Validate the Dream Before You Trust Its Verdict: Admissibility for World-Model Simulators
[arXiv] 2026-07-08 | Elastic pseudoturbulence induced by low-Galilei settling spheres
[arXiv] 2026-07-08 | Towards Accurate and Fast Clinical Body Composition: A Resource-Efficient Hierarchical Segmentation Framework for Multi-Source CT
[arXiv] 2026-07-08 | TACoS: Weakly Supervised Learning of Two-Dimensional Materials from Scribble Annotations to Precise Segmentation
[arXiv] 2026-07-08 | Optimized Stencil Strategy for the Generalized Finite Difference Method: Application to Steady-State Non-Linear Problems
[arXiv] 2026-07-08 | Miter-Aware LUT Mapping: Aligning Structure and Solvability for Efficient Logic Equivalence Checking
[arXiv] 2026-07-08 | Recovering Latent Structures after Variational Bayesian Variable Selection: Fit Assessment and Factor-Number Selection in Partially Exploratory Factor Analysis
[arXiv] 2026-07-08 | Nonlocal minimal surfaces are generically unique, and smooth in one extra dimension
[arXiv] 2026-07-08 | Ranking and Rank Aggregation with Matroid Prefix Constraints
[arXiv] 2026-07-08 | Applications of relative multisymplectic geometry
[arXiv] 2026-07-08 | Learning Spatiotemporal Tubes for Full Class of Signal Temporal Logic Tasks for Control of Unknown Systems under Input Constraints
[arXiv] 2026-07-08 | Unveiling TCP BBR Dominance in Starlink Internet: Experimental Insights and Analysis
[arXiv] 2026-07-08 | Interplay of Umklapp scattering and Sb-Au hybridization in surface-reconstructed Sb/Au(111)
[arXiv] 2026-07-08 | Compositional Motion Generation from Demonstration with Object-Centric Neural Fields
[arXiv] 2026-07-08 | Separation Logic for Memory Conflict Detection in High-Level Synthesis
[arXiv] 2026-07-08 | The MAGPI Survey: Evidence for Non-Universal Resolved Dust Attenuation Relations Beyond the Local Universe
[arXiv] 2026-07-08 | A Matching-Number Refinement of Brouwer's Laplacian Eigenvalue Inequality
[arXiv] 2026-07-08 | Density-Induced Reentrant Coarsening in a Two-Temperature System
[arXiv] 2026-07-08 | The Chain Graph of a general Iterated Function System
[arXiv] 2026-07-08 | Probing Extended Recognition Sites in Zn-Metalloproteins via Quantum Chemistry and Polarizable Molecular Dynamics
[arXiv] 2026-07-08 | Geodetic sets for directed acyclic planar geodetic graphs
[arXiv] 2026-07-08 | GeoProp: Grounding Robot State in Vision for Generalist Manipulation
[arXiv] 2026-07-08 | Improved Algorithms and Lower Bounds for Parametrized Metrical Service Systems
[arXiv] 2026-07-08 | A note on the first variation of the total mass
[arXiv] 2026-07-08 | Model-Free Disturbance Observer with Online Modification: Listening to MFDOOM
[arXiv] 2026-07-08 | Spectral Chaos Does Not Determine Quantum Mpemba Crossings
[arXiv] 2026-07-08 | Mixed precision explicit numerical methods for ordinary differential equations
[arXiv] 2026-07-08 | Analytic proofs of Andrews-Bachraoui identities related to two-color partitions with evens in one color
[arXiv] 2026-07-08 | Navigating Hierarchy: Hyperbolic Learning on Brain Graphs for Disorder Diagnosis
[arXiv] 2026-07-08 | Unveiling the Milky Way with a Gaia DR3 census of OB-type stars within 2 kpc. I. Tracing local Galactic structure, massive star-forming regions and core-collapse supernova progenitors
[arXiv] 2026-07-08 | Which Regularized Propensity-Score and Doubly Robust Methods Are Best Calibrated When Exposures or Outcomes Are Rare? A Plasmode Study of Proxy-Based Confounding Adjustment
[arXiv] 2026-07-08 | Absolute frequency measurement of the $^{176}$Lu$^+\,(^{3}\mathrm{D}_1)$ standard against the NRC-FCs2 fountain with $2.6\times10^{-16}$ uncertainty
[arXiv] 2026-07-08 | Bayesian Gill-Massar Bound: An Attainable Lower Bound for Qubit Parameter Estimation
[arXiv] 2026-07-08 | A coarse block-cutvertex tree-decomposition
[arXiv] 2026-07-08 | Online Data Selection Is Implicit Alignment
[arXiv] 2026-07-08 | Gradient continuity for $p$-Laplacian obstacle problems under mean oscillation conditions
[arXiv] 2026-07-08 | Local large deviations for linear-region growth in random piecewise-linear networks
[arXiv] 2026-07-08 | Impact of May 2024 ICME Event on Martian UV Dayglow Emissions using MAVEN/IUVS and EMM/EMUS Observations
[arXiv] 2026-07-08 | Solution Analysis of Tensor Equation $\mathcal{A} \ltimes \mathcal{X} \ltimes \mathcal{B}= \mathcal{C}$ via Semi Tensor Product with t-product
[arXiv] 2026-07-08 | The dynamical origin of the magnetic field distributions in compressible turbulence
[arXiv] 2026-07-08 | Large Behavior Model: A Promptable Digital Twin of the Retail Customer
[arXiv] 2026-07-08 | A Study on Cumulative Residual Extropy of Linear Consecutive k-out-of-n:G Systems
[arXiv] 2026-07-08 | Ace! Motion Planning of Professional-Level Table Tennis Serves with a Robot Arm
[arXiv] 2026-07-08 | Hybrid Least Squares/Gradient Descent Methods for MIONets
[arXiv] 2026-07-08 | Tomography of a Macroscopic Quantum State influenced by Classical Self-Gravity
[arXiv] 2026-07-08 | Neural Operator-enabled Topology-informed Evolutionary Strategy for PDE-Constrained Optimization
[arXiv] 2026-07-08 | Scaling Mixture-of-Experts Video Pretraining for Embodied Intelligence
[arXiv] 2026-07-08 | On Two Algebraic Realizations of Schubert Calculus
[arXiv] 2026-07-08 | Impact of Channel Dynamics on Higher-order Interactions of Oscillators
[arXiv] 2026-07-08 | RL Post-Training Builds Compositional Reasoning Strategies
[arXiv] 2026-07-08 | ATLAS: Automated HLS for DL-Optimized FPGAs
[arXiv] 2026-07-08 | The $abc$ Conjecture Revisited
[arXiv] 2026-07-08 | Distributed Circuit Model for Predicting the Quality Factor of Magnetic Polariton Resonance
[arXiv] 2026-07-08 | Analysis of polarization drift of optical signals over deployed aerial-inground fiber connections
[arXiv] 2026-07-08 | On probabilistic ill-posedness
[arXiv] 2026-07-08 | Multi-stage Quantum Amplifier Readout Chain
[arXiv] 2026-07-08 | Towards Agentic AI Governance: A Preliminary Assessment
[arXiv] 2026-07-08 | Asymmetric Focal Loss Improves Graph Neural Network Prediction of Drug-Drug Interactions
[arXiv] 2026-07-08 | Gamma-ray bursts reveal the history and faint contributors of cosmic reionization
[arXiv] 2026-07-08 | When the Environment Speaks: Quantum Signatures in Non-Attractor Inflation
[arXiv] 2026-07-08 | CARLA-GS: Decoupling Representation, Reasoning, and Physics Simulation for Autonomous Driving Corner-Case Synthesis
[arXiv] 2026-07-08 | Tasting the equality of estimable parameters
[arXiv] 2026-07-08 | PHaul: A PPO-based forwarding agent for Sub6 enhanced Integrated Access and Backhaul networks
[arXiv] 2026-07-08 | Automatic Echocardiography Segmentation via Transition Probability Correlation for Stable Semantic Extraction
[arXiv] 2026-07-08 | Text-Independent Speaker Verification Using Discrete Audio Tokens
[arXiv] 2026-07-08 | Analysis of the sample complexity for PAC-learning functions defined over quantum states
[arXiv] 2026-07-08 | Triangulating the Permutahedron
[arXiv] 2026-07-08 | Collaborative Synthetic Data Generation for Knowledge Transfer in Federated Learning
[arXiv] 2026-07-08 | Relativistic Quantum Thermometry in AdS Spacetime via Non-Markovian Temperature Sensing
[arXiv] 2026-07-08 | RubriQ: Rubric-Guided Group Relative Policy Optimization for Constraint-Aware Quantum Circuit Synthesis
[arXiv] 2026-07-08 | Extracting Barrier Distributions from Fusion Cross Sections
[arXiv] 2026-07-08 | RL-Guided Quantum-ALNS for Constrained VRP
[arXiv] 2026-07-08 | Variational Learning with Sparse Long-range Entangling Gates
[arXiv] 2026-07-08 | Face-trace: Open-Set Attribution and Progressive Discovery of Synthetic Face Generators
[arXiv] 2026-07-08 | Infinite Worlds with Versatile Interactions
[arXiv] 2026-07-08 | Robust Inference for Weighted Estimands
[arXiv] 2026-07-08 | Energy Efficiency Optimization in Distributed MIMO vRAN via Cross-Layer Link Abstraction
[arXiv] 2026-07-08 | Gradient-free Riemannian Langevin Sampler
[arXiv] 2026-07-08 | Matrix-weighted Anisotropic Smoothness Spaces
[arXiv] 2026-07-08 | Holistic B2X Mobile Application Development -- A Reference Model
[arXiv] 2026-07-08 | Single-Rollout Asynchronous Optimization for Agentic Reinforcement Learning
[arXiv] 2026-07-08 | Reward-Adaptive Iterative Discovery: A Case Study on Automated Game Testing for NHL26
[arXiv] 2026-07-08 | Smooth Operator: A Real-Time Sampling-Based Algorithm for Kinematic Hand Retargeting
[arXiv] 2026-07-08 | A black-box, multilevel algebraic preconditioning framework for conforming finite elements
[arXiv] 2026-07-08 | Combinatorial constructions of Schubert subspace codes
[arXiv] 2026-07-08 | First Demonstration of a Hybrid Cherenkov and Scintillation Detector in a Proof-of-Principle Axion Search at a Beam Dump
[arXiv] 2026-07-08 | Agent-Exploitation Affordances: From Basic to Complex Representation Patterns
[arXiv] 2026-07-08 | SpaCellAgent: A Self-Evolving LLM-Based Multi-Agent Framework for Trajectory Analysis
[arXiv] 2026-07-08 | On dynamical irreducible set of polynomials
[arXiv] 2026-07-08 | On the generalised Lie derivative of (s)pinor fields
[arXiv] 2026-07-08 | Involution-equivariant topological recursion and mirror symmetry for the affine binary dihedral Calabi--Yau threefold
[arXiv] 2026-07-08 | Fierz-complete four-quark interactions and the QCD phase diagram
[arXiv] 2026-07-08 | The Joneses Visit an Economics Lab
[arXiv] 2026-07-08 | When and How Should a Power Trader Engage in Arbitrage? Predict, then Contextually Optimize
[arXiv] 2026-07-08 | Horizon-Restricted Leading Soft QED as Open Quantum System
[arXiv] 2026-07-08 | The linear regulator problem for passive systems with strong stability
[arXiv] 2026-07-08 | Resource-Efficient Hybrid Quantum Neighborhood Selection for Large-Scale Molecular Diversity Optimization
[arXiv] 2026-07-08 | Iterative finite element approximation of non-monotone semilinear diffusion-reaction equations
[arXiv] 2026-07-08 | Maximal-Hull $z$-Ideals, Congruence Closures, and Coherent Frames of Commutative Semirings
[arXiv] 2026-07-08 | R^3: Advertisement Compliance Rectification via Group-Relative Experience Extractor and Curriculum Reinforcement
[arXiv] 2026-07-08 | FedCVESA: Taking Away Training Data in Federated Learning via Correlation Value Encoding and Segmented Aggregation
[arXiv] 2026-07-08 | Pressure-induced PT Symmetry Breaking in LaMnSi
[arXiv] 2026-07-08 | Massive Graviton Dark Matter from a Gapped Continuum
[arXiv] 2026-07-08 | Super-Resolution of Radar/Raingauge-Analyzed Precipitation Using Gaussian Process Regression with a Steering Kernel
[arXiv] 2026-07-08 | Noncompact Iwasawa factorization and translationally equivariant hyperbolic affine spheres
[arXiv] 2026-07-08 | A Word-Level Digital Reader of the Prasthanatrayi with Sankara's Bhasya: Corpus, Method, and an Open, Offline Reading Aid for the Advaita Vedanta Canon
[arXiv] 2026-07-08 | MoLIFE: Methodology, Technologies, and Challenges for Mobile Live Intelligent Forensics Examination
[arXiv] 2026-07-08 | Billions of Sketches Reveal Hidden Cultural Variation in Human Concepts
[arXiv] 2026-07-08 | The Deep Learning Cosmic Ray Energy Reconstruction Pipeline for the GRAPES-3 Experiment
[arXiv] 2026-07-08 | Sparse Relaxed Broadcast Graphs
[arXiv] 2026-07-08 | FMMVCC: Fuzzy Mamba-based Multi-View Contrastive Clustering for Univariate Time Series
