[2026-05-30 10:47:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-29
正在获取论文...
[ACM] 2026-5-29 | BeamFormer: Transformer-based Beam Management for 6G Networks
[IEEE] 2026-5-29 | Research on the Diagnosis and Localization Method of Cross-Bonding Cable Defects Based on Three-Phase Differential Frequency Excitation
[IEEE] 2026-5-29 | A Long-Range Detection Method for Blueberries Based on an Improved YOLOv11n Model
[IEEE] 2026-5-29 | On Enumerating Feasible Permutations for Rank Modulation Codes in DNA storage via Hyperplane Arrangements
[IEEE] 2026-5-29 | Optimizing Heat-Assisted Magnetic Recording Plasmonic Structures via Deep Generative Models
[IEEE] 2026-5-29 | Low-Earth Orbit Satellite Network Analysis with Random LOS and NLOS Channels
[IEEE] 2026-5-29 | EVDI++: Event-based Video Deblurring and Interpolation via Self-Supervised Learning
[IEEE] 2026-5-29 | Complementary Grid Forming: Inertia Gathered from Constrained Resources
[IEEE] 2026-5-29 | Machine Learning-Assisted Electro-Thermal Co-Optimization Framework for PDN in 3-D Integrated Microsystem With Embedded Microchannel Heatsink
[IEEE] 2026-5-29 | Nonlinear Optimal Control Beyond the Hamilton-Jacobi-Bellman Equation
[IEEE] 2026-5-29 | Thermal Aging Mechanisms and Dielectric Properties of Epoxy Resin Impregnated Bamboo Paper Composites
[IEEE] 2026-5-29 | Toughening Epoxy Resin for Low-Temperature Electrical Insulation in High Voltage Equipment
[IEEE] 2026-5-29 | Efficient and Reliable Index Modulation OTFS Framework for THz-ISAC Systems
[IEEE] 2026-5-29 | Implementation of a novel CT approach into a micro-PET scanner
[ACM] 2026-5-29 | As Far as Eye See: Vergence-Pupil Coupling in Near-Far Depth Switching
[IEEE] 2026-5-29 | Megatrends
[IEEE] 2026-5-29 | Space Datacenters
[IEEE] 2026-5-29 | Auditing the Invisible: Revolutionizing Anomaly Detection in IoT-Enabled Energy Markets
[IEEE] 2026-5-29 | Space Networks as a Service: A Plug and Play Approach
[ACM] 2026-5-30 | Reflection-in-the-Loop: An AI-Augmented Visual Environment for Early-Stage Interface Design
[ACM] 2026-5-29 | Temporal Changes in Oculomotor Workload Metrics during the Oral Reading of Character Strings
[ACM] 2026-5-29 | The Challenges of Eye-Tracking Visualization in Multi-User Collaboration
[ACM] 2026-5-29 | Constructing Machine Learning Features from Eye Movement Metrics: Feature Engineering Techniques for HCI Research
[ACM] 2026-5-29 | Expecting the unexpected: Eye-tracking surprisal and entropy in L1 and L2
[ACM] 2026-5-29 | Gaze-Based Automatic Scrolling for Readers Using Screen Magnification
[IEEE] 2026-5-29 | Long-horizon prediction of who quits : League of Legends as a case study
[IEEE] 2026-5-29 | HANeRV: Hierarchically Adaptive Neural Representation for Video Compression
[IEEE] 2026-5-29 | Robust Single-View Target Identification with Sparse Multi-Angle Polarimetric Data
[IEEE] 2026-5-29 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[IEEE] 2026-5-29 | Room-Temperature Mid-Wave Infrared Guided Mode Resonance Photodetectors for Focal Plane Arrays
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Efficient DOA Estimation Based on Coprime Array Interpolation With Deep Unfolding Network
[IEEE] 2026-5-29 | Interactive $360 ^{\circ }$ Object Removal: A Coordinate Querying Approach via Spherical Normal Constraints and Learnable Wavelet Enhancement
[IEEE] 2026-5-29 | Doppler-Enhanced Angle of Arrival Estimation for Tracking Autonomous Localization of Errant UAVs
[ACM] 2026-5-29 | Reliable Metal Foreign Object Detection for Mobile Wireless Charging via Harmonic Fingerprinting
[ACM] 2026-5-29 | WheatScout: A Handheld Analyzer for Pre-Harvest Wheat Protein and Moisture Monitoring
[IEEE] 2026-5-29 | Detail Study of Loop Magnetic Antennas Operation for Underwater Communication
[ACM] 2026-5-30 | V-RECS: a NL2Vis Recommender for Chart Generation with Explanations, Captioning, and Suggestions
[ACM] 2026-5-30 | An Immersive Virtual Reality Interface for Archaeological Reconstruction
[ACM] 2026-5-30 | Rethinking Artistic Research in the Age of AI: New Frameworks, HCAI Practices, and Challenges
[ACM] 2026-5-30 | Temporal Augmentation for Remote AV Takeover: A Dual-Phase Evaluation of Replay-Buffered Interfaces
[ACM] 2026-5-30 | Evaluating AI Assistance in Human-in-the-Loop Scenographic Prop Authoring
[ACM] 2026-5-30 | Memorability of Greenhouse Gas Emissions in Virtual Reality: An Evaluation of Enactment and Quiz-Based Gamification
[ACM] 2026-5-29 | Behavioral Markers of Sustained Viewing in VR Museum Exploration: Head Stability, Gaze Dynamics, and Pupillary Response
[ACM] 2026-5-29 | When Machines Observe Architects
[ACM] 2026-5-29 | A Low-Power Distance-Based Approach to Gaze Classification in Pervasive Smart-Eyewear Eye Tracking
[ACM] 2026-5-29 | Cognitive Attention Map: Semantic Tokenization of Source Code via OCR-Based AOI Identification across Performance Levels
[ACM] 2026-5-29 | GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays
[ACM] 2026-5-29 | Building Audio-Visual Digital Twins with Smartphones
[ACM] 2026-5-29 | GeoTwins: Uncovering Hidden Geographic Disparities in Android Apps
[ACM] 2026-5-29 | Hide-and-Sweep: Detecting Concealed Cameras via LED Illumination Sweeps
[ACM] 2026-5-29 | AutoRF: Towards an Agentic Framework for Automated RF Hardware Design
[ACM] 2026-5-29 | Ouroboros: Instilling Motion Awareness in ViTs for Efficient Video Analytics on the Edge
[IEEE] 2026-5-29 | Modeling of Conjugative- and Phage- Mediated CRISPR-based System against Antimicrobial Resistant Bacteria_supp1-3693402.pdf
[IEEE] 2026-5-29 | Safety-critical Dynamic Event-triggered Control of Self-organizing USV Swarms with Input Constraints via Reinforcement Learning
[IEEE] 2026-5-29 | Management of Dissipative and Uncertain Trust in a Digital Twin based Control System for the MASS
[IEEE] 2026-5-29 | Influence of Heat-Treatment on Magnetic Properties of Melt-Spun Fe-6.5wt.%Si Ribbons
[IEEE] 2026-5-29 | IEEE Career Center
[IEEE] 2026-5-29 | A Vertically Polarized Narrow Width High Gain Meander-Line Bidirectional Array Antenna Mounted on Large-Scale Metal Plane
[IEEE] 2026-5-29 | Zero-Shot Face Authentication in Multi-User Scenarios Using Mmwave Signals
[IEEE] 2026-5-29 | Wrench-Feasible Workspace Analysis of Mobile Cable-Driven Parallel Robot Considering both Tipping and Rotation Stability
[IEEE] 2026-5-29 | Using Robotics to Improve Transcatheter Edge-to-Edge Repair of the Mitral Valve
[IEEE] 2026-5-29 | A Fixed-Frequency Three-Level NPC-Based LCLC Resonant Converter With Inherent CC–CV Charging Capability
[IEEE] 2026-5-29 | Optimal Design of Electric Machines Based on Pareto-Guided Active Learning Surrogate Model
[IEEE] 2026-5-29 | IEEE Connects You to a Universe of Information!
[IEEE] 2026-5-29 | Optimising dry powder inhalers for lung deposition with a DRL CFD coupled framework
[IEEE] 2026-5-29 | Ultra-Steep-Slope and High-On/Off-Ratio P-Channel SnO Thin-Film Transistors via Monolithic Threshold-Switching Integration
[IEEE] 2026-5-29 | MGA-CLIP: A Multigranularity Attribution Framework for Cross-Modal Explainability in CLIP
[ACM] 2026-5-30 | Reconnecting Seniors with Blue Spaces: A Technology-Mediated Immersive Approach
[ACM] 2026-5-30 | Brainy: a Virtual Pet Encouraging Digital Wellbeing
[ACM] 2026-5-30 | Semantic Prompting: Agentic Incremental Narrative Refinement through Spatial Semantic Interaction
[IEEE] 2026-5-29 | The Industrial Revolution of the Intelligence Age
[IEEE] 2026-5-29 | Understanding Energy Megatrends: Drivers, Pathways, and Required Technologies
[IEEE] 2026-5-29 | The Open Source Bug Hunter: When Smaller Models Outperform the Giants at Finding Faults
[ACM] 2026-5-29 | Visual Attention and Cognitive Load in Text Relevance Assessment
[ACM] 2026-5-29 | Professional Vision in Early Childhood Education: Mobile Eye-Tracking in Educator–Child Interactions
[ACM] 2026-5-29 | Associations Between Eye-Tracking Dynamics and Cognitive Variability in Functionally Independent Older Adults
[ACM] 2026-5-29 | GUARDIAN: Gaze User Authentication and Reference Detection for Integrity Analysis on Netflix
[ACM] 2026-5-29 | Perceiving AI in Motion: A Mixed-Method Eye-Tracking Study of Social Diversity in AI-Based Mobility Systems
[ACM] 2026-5-29 | Event-based Gaze Estimation via Spatial-Temporal Interaction
[ACM] 2026-5-29 | Corneal Center Estimation Using Incident Planes Calculated by Polarization
[ACM] 2026-5-29 | FBLayout: Optimizing Memory Layout for Efficient LLM Finetuning on Mobile GPUs
[ACM] 2026-5-29 | [Emerging Ideas] Phonotonos: Through-Skin Ultrasonic Blood Flow Sensing Using Smartphones
[IEEE] 2026-5-29 | Literary Emotions in Motion: A Soft Robotics Installation for Tactile Storytelling
[IEEE] 2026-5-29 | NSGR: A Tile-Free 360° Video LIVE System With Edge Servers Enhancing Viewport Quality
[IEEE] 2026-5-29 | Computer Highlights Society Magazines
[IEEE] 2026-5-29 | Towards Robust Optical–SAR Object Detection under Missing Modalities: A Dynamic Quality-Aware Fusion Framework
[IEEE] 2026-5-29 | EMF Exposure Application Using Both Cavity Filter and Mode-Matching Component at the 2.45 GHz ISM Band
[IEEE] 2026-5-29 | Leader-Following Bipartite Consensus of Nonlinear Multiagent Systems With Input Saturation via Impulsive Control
[IEEE] 2026-5-29 | Free-Position Wireless Power Transfer System for Lightweight Unmanned Aerial Vehicle Based on Multireceiver-Coil Design
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Rapeseed Yield Estimation by Assimilating a Novel SAR-Retrieved Canopy Parameter Considering Plant Structure and Regional Characteristics
[IEEE] 2026-5-29 | A Multidimensional Comparative Survey of Hybrid Cloud-IoT Architectures for Healthcare: Towards a Fog-Mesh Synergistic Framework
[IEEE] 2026-5-29 | Filtering and Accelerating: A Unified Framework for High-Performance Persistence Estimation_supp1-3695579.pdf
[IEEE] 2026-5-29 | Event Temporal Upsampling through High Frame Rate Brightness Changes Estimation_supp1-3695939.pdf
[IEEE] 2026-5-29 | Robust Broadband Shielding Effectiveness Characterization of Small Enclosures Using a Practical Hybrid Measurement Method
[IEEE] 2026-5-29 | Stroke-based Cyclic Amplifier: Image Super-Resolution at Arbitrary Ultra-Large Scales_supp1-3695560.mp4
[IEEE] 2026-5-29 | Explainable Causal Forecasting Model for Maximum Usable Frequency in HF Wireless Communications
[IEEE] 2026-5-29 | On the Illusion of Gender Bias in Face Recognition: Explaining the Fairness Issue Through Non-demographic Attributes
[ACM] 2026-5-29 | HealthServe: A Public Health-Aware Inference Framework
[IEEE] 2026-5-29 | Game-Theoretic Optimization of Multiple Interfering Base Stations Deployment
[ACM] 2026-5-30 | From Trust to Agency: Designing Child-Centred AI Interaction
[ACM] 2026-5-30 | Augmenting Information Access in Cultural Virtual Tours through Automatic Artifact Segmentation
[ACM] 2026-5-30 | Virtual augmentation of a simulated scenario for first aid operators training
[ACM] 2026-5-30 | A Conceptual Framework to Foster Sustainability with Gamified Digital Twins
[ACM] 2026-5-30 | Success Criteria for Evaluating Symbiotic AI Systems
[ACM] 2026-5-30 | On Promoting Agency in People with Intellectual Disabilities in Co-Design
[ACM] 2026-5-29 | Unsupervised Profiling of L2 Reading from Eye Tracking Data in the MECO-L2 Dataset.
[ACM] 2026-5-29 | Spontaneous Blink Features Extracted from Video for Multi-Class Classification of Parkinson’s Disease
[ACM] 2026-5-29 | Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services
[ACM] 2026-5-29 | TIPS: Thermal Image based Plastics Sorting
[ACM] 2026-5-29 | KVSwap: Disk-aware KV Cache Offloading for Long-Context On-device Inference
[ACM] 2026-5-29 | RELL-STC: An Efficient SpMM Extension of Sparse Tensor Core with Re-structured ELLPACK and Gustavson Dataflow
[ACM] 2026-5-29 | EviDex: Provenance-Weighted Evidence-Path Indexing for Fresh and Auditable Retrieval under Continuous Updates
[IEEE] 2026-5-29 | A Compact Metallic Cavity-Backed Slot Antenna Subarray for Space-Based ADS-B Reception
[IEEE] 2026-5-29 | An Open Testbed for the TV 3.0 Application Coding Layer
[IEEE] 2026-5-29 | Magnetic properties of the iron-based SMCs with Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    insulation
[IEEE] 2026-5-29 | Task-tailored Pre-processing: Fair Downstream Supervised Learning_supp1-3697632.pdf
[IEEE] 2026-5-29 | Robotic Steerable Sheath for Left Atrial Appendage Occlusion_supp1-3689692.pdf
[IEEE] 2026-5-29 | CoDE-GAN: Consistency Diffusion Evolutionary Algorithm Based Neural Architecture Search for Generative Adversarial Networks
[IEEE] 2026-5-29 | Visualizing definitional divergence in high-dimensional data by manifold alignment: Application to 3D right ventricular strain computations
[IEEE] 2026-5-29 | Analysis of Land Subsidence Characteristics According to Reclamation and Construction Periods Using Sentinel-1 Time-Series Interferometry: A Case Study on The West Coast of South Korea
[IEEE] 2026-5-29 | Toward Reliable and Secure Cloud Services With Fault-Tolerant Searchable Encryption
[IEEE] 2026-5-29 | A Learning With Errors based Encryption Scheme for Dynamic Controllers that Discloses Residue Signal for Anomaly Detection
[IEEE] 2026-5-29 | H-SMART: Hierarchical Self-Correcting Multi-Agent Reasoning for Robust Text Rendering
[IEEE] 2026-5-29 | M
                    <sup>3</sup>
                    Detection: Multi-Frame Multi-Level Feature Fusion for Multi-Modal 3-D Object Detection With Camera and 4-D Imaging Radar
[IEEE] 2026-5-29 | Twining Stems Inspired Soft Actuators with High Aspect Ratio: Design, Characterization, and Application
[IEEE] 2026-5-29 | Structural-Semantic Topological Graph Matching and Map Alignment in Challenging Indoor Scenes
[IEEE] 2026-5-29 | Point-Cloud-Assistant Localized Statistical Channel Prediction by Tangent Gaussian Splatting
[IEEE] 2026-5-29 | Retracting Scientific Papers and Acknowledging Criminal Justice Failures
[ACM] 2026-5-30 | MoCoRo: Towards A Modular Robotics Platform for Automated Cocktail Creation
[ACM] 2026-5-30 | Detecting Intent in XR for Nonspeaking Autistic Typers
[ACM] 2026-5-29 | It is All About the Experience... My Highlights of QoMEX 2025 in Madrid
[ACM] 2026-5-29 | Enabling Efficient Vector Processing: A Heterogeneous Vector Architecture with in-SRAM Computing
[ACM] 2026-5-29 | A Greener Edge: A Framework on Carbon-aware Edge ML System Design
[ACM] 2026-5-29 | VLMCache: Efficient On-Device Vision-Language Model Inference
[ACM] 2026-5-29 | Ringmaster: How to juggle high-throughput host OS system calls from TrustZone TEEs
[ACM] 2026-5-29 | Learning Where to Look: Spatial Prior Acquisition in Autism Spectrum Disorder
[ACM] 2026-5-29 | MicroDuet: Dual Microscope Eye Tracking and Joint Visual Attention in Microsurgical Training
[ACM] 2026-5-29 | Evaluating Eye-Tracking Challenges in Gaze-Controlled Musical Applications for Users with Motor Disabilities
[ACM] 2026-5-29 | Exploratory Integration of EEG Spectral Features and Gaze Variability for Mild Cognitive Impairment Discrimination
[ACM] 2026-5-29 | Hypernetwork-driven Weight Adaptation for Personalized PSOG Eye-Trackers
[IEEE] 2026-5-29 | CoDrive-MLF: Empirical Validation of Cooperative Driving via a Multi-Layer V2V Evaluation Framework
[IEEE] 2026-5-29 | GCP: Guarded Collaborative Perception with Spatial-Temporal Aware Malicious Agent Detection_supp1-3693684.pdf
[IEEE] 2026-5-29 | Outage Analysis of Uplink Service Coexistence in LEO Satellite Networks With Rate-Splitting Grant-Free Transmission
[IEEE] 2026-5-29 | A Novel Torque Sharing Function With Asymmetric Cooperative Operation System for Switched Reluctance Motors
[IEEE] 2026-5-29 | Correcting Sea Surface Wind Model Outputs in the Western Tropical and Southwestern Atlantic Oceans using Scatterometer Data_supp1-3693093.docx
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Analysis of Grounding Structure Effects on Automotive Ethernet Using Unshielded Twisted Pair: Experimental and Simulation Study Under Bulk Current Injection Testing
[IEEE] 2026-5-29 | Development of a novel spherical moderator counter with uniform energy response in 4π space
[IEEE] 2026-5-29 | IEEE Security and Privacy Subscription
[IEEE] 2026-5-29 | IEEE Transactions on Computers Call for Paper
[ACM] 2026-5-29 | Towards Seeing Bones at Radio Frequency
[IEEE] 2026-5-29 | Hyperbolic Frequency Multicarrier Modulation for Wideband Linear Time-Varying Channels
[ACM] 2026-5-30 | Proceedings of the 2026 International Conference on Advanced Visual Interfaces
[ACM] 2026-5-30 | Immersive Reachability Planning for the Excavation of Cultural Heritage Objects
[ACM] 2026-5-29 | [Emerging Ideas] ConCord: Human-in-the-Loop, Cooperative Robot Exploration
[ACM] 2026-5-29 | AgentProg: Empowering Long-Horizon GUI Agents with Program-guided Context Management
[ACM] 2026-5-29 | Proceedings of the 2026 Symposium on Eye Tracking Research and Applications
[ACM] 2026-5-29 | How Close Can You Go? Minimum Eye-to-Screen Distance for EyeLink 1000 Plus
[IEEE] 2026-5-29 | Experimental Analysis of Electrical Degradation in Eco-friendly Insulating Oil using a Scaled-down Transformer Internal Structure
[IEEE] 2026-5-29 | End-to-End Spectrally Driven Colorimetric Calibration Framework for Color Imaging Systems
[IEEE] 2026-5-29 | Pinching Antenna Systems: Waveguide-Power Loss and Free-Space Path Loss Trade-Off
[IEEE] 2026-5-29 | Q-Learning-Based Improved Discrete PSO for Multi-Objective Flexible Job-Shop Scheduling with Worker Fatigue and Dual Resources
[IEEE] 2026-5-29 | Vector-Space Global Collocation Method for Modeling Rod-Driven Parallel Continuum Manipulators
[IEEE] 2026-5-29 | Modeling and Control for Automated Sewing of Stretchable Fabrics of Different Shapes
[IEEE] 2026-5-29 | Automatic Current Balancing IPOP LLC Converter: A Full-Bridge Partial Power Processing Approach
[IEEE] 2026-5-29 | Heuristic Proposal to Design and Assess Pervasiveness in Video Games
[ACM] 2026-5-29 | Welcome Message from the SIGMM Executives
[ACM] 2026-5-29 | Analyzing Symbolic Properties for DRL Agents in Systems and Networking
[IEEE] 2026-5-29 | IEEE Pervasive Computing
[IEEE] 2026-5-29 | A Sliced Learning Framework for Online Disturbance Identification in Quadrotor SO(3) Attitude Control_supp3-3689054.mp4
[IEEE] 2026-5-29 | Erratum to “Deep Reinforcement Learning-Based eMBB and URLLC Service Multiplexing in Wireless NOMA Networks”
[ACM] 2026-5-30 | Transforming Natural Language into Knowledge Graph Queries with LinkQ: An Agentic Visual Interface
[ACM] 2026-5-30 | Act on the present and peek into the past: A system for Asynchronous Immersive Analytics Collaboration
[ACM] 2026-5-30 | Towards Safe and Comfortable Robotic Touch Interactions: Understanding Physical Interaction Parameters through Participatory Design of Robotic Touch Behaviors
[ACM] 2026-5-29 | ZA-SLAM: Leveraging Vision-Language Model for Zero-Shot Acoustic SLAM
[ACM] 2026-5-29 | Rethinking QoE in the Age of AI: From Algorithms to Experience-Based Evaluation
[ACM] 2026-5-29 | Analysis of Always-Listening Services on Android
[ACM] 2026-5-29 | An Affordable, Wearable Stereo-Eye-Tracking Platform
[IEEE] 2026-5-29 | FlashShield: Detecting Flash Loan Attacks in DeFi Using Hypergraph Neural Network
[IEEE] 2026-5-29 | DSAA-ViT: Density-Guided Split Axial Attention for PAM-4 Eye-Diagram Measurement
[IEEE] 2026-5-29 | Design of Contactless D-Band MMIC-to-Waveguide Transition Based on Multilayer Waveguide and SiGe Technology
[IEEE] 2026-5-29 | Descriptor:
                    <i>Channel State Information for Digital Twin Dataset (CSI-DT)</i>
[IEEE] 2026-5-29 | Descriptor: WiFi-Granular Activities in Kitchen Dataset (Wi-GRAK)
[IEEE] 2026-5-29 | Quantum Week
[IEEE] 2026-5-29 | Descriptor:
                    <i>Electronic Device Domain Factoid Question-Answering Dataset (ElecDevQA)</i>
[IEEE] 2026-5-29 | Robotic Steerable Sheath for Left Atrial Appendage Occlusion_supp2-3689692.png
[IEEE] 2026-5-29 | <i>Listen in: How Radio Changed the Home</i>
                    —Beaty Rubens (Oxford, U.K.: Bodleian Library Publishers, 2025, 259 pp.)
[IEEE] 2026-5-29 | Assessing the Robustness of Prithvi Geospatial Foundation Model for Coastal Habitat Mapping under Data Availability and Domain Shift Scenarios
[IEEE] 2026-5-29 | Efficient CSI-Based Indoor Human Activity Recognition System Optimized for Edge Devices
[ACM] 2026-5-29 | MATER:
                    <u>M</u>
                    utually
                    <u>A</u>
                    ware Framework for
                    <u>T</u>
                    eleoperated-robot with
                    <u>E</u>
                    xtended
                    <u>R</u>
                    eality
[ACM] 2026-5-29 | An Introduction to the Universal Chiplet Interconnect Express (UCIe)
[ACM] 2026-5-30 | From 'Nice Try' to 'Nice Throw': Exploring Counterfactual Explanations as Corrective Feedback for Javelin Throwing
[ACM] 2026-5-30 | Demonstrating Infrastructure-Free Indoor Occupancy Visualization using Passive BLE Sensing
[ACM] 2026-5-29 | Control of Fixation Duration During Visual Search Task Execution
[ACM] 2026-5-29 | Pinpointing Transmitting LEO Satellites from a Single Passive Array
[ACM] 2026-5-29 | Introduction to the Special Issue on GeoAI Foundation Models and Their Applications, Part I
[ACM] 2026-5-29 | Factor-Informed Uncertainty Distillation for Gaze Estimation
[ACM] 2026-5-29 | Visualization Lenses for Time-Binned AOI Occupancy in Eye-Tracking Analysis
[IEEE] 2026-5-29 | ARGO+: Achieving Multi-Level Scalable GNN Training on Distributed Multi-Core Platform
[IEEE] 2026-5-29 | Reliability and Validity of IMU-Derived Kinematic Metrics of a Drinking Task in Stroke Survivors and Healthy Individuals
[IEEE] 2026-5-29 | Update Your IEEE Profile
[IEEE] 2026-5-29 | Silicluster v2: A Scalable Open-Source Multi-Project SoC Architecture in Sky130 CMOS Enabling High-Density Modular Integration
[IEEE] 2026-5-29 | Robust Channel Estimation for Mobile Underwater Edge Nodes: A Mamba-Distilled Sparse Bayesian Learning Framework
[IEEE] 2026-5-29 | IEEE Transactions on Big Data
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | A GaN-on-Si Doherty-Like Power Amplifier With Nonimpedance-Inverter Transmission Line for Smart Mobile Handset
[IEEE] 2026-5-29 | A Bidirectional and Polarization-Independent Meta-Glass with Enhanced Transmission Efficiency for mm-Wave 5G Applications
[ACM] 2026-5-29 | UniCache: Unifying Prefix Cache Eviction for Heterogeneous LLM Serving Workloads
[IEEE] 2026-5-29 | Should New Software Engineering Professors Do an Internship?: Before Teaching Software Engineering Standards to Future Software Engineers
[IEEE] 2026-5-29 | Benefit–Risk Assessment in the Regulation of Pharmaceuticals
[IEEE] 2026-5-29 | On the Speculative Terminology Surrounding AI
[ACM] 2026-5-30 | A Visualization and Control Interface for Rhythmic Relations
[ACM] 2026-5-30 | Understanding the Potential of Artificial Intelligence to Semi-automatically Generate Realistic 3D Interactive Models of Composite Objects
[ACM] 2026-5-30 | Vision-Driven Design
[ACM] 2026-5-29 | On The Use Of Electroencephalography In Query Performance Prediction
[ACM] 2026-5-29 | [Emerging Ideas] Artificial Tripartite Intelligence: A Bio-Inspired, Sensor-First Architecture for Physical AI
[ACM] 2026-5-29 | Predicting Eye-Tracking Metrics in French Texts with Language Models
[ACM] 2026-5-29 | Gaze behavior in a dual VR head pointing-and-walking task
[ACM] 2026-5-29 | Towards Enhancing Visual Reasoning through Gaze-Semantic Alignment and Attention Correction
[ACM] 2026-5-29 | Inducing Global and Focal View in UML Class Diagram Comprehension
[ACM] 2026-5-29 | View Crew: A Wearable Eye Tracker-Based Viewing Guide for Museum Self-Reflection
[IEEE] 2026-5-29 | Simulated-Annealing-Assisted Artificial Hummingbird Algorithm for Efficient Parcel Delivery in Smart City
[IEEE] 2026-5-29 | VBT-MPC: Vision-Based Tactile MPC for Contour Following
[IEEE] 2026-5-29 | Stretchable and Bendable Design of Pressure Sensor for Lower-Limb Motion Monitoring
[IEEE] 2026-5-29 | IEEE Member Discount Program
[IEEE] 2026-5-29 | IEEE App
[IEEE] 2026-5-29 | Temperature-Well·Applications Thermo-Optic Signal Degradation in High-Temperature Downhole Fibers: From Spectral Attenuation to Phase Topology
[IEEE] 2026-5-29 | Insights from Inside: Towards Explainable WiFi Sensing
[IEEE] 2026-5-29 | Nonlinear Optimal Control for Mismatched Disturbance Rejection and Its Application to AGV
[IEEE] 2026-5-29 | IEEE Circuits and Systems Society Information
[IEEE] 2026-5-29 | Advancing No-Reference Point Cloud Quality Assessment via Leveraging Prior Knowledge From Ranking Learning
[IEEE] 2026-5-29 | Active Amplifier-Based Sensing Metasurface
[IEEE] 2026-5-29 | Setting the Standard of Excellence in Publications
[IEEE] 2026-5-29 | Joint Port Selection and Phase Shift Optimization for Fluid Reconfigurable Intelligent Surfaces
[IEEE] 2026-5-29 | IEEE IT Professionals Call for Articles
[ACM] 2026-5-29 | WISP: Waste- and Interference-Suppressed Distributed Speculative LLM Serving at the Edge via Dynamic Drafting and SLO-Aware Batching
[IEEE] 2026-5-29 | Semi-Persistent Queue-Assisted Carrier Aggregation for Non-GBR Traffic
[ACM] 2026-5-30 | EmoRainbow: How Can Phygital Artefacts Support Emotional Regulation in Disaster Preparedness?
[ACM] 2026-5-30 | An AI Tool for Gender Bias Analysis in News Publications
[ACM] 2026-5-30 | Conceptual Alignment through Large Language Models: A Case Study in an Educational Context
