[2026-05-27 12:21:38] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-26
正在获取论文...
[arXiv] 2026-05-26 | Relationship between heat effects and shear modulus relaxation during structural relaxation of a telluride glass
[arXiv] 2026-05-26 | Causally-interpretable meta-analysis using aggregate data
[arXiv] 2026-05-26 | Geometrically constrained multi-kink configurations in generalized impurity-doped field theories
[arXiv] 2026-05-26 | Causal Representation Learning for Generalisable Recommendation
[arXiv] 2026-05-26 | Birkhoff Decompositions and Photonic Interconnects Wait! Don't Forget the Compute!
[arXiv] 2026-05-26 | Geometry and relaxation dynamics of nematic loops
[arXiv] 2026-05-26 | Absence of a Superradiant Phase Transition in Dirac Landau Polaritons
[arXiv] 2026-05-26 | Open Gromov-Witten invariants in genus zero and Lagrangian cobordisms
[arXiv] 2026-05-26 | Conformalized Large-Scale Selective Inference with Informative and Trustworthy Prediction Sets
[arXiv] 2026-05-26 | Virtual-Memory Powersort
[arXiv] 2026-05-26 | Dyck language and fermionic second quantization: I. Theory
[arXiv] 2026-05-26 | On the GitHub Actions Language: Usage, Evolution, and Workflow Reliability
[arXiv] 2026-05-26 | Beyond a Single Direction: Chain-of-Thought Disrupts Simple Steering of Refusal
[arXiv] 2026-05-26 | Analytical Model of Clock Drift in Quantum Key Distribution and a Simple Synchronization Algorithm
[arXiv] 2026-05-26 | Quantum statistical mechanics: Gauge invariance, operator shifting, hyperdensity functionals, and nonequilibrium sum rules
[arXiv] 2026-05-26 | Observations of stable pickup He$^+$ tori in a magnetic flux rope at 0.85 au
[arXiv] 2026-05-26 | Pretrained Approximators for Low-Thrust Trajectory Cost and Reachability
[arXiv] 2026-05-26 | On matrix polynomials and the joint spectral radius over max-algebras
[arXiv] 2026-05-26 | PRISM: A Multi-Dimensional Benchmark for Evaluating LLM Peer Reviewers
[arXiv] 2026-05-26 | Foliations, slope stability, and positivity of log canonical bundles on Deligne-Mumford stacks
[arXiv] 2026-05-26 | At-Scale Data-Driven Exploration of High-Voltage Cathode-Active Materials for Sodium Batteries
[arXiv] 2026-05-26 | Joint 2D-3D Segmentation and Association in Street-level Imaging
[arXiv] 2026-05-26 | JuICE: A Benchmark for Evaluating LLM-Judge in Identifying Cultural Errors
[arXiv] 2026-05-26 | Mixing times for Glauber dynamics of lozenge tilings of the hexagon
[arXiv] 2026-05-26 | Algorithmic Monocultures in Hiring
[arXiv] 2026-05-26 | First Light and Reionization Epoch Simulations (FLARES) XXII: UV-dust spatial offsets at the Epoch of Reionisation
[arXiv] 2026-05-26 | Generalized multilevel amplitude damping channels and their thermodynamic performances
[arXiv] 2026-05-26 | SpatialBench: Is Your Spatial Foundation Model an All-Round Player?
[arXiv] 2026-05-26 | MUSE-Autoskill: Self-Evolving Agents via Skill Creation, Memory, Management, and Evaluation
[arXiv] 2026-05-26 | A Minute-Cadence Deep Bulge Survey: First Data Release of DREAMS
[arXiv] 2026-05-26 | Alignment Tampering: How Reinforcement Learning from Human Feedback Is Exploited to Optimize Misaligned Biases
[arXiv] 2026-05-26 | Impact of Clouds on the Atmosphere-Mantle Interface of Sub-Neptunes
[arXiv] 2026-05-26 | Towards Controllable Image Generation through Representation-Conditioned Diffusion Models
[arXiv] 2026-05-26 | Phase-Topology Classification of Memristor Hysteresis Loops via Self-Crossings
[arXiv] 2026-05-26 | Learning to reoptimize: a GNN-aided fix-and-optimize approach and an application to the Lot Sizing problem
[arXiv] 2026-05-26 | PARE: Pruning and Adaptive Routing for Efficient Video Generation
[arXiv] 2026-05-26 | Semantic Gradients Interactions in SSD: A Case Study in Racial Identity and Hate Speech
[arXiv] 2026-05-26 | Propagation of Regularity for Schroedinger Equations with Time Dependent Potentials
[arXiv] 2026-05-26 | Probabilistic Smoothing with Ratio-Monotone Transforms for Global Optimization
[arXiv] 2026-05-26 | Normal Guidance is what Attention Needs
[arXiv] 2026-05-26 | BASIS: Batchwise Advantage Estimation from Single-Rollout Information Sharing for LLM Reasoning
[arXiv] 2026-05-26 | It's Not Always Sycophancy: Measuring LLM Conformity as a Function of Epistemic Uncertainty
[arXiv] 2026-05-26 | FineVLA: Fine-Grained Instruction Alignment for Steerable Vision-Language-Action Policies
[arXiv] 2026-05-26 | On the Faithful Projective Representations of Finite Groups and their Minimal Dimension
[arXiv] 2026-05-26 | Non-stationary current fluctuations in 1D boundary-driven diffusive systems via Macroscopic Fluctuation Theory
[arXiv] 2026-05-26 | The Structural Case for the Eco-Civilization Paradigm
[arXiv] 2026-05-26 | Inverse Control Constrained Optimization of Vessel Speed Decisions Under Environmental Risk: Evidence from Arctic Shipping
[arXiv] 2026-05-26 | Transfer Learning using 66 Diseases for Disease Forecasting Applications
[arXiv] 2026-05-26 | Nonasymptotic bounds for quantum purity amplification
[arXiv] 2026-05-26 | Kan Extension Transformers: A Categorical Unification of Attention, Diffusion, and Predict-Detach Self-Conditioning
[arXiv] 2026-05-26 | LUCoS: Latent Unsupervised Context Selection for Tabular Foundation Models
[arXiv] 2026-05-26 | Symbolic Regression via Latent Iterative Refinement
[arXiv] 2026-05-26 | A Fast Method to Compute Scalar Induced Gravitational Waves on a Lattice with Primordial Non-Gaussianities
[arXiv] 2026-05-26 | Nonlinear Data Integration via Kernel Methods for Data Collaboration Analysis
[arXiv] 2026-05-26 | For modified gravity, it's the LITTLE THINGS that matter
[arXiv] 2026-05-26 | Orbital and Spin-Orbit Torque Interplay in Ta/W-based Magnetic Tunnel Junctions with Vertical Non-local Switching
[arXiv] 2026-05-26 | Ekedahl-Oort strata under natural embeddings of orthogonal and unitary Shimura varieties
[arXiv] 2026-05-26 | TWIST: Closed-Loop token Synchronization for Application-Aware Wireless Digital Twins
[arXiv] 2026-05-26 | Not All Tokens Matter Equally: Dynamic In-context Vector Distillation with Decisive-Token Supervision for Long-form Medical Report Generation
[arXiv] 2026-05-26 | Statistical and Algorithmic Foundations of Probing Quantum Systems with Compressive Measurements: A Review
[arXiv] 2026-05-26 | Learning When to Think While Listening in Large Audio-Language Models
[arXiv] 2026-05-26 | Vanishing of cohomology in infinitely ramified towers
[arXiv] 2026-05-26 | Integrable equations with negative evolution numbers
[arXiv] 2026-05-26 | Posterior Quantification of Borrowing from Multiple Historical Control Data in Bayesian Dynamic Borrowing Methods: A Scoping Review
[arXiv] 2026-05-26 | Towards Drone-based Mapping of Volcanic Gases using Gas Tomography
[arXiv] 2026-05-26 | FoundObj: Self-supervised Foundation Models as Rewards for Label-free 3D Object Segmentation
[arXiv] 2026-05-26 | An investigation of AI integration in sound designer workflows and experiences
[arXiv] 2026-05-26 | The pollution from massive AGB stars favoured by strong hot bottom burning
[arXiv] 2026-05-26 | Model discovery for dynamical systems with complex-valued product units
[arXiv] 2026-05-26 | Is an Image Also Worth 16x16=256 Superpixels? A Framework for Attentional Image Classification
[arXiv] 2026-05-26 | Do Modern Post-Hoc Watermarking Methods Beat Broken-Arrows?
[arXiv] 2026-05-26 | Image Thresholding: Understanding Bias of Evaluation Metrics towards Specific Evaluation Functions
[arXiv] 2026-05-26 | DEI: Diversity in Evolutionary Inference for Quality-Diversity Search
[arXiv] 2026-05-26 | PILOT: A Data-Free Continual Learning Approach for Real-Time Semantic Segmentation via Boundary Guidance
[arXiv] 2026-05-26 | VR-DAgger: Immersive VR for Dexterous Data Collection and Uncertainty-Guided On-Policy Correction
[arXiv] 2026-05-26 | Morse flow categories as exit path categories
[arXiv] 2026-05-26 | Duplicial sets, crossed $G$-sets and descent categories
[arXiv] 2026-05-26 | Destructuring the disk of AB Aurigae: Dynamics and accretion
[arXiv] 2026-05-26 | Can Broad Biomedical Knowledge be Contextualized into Scenario-Grounded Propositions?
[arXiv] 2026-05-26 | ReMoE: Boosting Expert Reuse through Router Fine-Tuning in Memory-Constrained MoE LLM Inference
[arXiv] 2026-05-26 | Semi-Supervised Gaze Estimation via Disentangled Subspace Contrastive Learning
[arXiv] 2026-05-26 | Trust Region Q Adjoint Matching
[arXiv] 2026-05-26 | On the convergence of iterated penalty methods for structure-preserving discretizations of saddle point problems
[arXiv] 2026-05-26 | BEAT: Rhythm-Elastic Alignment for Agentic Music-guided Movie Trailer Generation
[arXiv] 2026-05-26 | Semantic-Aware Motion Encoding for Topology-Agnostic Character Animation
[arXiv] 2026-05-26 | Electronic Structure in a Phase Space, non-Born-Oppenheimer Framework: Geometric Forces and Moody-Shapere-Wilzcek Revisited
[arXiv] 2026-05-26 | ConVer: Using Contracts and Loop Invariant Synthesis for Scalable Formal Software Verification
[arXiv] 2026-05-26 | Learning to Balance Motor Thermal Safety and Quadrupedal Locomotion Performance with Residual Policy
[arXiv] 2026-05-26 | Designing Multivalent Copolymers for Selective Targeting of Multicomponent Surfaces
[arXiv] 2026-05-26 | Probing the Effects of Heat Treatment Atmosphere on the Structural and Electrical Properties of NBT via Eu Photoluminescence
[arXiv] 2026-05-26 | Anomaly-Induced Hybrid Bulk Electromagnetic Mode in Weyl Semimetals
[arXiv] 2026-05-26 | Quantitative non-embeddability theorems and metric embeddings of slit carpets
[arXiv] 2026-05-26 | Boosting Knowledge Graph Foundation Models via Enhanced Negative Sampling
[arXiv] 2026-05-26 | ReasonOps: A Unified Operational Paradigm for Trustworthy Verified LLM Reasoning
[arXiv] 2026-05-26 | Advances in polyconvex anisotropic hyperelasticity
[arXiv] 2026-05-26 | Reasoning Depth and Environment Complexity: A Controlled Study of RLVR Data Allocation across Logical Reasoning Tasks
[arXiv] 2026-05-26 | A Formal Semantics of C with OpenMP Parallelism
[arXiv] 2026-05-26 | Quantum criticality and factorization in a constrained Rydberg spin chain
[arXiv] 2026-05-26 | Which Changes Matter? Towards Trustworthy Legal AI via Relevance-Sensitive Evaluation and Solver-Grounded Reasoning
[arXiv] 2026-05-26 | InterSketch: An Interleaved Reasoning Model with Self-correcting Visual Sketch and Stepwise Reward
[arXiv] 2026-05-26 | Aligning Provenance with Authorization: A Dual-Graph Defense for LLM Agents
[arXiv] 2026-05-26 | Clinically-Grounded Counterfactual Reasoning for Medical Video Diagnosis
[arXiv] 2026-05-26 | Connected components of the ranges of twisted divisor functions on number fields
[arXiv] 2026-05-26 | The maximum number of paths of a given length in a nonhamiltonian graph
[arXiv] 2026-05-26 | Variational Inference for Evidential Deep Learning
[arXiv] 2026-05-26 | Enhancement of Ponderomotive End Plugs with Low-Mass Dopants
[arXiv] 2026-05-26 | Directional Symmetry Breaking of Spherical Active Colloids by Magnetoviscous Coupling
[arXiv] 2026-05-26 | Model Unlearning Objectives Vary for Distinct Language Functions
[arXiv] 2026-05-26 | Low Soundness Linearity Testing on the Half-Slice
[arXiv] 2026-05-26 | Underwater360: Reconstructing Underwater Scenes from Panoramic Images with Omnidirectional Gaussian Splatting
[arXiv] 2026-05-26 | Structure-Adaptive Conformal Inference for Large-Scale Out-of-Distribution Testing
[arXiv] 2026-05-26 | Atomic-referenced Hz-linewidth lasers via fiber interferometric stabilization
[arXiv] 2026-05-26 | Surface d-orbital order in intermetallic compound
[arXiv] 2026-05-26 | Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation
[arXiv] 2026-05-26 | A Network Inefficiency Metric for Structural Stress Detection in Hedera Transactions
[arXiv] 2026-05-26 | Refined index obstructions for Brauer classes on an abelian variety
[arXiv] 2026-05-26 | From Static Context to Calibrated Interactive RL: Mitigating Distribution Shift in Multi-turn Dialogue with Aligned Simulator
[arXiv] 2026-05-26 | SCENT: Aligning Mass Spectra with Molecular Structure for Olfactory Perception
[arXiv] 2026-05-26 | Rigidity and equidistribution of random walks by diffeomorphisms near the conservative regime
[arXiv] 2026-05-26 | Over-the-Air Successive Interference Cancellation for Efficient 5G NR and Wi-Fi Spectrum Reuse
[arXiv] 2026-05-26 | Timestep-Aware SVDQuant-GPTQ for W4A4 Quantization of Wan2.2-I2V
[arXiv] 2026-05-26 | ChartAct: A Benchmark for Dynamic Chart Understanding
[arXiv] 2026-05-26 | A Unified Primal-Dual Recipe for Accelerating Three-Operator Splitting Methods
[arXiv] 2026-05-26 | First Kaonic Boron Isotopes Measurements with SIDDHARTA-2 at DA$Φ$NE
[arXiv] 2026-05-26 | PashtoTTS-Bench: automated screening for low-resource non-Latin-script text-to-speech
[arXiv] 2026-05-26 | Nonlinear spectral clustering with C++ GraphBLAS
[arXiv] 2026-05-26 | Signal-to-Noise Ratio and Sample Size Govern Representational Alignment in Neural Networks
[arXiv] 2026-05-26 | Absolutely indecomposable quasi-parabolic $G$-bundles and the multiplicity of irreducible characters
[arXiv] 2026-05-26 | LELA: An End-to-end LLM-based Entity Linking Framework with Zero-shot Domain Adaptation
[arXiv] 2026-05-26 | Words for generalized Markov numbers
[arXiv] 2026-05-26 | Half-Quadratic Criterion based Adaptive Graph Signal Processing Algorithm
[arXiv] 2026-05-26 | On the LEO Satellite Constellation Design for North Atlantic Coverage
[arXiv] 2026-05-26 | Leveraging Text-to-Image Diffusion Models for Unsupervised Visual Object Tracking
[arXiv] 2026-05-26 | When Muon Optimizer Meets Adversarial Training: A Theoretical and Empirical Study
[arXiv] 2026-05-26 | Structure and energetics of grain boundaries in self-assembled double-gyroid block copolymer networks
[arXiv] 2026-05-26 | Are Video Models Zero-Shot Learners and Reasoners in Education? EduVideoBench, A Knowledge-Skills-Attitude Benchmark for Educational Video Generation
[arXiv] 2026-05-26 | Ultra Kolyvagin systems and higher Fitting ideals of Iwasawa Selmer groups
[arXiv] 2026-05-26 | Polytopes and posets associated to preorders
[arXiv] 2026-05-26 | TADDLE: A Tool-Augmented Agent for Detecting Deficient LLM-Generated Peer Reviews
[arXiv] 2026-05-26 | SpCAST: Decoding spatial transcriptomics at single-cell resolution with fast and interpretable analysis
[arXiv] 2026-05-26 | ICICLE: Expanding Retrieval with In-Context Documents
[arXiv] 2026-05-26 | Spectral Cut-off Oscillatory Integrals for Non-Autonomous Hamiltonian Evolution Equations
[arXiv] 2026-05-26 | Active learning of collinear magnetic Moment Tensor Potentials using the spin-MLIP package from soft-constrained spin-polarized DFT calculations: a case study of Fe-Pd
[arXiv] 2026-05-26 | Relating forcing relations
[arXiv] 2026-05-26 | SIMPC: Learning Self-Induced Mirror-Point Consistency for Unsupervised Point Cloud Denoising
[arXiv] 2026-05-26 | A Fixed-Time Sliding-Mode Framework for Constraint Optimization
[arXiv] 2026-05-26 | Privacy-Preserving Screening for Record Linkage
[arXiv] 2026-05-26 | Electronic properties governing the phase stability and elastic anisotropy of C14 and C15 Cr-Hf-Nb Laves phases
[arXiv] 2026-05-26 | Survival of very small carbonaceous dust grains in the inner-CGM of NGC 891 from JWST/MIRI MRS
[arXiv] 2026-05-26 | A reparametrization invariant nonabelian surface holonomy
[arXiv] 2026-05-26 | Design principles for optoelectronic light-scattering reservoir computing at the edge of chaos
[arXiv] 2026-05-26 | MONA: Muon Optimizer with Nesterov Acceleration for Scalable Language Model Training
[arXiv] 2026-05-26 | Radiative electronic bound states in the continuum from defects in semiconductors
[arXiv] 2026-05-26 | Periodic Topological Deep Learning for Polymer Design and Discovery
[arXiv] 2026-05-26 | OSMa-Bench++: Toward Open-Ended Benchmarking of Semantic Mapping for Manipulation with Prompt-Generated Synthetic Scenes
[arXiv] 2026-05-26 | Exact Solution for Non-Hermitian Free Fermions: A Case Study of the XY Chain
[arXiv] 2026-05-26 | Magnetic field Topology and Star Formation in the Cepheus B Filamentary cloud under External Feedback
