[2025-11-21 09:10:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-20
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511200000+TO+202511202359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2025-11-20 | Section 3: Medical Decision Support Systems. Intelligent Systems in Healthcare
[IEEE] 2025-11-20 | Performance-Driven Pre-Assignment Routing for High-Speed Package Designs
[IEEE] 2025-11-20 | 3D DRC: Design Rule Checking for 3D IC with U-Net-based Non-Manhattan Optimization
[IEEE] 2025-11-20 | RSizing: Robust Bayesian Optimization for Analog Circuit Sizing Under Process Variations
[IEEE] 2025-11-20 | Deadlock-Free Routing for Full-Mesh Networks Without Using Virtual Channels
[IEEE] 2025-11-20 | Ex-vivo Prostate Evaluation of Fused-data TREIT using only Biopsy-probe electrodes
[IEEE] 2025-11-20 | A Generalized Framework for Localization of Cable Defects Using Broadband Impedance Spectrum
[IEEE] 2025-11-20 | DCR-SRNet: A Degradation-Contrastive and Wavelet-Guided Network for Blind Remote Sensing Image Super-Resolution
[IEEE] 2025-11-20 | Miniaturized Hyper-Redundant Manipulator Using Multi-Cable for Minimally Invasive Surgery
[IEEE] 2025-11-20 | Reach-Avoid Differential Graphical Games for Single Evader and Multiple Pursuers with Nonlinear Dynamics
[IEEE] 2025-11-20 | Agent-Based Generative AI Model for Cost-Aware Automation in Machine Learning Pipelines
[IEEE] 2025-11-20 | Development of a Miniature Compulsator for High-Current Pulsed Power Systems
[IEEE] 2025-11-20 | Dynamic two-step interval estimation for continuous systems with multirate measurements
[ACM] 2025-11-20 | Proceedings of the 2025 International Conference on Artificial Intelligence and Digital Finance
[ACM] 2025-11-20 | Research on the Construction of Commodity Sales Forecasting Model of E-commerce Platform Based on Machine Learning
[ACM] 2025-11-20 | Stock Price Prediction Method Based on Optimized LSTM and Quantified News Sentiment
[IEEE] 2025-11-20 | Passive arc suppression based on reverse potential compensation for grounding faults
[ACM] 2025-11-20 | List of Listings
[ACM] 2025-11-20 | Foreword
[IEEE] 2025-11-20 | Row-Column Hybrid Grouping for Fault-Resilient Multi-Bit Weight Representation on IMC Arrays
[IEEE] 2025-11-20 | Leveraging GPU for Better Detailed Placement Quality
[IEEE] 2025-11-20 | SERA-Float: A Soft Error Resilient Approximate Floating-Point Computing Format
[IEEE] 2025-11-20 | Circuit Folding: Scalable and Graph-Based Circuit Cutting via Modular Structure Exploitation
[IEEE] 2025-11-20 | Invited Paper: Analyzing the Robustness of Neuromorphic Computing in the Presence of Variability in Non-Volatile Memory
[IEEE] 2025-11-20 | XRSight: An End-to-End Hardware-Software Co-Design Platform for XR SoC Evaluation
[IEEE] 2025-11-20 | Trajectory Planning for Extrinsic Camera Calibration in Robotic Applications Using Optimal Experiment Design
[IEEE] 2025-11-20 | SLTarch: Towards Scalable Point-Based Neural Rendering by Taming Workload Imbalance and Memory Irregularity
[IEEE] 2025-11-20 | ChronoTE: Crosstalk-Aware Timing Estimation for Routing Optimization via Edge-Enhanced GNNs
[IEEE] 2025-11-20 | A Graph-Based Deep Reinforcement Learning Framework for Quantum Circuit Mapping with Look-Ahead Rewards and Biased Exploration
[IEEE] 2025-11-20 | LUT-HD: Accelerating Hyperdimensional Computing Inference via Efficient Table Lookup
[IEEE] 2025-11-20 | Lightweight Fertilizer Recommendation: Evaluation of KNN, Naive Bayes, Decision Trees, SVD, and Gradient Boosted Trees
[IEEE] 2025-11-20 | Mixed Reality Application to Support Hearing-Impaired Users Based on Microsoft HoloLens 2 and Machine Learning
[IEEE] 2025-11-20 | Opto-ViT: Architecting a Near-Sensor Region of Interest-Aware Vision Transformer Accelerator with Silicon Photonics
[IEEE] 2025-11-20 | SPIMA: Scalable and Cost-Efficient Sparse Matrix Multiplication via Processing in DRAM Array
[IEEE] 2025-11-20 | Analysis of Energy Data Forecasting Performance in Low-Voltage DC Microgrids
[IEEE] 2025-11-20 | GPU Kernel Optimizations for Genetic Algorithms on CUDA
[IEEE] 2025-11-20 | SuperADMM: Solving Quadratic Programs Faster with Dynamic Weighting ADMM
[IEEE] 2025-11-20 | Mathematical Modeling and Comparative Control of DirectDrive Lens System Based on LQR and Neural Network Approach for Pupil Tracking in Teleophthalmology Tasks
[IEEE] 2025-11-20 | Personalized Model-Driven Adaptive Task Facilitates Visuomotor Skill Learning Mediated by Promoting Flow Experience_supp1-3627559.docx
[IEEE] 2025-11-20 | Characterizing Visualization Perception with Psychological Phenomena: Uncovering the Role of Subitizing in Data Visualization
[IEEE] 2025-11-20 | IEEE Thailand Section SSCS Chapter Hosted Distinguished Lectures by Prof. Maurits Ortmanns [Chapters]
[IEEE] 2025-11-20 | Automatic Lane Change Integrating Human Driving Experience Through a Two-Level Decision-Making Approach
[IEEE] 2025-11-20 | IEEE Proceedings
[IEEE] 2025-11-20 | Non-Contact Manipulation of Induced Magnetic Dipoles
[IEEE] 2025-11-20 | A Cubature Kalman Filter-based Approach for Battery SOC Estimation and Fractional-order Model Parameter Identification
[IEEE] 2025-11-20 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques
[IEEE] 2025-11-20 | Localized Feature Enhancement via Patch-Wise Learning for Fine-Grained Image Classification
[IEEE] 2025-11-20 | Progressive Secret Sharing through the Integration of Deep Learning and Reversible Data Hiding in Encrypted Images
[IEEE] 2025-11-20 | Expert Multi-Agent Conversational System Using Retrieval-Augmented Generation and Dynamic Text-to-SQL for Government Transparency
[ACM] 2025-11-20 | Learning Discrete Identifiers and Dense Vectors for Generative Retrieval
[IEEE] 2025-11-20 | Author Index
[IEEE] 2025-11-20 | Message from the Program Chairs
[IEEE] 2025-11-20 | A Deep Learning Framework for Non-Invasive Detection of Parkinson’s Disease from Hand-Drawn Spiral and Wave Patterns
[IEEE] 2025-11-20 | Twill: Scheduling Compound AI Systems on Heterogeneous Mobile Edge Platforms
[IEEE] 2025-11-20 | Specialized Convolutional Neural Network Architecture in Brain Tumor Diagnosis
[IEEE] 2025-11-20 | Xe-135 Induced Reactor Instability
[ACM] 2025-11-20 | A Day-ahead Electricity Price Prediction Method Based on Deep Learning Multiple Neural Networks Fusion with Modal Decomposition and Reconstruction
[ACM] 2025-11-20 | A Quantitative Strategy for Predicting Stock Upside Probability Based on Logistic Regression and Multi-Factor Models
[IEEE] 2025-11-20 | Demystifying NCCL: An In-Depth Analysis of GPU Communication Protocols and Algorithms
[IEEE] 2025-11-20 | Energy-Efficient Multi-Operand XOR Logic-Based CIM Accelerator using RRAM technology
[IEEE] 2025-11-20 | Invited Paper: BitMedViT: Ternary-Quantized Vision Transformer for Medical AI Assistants on the Edge
[IEEE] 2025-11-20 | WROXIM: A Network-Level Simulation Platform for Wavelength-Routed Optical Networks-on-Chip
[IEEE] 2025-11-20 | ILP-Driven FPGA Multiplier Synthesis: A Scalable Framework for Area-Latency Co-Optimization
[IEEE] 2025-11-20 | SiST: Token Similarity and Sparsity Aware Optimization for Transformers on FPGA
[IEEE] 2025-11-20 | Efficient Analytical Placement Algorithm with Hybrid Fence Region Constraints Using Non-Newtonian Fluid Model
[IEEE] 2025-11-20 | GeoFA: A Geometric Finite Automaton Engine for Efficient Layout Pattern Matching
[IEEE] 2025-11-20 | Assessing the Impact of Auditory Stimulus Parameter on Cognitive Evoked Related Potential)
[IEEE] 2025-11-20 | Deep Feature Learning from Electromyographic Signals for Gesture Recognition Systems
[IEEE] 2025-11-20 | Title Page iii
[IEEE] 2025-11-20 | Invited Paper: FEMU: An Open-Source and Configurable Emulation Framework for Prototyping TinyAI Heterogeneous Systems
[IEEE] 2025-11-20 | Constraints-aware Adaptive Routing with Hybrid Waveguides for Photonic Integrated Circuits
[IEEE] 2025-11-20 | Simulation Framework and Optimization of Superconducting Transmon-Tunable Coupler-Transmon System for Qudit Gates
[ACM] 2025-11-20 | Resolution Where It Counts: Hash-based GPU-Accelerated 3D Reconstruction via Variance-Adaptive Voxel Grids
[IEEE] 2025-11-20 | Technical Sessions: HotI 2025
[IEEE] 2025-11-20 | Copyright Page
[IEEE] 2025-11-20 | 2025 Systems and Technologies of the Digital HealthCare (STDH)
[IEEE] 2025-11-20 | Matching Extracting Transform and Its Application in Deep Carbonate Sedimentary Cycle Division
[IEEE] 2025-11-20 | A 3D Reconstruction Method of Printed Circuit Board Based on Fringe Phase Field Super-resolution
[IEEE] 2025-11-20 | Intertwine: Nonlinear Quantum Feature Selection With Multi-Kernel Circuits
[IEEE] 2025-11-20 | Shot-noise Limited Maximum Likelihood Estimation of Optical Pathlength in Spectral Interferometry
[IEEE] 2025-11-20 | CWPS: Efficient Channel-Wise Parameter Sharing for Knowledge Transfer_supp1-3620681.pdf
[IEEE] 2025-11-20 | Effect of pauses in cycling on millihertz battery impedance
[ACM] 2025-11-20 | Research on Efficiency Calculation of China's Green GDP Based on NDDF and Regression Model
[ACM] 2025-11-20 | A Review of Open-RAN Intelligence: Opportunities, Challenges, Real-Life Applications and Impacts
[ACM] 2025-11-20 | Background: Embedded Systems
[ACM] 2025-11-20 | Introduction
[IEEE] 2025-11-20 | Invited Paper: Liquid Computing: Towards Programmable Microfluidics
[IEEE] 2025-11-20 | Storage-Based Approximate Nearest Neighbor Search: What are the Performance, Cost, and I/O Characteristics?
[IEEE] 2025-11-20 | Capacitance Extraction via Machine Learning with Application to Interconnect Geometry Exploration
[IEEE] 2025-11-20 | RePM: Reconfigurable Elastic Computing for Polynomial Multiplier with Hybrid NTT Algorithm
[IEEE] 2025-11-20 | BITLUME: Precision-Flexible Photonic Computing for Ultra-Fast and Energy-Efficient DNN Acceleration
[IEEE] 2025-11-20 | AccelStack: A Cost-Driven Analysis of 3D-Stacked LLM Accelerators
[IEEE] 2025-11-20 | Adaptive Graph Learning for Efficient Thermal Analysis of Multi-Stacking Chiplet Systems under Interface Variations
[IEEE] 2025-11-20 | LLM-Augmented Multi-Modal Fusion for SoC Design Space Exploration
[IEEE] 2025-11-20 | HRAMTran: A Hybrid-RAM Transformer Accelerator With Dynamic Sparsity Floating-Point CIM and Written-Back Transpose Array
[IEEE] 2025-11-20 | Invited Paper: Side Channel Vulnerability Analysis of Flexible Neuromorphic Circuits
[IEEE] 2025-11-20 | Development of Adaptive-Limb Transformable Robot for Portable and Replaceable End-Effectors with Compact Lock-Spin Mechanisms_supp1-3634910.mp4
[IEEE] 2025-11-20 | Advancing Low-Light Image Geolocation: Adaptive Restoration and Feature Optimization
[IEEE] 2025-11-20 | A Real-time Gyroscope Mode Matching Method Without External Disturbance Signals
[IEEE] 2025-11-20 | CANELOS, Bringing Together the Chilean IC Design Community [Chapters]
[IEEE] 2025-11-20 | Secure Token Pruning Mechanism and Accelerator for Vision Transformer
[IEEE] 2025-11-20 | When Pipelined In-Memory Accelerators Meet Spiking Direct Feedback Alignment: A Co-Design for Neuromorphic Edge Computing
[IEEE] 2025-11-20 | STAR: Improving Lifetime and Performance of High-Capacity Modern SSDs Using State-Aware Randomizer
[IEEE] 2025-11-20 | GenomeDPU: A Cost-Effective In-Memory Data Processing Unit for GPU-based Genome Analysis
[IEEE] 2025-11-20 | Extraction of Informative Features for Optical Biopsy Data Analysis
[IEEE] 2025-11-20 | Generating and Optimizing What-If Scenarios Using a Transformers-Based Forecasting Model
[IEEE] 2025-11-20 | Design and Implementation of a 3D-Printed Educational Delta Robot with Passive Safety Mechanism
[IEEE] 2025-11-20 | Development of Human Body Impedance Active Resistance Meter
[IEEE] 2025-11-20 | Technology of Thin-Film Neuroimplant for Biosensorics and Neuromodulation
[IEEE] 2025-11-20 | Design of a Dual-Issue Superscalar RISC-V Core With Dynamic Branch Prediction
[IEEE] 2025-11-20 | Vital AidVenture: Learning First Aid Methods using Emerging Technologies
[IEEE] 2025-11-20 | Invited Paper: CURE-Fuzz: Curiosity-Driven Reinforcement Learning for Agile Hardware Testing
[IEEE] 2025-11-20 | Investigating Machine Learning Models for Sound Source Localization to Support Augmented Reality Applications for Users with Hearing Impairments
[IEEE] 2025-11-20 | HLSDebugger: Identification and Correction of Logic Bugs in HLS Code with LLM Solutions
[IEEE] 2025-11-20 | H3D-LLM: Heterogeneous 3D Chiplet Design for LLM Inference with Dynamic Task Scheduling and Memory-Aware Orchestration
[IEEE] 2025-11-20 | SOME: Symmetric One-Hot Matching Elector — A Lightweight Microsecond Decoder for Quantum Error Correction
[ACM] 2025-11-20 | Toward Integrating AI Chat and Search: A User-Centered Perspective Across Age Groups
[IEEE] 2025-11-20 | Invited Paper: LLM-Enhanced GPU-Optimized Physical Design at Scale
[IEEE] 2025-11-20 | ICSTCC 2025 TOC
[ACM] 2025-11-20 | QF-LLM: Financial Sentiment Analysis with Quantized Large Language Model
[IEEE] 2025-11-20 | Detection Method of Abnormal Operation Status of Power Lines in Hexi Corridor Based on Segmented Matched Filtering Technology of BeiDou Signal
[IEEE] 2025-11-20 | Dual Direct Matrix Converter-Based Drives With Enhanced Input Power Factor Control and Common-Mode Voltage Elimination
[IEEE] 2025-11-20 | Lightweightability Measurement and A General Lightweight Design Framework for On-Orbit Image Interpretation Neural Networks
[IEEE] 2025-11-20 | Automatic Semantic Alignment of Flow Pattern Representations for Exploration with Large Language Models
[IEEE] 2025-11-20 | Understanding User Trust and Expectations in Answerable Sociotechnical Systems
[IEEE] 2025-11-20 | Measurement of Thermal Neutrons in Aircraft
[IEEE] 2025-11-20 | Multi-modal Generative AI: Multi-modal LLMs, Diffusions and the Unification
[IEEE] 2025-11-20 | A Robust Causal Diffusion Model for Synthetic Aperture Radar Automatic Target Recognition with Noisy Labels
[IEEE] 2025-11-20 | Energy-Efficient Accelerator for Scalable Point Transformer Networks with Reduced Data Access
[IEEE] 2025-11-20 | Learning Architectural Cache Simulator Behaviour
[IEEE] 2025-11-20 | Fractional-Order Modeling and Adaptive Control of a Turbine-Synchronous Generator System, Using AI
[IEEE] 2025-11-20 | Addressing Thermal Throttling in HBM
[IEEE] 2025-11-20 | MoE-OPU: An FPGA Overlay Processor Leveraging Expert Parallelism for MoE-based Large Language Models
[IEEE] 2025-11-20 | A Comparative Study of Peritoneal Dialysis Effluent and Urine Chromatographic Fraction Composition with Optical Absorption and Fluorescence Spectroscopy
[IEEE] 2025-11-20 | Investigation of the Chest Model for the Problem of Choosing the Size of Electrode Monitoring Systems for the Regional Ventilation-Perfusion Ratio
[IEEE] 2025-11-20 | Educational Technology Based on a Problem-Oriented VR Environment
[IEEE] 2025-11-20 | A Pulsed Tumor Treating Fields Protocol to Improve Glioblastoma Therapy_supp1-3634604.docx
[IEEE] 2025-11-20 | ICCAD 2025 Copyright
[IEEE] 2025-11-20 | Street Gaussians: Modeling Dynamic Urban Scenes With Gaussian Primitives_supp1-3634385.pdf
[IEEE] 2025-11-20 | GNSS Precipitable Water Vapor Insights into Sea Surface Wave Characteristics During Seawater Encroachment: A Case Study in Bohai and Yellow Seas, China
[IEEE] 2025-11-20 | Visualizing Trust: How Chart Embellishments Influence Perceptions of Credibility
[IEEE] 2025-11-20 | Dynamic Deep Factor Graph for Multi-Agent Reinforcement Learning_supp2-3634378.pdf
[IEEE] 2025-11-20 | Dynamic Deep Factor Graph for Multi-Agent Reinforcement Learning_supp1-3634378.pdf
[IEEE] 2025-11-20 | 200 MHz Repetition-rate 1550 nm SESAM-based polarization-maintaining linear-cavity femtosecond fiber laser
[IEEE] 2025-11-20 | An In-Depth Study on Device Variability in 22 nm FD-SOI NMOSFETs Under X-ray Exposure
[IEEE] 2025-11-20 | Analysis of Lightning Transients in the Grounding Circuits of a Wind Farm
[IEEE] 2025-11-20 | Performance Analysis of Distributed UAVs in Urban Environments Using a Practical Line-of-Sight Model
[IEEE] 2025-11-20 | Advanced Architectures Integrated With Agentic AI for Next-Generation Wireless Networks
[IEEE] 2025-11-20 | Bus-Aware Simultaneous Escape Routing with Through-Bus Net Avoidance
[IEEE] 2025-11-20 | Design of Hybrid Dynamic Event-triggered Distributed Interval Observers for Human-in-the-Loop Multi-agent Systems
[IEEE] 2025-11-20 | Improvement of A Lattice-Based Revocable Ring Signature
[IEEE] 2025-11-20 | Domain Adaptive Hybrid Network for Automatic Modulation Recognition
[IEEE] 2025-11-20 | Steering Committee: HotI 2025
[IEEE] 2025-11-20 | ICSTCC 2025 Copyright Page
[IEEE] 2025-11-20 | Title Page i
[IEEE] 2025-11-20 | Table of Contents
[IEEE] 2025-11-20 | Message from the General Chairs: HotI 2025
[IEEE] 2025-11-20 | ICCAD 2025 Preface
[IEEE] 2025-11-20 | Virtual Delay-Emission (VDE): An HRWS Imaging Mode for Spaceborne MIMO-SAR
[IEEE] 2025-11-20 | Improving the Performance of Out-of-Core LLM Inference Using Heterogeneous Host Memory
[IEEE] 2025-11-20 | Characterizing Adaptive Mesh Refinement on Heterogeneous Platforms with Parthenon-VIBE
[IEEE] 2025-11-20 | SAFF: Scalable Acceleration of GNN-based Machine Learning Force Fields using Tensor-Aware Hardware for Molecular Simulation
[IEEE] 2025-11-20 | GauPRE: A Pattern-based Rendering Engine for Gaussian Splatting on Edge Device
[IEEE] 2025-11-20 | An Efficient Routing Optimization Framework for Silicon-Based Spin-Qubit Devices
[IEEE] 2025-11-20 | HyDra: SOT-CAM Based Vector Symbolic Macro for Hyperdimensional Computing
[IEEE] 2025-11-20 | Invited Paper: End-to-end RFIC Topology Synthesis and Design combining Reinforcement learning and Inverse Design
[IEEE] 2025-11-20 | EqMap: FPGA LUT Remapping using E-Graphs
[IEEE] 2025-11-20 | Closing the Gap: Advantages of Block-Level over Gate-Level in 3D IC Design for Advanced Nodes
[IEEE] 2025-11-20 | SPARTA: Spike-Aware Token Skipping Co-Optimization with Heterogeneous ReRAM-CIM Architecture for Spiking Transformer Acceleration
[IEEE] 2025-11-20 | LCTMwalk: GPU-Accelerated Transient Thermal Simulation for Liquid-Cooled 2.5D/3D ICs via Random Walks on Circuit Networks of Modified Compact Thermal Models
[IEEE] 2025-11-20 | Development of Device for Objective Monitoring of Valsalva Maneuver
[IEEE] 2025-11-20 | COTIA: Concolic Testing with Intelligent Agent
[IEEE] 2025-11-20 | (Invited Paper) Overview of 2025 CAD Contest at ICCAD
[IEEE] 2025-11-20 | Stabilization Approach for the Improved Model of 1D Mechanical Systems with Linear Motion Coordinates
[IEEE] 2025-11-20 | Binary Classifier for Detecting Gas Exchange Shifts During Full Yoga Breathing Using Blood Microcirculation Data
[IEEE] 2025-11-20 | A Novel Large Air-gap Displacement Sensor with Radial Offset Decoupling Capability
[IEEE] 2025-11-20 | The Pathway-informed Deep Learning Models in Cancer Research: a Survey
[IEEE] 2025-11-20 | Image Compression and Encryption Based on Compressive Sensing and Game of Life with Semi-Tensor Product
[IEEE] 2025-11-20 | An Alternating Dynamic Drift-Compensated Integrator for Thousand-Second Long Pulses in EAST
[IEEE] 2025-11-20 | Keynotes
[IEEE] 2025-11-20 | Algebraic Tracking Network Topology Processor for Modern Power Systems
[IEEE] 2025-11-20 | A Heuristic 2D-3D Point Set Registration Method with Multi-Member Differentiated Collaborative Evolution
[IEEE] 2025-11-20 | Data Augmentation for Visualization Design Knowledge Bases
[IEEE] 2025-11-20 | Hierarchical dynamic local-global-graph representation learning for EEG emotion recognition
[IEEE] 2025-11-20 | Improved Three-dimensional Wet Refractivity Retrieval using Refined One-Step Tropospheric Tomography Method
[IEEE] 2025-11-20 | Integrated PMSM Drive System With Voltage Balance Function Without Sacrificing Motor Drive Capability
[IEEE] 2025-11-20 | LanDA: Language-Guided Multi-Source Domain Adaptation
[IEEE] 2025-11-20 | Multitemporal Multispectral Dataset for Palaeochannels Segmentation (MAPS)
[IEEE] 2025-11-20 | Treasure Hunting: Embodied Contrastive Learning-Enhanced Coarse-to-Fine Object Seeking With Explorer and Discriminator Cooperation
[IEEE] 2025-11-20 | Solid Stories: Mid-Career Reflections With Daniel Schinkel [People]
[IEEE] 2025-11-20 | MSSI-Net: Multiscale Semantic-guided Synergistic Interaction Network for Remote Sensing Image Change Detection
[IEEE] 2025-11-20 | IEEE Tianjin AP/MTT/SSC Joint Chapter Academic Events [Chapters]
[ACM] 2025-11-20 | Research on the impact of artificial intelligence on the development of green finance
[IEEE] 2025-11-20 | dyGRASS: Dynamic Spectral Graph Sparsification via Localized Random Walks on GPUs
[IEEE] 2025-11-20 | Robin: RWKV Accelerator using Block Circulant Matrices based on FPGA
[IEEE] 2025-11-20 | Enhancing Data Resilience and Security in Distributed Storage Systems Against Ransomware Attacks
[IEEE] 2025-11-20 | Distributed Predictive Control of Vehicle Platoons Under Reduced Visibility With Delay Compensation: A Fog-Specific Approach
[IEEE] 2025-11-20 | When Semi-Supervised LVM Meets Frequency-Based Critical Layout Pattern Selection
[IEEE] 2025-11-20 | Promise: Property Mining for Sequential Synthesis
[IEEE] 2025-11-20 | Optimizing Neural Networks with Learnable Non-Linear Activation Functions via Lookup-Based FPGA Acceleration
[IEEE] 2025-11-20 | Optimizing SFQ Circuit Design: A Timing-Driven Framework for Performance-Constrained Area Minimization
[IEEE] 2025-11-20 | Mamba-X: An End-to-End Vision Mamba Accelerator for Edge Computing Devices
[IEEE] 2025-11-20 | Beyond Dataset Boundaries: Analyzing Cross-Domain Performance of Person Re-Identification Existing Methods
[IEEE] 2025-11-20 | Assessment of Deauthentication Threats in IoT: An Empirical Analysis of ESP8266 Deauther and Flipper Zero
[IEEE] 2025-11-20 | Accuracy and Efficiency of Neural Network Models in the Diagnosis of Obstructive Micturition
[IEEE] 2025-11-20 | Smart Integration of Placement Machines and Reflow Oven Using Node-RED and PLC Control
[IEEE] 2025-11-20 | Modeling the Process of Transferring Hydrocuff Pressure from the Forearm Surface to the Artery
[IEEE] 2025-11-20 | Algorithms for Automatic Detection of Sporadic Epileptiform Discharges in the Diagnosis of Delayed Cerebral Ischemia after Subarachnoid Hemorrhage
[IEEE] 2025-11-20 | Towards a Digital Platform for Tailoring Freeze-Thaw Protocols for Tissue Decellularization
[IEEE] 2025-11-20 | Dissecting CPU-GPU Unified Physical Memory on AMD MI300A APUs
[IEEE] 2025-11-20 | decoder-bench: Benchmarking Decoders for Quantum Error Correction
[IEEE] 2025-11-20 | Benchmarking Support for RISC-V CPUs in Serverless Computing
[IEEE] 2025-11-20 | An Analysis of Ethereum Workloads from a Key-Value Storage Perspective
[IEEE] 2025-11-20 | Characterizing and Optimizing Real-Time Optimal Control for Embedded SoCs
[IEEE] 2025-11-20 | Discriminate Weight Approximation for Efficient DSP Packing in LLM Accelerators
[IEEE] 2025-11-20 | Kalman assimilation model for retrieving time-series chlorophyll content based on multi-source remote sensing Images
[IEEE] 2025-11-20 | Table of Contents
[IEEE] 2025-11-20 | Techno-Economic Optimization of Autonomous PV/Wind/Battery Microgrid for Seawater Reverse Osmosis Desalination Plant
[IEEE] 2025-11-20 | Identification of Patient-Specific EMG Detectors for Robot-Assisted Therapy Using Rest and Move State EMG Data_supp1-3628296.pdf
[IEEE] 2025-11-20 | Vision-Constrained Formation Control With Integrated Rigid-Geometric Structures for Obstacle Avoidance
[IEEE] 2025-11-20 | Affine Frequency Division Multiplexing for Communication and Channel Sounding: Requirements, Challenges, and Key Technologies
[IEEE] 2025-11-20 | Tapeout Tales: From Classroom to Chips—A Student Perspective [Education Corner]
[ACM] 2025-11-20 | Enhancing Business Intelligence in Ghana through Digital Technologies: Optimizing Management Information Sharing with Cloud Computing, Big Data, and AI
[ACM] 2025-11-20 | Breaking The Buffer : Covert Channel Attacks by Overrunning Buffer and Countermeasures
[IEEE] 2025-11-20 | ICSTCC 2025 Organizers
[IEEE] 2025-11-20 | ICSTCC 2025 Author Index
[IEEE] 2025-11-20 | VeriOpt: PPA-Aware High-Quality Verilog Generation via Multi-Role LLMs
