[2026-09-16 23:19:54] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-15
正在获取论文...
[arXiv] 2026-09-15 | NeuroTS-Net: Multi-Class Semantic Segmentation of Pediatric Brain Tumors in Multi-Modal MRI
[arXiv] 2026-09-15 | Rotation Collision based Quantum Lattice Boltzmann Methods
[arXiv] 2026-09-15 | Cosmological information from field-level analysis in redshift space
[arXiv] 2026-09-15 | The Local Ghost Theorem in the Très Ramifié Case
[arXiv] 2026-09-15 | Vibe-Coded and Tuned: A State-of-the-Art SMT Solver for QF-LRA
[arXiv] 2026-09-15 | The Robot Data Factory
[arXiv] 2026-09-15 | Iwasawa theory of (directe) Cayley graphs
[arXiv] 2026-09-15 | MAETrack: Unleashing the Potential of Pretrained Geometric Priors for 3D Single Object Tracking
[arXiv] 2026-09-15 | Toward Secure AI-Powered Penetration Testing Agents: Security Threats, Guardrails, and Architectural Perspectives
[arXiv] 2026-09-15 | Cartan-Fejer Gram Tomography and Flop Covariance for BPS Resummed Gromov-Witten Potentials
[arXiv] 2026-09-15 | In-Situ Quantum Optical Measurement for Colloidal Quantum Dots Confined in an Optical Trap
[arXiv] 2026-09-15 | Probing the All-sky Distribution of Soft X-ray Emission Associated with the Milky Way
[arXiv] 2026-09-15 | Weave: Learning Whole-Body Dexterous Loco-Manipulation from Human-Object Interactions
[arXiv] 2026-09-15 | DeepShare: Assurance-Driven Deep Learning Job Scheduling for Multi-Tenant Clusters
[arXiv] 2026-09-15 | AI for Games in the Foundation Model Era
[arXiv] 2026-09-15 | Development of a 4D Cerebral Microvascular Imaging Platform for Mouse Stroke Model
[arXiv] 2026-09-15 | Bridging the Perceptual Gap: Residual-Enhanced Downscaling and Manifold-Aware Perception Alignment Adaptation for NR-IQA
[arXiv] 2026-09-15 | DiaWhisper-DPO: Role-Attributed Transcription of Clinical Interviews via Failure-Mined Preference Optimization
[arXiv] 2026-09-15 | Revisiting the CeO Anion Photoelectron Spectrum: Resolving the Assignment and Photodetachment Mechanism of Satellite Transitions
[arXiv] 2026-09-15 | Channel-Wise and Token-Aware Post-Training Quantization for Visual State Space Duality
[arXiv] 2026-09-15 | On the Orlicz function estimations of the $a$-Davis--Wielandt radius in $C^*$-algebra
[arXiv] 2026-09-15 | Electron scattering from polar hydrides using relativistic optical potential method
[arXiv] 2026-09-15 | ViD: Vision-Dominant Gender Bias Mitigation for Large Vision-Language Models
[arXiv] 2026-09-15 | ReDraft, Don't Just Distill: Reference-Driven Revision for Continual VLLM Post-Training
[arXiv] 2026-09-15 | Does the Boussinesq approximation correctly describe statistically stationary states of Rayleigh-Bénard convection?
[arXiv] 2026-09-15 | Learning to Optimize UAV Path Planning for Data Sensing in Wireless Sensor Networks
[arXiv] 2026-09-15 | On a classical zero-sum invariant II: Disproof of a long-standing conjecture
[arXiv] 2026-09-15 | An arbitrary-order BGG-based discrete scheme for the Reissner--Mindlin plate problem on polygonal meshes
[arXiv] 2026-09-15 | Intrinsic Robot Rewarding: Reusing VLA Representations for Autonomous Evaluation and Policy Improvement
[arXiv] 2026-09-15 | A 20kA $\pm$0.12% Pulsed Power Supply for the PIP-II ORBUMP Injection Dipole Magnets
[arXiv] 2026-09-15 | Course on two-dimensional quantum gases
[arXiv] 2026-09-15 | Besov and Triebel--Lizorkin Spaces on Filtered Lie Groups with Polynomial Growth, I: Inclusions, Discretization, Duality
[arXiv] 2026-09-15 | La substitution studies on the heavy-fermion superconductor CeRh$_2$As$_2$
[arXiv] 2026-09-15 | Forward recursive aggregator systems and the forward Epstein-Zin recursiveparadigm
[arXiv] 2026-09-15 | Stellar age is not disk age
[arXiv] 2026-09-15 | Diagnosing the Fact-Grounding Gap in Multi-Hop Question Answering
[arXiv] 2026-09-15 | Bi-FlowGS: Bridging Generative View Completion and Gaussian Geometry through Bidirectional Flow Co-Refinement
[arXiv] 2026-09-15 | The evolution of discs and the epoch of formation\newline of giant planets around solar type stars
[arXiv] 2026-09-15 | Strictly Localized Mixed States
[arXiv] 2026-09-15 | FlexEE: Self-Speculative and KV-Compatible Early Exiting for Offloading-Aware LLM Inference
[arXiv] 2026-09-15 | PaperDoctor: Evidence-Grounded and Actionable Feedback for Scientific Papers in Progress
[arXiv] 2026-09-15 | Inner multipliers, similarity and invariant subspaces for a class of Harmonically weighted Dirichlet spaces
[arXiv] 2026-09-15 | Dimension-dependent symmetry breaking in a diffusive nonlocal interaction model
[arXiv] 2026-09-15 | Invariant random subgroups of $C^*$-simple groups
[arXiv] 2026-09-15 | IDA symbols and Schatten--Lorentz theory for Toeplitz operators on weighted Fock spaces
[arXiv] 2026-09-15 | Powers of the Thue--Morse Series: 2-Adic Valuations and Automatic Odd Parts
[arXiv] 2026-09-15 | Waggle Dance Inspired Motion Communication for Multiple UAVs in MuJoCo
[arXiv] 2026-09-15 | Learning Choice Model Trees for Feature-Based Multi-Product Pricing: Exact Optimization and Field Evidence
[arXiv] 2026-09-15 | Mass erasure on infinitely measured $\mathbb{R}$-trees I: construction and limit theorems
[arXiv] 2026-09-15 | Reflectionless edge states in Dirac models of topological insulators
[arXiv] 2026-09-15 | Performance Analysis of HAPS-Assisted Downlink RSMA under Orthogonal and Full Frequency Reuse
[arXiv] 2026-09-15 | Review on Electric Railway System Optimization: Train Dynamic Scheduling, Energy Management, and Storage Integration
[arXiv] 2026-09-15 | When Confidence Signals Disagree: Local and Global Confidence in Autoregressive Language Models
[arXiv] 2026-09-15 | A uniform commutator bound in finite von Neumann algebras
[arXiv] 2026-09-15 | Multi-Agent Learning with Cooperation-Driven Optimization Dynamics
[arXiv] 2026-09-15 | Pitman closest equivariant estimators under multivariate scale and location--scale models
[arXiv] 2026-09-15 | Further results on non-negativity conjectures for copartition products
[arXiv] 2026-09-15 | PiPS: Post-Hoc Prototypical Explanations for Interpretable Semantic Segmentation
[arXiv] 2026-09-15 | Disrupted Companionship: A Risk Assessment Framework and Cross-Platform Quantitative Analysis of Psychosocial Responses to AI Companion Disruptions
[arXiv] 2026-09-15 | Deconstructing Stereotypes: Scope-Conditioned Generation for Effective Multilingual Counterspeech
[arXiv] 2026-09-15 | Propulsion of magnetic domain walls via elastic damping in magnetostrictive materials
[arXiv] 2026-09-15 | Bayesian inference in active microrheology with wall and particle-particle interactions
[arXiv] 2026-09-15 | Besov and Triebel--Lizorkin Spaces on Filtered Lie Groups, II: Pointwise Multiplication, Localization, Differences
[arXiv] 2026-09-15 | OptiPrime: Optimizing Private Inference through Protocol-Hardware Co-design
[arXiv] 2026-09-15 | An energy stable and accuracy-preserving finite volume scheme based on the SAV method with application to wall-distance computation
[arXiv] 2026-09-15 | AURA: Agentic Diagnosis and Refinement for Production Recommender Systems at Scale
[arXiv] 2026-09-15 | A Multiverse of Good and Bad Controls: Candidate Causal Graphs for Interpreting Model Robustness Analysis
[arXiv] 2026-09-15 | CATVis: A Collaborative Multi-Agent Workflow for Turbomachinery Simulation Data Visualization
[arXiv] 2026-09-15 | Challenges of Auditing: Variability in Outputs of Large Language Models for Health
[arXiv] 2026-09-15 | Hartree-Fock Density-Matrix Renormalization Group for Very Long Chains
[arXiv] 2026-09-15 | EmoPhone: A Multi-Wave Dataset for In-the-Wild Mobile and Wearable Affect Sensing
[arXiv] 2026-09-15 | On Completion Times under Memoryless Catastrophe
[arXiv] 2026-09-15 | Phantom Codes: Hardness, Rate Optimal qLDPC Constructions, and Distance Limits
[arXiv] 2026-09-15 | Multimodal Emergency Vehicle Classification via Audio-Visual Transformers and Knowledge Distillation
[arXiv] 2026-09-15 | Billiard Orbits in Young Diagrams: Medial Links, Bicycle Spaces, and Domino Tilings
[arXiv] 2026-09-15 | Master Equations for Mean Field Game of Controls: A Unification of Weak Solution Notions
[arXiv] 2026-09-15 | A common warming-dependent decline emerges from divergent projections of tropical cyclone frequency
[arXiv] 2026-09-15 | Truncated hybrid tensor networks for distributed quantum simulation
[arXiv] 2026-09-15 | AquiLLM: Evaluating Faithfulness in Open-Weight RAG-LLM Systems for Scientific Research
[arXiv] 2026-09-15 | The Evolving Bottleneck in Speech Generation: Interface Co-design and Staged Alignment from CosyVoice to Qwen-Audio-3.0-TTS
[arXiv] 2026-09-15 | Congestion Structure and Exceedance Bounds for Locational Marginal Emissions
[arXiv] 2026-09-15 | High-Performance Tensor Formulation of the Viterbi Algorithm for Hidden Semi-Markov Models
[arXiv] 2026-09-15 | Geospatial Metadata Improves Discoverability by Connecting Datasets Across Scientific Disciplines
[arXiv] 2026-09-15 | AI Policies: Help or Hindrance? A Software Developer's Perspective
[arXiv] 2026-09-15 | Segmental Posterior Decoding for Audio Moment Retrieval
[arXiv] 2026-09-15 | Salient Bayesian Clustering for Proportional Data via a Multivariate Beta Mixture Model
[arXiv] 2026-09-15 | Entropy-driven transitions between extended integer and fractional quantum Hall regimes
[arXiv] 2026-09-15 | Finite inverse nodal problems for singular weighted Sturm--Liouville equations: variational selection and spectral matching
[arXiv] 2026-09-15 | Study of Null Geodesics and their Stability in Kalb-Ramond Black Holes
[arXiv] 2026-09-15 | A multimodal large language model for evidence-based autism spectrum disorder screening
[arXiv] 2026-09-15 | Beyond Phase Reduction: Amplitude Collapse in Optimal Control of Coupled Oscillators
[arXiv] 2026-09-15 | $B$-sure. Part II. Scattering transforms as robustness test for tensor-to-scalar ratio detection from CMB observations
[arXiv] 2026-09-15 | ScienceBuddy: Recursive-in-Recursive Self-Improvement for Interactive Scientific Agents
[arXiv] 2026-09-15 | PhysStream: Streaming Physics-Grounded Video Generation with Structured Scene Memory and Fine-Grained Motion Control
[arXiv] 2026-09-15 | When Should LLMs Abstain? Chain-of-Self-Questioning for Selective Risk Control
[arXiv] 2026-09-15 | Beyond Hardware: Adaptive Algorithmic Control by State-Proxy Equalization
[arXiv] 2026-09-15 | First-Crossing Reduction and Inference for No-Rescue Effects under Deterministic Rescue
[arXiv] 2026-09-15 | On the Existence of Pressure-Equilibrium-Preserving Numerical Fluxes for Supercritical Fluids
[arXiv] 2026-09-15 | LimiX-2: A Contextual Mechanism Network Towards General Structured-Data Intelligence
[arXiv] 2026-09-15 | Rotational Brownian Motion and $\mathrm{J/ψ}$ Spin Alignment in Heavy-Ion Collisions
[arXiv] 2026-09-15 | Predictive Structure Behind Rare Outcomes in Random Quantum Circuits
[arXiv] 2026-09-15 | Stitch-Free, Diamond-Scribed Silicon Nitride Photonic Integrated Circuits for the Visible Band
[arXiv] 2026-09-15 | Det-LIME: Detector-Aware, Multi-Instance Local Interpretable Model-Agnostic Explanations for Automated Marine Mammal Detection
[arXiv] 2026-09-15 | Decomposition Buys Integrity, Not Yield
[arXiv] 2026-09-15 | Toward Ku-Band Surface Acoustic Wave Delay Lines on AlScN-on-Diamond with Decoupled Phase and Group Velocities
[arXiv] 2026-09-15 | Angle-of-Arrival Determination of Radio-Frequency Fields Using Stark-Shifted Rydberg-EIT Spectra
[arXiv] 2026-09-15 | One Gate at a Time: Complexity Growth in Random Quantum Circuits
[arXiv] 2026-09-15 | Diassociative conformal algebras and their deformation cohomology
[arXiv] 2026-09-15 | Nonlinear electron-phonon interactions from first principles
[arXiv] 2026-09-15 | Analytical Channel Modeling and Stability Aware Optimization of Optical Inter Satellite Links
[arXiv] 2026-09-15 | Electrons quench ion tails during evaporative cooling in hot ion mode plasmas
[arXiv] 2026-09-15 | Even-degree Hermitian Ikeda lifts via Fourier-Jacobi descent
[arXiv] 2026-09-15 | DewTwin-Coin: an onboard autonomous framework for lunar water-ice prospecting using Chandrayaan-3 LIBS and ChaSTE data
[arXiv] 2026-09-15 | Characterization of IBEX LmAPD detectors at CEA for future low-noise NIR astronomy instruments
[arXiv] 2026-09-15 | QCD phase structure at high baryon density
[arXiv] 2026-09-15 | On Sarnak--Strömbergsson conjecture
[arXiv] 2026-09-15 | RobResilience: Implementing and Evaluating a Resilience Framework for Cyber-Physical Embodied Systems
[arXiv] 2026-09-15 | A Time-to-Collision Barrier Function Approach to Collision Avoidance for Stochastic Systems
[arXiv] 2026-09-15 | LumiNote: LLM-Assisted Multimodal Instruction for VR Stage Lighting Education
[arXiv] 2026-09-15 | A self-consistent orbital architecture for GG Tau A. I. Simultaneous orbital fitting of the hierarchical triple
[arXiv] 2026-09-15 | New sharp lifespan estimates for a semilinear heat equation with zero-mass sign-changing initial data
[arXiv] 2026-09-15 | Evolution of quantum imaginarity in black hole quantum atmosphere
[arXiv] 2026-09-15 | Optimal Linear-Rate Conversion of Unknown Mixed Qubit States via SWAP Tests
[arXiv] 2026-09-15 | Quantum-Inspired Trainable and Parameter-Efficient Tensor Networks for Image Inpainting
[arXiv] 2026-09-15 | Same Flow, Different Paths: Variance Reduction in Flow Matching
[arXiv] 2026-09-15 | Fractional-Quantum Ferroelectrics: A Route to High-Mobility Ferroelectric Semiconductors
[arXiv] 2026-09-15 | G3AR: Graph-Guided Neural Visual Geometry for Scalable Multi-Sequence Aerial Registration
[arXiv] 2026-09-15 | Diffusivity in Dissipative Quantum Transport from an Exactly Solvable Krylov Chain
[arXiv] 2026-09-15 | Commutators with two matrix weights
[arXiv] 2026-09-15 | Odd diffusion and power-law correlations in chiral mass-transport processes
[arXiv] 2026-09-15 | Finite time singularities of the Ricci flow on compact Kähler surfaces are of Type I
[arXiv] 2026-09-15 | Functions on Nilpotent Orbit Covers and Birational Geometry
[arXiv] 2026-09-15 | Geometric quantifier of the incompatibility of single-particle property attribution in indistinguishable boson systems
[arXiv] 2026-09-15 | Port-Hamiltonian Koopman Operator Synthesis for Mechanical Systems
[arXiv] 2026-09-15 | DriveMCP: An Agentic AI framework for Advanced Driver Assistance System
[arXiv] 2026-09-15 | Improved weighted bounds for the strong maximal function
[arXiv] 2026-09-15 | Glycine in the interstellar medium revisited: Resolving conformational complexity kinetically
[arXiv] 2026-09-15 | A system-centered probabilistic formalism linking multiple equilibria and biodiversity in ecological and evolutionary models
[arXiv] 2026-09-15 | Geometric sets of elliptic equations with Dini coefficients
[arXiv] 2026-09-15 | Transverse momentum and azimuthal angle distributions of hadrons in DIS at COMPASS
[arXiv] 2026-09-15 | Toward Pólya's Conjecture: Improving the Individual Li-Yau Bound via Energy Orthogonality
[arXiv] 2026-09-15 | Latent kinetic Ising models of neural spike trains
[arXiv] 2026-09-15 | Nonlinear kinetic closures for linear instabilities
[arXiv] 2026-09-15 | On atoms and their density in the monoid of monomial ideals
[arXiv] 2026-09-15 | End-to-End Latency-Minimizing and Load-Balanced Request Scheduling for Edge LLM Inference in Agentic AI Services
[arXiv] 2026-09-15 | Separation Conditions for Iterated Function Systems with a Common Attractor
[arXiv] 2026-09-15 | MUMINS: Metadata-conditioned Uncertainty-aware Medical Image Next-state Synthesis
[arXiv] 2026-09-15 | No statistically significant evidence for a correlation between stellar and planetary composition
[arXiv] 2026-09-15 | Empirical Bayes for compound adaptive experiments
[arXiv] 2026-09-15 | Reaction dynamics in non-Markovian systems with non-monotonically decaying memory
[arXiv] 2026-09-15 | Evidence for the semileptonic decay $Λ_c^{+} \to p π^{-} e^+ ν_e$
[arXiv] 2026-09-15 | FirmCORe: A Benchmark for Structured Reasoning about Inter-Firm Collaboration Opportunities
[arXiv] 2026-09-15 | PyExoCross 2.0: A Python Framework for LTE and non-LTE Spectra, Cross Sections, and Spectroscopic Post-processing of Atomic and Molecular Line Lists
[arXiv] 2026-09-15 | Frame bounds and bandwidth tiling for time-causal bandpass wavelets
[arXiv] 2026-09-15 | Finding Common Mistakes In Modelling With Mathematical Formalisms Using LLMs
[arXiv] 2026-09-15 | Large-scale NMR simulation on a trapped-ion quantum computer
[arXiv] 2026-09-15 | Beyond In-Distribution Metrics: A Systematic Out-of-Distribution Evaluation of Congenital Heart Disease Segmentation
[arXiv] 2026-09-15 | Saturns Are Not Large Neptunes: The effect of removing inflated giants from empirical mass-radius relations
[arXiv] 2026-09-15 | Second-Order Rayleigh-Schrödinger Perturbation Theory for the GRASP2018 Package: Core Correlations
[arXiv] 2026-09-15 | Online Gradient Computation for Warping Gaussian Process Transformations
[arXiv] 2026-09-15 | Optimal transport of image sources for interpolation of room impulse responses with moving sources
[arXiv] 2026-09-15 | AraMIP: Extending MIPVU Towards Metaphor Identification in Arabic
[arXiv] 2026-09-15 | Temporally Consistent Graph Extraction and Matching for Longitudinal Angiographic Images
[arXiv] 2026-09-15 | Sharp bounds for perfect quantum state classification beyond antidistinguishability
[arXiv] 2026-09-15 | Lyman-$α$ forest 1D flux power spectrum constraints on QSO-assisted reionization models
[arXiv] 2026-09-15 | Impact of Equation of State on Black Hole Accretion Flows and Radiative Properties
[arXiv] 2026-09-15 | Caught by its own light: Wimpzillas, the LHAASO knee and the diffuse $γ$-ray sky
[arXiv] 2026-09-15 | Refined conjectures on Fitting ideals of BDP Selmer groups
[arXiv] 2026-09-15 | On the number of palindromic factors of low complexity words
[arXiv] 2026-09-15 | At Most One Inner Killing Horizon in Stationary Black Holes
[arXiv] 2026-09-15 | DiSR-ECG: Residual Shifting Conditional Diffusion for Robust ECG Super-Resolution
[arXiv] 2026-09-15 | RoleBreak: Benchmarking Long-Horizon Role-Playing Robustness in Spoken Dialogue
[arXiv] 2026-09-15 | On the internal modes of the ground state for 3D cubic--quintic equations
[arXiv] 2026-09-15 | Reassessing 3GPP NR CSI Codebook Structures in Near-Field Channels: Finite-Feedback Multilayer Precoding and Design Insights
[arXiv] 2026-09-15 | Measuring Decision-Scale Use in Tool-Augmented LLMs: A Contrastive Urban Benchmark
[arXiv] 2026-09-15 | Punctured log Gromov-Witten theory of log modifications and double ramification cycles with target log variety
[arXiv] 2026-09-15 | Large Language Models in the Loop: A Stability- and Network-Aware Survey in Networked Control, Cyber-Physical, and Multi-Agent Systems
[arXiv] 2026-09-15 | The Furstenberg-Sárközy theorem for sums of an even number of odd powers
[arXiv] 2026-09-15 | A Framework for Generating Valid Context-Specific Benchmarks through Expert Guidance
[arXiv] 2026-09-15 | FLAT: Resampling Image and Text into 1D Flexible-Length Aligned Transmodal Tokens for Retrieval and Generation
[arXiv] 2026-09-15 | Do LLMs Have Values? A Quantitative Analysis and Alignment Framework for Values in Large Language Models
[arXiv] 2026-09-15 | Adsorbing Boundaries Stratify the Kinetics of Confined Colloidal Phase Separation
[arXiv] 2026-09-15 | CLASH: Counterfactual Auditing of Lexical and Prosodic Reliance in Spoken Sarcasm Detection
[arXiv] 2026-09-15 | Recovering Physical Parameters from Fragmented Observations via Exact Distributed Spline Merging
[arXiv] 2026-09-15 | GraLoD: Graphics-Inspired Continuous Level-of-Detail Learning for Image Restoration
[arXiv] 2026-09-15 | Non-uniqueness of characteristic curves of folding rational maps
[arXiv] 2026-09-15 | KEMPIC-3D: A transparent and extensible electromagnetic Particle-in-Cell framework for kinetic plasma simulations
[arXiv] 2026-09-15 | Joint Freshness and Age-Dispersion Control over Finite-State Markov Wireless Channels
[arXiv] 2026-09-15 | Density and separation for augmented Zarankiewicz numbers
[arXiv] 2026-09-15 | Supervising the Chain Ladder
[arXiv] 2026-09-15 | Exotic centrosymmetric phase of acentric urea under high pressure
[arXiv] 2026-09-15 | A Cyber Range Evaluation of Autonomous Network Incident Response Agents
[arXiv] 2026-09-15 | Ptolemy: A Semantic Map of Exploratory Data Analysis
[arXiv] 2026-09-15 | Learning Transferable Self-Supervised Priors for Super-Resolution Reconstruction in Structured Illumination Microscopy
[arXiv] 2026-09-15 | Style-Debiased DPO: Updating LLM Knowledge with Factuality-Aware Synthetic Preference Data
[arXiv] 2026-09-15 | Auction Design with ROI-Constrained Bidders: Truthfulness and Revenue Maximization
[arXiv] 2026-09-15 | Beyond Gestures: Estimating Full Hand Pose and Contact Forces from Wrist-Worn Pressure Sensor Array
[arXiv] 2026-09-15 | Symmetry, monotonicity, and asymptotics of singular solutions to semilinear elliptic equations
[arXiv] 2026-09-15 | Discovering Kinetically Significant Reaction Mechanisms Beyond Chemical Intuition in Condensed-Phase Radiolysis
[arXiv] 2026-09-15 | Anthropogenic Forcing, Climate Change, and the Shape of Warming: Statistical Inference for Distributional Cointegration
[arXiv] 2026-09-15 | Locally calibrated and mesh-free inference for spatial point distributions: closed-form null, contamination law, and detectability threshold
[arXiv] 2026-09-15 | Inertialess turbulence in viscoelastic pipe flow
[arXiv] 2026-09-15 | Skill-based Agentic Evaluation for Real-time Data Science Tasks
[arXiv] 2026-09-15 | Protocol-Preserving Context Trimming for Agentic Workflows: Benefits, Failure Regimes, and Budget Guardrails
[arXiv] 2026-09-15 | Environmental records unlock universal quantum computation from thermal decoherence
[arXiv] 2026-09-15 | The Variation of Circumstellar Parameters through Early Stellar Evolution
[arXiv] 2026-09-15 | Predicting Partial Answer Quality and Utility in Agentic Retrieval-Augmented Generation
[arXiv] 2026-09-15 | Charging of rotating black holes: kinetic simulations of black hole magnetospheres
[arXiv] 2026-09-15 | A Mechanical Antenna for Improving Capacity Fairness in Dynamic Multi-Station Scenarios
[arXiv] 2026-09-15 | Online adaptive non-intrusive model reduction via manifold interpolation and subspace updates: application to FSI convergence acceleration
[arXiv] 2026-09-15 | Accelerated Decoding of Centroid Positional Encoding for Instance Segmentation
[arXiv] 2026-09-15 | Integrating Wildfire Risk into Robust Forest Management Optimization
[arXiv] 2026-09-15 | Measuring Annotation Efficiency for Handwritten Devanagari Recognition: Sample-Complexity Curves for Four Pretraining Regimes
[arXiv] 2026-09-15 | Efficient Swing Computation for Retrieval in Large-Scale Recommender Systems
[arXiv] 2026-09-15 | RegRet: Enhancing Region-Level Retrieval in Large Multimodal Models
[arXiv] 2026-09-15 | Analytical and Experimental Study of a Variable-Mass Oscillator with Constant Mass Loss
[arXiv] 2026-09-15 | The Price of the Golden 6G Band: Evaluation of Beam Management Effort in FR3
[arXiv] 2026-09-15 | On Sequence Reconstruction Problem for q-ary Deletion Channels
[arXiv] 2026-09-15 | CPM-LDPC Codes Attaining the Minimum-Distance Bound
[arXiv] 2026-09-15 | The asymmetric limbs of HD 209458 b observed with JWST NIRCam F322W2/F444W
[arXiv] 2026-09-15 | Testing a Pre-Supernova Contribution to $^{44}$Ti in Cassiopeia A
[arXiv] 2026-09-15 | LCAP: Population-Informed Latent Chip Adaptation from Few Output Probes for Photonic Neural Networks
[arXiv] 2026-09-15 | Converter-Grid Interaction Stability Guaranteed Safe Deep Reinforcement Learning for Energy Storage Systems in Grid Frequency Support
[arXiv] 2026-09-15 | Viscosity solution of systems of integral-partial differential equations with interconnected obstacles without Monotonicity Conditions and infinite L{é}vy measure
[arXiv] 2026-09-15 | SaltyMeta: a curated benchmark and protein language model-informed web tool for salty peptide prediction
[arXiv] 2026-09-15 | H$_2$O emission as tracer of pebble drift: insights from coupling transport and thermochemical models
[arXiv] 2026-09-15 | Inequalities for 4-Manifolds with Ends using Fibered boundary metric and Seiberg-Witten Equations
[arXiv] 2026-09-15 | On the disintegration of the stochastic majority vote: From PAC-Bayesian bounds to a self-bounding algorithm
[arXiv] 2026-09-15 | TEDi: Temporal Memory-Enhanced and Denoising Transformer for Surgical Instrument Segmentation
[arXiv] 2026-09-15 | SpectraFit XPS: a free, browser-based application for X-ray photoelectron spectroscopy peak fitting and quantification
[arXiv] 2026-09-15 | Benchmarking Factual Robustness of LLMs via Multi-conversation Persuasion
[arXiv] 2026-09-15 | IMVS: Interactive Medical Volume Segmentation with Test-Time Adaptation - A New Method for Annotating Radiology Datasets
[arXiv] 2026-09-15 | Probing the Tau Neutrino Magnetic Moment via the $μ^{-}γ\rightarrow μ^{-}ν\barν$ Process at Future Muon Colliders
[arXiv] 2026-09-15 | Ordered Ramsey numbers of 3-uniform hypergraphs with bounded weak degeneracy
[arXiv] 2026-09-15 | EgoAsk: Egocentric Teaching of Personalized Object Knowledge for Household Robots
[arXiv] 2026-09-15 | Electric-Field-Switchable Altermagnetism via Ligand Rotation in a d0 Metal-Organic Framework
[arXiv] 2026-09-15 | Linear matroid products: a synthetic approach
[arXiv] 2026-09-15 | Unified Heterogeneous Graph Neural Network solver for Power Flow, Optimal Power Flow and State Estimation
[arXiv] 2026-09-15 | The Price of Random Access: Measuring Block Granularity Across Four Compressed Formats
[arXiv] 2026-09-15 | Searching for new physics with contact-free transitions in muonic atoms
[arXiv] 2026-09-15 | A deterministic $(2 + \varepsilon)$-approximation for directed feedback vertex sets in tournaments
[arXiv] 2026-09-15 | Phase Transition in Binary Compressed Sensing via Annealing with Adaptive Regularization
[arXiv] 2026-09-15 | Turbulence at an aerofoil leading edge: the linearity boundary and its generation mechanism
[arXiv] 2026-09-15 | Predictability-Guided Multiscale Probabilistic Forecasting of Wind Direction under Extreme Shear
[arXiv] 2026-09-15 | Stability Analysis of Generalized Multi-Source Weber Problems
