[2026-04-04 09:40:29] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-03
正在获取论文...
[IEEE] 2026-4-3 | Re-Creating Arago’s Disc
[IEEE] 2026-4-3 | Analysis of Coupling Mechanism and Research on Control Strategy for Rotorcraft Aerial Manipulators
[IEEE] 2026-4-3 | Terrain-Inspired Bumpiness Prediction for Off-Road Autonomous Driving
[IEEE] 2026-4-3 | IEEE Industry Applications Society Information
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Witnessing 25 Years of Weiser's Legacy in Pervasive Computing
[IEEE] 2026-4-3 | IEEE Transactions on Terahertz Science and Technology Publication Information
[IEEE] 2026-4-3 | Flat UP: A Converged RAN-Core Architecture for the 6G User Plane
[IEEE] 2026-4-3 | Leveraging AI Tools in Engineering Education: Promise and Pitfalls of AI in Software Development
[IEEE] 2026-4-3 | Semi-Supervised Regression via Hierarchical Confidence Screening and Neighbor-Guided Pseudo-Label Calibration
[IEEE] 2026-4-3 | Time-Series Analysis and Forecasting of Film Genres Emerging Globally
[IEEE] 2026-4-3 | Safe School Water Initiative, A Comprehensive Study on Water Quality Testing Among Schools
[IEEE] 2026-4-3 | Advanced Encryption Techniques for Enhancing Data Security and Privacy in Cloud Environments
[IEEE] 2026-4-3 | A Reconfigurable SPR-based D-shaped Dual-Sensing Photonic Crystal Fiber Biosensor Using Ge
                    <sub>2</sub>
                    Sb
                    <sub>2</sub>
                    Te
                    <sub>5</sub>
                    Phase Change Material for Cancer Cell Detection
[IEEE] 2026-4-3 | Hybrid Generative Adversarial Network Assisted Oversampling for Credit Card Fraud Detection_supp1-3680136.docx
[IEEE] 2026-4-3 | Multiobjective Optimization for Uncertain Integrated Energy Systems: Aggregating EVs in Demand Response via Photovoltaic-Energy Storage
[IEEE] 2026-4-3 | Latent Danger Zone: Distilling Unified Attention for Cross-Architecture Black-box Attacks
[IEEE] 2026-4-3 | NASTaR: A NovaSAR-Based Automated Ship Target Recognition Dataset_supp1-3679941.pdf
[IEEE] 2026-4-3 | Robust Design Under Uncertainty in Quantum Error Mitigation
[IEEE] 2026-4-3 | Robotic Non-Contact Three-Dimensional Micromanipulation by Acoustohydrodynamic Effects
[IEEE] 2026-4-3 | Novel Single-Phase Converter with Reduced Common Mode EMI
[IEEE] 2026-4-3 | MHD Flows in the Lower Expansion Chamber of a Generic Outboard Blanket Segment for DEMO
[IEEE] 2026-4-3 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality
[IEEE] 2026-4-3 | K-12 Education: Explaining Cyber Value at Risk Using Electrical K-Map and Truth Table
[ACM] 2026-4-3 | Software Vulnerabilities as Cognitive Blindspots; Assessing the Suitability of a Dual Processing Theory of Decision Making for Secure Coding
[ACM] 2026-4-3 | Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy
[IEEE] 2026-4-3 | In silico inhibitor analysis of ran binding protein 9 (RanBPM) in non-small cell lung cancer (NSCLC)
[IEEE] 2026-4-3 | Clinical Metadata Guided Limited-Angle CT Image Reconstruction_supp1-3677586.pdf
[IEEE] 2026-4-3 | DyCITO+: Scalable Deep Reinforcement Learning for Generating Class Integration Test Orders of Java Programs
[IEEE] 2026-4-3 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes_supp1-3678242.docx
[IEEE] 2026-4-3 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance_supp1-3680225.pdf
[IEEE] 2026-4-3 | Generative AI-Enabled Transmission and Computing Integration for Cloud-Edge Collaborative IoT
[IEEE] 2026-4-3 | Joint Tailoring of Electromagnetic Radiated Emission and Susceptibility Limits for Coexistence of Multiple Radio-Frequency Devices
[IEEE] 2026-4-3 | Image Captioning via Compact Bidirectional Architecture
[IEEE] 2026-4-3 | Hybrid Late-Fusion Approach for Intelligent Fault Identification under Cross-Load Operating Conditions
[IEEE] 2026-4-3 | GhostBackdoor: A Resistant Backdoor Attack
[IEEE] 2026-4-3 | Scheduling Schemes for Mission-Critical IoT Healthcare Applications: A Systematic Review
[IEEE] 2026-4-3 | Review of Superconducting Qubit Devices and Their Large-Scale Integration
[IEEE] 2026-4-3 | Low-cost Testing of 2.4GHz Receiver on Standard Digital ATE: Practical Implementation
[IEEE] 2026-4-3 | USCNet: Transformer-Based Multimodal Fusion with Segmentation Guidance for Urolithiasis Classification
[IEEE] 2026-4-3 | Design of a Scalable Modular Bias Voltage Supply with Reduced Noise for Multi-Channel SiPM Readout
[IEEE] 2026-4-3 | Graph Neural Network-Based Hybrid Precoding for Intelligent Integrated mmWave MIMO Systems
[IEEE] 2026-4-3 | Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents_supp1-3674995.pdf
[IEEE] 2026-4-3 | Toward Sustainable 6G: A Holistic View of Trade-Offs and Enablers
[IEEE] 2026-4-3 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR
[IEEE] 2026-4-3 | Professors' Impact on Cybersecurity Students' Learning
[IEEE] 2026-4-3 | NeuroViT-Net: A Study on Performance Improvement of a Transformer-Based Brain Tumor Classification Model
[IEEE] 2026-4-3 | Seamless Dual Mode Control Strategy for Wide Soft Switching Range in Consumer-Centric Dual Active Bridge Converters
[IEEE] 2026-4-3 | How Can State Space Models Enhance Machine Learning on Graphs?
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Optimal Dual-Polarized Signal Fusion for Remote Sensing of Space Targets with Passive Radar
[IEEE] 2026-4-3 | GNSS Jamming and Spoofing Threats in UAV Navigation: Countermeasure Status and Challenges
[IEEE] 2026-4-3 | Optimized Non-Uniform Pilot Pattern for OFDM Sensing
[IEEE] 2026-4-3 | SemiPoint: Generalizing Cross-Scene Point Cloud Video Streaming With Semi-Supervised Learning and Residual-Aware Adaptation
[IEEE] 2026-4-3 | Dynamic Optimization Framework for Intelligent Maintenance of Offshore Wind Turbines with Competing Failure Modes
[IEEE] 2026-4-3 | Predicting Student Dropout: Evaluating Genetic Algorithm Optimization of Support Vector Machine Under Various Normalization Techniques
[IEEE] 2026-4-3 | Amyloid-Beta and RAGE Interactions in Alzheimer's Disease
[IEEE] 2026-4-3 | Fine-Tuning Lightweight LLM for Enhanced Network Understanding: A Rephrase and Contrast Approach
[IEEE] 2026-4-3 | Sparse Grassmannian Design for Noncoherent Codes via Schubert Cell Decomposition
[IEEE] 2026-4-3 | 6G-Bench: An Open Benchmark for Semantic Communication and Network-Level Reasoning with Foundation Models in AI-Native 6G Networks
[IEEE] 2026-4-3 | MilleniaGuard: An Event-Driven Edge-AI and AIGC-Based IoT System for Ancient Mural Monitoring and Restoration
[IEEE] 2026-4-3 | Heterogeneous Hypergraph Multi-Agent Learning for UAV Collaboration in Disaster Scenarios
[IEEE] 2026-4-3 | IEEE Transactions on Industrial Electronics Information for Authors
[IEEE] 2026-4-3 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Distribution-Aware Infrared Small Target Detection Based on Multi-Scale Convolutional Decoder and Hypergraph Attention
[IEEE] 2026-4-3 | Design Method of Pixelated Electron Gun Based on CNN Model
[IEEE] 2026-4-3 | Monodisperse CoFe2O4 Nanocubes: Influence of Particle Size on the Magnetic Properties
[IEEE] 2026-4-3 | Homogenization of the Eddy Current Problem in Laminated Open-Type Cores Accounting for Perpendicular Flux
[IEEE] 2026-4-3 | DAC-MR: Data Augmentation Consistency Based Meta-Regularization for Meta-Learning
[IEEE] 2026-4-3 | Semi-amortized Encoder-Decoder Network for Beamforming over Sparse Large-Scale MIMO Channels
[IEEE] 2026-4-3 | Enhancing Seasonal Arctic Sea Ice Prediction for Late Summer by Transfer Learning of PIOMAS and CryoSat-2-Observed Sea Ice Thickness Data
[IEEE] 2026-4-3 | Optically-Transparent mmWave Metasurface Reflector with a Honeycomb-Meshed Ground Plane
[IEEE] 2026-4-3 | Estimating the accuracy of NmF2 at low latitudes from COSMIC2, ionosonde and a neural network-based model by three-corner-hat method
[IEEE] 2026-4-3 | ‘Impact of Consumer Analytics and AI on Inventory Management in UAE with reference to UN SDG 12: Sustainable Consumption and Production patterns" and SDG 2 Zero Hunger in UAE"
[IEEE] 2026-4-3 | Automata Learning versus Process Mining: The Case for User Journeys
[IEEE] 2026-4-3 | Design and Implementation of Fast Transient Overvoltage Protection Systems for SPIDER Power Supplies
[IEEE] 2026-4-3 | Guest Editorial for the 21th Asia Pacific Bioinformatics Conference
[IEEE] 2026-4-3 | Privacy Decentralized Online Federated Learning for Smart Healthcare Service Systems_supp1-3680310.pdf
[IEEE] 2026-4-3 | A Hybrid Active Switched LC and Passive Capacitor Quadratic-Based High-Gain DC–DC Converter with Common Ground and Reduced Device Stress
[IEEE] 2026-4-3 | Kinematic-Aware Robust LIO-W: A Tightly-Coupled Framework with Trajectory-Based Asynchronous Compensation for Degraded Environments
[IEEE] 2026-4-3 | Fault Diagnosis of Multi-loop Pneumatic Control Valve Systems Based on 1DCNN-BiLSTM Model
[IEEE] 2026-4-3 | MHPF-HSI: A Multimodal Framework for Hepatocellular Carcinoma Prognosis Prediction Integrating Microscopic Hyperspectral Imaging
[IEEE] 2026-4-3 | Evolutionary Hyper-Transformation for Multi-AAV Path Planning to Visit Moving Targets
[IEEE] 2026-4-3 | Multi-Static Reluctance Network with Constant Topology and Fixed Air gap Parameters Applied to PMSG
[IEEE] 2026-4-3 | Path Planning for Petrochemical Plant Inspection Robots Based on an Enhanced Black-Wing Kite Algorithm
[ACM] 2026-4-3 | Reliable Batch-Sequential Model Editing via Enhanced Editing Anchor Compression
[IEEE] 2026-4-3 | A 20–500 MHz, 250 WAdaptive-Supply Balanced GaN Power Amplifier With Inherent Resilience to Antenna VSWR
[IEEE] 2026-4-3 | Classifying Drones and Birds from Images using Deep Neural Networks
[IEEE] 2026-4-3 | Efficient Selection of Decoding Order for Rate Maximization in Uplink RSMA
[IEEE] 2026-4-3 | 2DAM-SC: Two-Dimensional-Adaptive Modulation for Semantic Communications under Shadowed Fading Channels
[IEEE] 2026-4-3 | Social Media for Whom? The Absence of Guideline Adherence in Social Platforms
[IEEE] 2026-4-3 | Enhancing URLLC Performance in Teleoperation Systems through Dual Prediction and Resource Optimization
[IEEE] 2026-4-3 | SymptoMatch: Improving Clinical Symptom Recognition via Bidirectional Learning from Layman Expression
[IEEE] 2026-4-3 | Balancing the Virtual Path: Influence of Amplitude, Frequency, and Input Method on VR Locomotion
[IEEE] 2026-4-3 | Material sensing using arrays of open dipole RAIN RFID tags
[IEEE] 2026-4-3 | A Triaxial MEMS Capacitive Accelerometer With Efficient Temperature Hysteresis Compensation Based on a Modified Prandtl–Ishlinskii Model
[IEEE] 2026-4-3 | IEEE Journal of Emerging and Selected Topics in Power Electronics Publication Information
[IEEE] 2026-4-3 | Glow plug Integrated Solar Heater for Reducing Initial Waiting Period of Evaporation Lag and Improve Thermal Efficiency in Solar Still Desalination
[IEEE] 2026-4-3 | Investigation of Thermal Distribution in Cryogenically Cooled Inverter for HTS Motor
[IEEE] 2026-4-3 | WeakTr: Exploring Plain Vision Transformer for Weakly-supervised Semantic Segmentation_supp1-3678362.pdf
[IEEE] 2026-4-3 | Frequency-Dimension Virtual Array Expansion in MIMO Radars for Improved Angular Resolution
[IEEE] 2026-4-3 | CSNR and JMIM Based Spectral Band Selection for Reducing Metamerism in Urban Driving
[IEEE] 2026-4-3 | Analysis of Gate Leakage Mechanism in AlGaN/GaN HEMTs With PECVD and ICPCVD/PECVD SiN Passivation Considering the Varying Electric Field in GaN Cap Layer
[IEEE] 2026-4-3 | Unification of Closed-Open Industrial Detection Scenarios: New Large-Scale Benchmarks, Challenges and Baselines
[IEEE] 2026-4-3 | FanType: Intention-Inferring Fan-shaped Thumb Interface for Text Entry on Small XR Keyboards
[IEEE] 2026-4-3 | Personalized NextGen Product Design with GenAI
[IEEE] 2026-4-3 | Physical Layer Security for NOMA-OFDM Using Power Hopping
[IEEE] 2026-4-3 | Blind Radio Map Construction via Topology Guided Manifold Learning
[IEEE] 2026-4-3 | Data Semantics for Earth Observation: A technical guide to ontology-based integration for environmental data monitoring
[IEEE] 2026-4-3 | Adaptive Gossip-Enhanced SIR Models for Real-Time Routing Optimization and Fault Tolerance in Distributed Networks
[IEEE] 2026-4-3 | qfusion-opt: Profile-Informed Gate Scheduling and Fusion Optimization for Accelerating Quantum Circuit Simulation
[IEEE] 2026-4-3 | OptMRT: Near-Optimal Partitioning for Mixed Real-Time Tasks on Heterogeneous Architectures_supp1-3677772.pdf
[IEEE] 2026-4-3 | Toward Simultaneous Neurostimulation and Prosthetic Control: Real-Time Filtering of Amplitude-Modulated Stimulation Artifacts from Implanted Electrode Signals
[IEEE] 2026-4-3 | AI-Enabled KPM Granularity Control xApp for O-RAN Digital Twins
[IEEE] 2026-4-3 | System Guidelines for Impact of PRS Inter-Satellite Interference in NTN PNT with LEO Constellations
[IEEE] 2026-4-3 | Rhythms of Recovery: Patient-Centered Virtual Reality Exergame for Physical Rehabilitation in the Intensive Care Unit
[IEEE] 2026-4-3 | Simulation of Energy Output From a Charged Capacitor With Conductive Near-Electrode Layers
[IEEE] 2026-4-3 | A Crosstalk-Free GaN-on-Si Power Integration Platform for Integrated Half-Bridge Circuits and Bidirectional Switches
[IEEE] 2026-4-3 | Winding Loss Model of Vortex-style PCB Litz Windings
[IEEE] 2026-4-3 | Real-Time Human Activity Recognition on Edge Devices for Industrial Applications
[IEEE] 2026-4-3 | Optimized PFM-IPSM Hybrid Modulation and Fast Control Design for CLLLC Resonant Converter Enabling Wide-Gain Operations
[IEEE] 2026-4-3 | Dynamic Segmentation Effect of Stage Performance Based on Dilated Convolution Supported by Embodied Expression Theory
[IEEE] 2026-4-3 | A 1024-Ch 583-nW/Ch Spike-Sorting SoC With Sparsity-Aware Spike Detection Scratchpad and Ultra-Low-Leakage Dual-Voltage 5T-SRAM for 16K-Template Clustering
[IEEE] 2026-4-3 | Distributed Interval Estimation for Continuous-Time Linear Systems Based on Robust Observer and Interval Analysis
[IEEE] 2026-4-3 | Corrections to “Adversarial Learning on Incomplete and Imbalanced Medical Data for Robust Survival Prediction of Liver Transplant Patients”
[IEEE] 2026-4-3 | MDbFusion++: A Visible and Infrared Image Fusion Framework Capable for Motion Deblurring
[IEEE] 2026-4-3 | Embodied Intelligence-Enhanced Anti-Jamming Resource Allocation for Low-Altitude Communication Networks
[IEEE] 2026-4-3 | E-Band Automotive Radar Array Antenna in Multi-Layer Waveguide Technology With Reduced Sidelobe and Cross-Polarization Level
[IEEE] 2026-4-3 | CMP-LSTM: Accuracy-Driven Column-Wise Maximum Pruning for Efficient LSTM Acceleration
[IEEE] 2026-4-3 | Zero Trust Architecture for Edge AI Security: A Framework for Distributed Intelligence Protection
[IEEE] 2026-4-3 | The Applications for Deep Unfolding Techniques in MIMO Wireless Communications Systems
[IEEE] 2026-4-3 | A Simple and Fast Unified Threshold Fault Diagnosis Method for DC Microgrids
[IEEE] 2026-4-3 | Meta:
                    <i>Graph-encoded Printed Circuit Board Datasets for Component Classification with Graph Neural Networks</i>
[IEEE] 2026-4-3 | Depth Cue Conflicts Between Real and Virtual Objects Disrupt Visually-Guided Reaching in Augmented Reality
[IEEE] 2026-4-3 | Multihop Routing for Maximum Semantic Spectral Efficiency
[IEEE] 2026-4-3 | Probabilistic Multi-Objective Design of Lightning Protection for Complex Power Distribution Networks
[IEEE] 2026-4-3 | Fast Estimation of Nonlinear Interference Noise in Distributed Raman-Amplified Few-Mode Fiber Links
[IEEE] 2026-4-3 | Attentive Dilated Convolution for Automatic Sleep Staging using Force-directed Layout
[IEEE] 2026-4-3 | Exploring Dataset Availability and Methods for Enhanced Automated Fault Detection in Induction Motors
[IEEE] 2026-4-3 | Exploring Tryptophan as a Possible Accelerator of Planarian Regeneration
[IEEE] 2026-4-3 | Risk Assessment Factors, Anxiety, and Cyber-incident Experiences of Cybersecurity Students
[ACM] 2026-4-3 | Minimizing Weighted Flow Time
[ACM] 2026-4-3 | Deduplication can Make File Systems Faster
[IEEE] 2026-4-3 | Design and Fabrication of a Hydrophone with a Dual-Piezoelectric Layer Structure
[IEEE] 2026-4-3 | HSplitLoRA: A Heterogeneous Split Parameter-Efficient Fine-Tuning Framework for Large Language Models
[IEEE] 2026-4-3 | Systematic Analysis of Global Internet Latency: The Triangle Inequality Violation Perspective
[IEEE] 2026-4-3 | To be Healed or Hacked? - User-Centered Ethical Design for Embodied AI in Mental Health Care
[IEEE] 2026-4-3 | Comparative Analysis of Brushless Doubly-Fed Machines With Different Rotor Structures Applied for Flywheel Energy Storage System
[IEEE] 2026-4-3 | Weakly Supervised Multimodal Fusion of Remote Sensing and Social Media Data for Urban Flood Mapping
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Beyond Predefined Clusters: A Comprehensive Review of Clustering Methods for Unknown Cluster Numbers_supp1-3680286.pdf
[IEEE] 2026-4-3 | Hybrid Genetic Algorithm and Support Vector Machine for Prediction of Student Dropout and Success
[ACM] 2026-4-3 | MSPW: Monitoring Simulated Physical Weakness Using Detailed Behavioral Features and Personalized Modeling
[IEEE] 2026-4-3 | High-Precision Hybrid Compression Method for Synchrophasor Data in WAMS
[IEEE] 2026-4-3 | A Cross-Cultural Study on the Impact of Social Media Usage on High School Students' Learning
[IEEE] 2026-4-3 | Equilibrium Contrastive Learning for Imbalanced Image Classification_supp1-3670635.pdf
[IEEE] 2026-4-3 | DS-TopicMAP: A Text Mining Component for Semantic Topic Identification in Processes of Human-computer Interaction
[IEEE] 2026-4-3 | View-Adaptive Gaussian Splatting with Dynamic Spherical Harmonics Modulation for Multi-Scale Urban Scene Rendering
[IEEE] 2026-4-3 | Mechanical and Optical Characterization of the POLARBEAR2b Cryogenic Half-Wave Plate
[IEEE] 2026-4-3 | Embedded Grating Sensing and Compensation Enabling Cross-Scale Nanopositioning
[IEEE] 2026-4-3 | Metabolomics and Breast Cancer
[ACM] 2026-4-3 | Thoth: Uncovering Data-Dependent Memory Access Patterns via Annotation-Directed Load Sampling
[IEEE] 2026-4-3 | Continuous representation of tactile information by an unsupervised liquid state machine
[IEEE] 2026-4-3 | Long-Term Household Electricity Consumption Forecasting via Ensemble Learning Approach: Application of the TreeBagger Model
[IEEE] 2026-4-3 | Hybrid Coordination Framework for Centralized Task Allocation and Execution in Heterogeneous Multi-Robot Systems
[IEEE] 2026-4-3 | Active Versus Passive: CRB Constrained Beamforming Design and Reflection Manipulation for RIS Assisted ISAC System
[IEEE] 2026-4-3 | IEEE Women in Engineering
[IEEE] 2026-4-3 | Josephson Junction Radiators as Spectral Calibrators of Millimeter-Wave Low-Temperature Detectors
[IEEE] 2026-4-3 | Reputation-Based Hyperledger Fabric for Private and Scalable Data Sharing in CAVs
[IEEE] 2026-4-3 | Exploring Student Perceptions on Integrating Multi-Modality in GenAI
[IEEE] 2026-4-3 | NeRF Reconstruction Quality Under Various Image Artifacts
[IEEE] 2026-4-3 | CIRSense: Rethinking WiFi Sensing With Channel Impulse Response_supp1-3678326.pdf
[IEEE] 2026-4-3 | Disentangled Graph Prompting for Out-Of-Distribution Detection_supp1-3678022.pdf
[IEEE] 2026-4-3 | Clover: Workload Verification for Real-Time Detection of Contention-Induced Slowdowns in Serverless Platforms
[IEEE] 2026-4-3 | Research on the Improved Excitation Topology of Pulsed Alternator With Electric Field Energy Storage Device
[IEEE] 2026-4-3 | Beyond Redundancy: Toward Agile Resilience in Optical Networks to Overcome Unpredictable Disasters
[IEEE] 2026-4-3 | Comparative Analysis of Dynamic Models and Adaptive Process-Noise Modelling for Kalman-Based Aerial Target Tracking
[IEEE] 2026-4-3 | A Practical Framework for Control Structure Synthesis and Automated Design Based on Linear Quadratic Tracker: Theory and Application in Power Electronic Systems
[IEEE] 2026-4-3 | Mismatched Pairs Dynamic Correction for Cross-Modal Alignment in Video Moment Retrieval
[IEEE] 2026-4-3 | Contrastive Learning for Modeling Sensitive Attributes in Fairness-Aware Recommendation_supp1-3676999.pdf
[IEEE] 2026-4-3 | Physical Layer Security of Coupled Phase Shifts STAR-RIS-Aided NOMA System under Hybrid Far- and Near-Field Scenarios
[IEEE] 2026-4-3 | Terminology Fragmentation of Infrastructure Calibration in Radio-Based Indoor Positioning: A Systematic Review_supp1-3680224.pdf
[IEEE] 2026-4-3 | Learning-Based Robust Control of Electro-Ribbon Artificial Muscle
[IEEE] 2026-4-3 | Spherical Stacked Intelligent Metasurfaces: A Paradigm for Full-Space Wave-Domain Processing
[IEEE] 2026-4-3 | ChainVerFed: A Trustworthy Heterogeneous Federated Learning Framework with Chained Verification
[IEEE] 2026-4-3 | A Mixed Reality System for Robust Manikin Localization in Childbirth Training
[ACM] 2026-4-3 | A Comprehensive Evaluation of Parameter-Efficient Fine-Tuning on Code Smell Detection
[IEEE] 2026-4-3 | Topology Linearization for Multi-Agent Systems Security: Mitigating Malicious Propagation via Path Decomposition
[IEEE] 2026-4-3 | A Complex Vector-Based Uncertainty and Disturbance Estimation Control Strategy for PMSM Drives in Electric Power Steering
[IEEE] 2026-4-3 | Interference suppression in 3D monopulse radar using external antenna elements.
[IEEE] 2026-4-3 | Stabilizing a linear system using phone calls when time is information
[IEEE] 2026-4-3 | CascadeOcc: Rethinking 3D Occupancy World Models With Cascaded VQ Representations
[IEEE] 2026-4-3 | Physics-Based Reverse Recovery Modeling of the Internal Reverse Diode in SiC MOSFET
[IEEE] 2026-4-3 | A Generalized and Robust Online SOH Estimation Framework for Lithium-ion Batteries under Dynamic Conditions
[IEEE] 2026-4-3 | A Multi-Channel Time-Multiplexed Chopper Instrumentation Amplifier for Biopotential and Electrode-Tissue Impedance Measurement
[IEEE] 2026-4-3 | Call for Nominations for Editor-in-Chief
[IEEE] 2026-4-3 | Traceable and Revocable Dynamic Searchable Symmetric Encryption with Forward Privacy and Conjunctive Query for Internet of Vehicles
[IEEE] 2026-4-3 | Experimental Design and Performance Simulation of Core Components for BBM92 Entanglement-Based QKD
[IEEE] 2026-4-3 | Miniaturized Multibeam Reflectarray Antenna Based on Mathematical Unit Cell Design
[IEEE] 2026-4-3 | A short-term EV charging load forecast method based on Kolmogorov–Arnold Spatiotemporal Attention Recurrent Network
[IEEE] 2026-4-3 | Lightweight Cluster Matching-based Tracking Method for Fall Detection using a Single-LiDAR
[IEEE] 2026-4-3 | Enhancing Deepfake Detection: Leveraging StyleGAN3 for Robust AI-Generated Forgery Identification
[IEEE] 2026-4-3 | K-Means and Gaussian Mixture Models on Lie Groups: Application to Geometrical Clustering_supp1-3678342.pdf
[IEEE] 2026-4-3 | Differential Privacy on Federated Learning: A Correlated Equilibrium and Simulated Annealing Approach
[IEEE] 2026-4-3 | The Impact of Artificial Intelligence on Revenue Growth of Small Business
[IEEE] 2026-4-3 | StickerShop: A Python Shopping Cart Program
[IEEE] 2026-4-3 | Formal Modeling and Verification of Block Production BABE Protocol in Polkadot
[IEEE] 2026-4-3 | Computational Modeling and Optimization of Large-area Showerhead Configurations in PECVD Reactors
[IEEE] 2026-4-3 | Open-Vocabulary SAM3D: Towards Training-free Open-Vocabulary 3D Scene Understanding
[IEEE] 2026-4-3 | Uncrewed Aerial Vehicle Tracking Control Based on Eagle Vision and Evolution Theory
