[2026-05-29 12:16:05] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-28
正在获取论文...
[arXiv] 2026-05-28 | ACE: Anisotropy-Controllable Embedding for LLM-enhanced Sequential Recommendation
[arXiv] 2026-05-28 | VLAConf: Calibrated Task-Success Confidence for Vision-Language-Action Models
[arXiv] 2026-05-28 | Learning study similarity to investigate heterogeneity in meta-analysis using LLMs and triplet loss
[arXiv] 2026-05-28 | Disentangling Spin Pumping and Two-Magnon Scattering Contributions to Gilbert Damping in YIG/V Bilayers
[arXiv] 2026-05-28 | Mind-Omni: A Unified Multi-Task Framework for Brain-Vision-Language Modeling via Discrete Diffusion
[arXiv] 2026-05-28 | Mitigating State Aliasing in Vision-Language-Action Models via Inverse Dynamics Learning
[arXiv] 2026-05-28 | Optimizing Latent Representations for Robust Building Damage Assessment Onboard Earth Observation Satellites
[arXiv] 2026-05-28 | DefSynUS: Real-time Patient-specific Intrahepatic Vessel Identification via Deformation-Aware CT-US Domain Adaptation
[arXiv] 2026-05-28 | LoRA-Key: User-Centric LoRA Watermarking for Text-to-Image Diffusion Models
[arXiv] 2026-05-28 | DeepTool: Scaling Interleaved Deliberation in Tool-Integrated Reasoning via Process-Supervised Reinforcement Learning
[arXiv] 2026-05-28 | Battery-Sim-Agent: Leveraging LLM-Agent for Inverse Battery Parameter Estimation
[arXiv] 2026-05-28 | Quantum Subliminal Learning
[arXiv] 2026-05-28 | From Blind Guess to Informed Judgment: Teaching LLMs to Evaluate Materials by Building Knowledge-Augmented Preference Signals
[arXiv] 2026-05-28 | Sharp threshold for Hamilton cycles in randomly perturbed sparse graphs
[arXiv] 2026-05-28 | STEPIC: High-Speed Imaging via Spatio-Temporal Encoding in Photonic Integrated Circuits
[arXiv] 2026-05-28 | Rademacher Complexity Bounds for Parameterized Quantum Circuits Generated by Pauli Strings
[arXiv] 2026-05-28 | A sharp bound for the Frobenius test exponents in generalized Cohen-Macaulay local rings
[arXiv] 2026-05-28 | Uncertainty-triggered wake-up enables energy-efficient, error-resilient edge AI with memristor front ends
[arXiv] 2026-05-28 | DeepSurvey: Enhancing Analytical Depth and Citation Reliability in Automated Survey Generation
[arXiv] 2026-05-28 | Remarks on hypersurfaces in $\mathbf{P}^1\times Z$
[arXiv] 2026-05-28 | Performance Analysis of Underwater Quantum Key Distribution Protocols: BB84, SARG04, and BBM92
[arXiv] 2026-05-28 | Source-Grounded Semantic Reinforcement Learning for Low-Resource Target-Language Generation
[arXiv] 2026-05-28 | Shear Viscosity at the van Hove singularity
[arXiv] 2026-05-28 | Bridging Semantics and Strategy: A Dual-Stream Graph Network for Equitable Negotiation Forecasting
[arXiv] 2026-05-28 | Charmonium production at SPS and FAIR energies
[arXiv] 2026-05-28 | The weighted large sieve through Parseval
[arXiv] 2026-05-28 | Bridging Theory and Practice: An Executable Taxonomy of Security Properties for ProVerif and Tamarin
[arXiv] 2026-05-28 | FedSmoothLoRA: Toward Smoother and Faster Convergence in Federated Low-Rank Adaptation
[arXiv] 2026-05-28 | Column-Wise Analog Processing for Hybrid Precoding in Millimeter Wave Downlink Multi-User Massive MIMO Systems
[arXiv] 2026-05-28 | SkillBrew: Multi-Objective Curation of Skill Banks for LLM Agents
[arXiv] 2026-05-28 | Dynamic charges effect on infrared dielectric response of polar materials
[arXiv] 2026-05-28 | Hilbert polynomials of the first and second secant varieties
[arXiv] 2026-05-28 | Constructing efficient channels for ideal observers using the conjugate gradient method
[arXiv] 2026-05-28 | The Good, the Bad, and the Ugly of Markov Boundary for Tabular Prediction
[arXiv] 2026-05-28 | A Progress-Aware Leader-Follower Midair Docking System for Dual-Drone Aerial Manipulation
[arXiv] 2026-05-28 | Large language model for unified and accurate description of multidimensional nuclear properties
[arXiv] 2026-05-28 | Information-Directed Offline-to-Online Reinforcement Learning
[arXiv] 2026-05-28 | GDSD: Reinforcement Learning as Guided Denoiser Self-Distillation for Diffusion Language Models
[arXiv] 2026-05-28 | Revisiting Observation Reduction for Web Agents: Comprehensive Evaluation with a Lightweight Framework
[arXiv] 2026-05-28 | Low Rank for Rank: Uncertainty-Aware Task-Specific LLM Ranking under Sparse Pairwise Comparisons
[arXiv] 2026-05-28 | Gaussian Differentially Private $e$-values: Construction, Threshold Calibration, and Multiple Testing
[arXiv] 2026-05-28 | On the Optimizer Dependence of Neural Scaling Laws
[arXiv] 2026-05-28 | Polynomial contractions of $\mathbb C^d$ and degree growth
[arXiv] 2026-05-28 | Latent Terms: Dense Retrievers Contain Trivially Extractable BM25-ready Zipfian Vocabularies
[arXiv] 2026-05-28 | Attention Asymmetry in AI Layoff Discourse on X: A Computational Analysis of Capital vs Labour Amplification
[arXiv] 2026-05-28 | Casual as an Anchor: Resolving Supervision Misalignment in Formality Transfer Dataset
[arXiv] 2026-05-28 | Does Distributed Training Undermine Compute Governance?
[arXiv] 2026-05-28 | Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet
[arXiv] 2026-05-28 | Hole-doped superconductivity above 100 K in infinite-layer cuprate thin films
[arXiv] 2026-05-28 | Understanding and Reducing Metadata-Driven Host Overheads in Sampling-Based GNN Training
[arXiv] 2026-05-28 | Inducing Whittaker Functions from Higher Ranks
[arXiv] 2026-05-28 | WorldMemArena: Evaluating Multimodal Agent Memory Through Action-World Interaction
[arXiv] 2026-05-28 | DMC-CF: Dynamic Multimodal CounterFactual QA benchmark for Causal Reasoning
[arXiv] 2026-05-28 | Weighted Quadrature on Unstructured Splines
[arXiv] 2026-05-28 | DynaFLIP: Rethinking Robotics Perception via Tri-Modal-Dynamics Guided Representation
[arXiv] 2026-05-28 | YoCausal: How Far is Video Generation from World Model? A Causality Perspective
[arXiv] 2026-05-28 | Archon: A Unified Multimodal Model for Holistic Digital Human Generation
[arXiv] 2026-05-28 | City-Mesh3R: Simulation-Ready City-Scale 3D Mesh Reconstruction from Multi-View Images
[arXiv] 2026-05-28 | Ergodic Theorems, Almost Invariant Sets, and Values of Averages
[arXiv] 2026-05-28 | Grounded 3D-Aware Spatial Vision-Language Modeling
[arXiv] 2026-05-28 | Augmented Correlation Functions for Spectroscopic Galaxy Surveys
[arXiv] 2026-05-28 | Proper efficiency results in vector optimisation in real linear-topological spaces based on vectorial penalisation
[arXiv] 2026-05-28 | ProjectionBench: Evaluating Scientific Hypothesis Generation in LLMs Under Progressive Information Disclosure
[arXiv] 2026-05-28 | Qwen-VLA: Unifying Vision-Language-Action Modeling across Tasks, Environments, and Robot Embodiments
[arXiv] 2026-05-28 | Neural Operator-Based Surrogate Model for CFD:Helical Coil Steam Generator in Small Modular Reactor
[arXiv] 2026-05-28 | Loong: A Human-Like Long Document Translation Agent with Observe-and-Act Adaptive Context Selection
[arXiv] 2026-05-28 | LLUMI: Improving LLM Writing Assistance for Mental Health Support with Online Community Feedback
[arXiv] 2026-05-28 | EASE Configuration Facilitates A Reproducible Science of LLM Social Simulations
[arXiv] 2026-05-28 | Reinforcement Learning with Robust Rubric Rewards
[arXiv] 2026-05-28 | Energetic characterisation of transient clustering dynamics in aggregation-diffusion systems
[arXiv] 2026-05-28 | IP-Adapter Is All You Need: Towards Fine-Tuning-Free Diffusion-Based Talking Face Generation
[arXiv] 2026-05-28 | MarginGate: Sparse Margin-Triggered Verification for Batch-Invariant LLM Inference
[arXiv] 2026-05-28 | GRUFF: LLM Pronoun Fidelity, Reasoning, and Biases in German
[arXiv] 2026-05-28 | On-Chip Chiroptical Sensor based on Directional Deflection of Light: A Stern-Gerlach Integrated Optical Analog
[arXiv] 2026-05-28 | Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency
[arXiv] 2026-05-28 | Persona Conditioning of Brand Recommendations in Retrieval-Augmented Commercial Chat: A Prominence-Stratified Cross-Provider Audit
[arXiv] 2026-05-28 | A Dual-Path Architecture for Scaling Compute and Capacity in LLMs
[arXiv] 2026-05-28 | Spectral embedding through weak* limit of finite-dimensional approximations
[arXiv] 2026-05-28 | Can AI Weather Models Predict Beyond Two Weeks? A Quantitative Benchmark and Analysis of Long Rollouts
[arXiv] 2026-05-28 | Generalized matrix nearness problems II
[arXiv] 2026-05-28 | Determining the incidence rate of magnetic $δ$ Scuti candidates with CoRoT
[arXiv] 2026-05-28 | SAHG: Sector-Anisotropic Hyperbolic Graph Model for Social Bot Detection
[arXiv] 2026-05-28 | Tunneling phase diagram: A machine-learning framework for multidimensional kinetic isotope effects
[arXiv] 2026-05-28 | Monodromy free Schrödinger operators and affine ${\widehat{\mathfrak{sl}}_2}$ master functions
[arXiv] 2026-05-28 | A finitely presented group of non-uniform exponential growth
[arXiv] 2026-05-28 | Do Proactive Agents Really Need an LLM to Decide When to Wake and What to Anchor?
[arXiv] 2026-05-28 | AnomalyAgent: Training-Free Agentic Models for Zero-/Few-Shot Anomaly Detection
[arXiv] 2026-05-28 | Cosmo-PINN: A Physics-Informed Neural Network for Cosmological Reconstruction
[arXiv] 2026-05-28 | DAMEL: Dual-Axis Multi-Expert Learning for Class-Imbalanced Learning
[arXiv] 2026-05-28 | Accurate and Efficient MCMC for Latent Position Models
[arXiv] 2026-05-28 | Engineering Quantum Criticality in the Integer Quantum Hall Regime through a Screening Layer
[arXiv] 2026-05-28 | PARCEL: Pool-Anchored Resampling with Conditioned Elastic Queries for Efficient Vision-Language Understanding
[arXiv] 2026-05-28 | No More K-means:Single-Stage Sparse Coding for Efficient Multi-Vector Retrieval
[arXiv] 2026-05-28 | SGMD: Score Gradient Matching Distillation for Few-Step Video Diffusion Distillation
[arXiv] 2026-05-28 | Low-degree estimation thresholds in planted hypergraphs and tensor PCA
[arXiv] 2026-05-28 | xModel-KD: Cross-modal Knowledge Distillation for 3D Scene Perception using LiDAR
[arXiv] 2026-05-28 | Diffusion Models Are Statistically Optimal for Learning Low-Dimensional Multi-Modal Distributions
[arXiv] 2026-05-28 | Rethinking FID Through the Geometry of the Reference Dataset
[arXiv] 2026-05-28 | Visualizing orbital magnetism in electron doped rhombohedral multilayer graphene
[arXiv] 2026-05-28 | List Recovery for Random Low-Rate Linear Codes
[arXiv] 2026-05-28 | Chess-World-Model: A 10M-Game Benchmark for Exact State Tracking from Chess Move Sequences
[arXiv] 2026-05-28 | DirectorBench: Diagnosing Long-Form Video Generation with Personalized Multi-Agent Evaluation
[arXiv] 2026-05-28 | Selective QA over Conflicting Multi-Source Personal Memory: A Diagnostic Testbed and Method Comparison
[arXiv] 2026-05-28 | Conformal Certification of Reasoning Trace Prefixes
[arXiv] 2026-05-28 | Two-way coupling of gravity waves and wind farm wakes: a reduced-order boundary-layer model
[arXiv] 2026-05-28 | Native Audio-Visual Alignment for Generation
[arXiv] 2026-05-28 | Credible rectangles for high-dimensional posterior comparison
[arXiv] 2026-05-28 | HEART-Bench: Do LLM Agents Exhibit Human-like Psychology?
[arXiv] 2026-05-28 | A Radius-Sensitive Approximation Algorithm for Connected Submodular Maximization
[arXiv] 2026-05-28 | Linear and matrix generalizations of some combinatorial min-max theorems
[arXiv] 2026-05-28 | Learning to Choose: An Empowerment-Guided Multi-Agent System with semantic communication for Adaptive Method Selection
[arXiv] 2026-05-28 | A novel mixed spectral method with ball polynomials for the Biharmonic equation on a unit ball
[arXiv] 2026-05-28 | Hysteretic Acoustic Band Structures in Shape-Memory Composite Thin Rods
[arXiv] 2026-05-28 | Latent Performance Profiling of Large Language Models
[arXiv] 2026-05-28 | Charting the thermodynamic stability of hybrid perovskite alloys with machine learning
[arXiv] 2026-05-28 | KairosAgent: Agentic Time Series Forecasting with Fused Semantic Reasoning
[arXiv] 2026-05-28 | The Rise of the Software-Defined Vehicle: Architectures, Enabling Technologies, and Future Opportunities
[arXiv] 2026-05-28 | Accelerating Constrained Decoding with Token Space Compression
[arXiv] 2026-05-28 | Stability Analysis of Superconductivity in $\textit{P6/mmm}$-LaSc$_2$H$_{24}$ and its Experimental Reproducibility from La-Sc Alloys
[arXiv] 2026-05-28 | Compactly supported Gabor orthonormal bases
[arXiv] 2026-05-28 | Dust dynamics in disk dust traps and late planetesimal formation
[arXiv] 2026-05-28 | Replicable Simulation-Based Robot Validation through Provenance
[arXiv] 2026-05-28 | Data-Driven Crowd Dynamics using Kinetic Theory and Ensemble-based Data Assimilation
[arXiv] 2026-05-28 | Lattice Brownian bees with cooperative reproduction: steady states, collapse, and spreading
[arXiv] 2026-05-28 | Formalizing Mathematics at Scale
[arXiv] 2026-05-28 | SwInception -- Local Attention Meets Convolutions
[arXiv] 2026-05-28 | Make LLM Learn to Synthesize from Streaming Experiences through Feedback
[arXiv] 2026-05-28 | Treatment-Conditioned Diffusion for Forecasting Neurodegenerative Disease Progression
[arXiv] 2026-05-28 | A Triple-Modal Contrastive Learning Framework with Sequence, Graph, and 3D Features for Drug-Target Interaction Prediction
[arXiv] 2026-05-28 | Carrier Localization in Pnictogen-Based Chalcohalides from Defect-Bound Hot Polarons
[arXiv] 2026-05-28 | Black Hole Photon Rings Saturate the Quantum Chaos Bound
[arXiv] 2026-05-28 | Modular invariance of characters of quasi-lisse vertex algebras
[arXiv] 2026-05-28 | Unexpected phenomena for mean curvature functionals in the Heisenberg group
[arXiv] 2026-05-28 | Gamma-ray signature of superluminous supernovae: Fermi-LAT GeV detection of SN 2017egm and evidence of a central engine
[arXiv] 2026-05-28 | Where not to find the spectrum of the partial theta function
[arXiv] 2026-05-28 | Dissecting the Black Box: Circuit-Level Analysis of LLM Vulnerability Detection
[arXiv] 2026-05-28 | ExCAM: Explainable Cultural Awareness Metrics
[arXiv] 2026-05-28 | CRITIC-R1: Learning Structured Critics for Retrieval-Augmented Generation
[arXiv] 2026-05-28 | Open Problem: Separating Geometric and Algorithmic Compression via Cayley-Table Completion
[arXiv] 2026-05-28 | DGSG-Mind: Dynamic 3D Gaussian Scene Graphs for Long-Term Scene Understanding and Grounding
[arXiv] 2026-05-28 | Differential graded Hopf algebra structure on free symmetric cosimplicial operads
[arXiv] 2026-05-28 | Moment-KV: Momentum-Based Decode-Time KV Cache Compression for Long Generation
[arXiv] 2026-05-28 | Claim against Measurement: Statistical Artefacts in Quantum Error Mitigation Benchmarks
[arXiv] 2026-05-28 | Vorticity blow-up for the 2D incompressible non-homogeneous Euler equations with uniform $C^{1,\sqrt{\frac{4}{3}}-1-\varepsilon}$ force
[arXiv] 2026-05-28 | Descending Chain Conditions on Leibniz Algebras
[arXiv] 2026-05-28 | MELD: Mel-Spectrogram-Based Speech Language Modeling with Discrete Latent Variables
[arXiv] 2026-05-28 | Optical Cooling of Nuclear Spins in a CdTe/CdZnTe Quantum Well: The Impact of Kinetic Local Fields on Cooling Efficiency
[arXiv] 2026-05-28 | Hiding in the Shadow of the Upsilon: Ditaus from a Light Pseudoscalar
[arXiv] 2026-05-28 | Qubit-efficient variational algorithm for nuclear structure
[arXiv] 2026-05-28 | The Continuum Limit Analysis of Causal Fermion Systems for Curved Spacetimes
[arXiv] 2026-05-28 | Connection of hypocoercivity and hypocontractivity via the $θ$-methods
[arXiv] 2026-05-28 | EMAG: Differentiable 4D Gaussian Mixture Splatting for EEG Spatial Super-Resolution
[arXiv] 2026-05-28 | Protecting On-Device AI Inference: A Systematic Review of Attacks and Defence Mechanisms
[arXiv] 2026-05-28 | RAFI -- A Ray/Work Forwarding Infrastructure for Data Parallel Multi-Node/Multi-GPU Computing
[arXiv] 2026-05-28 | Spatial equity and decentralization trade-offs in deep decarbonization of the European power system
[arXiv] 2026-05-28 | Elfs, transducers and quantum walks
[arXiv] 2026-05-28 | Synergistic approach to probing the dynamics and mechanics of patchy soft matter
[arXiv] 2026-05-28 | Quantitative semidefinite certificates for ground-state energies of Pauli Hamiltonians
[arXiv] 2026-05-28 | Components of $V(mρ) \otimes V(nρ)$
[arXiv] 2026-05-28 | Quantum field theory of massive chiral fields
[arXiv] 2026-05-28 | Water-at-Rest Equilibrium Stability Analysis of a first-moment Shallow Water Exner Moment Model with Sediment Entrainment and Deposition: Extended Technical Report
[arXiv] 2026-05-28 | Characterization of Spurious Charge in SENSEI Skipper-CCDs
[arXiv] 2026-05-28 | Efficient computation of the galaxy angular bispectrum in redshift space
[arXiv] 2026-05-28 | When Cloud Agents Meet Device Agents: Lessons from Hybrid Multi-Agent Systems
[arXiv] 2026-05-28 | Higher Mellin Moments of the Unpolarized PDF of the Pion and the Kaon from Lattice QCD
[arXiv] 2026-05-28 | Indefinite Causal Order Reverses the Real-Complex Hierarchy
[arXiv] 2026-05-28 | GMOS: Grounding Moving Object Segmentation in 3D Space and Time
[arXiv] 2026-05-28 | SchGen: PCB Schematic Generation with Semantic-Grounded Code Representations
[arXiv] 2026-05-28 | Uncertainty-driven 3D Gaussian Splatting Active Mapping via Anisotropic Visibility Field
[arXiv] 2026-05-28 | Fairness-Aware Federated Learning with Trajectory Shapley Value
[arXiv] 2026-05-28 | A Bayesian Proof and Interpretation of Talagrand's Majorizing Measure Theorem
[arXiv] 2026-05-28 | Resolution Diagnostics for Paired LLM Evaluation
[arXiv] 2026-05-28 | SpecBench: Evaluating Specification-Level Reasoning for Software Engineering LLM Agents
[arXiv] 2026-05-28 | A Heterogeneous Architecture for Robot RL Beyond GPU-Dominant Paradigms
[arXiv] 2026-05-28 | Analytical model for structured light propagation through a turbulent atmosphere
[arXiv] 2026-05-28 | MedCase-Structured: A Text-to-FHIR Dataset for Benchmarking Diagnostic Reasoning in Clinically Realistic EHR Settings
[arXiv] 2026-05-28 | Wedding Cocktail Hour Contact Webs: Temporal Proximity Network of a Privately Hosted Social Event
[arXiv] 2026-05-28 | Self-Trained Verification for Training- and Test-Time Self-Improvement
[arXiv] 2026-05-28 | Statistical Embeddings for Similarity, Retrieval, and Interpretable Alignment of Numeric Tabular Datasets
[arXiv] 2026-05-28 | How LoRA Remembers? A Parametric Memory Law for LLM Finetuning
[arXiv] 2026-05-28 | Late-time Quantum Vacuum Decay and its Cosmological Implications
[arXiv] 2026-05-28 | Stable-Layers: Fine-Tuning Image Layer Decomposition Models with VLM-Scored Reinforcement Learning
[arXiv] 2026-05-28 | Ambient-robust Inverse Rendering using Active RGB-NIR Imaging
[arXiv] 2026-05-28 | OOD-GraphLLM: Graph Large Language Model for Out-of-Distribution Generalized Drug Synergy Prediction
[arXiv] 2026-05-28 | Knowing What to Solve Before How: Preplan Empowered LLM Mathematical Reasoning
[arXiv] 2026-05-28 | Multi-source land-use emissions reveal rising airborne fraction
[arXiv] 2026-05-28 | CommunityFact: A Dynamic, Multilingual, Multi-domain Benchmark for Misinformation Detection in the Wild
[arXiv] 2026-05-28 | Hodge numbers of moduli of principal bundles on a curve
[arXiv] 2026-05-28 | Optimization of Predictive Maintenance Schedules under Uncertainty: A Scenario-Based Theoretical Framework
[arXiv] 2026-05-28 | Programmable Dissipation via Partial Quantum Error Correction
[arXiv] 2026-05-28 | HyperPrecision: A Mathematica package for High-Precision Numerical Evaluation of Multivariate Hypergeometric Functions
[arXiv] 2026-05-28 | LexPath: A domain-oriented multi-path framework for legal article retrieval
[arXiv] 2026-05-28 | A Bayesian Approach to Membership Inference for Statistical Release
[arXiv] 2026-05-28 | HPO: Hysteretic Policy Optimization for Stable and Efficient Training under Sparse-Reward Regime
[arXiv] 2026-05-28 | Double-Edged Sword or Sharp Tool? Designing and Evaluating Triadic LLM-Teacher Collaboration for K-12 Writing at Scale
[arXiv] 2026-05-28 | Role of structure and charge trapping on the bipolaron formation and magnetic-field response of gated conjugated polymers
[arXiv] 2026-05-28 | On $L^p$-spaces of functions with values in locally convex spaces
[arXiv] 2026-05-28 | Token-Level Generalization in LoRA Adapter Backdoors: Attack Characterization and Behavioral Detection
[arXiv] 2026-05-28 | CalArena: A Large-Scale Post-Hoc Calibration Benchmark
[arXiv] 2026-05-28 | Cellwise Robust Discriminant Analysis
[arXiv] 2026-05-28 | Meta-Cognitive Memory Policy Optimization for Long-Horizon LLM Agents
[arXiv] 2026-05-28 | Learning to Extrapolate to New Tasks: A Relational Approach to Task Extrapolation
[arXiv] 2026-05-28 | Simulation of smooth models of potentials with singular point using Many-Interacting-Worlds Method
[arXiv] 2026-05-28 | Improved Survival Results for the One-Dimensional Renewal Contact Process
[arXiv] 2026-05-28 | VLA-Trace: Diagnosing Vision-Language-Action Models through Representation and Behavior Tracing
[arXiv] 2026-05-28 | On the coefficient formula for de Branges-Rovnyak norms
[arXiv] 2026-05-28 | Alternative adiabatic quantum dynamics with algorithmic applications
[arXiv] 2026-05-28 | Training Ecosystems: A Computational Approach to Uncovering Learning Behavior in Unconventional Contexts
[arXiv] 2026-05-28 | A Rust-to-Lean Verification Pipeline with AI Provers: An Experience Report
[arXiv] 2026-05-28 | MIRAGE: Adaptive Multimodal Gating for Whole-Brain fMRI Encoding
[arXiv] 2026-05-28 | Toward Practical Two-Way Covert Communication
[arXiv] 2026-05-28 | Weak rank rigidity for groups with a navigable path system
