[2026-05-12 11:22:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[arXiv] 2026-05-11 | Localization phase diagram of the Hexagonal Lattice with irrational magnetic flux
[arXiv] 2026-05-11 | Antisymmetric linear transverse magnetization and ferroaxial moments induced by geometry-driven electric field gradients
[arXiv] 2026-05-11 | Learning to Perceive "Where": Spatial Pretext Tasks for Robust Self-Supervised Learning
[arXiv] 2026-05-11 | Total Generalized Variation regularization closes the gap between neural-eld and classical methods in seismic travel-time tomography
[arXiv] 2026-05-11 | G-Zero: Self-Play for Open-Ended Generation from Zero Data
[arXiv] 2026-05-11 | On Scalable Pseudorandom Unitaries and the Unitary Synthesis Problem
[arXiv] 2026-05-11 | SDTalk: Structured Facial Priors and Dual-Branch Motion Fields for Generalizable Gaussian Talking Head Synthesis
[arXiv] 2026-05-11 | Novel GPU Boruta algorithms for feature selection from high-dimensional data
[arXiv] 2026-05-11 | Neural Distance-Guided Path Integral Control for Tractor-Trailer Navigation
[arXiv] 2026-05-11 | FocuSFT: Bilevel Optimization for Dilution-Aware Long-Context Fine-Tuning
[arXiv] 2026-05-11 | expo: Exploration-prioritized policy optimization via adaptive kl regulation and gaussian curriculum sampling
[arXiv] 2026-05-11 | Verifier-Free RL for LLMs via Intrinsic Gradient-Norm Reward
[arXiv] 2026-05-11 | NaiAD: Initiate Data-Driven Research for LLM Advertising
[arXiv] 2026-05-11 | Position: Academic Conferences are Potentially Facing Denominator Gaming Caused by Fully Automated Scientific Agents
[arXiv] 2026-05-11 | Rethinking Random Transformers as Adaptive Sequence Smoothers for Sleep Staging
[arXiv] 2026-05-11 | TOC-Bench: A Temporal Object Consistency Benchmark for Video Large Language Models
[arXiv] 2026-05-11 | Simultaneous Approximation by Attracting Basins
[arXiv] 2026-05-11 | Tube-Structured Incremental Semantic HARQ for Generative Video Receivers
[arXiv] 2026-05-11 | Efficient Airy Beam Training for Quasi-LoS Terahertz Near-Field Communications
[arXiv] 2026-05-11 | Revisiting the Independence Assumption in LEO Satellite-to-Ground Optical Links: A State-Coupled Joint Fading Model
[arXiv] 2026-05-11 | Harnessing Floating Car Data, Traffic Camera Observations, and Network Flow Analysis for Traffic Volume Estimation
[arXiv] 2026-05-11 | RAYTHEIA: A high-performance ray-tracing algorithm for three-dimensional direction-dependent equations in astronomical simulations
[arXiv] 2026-05-11 | M2A: Synergizing Mathematical and Agentic Reasoning in Large Language Models
[arXiv] 2026-05-11 | Higher-order Persistence Diagrams
[arXiv] 2026-05-11 | Unified Approach for Weakly Supervised Multicalibration
[arXiv] 2026-05-11 | ReCoVR: Closing the Loop in Interactive Composed Video Retrieval
[arXiv] 2026-05-11 | Supercharging Bayesian Inference with Reliable AI-Informed Priors
[arXiv] 2026-05-11 | Cross-Domain Lossy Compression via Constrained Minimum Entropy Coupling
[arXiv] 2026-05-11 | Active Tabular Augmentation via Policy-Guided Diffusion Inpainting
[arXiv] 2026-05-11 | Prescribing geodesics and a variational problem for Riemannian metrics
[arXiv] 2026-05-11 | LeapTS: Rethinking Time Series Forecasting as Adaptive Multi-Horizon Scheduling
[arXiv] 2026-05-11 | Phenomenology of electroweak spin-1 resonances
[arXiv] 2026-05-11 | Generalization Error Bounds for Picard-Type Operator Learning in Nonlinear Parabolic PDEs
[arXiv] 2026-05-11 | PolarVSR: A Unified Framework and Benchmark for Continuous Space-Time Polarization Video Reconstruction
[arXiv] 2026-05-11 | Homotopy Non-Invariance of the String Cobracket and the Failure of the Lie Bialgebra Structure
[arXiv] 2026-05-11 | Overfitting by design: neural network density functionals for water
[arXiv] 2026-05-11 | Meta-Black-Box Optimization Can Do Search Guidance for Expensive Constrained Multi-Objective Optimization
[arXiv] 2026-05-11 | Floquet-tuned superfluid-checkerboard competition in dipolar bosons
[arXiv] 2026-05-11 | Diffeomorphic registration distances for Bayesian calibration of infinite-dimensional computer models
[arXiv] 2026-05-11 | Electroweak physics and long-lived particles at LHCb
[arXiv] 2026-05-11 | When Does Non-Uniform Replay Matter in Reinforcement Learning?
[arXiv] 2026-05-11 | Social Policy of Large Language Models: How GPT, Claude, DeepSeek and Grok Allocate Social Budgets in Spain and Germany
[arXiv] 2026-05-11 | The Vote-Left Equilibrium: A Deterministic Coordination Strategy for the Faithful in The Traitors
[arXiv] 2026-05-11 | The Serre Derivatives and Zeros of Modular Forms
[arXiv] 2026-05-11 | Apparent double-$T_c$ from a single BKT transition in anisotropic phase-only models
[arXiv] 2026-05-11 | Unsupervised Online Channel Estimation for High-Mobility OFDM via Implicit Neural Representation
[arXiv] 2026-05-11 | To Redact, or not to Redact? A Local LLM Approach to Deliberative Process Privilege Classification
[arXiv] 2026-05-11 | 3DReflecNet: A Large-Scale Dataset for 3D Reconstruction of Reflective, Transparent, and Low-Texture Objects
[arXiv] 2026-05-11 | HeteroGenManip: Generalizable Manipulation For Heterogeneous Object Interactions
[arXiv] 2026-05-11 | A Deductive Refinement Calculus for Differential-Algebraic Programs
[arXiv] 2026-05-11 | SciVQR: A Multidisciplinary Multimodal Benchmark for Advanced Scientific Reasoning Evaluation
[arXiv] 2026-05-11 | Joint sparse coding and temporal dynamics support context reconfiguration
[arXiv] 2026-05-11 | MTA-RL: Robust Urban Driving via Multi-modal Transformer-based 3D Affordances and Reinforcement Learning
[arXiv] 2026-05-11 | MolSight: Molecular Property Prediction with Images
[arXiv] 2026-05-11 | Stable Long-Horizon PDE Forecasting via Latent Structured Spectral Propagators
[arXiv] 2026-05-11 | Learning to Sparsify Stochastic Linear Bandits
[arXiv] 2026-05-11 | MicroViTv2: Beyond the FLOPS for Edge Energy-Friendly Vision Transformers
[arXiv] 2026-05-11 | Benchmarking Safety Risks of Knowledge-Intensive Reasoning under Malicious Knowledge Editing
[arXiv] 2026-05-11 | Scaling Vision Models Does Not Consistently Improve Localisation-Based Explanation Quality
[arXiv] 2026-05-11 | FormalRewardBench: A Benchmark for Formal Theorem Proving Reward Models
[arXiv] 2026-05-11 | Superconductivity Mediated Long Range Magnetic Coupling
[arXiv] 2026-05-11 | Per-Loss Adapters for Gradient Conflict in Physics-Informed Neural Networks
[arXiv] 2026-05-11 | Useful for Exploration, Risky for Precision: Evaluating AI Tools in Academic Research
[arXiv] 2026-05-11 | Complex-Valued Phase-Coherent Transformer
[arXiv] 2026-05-11 | Reionization History and Neutrino Mass
[arXiv] 2026-05-11 | SkillRAE: Agent Skill-Based Context Compilation for Retrieval-Augmented Execution
[arXiv] 2026-05-11 | CFSPMNet: Cross-subject Fourier-guided Spatial-Patch Mamba Network for EEG Motor Imagery Decoding in Stroke Patients
[arXiv] 2026-05-11 | Towards an End-To-End System for Real-Time Gesture Recognition from Surface Vibrations
[arXiv] 2026-05-11 | GLiNER-Relex: A Unified Framework for Joint Named Entity Recognition and Relation Extraction
[arXiv] 2026-05-11 | Arcane: An Assertion Reduction Framework through Semantic Clustering and MCTS-Guided Rule Exploring
[arXiv] 2026-05-11 | From Large Telescopes to the MUltiplexed Survey Telescope (MUST)
[arXiv] 2026-05-11 | Symmetry-Enforced Non-Hermitian Jarzynski Equality in an SU(2)-Rotated Family of Hybrid $\mathcal{PT}$--$\mathcal{APT}$ Systems
[arXiv] 2026-05-11 | Retrieve-then-Steer: Online Success Memory for Test-Time Adaptation of Generative VLAs
[arXiv] 2026-05-11 | TopoU-Net: a U-Net architecture for topological domains
[arXiv] 2026-05-11 | A cell-decomposition based path planner for 3D navigation in constrained workspaces
[arXiv] 2026-05-11 | FERA: Uncertainty-Aware Federated Reasoning for Large Language Models
[arXiv] 2026-05-11 | Active Testing of Large Language Models via Approximate Neyman Allocation
[arXiv] 2026-05-11 | ELF: Embedded Language Flows
[arXiv] 2026-05-11 | Mitigating residual foregrounds and systematic errors in SKA1-Low AA* EoR observations via Bayesian Gaussian Process Regression
[arXiv] 2026-05-11 | PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models
[arXiv] 2026-05-11 | Dynamic Skill Lifecycle Management for Agentic Reinforcement Learning
[arXiv] 2026-05-11 | Confidence-Guided Diffusion Augmentation for Enhanced Bangla Compound Character Recognition
[arXiv] 2026-05-11 | Shepherd: A Runtime Substrate Empowering Meta-Agents with a Formalized Execution Trace
[arXiv] 2026-05-11 | WildClawBench: A Benchmark for Real-World, Long-Horizon Agent Evaluation
[arXiv] 2026-05-11 | Beyond Red-Teaming: Formal Guarantees of LLM Guardrail Classifiers
[arXiv] 2026-05-11 | How Creatives Approach GenAI Image Generation: Tensions Between Structured Guidance, Self-Experimentation, and Creative Autonomy
[arXiv] 2026-05-11 | Chromatic thresholds for pairs of graphs
[arXiv] 2026-05-11 | Grounded or Guessing? LVLM Confidence Estimation via Blind-Image Contrastive Ranking
[arXiv] 2026-05-11 | Neural Weight Norm = Kolmogorov Complexity
[arXiv] 2026-05-11 | Local Private Information Retrieval: A New Privacy Perspective for Graph-Based Replicated Systems
[arXiv] 2026-05-11 | Some remarks on degeneracy of tridimensional tensors
[arXiv] 2026-05-11 | RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems
[arXiv] 2026-05-11 | Improving search efficiency via adaptive acquisition function selection in discrete black-box optimization
[arXiv] 2026-05-11 | Rethinking Agentic Search with Pi-Serini: Is Lexical Retrieval Sufficient?
[arXiv] 2026-05-11 | Exact steady states of interacting driven dissipative fermionic systems with hidden time-reversal symmetry
[arXiv] 2026-05-11 | Training-Free Cultural Alignment of Large Language Models via Persona Disagreement
[arXiv] 2026-05-11 | Search for long-term variability of HESS J1745-290
[arXiv] 2026-05-11 | Large Spectrum Models (LSMs): Decoder-Only Transformer-Powered Spectrum Activity Forecasting via Tokenized RF Data
[arXiv] 2026-05-11 | StartFlow: From Method Conception to Multi-Perspective Evaluation in UX Prototyping for Software Startups
[arXiv] 2026-05-11 | On periodic distributed representations using Fourier embeddings
[arXiv] 2026-05-11 | CLEF: EEG Foundation Model for Learning Clinical Semantics
[arXiv] 2026-05-11 | Probing Cross-modal Information Hubs in Audio-Visual LLMs
[arXiv] 2026-05-11 | NanoResearch: Co-Evolving Skills, Memory, and Policy for Personalized Research Automation
[arXiv] 2026-05-11 | Mistake-Bounded Language Generation
[arXiv] 2026-05-11 | PhyGround: Benchmarking Physical Reasoning in Generative World Models
[arXiv] 2026-05-11 | Reasoning Is Not Free: Robust Adaptive Cost-Efficient Routing for LLM-as-a-Judge
[arXiv] 2026-05-11 | The Last Word Often Wins: A Format Confound in Chain-of-Thought Corruption Studies
[arXiv] 2026-05-11 | Interpretable Machine Learning for Football Performance Analysis: Evidence of Limited Transferability from Elite Leagues to University Competition
[arXiv] 2026-05-11 | ComplexMCP: Evaluation of LLM Agents in Dynamic, Interdependent, and Large-Scale Tool Sandbox
[arXiv] 2026-05-11 | LITMUS: Benchmarking Behavioral Jailbreaks of LLM Agents in Real OS Environments
[arXiv] 2026-05-11 | When Does Sparsity Help for k-Independent Set in Hypergraphs and Other Boolean CSPs?
[arXiv] 2026-05-11 | GridProbe: Posterior-Probing for Adaptive Test-Time Compute in Long-Video VLMs
[arXiv] 2026-05-11 | Lyapunov Exponents as Duality-Invariant Signatures of Critical States
[arXiv] 2026-05-11 | AdaPaD: Adaptive Parallel Deflation for PEFT with Self-Correcting Rank Discovery
[arXiv] 2026-05-11 | Anomalous and diode Josephson effect in junctions with inhomogeneous ferromagnetic barrier and interfacial Rashba spin-orbit coupling
[arXiv] 2026-05-11 | Vacuum and thermal fluctuations of a scalar field with point interactions
[arXiv] 2026-05-11 | Selective Placement of Hollow-Core Fibers for QKD and Classical Communication Coexistence
[arXiv] 2026-05-11 | AllocMV: Optimal Resource Allocation for Music Video Generation via Structured Persistent State
[arXiv] 2026-05-11 | Regularized Master-Field Approximation for Large-$N$ Reduced Matrix Models
[arXiv] 2026-05-11 | Optical selection rules in hexagonal Ge polytypes and their lifting by symmetry perturbation
[arXiv] 2026-05-11 | xApp Empowered Resource Management for Non-Terrestrial Users in 5G O-RAN Networks
[arXiv] 2026-05-11 | ChatGPT: Friend or Foe When Comprehending and Changing Unfamiliar Code
[arXiv] 2026-05-11 | The Bystander Effect in Multi-Agent Reasoning: Quantifying Cognitive Loafing in Collaborative Interactions
[arXiv] 2026-05-11 | How Fusion-Born Alpha Particles Suppress Microturbulence in Burning Plasmas
[arXiv] 2026-05-11 | Local topological order, Haag duality, and reflection positivity
[arXiv] 2026-05-11 | On the Simulation Cost of Quantum Finite Automata
[arXiv] 2026-05-11 | When Should Teachers Control AI Generation for Mathematics Visuals?
[arXiv] 2026-05-11 | Why Zeroth-Order Adaptation May Forget Less: A Randomized Shaping Theory
[arXiv] 2026-05-11 | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables
[arXiv] 2026-05-11 | Demystifying Deep Reinforcement Learning: A Neuro-Symbolic Framework for Interpretable Open RAN Automation
[arXiv] 2026-05-11 | Towards Understanding Continual Factual Knowledge Acquisition of Language Models: From Theory to Algorithm
[arXiv] 2026-05-11 | Hierarchical Causal Abduction: A Foundation Framework for Explainable Model Predictive Control
[arXiv] 2026-05-11 | The Dirac field in LRS space-times: a covariant approach
[arXiv] 2026-05-11 | Indirect Comparisons For Health Technology Assessment: A Practical Methodological Guide And Tips With Insights From The French Transparency Commission
[arXiv] 2026-05-11 | MulTaBench: Benchmarking Multimodal Tabular Learning with Text and Image
[arXiv] 2026-05-11 | Re-Triggering Safeguards within LLMs for Jailbreak Detection
[arXiv] 2026-05-11 | On the origin of variability in $α$ Cygni variable $ε$ Ori (HD 37128) using TESS observations and modelling
[arXiv] 2026-05-11 | Stochastic curve shortening flow driven by a transport-type pure jump Lévy noise
[arXiv] 2026-05-11 | Measuring Embedding Sensitivity to Authorial Style in French: Comparing Literary Texts with Language Model Rewritings
[arXiv] 2026-05-11 | Fairness vs Performance: Characterizing the Pareto Frontier of Algorithmic Decision Systems
[arXiv] 2026-05-11 | Segment Anything with Robust Uncertainty-Accuracy Correlation
[arXiv] 2026-05-11 | Budget-Efficient Automatic Algorithm Design via Code Graph
[arXiv] 2026-05-11 | Amortizing Causal Sensitivity Analysis via Prior Data-Fitted Networks
[arXiv] 2026-05-11 | Thinking with Novel Views: A Systematic Analysis of Generative-Augmented Spatial Intelligence
[arXiv] 2026-05-11 | Astrons: Reissner-Nordström Primordial Naked Singularities
[arXiv] 2026-05-11 | Ultra-Fast Quantum Control via Non-Adiabatic Resonance Windows: A 9x Speed-up on 127-Qubit IBM Processors
[arXiv] 2026-05-11 | LLM Jaggedness Unlocks Scientific Creativity
[arXiv] 2026-05-11 | Exponential Noise Robustness of Type-Based Multiple Access for Over-the-Air Computation
[arXiv] 2026-05-11 | Can magnetic reconnection power neutrino emission from AGN coronae?
[arXiv] 2026-05-11 | Observational Properties of Nonthermal Emission from Relativistic Jets Escaping Active Galactic Nucleus Disks
[arXiv] 2026-05-11 | Infinitesimal Rigidity of Cyclic Surfaces and Alternating Surfaces
[arXiv] 2026-05-11 | Multi-domain Multi-modal Document Classification Benchmark with a Multi-level Taxonomy
[arXiv] 2026-05-11 | Analytic Continuation Between Real- and Imaginary-Time Quantum Dynamics and the Fundamental Instability of Inverse Reconstruction
[arXiv] 2026-05-11 | Where Does Long-Context Supervision Actually Go? Effective-Context Exposure Balancing
[arXiv] 2026-05-11 | Bridging Sequence and Graph Structure for Epigenetic Age Prediction
[arXiv] 2026-05-11 | Keeping track of errors: A study of SHACL-DS for RDF dataset validation on the ERA RINF Knowledge Graph
[arXiv] 2026-05-11 | Data-driven body-centered cubic phase prediction in cobalt free high-entropy alloys
[arXiv] 2026-05-11 | Collective Alignment in LLM Multi-Agent Systems: Disentangling Bias from Cooperation via Statistical Physics
[arXiv] 2026-05-11 | UniRank: Unified List-wise Reranking via Confidence-Ordered Denoising
[arXiv] 2026-05-11 | DuetFair: Coupling Inter- and Intra-Subgroup Robustness for Fair Medical Image Segmentation
[arXiv] 2026-05-11 | CMKL: Modality-Aware Continual Learning for Evolving Biomedical Knowledge Graphs
[arXiv] 2026-05-11 | Study of the Superradiance Phenomenon in the $α$--attractor Potential using the Log Derivative Method
[arXiv] 2026-05-11 | Zero-couplings of infinite measures with cyclically monotone support and multivariate regular variation
[arXiv] 2026-05-11 | VEGA: Visual Encoder Grounding Alignment for Spatially-Aware Vision-Language-Action Models
[arXiv] 2026-05-11 | Laser-induced demagnetization in a MAX phase (Cr0.5Mn0.5)2GaC
[arXiv] 2026-05-11 | Priority-Driven Control and Communication in Decentralized Multi-Agent Systems via Reinforcement Learning
[arXiv] 2026-05-11 | Safe Multi-Agent Behavior Must Be Maintained, Not Merely Asserted: Constraint Drift in LLM-Based Multi-Agent Systems
[arXiv] 2026-05-11 | Formally Verifying Analog Neural Networks Under Process Variations Using Polynomial Zonotopes
[arXiv] 2026-05-11 | Automated Detection of Abnormalities in Zebrafish Development
[arXiv] 2026-05-11 | The Renaissance of Repair: A Timely Opportunity for Fabrication Research
[arXiv] 2026-05-11 | Automated high-frequency quantification of fish communities and biomass using computer vision
[arXiv] 2026-05-11 | Real vs. Semi-Simulated: Rethinking Evaluation for Treatment Effect Estimation
[arXiv] 2026-05-11 | Physical probes expose and alleviate chemical-environment collapse in molecular representations
[arXiv] 2026-05-11 | A Taxonomy of Event-Linked Perpetual Futures: Variant Designs Beyond the Single-Market Binary Case
[arXiv] 2026-05-11 | CoWorld-VLA: Thinking in a Multi-Expert World Model for Autonomous Driving
[arXiv] 2026-05-11 | Quantum Correlations of Neutrinos in the Kerr-Newman Space-time
[arXiv] 2026-05-11 | Aligning LLM Uncertainty with Human Disagreement in Subjectivity Analysis
[arXiv] 2026-05-11 | Remember to Forget: Gated Adaptive Positional Encoding
[arXiv] 2026-05-11 | Equilibrium Residuals Expose Three Regimes of Matrix-Game Strategic Reasoning in Language Models
[arXiv] 2026-05-11 | Identified-Set Geometry of Distributional Model Extraction under Top-$K$ Censored API Access
[arXiv] 2026-05-11 | Position: Life-Logging Video Streams Make the Privacy-Utility Trade-off Inevitable
[arXiv] 2026-05-11 | hp-Finite Elements for Elastoplasticity
[arXiv] 2026-05-11 | Phoenix-VL 1.5 Medium Technical Report
[arXiv] 2026-05-11 | Temporal Sampling Frequency Matters: A Capacity-Aware Study of End-to-End Driving Trajectory Prediction
[arXiv] 2026-05-11 | Layer-antisymmetric pair-phase resonance at the bonding-antibonding splitting in the AA-stacked bilayer attractive Hubbard model
[arXiv] 2026-05-11 | SleepWalk: A Three-Tier Benchmark for Stress-Testing Instruction-Guided Vision-Language Navigation
[arXiv] 2026-05-11 | Amortized Asynchronous Byzantine Reliable Broadcast with Optimal Resilience
[arXiv] 2026-05-11 | Approximate Envy-Free Allocations up to any $k$ Goods
[arXiv] 2026-05-11 | A Factorization Theorem for Forest Algebras
[arXiv] 2026-05-11 | DeepLévy: Learning Heavy-Tailed Uncertainty in Highly Volatile Time Series
[arXiv] 2026-05-11 | Learning-Based Spectrum Cartography in Low Earth Orbit Satellite Networks: An Overview
[arXiv] 2026-05-11 | Portable Active Learning for Object Detection
[arXiv] 2026-05-11 | PaperFit: Vision-in-the-Loop Typesetting Optimization for Scientific Documents
[arXiv] 2026-05-11 | An Annotation Scheme and Classifier for Personal Facts in Dialogue
[arXiv] 2026-05-11 | Fifth-Force Constraints from UV-Complete Scalar-Tensor Gravity
[arXiv] 2026-05-11 | PowerStep: Memory-Efficient Adaptive Optimization via $\ell_p$-Norm Steepest Descent
[arXiv] 2026-05-11 | BB plot: A Tool for Accurate Model Selection Using Bayes factors
[arXiv] 2026-05-11 | EmbodiSkill: Skill-Aware Reflection for Self-Evolving Embodied Agents
[arXiv] 2026-05-11 | Fast Training of Mixture-of-Experts for Time Series Forecasting via Expert Loss Integration
[arXiv] 2026-05-11 | ANCHOR: Abductive Network Construction with Hierarchical Orchestration for Reliable Probability Inference in Large Language Models
[arXiv] 2026-05-11 | Statistical mechanics of the $N$-queens problem
[arXiv] 2026-05-11 | On Talagrand's Convexity Conjecture
[arXiv] 2026-05-11 | Natural Policy Gradient as Doubly Smoothed Policy Iteration: A Bellman-Operator Framework
[arXiv] 2026-05-11 | An agentic framework for gravitational-wave counterpart association in the multi-messenger era
[arXiv] 2026-05-11 | TrajPrism: A Multi-Task Benchmark for Language-Grounded Urban Trajectory Understanding
[arXiv] 2026-05-11 | Can Agent Benchmarks Support Their Scores? Evidence-Supported Bounds for Interactive-Agent Evaluation
[arXiv] 2026-05-11 | Initiation of Interaction Detection Framework using a Nonverbal Cue for Human-Robot Interaction
[arXiv] 2026-05-11 | Fashion130K: An E-commerce Fashion Dataset for Outfit Generation with Unified Multi-modal Condition
[arXiv] 2026-05-11 | Uncertainty in Physics and AI: Taxonomy, Quantification, and Validation
[arXiv] 2026-05-11 | Micro-environment of the Eu interstitial in $β$-SiAlON:Eu$^{2+}$ green phosphor
[arXiv] 2026-05-11 | Light-front Hamiltonian jet evolution in the Glasma
[arXiv] 2026-05-11 | A Single-Molecule Spin-Photon Interface
[arXiv] 2026-05-11 | Exponential Decay of $L^2$-Solutions to Stochastic Nonlinear Schrödinger Equations Driven by Continuous Martingales
[arXiv] 2026-05-11 | DECO-MWE: building a linguistic resource of Korean multiword expressions for feature-based sentiment analysis
[arXiv] 2026-05-11 | Characterizing the Generalization Error of Random Feature Regression with Arbitrary Data-Augmentation
[arXiv] 2026-05-11 | Sample-Mean Anchored Thompson Sampling for Offline-to-Online Learning with Distribution Shift
[arXiv] 2026-05-11 | Predictive Radiomics for Evaluation of Cancer Immune SignaturE in Glioblastoma: the PRECISE-GBM study
[arXiv] 2026-05-11 | Minimal homogeneous submanifolds of complex hyperbolic spaces
[arXiv] 2026-05-11 | Polarization-sensitive tunable extraordinary terahertz transmission based on a hybrid metal-vanadium dioxide metasurface
[arXiv] 2026-05-11 | Transition region-induced kinetic Alfven wave conversion. Electric displacement field
[arXiv] 2026-05-11 | Increasing the Efficiency of DETR for Maritime High-Resolution Images
[arXiv] 2026-05-11 | Design and in-orbit calibration of the MXT optics
[arXiv] 2026-05-11 | Comparing Qubit and Qudit Encodings for EV Charging and Trip Assignment Problems
[arXiv] 2026-05-11 | From branching quasiflats to flats in CAT(0) cube complexes
[arXiv] 2026-05-11 | Teaching LLMs to See Graphs: Unifying Text and Structural Reasoning
[arXiv] 2026-05-11 | Polarized cylinders on blow-ups of weighted projective planes
[arXiv] 2026-05-11 | Local supersolid in moiré modulated Bose-Hubbard model using density-matrix renormalization group method
[arXiv] 2026-05-11 | Route Before Retrieve: Activating Latent Routing Abilities of LLMs for RAG vs. Long-Context Selection
[arXiv] 2026-05-11 | FORGE: Fragment-Oriented Ranking and Generation for Context-Aware Molecular Optimization
[arXiv] 2026-05-11 | FLARE: Full-Modality Long-Video Audiovisual Retrieval Benchmark with User-Simulated Queries
[arXiv] 2026-05-11 | Thermal Deformation Reduction in High-Power Interferometry with Higher-Order Laser Modes
[arXiv] 2026-05-11 | The Impact of Editorial Intervention on Detecting Native Language Traces
[arXiv] 2026-05-11 | Isolating Broadband Radio Technosignatures (BRaTs): A Framework for Detecting Planetary-Scale Leakage
[arXiv] 2026-05-11 | One-dimensional relativistic hydrogen-like atom in Dirac materials: Energy spectra and supercritical states
[arXiv] 2026-05-11 | LASAR: Latent Adaptive Semantic Aligned Reasoning for Generative Recommendation
[arXiv] 2026-05-11 | TRACE: Distilling Where It Matters via Token-Routed Self On-Policy Alignment
[arXiv] 2026-05-11 | LegalCiteBench: Evaluating Citation Reliability in Legal Language Models
[arXiv] 2026-05-11 | DynGhost: Temporally-Modelled Transformer for Dynamic Ghost Imaging with Quantum Detectors
[arXiv] 2026-05-11 | Balancing Efficiency and Fairness in Traffic Light Control through Deep Reinforcement Learning
[arXiv] 2026-05-11 | Reconstructing rare particle source by femtoscopic correlations
[arXiv] 2026-05-11 | Active-SAOOD: Active Sparsely Annotated Oriented Object Detection in Remote Sensing Images
[arXiv] 2026-05-11 | OUIDecay: Adaptive Layer-wise Weight Decay for CNNs Using Online Activation Patterns
[arXiv] 2026-05-11 | Unsupervised Process Reward Models
[arXiv] 2026-05-11 | APEX: Audio Prototype EXplanations for Classification Tasks
[arXiv] 2026-05-11 | Online Learning-Based Control with Guaranteed Error Bounds for a Class of Nonlinear Systems
[arXiv] 2026-05-11 | Improving Temporal Action Segmentation via Constraint-Aware Decoding
[arXiv] 2026-05-11 | The Nitsche--Hopf conjecture for minimal graphs
[arXiv] 2026-05-11 | Concentration effects and $Γ$-limit for the elastica functional for open and closed curves
[arXiv] 2026-05-11 | Synthetic Pre-Pre-Training Improves Language Model Robustness to Noisy Pre-Training Data
[arXiv] 2026-05-11 | MicroWorld: Empowering Multimodal Large Language Models to Bridge the Microscopic Domain Gap with Multimodal Attribute Graph
[arXiv] 2026-05-11 | Scaling the Memory of Balanced Adam
[arXiv] 2026-05-11 | Randomly Shifted Steinhaus Longimeters and Buffon Discrepancy
[arXiv] 2026-05-11 | Learning to Compress and Transmit: Adaptive Rate Control for Semantic Communications over LEO Satellite-to-Ground Links
