[2026-06-15 15:16:43] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-14
正在获取论文...
[ACM] 2026-6-14 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
[ACM] 2026-6-15 | Lumina: Seasonal Color Analysis System with Explainable Machine Learning
[ACM] 2026-6-15 | AI Exposure, Role Change, and Innovation Behaviour in a Large Norwegian Bank: A Job Demands--Resources Perspective
[ACM] 2026-6-15 | Comparative Analysis of Algorithms and Implementation for Course Recommendation System
[ACM] 2026-6-15 | Enhancing AI Chatbots for Privacy Compliance: Implementing a Prototype for Retrieving Regulations from EU GDPR, Thailand PDPA, and Australian APPs through Local LLMs and RAG Techniques
[ACM] 2026-6-15 | Coexistence RAVE: Relational Attunements, Vibrations &amp; Entanglements
[ACM] 2026-6-15 | Cross-View Collaborative Recommendation with Multimodal and Multi-Scale User Behaviors
[ACM] 2026-6-15 | YDANet: Leveraging YCbCr Color Space and Dual-Path Attention Network for Depth Completion
[ACM] 2026-6-15 | Melodies of Coexistence: Community Music and Stop-Motion Animation Workshop for Family Dialogue in Suburban China
[ACM] 2026-6-15 | KOPNet++: Ordinal Contrastive Learning for Intermediate-Stage Detection in Knee Osteoporosis Grading
[ACM] 2026-6-15 | Hybrid GCN-LSTM for Privacy-Preserving Fall Detection in Human Pose-Based Elderly Monitoring Systems
[ACM] 2026-6-15 | DocForensic: A VMamba-Wavelet Cross-Attention Network for Document Image Tampering Localization
[ACM] 2026-6-15 | Discovery of Visually Novel Content in Developing News Stories
[ACM] 2026-6-15 | MAFNet: Multi-frequency Adaptive Fusion Network for Real-time Stereo Matching
[ACM] 2026-6-15 | Query-Guided Conflict Inference and Incongruity-Aware Alignment for Implicit Hate Speech Detection in Videos
[ACM] 2026-6-15 | Efficient Rationale-based Retrieval: On-policy Distillation from Generative Rerankers based on JEPA
[ACM] 2026-6-15 | Machine Learning-Based Prediction of Settled Water Turbidity for Optimizing Alum Dosage in Drinking Water Treatment
[ACM] 2026-6-15 | Phebe: A Multi-Agent Natural Language Interface for Interactive Data Visualization
[ACM] 2026-6-15 | Data Localization in Practice: A Network Benchmarking Study of Cloud Compliance Costs for Thai Public Sector
[ACM] 2026-6-15 | BSR-CLIP: Background-Calibrated Structural Reasoning for Zero-Shot Visual-Language Anomaly Detection
[ACM] 2026-6-15 | VideoCreator: An Agentic System for Multi-turn Video Production
[ACM] 2026-6-15 | Towards Scalable and Adaptive Multi-Teacher Distillation for Text-to-Video Retrieval
[ACM] 2026-6-15 | Playful Public Interactions for Unfolding Conversations about Digital Health
[ACM] 2026-6-15 | Reworlding Milano
[ACM] 2026-6-15 | Pluriversal Mapping
[ACM] 2026-6-14 | When Memes Manipulate: Multimodal Tools of Disinformation
[ACM] 2026-6-15 | Exploring Peace, Dialogue and Coexistence. Situated Actions in Milan and Worldwide
[ACM] 2026-6-15 | Enhancing LLM Tutors with Retrieval-Augmented Generation and Chain-of-Verification for Curriculum-Grounded Formative Feedback: A Case Study on Thai Health Education
[ACM] 2026-6-15 | Scenes of the Unseen
[ACM] 2026-6-15 | Prompt Compression for Diffusion Large Language Models: An Empirical Evaluation of LLMLingua-2 and LLaDA
[ACM] 2026-6-15 | Prototyping Place-based Pathways towards Peace Cultivating Change through Counterstorying
[ACM] 2026-6-15 | Stock Price Prediction from Multi Data Sources Using LSTM, FinBERT and BERTweet
[ACM] 2026-6-15 | FreSCo: Joint Frequency-Aware and Spatial Control for Image Zero-Shot Style Transfer
[ACM] 2026-6-15 | More-Than-Human and Long-Term Living Together
[ACM] 2026-6-15 | Utopian Epistles on Dissent, Disagreement, and Disillusionment
[ACM] 2026-6-15 | Real-Time Monitoring and Analysis of Rehabilitation Exercises from a Smartphone Camera Video Stream
[ACM] 2026-6-15 | CompArt: Operationalizing Aesthetic Alignment in Text-to-Image Generation via Principles of Art
[ACM] 2026-6-15 | Realistic Virtual Flood Experience System Using 360° Videos and 3D City Models Constructed from Building Footprints
[ACM] 2026-6-14 | How AI-Based Regeneration Reshapes Multimedia Forensics
[ACM] 2026-6-15 | Walkshopping Parco La Goccia's Pasts, Presents and Futures
[ACM] 2026-6-15 | The Living Territory
[ACM] 2026-6-15 | Hallucination in Retrieval-Augmented Generation is a Context Construction Problem: A Constraint-Driven Cross-Modal Framework
[ACM] 2026-6-15 | Machine Learning Models for Multi-Horizon Classification of Bitcoin Future Price Movements
[ACM] 2026-6-15 | Practicing in the Field: Workshops, Situated Actions, and PDC Places
[ACM] 2026-6-15 | Stage-Aware Detection of Altcoin Price Bubbles Using Attention-Based LSTM and Multi-Source Sentiment Signals
[ACM] 2026-6-15 | Guardians of the Mangrove
[ACM] 2026-6-15 | Confessions of a Participatory Designer: Navigating Values Misalignment in Co-design Practice
[ACM] 2026-6-15 | VFGS-Net: Frequency-Guided State-Space Learning for Topology-Preserving Retinal Vessel Segmentation
[ACM] 2026-6-14 | Generative Deepfake Videos in the Foundation-Model Era: A Timeline of Eroding Trust in Visual Evidence
[ACM] 2026-6-15 | A Validation and Governance Framework for Multi-Agent LLM Scientific Software Development
[ACM] 2026-6-15 | Modelfile Engineering for Offline B2 English Tutoring
[ACM] 2026-6-15 | Evidence Retention Is Not Sufficient for Answerability: A Diagnostic Study of Context Budgeting for Small Language Model RAG
[ACM] 2026-6-15 | Reimagining Oppression to Progression through Collaborative Collage Making
[ACM] 2026-6-15 | Source-Level Detection of Private Data Collection Misuse and Build-Preserving Mitigation of Write-Transaction Return Leakage in LLM-Generated Hyperledger Fabric Chaincode
[ACM] 2026-6-14 | In Code They Think; In Proof We Trust
[ACM] 2026-6-14 | RoPe-DW: Robust and Perceptual Dual Watermarking for Secure AI-Generated Multimedia Content
[ACM] 2026-6-15 | Exploring the Entanglement of Participatory Design, Spatiality and Place
[ACM] 2026-6-15 | A Gendered Lens to Designing with Care to Recognise the 'Other'
[ACM] 2026-6-15 | From Local Action to Global Impact: Companies as Peace Builders. Design Tools to Foster Positive Peace in Organizations
[ACM] 2026-6-15 | CARE: A Constraint-Aware Hypergraph Framework for Knowledge-Driven Event-Centric Retrieval
[ACM] 2026-6-15 | Skeleton-Guided Spatio-Temporal Video Representation for Long-Term Action Quality Assessment
[ACM] 2026-6-15 | Make Your Own Table: Places of Collective Making
共写入 181 条记录，保存到 papers/paper2026-06-14.json。
论文获取成功，文件路径: papers/paper2026-06-14.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 1/181 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 2/181 | Robustness Limits of Claim-Only Fact Verification: A Controlled Comparison of Classical, Neural, and Transformer Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 3/181 | PDC Place: A Collective Envisioning of the Next Chapter of Community-Based Research in Central Kentucky. We Are the Change We Have Been Waiting for in Kentucky
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 4/181 | Agent-as-an-Asset: A Virtual Marketplace on Blockchain for Distributed Agentic Workflows
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 5/181 | Beyond Optical Flow: Latent Micro-Motion as Visual Evidence in UAV Video
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 6/181 | Benchmarking MLLM-based Web Understanding: Reasoning, Robustness and Safety
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 7/181 | Visiting De Pastorie
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 8/181 | Digital Transformation Maturity Model for Higher Education Institutions: A Qualitative Analysis of Assessment Frameworks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 9/181 | Safe Space beyond Body: A Situated Action of Co-Creative Choreography through Drawing
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 10/181 | Virtue-Based Thai Folktale Recommendation with Ensemble LLMs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 11/181 | A comparison of local LLMs in paragraph decomposition context
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 12/181 | YOLO Based IoT Tracking for Academic Labs on Raspberry Pi
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 13/181 | Organizational Support as a Mediator: Understanding Security Behavior Toward Network-Connected Printers in the Workplace
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 14/181 | Challenging Extractive Participation: Spatiality, Power, and Lessons from PDC Places
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 15/181 | PURE: Probabilistic Utility for Robust Evidence in Multimodal Recommendation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 16/181 | From Physics to Representation: Audio Learning with Synthetic Pre-training via Procedural Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 17/181 | Contestable Multi-Agent Debate with Arena-based Argumentative Computation for Multimedia Verification
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 18/181 | Towards Dynamic QR Representation of Large Verifiable Documents via IPFS Driven Decentralized Storage and Blockchain State Commitments
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 19/181 | A Systematic Review and Empirical Validation of Intelligent Machine Learning–Based Soft Sensor Frameworks for Biochemical Oxygen Demand Estimation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 20/181 | Design Happening: Immersive Design Research Lab (IDRL), Downtown Long Beach
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 21/181 | ICMF-Net: Interactive Cross-Modal Fusion with Attention and Selection Network for Remote Sensing Object Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 22/181 | Retrieval-Augmented Camera Control for Video Diffusion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 23/181 | OOWM: Structuring Embodied Reasoning and Planning via Object-Oriented Programmatic World Modeling
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 24/181 | Automated In-the-Wild Data Collection for Continual AI Generated Image Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 25/181 | Calibrate and Aggregate: Cross-Modal Retrieval with Distribution Alignment and Token Reduction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 26/181 | Proceedings of the 19th Participatory Design Conference 2026, Vol. 3: Workshops, Situated Actions, and PDC Places
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 27/181 | A Comparative Study of Deep Reinforcement Learning Agents for Gold Trading with Technical Indicators and LLM-Filtered News Sentiment
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 28/181 | Geometry-Aware Foundation Makeup Simulation Using Radiative Transfer Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 29/181 | Digital Participatory Toolkit for Conflict-Sensitive Planning in Mining Regions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 30/181 | Dispositivos Placeros: Voices of Resistance from Marketplaces in Colombia, Italy and Taiwan
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 31/181 | Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 32/181 | Detecting Audio-Text Decontextualization through Entailment and Semantic Analysis
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 33/181 | Backbone Selection for Packaging Defect Classification: A Controlled Study of Accuracy, Robustness, and Computational Efficiency
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 34/181 | Towards a data model for mapping the Personal Data Protection Act (PDPA) of Thailand onto the European General Data Protection Regulation (GDPR)
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 35/181 | Optimization of Long-Running Media Aggregation Queries
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 36/181 | BL-UDA: Towards Unsupervised Domain-Adaptive Surgical Instrument Segmentation with Source Box Labels
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 37/181 | DeepVerify: The End-to-end Software for Evidence-Based Multi-Modal Online Information Verification with Explainable Reasoning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 38/181 | Hidden in Plain Sight: Occlusion Edge Blur as a Perceptual Blind Spot in Multimodal LLMs
