[2026-08-06 11:23:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-05
正在获取论文...
[arXiv] 2026-08-05 | Coupled quintessence from an axion dark sector
[arXiv] 2026-08-05 | A Modular Part-of-Speech Tagger for Scottish Gaelic using spaCy
[arXiv] 2026-08-05 | Spatial distribution of water ice in the protoplanetary silhouette disk d216-0939
[arXiv] 2026-08-05 | Explicit Hamiltonian Classification in the $F_4(0)$ Toric Degeneration of $CP^2$
[arXiv] 2026-08-05 | Optimal Life Insurance Decision in Mean-Variance DC Management with Mortality Improvements
[arXiv] 2026-08-05 | FocusMem: Factorizing Content, Readout, and Trust in Latent GUI Memory
[arXiv] 2026-08-05 | Checked-In Secret Detection: Strings Are All You Need
[arXiv] 2026-08-05 | Critical and multicritical Kasner scaling in holographic phase transitions
[arXiv] 2026-08-05 | RESPClinBench: Benchmarking Multimodal Clinical Decision-Making and Longitudinal Disease Management in Respiratory Specialty Care
[arXiv] 2026-08-05 | GeoReward: Mitigating Contextual Variable Overestimation in Vision-Language Models for Cross-Market Preference Prediction
[arXiv] 2026-08-05 | AFD-Ledger: Deployment Provisioning for Attention--FFN Disaggregation
[arXiv] 2026-08-05 | Even more properties of parity based bit-counting complexity classes
[arXiv] 2026-08-05 | AudioScape-TTA: A Structured Soundscape Benchmark for Fine-Grained Text-to-Audio Evaluation
[arXiv] 2026-08-05 | Liouville-type theorems for coupled-drift Monge-Ampère equations
[arXiv] 2026-08-05 | Tropical Algebraic Geometry for Neuronal Representations: An Arakelov-Green Measure Based Descriptor for Graph Learning
[arXiv] 2026-08-05 | Beyond Global Routing Aggregation: Phase-Aware Expert Merging for MoE Vision-Language Models
[arXiv] 2026-08-05 | Interfacial dynamics and energy cascade in immiscible Rayleigh-Taylor turbulence
[arXiv] 2026-08-05 | ExeCRE: Execution-Consistency Guided Reliability Estimation for Self-Correcting Code Generation
[arXiv] 2026-08-05 | OmniRouting: A Semantic-Coupled Multimodal Benchmark for Constraint-Aware Spatial Reasoning in PCB Routing
[arXiv] 2026-08-05 | MERaLiON-GR: Speech Gender Recognition Model for English and SEA Languages
[arXiv] 2026-08-05 | The Price of Isolation: Estimating the Ecosystem Cost of Symmetric Two-Sided A/B Testing
[arXiv] 2026-08-05 | SCOPE: Field-of-View-Aware Path Planning in Unknown 3D Environments via Safety-Volume Certification
[arXiv] 2026-08-05 | Monolithic integration of optically anisotropic GeSe-based films on GaAs by templated solid-phase epitaxy
[arXiv] 2026-08-05 | Preference-Driven Online Adaptation for Personalized Interaction Initiation in Proactive AI Assistants
[arXiv] 2026-08-05 | Quantifying Different Gains from Trade in Quality
[arXiv] 2026-08-05 | Not Every Divergence Should Be Suppressed: Counterfactual Recoverability in On-Policy Distillation
[arXiv] 2026-08-05 | Incremental Aggregation on the Grassmannian for Asynchronous Eigenspace Computation
[arXiv] 2026-08-05 | Long-Time Dynamics and Modified Scattering for the Coulomb Vlasov--Hartree System
[arXiv] 2026-08-05 | Reliable and efficient steady CFD from surrogate predictions through Newton-Krylov correction
[arXiv] 2026-08-05 | Zero-Clustering Geometry in Realistic Fractional Quantum Hall Wave Functions
[arXiv] 2026-08-05 | NeuroPB: Scaling Neural Decoding with Pretrained Behavioral Representations
[arXiv] 2026-08-05 | Outage Analysis of Platoon-Head Selection for Vehicle Platooning in V2X Networks
[arXiv] 2026-08-05 | Non-asymptotic implicit bias of logistic regression at early-stage gradient descent dynamics
[arXiv] 2026-08-05 | Large Language Models and Social Media Information Integrity: Opportunities, Challenges, and Research Directions
[arXiv] 2026-08-05 | Combating Knowledge Corruption in Agent Systems: A Byzantine-Tolerant Secure Collaborative RAG Framework
[arXiv] 2026-08-05 | Polarization-resolved attosecond gamma-ray emission from few-cycle laser interactions with cone targets
[arXiv] 2026-08-05 | Wilson surface correlator in AdS/CFT
[arXiv] 2026-08-05 | Revisiting the equation of state of dark energy from DESI BAO with SNe Ia and CMB
[arXiv] 2026-08-05 | Looking in the Mirror: Introspecting Side-Effect Misalignments Induced by Fine-Tuning
[arXiv] 2026-08-05 | Kubo Ando Means on the Cone of J Hermitian Matrices
[arXiv] 2026-08-05 | Design and Flight of an Ion-propelled Micro Hovercraft Leveraging Ground Proximity Effects
[arXiv] 2026-08-05 | Continuous Improvement and Parallel Autonomous Exploration: An LLM-Agent Framework for Searching Large Solution Spaces
[arXiv] 2026-08-05 | GPU-Resident CUDA Acceleration for OCUDU 5G PHY and O-RAN Fronthaul: Architecture and Preliminary Performance
[arXiv] 2026-08-05 | Real-time probabilistic tsunami forecasting via generative AI
[arXiv] 2026-08-05 | He'e-Lab: A modular testbed for astrophotonics and wavefront sensing development
[arXiv] 2026-08-05 | Fixed-Point Characterisations of Extremal Distributions under Partial Distributional Constraints
[arXiv] 2026-08-05 | Structured LLM Reasoning for Zero-Shot Human--Robot Coordination Under Hidden Goals
[arXiv] 2026-08-05 | Regional Chaos Synchronization towards controlling high-dimensional open environmental systems
[arXiv] 2026-08-05 | A fractional quantum Hall factory on quantum processors: constant-depth preparation of clustered non-Abelian states
[arXiv] 2026-08-05 | The Loss Does Not See the Basis, but Adam Does
[arXiv] 2026-08-05 | Tetrahedral linkage as an intrinsic measure of glycan antifreeze behavior
[arXiv] 2026-08-05 | Correlation-based Modeling of Seismic Newtonian Noise in Half-Space and Full-Space Media
[arXiv] 2026-08-05 | The crossmetric tensor and the geometrical meaning of the imaginary numbers
[arXiv] 2026-08-05 | Stable Density Ridges: Consistency and Convergence of Subspace Constrained Mean Shift
[arXiv] 2026-08-05 | Reward Structure Shapes the Interaction Between Episodic Exploration and Neural Memory in Reinforcement Learning
[arXiv] 2026-08-05 | AI-based single-shot structured-light depth reconstruction for real-time laparoscopic surgical guidance
[arXiv] 2026-08-05 | Agent Against Agent: An Agentic System for Automatic Prompt Injection Red Teaming
[arXiv] 2026-08-05 | CoPlan: A Trustworthy Co-Intelligence Interface for Care Planning through Role-Based Contestable Argument Graphs
[arXiv] 2026-08-05 | Generalized Glauber theorem for dark-matter axion and graviton detection
[arXiv] 2026-08-05 | A point-free theory of quantitative homogenization
[arXiv] 2026-08-05 | Bag-of-Visual-Words for Spatial Mapping of Lung Adenocarcinoma Growth Patterns
[arXiv] 2026-08-05 | If it is Good Then Drop it -- a Spiteful Poisson Process for Submodular Maximization
[arXiv] 2026-08-05 | Exact Model-Free Policy Iteration for Co-safe LTL Planning
[arXiv] 2026-08-05 | Preparation geometry and slow-sector routing in driven Kerr resonators: an operational spectral theory of Liouvillians
[arXiv] 2026-08-05 | Gradient Immunity: Null-Space Resistance to Malicious Fine-Tuning
[arXiv] 2026-08-05 | Decision Making Under Multidimensional Risk
[arXiv] 2026-08-05 | BridgeVLA++: A Data-Efficient, Generalizable, and Memory-Augmented Vision-Language-Action Framework for 3D Manipulation
[arXiv] 2026-08-05 | Inverse Geometric Diffraction by a Cone
[arXiv] 2026-08-05 | The Greedy Binary Search Tree is Non-trivially Competitive
[arXiv] 2026-08-05 | From normal Lindbladians to non-normal quantum trajectories
[arXiv] 2026-08-05 | Decentralization of Agenda-Setting Power and Domain-Selective Bridging: Algorithm Design Beyond the Echo Chamber Debate
[arXiv] 2026-08-05 | A Walk with Goodstein and Ackermann
[arXiv] 2026-08-05 | From Transparent Labware Segmentation to Collision Avoidance: A Real-Time Edge-Aware Perception Pipeline
[arXiv] 2026-08-05 | Explicit Language Memory for Long-Horizon Planning in Vision-Language-Action Models
[arXiv] 2026-08-05 | Splat-Based Metal Artifact Reduction in Cone-Beam CT via Compact Attenuation Modeling
[arXiv] 2026-08-05 | EviGraph: Evidence-Guided Autonomous Research Agents
[arXiv] 2026-08-05 | Holonomy Asymptotics along Quartic Differential Rays
[arXiv] 2026-08-05 | Extinction Time Estimate for Subcritical (Binary) Homogeneous Crump-Mode-Jagers Processes
[arXiv] 2026-08-05 | LiverPlan: A Stage-Adaptive Immersive Visual Analytics Framework for Anatomical Liver Surgical Planning
[arXiv] 2026-08-05 | A Multi-Sensor Dataset for Monitoring the Operational Environment of Rail Vehicles
[arXiv] 2026-08-05 | Resonances and string point invertibility for compact rank one symmetric spaces
[arXiv] 2026-08-05 | Supporting the understanding of ontologies for scientific knowledge graphs with the new version of LODE
[arXiv] 2026-08-05 | Time-resolved THz Stark spectroscopy of molecules in water
[arXiv] 2026-08-05 | Mind-VLA: Instruction-Aware Spatial Representation Alignment for Vision-Language-Action Models
[arXiv] 2026-08-05 | Clustered Local Projections for Short and Ultra-Short Time Series -- A Hierarchical Bayesian Framework
[arXiv] 2026-08-05 | Population synthesis and detection prospects for Galactic long-period transients with LISA
[arXiv] 2026-08-05 | Visual Anchoring in Diffusion: Multimodal Zero-Shot Skeleton Action Recognition
[arXiv] 2026-08-05 | Characterizing the Evolving Landscape of Modern Information Seeking
[arXiv] 2026-08-05 | Information and Locality in Cayley Graphs
[arXiv] 2026-08-05 | On the $L^2$ restriction norm of large level
[arXiv] 2026-08-05 | The First EgoCross Challenge at EgoVis 2026: Cross-Domain Egocentric Video Question Answering
[arXiv] 2026-08-05 | MetaVideoAgent: Automated Video-Agent Evolution for Long-Form Video Understanding
[arXiv] 2026-08-05 | Construction Of Non-Odd Galois Representations With Large Image
[arXiv] 2026-08-05 | Resource Estimation for Fault-Tolerant Quantum Programs
[arXiv] 2026-08-05 | Circular Economy Synergies and Trade-offs in Data Centres
[arXiv] 2026-08-05 | Relevant but Incomplete: Referential Dangling as a Paradigm-Level Failure Mode in Hard Prompt Compression
[arXiv] 2026-08-05 | Talk2Sensors: 3D Visual Grounding in Autonomous Driving via Sensor-Adaptive Physical Cue Matching
[arXiv] 2026-08-05 | STRIVE: Probing Reasoning Limits in Graded Plausibility Generation and Evaluation
[arXiv] 2026-08-05 | A large size of the pion-like excitations in the stringy fluid above $T_{ch}$ is model independent and required by current algebra
[arXiv] 2026-08-05 | Simple Restricted modules for $N=2$ Neveu-Schwarz algebra
[arXiv] 2026-08-05 | Attributing Differences Between Forecast Runs to Input Changes, With Applications to CCAR and CECL Exercises
[arXiv] 2026-08-05 | Towards Robust Version Identification in the Wild: A Dataset, Benchmark, and Fine-Tuning Study
[arXiv] 2026-08-05 | PRIMAL3: Pathfinding via Reinforcement and Imitation Multi-Agent Learning - Leveraging LaCAM3
[arXiv] 2026-08-05 | The Evaluator Is Part of the Experiment: Measuring Open-Ended LLM Conformity
[arXiv] 2026-08-05 | EdgeLM: Edge Demonstrations for Language Models' Table Understanding
[arXiv] 2026-08-05 | Powers as Fibonacci Sums
[arXiv] 2026-08-05 | Reasoning Core: Designing Broad Procedural Data for Completion-Supervised Reasoning Training
[arXiv] 2026-08-05 | Dissecting the Nuclear Structure of NGC 5548 with XRISM. I. Physical Properties of the Highly Ionized Outflows
[arXiv] 2026-08-05 | Diverse and Plausible Algorithmic Recourse via Tractable Recourse Distributions
[arXiv] 2026-08-05 | Port-Hamiltonian modelling of coupled rigid/flexible multibody systems
[arXiv] 2026-08-05 | Post-Inflationary Constraints on Nonminimally Coupled Quintessential Inflation
[arXiv] 2026-08-05 | The Sample Complexity of Distributionally Robust PAC Learning under Cressie--Read Divergences
[arXiv] 2026-08-05 | Model theory of convolution algebras
[arXiv] 2026-08-05 | News on charged and neutral hadron production from NA61/SHINE
[arXiv] 2026-08-05 | Optimal convergence of adaptive BEM driven by functional-type error estimators
[arXiv] 2026-08-05 | Imaginarity as a necessary resource for trainability in QAOA
[arXiv] 2026-08-05 | Near-Rings and Skew Braces
[arXiv] 2026-08-05 | A Two-Player Zero Forcing Game
[arXiv] 2026-08-05 | A characterization of ball quotient stacks
[arXiv] 2026-08-05 | EgoAfford: Task-Oriented Affordance Grounding via Egocentric Referring Segmentation
[arXiv] 2026-08-05 | Discretization and Statistical Consistency of Functional Flow Matching
[arXiv] 2026-08-05 | Retrieve in Time, Correct in Frequency
[arXiv] 2026-08-05 | Coupled Continuous-Discrete Generation for Scene Text Image Super-Resolution
[arXiv] 2026-08-05 | ODRA: Synthesizing Cognitive Behavioral Therapy Sessions with Structured Chain-Of-Thought and Dynamic Patient Resistance
[arXiv] 2026-08-05 | The geometry of triples of antipodal ideal chambers of affine buildings
[arXiv] 2026-08-05 | Detection and Properties of Lyman Break Galaxies at $1.6 \leq z \leq 3.0$ in GOODS-North
[arXiv] 2026-08-05 | CARVE: Cross-Slice Anisotropic Reallocation of Visual Evidence for Efficient 3D Medical Volume Understanding
[arXiv] 2026-08-05 | Emergence of Reputation-Based Cooperation in LLM Agents
[arXiv] 2026-08-05 | K-EXAONE 2.0 Technical Report
[arXiv] 2026-08-05 | Dart: An Automated and Reproducible Environment Toolkit for DNS Protocol Analysis
[arXiv] 2026-08-05 | Quantum-information fingerprints of partial dynamical symmetry in the interacting boson model
[arXiv] 2026-08-05 | DeepInvert: Semi-Supervised Embedding Inversion Against Obfuscated Language Models
[arXiv] 2026-08-05 | Heralded Non-Gaussian Squeezed-State Inputs for Parity-Detection SU(1,1) Interferometry
[arXiv] 2026-08-05 | Jointly Sparse Blind Deconvolution via Riemannian Optimization
[arXiv] 2026-08-05 | Modular fusion categories with trivial Torelli group actions
[arXiv] 2026-08-05 | Architectural Implications of Agentic AI Workflows
[arXiv] 2026-08-05 | A Counterexample to Fourier Alignment in Single-Neuron Modular Addition
[arXiv] 2026-08-05 | CommBench: Can LLMs Write Correct and Efficient GPU Communication Code?
[arXiv] 2026-08-05 | When does training on downscaled images yield the same gradients?
[arXiv] 2026-08-05 | Taming Treewidth DP with Modulators: A General Booster for Graph Heuristics
[arXiv] 2026-08-05 | MCHA: A Memory-Centric Hierarchical Architecture for Parallel-Sequential Computing
[arXiv] 2026-08-05 | Masking Black Hole Spin with a Modified Chaplygin Gas Envelope: Radiative Degeneracies from a Phenomenological Three-Region Spacetime
[arXiv] 2026-08-05 | ToolArtist: Tool-Using Unified Multimodal Models for Agentic Image Generation
[arXiv] 2026-08-05 | An unfitted finite element discrete fracture model for low-permeability barriers via local stiffness matrix modification
[arXiv] 2026-08-05 | UBLLIE: Unified Backlight and Low-Light Image Enhancement
[arXiv] 2026-08-05 | SSC: A Verifiable Structured Representation for Bimanual Manipulation Labelling
[arXiv] 2026-08-05 | SPOT: Sparse Probing and Outcome Calibration for On-Policy Distillation
[arXiv] 2026-08-05 | Social Pressure Breaks Majority Voting in LLM Safety Panels
[arXiv] 2026-08-05 | MESH: Memory-Efficient Sinkhorn Optimization for Mixture-of-Experts Training
[arXiv] 2026-08-05 | Approximate Multi-Objective Search Under Rulebooks
[arXiv] 2026-08-05 | NOLLI: A Difficulty-Calibrated Puzzle Benchmark for Diagnosing the English-Korean Performance Gap
[arXiv] 2026-08-05 | Free-Lunch Augmentation by Revisiting Diffusion-Based Data Generation for Cross-Domain Few-Shot Object Detection
[arXiv] 2026-08-05 | NodeJEPA: Structure-Conditioned Latent Prediction for Node-Level Graph Self-Supervised Learning
[arXiv] 2026-08-05 | Helping Music Co-Creation Agents 'Listen' Well: Hierarchical Self-Supervised World Models for Understanding and Generation
[arXiv] 2026-08-05 | Contingency Detection Integrated Model Predictive Control for Resilient Load Frequency Control
[arXiv] 2026-08-05 | Equilibrium Thermodynamics of Non-Hermitian Dirac Fermions: Caloric and Magnetic Responses
[arXiv] 2026-08-05 | Extremal Graphs for the Energy-Independence Number Inequality
[arXiv] 2026-08-05 | Controllable subspaces and real-part observability for Schrödinger equations on $\mathbb T^d$
[arXiv] 2026-08-05 | The Born Representation Theorem and the Unistochastic Theorem
[arXiv] 2026-08-05 | Poly-OPD: Heterogeneous Multi-Teacher On-Policy Distillation for Capability-Selectable Flow Models
[arXiv] 2026-08-05 | Expansion of a hole in a viscoelastic liquid sheet
[arXiv] 2026-08-05 | Equitable System-Prompt Selection via Constrained Mixed-Strategy GroupDRO
[arXiv] 2026-08-05 | IntentLint: Supporting Intent Scaffolding and Prompt-time Linting in Human-AI Collaborative Data Analysis
[arXiv] 2026-08-05 | Visualization of Complex Projective Curves
[arXiv] 2026-08-05 | MIDAS: Multi-LLM Iterative Data-Adaptive Summarization
[arXiv] 2026-08-05 | The rank and layer distributions in random recursive trees
[arXiv] 2026-08-05 | A Real-Time Jet Laboratory in Swift J1727.8-1613
[arXiv] 2026-08-05 | Further Investigation on Chromospheric Activity Patterns of the RS Canum Venaticorum Star V711 Tauri
[arXiv] 2026-08-05 | Private Direct Preference Optimization for LLM Alignment
[arXiv] 2026-08-05 | Symbol-Oriented Quantum Communication via Temporal-Mode Multiplexing
[arXiv] 2026-08-05 | Dimensions of Power: A Systematic Guide to Power Indices for Explainable AI
[arXiv] 2026-08-05 | On Computational Hardness of Mistake-Bounded Language Generation: A Random-Oracle Query Separation
[arXiv] 2026-08-05 | Gradings by cyclic groups on classical simple Lie algebras in prime characteristics
[arXiv] 2026-08-05 | Augmentation of the Gauribidanur radioheliograph for observations of circularly polarized emission from the solar corona at low radio frequencies
[arXiv] 2026-08-05 | Algorithm-Driven SVARs: Navigating the Wilderness of Big Data
[arXiv] 2026-08-05 | Link prediction on multi-relational graphs from an influence propagation perspective
[arXiv] 2026-08-05 | The Beginning of ChatGPT Ads
[arXiv] 2026-08-05 | A spectral approach to the narrow escape problem in two-dimensional domains
[arXiv] 2026-08-05 | Finite-coefficient Gersten injectivity fails in ramified mixed characteristic
[arXiv] 2026-08-05 | DelusionEval: Measuring Delusion-Linked Behaviors in AI Chatbots
[arXiv] 2026-08-05 | Universal linear manipulation via routing and projective measurements
[arXiv] 2026-08-05 | Accessing Chern Numbers From Bloch Eigenstates Singularities
[arXiv] 2026-08-05 | Promptable Animal Pose Tracking Across Species
[arXiv] 2026-08-05 | Causal Resolvent Rough Lifts under Nondominated Martingale Laws: Gaussian-Tail Cores and Conditional Wong--Zakai Transfer
[arXiv] 2026-08-05 | The Roche-Lobe Radius in Newtonian and Non-Newtonian Gravity
[arXiv] 2026-08-05 | Portfolio Allocation under Heterogeneous Scales and Multifractality
[arXiv] 2026-08-05 | A Two-Stage Operating Room Allocation Framework for Reducing Surgical Waiting Lists in Public Hospitals
[arXiv] 2026-08-05 | Quantum Bayes Correlated Equilibrium and the Comparison of Quantum Information Structures in Games
[arXiv] 2026-08-05 | Phase transitions in generalized XY models
[arXiv] 2026-08-05 | Recovery of time-dependent coefficients for the convection-diffusion equation on conformally transversally anisotropic manifolds from partial data
[arXiv] 2026-08-05 | Diffusive Speed Limits for U(1)-Covariant Quantum Error Correction
[arXiv] 2026-08-05 | Sharp Continuity of Petz and Sandwiched Rényi Conditional Entropies
[arXiv] 2026-08-05 | Complex field-induced magnetic phases and anisotropic magnetotransport in off-stoichiometric CeCuBi2
[arXiv] 2026-08-05 | Exact moment equivalence and structural nonidentifiability in nonlinear epidemics
[arXiv] 2026-08-05 | SVI-DAG: A Structured Variational Inference Approach to Bayesian Causal Discovery
[arXiv] 2026-08-05 | Open Information: A Defining Perspective on Web Datasets for Carbon Pricing
[arXiv] 2026-08-05 | Evolution of matter perturbations in the context of cosmic slowing down
[arXiv] 2026-08-05 | Statistical Considerations in Long COVID Research
[arXiv] 2026-08-05 | DefoEye: Python-Based Software for Facilitating Time-Series InSAR Analysis of Sentinel-1 Remote-Sensing Data
[arXiv] 2026-08-05 | LLM-Assisted Detection and Repair of Hardware Security Vulnerabilities in Verilog Designs
[arXiv] 2026-08-05 | Dualizable Additive Categories
[arXiv] 2026-08-05 | Training Crossroads for Recurrent Vision Transformers: Recurrence, Neural ODEs, and Deep Supervision
[arXiv] 2026-08-05 | Quantitative Khintchine on the parabola with non-monotonic approximation functions
[arXiv] 2026-08-05 | Ambiguity in matter sector for modified gravity involving $δ^2 \mathcal{L}_{m}/δg^{μν}δg^{αβ}$ and its implications to astrophysics and cosmology
[arXiv] 2026-08-05 | Cooking beyond Frames: A Stereo Event Camera Dataset in the Kitchen
[arXiv] 2026-08-05 | GBOT: ground based optical tracking of the Gaia satellite
[arXiv] 2026-08-05 | Disentanglement in the macroscopic limit
[arXiv] 2026-08-05 | Associative/Lie radical (co)invariance under tracial (co)actions
[arXiv] 2026-08-05 | Entropy Transference for Rainbow-$H$-Free Colourings of Random Graphs
[arXiv] 2026-08-05 | Investigating Click Behaviors On Google Search Result Pages That Produce an AI Overview
[arXiv] 2026-08-05 | Ghost-RISB for Correlated Electron-Phonon Systems: Application to the Hubbard-Holstein Model
[arXiv] 2026-08-05 | Constructing Large Orthogonal Minimally Aliased Response Surface Designs Through Enumeration and Combination of Weighing Designs
[arXiv] 2026-08-05 | Segmentation Pre-training for Label-Efficient Lumbar Spine Degeneration Grading
[arXiv] 2026-08-05 | WatchLens: A Configurable Platform for Online Video Recommendation Experiments
[arXiv] 2026-08-05 | An Exchange-Correlation Functional for Fast and Accurate Modeling of Ferroelectric Perovskites
[arXiv] 2026-08-05 | MGSB: Manifold Gated Signature Branch Pressure-Domain Baseline Architecture for Two-Phase Pipeline Flows Under Distributional Shift
[arXiv] 2026-08-05 | Bernstein-type bases on $q$-quadratic lattices and Askey--Wilson\slash $q$-Racah connection coefficients
[arXiv] 2026-08-05 | Joyce's invariant and Virasoro Constraints for Quot schemes on curves
[arXiv] 2026-08-05 | Inflow-driven galaxy evolution - I. Revealing the physics of the fundamental metallicity relation
[arXiv] 2026-08-05 | Lifting the degeneracy of quantum spin liquid phase by uniaxial pressure
[arXiv] 2026-08-05 | IMFACT: Counterfactual Explanations for Time Series via Intrinsic Mode Function Substitution
[arXiv] 2026-08-05 | Fewer Tokens, Smaller Cache: Reward-Coordinated Efficient Reasoning
[arXiv] 2026-08-05 | Cepheid metallicities from low-resolution near-infrared spectra: validation against the optical reference scale
[arXiv] 2026-08-05 | FUSEP: A Multi-Center Benchmark for Diverse Tasks in Early Pregnancy Fetal Ultrasound Screening
[arXiv] 2026-08-05 | Emergent Replica Clock Unifies Many-Body Localization and Thermalization
[arXiv] 2026-08-05 | Unifying microscopic theories for the phono-magnetic effect
[arXiv] 2026-08-05 | Simile Understanding in Text-to-Image Models: An Evaluation Framework
[arXiv] 2026-08-05 | Residual Saturation under Pressure-Controlled Drainage
[arXiv] 2026-08-05 | LoginTrap: Uncovering Task-Agnostic Phishing-Style Indirect Prompt Injection Attacks against LLM-based Web Agents
[arXiv] 2026-08-05 | Dense Metric Depth Completion from Sparse Direct Time-of-Flight Sensors
[arXiv] 2026-08-05 | Demonstration of a Single-Laser-Diode-Pumped Ti:Sapphire Astrocomb on the Southern African Large Telescope
[arXiv] 2026-08-05 | A Vision-based Control Framework for Real-time Autonomous UUV Operations
[arXiv] 2026-08-05 | Multi-View Face and Gesture Animation with Dynamic Gaussians
[arXiv] 2026-08-05 | Behrend function and blowup algebras
[arXiv] 2026-08-05 | Corrections to the Unruh Effect from Robin Boundary Conditions in Punctured Minkowski Spacetime
[arXiv] 2026-08-05 | Design Choices That Matter: A Functional ANOVA Analysis for Remote Sensing Multi-Label Classification
[arXiv] 2026-08-05 | Single-eigenstate test of eigenstate thermalization hypothesis via perturbed eigenstate quench
[arXiv] 2026-08-05 | Suppression Sticks, Locality Is Fragile: A Closed-Loop Target-and-Control Audit of Task-Vector Negation in VLA Policies
