[2025-11-25 09:12:46] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-24
正在获取论文...
[arXiv] 2025-11-24 | Defending Large Language Models Against Jailbreak Exploits with Responsible AI Considerations
[arXiv] 2025-11-24 | Evaluation of Real-Time Mitigation Techniques for Cyber Security in IEC 61850 / IEC 62351 Substations
[arXiv] 2025-11-24 | Any4D: Open-Prompt 4D Generation from Natural Language and Images
[arXiv] 2025-11-24 | On the role of fractional Brownian motion in models of chemotaxis and stochastic gradient ascent
[arXiv] 2025-11-24 | RhinoInsight: Improving Deep Research through Control Mechanisms for Model Behavior and Context
[arXiv] 2025-11-24 | Trust and Uncertainty in Strategic Interaction: Behavioural and Physiological Evidence from the Centipede Game
[arXiv] 2025-11-24 | Joint learning of a network of linear dynamical systems via total variation penalization
[arXiv] 2025-11-24 | Microscopic parameters of a type-II superconductor measured by small-angle neutron scattering
[arXiv] 2025-11-24 | First Deep Learning Approach to Hammering Acoustics for Stem Stability Assessment in Total Hip Arthroplasty
[arXiv] 2025-11-24 | Neural B-Frame Coding: Tackling Domain Shift Issues with Lightweight Online Motion Resolution Adaptation
[arXiv] 2025-11-24 | Toward Integrated Air-Ground Computing and Communications: A Synergy of Computing Power Networks and Low-Altitude Economy Network
[arXiv] 2025-11-24 | When and What to Recommend: Joint Modeling of Timing and Content for Active Sequential Recommendation
[arXiv] 2025-11-24 | GRIT-LP: Graph Transformer with Long-Range Skip Connection and Partitioned Spatial Graphs for Accurate Ice Layer Thickness Prediction
[arXiv] 2025-11-24 | VLM in a flash: I/O-Efficient Sparsification of Vision-Language Model via Neuron Chunking
[arXiv] 2025-11-24 | EVCC: Enhanced Vision Transformer-ConvNeXt-CoAtNet Fusion for Classification
[arXiv] 2025-11-24 | LLM4AMC: Adapting Large Language Models for Adaptive Modulation and Coding
[arXiv] 2025-11-24 | Large Deviation Principle for Neutral Type Mckean-Vlasov Stochastic Differential Equations
[arXiv] 2025-11-24 | Chaotic dynamics for the two body problem on a sphere
[arXiv] 2025-11-24 | Scalarful double beta decay
[arXiv] 2025-11-24 | EEG-VLM: A Hierarchical Vision-Language Model with Multi-Level Feature Alignment and Visually Enhanced Language-Guided Reasoning for EEG Image-Based Sleep Stage Prediction
[arXiv] 2025-11-24 | Collaborative Learning with Multiple Foundation Models for Source-Free Domain Adaptation
[arXiv] 2025-11-24 | Optimal policy design for innovation diffusion: shaping today's incentives for transforming the future
[arXiv] 2025-11-24 | Noisy dynamics of confined quantum walks on a chip
[arXiv] 2025-11-24 | MonoSR: Open-Vocabulary Spatial Reasoning from Monocular Images
[arXiv] 2025-11-24 | Spectrophotometric evidence for a metal-bearing, carbonaceous, and pristine interstellar comet 3I/ATLAS
[arXiv] 2025-11-24 | Fate of diffusion under integrability breaking of classical integrable magnets
[arXiv] 2025-11-24 | Time-dependent Turbulent Electron Acceleration and Transport in Solar Flares
[arXiv] 2025-11-24 | Theoretical and Empirical Analysis of Lehmer Codes to Search Permutation Spaces with Evolutionary Algorithms
[arXiv] 2025-11-24 | New Algorithms and Hardness Results for Connected Clustering
[arXiv] 2025-11-24 | Experimental insights into data augmentation techniques for deep learning-based multimode fiber imaging: limitations and success
[arXiv] 2025-11-24 | DEAP-3DSAM: Decoder Enhanced and Auto Prompt SAM for 3D Medical Image Segmentation
[arXiv] 2025-11-24 | DynaMix: Generalizable Person Re-identification via Dynamic Relabeling and Mixed Data Sampling
[arXiv] 2025-11-24 | LLMAID: Identifying AI Capabilities in Android Apps with LLMs
[arXiv] 2025-11-24 | Stable equivalences and homological dimensions
[arXiv] 2025-11-24 | Boost of critical current density near quantum critical points in FeSe-Based superconductors with two superconducting domes
[arXiv] 2025-11-24 | Some aspects of Cheng-Yau gradient estimates
[arXiv] 2025-11-24 | CSD: Change Semantic Detection with only Semantic Change Masks for Damage Assessment in Conflict Zones
[arXiv] 2025-11-24 | Multi-Agent Monocular Dense SLAM With 3D Reconstruction Priors
[arXiv] 2025-11-24 | Bell Plesset Effects on Rayleigh Taylor Instability of Three Dimensional Spherical Geometry
[arXiv] 2025-11-24 | A sufficient condition for characterizing the one-sided testable properties of families of graphs in the Random Neighbour Oracle Model
[arXiv] 2025-11-24 | Energy-Efficient Routing Protocol in Vehicular Opportunistic Networks: A Dynamic Cluster-based Routing Using Deep Reinforcement Learning
[arXiv] 2025-11-24 | Growth driven phase transitions in Zinc Oxide nanoparticles through machine-learning assisted simulations
[arXiv] 2025-11-24 | Detection of Number of Subcarriers of OFDM Systems using Eigen-Spectral Analysis
[arXiv] 2025-11-24 | Relative Lie central extension and Schur multiplier of pairs of multiplicative Lie algebras
[arXiv] 2025-11-24 | Understanding and Mitigating Over-refusal for Large Language Models via Safety Representation
[arXiv] 2025-11-24 | Arriving Young, Leaving Old(er): Age-Structured International Migration on Subnational Scale in Austria
[arXiv] 2025-11-24 | Introducing Visual Scenes and Reasoning: A More Realistic Benchmark for Spoken Language Understanding
