[2025-12-04 09:14:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-03
正在获取论文...
[arXiv] 2025-12-03 | SkillFactory: Self-Distillation For Learning Cognitive Behaviors
[arXiv] 2025-12-03 | On well-posedness for second-order degenerate parabolic equations with unbounded lower-order terms
[arXiv] 2025-12-03 | Guided Flow Policy: Learning from High-Value Actions in Offline Reinforcement Learning
[arXiv] 2025-12-03 | Non-radiative energy transfer between boron vacancies in hexagonal boron nitride and other 2D materials
[arXiv] 2025-12-03 | Training for Identity, Inference for Controllability: A Unified Approach to Tuning-Free Face Personalization
[arXiv] 2025-12-03 | MDE-AgriVLN: Agricultural Vision-and-Language Navigation with Monocular Depth Estimation
[arXiv] 2025-12-03 | Line Polarization of Si II $λ$6355 Å in Type Ia Supernovae: A New Statistical Approach to Probe the Explosion Physics and Diversity
[arXiv] 2025-12-03 | Morita equivalence and stable isomorphism via unitary operators
[arXiv] 2025-12-03 | $δ$-lifting and $1$-dimensional analytic fields
[arXiv] 2025-12-03 | Collective dynamics of trail-interacting particles
[arXiv] 2025-12-03 | MUT3R: Motion-aware Updating Transformer for Dynamic 3D Reconstruction
[arXiv] 2025-12-03 | The first 10years of the HAWC Gamma-Ray Observatory: science results
[arXiv] 2025-12-03 | Phase-space open-systems dynamics of second-order nonlinear interactions with pulsed quantum light
[arXiv] 2025-12-03 | Tunable Automation in Automated Program Verification
[arXiv] 2025-12-03 | Primordial Gravitational Wave Birefringence in a de Sitter Background with Chern-Simons Coupling
[arXiv] 2025-12-03 | Emergent Spatiotemporal Dynamics in Large-Scale Brain Networks with Next Generation Neural Mass Models
[arXiv] 2025-12-03 | Speciation and hydration forces in sodium carbonate/bicarbonate aqueous solutions nanoconfined between mica sheets
[arXiv] 2025-12-03 | Remarks on a result of Sibony on the Carathéodory topology
[arXiv] 2025-12-03 | Predictions of the LSST Solar System Yield: Neptune Trojans
[arXiv] 2025-12-03 | Comparing land- and skyscapes in the three main manorial-conquered lands of the Canary Islands
[arXiv] 2025-12-03 | The Protasov-Zelenyuk topology and ideal convergence
[arXiv] 2025-12-03 | Random walks and quadratic number fields
[arXiv] 2025-12-03 | Resolving Structural Transitions in Lanthanide High-Entropy Oxides
[arXiv] 2025-12-03 | Hybrid Temporal-8-Bit Spike Coding for Spiking Neural Network Surrogate Training
[arXiv] 2025-12-03 | Adaptive Parameter Control Using AAN for Lower Limb Rehabilitation Exoskeletons
[arXiv] 2025-12-03 | Generating a Contact Matrix for Aged Care Settings in Australia: an agent-based model study
[arXiv] 2025-12-03 | Hyperdimensional Computing for Sustainable Manufacturing: An Initial Assessment
[arXiv] 2025-12-03 | Diminishing Returns in Self-Supervised Learning
[arXiv] 2025-12-03 | Infinitesimal deformations of Lie algebroid pairs
[arXiv] 2025-12-03 | PULSE: A Unified Multi-Task Architecture for Cardiac Segmentation, Diagnosis, and Few-Shot Cross-Modality Clinical Adaptation
[arXiv] 2025-12-03 | Tracing the Cosmic Evolution of the Cool Circumgalactic Medium of Luminous Red Galaxies with DESI Year 1 Data
[arXiv] 2025-12-03 | CoDA: From Text-to-Image Diffusion Models to Training-Free Dataset Distillation
[arXiv] 2025-12-03 | Super-hard and superconducting boron clathrates in the prediction of U-B compounds
[arXiv] 2025-12-03 | Symplectic methods for stochastic Hamiltonian systems: asymptotic error distributions and Hamiltonian-specific analysis
[arXiv] 2025-12-03 | IM HERE: Interaction Model for Human Effort Based Robot Engagement
[arXiv] 2025-12-03 | A Robust Camera-based Method for Breath Rate Measurement
[arXiv] 2025-12-03 | Accelerating shape optimization by deep neural networks with on-the-fly determined architecture
[arXiv] 2025-12-03 | Dynamical and Photometric Analysis of NGC 146 and King 14: Evidence for a Co-Moving, Unbound Cluster Pair
[arXiv] 2025-12-03 | A User Centric Group Authentication Scheme for Secure Communication
[arXiv] 2025-12-03 | Genetic Algorithm for Inferring Model Parameters for Flux Transport Dynamo Simulation
[arXiv] 2025-12-03 | A Learning-based Control Methodology for Transitioning VTOL UAVs
[arXiv] 2025-12-03 | AdaPower: Specializing World Foundation Models for Predictive Manipulation
[arXiv] 2025-12-03 | Parameter-Efficient Augment Plugin for Class-Incremental Learning
[arXiv] 2025-12-03 | Resolving the Multiple Component Outflows in PG 1211+143: I. The Fe-K Absorption Structure and UFO Forest
[arXiv] 2025-12-03 | OpenTrack3D: Towards Accurate and Generalizable Open-Vocabulary 3D Instance Segmentation
[arXiv] 2025-12-03 | Edge bits in average symmetry protected topological mixed state
[arXiv] 2025-12-03 | Adaptive sampling using variational autoencoder and reinforcement learning
[arXiv] 2025-12-03 | FloodDiffusion: Tailored Diffusion Forcing for Streaming Motion Generation
[arXiv] 2025-12-03 | Left shifting analysis of Human-Autonomous Team interactions to analyse risks of autonomy in high-stakes AI systems
[arXiv] 2025-12-03 | Exploiting Domain Properties in Language-Driven Domain Generalization for Semantic Segmentation
[arXiv] 2025-12-03 | Ancient Algorithms for a Modern Curriculum
[arXiv] 2025-12-03 | Resource Allocation for Pinching-Antenna Systems (PASS)-enabled NOMA Communications
[arXiv] 2025-12-03 | SocraticAI: Transforming LLMs into Guided CS Tutors Through Scaffolded Interaction
[arXiv] 2025-12-03 | Arithmetic progressions in sumsets of geometric progressions
[arXiv] 2025-12-03 | Arithmetic invariants of Euclidean lattice
[arXiv] 2025-12-03 | ATHENA: Agentic Team for Hierarchical Evolutionary Numerical Algorithms
[arXiv] 2025-12-03 | Learning From Limited Data and Feedback for Cell Culture Process Monitoring: A Comparative Study
[arXiv] 2025-12-03 | Solutions to Open WDVV Equations for the Universal Whitham Hierarchy
[arXiv] 2025-12-03 | A fast stochastic interacting particle-field method for 3D parabolic parabolic Chemotaxis systems: numerical algorithms and error analysis
[arXiv] 2025-12-03 | World Models for Autonomous Navigation of Terrestrial Robots from LIDAR Observations
[arXiv] 2025-12-03 | Zero-Waste Biorefinery: Pyrolysis of Fermentation Residues into Catalytic Biochar for Circular Biohydrogen Systems
[arXiv] 2025-12-03 | TokenScale: Timely and Accurate Autoscaling for Disaggregated LLM Serving with Token Velocity
[arXiv] 2025-12-03 | A Linear Structure from Magnetic-Dipole Systems and Its Geometry
[arXiv] 2025-12-03 | Why Some Seek AI, Others Seek Therapists: Mental Health in the Age of Generative AI
[arXiv] 2025-12-03 | Dual LoRA: Enhancing LoRA with Magnitude and Direction Updates
[arXiv] 2025-12-03 | Enterprise Data Science Platform: A Unified Architecture for Federated Data Access
[arXiv] 2025-12-03 | Magnetic field amplification driven by the gyro motion of charged particles
[arXiv] 2025-12-03 | Perfect set dichotomy theorem in generalized Solovay model
[arXiv] 2025-12-03 | Joint Sensing, Communication, and Computation for Vertical Federated Edge Learning in Edge Perception Network
[arXiv] 2025-12-03 | Local categories: a new framework for partiality
[arXiv] 2025-12-03 | FireSentry: A Multi-Modal Spatio-temporal Benchmark Dataset for Fine-Grained Wildfire Spread Forecasting
[arXiv] 2025-12-03 | Hybridized-Mode Parametric Amplifier in Kinetic-Inductance Circuits
[arXiv] 2025-12-03 | A Hybrid Deep Learning Framework with Explainable AI for Lung Cancer Classification with DenseNet169 and SVM
[arXiv] 2025-12-03 | Anomalous Hall effect in an amorphous antiferromagnet with inverted hysteresis
[arXiv] 2025-12-03 | GOMP: Grasped Object Manifold Projection for Multimodal Imitation Learning of Manipulation
[arXiv] 2025-12-03 | HalluGen: Synthesizing Realistic and Controllable Hallucinations for Evaluating Image Restoration
[arXiv] 2025-12-03 | ProtoEFNet: Dynamic Prototype Learning for Inherently Interpretable Ejection Fraction Estimation in Echocardiography
[arXiv] 2025-12-03 | Sketch Tomography: Hybridizing Classical Shadow and Matrix Product State
[arXiv] 2025-12-03 | Increasing the Size of Tame Shafarevich Groups
[arXiv] 2025-12-03 | The broad-lined Type Ic supernova 2020lao reveals an energetic explosion with no central-engine signatures
[arXiv] 2025-12-03 | DINO-RotateMatch: A Rotation-Aware Deep Framework for Robust Image Matching in Large-Scale 3D Reconstruction
[arXiv] 2025-12-03 | Compton suppressed scintillation spectrometer based on a cluster of 9$\times$CeBr$_{3}$-NaI(Tl) phoswich detectors
[arXiv] 2025-12-03 | A Lyapunov-based MPC for Distributed Multi Agent Systems with Time Delays and Packet Dropouts using Hidden Markov Models
[arXiv] 2025-12-03 | Lightweight design and analysis of optical cover plate for exoplanet imaging coronagraph
[arXiv] 2025-12-03 | Transitivity and an abelian Livsic theorem for covers
[arXiv] 2025-12-03 | SRPG: Semantically Reconstructed Privacy Guard for Zero-Trust Privacy in Educational Multi-Agent Systems
[arXiv] 2025-12-03 | Active Visual Perception: Opportunities and Challenges
[arXiv] 2025-12-03 | GaussianBlender: Instant Stylization of 3D Gaussians with Disentangled Latent Spaces
[arXiv] 2025-12-03 | Different types of syntactic agreement recruit the same units within large language models
[arXiv] 2025-12-03 | Spherical accretion onto higher-dimensional Reissner-Nordström Black Hole
[arXiv] 2025-12-03 | Enhancement of Tc in Oxide Superconductors: Double-Bridge Mechanism of High-Tc Superconductivity and Bose-Einstein Condensation of Cooper Pairs
[arXiv] 2025-12-03 | Nonrelativistic Functional Properties in Collinear Antiferromagnets Based on Multipole Representation Theory
[arXiv] 2025-12-03 | Tuning spin currents in collinear antiferromagnets and altermagnets
[arXiv] 2025-12-03 | On the doubling of variables technique in first order Hamilton-Jacobi equations
[arXiv] 2025-12-03 | Gauge Symmetries, Contact Reduction, and Singular Field Theories
[arXiv] 2025-12-03 | Evaluation of Foundational Machine Learned Interatomic Potentials for Migration Barrier Predictions
[arXiv] 2025-12-03 | Context-Triggered Contingency Games for Strategic Multi-Agent Interaction
[arXiv] 2025-12-03 | AaPE: Aliasing-aware Patch Embedding for Self-Supervised Audio Representation Learning
[arXiv] 2025-12-03 | Multimodal Control of Manipulators: Coupling Kinematics and Vision for Self-Driving Laboratory Operations
[arXiv] 2025-12-03 | MemVerse: Multimodal Memory for Lifelong Learning Agents
[arXiv] 2025-12-03 | From fractional Chern insulators to topological electronic crystals in moiré MoTe2: quantum geometry tuning via remote layer
[arXiv] 2025-12-03 | CoGraM: Context-sensitive granular optimization method with rollback for robust model fusion
[arXiv] 2025-12-03 | Hamiltonian Active Matter in Incompressible Fluid Membranes
[arXiv] 2025-12-03 | Motion4D: Learning 3D-Consistent Motion and Semantics for 4D Scene Understanding
[arXiv] 2025-12-03 | Lattice-like Packings and Coverings with Congruent Translation Balls and Cylinders in Sol geometry
[arXiv] 2025-12-03 | CloseUpAvatar: High-Fidelity Animatable Full-Body Avatars with Mixture of Multi-Scale Textures
[arXiv] 2025-12-03 | Harnessing Hypergraphs in Geometric Deep Learning for 3D RNA Inverse Folding
[arXiv] 2025-12-03 | Fast directional transport of Leidenfrost droplets on spiked surfaces
[arXiv] 2025-12-03 | Fine-grained Narrative Classification in Biased News Articles
[arXiv] 2025-12-03 | Global-Local Aware Scene Text Editing
[arXiv] 2025-12-03 | Does Globalization Promote or Hinder Sustainable Development? Evidence from Turkiye on the Three Dimensions of Globalization
[arXiv] 2025-12-03 | Runnable Directories: The Solution to the Monorepo vs. Multi-repo Debate
[arXiv] 2025-12-03 | Highly Anisotropic Charge Dynamics and Spectral Weight Redistribution in the Trilayer Nickelate La$_{4}$Ni$_{3}$O$_{10}$
[arXiv] 2025-12-03 | EfficientECG: Cross-Attention with Feature Fusion for Efficient Electrocardiogram Classification
[arXiv] 2025-12-03 | Extremal diameters of 3-coloring graphs of trees
[arXiv] 2025-12-03 | Poly- and single-crystalline diamond nitrogen-induced TLS losses estimation with superconducting lumped elements micro-resonators
[arXiv] 2025-12-03 | Exact and Parametric Dynamical System Representation of Nonlinear Functions
[arXiv] 2025-12-03 | In-Context Representation Hijacking
[arXiv] 2025-12-03 | The time fractional stochastic partial differential equations with non-local operator on $\mathbb{R}^{d}$
[arXiv] 2025-12-03 | Research on Brain Tumor Classification Method Based on Improved ResNet34 Network
[arXiv] 2025-12-03 | Universally Converging Representations of Matter Across Scientific Foundation Models
[arXiv] 2025-12-03 | Fully Unsupervised Self-debiasing of Text-to-Image Diffusion Models
[arXiv] 2025-12-03 | Magnetotransport and Carrier Dynamics in Quasi-One-Dimensional Antiferromagnet KMn$_6$Bi$_5$
[arXiv] 2025-12-03 | AR-Med: Automated Relevance Enhancement in Medical Search via LLM-Driven Information Augmentation
[arXiv] 2025-12-03 | AI/ML in 3GPP 5G Advanced - Services and Architecture
[arXiv] 2025-12-03 | Probing Azimuthal Alignment in Heavy-Ion Collisions: Clusterization Effects
[arXiv] 2025-12-03 | Over-the-Air Federated Learning: Rethinking Edge AI Through Signal Processing
[arXiv] 2025-12-03 | Screening of dipolar emission in two-scale Gauss-Bonnet gravity
