[2026-09-23 23:16:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-22
正在获取论文...
[arXiv] 2026-09-22 | SurgGraph: Quantitative Laparoscopic Video Understanding via Geometry-Grounded Scene Graphs
[arXiv] 2026-09-22 | The existence and uniqueness of magic-faced hypercubes, and applications to Khajuraho most-perfect magic squares, cubes, and hypercubes
[arXiv] 2026-09-22 | A Statistical Analysis of Diffusion Dynamics in Networks
[arXiv] 2026-09-22 | Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It
[arXiv] 2026-09-22 | To USR or not to USR: An effective description of two-field dynamics
[arXiv] 2026-09-22 | Underwater Navigation in Unsteady Flows Using Measurement Histories from a Single Sensing Unit
[arXiv] 2026-09-22 | Diffusion-Induced Spatial Attention Overlapping Community Detection
[arXiv] 2026-09-22 | Equivalence of Extensions and the Perturbation Index
[arXiv] 2026-09-22 | The cubic discriminant as an organizing principle for Duffing dynamics
[arXiv] 2026-09-22 | Scalar curvature growth on nonnegatively curved three-manifolds
[arXiv] 2026-09-22 | JWST Observations of Starbursts: The motion of dust - PAH kinematics of M82 and NGC 253 with JWST/MIRI spectroscopy
[arXiv] 2026-09-22 | A quantum lower bound for path finding in welded trees
[arXiv] 2026-09-22 | Normalized fractional Hirsch Index and Modified Pareto Law
[arXiv] 2026-09-22 | DIFTA-3D: Depth-Consistent Instance-Level Feature Transfer and Adaptation of DINOv3 for 3D Detection
[arXiv] 2026-09-22 | Measuring the Serving Stack Instead of the Model: Hidden Confounds in Local Tool-Use Evaluation
[arXiv] 2026-09-22 | Complete intersection and quasi-homological dimensions
[arXiv] 2026-09-22 | Strong matchgate designs in nearly optimal depth
[arXiv] 2026-09-22 | Autonomous Quantum Transport Measurements of 2D Semiconductors by an AI Agent
[arXiv] 2026-09-22 | Traveling Waves Enhance Transport during Cytoplasmic Streaming in Drosophila Oogenesis
[arXiv] 2026-09-22 | Proof-of-Retention: A Framework for Auditable Cross-Organization Data Sharing
[arXiv] 2026-09-22 | Lower Bounds for all List-Decodable Deletion Codes
[arXiv] 2026-09-22 | Diffusion Drafts, AR Verifies: Accelerating Document OCR with Self-Speculative Decoding
[arXiv] 2026-09-22 | Laryngeal Structure Segmentation in High-Speed Videoendoscopy Using Deep Learning
[arXiv] 2026-09-22 | MambaVoice: Lightweight Audiovisual Singing Voice Separation Via A Hybrid Mamba-Transformer Model
[arXiv] 2026-09-22 | GeoComposer: Geometry-Grounded Photographic Composition Instruction
[arXiv] 2026-09-22 | Concentration of Regularized Sparse Random Matrices: Spectral Edge Bounds via Nonbacktracking Operators
[arXiv] 2026-09-22 | Liquidity Provision and Rebate Design in Option Markets
[arXiv] 2026-09-22 | Fluctuations of the quadratic matching cost on the flat torus: dimensions two, three and four
[arXiv] 2026-09-22 | A New Method For Manipulating Circuits, Application To Quantum Adders
[arXiv] 2026-09-22 | Polyak-Type Extragradient Methods for Monotone Root-Finding Problems
[arXiv] 2026-09-22 | A Simple Dark Matter Model to Explain the LZ Event and Galactic Center Excess
[arXiv] 2026-09-22 | Vision Foundation Models with Synthetic-Only Training for Monocular Spacecraft Pose Estimation
[arXiv] 2026-09-22 | Acceptance & Rejection
[arXiv] 2026-09-22 | Superfluorescence as a cooperative amplifier of hidden anisotropy in a ferroelectric hybrid perovskite
[arXiv] 2026-09-22 | Constraining Inflation with Little Red Dots
[arXiv] 2026-09-22 | Topology-Stratified Materials Discovery with A Flow-Based Generative Model
[arXiv] 2026-09-22 | The Betti numbers and Golodness of numerical semigroup rings of Sally type
[arXiv] 2026-09-22 | Transversal non-Clifford gates on good quantum locally testable codes
[arXiv] 2026-09-22 | The optimal diameter estimate for positive Yamabe metrics
[arXiv] 2026-09-22 | Effect of interaction range on the phase diagram of magnetic hedgehog lattices
[arXiv] 2026-09-22 | Impact parameter and transverse charge densities of the pion and kaon
[arXiv] 2026-09-22 | Repeated averaging on expanders I: random $d$-regular graph
[arXiv] 2026-09-22 | HierArchical Wavelet Coefficients on the Sphere (HAWCS): the Scattering Transform on Spherical Maps
[arXiv] 2026-09-22 | Refining GLSDC for Orbit Determination
[arXiv] 2026-09-22 | Tropicalization and degeneration of short flag varieties and their fibers
[arXiv] 2026-09-22 | Spiral Endgames for Computing Singular Endpoints of Homotopy Paths
[arXiv] 2026-09-22 | Beyond expressiveness in pairwise and higher-order models
[arXiv] 2026-09-22 | Error Correction Properties of Covariant Bosonic Encodings
[arXiv] 2026-09-22 | Neural Network Backflow with Low-Rank Multi-Determinant Updates
[arXiv] 2026-09-22 | Bespoke: Generating MOOC-Quality Industry-Personalized Lecture Videos at Scale
[arXiv] 2026-09-22 | Transcribe, Translate, and Optimize: Joint Reward Learning for Speech Translation
[arXiv] 2026-09-22 | Error Analysis for Solving Elliptic Interface Problems with Randomized Neural Networks
[arXiv] 2026-09-22 | A $59/33$ Cut-LP Guarantee for Matching Augmentation
[arXiv] 2026-09-22 | V844 Herculis: An Exceptional Intermediate Polar Hiding in an Ordinary Dwarf Nova
[arXiv] 2026-09-22 | A Projection-Based Approach to Bayesian Age Estimation under Stratigraphic Constraints
[arXiv] 2026-09-22 | Irrational Seshadri constants from dihedral orbits
[arXiv] 2026-09-22 | MATE: Multi-Agent Virtual Teleoperation Platform for Humanoid Collaboration Data Collection
[arXiv] 2026-09-22 | An upper-symbol approach to $Φ^4_d$ limits of Bose gases
[arXiv] 2026-09-22 | Gravitational-Susceptibility Dip Behind DESI's results: Addressing the Phantom Crossing by Local limit of Nonlocal Gravity
[arXiv] 2026-09-22 | A Separable Hilbertian Operator Space with CBAP and No Completely Bounded Basis
[arXiv] 2026-09-22 | Plug-and-Play Stability Certificates Compliant with Black-Box Models of Devices
[arXiv] 2026-09-22 | New perspectives for the fitness fatigue model: how to revisit questions about the science of sports training from the perspective of systems control theory
[arXiv] 2026-09-22 | Ample vector bundles without Griffiths-semipositive metrics
[arXiv] 2026-09-22 | Representation-tame Geiß-Leclerc-Schröer algebras and a revised GLS conjecture on root systems
[arXiv] 2026-09-22 | Benchmarking Robots for Everyday Environments: From Lab Experiments to Real-World Operations
[arXiv] 2026-09-22 | Calibration as a First-Class Criterion in LLM Evaluation
[arXiv] 2026-09-22 | Non-determinism in group actions and topological minimal self-joinings
[arXiv] 2026-09-22 | A divisibility of automorphic periods for the real quadratic base change of $\mathrm{GL}_3$
[arXiv] 2026-09-22 | A VLBA survey of radio stars in the Orion Nebula Cluster: III. Inter-epoch variability analysis
[arXiv] 2026-09-22 | Ext-groups of graded comodules
[arXiv] 2026-09-22 | Complementary Roles of Radiomics and Foundation Representations in Renal Cell Carcinoma Classification: A Comparative Study of 2D and 3D CT Encodings
[arXiv] 2026-09-22 | Can We Predict Anomaly Detection Performance from Embedding-Space Geometry?
[arXiv] 2026-09-22 | Shallow-to-deep velocity model building via diffusion models-Part I: Method and Proof of concept
[arXiv] 2026-09-22 | Hilbert-space fragmentation selects channels of strong-to-weak spontaneous symmetry breaking
[arXiv] 2026-09-22 | Mammo-LIFE: Longitudinal Mammographic Imaging and Clinical Feature Enrichment for Post-Radiotherapy Outcome Prediction
[arXiv] 2026-09-22 | Molecules in the shadows of the protoplanetary disk HD 143006: Evidence for C/O $\gtrsim 1$ from simultaneously modeling fourteen ALMA lines
[arXiv] 2026-09-22 | Linear and nonlinear active microrheology of viscous, viscoelastic, and elastic media: A fluid particle dynamics approach
[arXiv] 2026-09-22 | QuantWM: Temporally Consistent 2-Bit KV Cache Quantization for World Models and Video Generation
[arXiv] 2026-09-22 | The KPZ Upper-Tail Field as a KPZ Fixed Point with Brownian Initial Data
[arXiv] 2026-09-22 | Photon sphere for a dyonic black hole corresponding to $A_2$ Toda chain
[arXiv] 2026-09-22 | Kählerian oxidation and reduction of Lie algebras with Kähler structures
[arXiv] 2026-09-22 | SparseNav: Instruction-conditioned Sparse Semantic Perception for Training-Free Vision-Language Navigation
[arXiv] 2026-09-22 | AI-Generated Email Drafts Shift Culturally Distinctive Communication Styles in Professional Email
[arXiv] 2026-09-22 | On the Gradient Heterogeneity Dynamics of Adversarially Robust Federated Regression
[arXiv] 2026-09-22 | Erdős-Ko-Rado properties of Steiner 2-designs
[arXiv] 2026-09-22 | When Recursive Models Finish Computing
[arXiv] 2026-09-22 | The Scott-Vogelius element is inf-sup stable on Freudenthal meshes for $k \geq 4$
[arXiv] 2026-09-22 | $\mathsf{BQP} \subseteq \mathsf{IP}$ Does Not Relativize
[arXiv] 2026-09-22 | DynaForge: Planning-Guided Residual Learning for Dynamic Manipulation Demonstration Generation
[arXiv] 2026-09-22 | A Spectral Theory of Grokking: Weight Decay induces Feature Learning
[arXiv] 2026-09-22 | Linear Robin-type Domain Decomposition scheme for Mixed Formulation of Richards' Equation
[arXiv] 2026-09-22 | Reciprocal Collaboration: how lessons from convergence in GLAMs can enhance interdisciplinary AI research
[arXiv] 2026-09-22 | Quantum Advantage for Distributed Symmetry Breaking
[arXiv] 2026-09-22 | Welschinger invariants and the Conway polynomial
[arXiv] 2026-09-22 | Iterated integrals for generalized Appell functions
[arXiv] 2026-09-22 | On the Sp-structure of the torsion of the Lie algebra of homology cylinders
[arXiv] 2026-09-22 | Unsigned Distance Maps on 2D Point Cloud Registration
[arXiv] 2026-09-22 | Quantum Love Numbers are Non-Zero
[arXiv] 2026-09-22 | Poincaré Duality and Quadratic Refinements over Laurent Rings
[arXiv] 2026-09-22 | A dataset of one-dimensional idealized probabilistic fields
[arXiv] 2026-09-22 | ESupNNet: An Error Supervising Neural Network architecture for error detection against soft errors in parameters
[arXiv] 2026-09-22 | Intra-bandgap Bound-State Magnonics in a Photonic Crystal Waveguide
[arXiv] 2026-09-22 | Numerical Sasaki--Einstein metrics and harmonic forms on del Pezzo links
[arXiv] 2026-09-22 | Immersed hypersurfaces with positive first Newton transformation
[arXiv] 2026-09-22 | An Intrinsic Sobolev Trace Theory for Riemannian Vector Bundles with Applications to Quasilinear Elliptic Equations
[arXiv] 2026-09-22 | Prediction-Aware Structured Resource Control for Partitioned IRS-Assisted Mobile IoT Uplinks With Semi-Blind Cascaded-Channel Acquisition
[arXiv] 2026-09-22 | SuperPCA: subspace analysis and an efficient algorithm for high-dimensional PCA
[arXiv] 2026-09-22 | The Ethics of Artificial Intelligence in Military Operations
[arXiv] 2026-09-22 | Vehicle-Mounted Steerable Wideband Antenna Array for NATO Band III Tactical Radio Links
[arXiv] 2026-09-22 | The Cartesian Hand: In-Hand Manipulation with All-Linear Fingers
[arXiv] 2026-09-22 | Recursive self-improvement of AI research agents
[arXiv] 2026-09-22 | Direct Optimization of Generators for Search in Automated Theorem Proving
[arXiv] 2026-09-22 | Not Quite My Tempo: Voice Activity-aware Speech Synthesis for Lip-Synchronous Dubbing
[arXiv] 2026-09-22 | Infinite-dimensional Dyson Brownian motion(s)
[arXiv] 2026-09-22 | ArborSplat: Online Semantic Gaussian Splatting SLAM for Orchards
[arXiv] 2026-09-22 | Enhanced attenuation modelling for multispectral computed tomography
[arXiv] 2026-09-22 | An asymmetric atom-photon architecture for device-independent quantum key distribution over 25\,km
[arXiv] 2026-09-22 | CODA: Depth-Aligned Scene Completion and Object Decomposition from a Single RGB-D Image
[arXiv] 2026-09-22 | Quantum Broadcast Channels with Mutually Confidential Messages
[arXiv] 2026-09-22 | Evidence for a low-gap component in compressively stressed niobium thin films
[arXiv] 2026-09-22 | Flexible latent variable models on graphs: Laplace approximated inference for multiview network data
[arXiv] 2026-09-22 | A surprising generalization of the Möbius function
[arXiv] 2026-09-22 | Hierarchical Multi-Task Learning with Liquidity-Aware Signals for Stock Forecasting
[arXiv] 2026-09-22 | Parallel Integration over Simple Radical Extensions in Mixed Towers: Charlwood's Integrals
[arXiv] 2026-09-22 | Qwen3.8-Omni: Towards Native Omni-Modal Agents
[arXiv] 2026-09-22 | Prediction-Aided V2X Safety Message Recovery via Uncertainty-Aware LDPC Decoding
[arXiv] 2026-09-22 | CableVLA: Simulation-Privileged Global-Local Representation Learning for Cable Routing
[arXiv] 2026-09-22 | Ultra-fast Neural Inference for Stochastic Gaussian Splatting Denoising
[arXiv] 2026-09-22 | Testing and Learning Symbolic Finite State Machines
[arXiv] 2026-09-22 | Rewired or Gated? How Instruction Tuning Shapes Knowledge-Conflict Circuits in LLMs
[arXiv] 2026-09-22 | Observer Choice and Threshold Selection in Retinal Vessel Segmentation: A Subject-Separated Evaluation
[arXiv] 2026-09-22 | Reflection of optimal supports for k-wise independent bits
[arXiv] 2026-09-22 | Evaluating Coding Agents on Kernel Exploit Generation
[arXiv] 2026-09-22 | Agentic Building-Aware Satellite Gaussian Splatting for Auditable Urban DSM Reconstruction
[arXiv] 2026-09-22 | Recording Hand-Held Laparoscopic Instrument Motion in the Operating Room: Magnetometer-Free Fusion of Inertial, Range and Visual Sensing
[arXiv] 2026-09-22 | A Quaternary Legendre Pair of Length 64
[arXiv] 2026-09-22 | A Behavioral Trait Leaks into Preferences: Diagnosing Trait Interference in LLM User Simulators
[arXiv] 2026-09-22 | Signed GLMY Homology of Signed Graphs via Double Covers
[arXiv] 2026-09-22 | An explicit half-flip family of 32-modular Hadamard matrices at L = 3 mod 8: structural placement and mod-tower analysis
[arXiv] 2026-09-22 | Frobenius functors and $n$-torsionfree objects
[arXiv] 2026-09-22 | Existence of coarse moduli superspaces for Deligne--Mumford superstacks
[arXiv] 2026-09-22 | Learning continuous reaction paths for transition-state prediction
[arXiv] 2026-09-22 | Beyond Provenance: The Economics and Governance of Personalized AI Memory
[arXiv] 2026-09-22 | Dynamic Conformance Testing of WebGPU Through Specification-Driven Mutation
[arXiv] 2026-09-22 | Semord: Learned Semantic-Preserving Placement and Low-Fanout Routing for Distributed Vector Search
[arXiv] 2026-09-22 | Incipit: Axiom-Grounded Scaffolding for Human-AI Literary Creation
[arXiv] 2026-09-22 | TimeInteract: Towards Real-Time Interactive Intelligence for Streaming Time Series
[arXiv] 2026-09-22 | On the Lexical Superstition of Large Language Models for Code Comprehension: Re-evaluation on Code of Low Lexical Quality
[arXiv] 2026-09-22 | Spectral projectors of bisectorial Clifford operators and applications to the generalized gradient
[arXiv] 2026-09-22 | Improving the CMS High Level Trigger tracking at the HL-LHC with novel and evolved heterogeneous algorithms
[arXiv] 2026-09-22 | KwaiMind Technical Report
[arXiv] 2026-09-22 | HySparse2: Hybrid Sparse Attention with Two-Level KV Sharing
[arXiv] 2026-09-22 | The parameterised complexity of generalised temporal domination on temporal graphs with modular structure
[arXiv] 2026-09-22 | Improved rational approximations to Catalan's constant
[arXiv] 2026-09-22 | Click, Branch, Audit: A Decision-Tree Toolkit for Assessing Fundamental Rights Impacts under the Digital Services Act of Very Large Platforms & Search Engines
[arXiv] 2026-09-22 | A Deeper Look at Depth: Stable Generation Accounting for Quantifier Reasoning
[arXiv] 2026-09-22 | Collective Tube Model Predictive Control With Distribution-Free Joint Safety Certificates
[arXiv] 2026-09-22 | An Infinitary and a Cyclic Sequent Calculus for Non-Monotone Inductive Definitions
[arXiv] 2026-09-22 | Disaggregated Quantization: Specializing LLM Prefill and Decode
[arXiv] 2026-09-22 | Rigidity of Stationary Navier-Stokes Solutions with Transverse bound in Dimensions Five and Higher
[arXiv] 2026-09-22 | CHiME-9 ECHI: A Machine Learning Challenge for Enhancing Conversations to Address Hearing Impairment
[arXiv] 2026-09-22 | Learning to Fluctuate: Statistical Foundations for Causal Tabular Pretraining
[arXiv] 2026-09-22 | Orthogonal Flatbands-Enabled Robust Fano Resonances through Brillouin-Zone Folding
[arXiv] 2026-09-22 | Rethinking Web Application Firewalls
[arXiv] 2026-09-22 | BAS-OPD: Budget-Aware Selective On-Policy Self-Distillation for Fine-Grained Multimodal Perception
[arXiv] 2026-09-22 | The weighted large sieve through Parseval
[arXiv] 2026-09-22 | High-Performance Sensorless Control for High-Speed PMSM with Current Source Inverters
