[2026-09-22 23:20:24] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[arXiv] 2026-09-21 | Observations on the variety of equationally linear Heyting semilattices
[arXiv] 2026-09-21 | Determinantal capacity and $L^\infty$-Estimates
[arXiv] 2026-09-21 | High-resolution Nitrogen Dioxide Maps Reveal Exposure Limit Breaches across Europe
[arXiv] 2026-09-21 | Convergence of metric measure spaces via embeddings in the Urysohn universal space
[arXiv] 2026-09-21 | White's cone over the Möbius band is area-minimising
[arXiv] 2026-09-21 | Complex KDA: Understanding and Enhancing the Expressivity of Kimi Delta Attention
[arXiv] 2026-09-21 | Bridging the Vendor Gap: Enabling AMD GPU Support for Awkward Array via ROCm/HIP for the HL-LHC Era
[arXiv] 2026-09-21 | IceCube Upgrade status and perspectives
[arXiv] 2026-09-21 | Written as a Record, Read as an Address: What a Forward Pass Leaves in an Operation's KV Cache
[arXiv] 2026-09-21 | Benign Geometry and Distributional Robustness of $\mathcal{H}_2$ Synthesis
[arXiv] 2026-09-21 | Come for the vibe, stay for the math
[arXiv] 2026-09-21 | Improved polynomial-time algorithms for detecting and recovering planted $Θ(\sqrt{n})$-cliques
[arXiv] 2026-09-21 | Model of the magnon Kerr effect in a highly anisotropic ferromagnet
[arXiv] 2026-09-21 | Jet variability in small mass ratio supermassive black hole binaries
[arXiv] 2026-09-21 | Multi-Stage and Multi-Field Inflation in Random Inflationary Landscapes
[arXiv] 2026-09-21 | A New Probe of Strongly-Interacting Dark Sector using Neutrino Telescopes
[arXiv] 2026-09-21 | Complete Reductions and Idempotent Representations for $RΠΣ^*$-towers
[arXiv] 2026-09-21 | Toward a Unified Mathematics of Concepts
[arXiv] 2026-09-21 | A Proof of the Global Attractor Conjecture in a Special Case
[arXiv] 2026-09-21 | Smoothness as a Constraint for Stable Humanoid Locomotion
[arXiv] 2026-09-21 | MIRA: Real-Time Full-Duplex Human-Robot Interaction for Embodied Companions
[arXiv] 2026-09-21 | Silencing the stellar glare with kernel-nulling and active phase control on photonic chips
[arXiv] 2026-09-21 | Spectroscopic parameters of $B_c$ meson
[arXiv] 2026-09-21 | Probing Massive Invisible Dark Photons in Higgs Decays via Gluon--Gluon Fusion at ATLAS Run 3
[arXiv] 2026-09-21 | Prefix Puncturable Signatures with Smaller Signing Key from HIBS
[arXiv] 2026-09-21 | A Monolithic Force-Proprioception Soft Acutuator Enabled by Single-Material 3D printing
[arXiv] 2026-09-21 | CMAMBADEPTH: Self-supervised Monocular Depth Estimation with Channel Mamba and Hybrid Attention
[arXiv] 2026-09-21 | Identity-Consistent Analysis of Long-Shot Windsurfing Video: A Domain-Specific Offline Tracking System
[arXiv] 2026-09-21 | Lifted Bellman Linear Programming for Offline Reinforcement Learning
[arXiv] 2026-09-21 | AgentSTAR: Agentic Shape Tracking and Reconstruction from Monocular Videos
[arXiv] 2026-09-21 | Spin-One Secondary Pairing in Two-Flavor Color Superconductivity: Spinful Relativistic Superfluidity and Anomaly Matching
[arXiv] 2026-09-21 | A Leader-Driven Open Collaboration Platform for Exploring New Domains
[arXiv] 2026-09-21 | Parallel Simulation of Josephson Junctions With Multiplicative Noise
[arXiv] 2026-09-21 | ActGov: Governing LLM Agent Actions via Policy-Constrained Validation
[arXiv] 2026-09-21 | Streamer slab eigenmode analysis with the Legolas code
[arXiv] 2026-09-21 | Comparing Latent Concept Formation in State Space Models and Transformers via Sparse Autoencoders
[arXiv] 2026-09-21 | Semicommutativity via Zero-Insertive Elements: Insights from Path and Leavitt Path Algebras
[arXiv] 2026-09-21 | Do gravitational waves assist the genuine tripartite entanglement harvesting?
[arXiv] 2026-09-21 | Transfinite octahedrality in spaces of operators
[arXiv] 2026-09-21 | Robotic Valve Turning: Axial Misalignment Correction Using Reaction Torque Feedback
[arXiv] 2026-09-21 | Ageing in the exact correlations of the voter model on a fractal
[arXiv] 2026-09-21 | Well-posedness of a stochastic Navier-Stokes system with dynamically coupled subgrid scales
[arXiv] 2026-09-21 | Passive Hybrid Network-Based Intrusion Detection System (Hybrid-NIDS) Combining Suricata and Random Forest
[arXiv] 2026-09-21 | Tactile-JEPA: Topology-Aware Self-Supervised Representation Learning for Distributed Tactile Sensors
[arXiv] 2026-09-21 | The detector system of the SHiP/NA67 experiment at CERN
[arXiv] 2026-09-21 | DeceptionAnalyser: A Web-Based AI Tool for Performing Structured Deception Analysis with Argumentation Schemes and LLMs
[arXiv] 2026-09-21 | TReViS: Temporal Repetition Structure Aware Video Synthesis for Self-supervised Repetitive Action Counting
[arXiv] 2026-09-21 | Joint Energy Efficiency and Fairness Optimization for D2D Communications in Aerial-Ground Integrated Heterogeneous Networks
[arXiv] 2026-09-21 | A novel phenomenological parametrization of dynamical dark energy via matter-gravity coupling
[arXiv] 2026-09-21 | Explainable Neuro-Fuzzy Prediction for Trustworthy Decision-Making in Maritime
[arXiv] 2026-09-21 | Turán problems with bounded matching number in $k$-uniform hypergraphs
[arXiv] 2026-09-21 | Probing modified gravity with galaxy-cluster-lensed gravitational-wave time delays: impact of systematic effects
[arXiv] 2026-09-21 | A Lean and Spec-Driven AI-Assisted Software Development Lifecycle for Applied AI Education: The AI-SDLC Approach
[arXiv] 2026-09-21 | An Algebraic Observer for State-Affine Systems
[arXiv] 2026-09-21 | Amorphous insulating MoS$_x$ films deposited by magnetron sputtering as a low-index optical coating
[arXiv] 2026-09-21 | Derivation Algebras of Three-Dimensional Leibniz Algebras: A Complete Description
[arXiv] 2026-09-21 | Companion masses of Gaia DR3 AstroSpectroSB1 binaries: a Bayesian forward-modelling framework
[arXiv] 2026-09-21 | AnalogDepth: Multi-view Geometry from FPV drones under Analog Video Transmission
[arXiv] 2026-09-21 | Morpho-VITS: Variational Inference with Morphological Modeling for End-to-End Speech Synthesis of a Tonal Bantu Language
[arXiv] 2026-09-21 | On the abundance of rigid meromorphic cocycles for quadratic forms in four variables
[arXiv] 2026-09-21 | Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev)
[arXiv] 2026-09-21 | Adaptive Solitons
[arXiv] 2026-09-21 | A sharp stability inequality of Liouville's theorem for quasiregular mappings on bounded domains
[arXiv] 2026-09-21 | Video-STLayout Pre-training
[arXiv] 2026-09-21 | When Evidence Conflicts: Reliability-aware Meta-review Generation
[arXiv] 2026-09-21 | Synthesizing Reactive Character Behaviors for Continuous Games via Programmatic Policy Search
[arXiv] 2026-09-21 | Square-Root Higher-Order Exceptional Points with Symmetry-Induced Multiple Spectral Responses
[arXiv] 2026-09-21 | Testing, not presuming, adequacy: calibrating generative social simulators against emergent network structure
[arXiv] 2026-09-21 | ShapeLex: Decoupling Local Shape Symbolization and Global Scale Modeling for Text-Controlled Time Series Generation
[arXiv] 2026-09-21 | Simpler Methods Work Better for L1 Penalized Logistic Models and Large Datasets
[arXiv] 2026-09-21 | Cassini Ansatz in the Skyrme Model
[arXiv] 2026-09-21 | ACLArena: Agent Continue Learning in Multi-stage Post-training
[arXiv] 2026-09-21 | The Operational Value of Spatial Dependence in Renewable Forecast Scenarios for Single-Period Economic Dispatch: A Controlled Ablation Study
[arXiv] 2026-09-21 | MobileCybench: Evaluating Agent Vulnerability Discovery via Executable Probes
[arXiv] 2026-09-21 | AURA: Uncertainty-Routed Activation Editing for Acoustic Grounding in Speech Foundation Models
[arXiv] 2026-09-21 | Sudoku Analogues of Baranyai's Theorem
[arXiv] 2026-09-21 | Opt2VLA: Force-Aware Vision-Language-Action for Contact-Rich Humanoid Whole-Body Manipulation
[arXiv] 2026-09-21 | From Tables to Quantified Statements: Evaluating LLM Inference Generation through Executable Verification
[arXiv] 2026-09-21 | Satellite Survival through Gas Redistribution in a Low-viscosity Disk
[arXiv] 2026-09-21 | Regime transitions of dynamos driven by fingering double-diffusive convection
[arXiv] 2026-09-21 | An Exact Junction-Tree Extended Formulation for Optimal Classification Trees
[arXiv] 2026-09-21 | MiTHras: Task-specific Hierarchical Semi-supervised Contrastive Masked Autoencoder for Mitotic Figure Analysis
[arXiv] 2026-09-21 | From OA colors to observable access states: A commentary on the 2026 OpenAlex proposal
[arXiv] 2026-09-21 | Explicit Second-Order Bounds on the Domain of Validity for Lyapunov-Schmidt Reduction
[arXiv] 2026-09-21 | Mitigating Front-Running Attacks through Fair and Resilient Transaction Dissemination
[arXiv] 2026-09-21 | Reasoning Topology Matters: A Controlled Study of LLM-Based Cybersecurity Analysis
