[2026-08-12 10:06:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[IEEE] 2026-8-11 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[IEEE] 2026-8-11 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[IEEE] 2026-8-11 | Detection of Malicious HTTP Traffic Using Large Language Models
[IEEE] 2026-8-11 | Fluid-Dynamic Optimization of Vertical Roller Mills
[IEEE] 2026-8-11 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[IEEE] 2026-8-11 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[IEEE] 2026-8-11 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[IEEE] 2026-8-11 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[IEEE] 2026-8-11 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[IEEE] 2026-8-11 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[IEEE] 2026-8-11 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[IEEE] 2026-8-11 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[IEEE] 2026-8-11 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[IEEE] 2026-8-11 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[IEEE] 2026-8-11 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[IEEE] 2026-8-11 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[IEEE] 2026-8-11 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[IEEE] 2026-8-11 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[IEEE] 2026-8-11 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[IEEE] 2026-8-11 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[IEEE] 2026-8-11 | Wind–Solar–Load Scenario Generation Based on Cross-Variable Attention and LLM-Based Operational Logic Verification
[IEEE] 2026-8-11 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[IEEE] 2026-8-11 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[IEEE] 2026-8-11 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[IEEE] 2026-8-11 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[IEEE] 2026-8-11 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[IEEE] 2026-8-11 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[IEEE] 2026-8-11 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[IEEE] 2026-8-11 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[IEEE] 2026-8-11 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[IEEE] 2026-8-11 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[IEEE] 2026-8-11 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[IEEE] 2026-8-11 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[IEEE] 2026-8-11 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[IEEE] 2026-8-11 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[IEEE] 2026-8-11 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[IEEE] 2026-8-11 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[IEEE] 2026-8-11 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[IEEE] 2026-8-11 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[IEEE] 2026-8-11 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[IEEE] 2026-8-11 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[IEEE] 2026-8-11 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[IEEE] 2026-8-11 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[IEEE] 2026-8-11 | PPO-Based JPEG Quantization Table Optimization
[IEEE] 2026-8-11 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
[IEEE] 2026-8-11 | Classification Model Selection Using a Mahalanobis Based Multi Criteria Decision Making Metric
[IEEE] 2026-8-11 | FUSE-RAG: A Unified Architecture for Retrieval-Augmented Generation
[IEEE] 2026-8-11 | Automated Medical Information Retrieval via Agentic Filter-and-Refine Pipeline
[IEEE] 2026-8-11 | Assessing the Impact of Foundation Model Features and MIL Aggregators for HER2 Status Prediction from Whole-Slide Images
[IEEE] 2026-8-11 | 2026 34th Signal Processing and Communications Applications Conference (SIU)
[IEEE] 2026-8-11 | Resource and Location Optimization with GA in UAV-Supported Multicellular Networks: A Comparison of Greedy and Local Search
[ACM] 2026-8-11 | LEVELLER: Fair Communication Scheduling via Progress-Rate Awareness in Multi-Tenant Training Clusters
[ACM] 2026-8-11 | Accelerating Resilient Geo-Distributed LLM Training via Photonic-Computing-Assisted Vandermonde-Orthogonal Multiplexing
[IEEE] 2026-8-11 | A Residual U-Net GAN Framework for Robust Segmentation of Cardiac MRI
[IEEE] 2026-8-11 | Channel-Aware Lightweight Neumann Unfolding Network for MIMO Detection over Correlated Channels
[IEEE] 2026-8-11 | Learning Hierarchies in Robotic Manipulation: Asymmetries in Sequential Pushing and Grasping
[IEEE] 2026-8-11 | An intelligent home drain pipe cleaning system based on MCU STM32
[IEEE] 2026-8-11 | Research on Key Technologies of Large-Capacity Long-Distance Power Transmission
[IEEE] 2026-8-11 | Raw-Observation-Based Monitoring and Evaluation of Smartphone GNSS Positioning Performance for Urban Service Domains
[IEEE] 2026-8-11 | Multi-source Remote Sensing Image Classification Based on Differential Feature Extraction and Cross-Attention
[IEEE] 2026-8-11 | Early Fire and Smoke Detection for Small-Scale Objects Using YOLOv8
[IEEE] 2026-8-11 | Design of an Edge-Computing-Based Embedded Real-Time Wireless Signal Processing System
[IEEE] 2026-8-11 | Investigation of Concentrated Power Ultrasonic Transducers' Electro-Mechanical Characteristics with Comsol Multiphysics Software
[IEEE] 2026-8-11 | Public Sentiment of Indonesian Society Toward the Coretax Application
[IEEE] 2026-8-11 | Prediction Method for Circuit Breaker Contact Ablation State Based on Dynamic Resistance and Arc-Contact Vibration Features
[IEEE] 2026-8-11 | FS-RTDETR: An Enhanced RT-DETR for Infrared LSS Target Detection
[IEEE] 2026-8-11 | Robust Trajectory Tracking of an Underwater Robot via Disturbance-Observer-Based Adaptive Sliding Mode Control
[IEEE] 2026-8-11 | Key Technologies for Anti-icing and De-icing of Transmission Lines
[IEEE] 2026-8-11 | Optimal Iterative Learning Control with Neighboring Correction for Multi-Agent Systems
[IEEE] 2026-8-11 | Evolution and Future Prospects of Cloud Computing for Machine Learning: Innovations, Challenges and Emerging Trends
[IEEE] 2026-8-11 | An End-to-End Machine Learning Framework for Credit Card Fraud Detection Using Imbalance Handling and Ensemble Models
[IEEE] 2026-8-11 | Knowledge-Enhanced Graph Neural Network for Traffic Flow Prediction
[IEEE] 2026-8-11 | Soybean Seeds Quality Identification Through Image Classification Using Machine Learning
[IEEE] 2026-8-11 | Data-Driven Governance and Stakeholder Mapping in Edutourism Development: Evidence from Abandoned Oil Wells in Blora
[IEEE] 2026-8-11 | Adoption of Blockchain Technology in Micro, Small, and Medium Enterprises Business Dynamics: A Literature Review
[IEEE] 2026-8-11 | A Lightweight Hybrid Encryption Architecture for High-Telemetry Constrained IoT Devices
[IEEE] 2026-8-11 | Research, Design, and Fabrication of a Drop-Test Device for Evaluating the Damping Characteristics of Motorcycle Shock Absorbers: A Comparative Study Between Brand-New and 3-Year Service States Under Vietnam's Climatic Conditions
[IEEE] 2026-8-11 | Renewable Power Scenario Generation With WGAN-GP and Transformer
[IEEE] 2026-8-11 | Attention Guided Hybrid CNN Transformer Framework for Multi Disease Detection and Severity Stratification
[IEEE] 2026-8-11 | Research on temperature closed-loop control and thermoelectric coupling simulation of hightemperature superconducting cables
[IEEE] 2026-8-11 | An FPGA Accelerator Based on Improved ACO for Real-Time Dispatch of DG-Integrated Networks
[IEEE] 2026-8-11 | A Comparative Study of Embedded and Client- Server DBMS (SQLite, MySQL, and PostgreSQL) in Edge-Cloud Smart City and Digital Twin Systems
[IEEE] 2026-8-11 | Comparison Analysis of Deep Learning, Classical ML and Hybrid Models for American Sign Language Alphabet Recognition
[IEEE] 2026-8-11 | Target Localization for Robotic Arm Grasping Based on Deep Reinforcement Learning
[IEEE] 2026-8-11 | Comparative Performance Analysis of Deep Learning Architectures for Oral Cancer Detection Using Histopathological Images
[IEEE] 2026-8-11 | Zero-Shot versus Few-Shot Prompting for Complex Intent Recognition in E-Commerce Dialogue Systems: An Evaluation on an Adversarial Dataset
[IEEE] 2026-8-11 | Input Quality Validation for Clinical NLP Tradeoffs Between Accuracy and Latency
[IEEE] 2026-8-11 | Microcarrier Cell Sheets from Decellularized Tissue for Articular Cartilage Regeneration
[IEEE] 2026-8-11 | A Drug-Target Affinity Prediction Model Based on Bayesian Meta-Learning and Uncertainty Fusion
[IEEE] 2026-8-11 | Attention-Guided Deep Learning for Brain Tumor Biopsy
[IEEE] 2026-8-11 | 3D Path Following of Underactuated AUV via Line-of-Sight Guidance and Backstepping Control
[ACM] 2026-8-11 | Fabric-Native Hardware Assurance for AI Infrastructure
[ACM] 2026-8-11 | Poster: EPIC - When Learners Disagree, Campaigns Speak; Perceiving Structure in Unfolding SSH Episodes
[ACM] 2026-8-11 | Networked Agent Memory and Causality Representation: Experiences towards Interpretable Cloud-Scale Root-Causing
[ACM] 2026-8-11 | TurboBus: Pooling PCIe Bandwidth for LLM Workloads via Scale-Up Fabrics
[ACM] 2026-8-11 | Anytest: Localizing the Root Cause of Hardware Transport Performance Anomalies
[IEEE] 2026-8-11 | Copyright Page
[IEEE] 2026-8-11 | Fault Detection on Electronic Boards with MSPRT
[IEEE] 2026-8-11 | PSD Estimation in Artifact-Contaminated HRV Signals: A Methodological Comparison
[IEEE] 2026-8-11 | Table of Contents
[IEEE] 2026-8-11 | Structured CT Imaging Artefact Assessment using Vision-Language Models
[IEEE] 2026-8-11 | RGB2HSI Spectral Reconstruction on NEON Tree Canopy Data
[IEEE] 2026-8-11 | Underwater Localization using Forward-Looking Sonar and Artificial Object References
[IEEE] 2026-8-11 | Preface
[IEEE] 2026-8-11 | Semantic Relevance Detection of Visual Content in Corporate Reports Using Layout-Aware Vision-Language Models
[IEEE] 2026-8-11 | Task-Oriented Navigation with Semantic Perception for Monocular Camera-Based Mobile Robots
[IEEE] 2026-8-11 | MiRTS:
                    <u>S</u>
                    cheduling of
                    <u>M</u>
                    ixed
                    <u>R</u>
                    eal-
                    <u>T</u>
                    ime
                    <u>T</u>
                    asks on Accelerator-based Heterogeneous Architectures
[IEEE] 2026-8-11 | A Unified LCDI-FDTD Scheme for General Dispersive Media Based on CCPR Representation
[IEEE] 2026-8-11 | Retraction Notice: Paint / Writing Application through WebCam using MediaPipe and OpenCV
[IEEE] 2026-8-11 | HADR-UNet: An Image Segmentation Network for Blasted Ore in Open Pit Mines (June 2026)
[IEEE] 2026-8-11 | Resilient coherent optical transmission against-lightning induced ultrafast polarization dynamics via optical-electrical synergy strategy
[IEEE] 2026-8-11 | Comparison of Real and Imagined Movements in EEG Signals: Feature and Channel Based Analysis
[IEEE] 2026-8-11 | System-Level Evaluation of Control, Optimization, and AI/ML Methods in Maritime Power Systems: An IEEE TIA Perspective
[IEEE] 2026-8-11 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities
[IEEE] 2026-8-11 | Retraction Notice: Automatic Fracture Detection in Hand Bone Using MATLAB and Image Processing
[IEEE] 2026-8-11 | FedDiDC: Federated Diffusion Learning with Dual-Side Calibration for Data Heterogeneity
[IEEE] 2026-8-11 | A Level-Decoupled FHE Accelerator With Intra-Stage Iteration and Inter-Stage Pipelining Architecture
[IEEE] 2026-8-11 | Retraction Notice: Liver Disease Prediction using Semi Supervised based Machine Learning Algorithm
[IEEE] 2026-8-11 | Retraction Notice: Biometrics based Smart and Secured Electronic Voting Machine
[IEEE] 2026-8-11 | Electric Vehicle Battery Swapping Demand Prediction Based on Adaptive Multi-Scale Temporal Feature Fusion Network
[IEEE] 2026-8-11 | Effects of Seamounts and Islands and Reefs on Constructing topography from SWOT Satellite Gravity anomaly: A Case of South China Sea
[IEEE] 2026-8-11 | A Comparative Analysis of MLP and Kolmogorov-Arnold Networks (KAN) for Faster-than-Nyquist (FTN) Signaling Detection
[IEEE] 2026-8-11 | Deep Learning-Based Activity and Posture Recognition Using mmWave Radar Data
[IEEE] 2026-8-11 | CNN-TA-Based Buy and Sell Signal Generation via Fusion of Technical Analysis Images and News Sentiment
[IEEE] 2026-8-11 | A Synthetic Benchmark and Fair Evaluation Protocol for Industrial Load Modeling with Production-Scheduling-Generated Labels
[IEEE] 2026-8-11 | Design of a 2D Image Cross-Section Method for Estimating Mass and Volume of Vietnamese Avocado 034 in Arbitrary Poses and Positions
[IEEE] 2026-8-11 | Human–AI Collaboration and Creativity: The Impact of ChatGPT Use Among Copywriters in the Digital Creative Industry
[IEEE] 2026-8-11 | Simulation Design of 555 Timer based on Cadence virtuoso
[IEEE] 2026-8-11 | Explainable AI-Based Phishing Website Detection Using Feature-Driven Analysis
[IEEE] 2026-8-11 | Design and Implementation of a Self-Closed-Loop Stimulus-Response Test System for Unknown Circuits with Circuit Classification
[IEEE] 2026-8-11 | Edge-ViT: Real-Time, Edge-Optimized ViT System for Deepfake Detection
[IEEE] 2026-8-11 | A Cubic Nonlinear Price-Elasticity Model of Demand Response with Temperature Correction and Distributionally Robust Parameter Inference
[IEEE] 2026-8-11 | Switching to Low-Carbon Fuels through Modeling
[IEEE] 2026-8-11 | Flexible Control Strategy for EV Charging Stations Based on MMD-K-means and Congestion Risk Index
[IEEE] 2026-8-11 | Adaptive Differential Protection with Positive- and Negative-Sequence Fusion for Active Distribution Networks with Unmeasurable Branches
[IEEE] 2026-8-11 | Progressive Knowledge-Driven Defect Detection Based on Invariants
[IEEE] 2026-8-11 | AeroSurf-Net: A Dual-Task Hybrid Framework for Airport Object Detection and Surface Condition Assessment Using Deep Learning and Texture Analysis
[IEEE] 2026-8-11 | Disturbance-Observer-Based Control for 2-D Semi-Markov Jump Roesser Systems Under Constrained Signal Transmission
[IEEE] 2026-8-11 | A Hybrid Framework: Dwell Time and Demand- Driven Zoning in Port-Base CKD Warehouses
[IEEE] 2026-8-11 | A TCN-GCN Based Channel Selection Method for MEG Motor Imagery
[IEEE] 2026-8-11 | EfficientNet-B4 Based Deep Learning Framework for Rice Nitrogen Deficiency Classification
[IEEE] 2026-8-11 | A Study on 3D Motion Control of a Manta Ray Robot Based on the TD3 Deep Reinforcement Learning Algorithm
[IEEE] 2026-8-11 | Multimodal Framework for Early Detection of Alzheimer's Disease from Handwriting and Speech Recognition Using Deep Learning
[IEEE] 2026-8-11 | Development of CMS an Application of ES for Fighting Against the Tomato Plant Disease for the People of Chhattisgarh Especially Tribal Population
[IEEE] 2026-8-11 | Modeling Wind Power Uncertainty Using the D-Vine Copula and a Variable-Window Rolling Ellipsoid
[IEEE] 2026-8-11 | Explainable Machine Learning Framework for Early Detection and Classification of Kidney Infections Using Clinically Relevant Features
[IEEE] 2026-8-11 | Robust Fractional Estimation of Lithium-Ion Battery SOC and Capacity with Information Gating
[IEEE] 2026-8-11 | BIM-IFC Information Organization and Lifecycle Data Interoperability for Reinforced Concrete Structures
[IEEE] 2026-8-11 | Optimization of Sub-threshold Bandgap Reference Circuit with Immune Plasma Algorithm
[IEEE] 2026-8-11 | Manifold-Regularized Self-Organizing RBF Networks with Event-Driven Structural Evolution
[IEEE] 2026-8-11 | Hybrid DV-Hop Localization in Wireless Sensor Networks Using Black Kite Algorithm and Mountain Gazelle Optimizer
[IEEE] 2026-8-11 | Urban Expansion Monitoring Using Integrated SAR and Optical Remote Sensing Data
[IEEE] 2026-8-11 | Kinematic and Performance Investigation of Two 3- RPS Parallel Mechanisms
[IEEE] 2026-8-11 | FedMineMT: Personalized Federated Learning with Local EMA Teachers for Robust Foreign Object Detection in Coal Mines
[IEEE] 2026-8-11 | Automated Processing of Professional Text with Respect for the Intellectual Property of the Authors of the Sources Used
[IEEE] 2026-8-11 | Integrated Acoustic Localization and State Recognition for UAVs Under Background Noise
[IEEE] 2026-8-11 | CAGE-Rank: Criticality-Aware Graph Evidence Ranking for Passive Cybersecurity Perception in Oil and Gas Stations
[IEEE] 2026-8-11 | A Musical Robot on a Six-Axis Arm: From Numbered Musical Notation to Real-Time Xylophone Performance
[IEEE] 2026-8-11 | Sustainable Application of Waste Silica Sludge as a Fine Aggregate Replacement in Alkali-Activated Mortars
[IEEE] 2026-8-11 | Extended AI Architectures for Wearable-Driven and Remote Healthcare Systems
[ACM] 2026-8-11 | Recommendation-as-Experience: A Framework for Context-Sensitive Adaptation in Conversational Recommender Systems
[IEEE] 2026-8-11 | 2007 IEEE Electric Ship Technologies Symposium
[IEEE] 2026-8-11 | A Spectrally Optimized Tetrahedral Operator Paradigm for Electromagnetic–Thermal–Mechanical Analysis of High-Power Microwave Devices
[IEEE] 2026-8-11 | Joint Spectrum, Association, and Deployment Optimization for UAV Swarm-Assisted ISAC Networks
[IEEE] 2026-8-11 | Drift-Adaptive Synchronization for Energy–Fidelity Tradeoffs in Digital Twin IoT Systems
[IEEE] 2026-8-11 | Fixed-Time Convergent Resilient Critic-Learning Control With Asymmetric Input-State Constraints Under Hybrid FDI–DoS Attacks
[IEEE] 2026-8-11 | TORE-NET: A Task Replication and Offloading Strategy in Reliable and Energy-Efficient Mobile Edge Computing Networks
[IEEE] 2026-8-11 | Fuzzy-clustering Attentive Network with Context-aware Enhancement for Image Denoising
[IEEE] 2026-8-11 | PointDiffuse: A Dual-Conditional Diffusion Model for Enhanced Point Cloud Semantic Segmentation
[ACM] 2026-8-11 | DynamiQ: Accelerating Gradient Synchronization using Compressed Multi-hop All-reduce
[ACM] 2026-8-11 | CausalTune: Causal Learning based Automated Cellular RAN Configuration Tuning Framework
[ACM] 2026-8-11 | Open the Floodgates in a Digital Twin: Experiences of Building Spillway for 100M+-User Signaling Storms in Cellular Core Network
[ACM] 2026-8-11 | IntentP4: Bridging P4 Temporal Specifications and Executable Network Tests
[ACM] 2026-8-11 | Odin: Rethinking Congestion Control under All-to-All Traffic
[IEEE] 2026-8-11 | Retraction Notice: Analysis of Collaborative and Convenient E-Learning on Cloud Computing
[IEEE] 2026-8-11 | To what extent does driving style and head pose dynamics impact safety critical events under disrupted traffic flow: A computer vision and machine learning approach
[IEEE] 2026-8-11 | Retraction Notice: Sign Language Converter Using Hand Gestures
[IEEE] 2026-8-11 | WaveBlock: Hybrid Discrete Wavelet Transform and Block Truncation Coding Based Video Compression Architecture for Resource-Constrained Embedded Systems
[IEEE] 2026-8-11 | Dynamic Task-Based Urban Routing with IoT Telemetry
[IEEE] 2026-8-11 | Evolutionary Optimization of Gait Stability for Three Spoke Wheg Rovers via Discrete Element Method
[IEEE] 2026-8-11 | The Schur Complement-Based Covariance Intersection Method
[IEEE] 2026-8-11 | LLM-Assisted Indoor Scene Assembly with Rule-Based Spatial Validation for Emergency Navigation
[IEEE] 2026-8-11 | AI-Based Autonomous, Energy-Efficient and Resilient O-RAN Architecture for 5G and 6G Networks
[IEEE] 2026-8-11 | DeepChequeNet: A Hybrid Ensemble for Default Risk Scoring in Cheque Factoring
[IEEE] 2026-8-11 | A Comparative Study of Visual Appearance-Based Screening Methods for Pediatric Adenoid Facies
[IEEE] 2026-8-11 | CEPIN: Contrastive Entity-Pair Interaction Network for Financial Relation Classification in Chinese Corporate Annual Reports
[IEEE] 2026-8-11 | Precise Positioning Soot-Blowing Control Using Virtual Feedback in DCS
[IEEE] 2026-8-11 | Temperature-Induced Carrier Frequency Offset Variability in LoRa Devices: An Experimental Study
[IEEE] 2026-8-11 | AI-Assisted Detection and Prognosis of Rheumatoid Arthritis from Joint Imaging and Genomic Data
[IEEE] 2026-8-11 | Coordinated Sizing of Multi-Type Energy Storage Systems for Remote Microgrids Considering Resilience Constraints Under Extreme Events
[IEEE] 2026-8-11 | Voltage Predictive Control Strategy for CLLC Resonant Converters Based on Simplified TimeDomain Model
