[2026-08-24 21:17:51] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-23
正在获取论文...
[ACM] 2026-8-24 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[IEEE] 2026-8-24 | PrivNN: Efficient Privacy-preserving Neural Network Inference Using Flexible Ciphertext Packing
[IEEE] 2026-8-24 | Enhanced Microstrip Antenna with Four Modified Circular Elements for High-Gain Operation at 5.8 Ghz
[IEEE] 2026-8-24 | Illumination-Adaptive Part Detection for Automated FDM 3D Printing Dataset Collection
[IEEE] 2026-8-24 | DecompGrind: A Decomposition Framework for Robotic Grinding via Cutting-Surface Planning and Contact-Force Adaptation
[IEEE] 2026-8-24 | An Improved Cycle-by-Cycle Current Limiting Strategy for Active Neutral-Point-Clamped Inverters
[IEEE] 2026-8-24 | SIFMAP: Parallel CNN Inference using Sub-Input-Feature Maps in PIM
[IEEE] 2026-8-24 | Semantic-Aware Telemetry and Resource Co-Design for ISAC-Enabled UAV Swarms
[IEEE] 2026-8-24 | Two-Sided Conditional Values-at-Risks for Risk-Aware Control of Non-Gaussian Stochastic Systems
[IEEE] 2026-8-24 | Assessing Lower Limb Muscle Fatigue Under Different Inner Pressures of Air Insoles Using Electromyography
[IEEE] 2026-8-24 | Multimodal Emotion Recognition Via Integrated Facial, Speech, and Textual Features
[IEEE] 2026-8-24 | SatelliteSFL: A Parallel Split Federated Learning Approach for Satellite-Terrestrial Networks
[IEEE] 2026-8-24 | UAV-Based Framework for Automated Library Inventory Using Visual Detection and Feature Matching
[IEEE] 2026-8-24 | Simulation on Thermal Field and Ampacity of Cable Groups Under Different Laying Methods
[IEEE] 2026-8-24 | A Virtual Reality Based Analysis of Visual Search Strategies in Elite and Novice Table Tennis Players
[IEEE] 2026-8-24 | Adaptive Uncertainty Calibration and Exemplar Management for Bridging Open Set Recognition and Incremental Learning
[IEEE] 2026-8-24 | Upcycling Noise for Federated Unlearning
[IEEE] 2026-8-24 | Research on Probabilistic Scenario Generation and Reduction Methods for Wind and Solar Uncertainty
[IEEE] 2026-8-24 | Design Optimization of a Dual-Shoe Piezoelectric Energy Harvesting System for Low-Power Wearable Electronics
[IEEE] 2026-8-24 | AI-Driven Failure Management in CI/CD Pipelines: From Prediction to Remediation
[IEEE] 2026-8-24 | Cost-Effective DIY Hardware Solutions for Experimental Validation of Renewable Energy and Electrical Energy Systems
[IEEE] 2026-8-24 | IRNet-BFGS: A Compensation Method for Vector Magnetometer Systems of Autonomous Vehicles with Dynamic Interference Suppression
[IEEE] 2026-8-24 | Scenario-Adaptive Weighted K-Means++ Clustering Algorithm for Flexible Load Resource Classification in Distribution Networks
[IEEE] 2026-8-24 | Multi-Timescale Source-Load-Storage Coordinated Optimization of Distribution Networks Considering Photovoltaic Output Fluctuations
[IEEE] 2026-8-24 | A Fully Programmable Dual Channel CMOS Neurostimulator With Ultra Low Charge Mismatch
[IEEE] 2026-8-24 | Enhancing Narrative-Based Learning Experiences Through a Human–Generative AI Co-Creation Support Framework
[IEEE] 2026-8-24 | Trustworthy Workforce Compensation Intelligence using Fairness-Aware Explainable Artificial Intelligence
[IEEE] 2026-8-24 | Look-Up Table Based PMSM Control Method Using Low Memorized Data for Electric Vehicle
[IEEE] 2026-8-24 | Distributed Fairness-Aware Joint Sensing and Communication in UAV Swarms via Hybrid MARL-ADMM
[IEEE] 2026-8-24 | Supervised and Unsupervised approach of Machine Learning: A Comparative Study for Credit Card Fraud Detection Across Diverse Datasets
[IEEE] 2026-8-24 | Study on Photoacoustic Signal Power Spectrum Slope for Classification of Prostate Inflammation Section Samples
[IEEE] 2026-8-24 | Security Rule Embedding and Static-Analysis-Guided Repair for LLM-Based Intelligent Multimedia UI Code Generation
[IEEE] 2026-8-24 | From Voxel Masks to Pulmonary Vascular Graphs: Explainable Reconstruction and Morphometric Analysis from Low-Resolution Chest CT
[IEEE] 2026-8-24 | 2026 IEEE International Conference on Joint Cloud Computing (JCC)
[IEEE] 2026-8-24 | Lightweight Gossip Learning Model for Energy-Constrained Continuous Diabetes Monitoring System
[IEEE] 2026-8-24 | Relation-Aware Multi-View Representation Learning for Cross-KG Relation Prediction
[IEEE] 2026-8-24 | Data Fusion of Cameras attached on Dual UAVs for Real-Time Human Detection and Localization
[IEEE] 2026-8-24 | Attention-Guided Deep Learning for Multi-Stage Liver Fibrosis Staging from Ultrasound Imaging
[IEEE] 2026-8-24 | IntelliBand: An AI Productivity and Research Assistant Tool
[IEEE] 2026-8-24 | Orchestrating High-Performance Quantum Applications in Distributed Environments
[IEEE] 2026-8-24 | Real-Time FPGA-Based Adaptive Control for Robust FSO Quantum Key Distribution
[IEEE] 2026-8-24 | AI-Driven Visual Intelligence for Disaster Damage Assessment and Emergency Response
[IEEE] 2026-8-24 | Intelligent Warehousing using IoT and Multi-Agent Reinforcement Learning for Dynamic Storage and Resource Optimization
[IEEE] 2026-8-24 | Multiphase Electrical Drive
[IEEE] 2026-8-24 | CMOS Design of an Homodyne Receiver for Multi-Band Carrierless Amplitude and Phase Signals
[IEEE] 2026-8-24 | GazeHawkAI: Context-Aware Entropy-Guided Adaptive Fusion for Multi-Branch Anti-Spoofing Face Recognition
[ACM] 2026-8-24 | Perceptual Study of Vibro-Thermal Stimulations Interactions Across the Hand Using a Modular Haptic Stylus
[ACM] 2026-8-24 | Modulation of the Pleasantness of Brush-Stroking Stimuli with an External Virtual Agent Expressing Pleasant Affect in VR
[IEEE] 2026-8-24 | TASTE: Trait-like and State-like Two-stream Framework for EEG Imputation
[IEEE] 2026-8-24 | Comparing Traditional NLP and LLMs for Dementia Detection: Underdiagnosis in the Pitt Corpus
[IEEE] 2026-8-24 | Effect of Sternal Sensor Location on Seismocardiography for Severe Aortic Stenosis Detection
[IEEE] 2026-8-24 | A QoS-Driven Clustering Mechanism for Enhancing User Connectivity in JT-CoMP Small Cell Networks
[IEEE] 2026-8-24 | Leakage-Aware Hybrid Deep Learning Framework for Explainable Ethereum Fraud Detection
[IEEE] 2026-8-24 | Copyright Page
[IEEE] 2026-8-24 | Phys-TriBEV: A Physics-Informed Tri-Modal BEV Fusion for Robust 3-D Object Detection in Degraded Underground Coal Mine
[IEEE] 2026-8-24 | Integrated Channel Estimation and Localization in ISAC with Spatially Distributed Targets: A Parametric Approach
[IEEE] 2026-8-24 | Physics-Informed Unsupervised Inversion of Range-Dependent Evaporation Ducts from Uncalibrated Radar Sea Clutter_supp1-3724246.docx
[IEEE] 2026-8-24 | DRL-Based AoI Minimization for RSMA in Finite-Blocklength MU-MISO
[IEEE] 2026-8-24 | Wireless Charging Systems for EVs: A Comprehensive Review of Systems and Control Strategies
[IEEE] 2026-8-24 | Leakage-Controlled High-(d33) Prediction and Uncertainty-Aware Candidate Prioritization in Lead-Free KNN-Based Piezoelectric Ceramics Using PGU-RNet
[IEEE] 2026-8-24 | A Dual Uncertainty Framework for Trustworthy Brain Tumor Segmentation on BraTS 2021
[IEEE] 2026-8-24 | A Wing-Borne NVIS Command System
[IEEE] 2026-8-24 | An Intelligent Machine Learning Approach for Early Chronic Kidney Disease Detection Using Hybrid Optimization Techniques
[IEEE] 2026-8-24 | A Systematic Comparison of Dimensionality Reduction for Multi-Class Sleep Disorder Classification
[IEEE] 2026-8-24 | Bharat Sum: OCR-Enabled Multilingual News Summarization and Bias Analysis Framework
[IEEE] 2026-8-24 | JCC 2026: Message From the General Chairs
[IEEE] 2026-8-24 | Analysis of Crosstalk Drift in SLM-Based Mode-Multiplexing Systems for Free-Space and Multimode Fibre Transmission
[IEEE] 2026-8-24 | The Semantic Proximity Trap: Investigating Contrastive Learning for Open Set Radar Activity Recognition
[IEEE] 2026-8-24 | Semantic-Aware Observation Optimization for Multi-UAV Traffic Monitoring with IDM-Based Behavior Modeling
[IEEE] 2026-8-24 | Cover Page
[IEEE] 2026-8-24 | Optimal Link Resource Allocation and Pricing in Computility Networks
[IEEE] 2026-8-24 | Deterministic and Trustworthy LLM-Driven Semantic Knowledge Graph Construction
[IEEE] 2026-8-24 | Smart Home-security System based on High-performance Garlic-peel Biowaste-derived Triboelectric Nanogenerator_supp2-3726055.mp4
[IEEE] 2026-8-24 | Smart Grid Voltage Stabilization and Anomaly Detection using Reinforcement Learning
[IEEE] 2026-8-24 | Deep Convolutional Neural Networks for Robust Signal Denoising
[IEEE] 2026-8-24 | A New Technique Based on the Conjugate Gradient Method for a Simple Extraction of the PV Generator Electrical Parameters
[IEEE] 2026-8-24 | Advanced Machine Learning and Deep Learning Approaches for Multi-Class Thyroid Disease Classification
[IEEE] 2026-8-24 | AI-based Disease Similarity and Rarity Ranking System with Genetic Correlation
[IEEE] 2026-8-24 | M.A.R.S: An Offline, Edge-AI Wearable System for Realtime Indoor Spatial Mapping and Semantic Navigation
[IEEE] 2026-8-24 | Multi-Level Sunburn Classification in Japanese Pears Using HSV and Random Forest
[IEEE] 2026-8-24 | Real-Time Fault Diagnosis of Induction Motors Based on Stator Current Analysis and Embedded Machine Learning on a Cost-Effective Testing Platform
[IEEE] 2026-8-24 | A dynamic DAG-Based Scheduling Strategy for Cross-Chain Transaction Management
[IEEE] 2026-8-24 | Modulating Transformers with Explicit Degradation Information for Real-World Light Field Image Super-Resolution
[IEEE] 2026-8-24 | A Systematic Review and Comparative Analysis of AI-Generated Text Detection in Education
[IEEE] 2026-8-24 | Rethinking ViT Feature Aggregation for Medical Image Retrieval: Is [CLS] Always the Best Choice?
[IEEE] 2026-8-24 | Real-Time Global MPPT of PV Systems Under Partial Shading: Experimental Validation
[IEEE] 2026-8-24 | Robust Safety Tracking Control of UAHs via Control Barrier Function-based Self-Adjustable Prescribed Performance and Disturbance Observer
[IEEE] 2026-8-24 | Teacher Promotion and Progressive Shrinking: a Framework for Iterative Distillation
[IEEE] 2026-8-24 | Traffic Violations Detection System by Coordination between Bicycles and Roadside Units
[IEEE] 2026-8-24 | A Sequential Joint-Wise IKNet Framework for Mitigating Error Propagation in Learning-Based Inverse Kinematics
[IEEE] 2026-8-24 | An Interactive Zero-Shot Compound Fault Diagnosis Framework Based on Fuzzy Semantics and Fuzzy Neural Networks
[IEEE] 2026-8-24 | Standard-Compliant AI-Orchestrated Task Scheduling for 6G Healthcare in Vehicular Edge Networks
[IEEE] 2026-8-24 | Optimal Design of PID Controller for Poultry House System Using Butterfly Optimization Algorithm
[IEEE] 2026-8-24 | Age of Information Analysis of Heterogeneous Threshold-ALOHA Networks
[IEEE] 2026-8-24 | A TSMC 45 nm CMOS Voltage-Controlled Oscillator
[IEEE] 2026-8-24 | AI-Assisted Reconstruction of Historical Scenes from Images and Textual Descriptions: Toward a Trustworthy Multimodal Framework for Digital Heritage
[IEEE] 2026-8-24 | Efficiently Architecting VQAs: Expressibility–Trainability–Resources Pareto-Optimality
[IEEE] 2026-8-24 | Multiscale Fusion of Heterogeneous SAR and Radiometer Data for Robust Maritime Target Enhancement
[IEEE] 2026-8-24 | Unlocking Optical Prior: Spectrum-Guided Knowledge Transfer for SAR Generalized Category Discovery
[IEEE] 2026-8-24 | Novel Terahertz Groove Gap Waveguide
[IEEE] 2026-8-24 | Tri-Timescale Beamforming Design for Tri-Hybrid Architectures With Reconfigurable Antennas
[IEEE] 2026-8-24 | Optimization of Tilt Angles and Analysis of Power Generation Performance for Fixed-Mounted PV Systems in Dezhou Based on PVWatts Simulations
[IEEE] 2026-8-24 | Evaluating Vision-Language Models for Few-Shot Industrial Defect Detection
[IEEE] 2026-8-24 | Privacy-enhanced mechanisms in AI- and digital twins-based health applications: Trade-off between privacy and measurement accuracy
[IEEE] 2026-8-24 | Low Complexity Algorithmic Brightness Preprocessing for Efficient Low Light Image Fusion
[IEEE] 2026-8-24 | Development of Attention Gated Trans-R2Unet with Novel Activation Function for Change Detection in Remote Sensing Images
[IEEE] 2026-8-24 | Game-Theoretic Defense Against Hardware Trojans with Multi-Level Strategies
[IEEE] 2026-8-24 | UNAS: Urgency- and Fairness-Aware Scheduling for SLO-Oriented LLM Serving
[IEEE] 2026-8-24 | Preface
[IEEE] 2026-8-24 | Toward Intelligent Cyber Defense: An Optimized CNN–LSTM Framework Powered by Particle Swarm Optimization
[IEEE] 2026-8-24 | Detecting Fake Companies on LinkedIn: A Machine Learning Approach
[IEEE] 2026-8-24 | Applying Expected Utility and Risk Aversion in AI-based Purchase Propensity Modeling for E-Commerce
[IEEE] 2026-8-24 | Robust Joint Sensing and Task Inference for Resource-Constrained IoT Agents
[IEEE] 2026-8-24 | Millimeter-Wave Optical Fiber/FSO Fronthaul Network Deployment with Hollow Core Fiber
[IEEE] 2026-8-24 | Design of Hemispherical Phased Arrays for Fully Upper-Spherical Scan Coverage
[IEEE] 2026-8-24 | Optimizing Energy Efficiency and Signal Quality in Reflective Photoplethysmography via Adaptive Gain Control
[IEEE] 2026-8-24 | AI-based Mobility and Topology Management in Flying Ad Hoc Networks using Hybrid Bio-Inspired Optimization
[IEEE] 2026-8-24 | Control of Two-Dimensional Leaky-Wave Amplitude Tapering in PRS Antennas for Sidelobe Suppression
[IEEE] 2026-8-24 | Assessing Transmission Grid Resilience Through Graph-Theoretic Contingency Bounds
[IEEE] 2026-8-24 | Analysis of Current Carrying Capacity and Thermal Stability of High-Voltage Cables Based on Finite Element Simulation
[IEEE] 2026-8-24 | Artificial Intelligence in Education and Territorial Governance a Bibliometric Analysis of Educational Inequalities
[IEEE] 2026-8-24 | Exploring Research Productivity on AI in Entrepreneurship Education: A Bibliometric Performance Analysis
[IEEE] 2026-8-24 | IEEE Transactions on Terahertz Science and Technology Information for Authors
[IEEE] 2026-8-24 | Prototype Implementation of a Communication Library for a Distributed Processing Platform
[IEEE] 2026-8-24 | Frequency-Domain Blind Spectrum Sensing With Multiple Antennas
[IEEE] 2026-8-24 | A Variational Bayesian Maximum Correntropy Extended Kalman Filter for Robust GPS/INS Vehicle Localization
[IEEE] 2026-8-24 | DITING: A Static Analyzer for Identifying Bad Partitioning Issues in TEE Applications
[IEEE] 2026-8-24 | Sensor fault detection and Diagnostics in Small Modular Reactor and Advanced Analytical Perspectives: A Review
[IEEE] 2026-8-24 | Geometry-Preserving Coupled Augmentation for Data-Efficient Robot Imitation Learning
[IEEE] 2026-8-24 | Risk Assessment Method for Transient Voltage Rise Due to Incoordination of Fault Ride-Through Control in Multiple Power Electronic Devices in New Energy Stations
[IEEE] 2026-8-24 | Phase-Resolved Diagnostics of Oscillatory Plasma Using a Dual-Tip Langmuir Probe
[IEEE] 2026-8-24 | Enhancing Tesla Stock Prediction via Genetic Algorithm Optimization of ARIMAX, XGBoost, and GRU Models
[IEEE] 2026-8-24 | The RP-PhenoUAS: Autonomous Unmanned Aerial System for In-field Rice Panicle Segmentation Based on RP-DeepLabV3+
[IEEE] 2026-8-24 | Semi-Supervised Intelligent Diagnosis Based on Dual Momentum Contrast
[IEEE] 2026-8-24 | Synthetic Dataset Generation for Fisheye Lens Vibration Compensation
[IEEE] 2026-8-24 | Robust Predictive Control of AUV Formation with an Adaptive Measurement-Communication Union Framework
[IEEE] 2026-8-24 | Toward Constrained Generative Adversarial Network Architecture for Precision Microwave Imaging
[IEEE] 2026-8-24 | Inequalities in Additive Combinatorics and Information Theory: A Short Survey of the Translation Programme
[IEEE] 2026-8-24 | Autoregressive Image to 3D Generation via Next Symmetric View Prediction
[IEEE] 2026-8-24 | Design and Realization of a Regenerative Aerodynamic System for Electric Vehicles
[IEEE] 2026-8-24 | Comments on an ID-3PAKA Protocol for Resource-Constrained IoT Devices
[IEEE] 2026-8-24 | Coaching Feedback Generation for Cartwheel Movements via DTW-Based Motion Analysis and LLM Prompting
[IEEE] 2026-8-24 | Enhancing Scene Generalization for Open-Vocabulary Remote Sensing Segmentation via Semantic–Structural Collaboration
[IEEE] 2026-8-24 | Non-Metallic Grounding Fault Identification for DC Transmission Lines Based on the YOLO Algorithm
[IEEE] 2026-8-24 | A Unified Graph Domain Adaptation Framework for Cross-Site Brain Network Analysis
[IEEE] 2026-8-24 | Timing Behavior Analysis for Time-Sensitive Distributed Human- and Agent-in-the-Loop Cyber-Physical Systems
[IEEE] 2026-8-24 | Fairness-Aware Feedback Score (FAFS): A Composite Metric for Auditing LLM-Generated Employee Performance Reviews
[IEEE] 2026-8-24 | VFM-ISRefiner: Towards Better Adapting Vision Foundation Models for Interactive Segmentation of Remote Sensing Images
[IEEE] 2026-8-24 | Reducing PAPR in OFDM Systems Using AI
[IEEE] 2026-8-24 | Local Updates in Distributed Optimization: Provable Acceleration and Topology Effects
[IEEE] 2026-8-24 | SKCNN-Based Wideband Beamforming for Sidelobe Control
[IEEE] 2026-8-24 | Prediction of Type 1 Diabetes Risk in Children from 0 to 12 Years Old Using a Calibrated Probabilistic Model with Family-Aware Validation
[IEEE] 2026-8-24 | The Data Brain Architecture: How Artificial Intelligence, Master Data Management, and Enterprise Governance Are Transforming Modern Distributed Data Ecosystems
[IEEE] 2026-8-24 | Enhanced Transformer Powered Time-Series Anomaly Detection via Contrastive Embedding and Unified Discrimination
[IEEE] 2026-8-24 | Women in Engineering
[IEEE] 2026-8-24 | A Hybrid Deep Learning Approach for Plant leaf Disease Detection and Classification using YOLO and Transformer-based CNN
[IEEE] 2026-8-24 | Priority-Aware CAC Method with PI Adjustment for Low-Priority VoIP Sessions in Emergencies
[IEEE] 2026-8-24 | Privacy-Preserving Video Analytics System with Trajectory Prediction: Foresee and Protect You
[IEEE] 2026-8-24 | Data-Driven WSN Model for Smart Waste Collection Using Hybrid Route Optimization
[IEEE] 2026-8-24 | FIR-RLS with Spectral Residual Correction: A Two-Stage Adaptive Framework for Ocular Artifact Removal in Multi-Channel EEG
[IEEE] 2026-8-24 | Frontend Intelligence: Enhancing User Experience in ReactJS/AngularJS Applications using AI Models
[IEEE] 2026-8-24 | Artificial Neural Network Approximation of Transient State Probabilities in a Finite-Capacity Multi-Server Queue with Customer abandonment
[IEEE] 2026-8-24 | Gradient-Informed Rank Redistribution for Low-Rank Adaptation: An Empirical Assessment on GLUE Benchmarks in Low-Resource Settings
[IEEE] 2026-8-24 | A Multi-Stage Framework for Pathology Microscopy Tile Reconstruction with Stain-Aware Features and Cross-Grid Evaluation
[IEEE] 2026-8-24 | Deep Learning Framework for Leaf Classification and Medicinal Insights
[IEEE] 2026-8-24 | Big Data Sovereignty: Transfer Towards Cross-Border Governance
[IEEE] 2026-8-24 | Automatic Cyberattack Detection and Eradication System using Intelligent Network Traffic Analysis
[IEEE] 2026-8-24 | IMAP: Integrating Technical, Behavioral, and Affective Interview Assessment within a Unified Multimodal 3D Avatar Platform
[IEEE] 2026-8-24 | Experimental Evaluation of Multi-User Multi-Point Transmission Schemes in Multi-Cell VLC Systems
[IEEE] 2026-8-24 | SG-KAN-LSTM: A Dual-Scale Gated Temporal Method for Broadcast Message Attack Detection in Edge-Cloud VANETs
[IEEE] 2026-8-24 | Interfacing E22-900T22D LoRa Module with PLC using Modbus Communication
[IEEE] 2026-8-24 | Adaptive Part Feature-Aware Learning for Person Search
[IEEE] 2026-8-24 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[IEEE] 2026-8-24 | Design and Development of Drone Detection System using YOLOv11
[IEEE] 2026-8-24 | XAI-HDRL: An Intelligent Framework for Cyber Threat Prediction and Automated Security Response
[IEEE] 2026-8-24 | Multihead Attention based Convolution Neural Network Towards Location Aware Worker Assignment to Service Seekers Task in Spatial Crowdsourcing
[IEEE] 2026-8-24 | Two-Dimensional Localization and Tracking of Target Using Nonrandom Radar Network
[IEEE] 2026-8-24 | Task-Aware Semantic Selection for Scene Graph-Based Semantic Communication
[IEEE] 2026-8-24 | Evidence Fusion for Auditable Search and Rescue Missions in Drone-based Search and Rescue
[IEEE] 2026-8-24 | Anomaly Detection and Cybersecurity Monitoring in Industrial Control Networks using SCADA Systems
[IEEE] 2026-8-24 | Design and Analysis of Sixteen Co-Axial Probe Ports Circular Patch Mimo Antenna
[IEEE] 2026-8-24 | A Lightweight Deep Learning Framework for Solo Badminton Training
[IEEE] 2026-8-24 | Power Quality Disturbance Identification Model Based on Lightweight ResNet34 with Group Convolution and ECA Attention
[IEEE] 2026-8-24 | Adaptive Task-Oriented Semantic Communication for UAVs With Joint Trajectory and Resource Optimization
[IEEE] 2026-8-24 | An Implementation of Answer Interface for Machine Learning Programming Exercises in Python Programming Learning System
[IEEE] 2026-8-24 | What Drives Market Performance? A Case Study from the Moroccan Market Using Machine Learning and Explainable AI
[IEEE] 2026-8-24 | PD-SRL: Parallel and Differentiable Surgical Simulation For Accelerated Reinforcement Learning
[IEEE] 2026-8-24 | Assessment of Bilateral Control Architectures for a Robotic Avatar: Impacts on Operational Performance and the Sense of Agency_supp1-3726380.mp4
[IEEE] 2026-8-24 | HyperBench-7: A Multimodal Metadata for Hyperparameter Selection, Model Benchmarking, and AutoML Agent Evaluation
[IEEE] 2026-8-24 | Segment-Wise Early Failure Detection in Single Point Micro Incremental Forming Using Random Forest Model on Multi-Axis Force Signals
[IEEE] 2026-8-24 | Real-Time Elderly Fall Detection Using Cascaded YOLOv11n-Pose and LSTM
[IEEE] 2026-8-24 | A Bias-Aware Zero-Shot Framework for ESG Recommendation in Cold-Start Environments
[IEEE] 2026-8-24 | Toward AI-assisted digital force metrology: A vision for the digital metrology avatar
[IEEE] 2026-8-24 | HIMLT: A Hybrid Interactive Machine Learning Tool for Whole Slide Image Analysis
[IEEE] 2026-8-24 | Beacon Identification Using Noise Spectra in Optical Camera Communication
[IEEE] 2026-8-24 | RSSI Forecasting With Off-the-Shelf Smartphones For Proactive Mobile Wi-Fi Link Adaptation
[IEEE] 2026-8-24 | AI-Driven Cardiac Dynamics Modeling for Heart Disease Detection
[IEEE] 2026-8-24 | Message From General Chairs of CISOSE 2026
[IEEE] 2026-8-24 | An Explainable Hybrid Transformer-XGBoost Framework for Cyber Threat Detection
[IEEE] 2026-8-24 | Cybersecurity Framework for Protecting Artificial Intelligence Models in Computer Applications
[IEEE] 2026-8-24 | An Explainable Region-Aware AI Framework for Early Anemia Risk Prediction and Localized Nutrition Recommendation for Rural Women
[IEEE] 2026-8-24 | Portable Hardware-Backed WebAuthn Credentials: A TPM-Based Approach to Cross-Device Passwordless Authentication
[IEEE] 2026-8-24 | Vocal Biomarkers for Parkinson’s Disease Detection: A Critical Review of Acoustic Features, Learning Architectures, and the Cross-Dataset Generalisation Problem
[IEEE] 2026-8-24 | A Telugu-Adapted Low-Resource Speech-to-Speech Translation System using IndicWhisper, IndicTrans2, and Language-Aware Processing
[ACM] 2026-8-24 | Semantics Drive Noticing Rates in Realistic Change Blindness Scenarios
[ACM] 2026-8-24 | The Nocturnity Scale: Measuring the Sense of Being at Night in Virtual Urban Environments.
[ACM] 2026-8-24 | EquivSage: LLM-assisted Detection of EVM-Inequivalent Code Smells in Multi-chain Reuse Contracts
[IEEE] 2026-8-24 | A Multi-Scale Convolutional Neural Network Model for Remaining Useful Life Prediction of Lithium Batteries
[IEEE] 2026-8-24 | Large Language Model for Lossless Image Compression with Visual Prompts
[IEEE] 2026-8-24 | Nonlinear Control of Fuel Cell for Load Power Tracking and DC Bus Voltage Regulation
[IEEE] 2026-8-24 | CAMS: Context-Aware Multi-Scale Swin Transformer for Person Search Using a Re-Identification-Centric Approach
[IEEE] 2026-8-24 | Two-dimensional Magnetic Field Calculation and Thrust Ripple Investigation Considering MMF Harmonics in Short Primary Linear Induction Motors
[IEEE] 2026-8-24 | Center-Fed Pinching Antenna System (C-PASS) Aided Wireless Communications
[IEEE] 2026-8-24 | Performance Limits of Color-Shift Keying Under Practical Constraints
[IEEE] 2026-8-24 | On the Detection Limits of Power-Domain NOMA: Information-Theoretic Bounds and Spatial Diversity
[IEEE] 2026-8-24 | Inferring Causality in Aperiodic and Periodic Components of Brain and Cardiac Dynamics
[IEEE] 2026-8-24 | Physics-Guided XGBoost for Efficient Transient Data Reduction in Hydrogen Gas Sensor
[IEEE] 2026-8-24 | Intelligent Hybrid Control of a Doubly Fed Induction Generator Using Ant Colony Optimization for Enhanced Dynamic Performance
[IEEE] 2026-8-24 | Multi-Trojan Aware Routing with Dynamic Shielding for Secure Network-on-Chip
[IEEE] 2026-8-24 | Contents
[IEEE] 2026-8-24 | A Riemannian Framework for the Elastic Analysis of the Spatiotemporal Variability in the Shape and Structure of Tree-like 4D Objects
[IEEE] 2026-8-24 | AI-Agent Glasses for Alzheimer's Memory Assistance
[IEEE] 2026-8-24 | Coupling Ray-Tracing, SNICAR and DISORT to Facilitate Snow Albedo and Bidirectional Reflectance Modeling
[IEEE] 2026-8-24 | Multi-Objective Model Predictive Energy Management for Fuel Cell/Supercapacitor Hybrid Systems with DC Bus Stability Enhancement
[IEEE] 2026-8-24 | Neural Value Alignment: Human–AI Collaboration Under Goal-Action Ambiguity
[IEEE] 2026-8-24 | Protraction Technique: Anchor-Free Range-Free Localization from Multi-Level Binary Reachability in Wireless Sensor Networks
[IEEE] 2026-8-24 | Society Officers
[IEEE] 2026-8-24 | Coverage-Aware Evidence Packing for Budgeted Multi-Hop RAG on Small Language Models
