[2026-07-01 12:09:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Contrastive Regularization of Machine Learning Potentials
[arXiv] 2026-06-30 | Early Telescope Throughput Results from the Collimated Beam Projector at the Vera C. Rubin Observatory
[arXiv] 2026-06-30 | Geometry-Preserving Orthonormal Initialization for Low-Rank Adaptation in RLVR
[arXiv] 2026-06-30 | Quantum Stokes matrices and quantum Riemann-Hilbert-Birkhoff maps
[arXiv] 2026-06-30 | Large Databases Need Small, Open-Weight Language Models
[arXiv] 2026-06-30 | Reinforcement Learning-Based Control for an Inline Skating Humanoid Robot
[arXiv] 2026-06-30 | The On-Sky Performance of the LSST Camera CCD Array
[arXiv] 2026-06-30 | Counting Small Induced Subgraphs: Hardness of Symmetry-Based Properties
[arXiv] 2026-06-30 | Omni-Flow: A Unified Workflow Orchestration and Distributed KV Cache Sharing Framework for Multimodal Inference
[arXiv] 2026-06-30 | Symmetry energy of baryon- and neutron-rich nuclear matter
[arXiv] 2026-06-30 | Chemical evolution of the Milky Way disc with radial gas flows: a Lagrangian approach
[arXiv] 2026-06-30 | The well-posedness of stochastic Korteweg--de Vries equations revisited
[arXiv] 2026-06-30 | WaterGen: Decoupling Scene and Medium in Underwater Image Generation
[arXiv] 2026-06-30 | Beyond the Library: An Agentic Framework for Autoformalizing Research Mathematics
[arXiv] 2026-06-30 | ELASTIC: Efficiently Learning to Adaptively Scale Test-Time Compute for Generative Control Policies
[arXiv] 2026-06-30 | UniSAE: Unified Speech Attribute Editing on Speaker, Emotion and Low-Level Content via Discrete Phonetic Posteriorgram Modelling
[arXiv] 2026-06-30 | WildProp: Visual Estimation of Wildlife Body Proportions at Scale
[arXiv] 2026-06-30 | Symplectic leaves of meromorphic Hitchin systems
[arXiv] 2026-06-30 | The Past Is Prologue: A Plug-in Controller for Selective Updates in Sequentially Evolving LLM Memory
[arXiv] 2026-06-30 | Visualizing High-Dimensional Graph Embeddings via Informed Multi-View Projections
[arXiv] 2026-06-30 | Revealing Safety-Critical Scenarios for UTM via Transformer
[arXiv] 2026-06-30 | What Counts as an Error? Dual-Reference Benchmarking for Atypical ASR
[arXiv] 2026-06-30 | Exact Calculation of Two-neutrino Double Beta Decay Rate
[arXiv] 2026-06-30 | Attacking UTMOS: Probing the Robustness of a Speech Quality Assessment Model
[arXiv] 2026-06-30 | CasaMaestro: Multi-View Panoramas for House-Scale 3D Reconstruction
[arXiv] 2026-06-30 | Equivalued affine springer fibers in mixed characteristic
[arXiv] 2026-06-30 | Hybrid Unet-Transformer Model for Generating Stress and Strain Fields from Composite Geometrics
[arXiv] 2026-06-30 | Learning Video Dynamics with Predictive Differentiable Rendering
[arXiv] 2026-06-30 | A Semantic-Layer-Mediated Agent for Natural Language to SQL over Heterogeneous Enterprise Databases
[arXiv] 2026-06-30 | LLM-Driven Personalities for Decision Making in Emergency Simulations
[arXiv] 2026-06-30 | Practical Linear-Time Computation of Smallest Suffixient Sets
[arXiv] 2026-06-30 | CORTEX: Token-Level Hallucination Detection in RAG via Comparative Internal Representations
[arXiv] 2026-06-30 | Partially ordering software licenses
[arXiv] 2026-06-30 | Offline Reinforcement Learning for Fluid Controls: Data-based Multi-observational Policy Extraction
[arXiv] 2026-06-30 | Certified Speculative Execution for Untrusted AI Agents
[arXiv] 2026-06-30 | Bayesian Uncertainty Quantification for Ranked Choice Voting Polls
[arXiv] 2026-06-30 | Estimating the concurrence for quantum states via symmetric measurements
[arXiv] 2026-06-30 | Quantum Imaging via Kurtosis-Difference Weighted Covariance on 2D Camera
[arXiv] 2026-06-30 | Hierarchical Clustering As a Novel Solution to the Notorious Multicollinearity Problem in Observational Causal Inference
[arXiv] 2026-06-30 | Wait, am I Being Fair? Characterizing Deductive Stereotyping and Mitigating It with Fair-GCG
[arXiv] 2026-06-30 | Linguistic Bias Mitigation for Spoofing Detection via Gradient Reversal and A Variational Information Bottleneck
[arXiv] 2026-06-30 | Sensing-Limited Control Under Non-Designable Observation Mechanisms
[arXiv] 2026-06-30 | Resolving superposition in AI for interpretability and cross-modal alignment in patient-neuronal images
[arXiv] 2026-06-30 | Reconfigurable wavelength-encoded stochastic illumination for active hyperspectral imaging
[arXiv] 2026-06-30 | P3MaZe: a Mass-Zero constrained-dynamics formulation of particle-mesh electrostatics
[arXiv] 2026-06-30 | Failure-Based Testing for Deep Reinforcement Learning Agents
[arXiv] 2026-06-30 | Calibrating the Evaluator: Does Probability Calibration Mitigate Preference Coupling in LLM Agent Feedback Loops?
[arXiv] 2026-06-30 | Constant-factor approximation of maximum distance-2 independent set in graphs of bounded merge-width
[arXiv] 2026-06-30 | From Materials Database to Materials Bank: Assetizing Data for AI Driven Materials Innovation
[arXiv] 2026-06-30 | Establishing Compactness as a Population Observable in Gravitational-Wave Astronomy
[arXiv] 2026-06-30 | Language-Assisted Super-Resolution from Real-World Low-Resolution Patches
[arXiv] 2026-06-30 | Safe Online Learning via Smooth Safety-Structured Policy Composition
[arXiv] 2026-06-30 | A Novel Method for Differential-Algebraic Dynamic Model Discovery in Power Systems: An LLM-Based Multi-Agent Collaborative Framework
[arXiv] 2026-06-30 | Non-invertible symmetries and modular invariance in lattice models
[arXiv] 2026-06-30 | CSO-LLM: Class Subspace Orthogonalization for Post-Training Backdoor Detection and Trigger Inversion in LLMs
[arXiv] 2026-06-30 | Benchmarking Large Language Models on Floating-Point Error Classification
[arXiv] 2026-06-30 | Ferroelectric transmon
[arXiv] 2026-06-30 | Minimizing Quantized Semantic Age of Information (QSAoI) in Foundation Model-Based Semantic Communications
[arXiv] 2026-06-30 | Distance duality relation in symmetric teleparallel gravity
[arXiv] 2026-06-30 | Self-Dual Cyclic Codes with Improved Minimum Distance Estimates via Extending the Chen-Ding Construction
[arXiv] 2026-06-30 | Probabilistic Inversion with Flow Matching
[arXiv] 2026-06-30 | Sequential sparse Gaussian process quantile regression
[arXiv] 2026-06-30 | On existence of a collapsed bubble with surface tension in viscous incompressible fluid
[arXiv] 2026-06-30 | SwiftAudio: Data-Efficient Caption-Only Distillation for One-Step Text-to-Audio Diffusion-based Generation
[arXiv] 2026-06-30 | Semiclassical Backreaction of Massive Quantum Fields in the Spacetime of a Global Monopole
[arXiv] 2026-06-30 | Embodied CAD: Solver-Grounded LLM Agents for Parametric B-Rep Assembly Modeling
[arXiv] 2026-06-30 | HyperVLP: Enhancing Hierarchical Surgical Video-Language Pre-training in Hyperbolic Space
[arXiv] 2026-06-30 | Symmetry-Enforced Ferroelectric Switching of Two-Dimensional Altermagnetism
[arXiv] 2026-06-30 | Obstructions to Total Rainbow Forests in Edge-Colored Graphs
[arXiv] 2026-06-30 | Mapping photon-number regimes in single-emitter lasers
[arXiv] 2026-06-30 | Effect of externally applied resonant magnetic perturbations on resistive tearing modes
[arXiv] 2026-06-30 | Observation of Intrinsic Anderson Localization in Few-Layer ReS$_2$
[arXiv] 2026-06-30 | Agentic-Ideation: Sample Efficient Agentic Trajectories Synthesis for Scientific Ideation Agents
[arXiv] 2026-06-30 | FPGA-based LQG controller and hardware-in-the-loop simulator implementation for nanomechanical systems
[arXiv] 2026-06-30 | Securing the AI Agent: A Unified Framework for Multi-Layer Agent Red Teaming
[arXiv] 2026-06-30 | Probing Memorization of Tabular In-Context Learning
[arXiv] 2026-06-30 | ExPLoRe: Expert Patch-Level Loss Routing for Multi-Objective Masked Image Modeling
[arXiv] 2026-06-30 | Transformers as Bayesian In-Context Experimenters: Smoothness-Adaptive Efficient ATE Estimation
[arXiv] 2026-06-30 | HealthAgentBench: A Unified Benchmark Suite of Realistic Agentic Healthcare Environments for Challenging Frontier AI Agents
[arXiv] 2026-06-30 | $L^p$ Asymptotics of the Möbius Energy Density of Helix Curves
[arXiv] 2026-06-30 | Entanglement Structure Across $\mathbb{Z}_n$ Phase Transitions in 1D Rydberg Atom Arrays
[arXiv] 2026-06-30 | Seeing Through the Weights: Privacy Leakage in Scene Coordinate Regression
[arXiv] 2026-06-30 | MOA: A Profiling-Guided LLM Framework for Memory-Optimization Automation at Codebase Scale
[arXiv] 2026-06-30 | Fora: From Weight-Space to Function-Space Protection in Capability-Preserving Fine-Tuning
[arXiv] 2026-06-30 | Multi-wavelength Emission Modeling from Accretion Flows around Isolated Black Holes Including Magnetic Flux Transport
[arXiv] 2026-06-30 | Counting zeros of Artin $L$-functions
[arXiv] 2026-06-30 | Flexibility as a Universal Nature-Inspired Mechanism for Thrust Enhancement
[arXiv] 2026-06-30 | Quasi-$F$-singularities and singularities in birational geometry
[arXiv] 2026-06-30 | Performance Analysis in Parallel Programming Education: A Comparative Usability Study
[arXiv] 2026-06-30 | An Empirical Analysis of High-Performance Computing Education in Germany
[arXiv] 2026-06-30 | Resonant and collective modification of London dispersion interactions under vibrational strong coupling
[arXiv] 2026-06-30 | Information-Epidemic Dynamics in Cyber-Physical Systems: A Hypergraph Framework with Interpersonal Relationships
[arXiv] 2026-06-30 | The Sc, Ti, and V Abundance Discrepancy: Testing High-Mass IMF Variation and Massive-Star Rotation
[arXiv] 2026-06-30 | QVal: Cheaply Evaluating Dense Supervision Signals for Long-Horizon LLM Agents
[arXiv] 2026-06-30 | The Cooperation Ceiling: Extrinsic Population Dynamics and the Intrinsic Escape
[arXiv] 2026-06-30 | On the choice of using raw or demographically-corrected scores
[arXiv] 2026-06-30 | State-of-the-art Observation, Calibration, and Imaging Framework for Solar and Heliospheric Sciences with SKA
[arXiv] 2026-06-30 | Look But Don't Touch with Sparse Autoencoders for Unlearning in Diffusion Models
[arXiv] 2026-06-30 | Improving Certified Robustness via Adversarial Distillation
[arXiv] 2026-06-30 | Electronic theory for scanning tunneling microscopy spectra in bilayer nickelate thin films
[arXiv] 2026-06-30 | Boosted Higgs-strahlung off a $W$ boson at next-to-next-to-next-to-leading order in QCD
[arXiv] 2026-06-30 | Machine Learning-based Feedback Linearization Control of Quadrotor Subject to Unmodeled Dynamics
[arXiv] 2026-06-30 | Running into tension: primordial black holes from ultra-slow-roll inflation, spectral running, and the Hubble tension
[arXiv] 2026-06-30 | Near-Optimal Nitrogen Recommendations for Precision Agriculture via Sequential Screening and Hierarchical Refinement
[arXiv] 2026-06-30 | Cometary ion dynamics at a weakly outgassing comet
[arXiv] 2026-06-30 | Mesoscopic simulations of linear and ring polymer solutions with explicit hydrodynamics under good and poor solvent conditions
[arXiv] 2026-06-30 | Tamagawa ratios and unbounded Selmer moments
[arXiv] 2026-06-30 | Moral Safety in LLMs: Exposing Performative Compliance with Puzzled Cues
[arXiv] 2026-06-30 | A Counterexample to Ziegler's Cross-Polytope Conjecture for Simplicial 0/1-Polytopes
[arXiv] 2026-06-30 | A Lifecycle and Application-Stack Survey of Large Language Model Vulnerabilities: Attacks, Risks, Defenses, and Open Problems
[arXiv] 2026-06-30 | Intrinsic decomposition and editing of 3D Gaussian splats
[arXiv] 2026-06-30 | A Tutorial on Autonomous Fault-Tolerant Control Using Knowledge-Grounded LLM Agents
[arXiv] 2026-06-30 | A comparison principle for a class of doubly nonlinear parabolic fractional partial differential equations
[arXiv] 2026-06-30 | Scientific Explanations in Health Sciences: Causality, Trust, and Epistemic Adequacy
[arXiv] 2026-06-30 | Automating Cause-Effect Specification with Knowledge Graphs and Large Language Models
[arXiv] 2026-06-30 | Robust Text Watermarking for Large Language Models via Dual Semantic Embeddings
[arXiv] 2026-06-30 | Token-Sparse Medical Multimodal Reasoning via Dual-Stream Reinforcement Learning
[arXiv] 2026-06-30 | Digital Sovereignty as a Quality Attribute for Software Architectures
[arXiv] 2026-06-30 | From Failure to Alignment: A Requirements Engineering Framework for Machine Learning Systems
[arXiv] 2026-06-30 | ZEBRA: Zero-Shot Entropy-Regularized Prompt Learning for Base-to-Novel Generalization in Audio-Language Models
[arXiv] 2026-06-30 | LASER: Load-Aware Serving with Early-Exit for Reasoning LLMs at the Edge
[arXiv] 2026-06-30 | In-situ Indexing via Memristive Content-Addressable Memory
[arXiv] 2026-06-30 | Spreading speeds for Fisher-KPP equations with slowly decaying initial data in an almost periodic setting
[arXiv] 2026-06-30 | A harmonically-coupled-anharmonic-oscillator approach for polyatomic chemistry modeling in DSMC
[arXiv] 2026-06-30 | A cohomological translation of the Kaplansky radical for profinite groups
[arXiv] 2026-06-30 | Modality-Driven Search with Holistic Trace Judging for ARC-AGI-2
[arXiv] 2026-06-30 | Inverse-squeezing receivers for squeezed-state pulse-position modulation under ideal and phase-diffusion conditions
[arXiv] 2026-06-30 | DataEvolver: Self-Evolving Multi-Agent Data Construction for Text-Rich Image Generation
[arXiv] 2026-06-30 | Well-posedness and stationary distribution of free stochastic differential equations
[arXiv] 2026-06-30 | On the Convergence of Self-Improving Online LLM Alignment
[arXiv] 2026-06-30 | RaBitQCache: Rotated Binary Quantization for KVCache in Long Context LLM Inference
[arXiv] 2026-06-30 | Design and Implementation of Agentic Orchestrations and Orchestration of Agents
[arXiv] 2026-06-30 | Unsupervised Data-Efficient Cross-Modal Retrieval with Global-Neighborhood Alignment Hashing
[arXiv] 2026-06-30 | Support of Teleoperated Driving with 5G Networks
[arXiv] 2026-06-30 | A unified formalism for collinear and non-collinear approaches in the four-component Dirac-Kohn-Sham theory based on G-spinors
[arXiv] 2026-06-30 | Same Firms, Different Verdicts: ESG Rating Choice and the Measurement of Greenwashing
[arXiv] 2026-06-30 | AeroVerse-SatAgent: UAV-Satellite Collaborative Spatial Reasoning Inspired by the Dual Visual Pathway Theory of Cognitive Neuroscience
[arXiv] 2026-06-30 | A forgery attack on the Block.co blockchain-based digital credential certification system
[arXiv] 2026-06-30 | Classification of Fuchsian groups with torsion
[arXiv] 2026-06-30 | Sensing for Reliable UAV Communication: Robust Trajectory and Resource Optimization in Low-Altitude Networks
[arXiv] 2026-06-30 | Scattering of Strong Radio Waves by Particles in Strongly Magnetized Plasmas and Implications for Fast Radio Bursts
[arXiv] 2026-06-30 | Unveiling the properties of galaxy cores excavated by supermassive black hole binaries with SHARP
[arXiv] 2026-06-30 | A new model for long-term forecasting of Galactic cosmic rays
[arXiv] 2026-06-30 | No Prompt, No Leaks: A Robust Generative Steganography Framework via Prompt-Free Diffusion
[arXiv] 2026-06-30 | Impact of Sub-2.5 MeV 12C+12CResonances on the Production of Elements from C to Pd in Core-Collapse Supernovae
[arXiv] 2026-06-30 | Ensuring Deterministic Timing in a Federated GNSS Correction Pipeline with Lingua Franca
[arXiv] 2026-06-30 | Evaluation of Population Initialization Methods for Genetic Programming-based Symbolic Regression
[arXiv] 2026-06-30 | Multi-Scale Contrastive Attention for Light-Curve Representation Learning
[arXiv] 2026-06-30 | Cross-lingual Relation Extraction with Large Language Models: Zero-Shot, Few-Shot, and Fine-Tuned Evaluation on Romanian
[arXiv] 2026-06-30 | Positivity-preserving dynamical low-rank methods for the Vlasov equation
[arXiv] 2026-06-30 | Fork-Think with Confidence
[arXiv] 2026-06-30 | Spatial Model Checking of Images via Minimised Models and Branching Bisimilarity
[arXiv] 2026-06-30 | Numerical Study of Eigenvector Deflation to Accelerate the WaveHoltz Method
[arXiv] 2026-06-30 | What Probing Reveals about Autonomous Driving: Linking Internal Prediction Errors to Ego Planning
[arXiv] 2026-06-30 | Nonequilibrium Casimir-Polder Force: Magnus-like Effect
[arXiv] 2026-06-30 | PPT-Eval: A Benchmark for Computer-Use Agents on PowerPoint Tasks
[arXiv] 2026-06-30 | Universal Spectral Mirage Gaps in Superconductors with Time-Reversal-Symmetric Spin-Orbit Coupling
[arXiv] 2026-06-30 | FLARE-AI: Flaw Reporting for AI
[arXiv] 2026-06-30 | The Decomposition Is the Fingerprint: Per-Component Identity for Agent Skills
[arXiv] 2026-06-30 | Thurston norm, polytopes and splitting complexity
[arXiv] 2026-06-30 | Reasoning-aware Speculative Decoding for Efficient Vision-Language-Action Models in Autonomous Driving
[arXiv] 2026-06-30 | Rethinking Foundation Model Collaboration: Enhancing Specialized Models through Proxy Task Reasoning
[arXiv] 2026-06-30 | GKB Methods for X-Ray Computed Tomography with an Unmatched Back Projector
[arXiv] 2026-06-30 | New numerical methods for calculating statistical equilibria of two-dimensional turbulent flows, strictly based on the Miller-Robert-Sommeria theory
[arXiv] 2026-06-30 | The Role of Edge Resonant Magnetic Perturbations in Edge-Localized-Mode Suppression and Density Pump-out in low-collisionality DIII-D Plasmas
[arXiv] 2026-06-30 | Quantum work extraction of an accelerated battery as an indicator of trajectory-modified vacuum fluctuations in Minkowski spacetime
[arXiv] 2026-06-30 | Uniqueness for an inverse problem of determining order and temporal factor of the source for time-fractional evolution equations
