[2026-06-16 13:28:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | Discovery of Unusual Jet Orientation Variations in the Microquasar GRS 1915+105
[arXiv] 2026-06-15 | The free energy of the square lattice Ising model with interactions alternating in horizontal and vertical directions
[arXiv] 2026-06-15 | A Bayesian hierarchical model for meta-analysis
[arXiv] 2026-06-15 | LUCID: Learned Undersampling-Adaptive Consistency-Guided Inference with Deterministic Flow Matching for Sparse-View CT Reconstruction
[arXiv] 2026-06-15 | Weaving Multi-Source Evidence for Biomedical Reasoning: The BioMedHop Benchmark and BioWeave Framework
[arXiv] 2026-06-15 | Sensor-Conditioned Representation Learning via Scene-Relevant Observation Quotients
[arXiv] 2026-06-15 | VENOM: Versatile Embodied Network for Omni-bodied Motion tracking
[arXiv] 2026-06-15 | Adaptive inference and function vectors in deep transformers
[arXiv] 2026-06-15 | Statistical methods for assessing non-replicable, outlying, and influential studies
[arXiv] 2026-06-15 | A Lean-Certified Proof of $K_8(4, 2) = 23$
[arXiv] 2026-06-15 | A Minimal Dark $U(1)_D$ Framework for Inverse Seesaw Neutrino Masses and Dark Matter
[arXiv] 2026-06-15 | The local least action criterion fails as a selection criterion for weak solutions of the compressible Euler equations
[arXiv] 2026-06-15 | Formalizing chip-firing and Riemann--Roch for graphs in Lean 4
[arXiv] 2026-06-15 | Possible high temperature superconductivity induced by coupling to proximate hyperbolic photon modes
[arXiv] 2026-06-15 | Optimising Temporary Accommodation Placement Across London with AI-Powered SaaS in E-Governance Systems
[arXiv] 2026-06-15 | On the chromatic number and equilateral dimension of $\mathbb{R}^n$ with the tropical norm
[arXiv] 2026-06-15 | Holographic study of heavy quark potential, free energy, and running coupling in backgrounds with broken translational symmetry
[arXiv] 2026-06-15 | The supergravity dual of a finite duality cascade
[arXiv] 2026-06-15 | WaveSync: Constrained Wavefront Optimization for Synchronized Co-Speech Gestures in Humanoid Robots
[arXiv] 2026-06-15 | ArtNet: A JEPA-Like Articulatory Predictive Framework for Robust Zero-Shot Phoneme Recognition
[arXiv] 2026-06-15 | SING: Synthetic Intention Graph for Scalable Active Tool Discovery in LLM Agents
[arXiv] 2026-06-15 | Uncertainty Is Not a Safety Net for Clinical VQA, but Can It Anticipate Model Failure?
[arXiv] 2026-06-15 | Multi-Modal Spatio-Temporal Graph Neural Network with Mixture of Experts for Soil Organic Carbon Prediction
[arXiv] 2026-06-15 | Walking on Heat Stars for Parabolic Heat Equations with Neumann Boundary Conditions
[arXiv] 2026-06-15 | Kauffman bracket skein homology from Heegaard splittings
[arXiv] 2026-06-15 | TNODEV: Toolbox for Neural ODE Verification
[arXiv] 2026-06-15 | Distributionally robust decision-making under ambiguity: case study of water environmental management
[arXiv] 2026-06-15 | ROSA-RL: Uncertainty-Aware Roundabout Optimized Speed Advisory with Reinforcement Learning
[arXiv] 2026-06-15 | Preparation of Fractional Quantum Hall States on Quantum Computers
[arXiv] 2026-06-15 | Can LLM Coding Agents Reason About Time Series?
[arXiv] 2026-06-15 | Vortex-core size and quantum geometry in flat-band superconductors
[arXiv] 2026-06-15 | Assessing Reliability of Symbol Detection in Concept Bottleneck Models
[arXiv] 2026-06-15 | DoubtProbe: Black-Box Jailbreak Defense via Structural Verification and Semantic Auditing
[arXiv] 2026-06-15 | Neural Bayesian Anomaly Mitigation: A Robust Loss that Doubles as an Unsupervised Contamination Classifier
[arXiv] 2026-06-15 | SkillWiki: A Living Knowledge Infrastructure for Agent Skills
[arXiv] 2026-06-15 | BadWorld: Adversarial Attacks on World Models
[arXiv] 2026-06-15 | Beyond Mean Solar Wind Conditions: Turbulence-Aware Forecasting of the AE Index
[arXiv] 2026-06-15 | Towards Delta Aware Training: Efficient DNN Weight Storage for Resource-Constrained FPGAs
[arXiv] 2026-06-15 | Atom Probe Tomography as an Emerging Tool for Understanding Defect-driven Mechanisms in HfO$_{2}$-based Ferroelectrics
[arXiv] 2026-06-15 | Model Graph Inductive Learning for Knowledge Graph Completion
[arXiv] 2026-06-15 | Semi-Supervised Speech Confidence Detection using Pseudo-Labelling and Whisper Embeddings
[arXiv] 2026-06-15 | APEX: Adaptive Policy Execution for Precise Manipulation
[arXiv] 2026-06-15 | Nonexistence for screened Hartree energies
[arXiv] 2026-06-15 | Active Reference Acquisition in Few-Shot Font Generation
[arXiv] 2026-06-15 | daVinci-kernel: Co-Evolving Skill Selection, Summarization, and Utilization via RL for GPU Kernel Optimization
[arXiv] 2026-06-15 | Two $q$-congruences from Jackson's ${}_8φ_7$ summation and Andrews' ${}_4φ_3$ summation
[arXiv] 2026-06-15 | Forward Hedging Reshapes Incentive Provision
[arXiv] 2026-06-15 | BRICKS-WM: Building Reusability via Interface Composition Kinetics for Structured World Models
[arXiv] 2026-06-15 | An Energy-Driven Framework for Privacy-Aware Synthetic Data Generation
[arXiv] 2026-06-15 | Measurement Study of Post-Quantum Readiness of Internet: 2026
[arXiv] 2026-06-15 | Towards Robust Generative Speech Enhancement Using Vector Quantisation-Based Neural Audio Codec
[arXiv] 2026-06-15 | RHO: Your Coding Agent is Secretly a Roboticist
[arXiv] 2026-06-15 | Adiabatic realization of anomalous Floquet topological systems
[arXiv] 2026-06-15 | A nonparametric two-sample test using a parametric integral probability metric
[arXiv] 2026-06-15 | Scalable Circuit Learning for Interpreting Large Language Models
[arXiv] 2026-06-15 | Dynamical Steering and Unambiguous Signature of Majorana Corner Modes in Altermagnetic Josephson Junctions
[arXiv] 2026-06-15 | Single-Connection Mixed-Criticality Transport with CATS: Bounded Guarantees, Three Structural Limits, and a QUIC Escape
[arXiv] 2026-06-15 | Controlled Quantum Metrology with Anisotropic Heisenberg Spin Interactions under Intrinsic Decoherence
[arXiv] 2026-06-15 | Greed Is Learned: Visible Incentives as Reward-Hacking Triggers
[arXiv] 2026-06-15 | Tangram: Hiding GPU Heterogeneity for Efficient LLM Parallelization
[arXiv] 2026-06-15 | Directory-Aware Query and Maintenance in Vector Databases
[arXiv] 2026-06-15 | Fantastic Pretraining Optimizers and Where to Find Them II: Hyperball Optimization
[arXiv] 2026-06-15 | Neural dynamical systems on ferroelectric compute-in-memory for real-time forecasting
[arXiv] 2026-06-15 | Bounded Bruhat intervals and affine Coxeter groups
[arXiv] 2026-06-15 | A Unified Constant-Time Switch Rule for Constructing Edge-Disjoint Hamiltonian Cycles in Gaussian Networks
[arXiv] 2026-06-15 | Beyond Weights and Gradients: A Taxonomy of Federated Learning Messages
[arXiv] 2026-06-15 | Compositional Reasoning Depth Predicts Clinical AI Failure: Empirical Evidence Consistent with Transformer Compositionality Limits in Electronic Health Record Question Answering
[arXiv] 2026-06-15 | The Winner Takes It All
[arXiv] 2026-06-15 | Understanding Scam Trends and Rail Paths from Reddit Self-Disclosure Narratives
[arXiv] 2026-06-15 | Quantum uniformity norms are pullbacks of matrix-valued uniformity norms
[arXiv] 2026-06-15 | 3D Ising criticality with Platonic lattice superconducting qubits
[arXiv] 2026-06-15 | High-entropy Fe$_2$VAl-based thermoelectric modules with improved conversion efficiency
[arXiv] 2026-06-15 | Divergence of Light Wave Amplitudes in an Interface Layer at Critical Conditions
[arXiv] 2026-06-15 | KKM theorems and discrete geometry beyond matroids
[arXiv] 2026-06-15 | CacheWise: Understanding Workloads and Optimizing KVCache Management for Efficiently Serving LLM Coding Agents
[arXiv] 2026-06-15 | From the NYU Ultracomputer to Modern Exascale: A Historical and Architectural Survey of In-Network Computing and Scalable Synchronization
[arXiv] 2026-06-15 | An Efficient MaxSAT-DDD Approach for Train Rescheduling via Precedence Propagation and Hybrid AMO Encodings
[arXiv] 2026-06-15 | Data-Driven Micromechanical Characterization and Mapping of Shale Rocks Using High Speed Nanoindentation
[arXiv] 2026-06-15 | Simple derivations and isotropy on Danielewski-type algebras
[arXiv] 2026-06-15 | LLM-Based Visual Explanation Evaluation Framework for Assessing the Explainability of Facial Skin Disease Classification Models
[arXiv] 2026-06-15 | Decay estimates for beam equations with potentials in dimension two
[arXiv] 2026-06-15 | KRONOS II: Solar-like Umbra and Penumbra Properties on the Young Sun V1298~Tau
[arXiv] 2026-06-15 | Defining a physics person: Tensions in the identity development of undergraduate women in physics
[arXiv] 2026-06-15 | Cross-Silo De-Anonymization Under Local Differential Privacy: Threat Model, Phase Transition, and Coordination Necessity
[arXiv] 2026-06-15 | Compensated compactness of $\mathcal A$-free measures on cones with quantified aperture
[arXiv] 2026-06-15 | 3D Classification of Paramagnetic Rim Lesions in Multiple Sclerosis via Asymmetric QSM-FLAIR Modeling
[arXiv] 2026-06-15 | A variable-offset joint formulation for beams with arbitrary cross-sections using a null space method
[arXiv] 2026-06-15 | STAR-NT: Spatiotemporal Acceleration of Real-Time Neural Transparency Rendering
[arXiv] 2026-06-15 | Witnesses and Counterexamples for Timed Bisimulation
[arXiv] 2026-06-15 | The Edge-on Galaxies in the DESI survey (EGIDE): sample building and photometry
[arXiv] 2026-06-15 | Attention is Just Another Name for Coupling?: A Fast-Slow ODE Perspective on Hierarchical Pretraining
[arXiv] 2026-06-15 | From Third-Party to First-Party: Measuring and Protecting Against Modern Web Tracking Mechanisms
[arXiv] 2026-06-15 | GaN Nucleation Landscape on Patterned Sapphire Shaped by the Growth Temperature of Directly Grown Boron-Compound Masks
[arXiv] 2026-06-15 | EgoPhys: Learning Generalizable Physics Models of Deformable Objects from Egocentric Video
[arXiv] 2026-06-15 | Efficient Data Availability Sampling via Coded Distributed Arrays
[arXiv] 2026-06-15 | Efficient Magic State Factory Via Transversal Non-Clifford Gate
[arXiv] 2026-06-15 | Hausdorff operators and fractional Hausdorff operators in the Dunkl setting
[arXiv] 2026-06-15 | When Confidence Lacks Concepts: Interpretable OOD Detection via Representation Perturbations
[arXiv] 2026-06-15 | Infinite-lattice discrete Calderón projection via the lattice Green's function for active noise shielding and confinement
[arXiv] 2026-06-15 | obliv-clang: Real-World Oblivious Programming in C++
[arXiv] 2026-06-15 | To forget is to preserve: Machine Unlearning for 3D medical image segmentation
[arXiv] 2026-06-15 | VibeThinker-3B: Exploring the Frontier of Verifiable Reasoning in Small Language Models
[arXiv] 2026-06-15 | Closing the Approximation Gap in Simulation-free Latent SDEs
[arXiv] 2026-06-15 | Revisiting average case complexity of multilevel syllogistic: From the 1995 Courant Technical Report to Lean 4 Formalization
[arXiv] 2026-06-15 | InvDesMobility: a reliability-gated first-principles feedback framework for closed-loop materials discovery
[arXiv] 2026-06-15 | Quasiparticles and ion cooling by an electron beam in a strong magnetic field
[arXiv] 2026-06-15 | EdgeZSAD: Practical Zero-Shot Anomaly Detection on Edge Devices
[arXiv] 2026-06-15 | Beyond CPU-GPU Frequency: Memory-Clock and Tail Effects in Edge Inference Latency Estimation
[arXiv] 2026-06-15 | Effective and Low-cost Lane-based Map Localization for Vehicle-Centric Route Generation
[arXiv] 2026-06-15 | Your "Pro" LLM Subscription May Actually Be "Free": Exposing Fingerprint Spoofing Risks in LLM Inference Services
[arXiv] 2026-06-15 | The maximal dimensions of path and graph algebras
[arXiv] 2026-06-15 | Wild bootstrap for mean response inference in functional linear regression models
[arXiv] 2026-06-15 | A construction of simple-minded systems over domestic Brauer graph algebras II: the 1-domestic case
[arXiv] 2026-06-15 | PVminerLLM2: Improving Structured Extraction of Patient Voice via Preference Optimization
[arXiv] 2026-06-15 | Exact Posterior Score Estimation for Solving Linear Inverse Problems
[arXiv] 2026-06-15 | Benchmarking LLM Agents on Meta-Analysis Articles from Nature Portfolio
[arXiv] 2026-06-15 | R2RDreamer: 3D-aware Data Augmentation for Spatially-generalized 2D Manipulation Policies
[arXiv] 2026-06-15 | Curvature--Radiation Geometries Across the Second CHIME/FRB Fast Radio Burst Population
[arXiv] 2026-06-15 | MeshLoom: Feed-Forward Non-Rigid Registration of Mesh Sequences
[arXiv] 2026-06-15 | ExpRL: Exploratory RL for LLM Mid-Training
[arXiv] 2026-06-15 | A scaling non-compact QCD axion
[arXiv] 2026-06-15 | Symmetric Extension Complexity of the Spanning Tree Polytope
[arXiv] 2026-06-15 | Evolution of Nonlinear Ion Transport in Nanopore Arrays: Ionic Conductance, Current Rectification, and Osmotic Power
[arXiv] 2026-06-15 | Scalar $D^{(*)}K^{(*)}$ and $D^{(*)}π(ρ)$ molecular states from B meson decays
[arXiv] 2026-06-15 | Systematic and Statistical Uncertainties in Cepheid PL Relations: Incorporating a Cross-Filter Random-Phase Mitigation Approach
[arXiv] 2026-06-15 | Mathematical Analysis of Subwavelength Resonances and Gradient Blow-up for Two Close-to-Touching Inclusions within the Two-Dimensional Elasticity
[arXiv] 2026-06-15 | From Newtonian to Relativistic IAM: The Autonomous Principal as Reference Frame for Digital Identity
[arXiv] 2026-06-15 | Bounds for Genus Zero Gromov-Witten Invariants
[arXiv] 2026-06-15 | Hydrogen Chemisorption and Current-Induced Spin Polarization on NbP
[arXiv] 2026-06-15 | Disentangling multi-spin dynamic correlations in the Heisenberg spin-$\frac{1}{2}$ chain
[arXiv] 2026-06-15 | Agent trajectories as programs: fingerprinting and programming coding-agent behavior
[arXiv] 2026-06-15 | Decoupling Inference from State Updates in Low-Latency Feature Engines via Probabilistic Thinning
[arXiv] 2026-06-15 | Probing Low Frame Rate Degradation in Neural Audio Codecs
[arXiv] 2026-06-15 | Mapping a Quasar Outflow from Parsec to Kiloparsec Scales: A Combined HST Absorption and VLT Emission Investigation
[arXiv] 2026-06-15 | Coherent control of orthogonal continuum states in XUV photoionization
[arXiv] 2026-06-15 | Transverse Modulation of Continuous Electron Beams by a Structured Optical Cavity
[arXiv] 2026-06-15 | Constructive Preference Relations: Navigating Undecidability in Rational LTL Contraction
[arXiv] 2026-06-15 | Multisymmetric polynomials on set-theoretic quiver representations
[arXiv] 2026-06-15 | LLM-Powered Virtual Population for Demand Simulation and Pricing
[arXiv] 2026-06-15 | On the Geometry of Separation in Finite Gaussian Mixtures
[arXiv] 2026-06-15 | Reconstruction of time-dependent coefficients in a semilinear dynamical Schr{ö}dinger equation
[arXiv] 2026-06-15 | Transferable machine learning of excited-state dynamics with extremal pooling
[arXiv] 2026-06-15 | Mixed Block Markov Superposition Transmission Codes
[arXiv] 2026-06-15 | Uncertainty Quality of VGGT: An Analysis on the DTU Benchmark Dataset
[arXiv] 2026-06-15 | Generative Modeling on Metric Graphs via Neural Optimal Transport
[arXiv] 2026-06-15 | Threshold cusp effects to measure masses of radiatively decaying hadrons: The $B_{s0}^*$ mass from the $Υφ$ spectrum
[arXiv] 2026-06-15 | Expanding the rough Heston model in $H$
[arXiv] 2026-06-15 | Steering Emotional Dynamics for Art Therapy: Controllable Narrative Script Generation through Hierarchically Guided LLM Agents
[arXiv] 2026-06-15 | Maximal regularity and caloric trace estimates in mixed Lebesgue norms for the heat equation
[arXiv] 2026-06-15 | Nonlinear kinetic Fokker-Planck equations as gradient flows of the free energy
[arXiv] 2026-06-15 | A Strong Stellar Age-Metallicity Gradient Relation in Nearby Dwarf Galaxies Driven by Stellar Migration and Environmental Quenching
[arXiv] 2026-06-15 | Isogeometric Analysis for Explicit Wave Propagation in Poroelastic Media
[arXiv] 2026-06-15 | Modern Determination of Pion and Kaon Fragmentation Functions from SIA and High-Precision COMPASS SIDIS Multiplicities
[arXiv] 2026-06-15 | A complete classification of metrizable theta graphs
[arXiv] 2026-06-15 | Viral Images: Identifying Reprintings within 1.5 Million Photographs in Chronicling America
[arXiv] 2026-06-15 | High-dimensional coherence to entanglement transduction under canonical noise
[arXiv] 2026-06-15 | The Milky Way's Missing In-Situ Halo
[arXiv] 2026-06-15 | Diagonalization of nonlinear functions in finite-dimensional spaces and the case of $\mathbb R^2$
[arXiv] 2026-06-15 | QALM: Escaping Local Minima via Interleaved Exploration and Exploitation in Quantum Circuit Optimization
[arXiv] 2026-06-15 | Complete entanglement detection using polynomial invariants
[arXiv] 2026-06-15 | Intervalley coherence and flavor polarization in three-valley moiré systems
[arXiv] 2026-06-15 | Learning Input-Channel Permutation Equivariance for Multi-Channel Source Separation: Reducing Bleeding in Small Music Ensembles
[arXiv] 2026-06-15 | T-Rex: Tactile-Reactive Dexterous Manipulation
[arXiv] 2026-06-15 | Compact Spin-Charge Separated Neural Quantum States for Valence-Bond States
[arXiv] 2026-06-15 | First Experimental Limit on the Thermal Solar Neutrino Flux
[arXiv] 2026-06-15 | Existentially closed fields with operators in various categories
[arXiv] 2026-06-15 | KVEraser: Learning to Steer KV Cache for Efficient Localized Context Erasing
[arXiv] 2026-06-15 | The exact value of the Ramsey number $R(K_4-e,K_7)$
[arXiv] 2026-06-15 | FusionRS: A Large-Scale RGB-Infrared Remote Sensing Dataset for Dual-Modal Vision-Language Foundation Models
[arXiv] 2026-06-15 | Uniqueness of the blow-up for some Alt-Phillips cones
[arXiv] 2026-06-15 | ROVE: Unlocking Human Interventions for Humanoid Manipulation via Reinforcement Learning
[arXiv] 2026-06-15 | TuneJury: An Open Metric for Improving Music Generation Preference Alignment
[arXiv] 2026-06-15 | Bayesian Inference and Decision Audits for Public Archives of Frontier AI Evaluations
[arXiv] 2026-06-15 | Sandbox-Enabled Digital Twin for Cyber-Physical Systems
[arXiv] 2026-06-15 | When in Doubt, Plan It Out: Committed Small Language Model Deliberation for Reactive Reinforcement Learning
[arXiv] 2026-06-15 | Analytic Torsion and Spectral Gap Capture Persistent-Laplacian Performance
[arXiv] 2026-06-15 | From 911 to Hospital: Challenges and Opportunities for AI Integration in Emergency Medical Services
[arXiv] 2026-06-15 | How Much Do Reviews Really Contribute? A Study on Text-Enriched Matrix Factorization for Recommendations
[arXiv] 2026-06-15 | A Theoretical Framework for Risk Analysis of Stochastic Rankers
[arXiv] 2026-06-15 | Electronic Green's function across the pseudogap to stripe transition in the $t$-$t'$-$J$ model
[arXiv] 2026-06-15 | Phantoms and Disclosures: a Causal Framework for Auditing Synthetic Data
[arXiv] 2026-06-15 | Categorified Spectral Duality: From Operator Systems to Spectral Stacks and Back
[arXiv] 2026-06-15 | Edge-Enhanced Diffractive Neural Networks Based on Spin-Multiplexed Nonlocal Metasurfaces
[arXiv] 2026-06-15 | A Scalable All-to-All Reconfigurable Ising Solver Using Pulsed Time-Division Multiplexing
[arXiv] 2026-06-15 | Detection of C$_{60}$ Combination Bands in the Near-IR Spectrum of Tc 1
[arXiv] 2026-06-15 | MA-SBI: Misspecification-Aware Simulation-Based Inference via Side-Channel Guidance
[arXiv] 2026-06-15 | Magnetic Fields in Massive Star-forming Regions (MagMaR). VII. On the dynamical importance of B-fields in massive protocluster W33 A
[arXiv] 2026-06-15 | Quantum gravity and spectral running cutoff
[arXiv] 2026-06-15 | IMPACTeen: Intentions, Manipulation, Persuasion, Annotations, and Consequences in Teen Communication Dataset
[arXiv] 2026-06-15 | Binary Tracking for Spatial QA and Navigation with Open Vision-Language Models
[arXiv] 2026-06-15 | Semantic Flip: Synthetic OOD Generation for Robust Refusal in Embodied Question Answering and Spatial Localization
[arXiv] 2026-06-15 | Distinguishing between Direct and Parametric Driving in Nanomechanics Using a Vibrating Carbon Nanotube
[arXiv] 2026-06-15 | Spin-orbit-entangled $J_{\rm eff}=\frac{1}{2}$ magnetism and unconventional spin freezing in the bond-disordered pyrochlore antiferromagnet NaCdCo$_2$F$_7$
[arXiv] 2026-06-15 | Latent Space Reinforcement Learning for Inverse Material Estimation in Food Fracture Simulation
[arXiv] 2026-06-15 | Federated Medical Image Segmentation under Real-World Label Noise: A Benchmark Suite for Noisy Label Learning Method Selection
[arXiv] 2026-06-15 | Revisiting the Systematicity in Negation in the Era of In-Context Learning
[arXiv] 2026-06-15 | Studies of Neutrino-Nucleus Elastic Scattering with Point-Contact Germanium Detectors at the Kuo-Sheng Reactor Neutrino Laboratory
[arXiv] 2026-06-15 | Optically Invisible Galaxies at Cosmic Noon and beyond with JWST/UNCOVER
[arXiv] 2026-06-15 | The Ghosts of Polymarket: When Off-Chain Matches Meet On-Chain Reverts
[arXiv] 2026-06-15 | Follow the Latent Roadmap: Navigating Revocable Decoding for Diffusion LLMs with Anchor Tokens
[arXiv] 2026-06-15 | Beyond Models: Reflections on Engineering AI-enabled Systems in a Project-Based Course
[arXiv] 2026-06-15 | Towards LLM Accelerated Rapid Reviews for Software Tool Discovery -- Case for Log Anomaly Detection
[arXiv] 2026-06-15 | Deformation theory of complex structures via Hamilton-Nash-Moser theory
[arXiv] 2026-06-15 | CRIM: A Natural Game on Integer Partitions
[arXiv] 2026-06-15 | Augmented Lagrangian Method for Mathematical Programs with Second-Order Cone Complementarity Constraints
[arXiv] 2026-06-15 | A Perception vs. Distortion Perspective on Score-Based Generative Channel Estimation
[arXiv] 2026-06-15 | Detection and luminosity-dependent evolution of the high-energy hump in the Be/X-ray pulsar 1A 1118-61
[arXiv] 2026-06-15 | Cell Division Changes Fate Decisions in a Genetic Toggle Switch
[arXiv] 2026-06-15 | LabOSBench: Benchmarking Computer Use Agents for Scientific Instrument Control
[arXiv] 2026-06-15 | Riviera model with egoistical settlers
[arXiv] 2026-06-15 | Decision-Weighted Flow Matching for Contextual Stochastic Optimization
[arXiv] 2026-06-15 | SoK: Security and Privacy of Foundation-Model-Powered Robots
[arXiv] 2026-06-15 | Gen-VCoT: Generative Visual Chain-of-Thought Reasoning via Diffusion-Based RGB Intermediate Representations
[arXiv] 2026-06-15 | DIFF-IPPO: Diffusion-Based Informative Path Planning with Open-Vocabulary Belief Maps
[arXiv] 2026-06-15 | Neutral kaon mass measurement with the CMD-3 derector at VEPP-2000
[arXiv] 2026-06-15 | The 3D Architecture of a pair of 6:1 Resonant Brown Dwarfs around the Naked-eye star $ν$ Ophiuchi
[arXiv] 2026-06-15 | From a Voucher Puzzle to Extremal Sums of Adjacent Products
[arXiv] 2026-06-15 | A diffeological perspective on non-Abelian Hodge theory
[arXiv] 2026-06-15 | Multilayer resistive-wall impedance with a material-filled beam region
[arXiv] 2026-06-15 | On the Bloch--Carleson measure problems
[arXiv] 2026-06-15 | Maximum Entropy Inverse Reinforcement Learning for Mean-Field Games with Average Reward
[arXiv] 2026-06-15 | Revealing Artifacts via Noise Amplification: A Novel Perspective for AI-Generated Video Detection
[arXiv] 2026-06-15 | Pride and Prejudice: Toward an Information-Theoretic Framework for Mutually Communicative Driver Behavior Modeling
[arXiv] 2026-06-15 | MuVAP: Multimodal Multiparty Voice Activity Projection for Turn-taking Prediction in the Wild
[arXiv] 2026-06-15 | A magnetic environment with reproducible spatio-temporal magnetic conditions at picotesla level
[arXiv] 2026-06-15 | Medical world models: representing medical states, modelling clinical dynamics and guiding intervention policies
[arXiv] 2026-06-15 | Connectivity and Rigidity in Borosilicate Glasses
[arXiv] 2026-06-15 | Effective Lifshitz-Born-Infeld black holes from general covariance breaking
[arXiv] 2026-06-15 | Field-selected seven-site topological magnons in a classical frustrated triangular-lattice K-$Γ$-$Γ'$ magnet
[arXiv] 2026-06-15 | Harmonizing Semantic and Collaborative in LLMs: Reasoning-based Embedding Generator for Sequential Recommendation
[arXiv] 2026-06-15 | Detecting basis-dependent hardware errors through spatio-temporal quantum steering
[arXiv] 2026-06-15 | Minimising magnetic activity effects in PLATO observations: insights from the Sun-as-a-star
[arXiv] 2026-06-15 | Beyond Usability: A UX Case Study on Using "Withdrawal Design" to Challenge Engagement Metrics in Social Robotics
[arXiv] 2026-06-15 | Convergence to self-similarity for a degenerate parabolic equation with fast-growing spatially-dependent absorption
[arXiv] 2026-06-15 | Taylor-Calibrate: Principled Initialization for Hybrid Linear Attention Distillation
[arXiv] 2026-06-15 | An Asymmetric Formula for Interval Consonance and its Relation to Harmonic Coincidence
[arXiv] 2026-06-15 | PathRouter: Aligning Rewards with Retrieval Quality in Agentic Graph Retrieval-Augmented Generation
[arXiv] 2026-06-15 | Effect of $ξRφ^2$ non-minimal coupling on gravitational light bending
[arXiv] 2026-06-15 | SemGeoNav:A Safety-Guided Visual Navigation Approach with Semantic Reasoning and Geometric Planning
[arXiv] 2026-06-15 | CBM physics program and recent experimental developments
[arXiv] 2026-06-15 | An empirical study of Fictitious Play for estimating Nash equilibria in first-price auctions with correlated values
