[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[IEEE] 2025-11-21 | A Foundation Model for Wireless Technology Recognition and Localization Tasks
[IEEE] 2025-11-21 | Simultaneous Estimations of Quantum State and Detector Through Multiple Quantum Processes
[IEEE] 2025-11-21 | Numerical Study on Influence of Tip Clearance on Endwall Flow in a Transonic Linear Cascade
[IEEE] 2025-11-21 | Research on Superhydrophobic Electrothermal Active Anti-Icing Technology for eVTOLs
[IEEE] 2025-11-21 | Influence of Scale Effects on the Dynamics of Water Entry Across the Air-Water Interface
[IEEE] 2025-11-21 | Two-deletion correcting codes for nanopore sequencing
[IEEE] 2025-11-21 | Integrated observations for coastal management in Campania Region
[IEEE] 2025-11-21 | Long-Term Shoreline Change Analysis in Tyre South Lebanon
[IEEE] 2025-11-21 | Side-Channel Attack on XOR Operation in the First Round of AES Implementation on the STM32 Microcontroller Board
[IEEE] 2025-11-21 | Probabilistic Link Weighting via Feature Fusion for Routing in LEO Satellite Networks
[IEEE] 2025-11-21 | Multispectral Satellite Imaging for Detection and Quantification of Floating Coastal Macro-Litter
[IEEE] 2025-11-21 | Research on Adaptive Control Method of Underwater Docking System Based on EKF Disturbance Observer
[IEEE] 2025-11-21 | Improved Successive Cancellation Decoding of Polar Codes Through Perturbing A Posteriori LLRs
[IEEE] 2025-11-21 | On Low-Complexity DFT-Spread Orthogonal Frequency Division Multiplexing
[IEEE] 2025-11-21 | On Universal Decoding over Discrete Additive Channels by Noise Guessing
[IEEE] 2025-11-21 | Slipstream-Considered Trajectory Optimization for Tilt-Rotor eVTOL Transition Phase
[IEEE] 2025-11-21 | Adaptive Client Selection For MRI Reconstruction in Federated Learning
[IEEE] 2025-11-21 | Perturbed Derivative Decoding Based on Ordered Statistics for Cyclic Codes
[ACM] 2025-11-21 | MADPromptS: Unlocking Zero-Shot Morphing Attack Detection with Multiple Prompt Aggregation
[ACM] 2025-11-21 | Poster: Global Measurements of the Availability and Response Times of Public Encrypted DNS Resolvers
[ACM] 2025-11-21 | Light Field Reconstruction using Multi-orientation Epipolar Plane Images
[ACM] 2025-11-21 | Poison to Cure: Privacy-preserving Wi-Fi Multi-User Sensing via Data Poisoning
[ACM] 2025-11-21 | Demo: Emulating Space Computing Networks with RHONE
[ACM] 2025-11-21 | Poster: Passive FMCW Radar Detection and Profiling under Multipath and Mobility Conditions
[IEEE] 2025-11-21 | DPDG-GKT:A Dual-Path Dynamic Gated GNNs Model for Knowledge Tracing
[IEEE] 2025-11-21 | Active Damping of
                    <i>LC</i>
                    Interphase Dynamics in Automotive 48-V Series-Capacitor Buck Converters
[IEEE] 2025-11-21 | Offense as Defense: Efficient Detection of Backdoor Attacks With Adversarial Samples in Cyber-Physical Social Systems
[IEEE] 2025-11-21 | An EMAT Based on a Novel Extrusion Static Magnetizer for Thickness Measurement of Steel Plates
[IEEE] 2025-11-21 | What Makes a Visualization Image Complex?
[IEEE] 2025-11-21 | 6G-enabled Underwater-IoT Connected Sensors: A Quantum-Aware and Federated RL-based Localization-Energy Optimization
[IEEE] 2025-11-21 | Predefined-Time Sliding Mode Composite Control With Variable Exponent Coefficients for Uncertain Stewart Parallel Mechanism Tracking in Task Space
[IEEE] 2025-11-21 | VeCroToken: An Efficient, Verifiable, and Privacy-Preserving Cross-Chain Model for Consortium Blockchains Based on zk-SNARKs
[IEEE] 2025-11-21 | Study on the Influence of DC Bias Voltage on the Characteristics of Ultrahigh-Voltage Silicon Carbide Superfast Ionization Thyristor
[IEEE] 2025-11-21 | IEEE Vehicular Technology Society Information
[IEEE] 2025-11-21 | An Autoethnography on Visualization Literacy: A Wicked Measurement Problem_supp2-3634792.pdf
[IEEE] 2025-11-21 | A Parallel Decoupling Self-planning Search-attack Algorithm for Multi-UAV with Reward Estimation
[ACM] 2025-11-22 | A Brief History of Computing with Real Numbers, Part 1
[IEEE] 2025-11-21 | The Pathway-informed Deep Learning Models in Cancer Research: a Survey_supp2-3635014.docx
[IEEE] 2025-11-21 | Hybrid Global MPPT Method Based on Decision Tree and Perturb and Observe Algorithm
[IEEE] 2025-11-21 | Non-Terrestrial Network Models Using Stochastic Geometry: Planar or Spherical?
[IEEE] 2025-11-21 | Optimization of Solenoid Valve Armature Structure Using a Surrogate Model-Based Approach
[IEEE] 2025-11-21 | Effect of Gradient Structure Induced by Torsion at Different Temperatures on the Mechanical Proper-ties of Austenitic Steel
[IEEE] 2025-11-21 | Hardening DLT-Daemon against TOCTOU Vulnerabilities: A Study on Atomic Mutex Locking for Critical State Resilience
[IEEE] 2025-11-21 | Current Without Electrons [Circuit Intuitions]
[IEEE] 2025-11-21 | Research on Dynamic Characteristics of Liquid Oxygen-Methane Electric Pump-Fed Liquid Rocket Engines
[IEEE] 2025-11-21 | Multidisciplinary Approach for Assessment and Management of Posidonia Oceanica Banquettes
[IEEE] 2025-11-21 | Q-SafeAV: Quantum-enabled Secure Intra-Sensor Communication Framework for AVs
[IEEE] 2025-11-21 | Machine Learning-based technique for the correction of numerical wave modelling over the Northern Tyrrhenian Sea
[IEEE] 2025-11-21 | Optimal Feedback Schemes for Dirty Paper Channels With State Estimation at the Receiver
[IEEE] 2025-11-21 | Data Availability Attacks: Targeted Sampling for 2-D Reed-Solomon Codes in Blockchain Systems
[IEEE] 2025-11-21 | Research on Configuration Maintenance Control Methods for Multi-Satellite Formations in Geostationary Orbit
[IEEE] 2025-11-21 | FORTA: Byzantine-Resilient FL Aggregation via DFT-Guided Krum
[IEEE] 2025-11-21 | Shock-Expansion Wave Influence on Thrust Vectoring in a Conical Nozzle with Supersonic Separation Line
[IEEE] 2025-11-21 | A novel Compact 5G Multiband Millimeter-Wave Microstrip Patch Antenna Using a U-Cut SRR
[ACM] 2025-11-21 | Hello, GenAI? Dissecting Human to Generative AI Calling
[ACM] 2025-11-21 | EasySpiro: Assessing Lung Function via Arbitrary Exhalations on Commodity Earphones
[ACM] 2025-11-21 | Hedgehog: Pushing the Range Limits of Ultrasonic Microphone Jammers
[ACM] 2025-11-21 | Poster: Towards Open Wireless Time-sensitive Networking in Linux
[ACM] 2025-11-21 | On YouTube Search API Use in Research
[ACM] 2025-11-21 | A First Look into Long-lived BGP Zombies
[ACM] 2025-11-21 | Proceedings of the 1st International Workshop &amp; Challenge on Subtle Visual Computing
[ACM] 2025-11-21 | Multi-source Multimodal Progressive Domain Adaption for Audio-Visual Deception Detection
[ACM] 2025-11-21 | PipHeap: Approximate Heap in the Pipeline Empowering Network Measurement
[ACM] 2025-11-21 | Poster: How Do You Know My Name? Investigating The Role of Domain Names for Target Reconnaissance among Web and IPv6 Scanners.
[IEEE] 2025-11-21 | Toward Sustainable Subterranean mMTC: Space-Air-Ground-Underground Networks Powered by LoRaWAN and Wireless Energy Transfer
[IEEE] 2025-11-21 | A High-Speed D-FF and a 11-Bit Up-Down Counter Using Unipolar Oxide TFTs on a Flexible Foil
[IEEE] 2025-11-21 | Strategic Placement and Sizing of Distributed Generation for Resilience Enhancement of Distribution Grids with Microgrid Formation
[IEEE] 2025-11-21 | Design and Analysis of a Self-Orienting Wireless Power Transfer System for the Multifunctional Capsule Robot
[IEEE] 2025-11-21 | <i>QuanFraud:</i>
                    Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks
[IEEE] 2025-11-21 | Front Cover
[IEEE] 2025-11-21 | Towards Communication–Computation Integrated Architectures for AI-Agent Communication Networks
[IEEE] 2025-11-21 | Synergistic Operation of a Thermo-Pneumatic Artificial Muscle With Embedded Shape Memory Alloy Springs_supp1-3627814.wmv
[IEEE] 2025-11-21 | A Grid Aligned and Quadrature Voltage Amalgamation Control Method for Improved Power Quality in PV-Inverters Under Distorted Grid
[IEEE] 2025-11-21 | VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction_supp2-3634648.pdf
[IEEE] 2025-11-21 | VCRIS 2025 Welcome Message
[IEEE] 2025-11-21 | Iterative Channel Estimation and Signal Decoding for Windowed OFDM Systems in Time-Varying Frequency-Selective Fading Channels
[IEEE] 2025-11-21 | Simulation Analysis of Aerodynamic Noise of Highspeed Compound Helicopter with Twin Propellers in Different Flight States
[IEEE] 2025-11-21 | Immersive Ethics: AI-Driven Feedback and Virtual Reality Enhance ABET-Aligned Decision-Making in Mechatronic Engineering Undergraduates
[IEEE] 2025-11-21 | A Reliable Transfer File Protocol for Multi-hop Underwater Acoustic Networks
[IEEE] 2025-11-21 | Hybrid Deep Convolution Network for Fast and Accurate Power Consumption Forecasting
[IEEE] 2025-11-21 | Grid-Like Error-Correcting Codes for Matrix Multiplication with Better Correcting Capability
[IEEE] 2025-11-21 | Research on Sensing Characteristics of Half Electrode Metal Core Piezoelectric Fibers in Flow Field
[IEEE] 2025-11-21 | Numerical Study on the Fluid Dynamic Delay Characteristics of the Underwater Vehicle During the Manipulation Process of the Cavitator
[IEEE] 2025-11-21 | Machine Learning Model Sharing Mechanism using the FIWARE Platform for Creating a Collaborative Data Network
[IEEE] 2025-11-21 | A DPI-PAC-Bayesian Framework for Generalization Bounds
[IEEE] 2025-11-21 | Denoising of Ultrasound Phased Array Signals Based on the Combination of 1D CNN and Autoencoder
[IEEE] 2025-11-21 | Investigation on Low-Speed Matching Features of Diffusion and Afterburning Mode in Ejector Mode
[IEEE] 2025-11-21 | Nondestructive Observation Method of Propellants' Internal Damage Evolution Under Large Deformation
[ACM] 2025-11-21 | Poster: Radar-Enhanced Robotic Material Perception with Vision Language Models
[ACM] 2025-11-21 | Patchwork: A Traffic Capture and Analysis Platform for Network Experiments on a Federated Testbed
[ACM] 2025-11-21 | Prefix2Org: Mapping BGP Prefixes to Organizations
[IEEE] 2025-11-21 | Cross-Layer Cooperative Design of Network Coding and Distributed Opportunistic Routing for Underwater Acoustic Sensor Networks
[IEEE] 2025-11-21 | Training With Integer-Only Arithmetic: Energy-Efficient Federated Learning With Mobile DSP Offloading
[IEEE] 2025-11-21 | Configuring RNN Weights for MIMO-OFDM Receive Processing: Informing RNN With Domain Knowledge
[IEEE] 2025-11-21 | Intention to Adopt Electric Vehicles in a Developing Country Context
[IEEE] 2025-11-21 | PPATF: A Privacy-Preserving Adversarial Training Framework to Enhance the Robustness of Lightweight Intrusion Detection Models
[IEEE] 2025-11-21 | Data-driven Multi-parameter Tuning for Stabilizing Grid-following Inverters
[IEEE] 2025-11-21 | Design and Modeling of a Reconfigurable Robot: Decoupled STAR (DSTAR)_supp1-3634888.mp4
[IEEE] 2025-11-21 | Share Your Preprint Research with the World!
[IEEE] 2025-11-21 | Spatiotemporal Reconstruction of FY-3B Soil Moisture Using a Hybrid Attention and Partial Convolution Neural Network
[IEEE] 2025-11-21 | Multimodal Spatiotemporal Semisupervised Transformer Network for Video-Based Group-Level Emotion Recognition
[IEEE] 2025-11-21 | Model Predictive Trajectory Optimization and Control for UAV Replacement in Close Formation Flight with Local Minima Avoidance
[IEEE] 2025-11-21 | Cover
[IEEE] 2025-11-21 | ITW 2025 Committees
[IEEE] 2025-11-21 | Design and Analysis of Novel Switched Capacitor Based Buck-Boost Single-Stage Inverter with Improved Gain
[IEEE] 2025-11-21 | Case Adaptive Detection Models for Asbestos-Containing Building Materials based on Hyperspectral Image Processing
[IEEE] 2025-11-21 | LanDA: Language-Guided Multi-Source Domain Adaptation_supp1-3634277.pdf
[IEEE] 2025-11-21 | Joint Upstream-Distribution Flexibility Mechanism Using Distributed Energy Storage Systems
[IEEE] 2025-11-21 | Noisy Bilinear Low-Rank Matrix Sketching
[IEEE] 2025-11-21 | Learning to Write on Dirty Paper
[IEEE] 2025-11-21 | Multimodal Clinical Prediction Framework for Health Outcomes of Patients with Cerebral Palsy: A Machine Learning Approach
[IEEE] 2025-11-21 | Sea Wave Reconstructions from Radar Systems by the Least Squares with Regularization Method
[IEEE] 2025-11-21 | Cavitation Dynamics and Control Strategy for High-Speed Water Entry of Trans-Media Vehicle
[IEEE] 2025-11-21 | Minimum Distance Decoding for Reed-Muller Codes using Projection-Aggregation
[IEEE] 2025-11-21 | Data Modeling Pattern for FACE Data Modeling
[IEEE] 2025-11-21 | High Precision Maneuver Guidance Law for High-Speed Flight Vehicles in the Dive Phase
[IEEE] 2025-11-21 | Secure Watermarking Using Adaptive QIM with Local Coefficient Magnitudes in the Frequency Domain with PUF-based Encryption
[IEEE] 2025-11-21 | Preliminary Assessment of Habitats and Biocenoses in Marine Coastal Areas of the Mar Piccolo of Taranto
[IEEE] 2025-11-21 | Single-Letter Mismatched Decoding Rates with Memory for the Gilbert-Elliott Channel
[IEEE] 2025-11-21 | Research on a Hydraulic Servo Protection Module for Aircraft Strength Test
[IEEE] 2025-11-21 | Unscented Kalman Filter with a Nonlinear Propagation Model for Navigation Applications
[IEEE] 2025-11-21 | Information-Theoretic Minimax Regret Upper Bounds for Reinforcement Learning Problems
[IEEE] 2025-11-21 | Deep Learning–Based Detection of Nephrops norvegicus Burrows
[ACM] 2025-11-21 | Scrapers Selectively Respect robots.txt Directives: Evidence From a Large-Scale Empirical Study
[ACM] 2025-11-21 | EdgeGaussian: Real-time Free-Viewpoint Video for Mobile VR via Edge-Client Collaborative Neural Rendering
[ACM] 2025-11-21 | Demo: EdgeMind-OS: A Plug-and-Play Embodied Intelligence System for Real-Time On-Device Deployment
[ACM] 2025-11-21 | Poster: BlockFL-Med: Blockchain-Enabled and Lightweight Federated Learning for Smart Medical Spaces
[ACM] 2025-11-21 | Poster: Automatically Generating High-Precision Simulated Road Networking in Traffic Scenario
[ACM] 2025-11-21 | Poster: A Unified Framework for Simultaneous Video Analytics and Streaming on UAVs
[ACM] 2025-11-21 | When the Computers Spot the Lie (and Humans Don't)
[IEEE] 2025-11-21 | Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining_supp2-3634837.pdf
[IEEE] 2025-11-21 | Synergistic Operation of a Thermo-Pneumatic Artificial Muscle With Embedded Shape Memory Alloy Springs_supp2-3627814.wmv
[IEEE] 2025-11-21 | Dynamic and Asymmetric Enhancement for Remote Sensing Image Change Captioning
[IEEE] 2025-11-21 | VCRIS 2025 Conference Committee
[IEEE] 2025-11-21 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding_supp2-3634812.pdf
[IEEE] 2025-11-21 | Analysis of Carbothermic MgO Reduction in the Radio Frequency Plasma Environment—Part 4: Replacing Solid Carbon With a Carbon-Containing Gas
[IEEE] 2025-11-21 | Non-contact optical spectroscopy for metabolic and vascular characterizations of orthotopic tongue cancer models_supp1-3635031.docx
[IEEE] 2025-11-21 | A Manifold Learning Process Monitoring Framework for Nonlinear Industrial Systems
[IEEE] 2025-11-21 | Scale-Invariant and View-Relational Representation Learning for Full Surround Monocular Depth
[IEEE] 2025-11-21 | Reconfigurable Intelligent Surface-Assisted Distributed Collaborative Localization Algorithm for UAV Swarms
[IEEE] 2025-11-21 | IEEE Dataport
[IEEE] 2025-11-21 | : Deceptively Steering Your Edits Towards Targeted Attribute-aware Distribution_supp1-3621435.pdf
[IEEE] 2025-11-21 | Planning and Control for Deformable Linear Object Manipulation
[IEEE] 2025-11-21 | WDCDiff: Two-Stage Wavelet Denoising and Conditional Diffusion Enhancement Network for Remote Sensing Spatiotemporal Fusion
[IEEE] 2025-11-21 | Electrical Properties and Photocatalytic Algal Inhibition of KH570-TiO
                    <sub>2</sub>
                    /RTV Composite Coatings
[IEEE] 2025-11-21 | Frequency-Temperature Mechanism and Normalization of Oil-Paper Insulation Based on the Double-Well Potential Model and Spectral Decomposition Techniques
[IEEE] 2025-11-21 | Advancements in the Italian National Wave Buoy Network: First Results from the Upgraded Stations
[IEEE] 2025-11-21 | Multispectral LED Sensors as Sea Wave Detector
[IEEE] 2025-11-21 | Numerical Investigation on the Heat Transfer Characteristics of Lower Surface on the Impingement Plate in Ramjet Combustor
[IEEE] 2025-11-21 | Towards Estimating the Carbon Footprint of Video Streaming
[IEEE] 2025-11-21 | Minimax Data Sanitization with Distortion Constraint and Adversarial Inference
[IEEE] 2025-11-21 | Tensor Decomposition for Brain Data Characterization: A structured review on prerequisites, models, and constraints
[IEEE] 2025-11-21 | UAV Based Monitoring of Plastic Debris Detection
[IEEE] 2025-11-21 | Automated Detection of Writing Phases: An Unsupervised Learning Validation of the Hayes &amp; Flower Cognitive Writing Model
[IEEE] 2025-11-21 | Numerical Investigation of the Ignition Characteristics Between Multisector Combustors and Annular Combustor
[IEEE] 2025-11-21 | A Matrix Completion Approach for the Construction of MDP Convolutional Codes
[IEEE] 2025-11-21 | A compact setup for low-frequency free-field calibration of hydrophones and autonomous underwater recorders in lakes
[IEEE] 2025-11-21 | Structured Estimators: A New Perspective on Information Freshness
[IEEE] 2025-11-21 | On Plotkin Bound for Function-Correcting Codes for b-Symbol Read Channels
[IEEE] 2025-11-21 | From Inshore to Offshore: Rare Polychaete Species are Informative for Soft Bottom Ecology in the Southern Adriatic
[IEEE] 2025-11-21 | RTL Design and Implementation of the TWINE-80 Lightweight Block Cipher
[IEEE] 2025-11-21 | Turbo Codes-based Physical Layer Security Method Against Passive Eavesdropping Attacks For MIMO Wireless Communication Systems
[IEEE] 2025-11-21 | Efficient Computation of Marton’s Error Exponent via Constraint Decoupling
[IEEE] 2025-11-21 | Discussion on Cavitation Evolution with Diverse Silt Grain Concentrations and Diameters for Nozzle
[IEEE] 2025-11-21 | Secret key generation and Storage based on QPUF
[IEEE] 2025-11-21 | Quantum Machine Learning: A Comparative Study of Variational Quantum Classifier with Classical Classifier Algorithms
[IEEE] 2025-11-21 | Deep Learning Based Character Recognition for Digital Meters
[IEEE] 2025-11-21 | Impact Performance Analysis of Fiber-Metal Porous Sandwich Panels Based on Monte Carlo Stochastic Approach
[ACM] 2025-11-21 | Autonomous Systems under AReST: Advanced Revelation of Segment Routing Tunnels
[ACM] 2025-11-21 | Poster: ECN-based Congestion Control for WebRTC
[IEEE] 2025-11-21 | M
                    <sup>2</sup>
                    Former: Enhancing Event-Based RT-DETR for Robust and Lightweight Space Object Detection
[IEEE] 2025-11-21 | SCOF: Supervised Contrastive Orthogonal Fusion for Robust Cross-View Geo-localization
[IEEE] 2025-11-21 | Exploring Gradient-Guided Masked Language Model to Detect Textual Adversarial Attacks
[IEEE] 2025-11-21 | Tap. Connect. Network. Share.
[IEEE] 2025-11-21 | TexGS-VolVis: Expressive Scene Editing for Volume Visualization via Textured Gaussian Splatting
[IEEE] 2025-11-21 | MADiff: Motion-Aware Mamba Diffusion Models for Hand Trajectory Prediction on Egocentric Videos_supp1-3633453.pdf
[IEEE] 2025-11-21 | Development of Hyperbolic Tangent Geman-McClure Quaternion Kalman Filter for 3D Tracking Applications
[IEEE] 2025-11-21 | PV-STR: An Efficient Pseudonym Verification Scheme With Spatial-Temporal Revocation in IoVs
[IEEE] 2025-11-21 | A Cross-Layer Analysis of Network Antifragility With RIS-Assisted Links Under Jamming Attacks
[IEEE] 2025-11-21 | Enhanced peroxidase-like activity of Fe-doped MoS nanozyme for colorimetric detection of HO and Hydroquinone_supp1-3632834.docx
[IEEE] 2025-11-21 | Scalable Transceiver Design for Multi-User Communication in FDD Massive MIMO Systems via Deep Learning
[IEEE] 2025-11-21 | Review and Outlook on Power Converters Exploiting Artificial Neural Networks: Recent Advances and Perspectives
[IEEE] 2025-11-21 | Nearest State Discontinuous PWM Strategy for Entire Modulation Index With Interleaved Carriers in Three-Parallel Operation
[ACM] 2025-11-21 | Poster: Fast and Precise Compression of LiDAR Range Images for Real-Time Streaming
[ACM] 2025-11-21 | From Signal-based to Impedance-based Sensing: A paradigm Shift for Plug-and-Play, Mobile, and Sensitive Battery-free Sensing
[ACM] 2025-11-21 | Poster: Networked Multimodal Sensor Framework for Shrimp Health and Behavior Analysis
[IEEE] 2025-11-21 | Influence of Alumina Crystal Phases on the Combustion Dynamics of Al Particles
[IEEE] 2025-11-21 | Conductivity Calibration: Results of an Interlaboratory Comparison
[IEEE] 2025-11-21 | Benchmarking Motif Discovery Algorithms
[IEEE] 2025-11-21 | On Hierarchical Coded Caching with Offline Users
[IEEE] 2025-11-21 | Latency-Optimal File Assignment in Geo-Distributed Storage with Preferential Demands
[IEEE] 2025-11-21 | Benchmarking and Classification of Multi-Source Metocean Datasets in the Northern Tyrrhenian Sea
[IEEE] 2025-11-21 | Brain Connectivity: From network science to tensor models
[IEEE] 2025-11-21 | On the Derivative Structure of Euclidean Geometry Codes
[IEEE] 2025-11-21 | Error Correcting Codes for Segmented Burst-Deletion Channels
[IEEE] 2025-11-21 | Lateral-Directional Attitude Coupling Control Strategy for Hypersonic Underactuated Vehicles
[IEEE] 2025-11-21 | Trustworthy AUV Inspection of Critical Underwater Assets via Risk-Aware Coverage Path-Planning
[IEEE] 2025-11-21 | The VONGOLA (Visual and nOise-eNhanced AI Analysis for Marine Biodiversity MonitorinG, Observation and LeArning) Project: design and achievements of the Centro Siciliano di Fisica Nucleare e Struttura della Materia
[IEEE] 2025-11-21 | Robust Image Watermarking Algorithm Integrating QR and Singular Value Decomposition in the Discrete Wavelet Transform Domain
[IEEE] 2025-11-21 | Real-Time Anomaly Detection in Industrial Cyber-Physical Systems Using Unsupervised Machine Learning
[IEEE] 2025-11-21 | Cross-System Few-shot Log Anomaly Detection with Transformer-based Supervised Autoencoder and Data Augmentation
[IEEE] 2025-11-21 | On the Error Exponent Distribution of Code Ensembles over Classical-Quantum Channels
[ACM] 2025-11-21 | Unsupervised Learning and Process Analysis for Sensor Data Validation in the IIoT
[ACM] 2025-11-21 | NIRF: Detecting Cameras That Hide Behind Screen
[ACM] 2025-11-21 | Poster: Vibration-Tolerant Doppler Disambiguation Algorithm for MIMO Backscatter Localization Systems
[ACM] 2025-11-21 | WinSpy: Cross-window Side-channel Attacks on Android's Multi-window Mode
[ACM] 2025-11-21 | Sustainability of Machine Learning-Enabled Systems: The Machine Learning Practitioner’s Perspective
[ACM] 2025-11-21 | $CookieGuard:$ Characterizing and Isolating the First-Party Cookie Jar
[IEEE] 2025-11-21 | Emotions Like Human: Self-Supervised Emotion Label Augmentation for Emotion Recognition in Conversation
[IEEE] 2025-11-21 | Consumer Sentiment Driven Product Ranking Using a Feature-Level Deep Learning Approach: The Case of New and Refurbished Laptops
[IEEE] 2025-11-21 | A Novel Spreading-Factor-Index-Aided LoRa Scheme: Design and Performance Analysis
[IEEE] 2025-11-21 | AUD-YOLO: A lightweight object detection algorithm model incorporating dynamic upsampling for remote sensing images
[IEEE] 2025-11-21 | Scalable Cloud Auditing with Efficient Ownership Transfer for Group Transactions
[IEEE] 2025-11-21 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp5-3628682.mp4
[IEEE] 2025-11-21 | Method for Thermal Property Characterization from In-Situ Measurements Applied to the Performance Evaluation of Electric Machine Windings
[IEEE] 2025-11-21 | Agile, Reliable and Communication-Efficient Metaverse 3D Reconstruction Via Gaussian Semantic Splatting
[IEEE] 2025-11-21 | New Online Course - Foundation Models
[IEEE] 2025-11-21 | Takagi–Sugeno–Kang Fuzzy Systems With Iterated Projection Optimization for Classification Problems
[IEEE] 2025-11-21 | Agile and Accurate Formation Control for Uncertain UAV Swarms with Nash Game Optimality via Fuzzy Set Theory
[IEEE] 2025-11-21 | Energy Harvesting on AC Power Lines for a Battery-Free LoRa Sensor Node
[IEEE] 2025-11-21 | IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology Publication Information
[IEEE] 2025-11-21 | Counting Time Temporal Logic for Multi-Robot Path Planning in Finite Horizons
[IEEE] 2025-11-21 | Finite-Time Uncalibrated Visual Servoing For Robotic Manipulators Based on Model-Free Zeroing Neural Networks
[IEEE] 2025-11-21 | Phased Mission System based Reliability Analysis of Scheduling Tasks in Railway Marshalling Station
[IEEE] 2025-11-21 | VCRIS 2025 Keynotes
[IEEE] 2025-11-21 | Information Freshness in Dynamic Gossip Networks
[IEEE] 2025-11-21 | Challenges in pCO
                    <sub>2</sub>
                    Measurement: Lessons Learnt from the MINKE Project
[IEEE] 2025-11-21 | Evaluation of the propagation of oil spills in ports through Artificial Neural Networks
[IEEE] 2025-11-21 | Marine Obstacles Multi-Modal Detection, Classification and Tracking via Camera-LiDAR Late Fusion
[IEEE] 2025-11-21 | Typicality with Feedback
[IEEE] 2025-11-21 | Secure Pinching Antennas-Aided Wireless Communication System
[IEEE] 2025-11-21 | The Process of Ice Breaking Water of the Vehicle Fluid-Solid Coupling Dynamics Numerical Simulation
