[2026-04-21 10:19:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[arXiv] 2026-04-20 | Attraction, Repulsion, and Friction: Introducing DMF, a Friction-Augmented Drifting Model
[arXiv] 2026-04-20 | Scalable Neighborhood-Based Multi-Agent Actor-Critic
[arXiv] 2026-04-20 | Sexaquarks and $H$ dibaryons in the $uuddss$ system: a comparison within a constituent quark model
[arXiv] 2026-04-20 | Embedding Arithmetic: A Lightweight, Tuning-Free Framework for Post-hoc Bias Mitigation in Text-to-Image Models
[arXiv] 2026-04-20 | VerilogCL: A Contrastive Learning Framework for Robust LLM-Based Verilog Generation
[arXiv] 2026-04-20 | Does "Do Differentiable Simulators Give Better Policy Gradients?'' Give Better Policy Gradients?
[arXiv] 2026-04-20 | FreezeEmpath: Efficient Training for Empathetic Spoken Chatbots with Frozen LLMs
[arXiv] 2026-04-20 | Operators on injective tensor products of L1-preduals
[arXiv] 2026-04-20 | mlr3torch: A Deep Learning Framework in R based on mlr3 and torch
[arXiv] 2026-04-20 | AI-based Waste Mapping for Addressing Climate-Exacerbated Flood Risk
[arXiv] 2026-04-20 | On the relative CNO underabundance in quasar absorption systems at $z \sim 3$ arising from Population III enrichment and attenuation by intermediate-mass black holes and primordial baryon accretion
[arXiv] 2026-04-20 | Distributional Off-Policy Evaluation with Deep Quantile Process Regression
[arXiv] 2026-04-20 | Do time delay effects explain galactic velocity profiles?
[arXiv] 2026-04-20 | An `Inverse' Experimental Framework to Estimate Market Efficiency
[arXiv] 2026-04-20 | TLoRA: Task-aware Low Rank Adaptation of Large Language Models
[arXiv] 2026-04-20 | Moments at the hard edge and Rayleigh functions
[arXiv] 2026-04-20 | Sharing the proceeds from a hierarchical venture when agents have needs
[arXiv] 2026-04-20 | Stability Implies Redundancy: Delta Attention Selective Halting for Efficient Long-Context Prefilling
[arXiv] 2026-04-20 | Macroscopic Optical Nonreciprocity: A Black Hole as an Optical Diode
[arXiv] 2026-04-20 | Solvable Descent and the Grunwald Problem for Solvable Groups
[arXiv] 2026-04-20 | The Collaboration Gap in Human-AI Work
[arXiv] 2026-04-20 | Polarization Engineering of the Orbital Hall Conductivity in Two-dimensional Ferroelectric Higher-Order Topological Insulator Tl$_2$S and SnS
[arXiv] 2026-04-20 | Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs
[arXiv] 2026-04-20 | T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability
[arXiv] 2026-04-20 | Back into Plato's Cave: Examining Cross-modal Representational Convergence at Scale
[arXiv] 2026-04-20 | Pulling back Cartier structures along regular maps
[arXiv] 2026-04-20 | Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering
[arXiv] 2026-04-20 | Counterexamples for lacunary dilates via dyadic spike blocks
[arXiv] 2026-04-20 | Symbolic Synthesis for LTLf+ Obligations
[arXiv] 2026-04-20 | HybridGen: Efficient LLM Generative Inference via CPU-GPU Hybrid Computing
[arXiv] 2026-04-20 | JAI functional contractions in relational metric spaces
[arXiv] 2026-04-20 | NOEMA3D: Resolving radial gas flows in disk galaxies at z~1.1-1.6 with high-resolution CO observations
[arXiv] 2026-04-20 | Scaling of Quantum Resources for Simulating a Long-Range System
[arXiv] 2026-04-20 | OneVL: One-Step Latent Reasoning and Planning with Vision-Language Explanation
[arXiv] 2026-04-20 | Warm-Start Quantum Approximate Optimization Algorithm for QAM MIMO Data Detection
[arXiv] 2026-04-20 | Linear-wave bound on electromagnetic energy equipartition at sub-electron scales in non-relativistic plasmas
[arXiv] 2026-04-20 | A Generalized Synthetic Control Method for Baseline Estimation in Demand Response Services
[arXiv] 2026-04-20 | An Integrated Deep-Learning Framework for Peptide-Protein Interaction Prediction and Target-Conditioned Peptide Generation with ConGA-PePPI and TC-PepGen
[arXiv] 2026-04-20 | Topological rigidity of complex and quaternionic moment--angle manifolds
[arXiv] 2026-04-20 | Random Matrix Theory of Early-Stopped Gradient Flow: A Transient BBP Scenario
[arXiv] 2026-04-20 | Coherent terahertz field tomographic imaging in warm Rydberg vapors
[arXiv] 2026-04-20 | Real-Time Algorithms for Model Predictive Control of Hybrid Dynamical Systems
[arXiv] 2026-04-20 | Security Risks of VOA-Induced Luminescence in Chip-Based quantum key distribution
[arXiv] 2026-04-20 | Impact of Initial Charge Distributions on the Kinetics of Charged Particle Coagulation
[arXiv] 2026-04-20 | Six Llamas: Comparative Religious Ethics Through LoRA-Adapted Language Models
[arXiv] 2026-04-20 | The Gomory-Hu inequality and trees
[arXiv] 2026-04-20 | Looking for Lights from the Darkness: Signals from MeV-scale Solar Axion-like Particles
[arXiv] 2026-04-20 | One-Step Diffusion with Inverse Residual Fields for Unsupervised Industrial Anomaly Detection
[arXiv] 2026-04-20 | Order Dependence in Regression by Composition: Discussion on "Regression by Composition'' by Farewell, Daniel, Stensrud, and Huitfeldt
[arXiv] 2026-04-20 | NEMO: Neural Electro-Mechano-Optic Sensors for Multiplexed Neural Interfaces
[arXiv] 2026-04-20 | The implicated scientist: on the role of AI researchers in the development of weapons systems
[arXiv] 2026-04-20 | EAST: Early Action Prediction Sampling Strategy with Token Masking
[arXiv] 2026-04-20 | Effect Sizes in Marketing Research: Why Cohen's Local f^2 Belongs in the Toolkit
[arXiv] 2026-04-20 | Multilingual Training and Evaluation Resources for Vision-Language Models
[arXiv] 2026-04-20 | One Pass for All: A Discrete Diffusion Model for Knowledge Graph Triple Set Prediction
[arXiv] 2026-04-20 | Thermodiffusion in Aqueous Alkali Halide Solutions from Ambient to Supercooled Conditions: Ion-Specific, Structural, and Mass Effects
[arXiv] 2026-04-20 | Factor-Augmented Panel Regressions and Variance-Weighted Treatment Effects
[arXiv] 2026-04-20 | Metal Atom (Dis)Order and Superconductivity in YCaH$_{n}$ ($n=8-20$) High-Pressure Superhydrides
[arXiv] 2026-04-20 | Towards Real-Time ECG and EMG Modeling on $μ$ NPUs
[arXiv] 2026-04-20 | Information decomposition for disentangled and interpretable manifold learning of fluid flows via variational autoencoders
[arXiv] 2026-04-20 | Efficient Bayesian inference for non-linear association structures in joint models: A hierarchical approach via INLA
[arXiv] 2026-04-20 | ExAI5G: A Logic-Based Explainable AI Framework for Intrusion Detection in 5G Networks
[arXiv] 2026-04-20 | A Bayesian framework with adaptive elastic nets for the inference of Gaussian graphical models
[arXiv] 2026-04-20 | HolmeSketcher: Generative 3D Sketch Mapping for Spatial Reconstruction in Crime Scene Investigation
[arXiv] 2026-04-20 | Matrix-Free 3D SIMP Topology Optimization with Fused Gather-GEMM-Scatter Kernels
[arXiv] 2026-04-20 | Jet Quenching in the Smallest Hadronic Collision Systems
[arXiv] 2026-04-20 | Multi-stream Quickest Change Detection: Foundations and Recent Advances
[arXiv] 2026-04-20 | AIT Academy: Cultivating the Complete Agent with a Confucian Three-Domain Curriculum
[arXiv] 2026-04-20 | Employing General-Purpose and Biomedical Large Language Models with Advanced Prompt Engineering for Pharmacoepidemiologic Study Design
[arXiv] 2026-04-20 | Mitigating Multimodal Hallucination via Phase-wise Self-reward
[arXiv] 2026-04-20 | Efficiently emulating distribution functions in gigaparsec volumes for varying cosmological parameters
[arXiv] 2026-04-20 | DifFoundMAD: Foundation Models meet Differential Morphing Attack Detection
[arXiv] 2026-04-20 | Process Reward Models Meet Planning: Generating Precise and Scalable Datasets for Step-Level Rewards
[arXiv] 2026-04-20 | Advances in photocathode development for PICOSEC Micromegas precise-timing detectors
[arXiv] 2026-04-20 | QCD, electroweak physics, and searches for exotic signatures in the forward region at LHCb
[arXiv] 2026-04-20 | ReCoQA: A Benchmark for Tool-Augmented and Multi-Step Reasoning in Real Estate Question and Answering
[arXiv] 2026-04-20 | A 2-adjunction between representations and preorder morphisms
[arXiv] 2026-04-20 | Monte Carlo Study of the Phase Transition of the $XY$ Model on a Diamond Lattice
[arXiv] 2026-04-20 | ContraPrompt: Contrastive Prompt Optimization via Dyadic Reasoning Trace Analysis
[arXiv] 2026-04-20 | Replica Theory of Spherical Boltzmann Machine Ensembles
[arXiv] 2026-04-20 | Brain-Inspired Capture: Evidence-Driven Neuromimetic Perceptual Simulation for Visual Decoding
[arXiv] 2026-04-20 | Information on hidden birth events restores identifiability in phylodynamic inference
[arXiv] 2026-04-20 | Optimal linear-payment auction design with aftermarket collaboration
[arXiv] 2026-04-20 | Weaponizing the Commons: A Taxonomy and Detection Framework of Abuse on GitHub
[arXiv] 2026-04-20 | Empowering Vocabulary Learning Through Teaching AI: Using LLMs as a Student to Perform Learning by Teaching in Vocabulary Acquisition
[arXiv] 2026-04-20 | SPREG: Structured Plan Repair with Entropy-Guided Test-Time Intervention for Large Language Model Reasoning
[arXiv] 2026-04-20 | Geometric Buoyancy-like Effects of Static Structures with Internal Stress in Schwarzschild Spacetime
[arXiv] 2026-04-20 | ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation
[arXiv] 2026-04-20 | Exploring Boundary-Aware Spatial-Frequency Fusion for Camouflaged Object Detection
[arXiv] 2026-04-20 | RankUp: Towards High-rank Representations for Large Scale Advertising Recommender Systems
[arXiv] 2026-04-20 | OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation
[arXiv] 2026-04-20 | Spatiotemporal Sycophancy: Negation-Based Gaslighting in Video Large Language Models
[arXiv] 2026-04-20 | Design and Evaluation of a Culturally Adapted Multimodal Virtual Agent for PTSD Screening
[arXiv] 2026-04-20 | Probing Cosmic-Ray-Boosted and Supernova-Sourced Sub-GeV Dark Matter with Paleo-Detectors
[arXiv] 2026-04-20 | Including higher-order modes in a quadrupolar eccentric numerical relativity surrogate using universal eccentric modulation functions
[arXiv] 2026-04-20 | GPUOS: A GPU Operating System Primitive for Transparent Operation Fusion
[arXiv] 2026-04-20 | TitanCA: Lessons from Orchestrating LLM Agents to Discover 100+ CVEs
[arXiv] 2026-04-20 | Joint Phase Noise and Off-Grid Channel Estimation for AFDM Systems via Sparse Bayesian Learning
[arXiv] 2026-04-20 | AI Approach for MRI-only Full-Spine Vertebral Segmentation and 3D Reconstruction in Paediatric Scoliosis
[arXiv] 2026-04-20 | Learning from AVA: Early Lessons from a Curated and Trustworthy Generative AI for Policy and Development Research
[arXiv] 2026-04-20 | Label-Free Detection of Governance Evidence Degradation in Risk Decision Systems
[arXiv] 2026-04-20 | Inferring lunar wake potentials from electron phase space densities
[arXiv] 2026-04-20 | A novel LSTM music generator based on the fractional time-frequency feature extraction
[arXiv] 2026-04-20 | WebUncertainty: Dual-Level Uncertainty Driven Planning and Reasoning For Autonomous Web Agent
[arXiv] 2026-04-20 | Raven: Rethinking Automated Assessment for Scratch Programs via Video-Grounded Evaluation
[arXiv] 2026-04-20 | PDDL-Mind: Large Language Models are Capable on Belief Reasoning with Reliable State Tracking
[arXiv] 2026-04-20 | Navigating the Conceptual Multiverse
[arXiv] 2026-04-20 | Optimally Bridging Semantics and Data: Generative Semantic Communication via Schrödinger Bridge
[arXiv] 2026-04-20 | Semistable Reduction Theorem for Overconvergent $F$-isocrystals over Laurent Series Fields
[arXiv] 2026-04-20 | Teaching Usable Privacy in HCI Education: Designing, Implementing, and Evaluating an Active Learning Graduate
[arXiv] 2026-04-20 | Subject-Aware Multi-Granularity Alignment for Zero-Shot EEG-to-Image Retrieval
[arXiv] 2026-04-20 | Uniform two-generator presentations for $SL_n(\mathbb{Z})$ with polynomial complexity bounds
[arXiv] 2026-04-20 | Soft mode dynamics associated with QCD critical point and color superconductivity -- pseudogap, anomalous dilepton production and electric conductivity
[arXiv] 2026-04-20 | Evolutionary Negative Module Pruning for Better LoRA Merging
[arXiv] 2026-04-20 | IncreFA: Breaking the Static Wall of Generative Model Attribution
[arXiv] 2026-04-20 | Varieties of minimal degree in weighted projective space
[arXiv] 2026-04-20 | Program Structure-aware Language Models: Targeted Software Testing beyond Textual Semantics
[arXiv] 2026-04-20 | DeInfer: Efficient Parallel Inferencing for Decomposed Large Language Models
[arXiv] 2026-04-20 | Dynamical spin-nematic order in a transverse field Ising chain with non-Hermitian Gamma interaction
[arXiv] 2026-04-20 | Hysteresis and Selection in the Rise of Fascism: The `Ordinary Men' of the Nazi Party
[arXiv] 2026-04-20 | Stratagem: Learning Transferable Reasoning via Trajectory-Modulated Game Self-Play
[arXiv] 2026-04-20 | Improving reproducibility by controlling random seed stability in machine learning based estimation via bagging
[arXiv] 2026-04-20 | Dual-stream Spatio-Temporal GCN-Transformer Network for 3D Human Pose Estimation
[arXiv] 2026-04-20 | On circulant ternary coherent configurations of prime degree
[arXiv] 2026-04-20 | Constraining neutron skin impurity in $^{48}\mathrm{Ca}$ and its relevance for the CREX-PREX puzzle
[arXiv] 2026-04-20 | Towards Intelligent Legal Document Analysis: CNN-Driven Classification of Case Law Texts
[arXiv] 2026-04-20 | Low-Complexity Learning-Based Beamforming for Ultra-Massive MIMO THz Communications
[arXiv] 2026-04-20 | Analysis of the $D_0^*(2300)$ resonance from lattice QCD under chiral symmetry
[arXiv] 2026-04-20 | Transition path sampling in Ising models on heterogeneous graphs
[arXiv] 2026-04-20 | AgenTEE: Confidential LLM Agent Execution on Edge Devices
[arXiv] 2026-04-20 | Localisation of $\mathcal{N} = (2,2)$ theories on spindles of both twists
[arXiv] 2026-04-20 | Quantum theory for phonon lasing and non-classical state generation in mixed-species and single trapped ions
[arXiv] 2026-04-20 | On quantum functionals for higher-order tensors
[arXiv] 2026-04-20 | A unified framework for grain boundary distributions in textured materials
[arXiv] 2026-04-20 | Homological Aspects of Separable Extensions of Triangulated Categories
[arXiv] 2026-04-20 | The T16 Planet Hunt: 10,000 New Planet Candidates from TESS Cycle 1 and the Confirmation of a Hot Jupiter Around TIC 183374187
[arXiv] 2026-04-20 | Bounded Ratio Reinforcement Learning
[arXiv] 2026-04-20 | On Chromatic Asymptotic Approximate Groups
[arXiv] 2026-04-20 | A multimodal and temporal foundation model for virtual patient representations at healthcare system scale
[arXiv] 2026-04-20 | Benchmarking System Dynamics AI Assistants: Cloud Versus Local LLMs on CLD Extraction and Discussion
[arXiv] 2026-04-20 | ConforNets: Latents-Based Conformational Control in OpenFold3
[arXiv] 2026-04-20 | Uniform analyticity of local observables in FK-percolation and analyticity of the Ising spontaneous magnetisation
[arXiv] 2026-04-20 | GSQ: Highly-Accurate Low-Precision Scalar Quantization for LLMs via Gumbel-Softmax Sampling
[arXiv] 2026-04-20 | Advancing Vision Transformer with Enhanced Spatial Priors
[arXiv] 2026-04-20 | Physics-Informed Neural Networks for Biological $2\mathrm{D}{+}t$ Reaction-Diffusion Systems
[arXiv] 2026-04-20 | FUSE: Ensembling Verifiers with Zero Labeled Data
[arXiv] 2026-04-20 | ClawEnvKit: Automatic Environment Generation for Claw-Like Agents
[arXiv] 2026-04-20 | Two-Dimensional Tomography and Fourier Analysis
[arXiv] 2026-04-20 | Transition-Matrix Regularization for Next Dialogue Act Prediction in Counselling Conversations
[arXiv] 2026-04-20 | Fast and Forgettable: A Controlled Study of Novices' Performance, Learning, Workload, and Emotion in AI-Assisted and Human Pair Programming Paradigms
[arXiv] 2026-04-20 | Photoinduced orbital polarization and Jahn-Teller effect in RNiO$_3$
[arXiv] 2026-04-20 | IDOBE: Infectious Disease Outbreak forecasting Benchmark Ecosystem
[arXiv] 2026-04-20 | Joint Scheduling of Multi-Band Radar Sensing and DNN Inference for Cross-Stage Parallelism
[arXiv] 2026-04-20 | Three loop QCD corrections to electroweak radiative parameters
[arXiv] 2026-04-20 | Different Paths to Harmful Compliance: Behavioral Side Effects and Mechanistic Divergence Across LLM Jailbreaks
[arXiv] 2026-04-20 | Bayesian experimental design: grouped geometric pooled posterior via ensemble Kalman methods
[arXiv] 2026-04-20 | NOEMA3D: Spatially resolved dust, CO, and [C I] in massive star-forming main sequence galaxies at cosmic noon
[arXiv] 2026-04-20 | Moving beyond Principles: Identifying Actionable AI Fairness Practices
[arXiv] 2026-04-20 | Continuous Wave Second Harmonic Generation from an Etchless Lithium Niobate Resonant Metasurface
[arXiv] 2026-04-20 | Barrier-enforced multi-objective optimization for direct point and sharp interval forecasting
[arXiv] 2026-04-20 | Physics-Informed Neural Networks: A Didactic Derivation of the Complete Training Cycle
[arXiv] 2026-04-20 | On the quasi-monomiality of the $α$-and $δ$-invariants
[arXiv] 2026-04-20 | Using large language models for embodied planning introduces systematic safety risks
[arXiv] 2026-04-20 | Diffusion compaction coupling controls pore pressure dynamics in granular fluid flows
[arXiv] 2026-04-20 | ESsEN: Training Compact Discriminative Vision-Language Transformers in a Low-Resource Setting
[arXiv] 2026-04-20 | Bose metal near pair-density-wave order in a spin-orbit-coupled Kondo lattice
[arXiv] 2026-04-20 | AutoPPA: Automated Circuit PPA Optimization via Contrastive Code-based Rule Library Learning
[arXiv] 2026-04-20 | ProtoCLIP: Prototype-Aligned Latent Refinement for Robust Zero-Shot Chest X-Ray Classification
[arXiv] 2026-04-20 | New Physics in inclusive $\bar{B} \to X_c \ell \barν$ decays
[arXiv] 2026-04-20 | Revisiting Change VQA in Remote Sensing with Structured and Native Multimodal Qwen Models
[arXiv] 2026-04-20 | Quantum quenches in a spin-1 chain with tunable symmetry
[arXiv] 2026-04-20 | Context-Aware Search and Retrieval Under Token Erasure
[arXiv] 2026-04-20 | Correcting radar meteor fluxes for observing biases
[arXiv] 2026-04-20 | TypeScript Repository Indexing for Code Agent Retrieval
[arXiv] 2026-04-20 | AlphaContext: An Evolutionary Tree-based Psychometric Context Generator for Creativity Assessment
[arXiv] 2026-04-20 | River-LLM: Large Language Model Seamless Exit Based on KV Share
[arXiv] 2026-04-20 | Feedforward Phase Noise Compensation for Intersymbol Interference Channels
[arXiv] 2026-04-20 | Forecasting Ionospheric Irregularities on GNSS Lines of Sight Using Dynamic Graphs with Ephemeris Conditioning
[arXiv] 2026-04-20 | Simple modules over truncated current Lie algebras of the Witt algebra
[arXiv] 2026-04-20 | Hausdorff Dimension of Anosov Subgroups' Limit Sets with Special Self-Affine Complexity
[arXiv] 2026-04-20 | Neutrally Evolving Interlocking Complexity in the Quandary Den
[arXiv] 2026-04-20 | Temporal Retention of Information as a Biosignature
[arXiv] 2026-04-20 | ComPASS: Towards Personalized Agentic Social Support via Tool-Augmented Companionship
[arXiv] 2026-04-20 | Generalized parton distributions of valence, sea, and gluon components of the proton
[arXiv] 2026-04-20 | Statistical inference with win statistics in cluster-randomized trials with composite outcomes
[arXiv] 2026-04-20 | Probing the 3D Structures of Supernovae through IR Signatures of CO and SiO
[arXiv] 2026-04-20 | Direct observation of quadruple spin-texture locking in a 2D d-wave altermagnet
[arXiv] 2026-04-20 | Polar Coded Quantization for Distributed Source Coding
[arXiv] 2026-04-20 | Stability of geodesic-ray data, horofunctions, and rectifiability of fixed-shape slices in the Newtonian \(N\)-body problem
[arXiv] 2026-04-20 | Lagrange Index based Scheduling for Minimizing Age of Updates from Heterogeneous Sources
[arXiv] 2026-04-20 | Class-specific diffusion models improve military object detection in a low-data domain
[arXiv] 2026-04-20 | Revisiting Code Debloating with Ground Truth-based Evaluation
[arXiv] 2026-04-20 | Saturation of Markov Polynomials
[arXiv] 2026-04-20 | Overcoming Selection Bias in Statistical Studies With Amortized Bayesian Inference
[arXiv] 2026-04-20 | Perfect quantum strategies for quantum magic rectangular games: a complete structural characterization
[arXiv] 2026-04-20 | Denoise and Align: Diffusion-Driven Foreground Knowledge Prompting for Open-Vocabulary Temporal Action Detection
[arXiv] 2026-04-20 | Phonon number relaxation in a 3D superfluid with a concave acoustic branch
[arXiv] 2026-04-20 | Subcodes of Lambda-Gabidulin Codes for Compact-Ciphertext Cryptography
[arXiv] 2026-04-20 | Sketch of a Gauge Model of Gravity with SU(2) Symmetry in Minkowski space
[arXiv] 2026-04-20 | Questioning MAMI's recent determination of $B_Λ({_Λ^3}{\rm H})$
[arXiv] 2026-04-20 | Where Do Self-Supervised Speech Models Become Unfair?
[arXiv] 2026-04-20 | Quantum many-body scars in random unitary circuits
[arXiv] 2026-04-20 | Towards Disentangled Preference Optimization Dynamics Beyond Likelihood Displacement
[arXiv] 2026-04-20 | Equivalence of Local Dynamical Hidden-Variable Models to Static Bell Locality
[arXiv] 2026-04-20 | FSEVAL: Feature Selection Evaluation Toolbox and Dashboard
[arXiv] 2026-04-20 | Generalized Turán problems for Berge hypergraphs
[arXiv] 2026-04-20 | Davies-Morris-Shore Framework for Multilevel Quantum Batteries: Dark and Funnel States in Interacting Qutrit Systems
[arXiv] 2026-04-20 | Multiplication in Multimodal LLMs: Computation with Text, Image, and Audio Inputs
[arXiv] 2026-04-20 | Fundamentals and Applications of Hybrid Electroand Opto-mechanical system coupled to Superconducting Qubit: A Short Review
[arXiv] 2026-04-20 | Noise-Driven Differentiation via Gene Frustration and Epigenetic Fixation
[arXiv] 2026-04-20 | QuantumQA: Enhancing Scientific Reasoning via Physics-Consistent Dataset and Verification-Aware Reinforcement Learning
[arXiv] 2026-04-20 | Gravitational Waves from the Cosmic Dawn: Tracing Cosmic Black Hole Binaries with ET, LGWA and LISA
[arXiv] 2026-04-20 | Extending One-Step Image Generation from Class Labels to Text via Discriminative Text Representation
[arXiv] 2026-04-20 | State Transfer Reveals Reuse in Controlled Routing
[arXiv] 2026-04-20 | The Magnitude of Dominated Sets: A Pareto Compliant Indicator Grounded in Metric Geometry
[arXiv] 2026-04-20 | Leader-Follower Formation Control Using Differential Drag and Effective Surface Regulation
[arXiv] 2026-04-20 | Evaluating dispersion models for ab initio simulation of G-I and G-II molten fluoride salts
[arXiv] 2026-04-20 | Semi-Blind Receivers for RIS-Aided Fluid Antenna Systems
[arXiv] 2026-04-20 | AQPIM: Breaking the PIM Capacity Wall for LLMs with In-Memory Activation Quantization
[arXiv] 2026-04-20 | Soft Label Pruning and Quantization for Large-Scale Dataset Distillation
[arXiv] 2026-04-20 | Can LLM-Generated Text Empower Surgical Vision-Language Pre-training?
[arXiv] 2026-04-20 | Multi-Agent Systems: From Classical Paradigms to Large Foundation Model-Enabled Futures
[arXiv] 2026-04-20 | Enabling Sensitive Conversations with Consent Boundaries: Moa, a Platform for Discussing PhD Advising Relationships
[arXiv] 2026-04-20 | An Elliptic Curve Governing Hopf Linking in an $A_4$-Symmetric Tensegrity
[arXiv] 2026-04-20 | Generation of energy-time entangled triphotons in a six-level cold atomic system
[arXiv] 2026-04-20 | FLiP: Towards understanding and interpreting multimodal multilingual sentence embeddings
[arXiv] 2026-04-20 | Counting automorphic orbits in finitely generated groups
[arXiv] 2026-04-20 | Fractional Sobolev-type embedding on CR sphere and Heisenberg group
[arXiv] 2026-04-20 | On the classification of toric $2$-Fano manifolds: generic $\mathbb{P}^2$-bundles
[arXiv] 2026-04-20 | An ensemble-based approach for multi-fidelity emulation and adaptive sampling
[arXiv] 2026-04-20 | HABIT: Chrono-Synergia Robust Progressive Learning Framework for Composed Image Retrieval
[arXiv] 2026-04-20 | Yukawa scalar self energy at two loop and $\langle φ^2 \rangle$ in the inflationary de Sitter spacetime
[arXiv] 2026-04-20 | CodePivot: Bootstrapping Multilingual Transpilation in LLMs via Reinforcement Learning without Parallel Corpora
[arXiv] 2026-04-20 | Paradigm Shift from Statistical Channel Modeling to Digital Twin Prediction: An Environment-Generalizable ChannelLM for 6G AI-enabled Air Interface
[arXiv] 2026-04-20 | The trigger and localization system of SVOM-GRM
[arXiv] 2026-04-20 | Intrinsic Neuro-Synaptic Spiking Dynamics and Resonance in Memristive Networks
[arXiv] 2026-04-20 | Exponential quantum space advantage for Shannon entropy estimation in data streams
[arXiv] 2026-04-20 | An Exact Algorithm for Public Transport Line Planning Considering Passenger and Operational Costs and Lost Demand
[arXiv] 2026-04-20 | Neural Garbage Collection: Learning to Forget while Learning to Reason
[arXiv] 2026-04-20 | Polar and Convolutional Codes for the Unequal Message Protection Problem
[arXiv] 2026-04-20 | Causally-Constrained Probabilistic Forecasting for Time-Series Anomaly Detection
[arXiv] 2026-04-20 | Multi-UAV Path Following using Vector-Field Guidance
[arXiv] 2026-04-20 | SWORD: Symmetry and Wyckoff-sequence of Ordered and Disordered crystals
[arXiv] 2026-04-20 | The strange mechanics of an elastic rod under null-resultant transverse loads
[arXiv] 2026-04-20 | EcoTIM: Fuel-saving multi-brand tillage with ISO 11783 TIM
[arXiv] 2026-04-20 | Modeling Utah FORGE 2022 EGS Hydraulic Stimulations: Tensile Hydraulic Fractures versus Fluid-Induced Dilatant Shear Ruptures
[arXiv] 2026-04-20 | MASFuzzer: Fuzz Driver Generation and Adaptive Scheduling via Multidimensional API Sequences
[arXiv] 2026-04-20 | Modeling Multiple Support Strategies within a Single Turn for Emotional Support Conversations
[arXiv] 2026-04-20 | Mismatch Capacity under Stochastic Decoding
[arXiv] 2026-04-20 | MINT-Bench: A Comprehensive Multilingual Benchmark for Instruction-Following Text-to-Speech
[arXiv] 2026-04-20 | Adaptive finite element methods with optimally preconditioned GMRES guarantee optimal complexity
[arXiv] 2026-04-20 | Import-Dependent Grain Processing Hubs: The Case of Türkiye's Flour Sector
