[2026-07-17 10:48:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[arXiv] 2026-07-16 | Goal-Oriented Semantic Communication for Distributed ISAC-Enabled Vehicle Coordination
[arXiv] 2026-07-16 | $B \to X_{\mathrm{s}} l^{+} l^{-}$ in the $μ$ from $ν$ Supersymmetric Standard Model
[arXiv] 2026-07-16 | A quantitative Schur comparison theorem for curves in CAT(k) spaces
[arXiv] 2026-07-16 | Strongly convergent matrix models for $q$-Gaussian algebras
[arXiv] 2026-07-16 | QuReC: All-in-One Image Restoration with Query-Specific Guidance and Local-Global Response Calibration
[arXiv] 2026-07-16 | Digital Pantheon: Simulating and Auditing Coalition Formation with LLM Agents
[arXiv] 2026-07-16 | Light-activated Janus particles in geometrically confined binary solvent
[arXiv] 2026-07-16 | BrainPilot: Automating Brain Discovery with Agentic Research
[arXiv] 2026-07-16 | Casimir effect for a massive scalar field confined between parallel plates with a spatially varying effective mass
[arXiv] 2026-07-16 | An Adaptive and Physics-Preserving Multiscale Method for Two-Phase Flow Simulations in High-Contrast Heterogeneous Porous Media
[arXiv] 2026-07-16 | Existence and convergence of discrete-time Kyle models with multiple insiders
[arXiv] 2026-07-16 | SCITUS: A Multi-Jurisdictional Framework for Adapting NIST AI RMF to the Canadian Regulatory Context
[arXiv] 2026-07-16 | Implicit differentiation of tensor network algorithms
[arXiv] 2026-07-16 | Towards realistic large random models of labeled transition systems and their 0-1 laws
[arXiv] 2026-07-16 | Man, Machine, and Masterpiece: Artistic Ownership in the AI Era
[arXiv] 2026-07-16 | Comparative study and optimization of SDHCAL hadronic energy reconstruction methods
[arXiv] 2026-07-16 | Heilbronn's Problem in the Unit Triangle: Certified Optimal Configurations for up to $n\le 8$
[arXiv] 2026-07-16 | Risk-Aware Belief Control Barrier Functions over Random Finite Sets
[arXiv] 2026-07-16 | Competing Orders Driven by Wigner Crystal Phase in Rhombohedral Graphene
[arXiv] 2026-07-16 | Comment on "Non-linear interactions in cosmologies with energy exchange"
[arXiv] 2026-07-16 | Hall complement numbers
[arXiv] 2026-07-16 | Plug Flow and Cavitation in Rough Lubricated Contacts: Molecular Dynamics of Single- vs. Two-Component Fluids
[arXiv] 2026-07-16 | AeroAct: Action-Centered World-Action Models for Language-Conditioned Quadrotor Flight
[arXiv] 2026-07-16 | Hybrid Symmetry Breaking for Chiral Quasi-Bound States in the Continuum
[arXiv] 2026-07-16 | Achievable-Rate Analysis of MISO Systems with Transmit-Side Multiport Matching Networks
[arXiv] 2026-07-16 | Geometric Criteria for Morrey Admissibility via the Real Log-Canonical Threshold
[arXiv] 2026-07-16 | Relativistic corrections and high-energy resummation for exclusive heavy quarkonium photoproduction
[arXiv] 2026-07-16 | VQ-Touch: A Data-Efficient Tactile Generation Framework Across Sensors and Scenarios
[arXiv] 2026-07-16 | BridgeFlow: Fast and Robust SE(2)-Equivariant Motion Planning with Flow Matching
[arXiv] 2026-07-16 | Multimodality as Supervision: Self-Supervised Specialization to the Test Environment via Multimodality
[arXiv] 2026-07-16 | The existence of $k$-convex hypersurface for a class of Hessian curvature equations
[arXiv] 2026-07-16 | Amoeboid swimming of active vesicles
[arXiv] 2026-07-16 | Does Multi-Agent Debate Improve AI Feedback on Research Papers?
[arXiv] 2026-07-16 | Imaging and characterization of spontaneous vortices in a proximity-induced superconductor
[arXiv] 2026-07-16 | Acyclic Dichromatic Number of Tournaments: these are the Champions
[arXiv] 2026-07-16 | Summary of quality control (QC) of ATLAS18 production ITk strip sensors
[arXiv] 2026-07-16 | Lattice-based extended withdrawability
[arXiv] 2026-07-16 | Statistics of the Compression Ratio of a Variable-to-Variable Code: Exact Moments and Asymptotic Behavior
[arXiv] 2026-07-16 | Project Kaleidoscope: Contextual, Human-Aligned Evaluation for Real-World AI Applications
[arXiv] 2026-07-16 | Cosmogenic photon fluxes at ultra-high energies
[arXiv] 2026-07-16 | Tuning the universality class of a quantum process by Trotterization
[arXiv] 2026-07-16 | VIABench: A Comprehensive Video Benchmark Collected from Blind Individuals for Visual Impairment Assistance
[arXiv] 2026-07-16 | LLM-Driven Approach to Modeling Tool Interoperability in Automotive Domain
[arXiv] 2026-07-16 | Revisiting a random model of lateral gene transfer in phylogenetics
[arXiv] 2026-07-16 | MemPoison: Uncovering Persistent Memory Threats and Structural Blind Spots in LLM Agents
[arXiv] 2026-07-16 | On Nonlinear Idempotents and Metric Projections in Normed Spaces
[arXiv] 2026-07-16 | Action QFormer: Structured Representation Shaping under Action Supervision in Vision-Language-Action Models
[arXiv] 2026-07-16 | Runaway OB stars within 1 kpc of the Sun
[arXiv] 2026-07-16 | Criticality and reduced dynamical resilience in PM2.5 pollution systems
[arXiv] 2026-07-16 | ExaGEMM: Exploration Framework for CPU-Driven ML Inference via Associative In-Register Computing for Low-Bit GEMM
[arXiv] 2026-07-16 | Beyond Entropy: Correctness-Aware Advantage Shaping via Contrastive Policy Optimization
[arXiv] 2026-07-16 | Representation-Aligned Tactile Grounding for Contact-Rich Robotic Manipulation
[arXiv] 2026-07-16 | Baumslag-Solitar subgroups of the mapping class group
[arXiv] 2026-07-16 | A Nonlinear Model Predictive Control Perspective on Gradient-Based Optimization: A New Efficient, Parameter-Free and Provably Stable Algorithm
[arXiv] 2026-07-16 | Memory-Driven Self-Disclosure and Relational Turning Points: A Longitudinal Multimodal Study of Human-AI Interaction
[arXiv] 2026-07-16 | Multi-LLM Collaborative MRI Report Generation for Visual Instruction Tuning in Brain Oncology
[arXiv] 2026-07-16 | Advanced Image Generation: Negative Prompt Optimization and Latent Classifier Guidance
[arXiv] 2026-07-16 | Sharp Stability Threshold and Certification for Designing Stable Residual Architectures
[arXiv] 2026-07-16 | Phase coherence control of a programmable high-Tc superconductor created by light
[arXiv] 2026-07-16 | Spin-Resolved Decay of Axion-Like Particles into Electron--Positron Pairs in Strong Electromagnetic Fields
[arXiv] 2026-07-16 | Features of the distribution of absorbing matter in the local system
[arXiv] 2026-07-16 | CASP: Learning-Augmented Offline Approximation with Verifiable Certificates and Bounded-Loss PAC Guarantees
[arXiv] 2026-07-16 | Controlled Reformulation Testing for Logical Consistency in Large Language Models
[arXiv] 2026-07-16 | Uni-AdaVD: Universal Concept Erasure for Visual Generation via Orthogonal Value Decomposition
[arXiv] 2026-07-16 | State-Dependent Metric Projection Neural Network for Variational Inequalities
[arXiv] 2026-07-16 | VLT: A Vision-Language-Time Series Multimodal Foundation Model for Industrial Intelligence
[arXiv] 2026-07-16 | DRIFT: Drift and Aggregation for Motion Planning
[arXiv] 2026-07-16 | Denoising-Autoencoder-Assisted Physical Layer Secret Key Generation
[arXiv] 2026-07-16 | SAGA: Schema-Aware Grounding for Agentic Text-to-SPARQL Generation
[arXiv] 2026-07-16 | Context Contamination in LLM Analysis of Network Security Logs: Poison with Passive Prompt Injection and Mitigation Evaluation
[arXiv] 2026-07-16 | EdgeFaaS: A Function-based Framework for Edge Computing
[arXiv] 2026-07-16 | Syndrome-as-Header: A Quantum Label-Switching Architecture via Uncorrectable Error Injection
[arXiv] 2026-07-16 | Bergman functions on weakly uniformly perfect domains II
[arXiv] 2026-07-16 | From Draft to Draft-Free: One-Step Video Object Removal via Privileged Distillation and Fast Planting
[arXiv] 2026-07-16 | CFM-Bench: A Unified Multi-Domain, Multi-Task Benchmark for Channel Foundation Models
[arXiv] 2026-07-16 | Stitch-Inferencer: Enhance Endoscopic Video Segmentation and Tracking via Panoramic Reconstruction
[arXiv] 2026-07-16 | Contextualized Early Detection of Online Firestorms: A Sequential LLM-Based Approach
[arXiv] 2026-07-16 | A Comprehensive History of $μ$CRL and mCRL2
[arXiv] 2026-07-16 | A Queueing-Stability Criterion for Causal IPD-QIM Network Flow Watermarking
[arXiv] 2026-07-16 | Stochastic process model of rough surface contact
[arXiv] 2026-07-16 | A superplethystic formula for superrestriction coefficients
[arXiv] 2026-07-16 | A Minimal Interpretable Architecture for Zero-Shot Reconstruction of Dynamical Systems
[arXiv] 2026-07-16 | Tomographic flow regime vs even-odd effect for the magnetotransport in the Corbino geometry
[arXiv] 2026-07-16 | Coloring Black Holes: Epistemic and Aesthetic Choices in Astronomical Imaging
[arXiv] 2026-07-16 | Optimal Design for Generalized Progressive Hybrid Censored Data via Constrained, Unconstrained, Compound, and Minimax Optimization
[arXiv] 2026-07-16 | Authoring Narrative Visualization in Motion: Visual Storytelling in Swimming Videos
[arXiv] 2026-07-16 | Stochastic ultimatum game: Spite-driven resource feedback fosters fairness
[arXiv] 2026-07-16 | Non-Hermitian Interaction between Light and Photonic Time Crystal Beyond the Floquet Quasinormal Mode Approximation
[arXiv] 2026-07-16 | Alternating adjacent-sum polytopes: transfer matrices and Ehrhart series
[arXiv] 2026-07-16 | Efficient Hamilton covers and linear arboricity of random graphs
[arXiv] 2026-07-16 | Rotational Motion-Induced Error Compensation for Phase-Shifting Profilometry-Based Eye Reconstruction
[arXiv] 2026-07-16 | Optimization dynamics of Transformer backflow neural quantum states for the two-dimensional Hubbard model
[arXiv] 2026-07-16 | Erdős-Ko-Rado-type problem for hypergraph matchings
[arXiv] 2026-07-16 | Thermal Masses and Bubble-Wall Friction in Cosmological Phase Transitions
[arXiv] 2026-07-16 | A Bogomolov type vanishing theorem
[arXiv] 2026-07-16 | RW-Voice-EQ Bench: A Real World Benchmark for Evaluating Voice AI Systems
[arXiv] 2026-07-16 | Analytical covariances for catalogue-based pseudo-$C_\ell$s
[arXiv] 2026-07-16 | Modular Sign Compensation for MIMO Systems with Unknown Control Direction: An Exact Nominal Recovery Approach
[arXiv] 2026-07-16 | Physics-Informed Diffusion for Biomechanically Plausible 3D Sign Language Generation
[arXiv] 2026-07-16 | Lossy compression of weighted graph adjacency matrices by transform coding
[arXiv] 2026-07-16 | Interventional Causal Circuits for Safe Robot Action Testing and Failure Recovery
