[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | SOPSmith: Forging Executable SOPs for LLM-Driven GPU Cluster Network Diagnosis
[IEEE] 2026-8-26 | Personality-Aware Pricing and Heterogeneity-Aware Scheduling of Cloud Service Requests for Profit Maximization
[IEEE] 2026-8-26 | Affective Language Processing for Mental Healthcare: A Survey of LLM-Based Approaches across the Care Continuum_supp1-3726877.pdf
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | Open source chip design using Efabless
[IEEE] 2026-8-26 | Evaluation of the Effectiveness of Artificial Intelligence-Assisted Nuclear Electronics Teaching Based on Multiple Regression
[IEEE] 2026-8-26 | Constrained Trajectory Planning and Control for Space Manipulator Capture Tasks Using an Improved Bi-level MOPSO Algorithm
[IEEE] 2026-8-26 | IBODet: Information-Bottleneck-Inspired Lightweight Oriented Detection in Remote Sensing Images
[IEEE] 2026-8-26 | Cloud Confidential Computing in the Wild: Technology Landscape and Practical Challenges
[IEEE] 2026-8-26 | KACIO: Keyword-Aware Cross-Attention for Long-Tailed ICD-9 Coding
[IEEE] 2026-8-26 | Deep Learning-Based Image Analysis for Automated Fruit Sizing
[IEEE] 2026-8-26 | Communication-Efficient Federated Transfer Learning with Differential Privacy
[IEEE] 2026-8-26 | Robust Online Residual Oxygen Detection in Pharmaceutical Vials via Multiorder Harmonic Geometric-Feature Fusion
[IEEE] 2026-8-26 | GRN-GEARS: Interpretable Gene Regulatory Modelling for Single-Cell Perturbation Response Prediction in Precision Oncology
[IEEE] 2026-8-26 | Expanding the Distance- and Load-Independent Region of PT-Symmetric Wireless Power Transfer through Current-to-Voltage Mapping_supp1-3727420.pdf
[IEEE] 2026-8-26 | A Quantitative Measurement Method for Deep-Buried Defect in Ferromagnetic Components Based on Variable Pulse Width Magnetization
[IEEE] 2026-8-26 | Trusted Runtime Customizable TEE on FPGA-SoC with User-Controllable TPM
[IEEE] 2026-8-26 | On Minimal Privacy Leakage Frequency in Differentially Private Decentralized Optimization
[IEEE] 2026-8-26 | Distributed Localization and Koopman-Based Cooperative Encirclement of an Unknown Active Monitoring Target in Multispacecraft Systems
[IEEE] 2026-8-26 | DOSA: Optimizing DVFS Policy for Stochastic Workloads with Analytical Solutions
[IEEE] 2026-8-26 | Real-Time Low-Rate DDoS Detection on Resource-Constrained IoT Devices
[IEEE] 2026-8-26 | A Canopy–Gap Boundary-Based Method for Multi-Platform Forest Point Cloud Registration
[IEEE] 2026-8-26 | A Method for Estimating Lateral State Parameters of Commercial Vehicles Based on Unscented Kalman Filter and Physics-Informed Constrained Neural Network
[IEEE] 2026-8-26 | M4DLB-DeepLabv3+: A Lightweight Boundary-Aware Network with MobileNetV4 and Dual-Light State Space Modules for UAV Aerial Image Segmentation
[IEEE] 2026-8-26 | Adaptive Multi-Path Mamba Knowledge Distillation Framework for Industrial Defect Detection
[IEEE] 2026-8-26 | TSN-FLARE: A Flexible and Resilient Telemetry Framework for Time-Sensitive Networking
[IEEE] 2026-8-26 | A Multi-Stage Degradation Model of IGBT Module under Power Cycling with Multiphysics Simulation
[IEEE] 2026-8-26 | DNSMedic: Automated Precision Diagnosis and Repair Guidance for DNS Misconfigurations
[IEEE] 2026-8-26 | SENTRY: Statistical Reliability Analysis of Vision Transformers Under Soft Errors
[IEEE] 2026-8-26 | Sim2Real based Multi-Task SpatioTemporal Cellular Network Traffic Forecasting
[IEEE] 2026-8-26 | Clinical Reasoning-Augmented Prediction: Agentic Verification Improves Reliability of VTE Detection from Radiology Reports
[IEEE] 2026-8-26 | Multi-band Brain Functional Connectivity for EEG-Based Driving Behavior Recognition
[IEEE] 2026-8-26 | SRAW-Attack: Space-Reweighted Adversarial Warping Attack for SAR Target Recognition
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | IEEE Security and Privacy Subscription
[IEEE] 2026-8-26 | When the Internet Breaks Art: A Self-Healing Virtualization Framework
[IEEE] 2026-8-26 | Fast Generalized Structurally Constrained Pre-Stack Seismic Inversion for Horizontal Transverse Isotropic Media
[IEEE] 2026-8-26 | A Weakly-Guiding Low-Loss and Low-Crosstalk Center-Raised Ring-Core Fiber with Seven OAM Mode Groups Containing High-Order Radial Modes
[IEEE] 2026-8-26 | Mode-Scheduled Hybrid Control of Magnetorheological-Assisted Robotic Joints for Improved Energy Efficiency and Disturbance Rejection
[IEEE] 2026-8-26 | Influence of Ni
                    <sup>2+</sup>
                    Doping on Crystallization behavior and Magnetic Properties of Gehlenite-Based Calcium Aluminosilicate glasses
[IEEE] 2026-8-26 | Design and Implementation of a Privacy-Preserving Revocable Credential System Based on Blockchain Technology
[IEEE] 2026-8-26 | ReMu: Bridging Fidelity and Flexibility in High-Mobility Network Emulation at Microsecond Scale
[IEEE] 2026-8-26 | Circuit Simulation Data Augmentation and Extreme Condition Performance Prediction Based on Generative Adversarial Networks
[IEEE] 2026-8-26 | Alleviating AOA Drift Effects in Single Moving Observer Localization Using Alternating Minimization
[IEEE] 2026-8-26 | Adaptive Differential Privacy for Federated Intrusion Detection in IoT Networks Using Meta-Learning Control
[IEEE] 2026-8-26 | SLO-Driven Horizontal Container Autoscaling
[IEEE] 2026-8-26 | Joint Optimization of Near-Field Cylindrical Movable Antenna Arrays Based on a Hybrid OMP-CGS-Adam Algorithm
[IEEE] 2026-8-26 | A TCAD-Assisted Process Parameter Iteration Method for Improving the Electrical Performance of Trench-Gate Power Devices
[IEEE] 2026-8-26 | From Mathematics to Engineering Thinking: A Hybrid STEAM Learning Model Through a School Math and Engineering Club
[IEEE] 2026-8-26 | IWQoS 2026 TOC
[IEEE] 2026-8-26 | Emergency Call Failures in All-IP Mobile Networks: Evidence from Large-Scale Outages and Controlled Device Testing
[IEEE] 2026-8-26 | Survey of Low-Power Single-Clock-Edge-Triggered Flip-Flops Using FreePDK 45nm: Challenges and Trends for IoT Applications
[IEEE] 2026-8-26 | Effect of Terbium Doping on ITZO Thin-Film Transistors for Improved Bias-Stress Stability
[IEEE] 2026-8-26 | Privacy-aware Hand Gesture Recognition using Textile-based Sensing Glove
[IEEE] 2026-8-26 | IEEE Computer Society Information
[IEEE] 2026-8-26 | Behavioral Clustering of Iterated Prisoner’s Dilemma Strategies via Adaptive Pairwise Sampling
[IEEE] 2026-8-26 | An Ensembled Gradient Boosting Algorithm with Partial Penalty Hybrid Imbalance Processing for Multi-Class Classification on IoT Attack Detection
[IEEE] 2026-8-26 | Ontology-based Testing of Reinforcement Learning Applications
[IEEE] 2026-8-26 | PIC-M$^{3}$: Perceptual Image Compression with Multi-scale and Multi-modal Merge Networks
[IEEE] 2026-8-26 | Privacy Preserving Search on Genomic Data
[IEEE] 2026-8-26 | Fauxshield: An Explainable Deepfake Detection and Awareness Platform Using Hybrid Deep Learning
[IEEE] 2026-8-26 | VFreq-GAN: A Frequency-Aware Generative Network for Latent Fingerprint Enhancement
[IEEE] 2026-8-26 | Dynamic Resampling-Guided Multidirectional FreqFormer for Imbalanced Partially Labeled Hyperspectral Images
[IEEE] 2026-8-26 | HIRP-AD: Hierarchical Representative Prototype Learning for Unified Multi-Class Unsupervised Anomaly Detection
[IEEE] 2026-8-26 | Message from the 2026 Steering Committee Chair
[IEEE] 2026-8-26 | SmartGuard: A Deep Learning and IoT-Enabled Smart Surveillance Framework for Data-Driven Community Safety and Threat Prevention
[IEEE] 2026-8-26 | Masthead
[IEEE] 2026-8-26 | IEEE Annals of the History of Computing
[IEEE] 2026-8-26 | A Texture-Aware Framework for Infrared and Visible Image Fusion
[IEEE] 2026-8-26 | High-Resolution Urban Surface Upward Longwave Radiation Estimation Using a Physics-Constrained Neural Network with Sky View Factor
[IEEE] 2026-8-26 | DMVD-GRN: Denoised Multi-View Decoding with Structure-Aware Link Scoring for Gene Regulatory Network Inference
[IEEE] 2026-8-26 | Ship Path Planning Based on Modified Harris Hawk Optimization Algorithm
[IEEE] 2026-8-26 | ConvexLens: Overcoming Frequency Stagnation in Millisecond Workloads via Temporal Co-location
[IEEE] 2026-8-26 | Height-Aware Machine Learning Channel Modeling for Vehicular Visible Light Communication
[IEEE] 2026-8-26 | Mapping Cyber Security Certifications to CyBOK: A Comparative Study of Breadth, Depth, and Professional Orientation
[IEEE] 2026-8-26 | Design and Verification of an Intelligent Ground Test System for Long-Range GEO-LEO TDMA Inter-Satellite Links
[IEEE] 2026-8-26 | AI for Digital Health: Machine Learning Solutions to Classify Malignant Mammograms
[IEEE] 2026-8-26 | CR-Duct: Concurrent Reasoning Network for Spatiotemporal Knowledge Graph Prediction of Inhomogeneous Atmospheric Duct
[IEEE] 2026-8-26 | Evaluation of File Systems for Energy-Aware and Real-Time Constrained Embedded Systems
[IEEE] 2026-8-26 | XGBoost-Based Phishing Website URL Feature Detection and Interpretable Analysis
[IEEE] 2026-8-26 | Continuous OFDM Signal for ISAC in 6G
[IEEE] 2026-8-26 | Preface
[IEEE] 2026-8-26 | A Spatiotemporal Automatic Calibration Mechanism for Rapid Deployment of Indoor Positioning Systems in Industry 4.0
[IEEE] 2026-8-26 | Securing the IoT Supply Chain: A Lifecycle-Based Defensive Framework
[IEEE] 2026-8-26 | Impact of Microelectronics Advancements on Ultrasound Medical Imaging Systems Technology: from the 1980s to the 2020s
[IEEE] 2026-8-26 | DepartKVS: KV Separation for Redundant Replicas in Strongly Consistent Distributed Stores
[IEEE] 2026-8-26 | A CBCT-Tailored Inverse Tone Mapping Method for Enhancing Contrast and Brightness Toward Improved Diagnostic and Treatment
[IEEE] 2026-8-26 | Deep-Learning-Enabled Inverse Design of Dual-Resonance Terahertz Metasurface Sensors Multiplexing SP-BIC and FW-BIC
[IEEE] 2026-8-26 | Improved Artificial Fish Swarm Algorithm for Robot Path Planning with Varying Target Points
[IEEE] 2026-8-26 | Organizing Committee of CISOSE 2026
[IEEE] 2026-8-26 | IEEE Transactions on Computers Call for Paper
[IEEE] 2026-8-26 | Robust ISAR Scattering Center Reconstruction Based on Rician Statistical Modeling and Hybrid Parametric Representation_supp1-3722547.pdf
[IEEE] 2026-8-26 | Technology and Language Learning: Effective Podcasting and Video-Based Language Teaching Practices in the Age of Generative AI: Eric Friginal and Wing Yee Jenifer Ho: [Book Review]
[IEEE] 2026-8-26 | Identifying Seismogenic Anomalies in Satellite Microwave Emissions by Decoupling Environmental Confounders via Physics-informed Deep Learning
[IEEE] 2026-8-26 | Study on Short Nickel-Coated FBG for Dynamic Strain Measurement in Impact Test
[IEEE] 2026-8-26 | Feasibility of Machine Learning for Portable Macronutrient Prediction Using Low-Cost Vis-NIR Sensors
[IEEE] 2026-8-26 | Traffic Sign Detection Combining Frequency-Domain Enhancement and Local Channel Attention
[IEEE] 2026-8-26 | Real-time Semantic Segmentation Network Based on Parallel Lightweight Aggregation Module
[IEEE] 2026-8-26 | PhysioAgent: A Multi-Agent AI Framework for Personalised Exercise Prescription and Longitudinal Adherence Monitoring in Physiotherapy
[IEEE] 2026-8-26 | PACG: Prior-Guided Sparse Surface Reconstruction With Complementary Densification-Pruning Based on Gaussian Splatting
[IEEE] 2026-8-26 | Center-Fed Pinching Antenna System for Uplink Environment Sensing
[IEEE] 2026-8-26 | Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access
[IEEE] 2026-8-26 | Throughput Maximization for MapReduce-Based Collaborative Computing over Energy-Harvesting Wireless Devices
[IEEE] 2026-8-26 | Exogenous Prior Injection for Reliable Feature Selection on Multimodal ASD Data
[IEEE] 2026-8-26 | Pluto: Fast and Accurate Persistent Flow Detection in High-Speed Networks via Adaptive Protection
[IEEE] 2026-8-26 | From GPU Servers to Raspberry Pi: Benchmarking Open-Source Speech-to-Text for Edge Deployment
[IEEE] 2026-8-26 | DECODE: Decision Tree Capturing Opaque Decisions via Coverage-Driven Synthetic Sampling
[IEEE] 2026-8-26 | AcrPLMEvo: A Two-Stage Framework Integrating Evolutionary Profiles with Protein Language Models for Anti-CRISPR Prediction
[IEEE] 2026-8-26 | RAD-SFL: Resource-Aware Dynamic Split Federated Learning for Heterogeneous Edge Environments with Non-IID Data
[IEEE] 2026-8-26 | Gate-Efficient Online Incremental Scheduling of No-Wait Time-Triggered Flows in TSN
[IEEE] 2026-8-26 | Compact Microwave Sensor Based on a Toroidal Dipole Resonator for Lossy Liquid Characterization
[IEEE] 2026-8-26 | MAPPO-Based Joint Task Offloading and Resource Allocation in 6G Vehicular Edge Computing under High- and Low-Frequency Cooperation
[IEEE] 2026-8-26 | Evolving the Prototype Journey: Lifelong Vision-and-Language Navigation with Prototype Adaptation
[IEEE] 2026-8-26 | Dual-Track Red Teaming and Evaluation for Traditional Chinese Localized LLMs
[IEEE] 2026-8-26 | Agentic AI for Personalized Physiotherapy: A Multi-Agent Framework for Generative Video Training and Real-Time Pose Correction
[IEEE] 2026-8-26 | ALPS: ACK-induced Latency-based Packet Spraying for Multipath Transmission
[IEEE] 2026-8-26 | Multi-Agent Framework for Neural Signal Decoding in Brain-Computer Interfaces (BCI)
[IEEE] 2026-8-26 | Message From Rong N. Chang, Steering Committee Chair
[ACM] 2026-8-26 | Waltz: Temperature-Aware Cooperative Compression for High-Performance Compression-Based CSDs
[IEEE] 2026-8-26 | Sunny and Rainy Weather Recognition Based on Transfer Learning
[IEEE] 2026-8-26 | Slicing or Spoofing? Detecting and Containing Resource Hijacking in B5G Networks with Suspicious Traffic
[IEEE] 2026-8-26 | Evaluating the Efficacy and Diversity of DNN Test Input Prioritisation Techniques
[IEEE] 2026-8-26 | Computation Offloading Optimization in Cloud-Assisted Edge Computing Based on an Improved-IGEA Intelligent Optimization Method
[IEEE] 2026-8-26 | Dual-Rate Carrier Ambiguity Resolution for LFM-BPSK Radar-Communication Waveforms
[IEEE] 2026-8-26 | IoTScal-2CoM-ALO: An Adaptive Load Orchestration Framework for Scalable Collaborative IoT Systems
[IEEE] 2026-8-26 | Bridging the Interpretation Gap in Accessibility Testing: Empathetic and Legal-Aware Bug Report Generation via Large Language Models
[IEEE] 2026-8-26 | NeuroForensics: Unmasking Covert Backdoor Attack via Endogenous Defense
[IEEE] 2026-8-26 | Data Poisoning Detection for Secure Federated Learning with Dropout-Resilient Aggregation
[IEEE] 2026-8-26 | Pseudo-Label Guided Alignment Propagation for Partially View-Aligned Clustering
[IEEE] 2026-8-26 | Title Page i
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | Fuzzy-Logic-Based QoS Control in oneM2M: Adaptive Edge-to-Cloud Traffic Offloading
[IEEE] 2026-8-26 | BEP: A Bayesian-Entropy Pruning Framework for Efficient IPv6 Active Network Discovery
[IEEE] 2026-8-26 | RGB: Resource Graph Base for Integrating Tri-Elements in Computing Power Networks
[IEEE] 2026-8-26 | Resilient Optimal Control Against Switching Hybrid Attacks: An Improved Hybrid Iteration Scheme
[IEEE] 2026-8-26 | Velo-NC: Verified Worst-Case End-to-End Queueing-Delay Bounds Under Network Dynamics
[IEEE] 2026-8-26 | Vertical GaN Schottky Barrier Diode Based on Anode-First Process and Low-Temperature Ohmic Contact
[IEEE] 2026-8-26 | Unsupervised MVS based on hybrid distillation and gaussian splatting enhancement
[IEEE] 2026-8-26 | SAIC-CoSaMP Based Multiuser Acquisition for Coherent MC-DSSS Signals in LEO Uplink
[IEEE] 2026-8-26 | A Comprehensive Study of Deep Learning Distributed Library Bugs
[IEEE] 2026-8-26 | SAR Vehicle Detection with Complementary Spatial Enhancement and Transfer Learning
[IEEE] 2026-8-26 | IEEE CS Career Center
[IEEE] 2026-8-26 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp3-3727254.avi
[IEEE] 2026-8-26 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp1-3727254.pdf
[IEEE] 2026-8-26 | Research on Intelligent course recommendation model based on Knowledge Mapping
[IEEE] 2026-8-26 | Message from the DSEE 2026 Chairs
[IEEE] 2026-8-26 | SpectralVQ-SC: Semantic-First Scalable Digital Image Communication via Wavelet-Based Finite Quantization
[IEEE] 2026-8-26 | Cross-Guided Dual-View Pre-Training for Fracture-Healing Assessment on Orthogonal Radiographs
[IEEE] 2026-8-26 | Impact of Total Ionizing Dose on 128-Layer 3-D TLC NAND Flash Memory: Endurance, Read Disturb, and Data Retention
[IEEE] 2026-8-26 | DeGaborNet: Decoupled Gabor Network for Hyperspectral Image Classification
