[2025-12-09 09:13:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-08
正在获取论文...
[arXiv] 2025-12-08 | A quantitative dynamical Zhang fundamental inequality and Bogomolov-type problems
[arXiv] 2025-12-08 | Onset of separation unsteadiness in hypersonic shock boundary layer interaction on a cone-step
[arXiv] 2025-12-08 | An Adaptive Multi-Layered Honeynet Architecture for Threat Behavior Analysis via Deep Learning
[arXiv] 2025-12-08 | Novel thermodynamic inequality for charged and rotating AdS black holes
[arXiv] 2025-12-08 | Lang3D-XL: Language Embedded 3D Gaussians for Large-scale Scenes
[arXiv] 2025-12-08 | Trapped Fermions Through Kolmogorov-Arnold Wavefunctions
[arXiv] 2025-12-08 | Quantifying the Carbon Reduction of DAG Workloads: A Job Shop Scheduling Perspective
[arXiv] 2025-12-08 | Optimal Auction Design under Costly Learning
[arXiv] 2025-12-08 | The holographic origin of future singularities and the role of spatial curvature in cosmic expansion
[arXiv] 2025-12-08 | Mary, the Cheeseburger-Eating Vegetarian: Do LLMs Recognize Incoherence in Narratives?
[arXiv] 2025-12-08 | Large deviations principle for the cubic NLS equation with slowly decaying data
[arXiv] 2025-12-08 | RL-MTJail: Reinforcement Learning for Automated Black-Box Multi-Turn Jailbreaking of Large Language Models
[arXiv] 2025-12-08 | Statistical properties of quantum jumps between macroscopic states of light: reading an operational coherence record
[arXiv] 2025-12-08 | Chern-Simons propagators in AdS$_3$
[arXiv] 2025-12-08 | The explicit game-theoretic linear quadratic regulator for constrained multi-agent systems
[arXiv] 2025-12-08 | The Ginsparg-Wilson relation and overlap fermions
[arXiv] 2025-12-08 | SpatialDreamer: Incentivizing Spatial Reasoning via Active Mental Imagery
[arXiv] 2025-12-08 | X-ray Analysis of Gamma-Ray Burst Flares and Underlying Afterglows: Insights into Origin of Flares
[arXiv] 2025-12-08 | Enabling Delayed-Full Charging Through Transformer-Based Real-Time-to-Departure Modeling for EV Battery Longevity
[arXiv] 2025-12-08 | On the $AdS_3\times S^3\times S^3\times S^1$ dressing factors
[arXiv] 2025-12-08 | Multi-Wavelength Afterglows as Diagnostic Probes of Dense Circumburst Medium in GRBs
[arXiv] 2025-12-08 | Magnonics of time-varying media: Giant amplification via phase-transition-driven temporal interfaces
[arXiv] 2025-12-08 | $σ$-Porosity of Certain Ideals
[arXiv] 2025-12-08 | Bianchi Cosmologies in a Thurston-Based Theory of Gravity
[arXiv] 2025-12-08 | Conservative adaptive-precision interatomic potentials
[arXiv] 2025-12-08 | A winning approach to the intersections of twisted non-recurrent sets with fractals
[arXiv] 2025-12-08 | Extreme Strain Controlled Correlated Metal-Insulator Transition in the Altermagnet CrSb
[arXiv] 2025-12-08 | Spatial and Dynamical Relations between Spicules and Network Bright Points
[arXiv] 2025-12-08 | Collisional passing alpha energy transport in nearly quasisymmetric stellarators
[arXiv] 2025-12-08 | Brazilian Twin Photons 32nd anniversary
[arXiv] 2025-12-08 | On Borel orbits of quadratic forms in characteristic 2
[arXiv] 2025-12-08 | Neural Compress-and-Forward for the Primitive Diamond Relay Channel
[arXiv] 2025-12-08 | Liver Fibrosis Quantification and Analysis: The LiQA Dataset and Baseline Method
[arXiv] 2025-12-08 | A Mathematical Theory of Top-$k$ Sparse Attention via Total Variation Distance
[arXiv] 2025-12-08 | Layer-Resolved Impurity States Reveal Competing Pairing Mechanisms in Trilayer Nickelate Superconductor La$_4$Ni$_3$O$_{10}$
[arXiv] 2025-12-08 | Mesoscopic superfluid to superconductor transition
[arXiv] 2025-12-08 | Quantum Diamond Microscopy for Non-Destructive Failure Analysis of an Integrated Fan-Out Package-on-Package iPhone Chip
[arXiv] 2025-12-08 | Sharp values for all dynamical variables via Anti-Wick quantization
[arXiv] 2025-12-08 | Well-posedness of the 3-D compressible Navier-Stokes equations with density-dependent viscosities in exterior domains with far-field vacuum
[arXiv] 2025-12-08 | Comparative Analysis and Parametric Tuning of PPO, GRPO, and DAPO for LLM Reasoning Enhancement
[arXiv] 2025-12-08 | Homological Methods in the Generalization of Drinfeld Modules
[arXiv] 2025-12-08 | Gamow shell model predictions for six-proton unbound nucleus $^{20}$Si
[arXiv] 2025-12-08 | Robust Variational Model Based Tailored UNet: Leveraging Edge Detector and Mean Curvature for Improved Image Segmentation
[arXiv] 2025-12-08 | On-Demand Microwave Single-Photon Source Based on Tantalum Thin Film
[arXiv] 2025-12-08 | Optimal Pulse Patterns through a Hybrid Optimal Control Perspective
[arXiv] 2025-12-08 | Surprisingly-early bias in forecasts for unscheduled events
[arXiv] 2025-12-08 | On the Integral Cohomology of Fano Varieties of Linear Subspaces
[arXiv] 2025-12-08 | Weighted Contrastive Learning for Anomaly-Aware Time-Series Forecasting
[arXiv] 2025-12-08 | Monotonicity of the period function for planar Hamiltonian vector fields: A Generalization of Chicone's Criterion
[arXiv] 2025-12-08 | XMCQDPT2-Fidelity Transfer-Learning Potentials and a Wavepacket Oscillation Model with Power-Law Decay for Ultrafast Photodynamics
[arXiv] 2025-12-08 | Precision Higgs Probe of Type-II Seesaw
[arXiv] 2025-12-08 | Varietà di Jacobi parziali
[arXiv] 2025-12-08 | From Orbit to Ground: Generative City Photogrammetry from Extreme Off-Nadir Satellite Images
[arXiv] 2025-12-08 | Separation of Hoke and Schottky effects for improvement of mixed halide perovskite solar cell stability
[arXiv] 2025-12-08 | Self-Error Correcting Method for Magnetic-Array-Type Current Sensors in Multi-Core Cable Applications
[arXiv] 2025-12-08 | Exploring possible vector systems for faster training of neural networks with preconfigured latent spaces
[arXiv] 2025-12-08 | ControlVP: Interactive Geometric Refinement of AI-Generated Images with Consistent Vanishing Points
[arXiv] 2025-12-08 | Relationship between Poincaré Sections and Spectral Characteristics of Orbits of Globular Clusters in the Central Region of the Galaxy
[arXiv] 2025-12-08 | How Do LLMs Fail In Agentic Scenarios? A Qualitative Analysis of Success and Failure Scenarios of Various LLMs in Agentic Simulations
[arXiv] 2025-12-08 | Rice Price Dynamics during the 1945--1947 Famine in Post-War Taiwan: A Quantitative Reassessment
[arXiv] 2025-12-08 | Atomic-scale probe of molecular magneto-electric coupling
[arXiv] 2025-12-08 | The equation of Binet in classical and relativistic orbital mechanics
[arXiv] 2025-12-08 | Estimates for Dirichlet Eigenvalues of the Schrodinger operator with the Kronig-Penney Model
[arXiv] 2025-12-08 | Unified Video Editing with Temporal Reasoner
[arXiv] 2025-12-08 | Parallel Algorithms for Combined Regularized Support Vector Machines: Application in Music Genre Classification
[arXiv] 2025-12-08 | Understanding LLM Agent Behaviours via Game Theory: Strategy Recognition, Biases and Multi-Agent Dynamics
[arXiv] 2025-12-08 | Optimized Machine Learning Methods for Studying the Thermodynamic Behavior of Complex Spin Systems
[arXiv] 2025-12-08 | Delay as an energy regulator of the generation of deterministic chaos in hydrodynamic systems with limited excitation
[arXiv] 2025-12-08 | Forget and Explain: Transparent Verification of GNN Unlearning
[arXiv] 2025-12-08 | Scalable Formal Verification of Incremental Stability in Large-Scale Systems Using Graph Neural Networks
[arXiv] 2025-12-08 | The influence of Parker spiral on the reflection-driven turbulence
[arXiv] 2025-12-08 | A multivariate extension of Azadkia-Chatterjee's rank coefficient
[arXiv] 2025-12-08 | On the number of $k$-full integers between three successive $k$th powers
[arXiv] 2025-12-08 | Microseismic event classification with a lightweight Fourier Neural Operator model
[arXiv] 2025-12-08 | A weighted Reilly type integral formula for differential forms and its applications
[arXiv] 2025-12-08 | The emergence and diversification of dog morphology
[arXiv] 2025-12-08 | Twisted holography from the B-model on a 7-fold
[arXiv] 2025-12-08 | Otus Supercomputer
[arXiv] 2025-12-08 | From sparse recovery to plug-and-play priors, understanding trade-offs for stable recovery with generalized projected gradient descent
[arXiv] 2025-12-08 | Practical predictions for the effects of acceleration on decay
[arXiv] 2025-12-08 | On the Impact of Graph Neural Networks in Recommender Systems: A Topological Perspective
[arXiv] 2025-12-08 | Two-dimensional nonlinear Schrödinger equations with potential and dispersion given by arbitrary functions: Reductions and exact solutions
[arXiv] 2025-12-08 | Shell-model calculation with density-dependent interaction for $pf$-shell nuclei
[arXiv] 2025-12-08 | Non-Intrusive Data-Free Parametric Reduced Order Model for Geometrically Nonlinear Structures
[arXiv] 2025-12-08 | Self-adjoint realization of the harmonic oscillator in polar coordinates and some consequences
[arXiv] 2025-12-08 | Optical clocks with accuracy validated at the 19th digit
[arXiv] 2025-12-08 | Lyapunov maximizing measures for balanced pairs of matrices
[arXiv] 2025-12-08 | $\mathbb{C}\mathrm{P}^2$ Skyrmion with Fermion Backreaction
[arXiv] 2025-12-08 | A Multi-Probe ISW Study of Dark Energy Models with Negative Energy Density: Galaxy Correlations, Lensing Bispectrum, and Planck ISW-Lensing Likelihood
[arXiv] 2025-12-08 | Comparing quantum channels using Hermitian-preserving trace-preserving linear maps: A physically meaningful approach
[arXiv] 2025-12-08 | Privacy Practices of Browser Agents
[arXiv] 2025-12-08 | Boundary Criticality of Complex Conformal Field Theory: A Case Study in the Non-Hermitian 5-State Potts Model
[arXiv] 2025-12-08 | Do Generalisation Results Generalise?
[arXiv] 2025-12-08 | Density contrast in the scalar-tensor extension of non-metricity gravity
[arXiv] 2025-12-08 | Floquet states on disclinations
[arXiv] 2025-12-08 | A new scale of function spaces characterizing homogeneous Besov spaces
[arXiv] 2025-12-08 | Asymptotic theory and statistical inference for the samples problems with heavy-tailed data using the functional empirical process
[arXiv] 2025-12-08 | Finite-Sample Failures and Condition-Number Diagnostics in Double Machine Learning
[arXiv] 2025-12-08 | Context-measure: Contextualizing Metric for Camouflage
[arXiv] 2025-12-08 | SETUP: Sentence-level English-To-Uniform Meaning Representation Parser
[arXiv] 2025-12-08 | Photodynamics and Temperature Dependence of Single Spin Defects in Hexagonal Boron Nitride
[arXiv] 2025-12-08 | Soft Computing Tools To Predict Varied Weight Components, Material and Tribological Properties of Al2219-B4C-Gr
[arXiv] 2025-12-08 | Easy-to-Implement Two-Way Effect Decomposition for Any Outcome Variable with Endogenous Mediator
[arXiv] 2025-12-08 | Three-Octave Supercontinuum Generation in Thick Crystalline Aluminum Nitride Waveguides
[arXiv] 2025-12-08 | Cost-Effective XL-MIMO Communication with Cylinder Directly-Connected Antenna Array
[arXiv] 2025-12-08 | Coherent Field Emission Upon Ultrafast Laser Irradiation of the Tip Plasmon
[arXiv] 2025-12-08 | Bound and Resonant States of Muonic Few-Body Coulomb Systems: Extended Stochastic Variational Approach
[arXiv] 2025-12-08 | Towards probing velocity distributions in dense granular matter: Utilizing Fiber Bragg Gratings
[arXiv] 2025-12-08 | SPHEREx Pre-Perihelion Mapping of $\mathrm{H_2O}$, $\mathrm{CO_2}$, and $\mathrm{CO}$ in Interstellar Object 3I/ATLAS
[arXiv] 2025-12-08 | Model Predictive Control for Cooperative Docking Between Autonomous Surface Vehicles with Disturbance Rejection
[arXiv] 2025-12-08 | On the Orbits of Similarity Classes of Tetrahedra Generated by the Longest-Edge Bisection Algorithm
[arXiv] 2025-12-08 | Efficient Computation of a Continuous Topological Model of the Configuration Space of Tethered Mobile Robots
[arXiv] 2025-12-08 | Estimation of the elasticity for CKLS model from high-frequency observations
[arXiv] 2025-12-08 | Back-End System of BURSTT
[arXiv] 2025-12-08 | Breaking ECDSA with Electromagnetic Side-Channel Attacks: Challenges and Practicality on Modern Smartphones
[arXiv] 2025-12-08 | SIT-Graph: State Integrated Tool Graph for Multi-Turn Agents
[arXiv] 2025-12-08 | Small EUV Brightenings in the Quiet Solar Atmosphere: New Insights from the Solar Orbiter Mission
[arXiv] 2025-12-08 | Efficient ASR for Low-Resource Languages: Leveraging Cross-Lingual Unlabeled Data
[arXiv] 2025-12-08 | RVLF: A Reinforcing Vision-Language Framework for Gloss-Free Sign Language Translation
[arXiv] 2025-12-08 | Escaping the native space of Sobolev kernels by interpolation
[arXiv] 2025-12-08 | Improved bounds and optimal constructions of pure quantum locally recoverable codes
[arXiv] 2025-12-08 | Probing flavor-diagonal couplings of doubly-charged scalar at low and high energies
[arXiv] 2025-12-08 | Short Brooms in Edge-chromatic Critical Graphs
[arXiv] 2025-12-08 | Interplay between Escaping Cosmic Rays and Interstellar Medium: Driving of Galactic Winds and Shaping the Local Proton Spectrum
[arXiv] 2025-12-08 | Unified Camera Positional Encoding for Controlled Video Generation
[arXiv] 2025-12-08 | Counting voids and filaments: Betti Curves as a Powerful Probe for Cosmology
[arXiv] 2025-12-08 | EP241217a: a likely Type II GRB with an achromatic bump at z = 4.59
[arXiv] 2025-12-08 | Cross-platform Product Matching Based on Entity Alignment of Knowledge Graph with RAEA model
[arXiv] 2025-12-08 | Clinical Interpretability of Deep Learning Segmentation Through Shapley-Derived Agreement and Uncertainty Metrics
[arXiv] 2025-12-08 | Spatiotemporal Calibration and Ground Truth Estimation for High-Precision SLAM Benchmarking in Extended Reality
[arXiv] 2025-12-08 | Heterogeneous back-end-of-line integration of thin-film lithium niobate on active silicon photonics for single-chip optical transceivers
[arXiv] 2025-12-08 | HVQ-CGIC: Enabling Hyperprior Entropy Modeling for VQ-Based Controllable Generative Image Compression
[arXiv] 2025-12-08 | Spin and Orbital Magnetism in UH2 Thin Films Studied by X-ray Magnetic Circular Dichroism
[arXiv] 2025-12-08 | A versatile coherent Ising computing platform
[arXiv] 2025-12-08 | ContextualSHAP : Enhancing SHAP Explanations Through Contextual Language Generation
[arXiv] 2025-12-08 | Chiral, parity-doublet, effective-Lagrangian mean-field theories for nuclear and astrophysical phenomenology
[arXiv] 2025-12-08 | DeepSVM: Learning Stochastic Volatility Models with Physics-Informed Deep Operator Networks
[arXiv] 2025-12-08 | Asian option valuation under price impact
[arXiv] 2025-12-08 | A Structured Review of Fixed and Multimodal Sensing Techniques for Bat Monitoring
[arXiv] 2025-12-08 | FlowLPS: Langevin-Proximal Sampling for Flow-based Inverse Problem Solvers
[arXiv] 2025-12-08 | Recent Results On The Modulated Cubic Nonlinear Schrödinger Equation On $\mathbb{T}^2$
[arXiv] 2025-12-08 | A Newton-Okounkov Body Viewpoint on the SOS Conjecture
[arXiv] 2025-12-08 | A manufacturable surface code architecture for spin qubits with fast transversal logic
[arXiv] 2025-12-08 | Digital-Analog-Digital Quantum Supremacy
[arXiv] 2025-12-08 | Human Agency and Creativity in AI-Assisted Learning Environments
[arXiv] 2025-12-08 | FOAM: Blocked State Folding for Memory-Efficient LLM Training
[arXiv] 2025-12-08 | COREA: Coarse-to-Fine 3D Representation Alignment Between Relightable 3D Gaussians and SDF via Bidirectional 3D-to-3D Supervision
[arXiv] 2025-12-08 | Dynamics of multiplicative groups over fields and Folner-Kloosterman sums
[arXiv] 2025-12-08 | Revisiting the theory of crystal polarization: The downside of employing the periodic boundary conditions
[arXiv] 2025-12-08 | Surrogate-assisted airfoil optimization in rarefied gas flows
[arXiv] 2025-12-08 | The Geometry of Persona: Disentangling Personality from Reasoning in Large Language Models
[arXiv] 2025-12-08 | All You Need Are Random Visual Tokens? Demystifying Token Pruning in VLLMs
[arXiv] 2025-12-08 | The index of $t\mathcal{C}_{3}^{-}$-free signed graphs
[arXiv] 2025-12-08 | Property Testing of Computational Networks
[arXiv] 2025-12-08 | R2MF-Net: A Recurrent Residual Multi-Path Fusion Network for Robust Multi-directional Spine X-ray Segmentation
[arXiv] 2025-12-08 | A Simple Method to Enhance Pre-trained Language Models with Speech Tokens for Classification
[arXiv] 2025-12-08 | Two-stage primary acceleration in filament initial eruption under a fan-spine magnetic configuration
[arXiv] 2025-12-08 | Exponentially accelerated relaxation and quantum Mpemba effect in open quantum systems
[arXiv] 2025-12-08 | On Conditional Independence Graph Learning From Multi-Attribute Gaussian Dependent Time Series
[arXiv] 2025-12-08 | Static Dielectric Permittivity Profiles and Coarse-graining Approaches for Water in Graphene Slit Pores
[arXiv] 2025-12-08 | Intersection problems for linear codes and polynomials over finite fields
[arXiv] 2025-12-08 | MoCoRP: Modeling Consistent Relations between Persona and Response for Persona-based Dialogue
[arXiv] 2025-12-08 | Most over-representation of phonological features in basic vocabulary disappears when controlling for spatial and phylogenetic effects
[arXiv] 2025-12-08 | High-Dimensional Change Point Detection using Graph Spanning Ratio
[arXiv] 2025-12-08 | LIME: Making LLM Data More Efficient with Linguistic Metadata Embeddings
[arXiv] 2025-12-08 | SPAD: Seven-Source Token Probability Attribution with Syntactic Aggregation for Detecting Hallucinations in RAG
[arXiv] 2025-12-08 | SJD++: Improved Speculative Jacobi Decoding for Training-free Acceleration of Discrete Auto-regressive Text-to-Image Generation
[arXiv] 2025-12-08 | Enumeration of Finite Distance Monoids
[arXiv] 2025-12-08 | Quasiparticle spectra of mixtures of dipolar and non-dipolar condensates at zero and finite temperatures
[arXiv] 2025-12-08 | Interplay of Kekulé bond order and lattice instability in $\mathrm{C}_6\mathrm{Li}$
[arXiv] 2025-12-08 | Single-step Diffusion-based Video Coding with Semantic-Temporal Guidance
[arXiv] 2025-12-08 | First principle study of electronic, magnetic and thermoelectric properties of Co$_2$YPb (Y = Tc, Ti, Zr and Hf) full Heusler: Application to embedded automotive systems
[arXiv] 2025-12-08 | A lower bound theorem for $d$-polytopes with at most $3d-1$ vertices
[arXiv] 2025-12-08 | Persian-Phi: Efficient Cross-Lingual Adaptation of Compact LLMs via Curriculum Learning
[arXiv] 2025-12-08 | Simple models for the trapping of charged particles and macromolecules by diffusiophoresis in salt gradients
[arXiv] 2025-12-08 | Prediction and inference in complex networks: a brief review and perspectives
[arXiv] 2025-12-08 | Mitigating Bias in Graph Hyperdimensional Computing
[arXiv] 2025-12-08 | Single-Q and Double-Q magnetic orders: A Theoretical Analysis of Inelastic Neutron Scattering in a Centrosymmetric Structure
[arXiv] 2025-12-08 | Efficient mapping and tracking the properties of micromechanical resonators using phase-lock loops with closely-spaced frequencies
[arXiv] 2025-12-08 | OnePiece: The Great Route to Generative Recommendation -- A Case Study from Tencent Algorithm Competition
[arXiv] 2025-12-08 | InterAgent: Physics-based Multi-agent Command Execution via Diffusion on Interaction Graphs
[arXiv] 2025-12-08 | WaggleNet: A LoRa and MQTT-Based Monitoring System for Internal and External Beehive Conditions
[arXiv] 2025-12-08 | Orbit recovery under the rigid motions group
[arXiv] 2025-12-08 | Reconstructing Objects along Hand Interaction Timelines in Egocentric Video
[arXiv] 2025-12-08 | LogicCBMs: Logic-Enhanced Concept-Based Learning
[arXiv] 2025-12-08 | Nonparametric optimal density estimation for censored circular data
[arXiv] 2025-12-08 | Intrinsic non-Markovian magnetisation dynamics
[arXiv] 2025-12-08 | Recover-to-Forget: Gradient Reconstruction from LoRA for Efficient LLM Unlearning
[arXiv] 2025-12-08 | Edge-Aware Graph Attention Model for Structural Optimization of High Entropy Carbides
[arXiv] 2025-12-08 | Symmetries in Sorting
[arXiv] 2025-12-08 | MICo-150K: A Comprehensive Dataset Advancing Multi-Image Composition
[arXiv] 2025-12-08 | PrivORL: Differentially Private Synthetic Dataset for Offline Reinforcement Learning
[arXiv] 2025-12-08 | Dark-pion dark matter beyond leading order: unitarized chiral dynamics
[arXiv] 2025-12-08 | Generalized Referring Expression Segmentation on Aerial Photos
[arXiv] 2025-12-08 | Relational Visual Similarity
[arXiv] 2025-12-08 | UnityVideo: Unified Multi-Modal Multi-Task Learning for Enhancing World-Aware Video Generation
[arXiv] 2025-12-08 | WorldReel: 4D Video Generation with Consistent Geometry and Motion Modeling
[arXiv] 2025-12-08 | Understanding Privacy Risks in Code Models Through Training Dynamics: A Causal Approach
[arXiv] 2025-12-08 | Multi-view Pyramid Transformer: Look Coarser to See Broader
[arXiv] 2025-12-08 | Large Causal Models from Large Language Models
[arXiv] 2025-12-08 | The Knizhnik--Zamolodchikov structure of lattice BFKL evolution and the twist-two anomalous dimension
[arXiv] 2025-12-08 | VaR at Its Extremes: Impossibilities and Conditions for One-Sided Random Variables
[arXiv] 2025-12-08 | Thermodynamic Phase Transitions and Quantum Entropy Corrections in the Simpson-Visser Regular Black Hole
[arXiv] 2025-12-08 | Spatio-temporal equilibrium thermodynamics of guided optical waves at positive and negative temperatures
[arXiv] 2025-12-08 | Loop Corrected Supercharges from Holomorphic Anomalies
[arXiv] 2025-12-08 | Distribution-informed Online Conformal Prediction
[arXiv] 2025-12-08 | Bethe equations for the critical three-state Potts spin chain with toroidal boun dary conditions
[arXiv] 2025-12-08 | Modality-Aware Bias Mitigation and Invariance Learning for Unsupervised Visible-Infrared Person Re-Identification
[arXiv] 2025-12-08 | UltrasODM: A Dual Stream Optical Flow Mamba Network for 3D Freehand Ultrasound Reconstruction
[arXiv] 2025-12-08 | Unison: A Fully Automatic, Task-Universal, and Low-Cost Framework for Unified Understanding and Generation
[arXiv] 2025-12-08 | A multimodal Bayesian Network for symptom-level depression and anxiety prediction from voice and speech data
[arXiv] 2025-12-08 | Symmetric Vaccine Efficacy
[arXiv] 2025-12-08 | Symmetric weak multicategories
[arXiv] 2025-12-08 | On computing the (exact) Fréchet distance with a frog
[arXiv] 2025-12-08 | Bimorph Lithium Niobate Piezoelectric Micromachined Ultrasonic Transducers
[arXiv] 2025-12-08 | Stieltjes differential equations with bounded-variation derivators and application to thermal stress in solar panels
[arXiv] 2025-12-08 | Index-theoretic route to the subgap Andreev bands and topological response in Josephson junctions
[arXiv] 2025-12-08 | Constrained Dynamics on an Ellipse
[arXiv] 2025-12-08 | Delay-Aware Diffusion Policy: Bridging the Observation-Execution Gap in Dynamic Tasks
[arXiv] 2025-12-08 | Decidability of equations and first-order theory in Seifert 3-manifold groups
[arXiv] 2025-12-08 | Multicomponent condensates: a flexible platform for soliton physics
[arXiv] 2025-12-08 | Network of localized magnetic textures revealed using a saddle-point search framework
[arXiv] 2025-12-08 | Optimization-Guided Diffusion for Interactive Scene Generation
[arXiv] 2025-12-08 | Segmented Waveguide-Enabled Pinching-Antenna Systems (SWANs) for ISAC
[arXiv] 2025-12-08 | Context-Adaptive Color Optimization for Web Accessibility: Balancing Perceptual Fidelity and Functional Requirements
[arXiv] 2025-12-08 | Análisis de rendimiento y eficiencia energética en el cluster Raspberry Pi Cronos
[arXiv] 2025-12-08 | Determining the Detectability of H2O with Photometric Observations using Bayesian Analysis for Remote Biosignature Identification on exoEarths (BARBIE)
[arXiv] 2025-12-08 | Approximation Algorithms for the $b$-Matching and List-Restricted Variants of MaxQAP
[arXiv] 2025-12-08 | Tensor Network Fluid Simulations in Structured Domains Using the Lattice Boltzmann Method
