[2026-06-06 10:54:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | Multi-Scale Residual Shrinkage Network with Adaptive Thresholding for Noise-Robust EEG Sleep Staging
[IEEE] 2026-6-5 | 3D Reflectarray Antenna Design for Ku Application using 3D Printer Technology
[IEEE] 2026-6-5 | RWW 2027 Call for Papers PAWR
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp3-3683248.mp4
[IEEE] 2026-6-5 | Neural Representation Learning and Privacy-preserving Cloud-Edge Collaboration for Next-Generation Financial Wealth Management Platforms
[IEEE] 2026-6-5 | K-Means Based Tinyml Anomaly Detection and Distributed Model Reuse via the Distributed Internet of Learning (DIoL)
[IEEE] 2026-6-5 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[IEEE] 2026-6-5 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[IEEE] 2026-6-5 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
[IEEE] 2026-6-5 | Secure and Privacy-Preserving Frameworks for IoMT: A Survey of Cryptographic and Blockchain-Enabled Approaches
[IEEE] 2026-6-5 | A Jitter-Driven Hardware Hybrid Random Number Generator (HHRNG) Using Nonlinear Feedback and Feedforward Processing
[ACM] 2026-6-6 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[ACM] 2026-6-6 | Practice and Development of Large Language Model in Command and Control
[ACM] 2026-6-6 | Cooperative Grasping and Collision Avoidance Planning for Mobile Manipulators in Dynamic Environments
[IEEE] 2026-6-5 | RWW 2027 Call for Papers WISnet
[IEEE] 2026-6-5 | 2026 EuMW Registration Announcement
[IEEE] 2026-6-5 | AaSHM: Unsupervised Bearing Fault Detection Using an Anomaly-Aware Spatiotemporal Hypergraph
[IEEE] 2026-6-5 | IEEE Antennas and Propagation Society—Advancing Forward! [President’s Message]
[IEEE] 2026-6-5 | Cross-Scenario Deraining Adaptation with Unpaired Data: Superpixel Structural Priors and Multi-Stage Pseudo-Rain Synthesize
[IEEE] 2026-6-5 | Multi-View Depth Estimation With Uncertainty Constraints for Virtual-Real Occlusion
[IEEE] 2026-6-5 | 3D Localization of In-Service Deep-Buried PE Pipelines via ELF Magnetic Matching: System Design and Field Validation
[IEEE] 2026-6-5 | A Deep Neural Network-Based Adaptive Gamification Approach for Virtual Learning_supp1-3700399.docx
[IEEE] 2026-6-5 | Real-time Measurement of Transition Resistance and Full-time Fault Feeder Selection for Random Arc Fault in Active Distribution Networks
[IEEE] 2026-6-5 | Learning Optimal Crew Dispatch for Grid Restoration Following an Earthquake
[IEEE] 2026-6-5 | High-Order CBF-Compatible Semantics and Hierarchical Synthesis for Bounded-Time STL
[IEEE] 2026-6-5 | Physics-Informed Learning for Multiplayer Differential Games
[IEEE] 2026-6-5 | BhashaBluff: A Dataset and Benchmark for Detecting Bilingual, Noisy, Compressed Deepfakes and Synthetic Audio
[IEEE] 2026-6-5 | Real-Time Radar Hand Motion Recognition Using a Hybrid CNN–SVM Framework With FPGA Acceleration
[IEEE] 2026-6-5 | Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing_supp1-3696736.pdf
[IEEE] 2026-6-5 | Adaptive Sensor Fault-Tolerant Tracking Control for State-Constrained Uncertain Nonlinear Systems
[IEEE] 2026-6-5 | Mental Health Prediction System Using Artificial Intelligence
[IEEE] 2026-6-5 | Architectural Patterns and Security: Cloud Based IoT in Smart City Operations
[IEEE] 2026-6-5 | Adaptive Quality of Experience Optimization in Wireless Multimedia Sensor Networks: A Cross-Layer Analytical Approach
[IEEE] 2026-6-5 | IoT-Enabled Omnidirectional Surveillance Robot with Cloud-Based Face Recognition
[IEEE] 2026-6-5 | IoT-Vision System for Human Identification and Presence Counting Using Deep Learning
[IEEE] 2026-6-5 | Towards Smart Manufacturing: AI-Driven Prediction and Analysis of Surface Roughness in Machined Components
[IEEE] 2026-6-5 | Evaluating Fog Simulators for Real-Time IoT Deployment: Towards Smart Parking System
[ACM] 2026-6-6 | Toward Schema-Based BI for Cleanroom Experimental Metadata: Organization, Visualization, and a Beta-Stage Case Study
[IEEE] 2026-6-5 | Energy-Saving Control of DC Motor Speed via Adaptive Fixed-Time Sliding Mode
[IEEE] 2026-6-5 | Can Vibration Patterns Identify Users? Authentication for Smartphone-Watch Collaboration
[IEEE] 2026-6-5 | MS-SwinNet: Early Fusion of RGB and Multispectral Imagery for Post-Earthquake Building Damage Segmentation
[IEEE] 2026-6-5 | Enhancing Path Following of Underactuated Water-Cleaning ASVs Using Adaptive MPC: Real-Time Parameter Estimation and Sensitivity Analysis in Dynamic Marine Environments
[IEEE] 2026-6-5 | Artificial Intelligence and Microwave Engineering: From Tools to Transformation [President’s Column]
[IEEE] 2026-6-5 | BrachyUtils: A High-throughput and Modular Brachytherapy Treatment Planning System Built for Python Scripting
[IEEE] 2026-6-5 | IEEE Connects
[IEEE] 2026-6-5 | Dielectric Characterization of Hard Dental Tissues at Microwave Frequencies: Experimental Validation of First-Order Debye Behavior
[IEEE] 2026-6-5 | MSCAC-TCAM: An Interpretable Fault Diagnosis Method for Rolling Bearings Based on Multisensor Data Fusion
[IEEE] 2026-6-5 | Pinching-Antenna System Design under Random LoS and NLoS Channels
[IEEE] 2026-6-5 | Society Officers &amp; Administrative Committee
[IEEE] 2026-6-5 | An IRS Assisted Flexible Space Shift Keying Scheme with Pattern Modulation
[IEEE] 2026-6-5 | Accurate and Robust: Dynamic Image Refinement for Remote Sensing Visual Grounding
[IEEE] 2026-6-5 | “The Last Human Will See What We Saw”: The Test of the World's First Atomic Bomb Left its Observers Stupefied
[IEEE] 2026-6-5 | Theoretical Model for the Rate-Constrained Multichannel Wiener Filter in Binaural Hearing Aid Applications
[IEEE] 2026-6-5 | Beyond One-Layer Decision: Hierarchical Multi-view Clustering with Progressive Cross-Layer Fusion
[IEEE] 2026-6-5 | An Overview of Microwave Two-Port Measurement Methods for Absorber Materials
[IEEE] 2026-6-5 | Diverse-Input Yield Prediction (DIYP) Model Applied Across Different Years with Variable Input Days
[IEEE] 2026-6-5 | A Comparative Study of Attention-Based Transformer and Deep CNN Architectures for Lithography Hotspot Detection in Advanced Process Nodes
[IEEE] 2026-6-5 | Idle Nodes Detection and Reactivation Aware-Buffer Management in Delay Tolerant Network Using Iemata and Spko
[IEEE] 2026-6-5 | PROMEOS: Protein-protein interaction prediction using a Mixture of Experts and multimodal learning by integrating Ontology and Sequences
[IEEE] 2026-6-5 | EEG-Based ADHD Classification Using Machine Learning and Boosting Algorithms
[IEEE] 2026-6-5 | Applications and Limitations of Large Language Models in Digital Forensics: A Survey
[IEEE] 2026-6-5 | Chennamane: The Historiography, Gameplay, and Cultural Revival of an Obscure Folk Game from Southern India
[IEEE] 2026-6-5 | Hair Baldness Progression Prediction Using XGBoost: Risk Forecasting Model
[IEEE] 2026-6-5 | Trojan Attribution via Code Stylometry: Writing Behaviors and Coding Habits in Obfuscated Binaries
[IEEE] 2026-6-5 | Compact Vision Transformers for BFMRX Bone-Fracture Detection
[IEEE] 2026-6-5 | An AI-Powered Solution for Sustainable Resource Management
[IEEE] 2026-6-5 | Spatio-Visual Helmet Violation Analytics Using YOLOv8
[IEEE] 2026-6-5 | The Final Exam? [Microwave Surfing]
[IEEE] 2026-6-5 | A Comparative Framework for Automatic Image Annotation Using CNN Architectures and CLIP-ViT
[IEEE] 2026-6-5 | ESP32-Based Wi-Fi Signal Mapping and Machine Learning–Driven Access Point Optimization
[IEEE] 2026-6-5 | SecureHLSMem: Synthesizable Memory Safety for High-Level Synthesis of Accelerators
[IEEE] 2026-6-5 | CROSS-Sched: A Crossover-Aware ML Scheduler and its Benchmarking on Heterogeneous Systems
[IEEE] 2026-6-5 | Voice- and Text-Based Tasking for Swarm Robotics: A Leader-Centric Coordination Framework
[IEEE] 2026-6-5 | Counterfeit RF Fingerprint Detection Using an Autoencoder-Based Approach
[IEEE] 2026-6-5 | Disaster Connect: A Unified Platform for Disaster Response and Relief using MobileNetV2 and BERT
[IEEE] 2026-6-5 | Survey on Machine Learning and Deep Learning Techniques for Stutter Detection
[IEEE] 2026-6-5 | Advanced Smart Accident Detection System with IoT and AI Integration
[IEEE] 2026-6-5 | A Global Perspective on Intellectual and Developmental Disabilities: Insights and Future Directions
[IEEE] 2026-6-5 | Federated Learning for Human Activity Recognition on Resource-Constrained Sensors
[IEEE] 2026-6-5 | Robust Stability for a Class of Complex Balanced Chemical Reaction Networks with Time Delays and Time Varying Perturbations
[IEEE] 2026-6-5 | OCDS: Consortium Blockchain-Empowered Oblivious and Consistent Data Asset Sharing for Internet of Vehicles
[IEEE] 2026-6-5 | DynaTrack: Dynamic Memory-Enhanced Transformer with Deformable Attention for Robust Single Object Tracking
[IEEE] 2026-6-5 | Fragmented Graph Pattern Matching on Large Graphs
[IEEE] 2026-6-5 | Expertise and Information Seeking in the Age of Generative AI: New Procedures, New Problematics
[IEEE] 2026-6-5 | Night-to-Day Translation via Illumination Degradation Disentanglement
[IEEE] 2026-6-5 | IEEE Industrial Electronics Society Information
[IEEE] 2026-6-5 | Cover 2
[IEEE] 2026-6-5 | FedLIC: Personalized Federated Learning with Layer-Wise Importance-Aware Encryption and Compression
[IEEE] 2026-6-5 | Abnormal Behavior Recognition of Dairy Cows via DeepLabCut-Based Limb Decomposition
[IEEE] 2026-6-5 | AIDE 2026 Cover Page
[IEEE] 2026-6-5 | Direct Lightning Overvoltage and Flashover Risk in Complex Distribution Line Network Considering Electromagnetic Coupling From Lightning Channel
[IEEE] 2026-6-5 | Mutual Information of Dynamic Metasurface Antenna-Enabled MIMO With Finite-Alphabet Inputs
[IEEE] 2026-6-5 | Generative AI-enabled Cooperative Jamming for Secure Semantic Communication
[IEEE] 2026-6-5 | Coordinated Control Strategy for Unbalanced Power and Bipolar Voltage in Electrolytic Capacitorless Vienna Rectifier
[IEEE] 2026-6-5 | A Real-time FBG-DCMs-based Large-Scale Chromatic Dispersion Emulator
[IEEE] 2026-6-5 | Lost in Automatic Translation: Navigating Life in English in the Age of Language Technologies: [Book Review]
[ACM] 2026-6-6 | LLM-Assisted Knowledge Graph Construction and Dual-Layer Reasoning for Defect Repair Planning: A Neo4j-Based Demo
[ACM] 2026-6-6 | Design and Trajectory Planning of the Manipulator for Pipeline Inspection Robots
[IEEE] 2026-6-5 | Hybrid Temporal Modeling for Class Imbalance-Aware Human Activity Forecasting
[IEEE] 2026-6-5 | Device-Independent Low-Light Image Enhancement via Learnable Von Kries Chromatic Adaptation Transform
[IEEE] 2026-6-5 | LAKAS-N: Quantum Attack-Resistant Lattice-Based Authentication and Key Agreement using NIZK for Single and Cross-Domain VANETs_supp1-3696185.pdf
[IEEE] 2026-6-5 | A Comparative Spectrum Selection Study of Hyperspectral and Narrowband Ultra Hyperspectral Sounder for Stratospheric Temperature Remote Sensing Applications
[IEEE] 2026-6-5 | Long-Aperture ISAR Imaging of Complex Motion Ships via a Joint Adjacent-Order Coefficient Distribution
[IEEE] 2026-6-5 | A Phase-Dependent Data-Driven Hybrid Hysteresis Model for Torque Compensation in Nonlinear Compliant Actuators
[IEEE] 2026-6-5 | IEEE Member Discounts
[IEEE] 2026-6-5 | GS-PCC: A Unified Geometry-Attribute Compression Framework for Point Cloud via Gaussian Splatting
[IEEE] 2026-6-5 | A Hybrid Reinforcement Learning–Blockchain Architecture for Sequential Decentralised Coordination of Heterogeneous Robots: Proof-of-Concept Validation and Latency Characterisation
[IEEE] 2026-6-5 | AIDE 2026 Cover Page
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp6-3683248.mp4
[IEEE] 2026-6-5 | NCorr-FP: A Neighbourhood-based Correlation-preserving Fingerprinting Scheme for Intellectual Property Protection of Structured Data
[IEEE] 2026-6-5 | Enhancing People Localisation in Drone Imagery for Better Crowd Management by Utilising Every Pixel in High-Resolution Images
[IEEE] 2026-6-5 | FORESIGHT: Frequency and Order-aware REpresentation with Spectral-domain and Inter-channel Global Horizon Transformer
[IEEE] 2026-6-5 | A Novel Wireless Laser Coupling System Based on Hierarchical Circled Photodiodes
[IEEE] 2026-6-5 | IEEE Transactions on Industrial Informatics Information for Authors
[IEEE] 2026-6-5 | Corrections to “Enhancing Measurement Accuracy: The Impact of Missing Data on Parameter Estimation in Mass–Spring–Damper Systems”
[IEEE] 2026-6-5 | Early Paddy Disease Detection &amp; Sustainable Farming for South Indian Farmers
[IEEE] 2026-6-5 | Development of IoT Platform for Smart Kitchen Management
[IEEE] 2026-6-5 | An Empirical Evaluation of Synchronous vs Asynchronous Microservice Architectures for Enterprise Messaging Platforms
[IEEE] 2026-6-5 | WatermarkGAN: A Comprehensive Framework for Text-based Image Synthesis, Quality Analysis and Watermark Embedding
[IEEE] 2026-6-5 | Graph-Based Credit Risk Modeling in P2P Lending Using Gower-Derived Centrality Features
[IEEE] 2026-6-5 | Gradio-Enabled Dual-Model Waste Classifier: From Scratch CNN vs MobileNetV2 for Smart Segregation
[IEEE] 2026-6-5 | Transforming Medical Devices Through Software Innovation
[IEEE] 2026-6-5 | Advancing Sentiment Analysis with BERT: A Comparative Evaluation Against Machine Learning and Deep Learning Techniques
[ACM] 2026-6-6 | Multi-Level Cache Architectures for FPGA Accelerators: A Comparative Study of Graph Processing and CNN Inference Optimization
[ACM] 2026-6-6 | Polishing slurry chemical formulation design driven by large language models
[IEEE] 2026-6-5 | MED-XEL: Explainable AI on Ensemble Methods for Early Neurological Risk Forecasting
[IEEE] 2026-6-5 | ConfidenceVoice: AI-Driven Real-Time Public Speaking Coaching for Enhanced Communication
[IEEE] 2026-6-5 | A Comprehensive Survey On Continuous AI-Based Attendance Monitoring Systems
[IEEE] 2026-6-5 | AlertCrowd: Web-Based Framework for Video Crowd Alerting Using Enhanced CSRNet
[ACM] 2026-6-6 | Mental Health State Classification Model A Hybrid Approach Using VADER, BERT, BiLSTM, and CRF
[ACM] 2026-6-6 | An Automated and Scalable CNN-Based Framework for APB Error Diagnosis in SoC Designs
[IEEE] 2026-6-5 | Machine Translation from Tulu to English using Transformer Architecture
[ACM] 2026-6-6 | Guideline-grounded Retrieval-augmented Generation for Ophthalmic Clinical Decision Support
[IEEE] 2026-6-5 | A Global Fixed Time Measurement Control Strategy for Multi-Motor System with Lumped Disturbance
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp9-3683248.txt
[IEEE] 2026-6-5 | Energy Efficiency Optimization for MC-DSSS Satellite-Terrestrial Integrated Network_supp1-3700458.pdf
[IEEE] 2026-6-5 | Dynamic Gaussian-Based Digital Twin Reconstruction of Articulated Multi-Joint Objects
[IEEE] 2026-6-5 | Energy-Harvesting Asymmetry in Semitransparent Polymer Solar-Cells Based on a Laminated Transparent Electrode
[IEEE] 2026-6-5 | AMONet: Alternating Modality Optimization Network for Multimodal Rumor Detection
[IEEE] 2026-6-5 | IEEE Circuits and Systems Society Information
[IEEE] 2026-6-5 | Looking for Fun in Antennas and Propagation [Editor’s Comments]
[IEEE] 2026-6-5 | Dual-Path Consistency Learning via Hierarchical Neighborhood Perturbation for Scribble-Supervised Semantic Segmentation
[IEEE] 2026-6-5 | One-Identity-One-Key: Region-aware Watermark for Proactive Deepfake Detection and Robust Source Tracing
[IEEE] 2026-6-5 | Remembering Mauro Mongiardo [In Memoriam]
[IEEE] 2026-6-5 | IEEE Dataport
[IEEE] 2026-6-5 | Modeling Pyramidal Neurons Using Bidomain BEM and Hierarchical Matrix Approximation
[ACM] 2026-6-6 | A Robotics-Enhanced Digital Twin Framework for Automated and Resilient Cross-Border E-Commerce Logistics
[IEEE] 2026-6-5 | A Context-Adaptive Computational Framework for Shadow Artifact Remediation in Diverse Imagery
[IEEE] 2026-6-5 | 2025 International Conference on Unmanned Aircraft Systems [Conference Reports]
[IEEE] 2026-6-5 | The Roots of Renewables Resistance: To See why Sardinians Reject Renewables, You Need to Understand 2,700 Years of Invasion and Exploitation
[IEEE] 2026-6-5 | Enhancing HfO
                    <sub>2</sub>
                    -Based Si Channel FeFET Retention by Tunneling Barrier Engineering: Inserting Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Layers to Increase Tunneling Barrier
[IEEE] 2026-6-5 | A Stable Vehicle Platooning Scheme Based on Multi-Armed Bandits
[IEEE] 2026-6-5 | A Unified Framework for Pseudo-Supervised Clustering via Weighted Sample Aggregation
[IEEE] 2026-6-5 | Low-cost Embedded Breathing Rate Determination Using 802.15.4z IR-UWB Hardware for Remote Healthcare
[IEEE] 2026-6-5 | Magnetic-Transmitter to Electric-Receiver System for Underground-to-Aboveground Communication Exploiting Induction Field and Radiation Field
[IEEE] 2026-6-5 | Attack-Resilient Distributed Fusion with the TPHD Filter
[IEEE] 2026-6-5 | Celestial Navigation using Low Earth Orbit Satellites without Prior Ephemeris Information
[IEEE] 2026-6-5 | A Confidence Fusion Driven Framework for Per-Beat ECG Waveform Delineation
[IEEE] 2026-6-5 | RWW 2027 Call for Papers SHaRC
[IEEE] 2026-6-5 | Distributed maximum correntropy unscented Kalman filtering with linear encoding-decoding mechanism for sensor networks under non-Gaussian noise
[IEEE] 2026-6-5 | A Time–Frequency Cooperative Control for Current Harmonic Reduction in Capacitor-Less PMSM Drives
[IEEE] 2026-6-5 | IEEE Transactions on Professional Communication Information for Authors
[IEEE] 2026-6-5 | Anticipatory Utility Operations with Long-Duration Hydrogen Storage and Carbon Market Synergies
[IEEE] 2026-6-5 | Asynchronous Concurrent Wireless Power Transfer in Sustainable 6G Networks: A Systematic Analysis
[IEEE] 2026-6-5 | Electric Vehicle Growth Analysis and Forecasting Using Hybrid Machine Learning and Time-Series Models
[IEEE] 2026-6-5 | AI-Powered Multi-Class Adverse Drug Reaction Prediction from Real-World Clinical Data
[IEEE] 2026-6-5 | Hybrid Deep Learning and Fuzzy Logic Model for Predicting Concrete Compressive Strength with Genetic Algorithm Optimization
[IEEE] 2026-6-5 | Hybrid Deep Learning for Authenticating Video Integrity Using CNN–LSTM Architecture
[IEEE] 2026-6-5 | AI-Enabled Thermal Security System for Weapon Identification in Adverse Visibility
[IEEE] 2026-6-5 | Enhancing Cloud Data Center Security: A Fog-Based and SDN-Controlled Solution for Detecting and Mitigating DDoS Attacks
[IEEE] 2026-6-5 | Hybrid Harris Hawks-Grey Wolf Optimizer in Ad Hoc Networks: An in-Depth Analysis of Structure, Performance and Limitations
[IEEE] 2026-6-5 | An Efficient Machine Learning Pipeline for Diabetes Readmission Prediction Using Multi-Phase Feature Optimization
[IEEE] 2026-6-5 | Trusted Ran-Edge Digital Twin Framework for Next-Generation IoT Security
[IEEE] 2026-6-5 | Exploring Automated Conversion of 2D Blueprints to 3D Models for Civil Applications using Deep Learning Approaches
[IEEE] 2026-6-5 | Advanced Machine Learning Approaches in Human-Machine Interaction for Rehabilitation Exoskeleton
[IEEE] 2026-6-5 | A Passive Underwater Acoustic Target Recognition Method Using DiMobNet and ROI
[IEEE] 2026-6-5 | Coordinated Beamforming for Networked Integrated Communication and Multi-TMT Localization
[IEEE] 2026-6-5 | How Far Are We from Generating Missing Modalities with Foundation Models?_supp1-3696678.pdf
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | AIDE 2026 TOC
[IEEE] 2026-6-5 | Optimizing Humanitarian Aid Distribution Under Checkpoint Congestion: A Strategic Safety Stock Placement Model
[IEEE] 2026-6-5 | Toward Robust Unsupervised Multi-Class Chest X-Ray Clustering: Comparing Reconstruction-Driven and Self-Supervised Representation Learning
[IEEE] 2026-6-5 | An Efficient Mobility-Aware Knowledge Sharing Framework for Next-Generation Internet of Vehicles
[IEEE] 2026-6-5 | HealthEngine: An Integrated Healthcare Analytics Model Using Multimodal Transformer, Deep Multitask Neural Networks, and SHAP
[ACM] 2026-6-5 | A Framework for Efficient Individual-Level Longitudinal Outcomes Estimation for Agent-Based Simulations
[IEEE] 2026-6-5 | Centroid-Proximal K-Means: An Interpretable Framework for Urban Air Quality Clustering Using Multi-Pollutant and Meteorological Indicators
[IEEE] 2026-6-5 | Identification of Hate Speech in Kannada Through the Use of Deep Learning Technique
[IEEE] 2026-6-5 | Bird Species Classification Using Convolutional Neural Network
[IEEE] 2026-6-5 | A Region-Aware Application for Measuring the Carbon Footprint of Large Language Models
[IEEE] 2026-6-5 | A Review on AI-Powered Speech Translation Systems with Emphasis on Tulu-to-English Translation
[IEEE] 2026-6-5 | A History Editorial [Historically Speaking]
[IEEE] 2026-6-5 | AR-Based Virtual Interior Design Using 3D Modeling
[IEEE] 2026-6-5 | AI-Driven Sign Language Translation: Bridging Communication Gaps through Deep Learning and Computer Vision
[ACM] 2026-6-6 | Process Sequence Augmentation Based on User Event Logs by Integrating Transformer and LSTM
[IEEE] 2026-6-5 | Multi-Step Discrete-Time Physics-Informed Neural Networks for Fast Sample-Based Model Predictive Control
[IEEE] 2026-6-5 | Conference Calendar
[IEEE] 2026-6-5 | CMGA: Cross-Modal Graph Alignment for Unlocking LLM Reasoning in Multivariate Time-Series Forecasting
[IEEE] 2026-6-5 | IEEE Tech RXIV
[IEEE] 2026-6-5 | Boosting Spatially Resolved Transcriptomics Data Clustering via Multi-view Information Rebalance Learning
[IEEE] 2026-6-5 | Rate-Compatible Protograph low-density parity-check Codes with Transfer Learning-Based Decoding for Spin-Transfer Torque Magnetic Random Access Memory
[IEEE] 2026-6-5 | Multi-dimensional Resource-based Hybrid QoS Massive Grant-Free Random Access
[IEEE] 2026-6-5 | End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF
[IEEE] 2026-6-5 | Structured Tokenization of BERT for Tabular Classification
[IEEE] 2026-6-5 | Composite Proxy-based Hierarchical Contrastive Hashing for Cross-modal Retrieval
[IEEE] 2026-6-5 | A Compact Dual-Band Implantable Antenna for Subcutaneous Temperature Monitoring in Bovine Udder Tissue
[ACM] 2026-6-6 | Generative Disentanglement for Robust Estimation of Time-Dependent Treatment Effects
[ACM] 2026-6-6 | Real-Time Healthcare Data Ingestion and Processing: A Multi-Agent Architecture for ML-Driven Patient Outcome Prediction
[IEEE] 2026-6-5 | Automobile Industry Growth Prediction Using Machine Learning
[IEEE] 2026-6-5 | Unsupervised Module Boundary Identification in FPGA Netlists Using Structural Graph Hashing
[IEEE] 2026-6-5 | Cybersecurity in Healthcare: Safeguarding Patient Data and Systems
[IEEE] 2026-6-5 | A Data Fusion–Driven Framework for Predicting Insurance Risk Using Explainable Ensemble and Deep Learning Approaches
[IEEE] 2026-6-5 | Virtual Chemistry Lab: Exploring Chemical Reactions through Immersive VR Technology
[ACM] 2026-6-5 | Robust Fake News Detection using Large Language Models under Adversarial Sentiment Attacks
[ACM] 2026-6-5 | Care Over Time: The Long-Term Potential of Socially Interactive Agents for Improving Mental Health and Well-being
[IEEE] 2026-6-5 | Dynamic Factor Model-Based Multiperiod Mean-Variance Portfolio Selection with Portfolio Constraints
[IEEE] 2026-6-5 | A Parameter-Free Multi-view Clustering Framework with Adaptive Anchors for Large-scale Data
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | UPhy-Diff: A Text-guided Multimodal Physical Diffusion Model for Underwater Image Enhancement
[IEEE] 2026-6-5 | Joint Optimization of Trajectory Control, Resource Allocation, and Task Offloading for Multi-UAV-Assisted IoV
[IEEE] 2026-6-5 | Embedded Computational Cost Analysis of a Hybrid AI/Physics-Based State-of-Charge Estimation Method for Lithium-Ion Batteries
[IEEE] 2026-6-5 | Integrating Identification and Regulation: A Foreign-Load Adaptive Balance Control Framework for Biped Robots via a Hierarchical Hip–Ankle Strategy
[IEEE] 2026-6-5 | Event-Triggered Fixed-Time Orbital Tracking Control of Spacecraft via Fuzzy Reinforcement Learning
[IEEE] 2026-6-5 | Multi-Domain Performance Assessment of Double-Gate Tunnel FETs for Low-Power Sensing Applications
