[2026-07-28 11:18:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | KAI: A Kinematic-Aware Interface for Data-Efficient Articulated Object Manipulation
[arXiv] 2026-07-27 | Agent-UCT: Upper Confidence Bounds Applied to Trees for Agentic Workflow Optimization with Cost-Awareness
[arXiv] 2026-07-27 | Calibrated Tree-Neural Fusion for Fine-Grained Vegetation Community Classification
[arXiv] 2026-07-27 | Approximation of stochastic insurer balance-sheet results using signatures of economic scenarios
[arXiv] 2026-07-27 | A Motion-Aware Vector Quantization Framework with Centroid Reuse for Efficient VLA Inference
[arXiv] 2026-07-27 | Nerve-type and invariance theorems for asymptotic dimension
[arXiv] 2026-07-27 | Image Inpainting via Stochastic Dynamics
[arXiv] 2026-07-27 | Randomized Krylov-Projected Iterated Tikhonov Regularization for Large-Scale Ill-posed Problems Under A Posteriori Stopping Rule
[arXiv] 2026-07-27 | BioSentinel at EXIST 2026: Soft-Label Optimization with XLM-RoBERTa for Sexism Intent Classification in Memes
[arXiv] 2026-07-27 | Landauer's Principle as a Criterion for Thermodynamic Consistency in Generalized Black Hole Entropies
[arXiv] 2026-07-27 | Grading the Narrators: An Isnad-Rijal Framework for Claim-Level Provenance in Multi-Agent Knowledge Systems
[arXiv] 2026-07-27 | On Representations of Weyl Groups attached to Spherical Varieties
[arXiv] 2026-07-27 | Architecture-agnostic analysis of partially coherent light with programmable photonics
[arXiv] 2026-07-27 | Existence of generalized bent functions in the exceptional $q\equiv2\pmod4$, odd-dimensional case
[arXiv] 2026-07-27 | LU-500: A Logo Benchmark for Concept Unlearning
[arXiv] 2026-07-27 | Thermodynamics with thermodynamic variable first-passage time. II. Dynamics of explosive boiling of superheated liquid, critical indices, fractional calculus
[arXiv] 2026-07-27 | Cascade Forgery Mining Network for Fingerprint Presentation Attack Detection
[arXiv] 2026-07-27 | Nonparametric Drift Estimation for Multidimensional Stochastic Differential Equations under Censoring
[arXiv] 2026-07-27 | A convergent Scharfetter-Gummel scheme for a three-species drift-diffusion model for memristors
[arXiv] 2026-07-27 | Recrystallisation phenomena in an ultrafine-grained Al-Mg-Si alloy revealed by correlative in situ EBSD and TEM heating
[arXiv] 2026-07-27 | Towards High-Level Semantic Intelligence
[arXiv] 2026-07-27 | Thermodynamics with thermodynamic variable first-passage time. I. From stochastic trajectories to nonlinear transport equations
[arXiv] 2026-07-27 | Non-classical photon statistics in frequency-modulated double quantum dot cavity systems
[arXiv] 2026-07-27 | The Cost of Knowing: A Resource-Aware Protocol for Benchmarking Hallucination Beyond Static Leaderboards
[arXiv] 2026-07-27 | Capacity-Aware Deep Learning for Generalizable Traffic Volume Estimation Across Links and Cities
[arXiv] 2026-07-27 | Marginal Data Augmentation for Efficient Bayesian Modeling of Counts and Rates with a Demographic Application
[arXiv] 2026-07-27 | On a free boundary problem of the Boltzmann equation
[arXiv] 2026-07-27 | A Unified Stereo Geometry Estimation Framework for Disparity and Surface Normal
[arXiv] 2026-07-27 | Structural Loss Metrics for Tensor Approximation via Matrix Low-Rank Approximation
[arXiv] 2026-07-27 | Low-light Image Enhancement via Multi-scale Attention combined with Fourier Transform
[arXiv] 2026-07-27 | Anyon Condensation In Symmetry-Enriched Topological Phases: $G$-Grading of Multifusion Categories
[arXiv] 2026-07-27 | Non-kinetic homotopy coherent actions on four-manifolds
[arXiv] 2026-07-27 | Diffusion Bootstrap for High-Dimensional Linear Models
[arXiv] 2026-07-27 | Smooth Learning with Hard Constraints via Legendre-Regularized Policies
[arXiv] 2026-07-27 | Learning Distributions from Multiple Data Providers
[arXiv] 2026-07-27 | JWST/NIRCam Imaging of Young Stellar Objects. IV. Detailed Imaging of the Protoplanetary Disk around TW Hya
[arXiv] 2026-07-27 | Infinitely Many Components in Auslander--Reiten Quivers of Representation-Infinite Algebras over Perfect Fields
[arXiv] 2026-07-27 | Simple modules for affine nilCoxeter algebras
[arXiv] 2026-07-27 | Long-time Stability and Convergence of Particle Swarm Optimization
[arXiv] 2026-07-27 | Maximum independent queen set on polyominoes is NP-complete
[arXiv] 2026-07-27 | Colored Markov-Modulated Brownian Motion for Preemptive Workload Stacks
[arXiv] 2026-07-27 | Stacking the Deck: Tunable Trainability in Stacked LCUs
[arXiv] 2026-07-27 | Sparse Autoencoders Encode Both Concepts and Functions: The Downstream Geometry of Feature Effects
[arXiv] 2026-07-27 | Spectral aspects of random heavy-tailed tensors
[arXiv] 2026-07-27 | The Degree of Strategy-Proofness for Risk-Averse Committee Selection
[arXiv] 2026-07-27 | BettiSplit: Topology-Guided Privacy-Aware Split Learning Against Feature Inversion and Gradient Leakage
[arXiv] 2026-07-27 | Robust Interpretation of Historical Documents in Knowledge Graphs Through Query Inference and Execution
[arXiv] 2026-07-27 | Cosmic ray heating of cold streams: Implications for the gas supply and growth of massive galaxies
[arXiv] 2026-07-27 | On the Recognition of Outerplanar Graphs with Queue Number 1
[arXiv] 2026-07-27 | Generative Artificial Intelligence (GenAI) to convert images of queuing networks into verifiable simulation models: an open-weight LLM workflow approach
[arXiv] 2026-07-27 | Subreflexive Logic: Completeness without Identity
[arXiv] 2026-07-27 | Modeling Local Exploit Hazard - A Bayesian Framework for Quantifying Exploit Risk and Operational Efficiency
[arXiv] 2026-07-27 | Implementation and verification of the avalanche source in a 3D full-f particle-in-cell model of relativistic electrons for studies of tokamak disruptions
[arXiv] 2026-07-27 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing
[arXiv] 2026-07-27 | ML-based Predictive Models for Power Consumption in Virtualised O-RANs
[arXiv] 2026-07-27 | High-order quantum correlations in nonlinear waveguide quantum electrodynamics
[arXiv] 2026-07-27 | On Capturing the Narrative: Social Media Manipulation Wargaming for Cyberliteracy
[arXiv] 2026-07-27 | DeComp2: Description Complexity aware Decomposition
[arXiv] 2026-07-27 | Co-planning of Flight Corridors and Communication Infrastructure for Urban Drone Logistics Networks
[arXiv] 2026-07-27 | Mutual Modality Trust with Lightweight Reconstruction Regularization for Fine-grained Tire Pattern Recognition
[arXiv] 2026-07-27 | Plato-Bio: verification-first biological novelty screening with temporal rediscovery and structural benchmarks
[arXiv] 2026-07-27 | Testing Statistical Isotropy on the Sphere with Minkowski Tensors
[arXiv] 2026-07-27 | Understanding Machine Unlearning Through the Lens of Mode Connectivity
[arXiv] 2026-07-27 | A note on zero-sum Ramsey numbers of complete graphs
[arXiv] 2026-07-27 | Strategies for quantum-enabled Bitcoin miners
[arXiv] 2026-07-27 | Reverse-Time Diffusion Processes for Discrete Time Linear and Nonlinear Systems with non-Gaussian Noise
[arXiv] 2026-07-27 | Precision measurements of semleptonic decays $D^0 \to π^-\ell^+ν_\ell$ and $D^+ \to π^0\ell^+ν_\ell$ ($\ell =e,μ$)
[arXiv] 2026-07-27 | Electromagnetic form factors of singly charmed baryons $Σ_c$ and $Λ_c$ in a covariant quark-diquark model
[arXiv] 2026-07-27 | Variational Boosting for Physics-Informed Neural Networks
[arXiv] 2026-07-27 | The automorphism groups of random linear codes
[arXiv] 2026-07-27 | State-dependent error correlations shape voting thresholds in committees of AI agents
[arXiv] 2026-07-27 | DuoAD: Leveraging [CLS] Dual Characteristics for Training-Free Few-Shot Anomaly Detection
[arXiv] 2026-07-27 | DDVT: Dynamic Dual-level Vision Transformer Fusion Network for Answer Grounding in Visual Question Answering
[arXiv] 2026-07-27 | A sharp Randić bound for König--Egerváry graphs and a conjecture of Aouchiche, Hansen, and Zheng
[arXiv] 2026-07-27 | Gaze-to-text Generation: Beyond Categorical Decoding of Human Attention
[arXiv] 2026-07-27 | Recursive Governance: A Graph-Theoretic Framework for Risk Propagation and Drift Detection in Agentic AI Systems
[arXiv] 2026-07-27 | WorldDiT: A Unified Diffusion Architecture for World and Action Modeling
[arXiv] 2026-07-27 | KernelScript: Cross-Boundary Typed DSL for eBPF Applications
[arXiv] 2026-07-27 | Construction of an Inducible TBCE Overexpression System to Probe Tubulin Cofactor-Mediated Microtubule Homeostasis
[arXiv] 2026-07-27 | Data Pyramid for Embodied Manipulation
[arXiv] 2026-07-27 | Measuring Cosmic Neutrino Masses Independently of Dark Energy
[arXiv] 2026-07-27 | Area-minimizing submanifolds are not generically smooth, except for geodesics, minimal surfaces, and minimal hypersurfaces
[arXiv] 2026-07-27 | Gravitational waves from super-Hubble bubbles
[arXiv] 2026-07-27 | Beyond-eikonal diffraction integral in gravitational lensing
[arXiv] 2026-07-27 | The Physics of Multi-Turn Long-Horizon Planning: From Pre-training to Post-training via Single- and Multi-Teacher On-Policy Agentic Distillation
[arXiv] 2026-07-27 | Controlled theories, categorification, and homotopification
[arXiv] 2026-07-27 | Modest Algorithmic Mediation can Maximize Topical Diversity in Hybrid Human-AI Systems
[arXiv] 2026-07-27 | When galaxies cross cold fronts: wind tunnel simulations of ram pressure stripping
[arXiv] 2026-07-27 | Fusion Systems on Sylow $3$-subgroups of Fischer and Monster sporadic groups -- II
[arXiv] 2026-07-27 | The Operational Resistance of Neutrinos: Epistemic Maturity vs. Technological Utility
[arXiv] 2026-07-27 | Exact Minimum Distance of the Ding--Li--Xia Cyclic Codes
[arXiv] 2026-07-27 | Quantum-Limited Symbol-Blind Channel Estimation for Coherent State Discrimination
[arXiv] 2026-07-27 | Krylov complexity and spectral density of BMN matrix model
[arXiv] 2026-07-27 | A Modified Moving Reference Frame Method for Propeller Resolution
[arXiv] 2026-07-27 | A General Model of Interfacial Chemical Equilibrium in Phase-Field Method
[arXiv] 2026-07-27 | Control of morphology and topology in a lattice model of branching morphogenesis
[arXiv] 2026-07-27 | Interaction fingerprints in temperature-fluctuation cumulants from the QCD crossover to nuclear liquid-gas criticality
[arXiv] 2026-07-27 | Global analyses of helicity-dependent parton distribution functions
[arXiv] 2026-07-27 | Latency Decoupling in Low-Feedback Multi-User Networks via Overhearing-Driven NOMA
[arXiv] 2026-07-27 | One Graph, Multiple Gains: Single High-Quality Item-Item Graph for Multimodal Recommendation
[arXiv] 2026-07-27 | Verification-Conditioned Use: A Qualitative Study on How Generative AI Reshapes Learning, Autonomy, and Market Entry for Junior Software Developers
[arXiv] 2026-07-27 | Looping Is Not Reliability: State-Bound Evidence and Typed Revision Contracts for Agentic Code Repair
[arXiv] 2026-07-27 | PIVOT: Efficient Query-Group Indexing for Token-Level Sparse Attention
[arXiv] 2026-07-27 | CameraAnything: Refilming Videos with Arbitrary Camera Control
[arXiv] 2026-07-27 | SIREN: Towards End-to-End Extreme-Weather Early Warning with Experience-Grounded LLM Agents
[arXiv] 2026-07-27 | First constraints on the nonperturbative gluon Collins-Soper kernel
[arXiv] 2026-07-27 | A Quantitative Framework for Comparing Classical and Quantum Algorithms for the Traveling Salesman Problem
[arXiv] 2026-07-27 | Constraining young massive cluster properties with radio-continuum observations: The Arches cluster
[arXiv] 2026-07-27 | Variance for Estimation and Prediction in Linear Mixed Effects Models Under MAR
[arXiv] 2026-07-27 | Proceedings of The First Reflection in Creative Experience (RiCE) Workshop
[arXiv] 2026-07-27 | DeCoRAG: Cognitive Decoupling and Semantic-Aware Cropping for Complex Document Understanding
[arXiv] 2026-07-27 | LLM-Assisted Ontology Engineering and Construction of a French Legal Knowledge Graph
[arXiv] 2026-07-27 | Shack-Hartmann wavefront sensor slope measurement algorithm robust to scintillation and sensor saturation
[arXiv] 2026-07-27 | Fast Insertion for Bucketized Cuckoo Hashing
[arXiv] 2026-07-27 | Magnetic anisotropy in the near-stoichiometric van der Waals ferromagnet Fe$_3$GeTe$_2$
[arXiv] 2026-07-27 | Task-Conditional Faithfulness Auditing of Multimodal LLMs for Grid Diagnosis
[arXiv] 2026-07-27 | DecoupleMix: Decoupled Ratio Search and Convex Allocation for Scalable VLM Data Recipes
[arXiv] 2026-07-27 | Physics Transformer: Tailoring Transformer for General PDE Prediction
[arXiv] 2026-07-27 | Serrodyne Matterwave Optics
[arXiv] 2026-07-27 | Identification of unresolved binaries in the VVV b294 tile: A Pro-Am collaboration using the Virtual Observatory
[arXiv] 2026-07-27 | A Smooth Explicit Elastoplastic--Damage Update for Graphics Simulation
[arXiv] 2026-07-27 | Classifying Capabilities (Extended Version)
[arXiv] 2026-07-27 | Self-Attention Dynamics with Rotary Position Embeddings: Twisted States and Explicit Consensus Rates on the Sphere
[arXiv] 2026-07-27 | Conic reach and polynomial parallel volume in the plane
[arXiv] 2026-07-27 | Distributed Coordination for Resilient Multi-UAV Remote Sensing: A Photovoltaic Inspection Case Study
[arXiv] 2026-07-27 | The beamformed trigger of RNO-G: its design and in-field performance
[arXiv] 2026-07-27 | Rethinking Expert Training for Model Merging with Prompt Learning
[arXiv] 2026-07-27 | Spectral Turán problems for suspensions of balanced trees
[arXiv] 2026-07-27 | From Execution to Capability: Scientific Experience Consolidation via Procedural Knowledge Synthesis
[arXiv] 2026-07-27 | Exceptional Cones from an Indefinite Bogoliubov Metric in Hyperbolic Polariton Condensates
[arXiv] 2026-07-27 | Simply branched covers of curves and wild conductor exponents
[arXiv] 2026-07-27 | Testing edge chirality with a three-path fractional quantum Hall interferometer
[arXiv] 2026-07-27 | Kinetic and H-atom product study of the C + C6H6 reaction at low temperatures
[arXiv] 2026-07-27 | Frequency-Based Reservoir computing
[arXiv] 2026-07-27 | Failures Reveal What Metrics Miss: An Evidence-Driven Agent for Recursive Refinement of ECG Classifiers
[arXiv] 2026-07-27 | CORE: A Unified Cascaded Ordinal Relevance Estimation Framework for E-commerce Search
[arXiv] 2026-07-27 | Decentralised Consensus Learning Networks: SME Rotation Without Centralised Reward
[arXiv] 2026-07-27 | A simultaneous extension of Ramsey, Hindman, and Hales-Jewett Theorems
[arXiv] 2026-07-27 | Constraining the $z \approx 1$ neutral hydrogen (HI) distribution
[arXiv] 2026-07-27 | The Fundamental Structure of Risk: From Characteristics to Covariance
[arXiv] 2026-07-27 | Wavelength-diverse transmission for turbulence-resistant free-space optical communication
[arXiv] 2026-07-27 | GenSplatCodec: Feed-Forward Gaussian Splatting Compression via One-Step Diffusion
[arXiv] 2026-07-27 | CogRec: Structure-Cognitive Fast-and-Slow Reasoning for Generative Recommendation
[arXiv] 2026-07-27 | Multivariate Time Series Forecasting with Adaptive Non-Local Observables
[arXiv] 2026-07-27 | A Detailed Spectroscopic Study of the WN6ha + O5 Colliding-wind Binary WR 25
[arXiv] 2026-07-27 | How to Disrupt a Market
[arXiv] 2026-07-27 | Locally Robust Kernel Specification Tests for Conditional Moment Restrictions
[arXiv] 2026-07-27 | Stacked Intelligent Metasurfaces Assisted UAV Communications
[arXiv] 2026-07-27 | Closed-Loop Validation-Repair for Healthcare Interoperability: A Multi-Model Study of Schema Compliance in Clinical LLMs
[arXiv] 2026-07-27 | Modeling Duelling Contagions of True and False Information in the Face of Inherent Individual biases
[arXiv] 2026-07-27 | Coarsening-adjusted estimators for finite-population indicators
[arXiv] 2026-07-27 | Cyclic codes and cyclically covering subspaces
[arXiv] 2026-07-27 | Blow up and Concentration without Quantization: sharp Harnack type inequalities
[arXiv] 2026-07-27 | Simulating Tenant Responses to Energy Policy Interventions with Transaction-Cost-Aware LLM Age
[arXiv] 2026-07-27 | Unsupervised Graph Representation Learning with Complementary View Alignment
[arXiv] 2026-07-27 | Unequal Trips, Unequal Places: Diagnosing and Mitigating Delay Inequity in Autonomous Vehicle Fleet Coordination
[arXiv] 2026-07-27 | Stochastic phase separation driven by transport noise
[arXiv] 2026-07-27 | Revisiting Vocos: That Phasiness Business in Time-Frequency Neural Vocoding
[arXiv] 2026-07-27 | Domain-Decomposition Neural Surrogates for Scalable Decentralized Ensemble Kalman Filter Based Parameter Identification in High-Dimensional Stochastic PDEs
[arXiv] 2026-07-27 | UMI3D: Robust 3D Generation on Unconstrained Multi-Image Inputs via Simultaneous Focus Cross-Attention Routing
[arXiv] 2026-07-27 | Learning Adaptive Multi-Task Guidance, Navigation, and Control via Hypernetworks
[arXiv] 2026-07-27 | The $L_1$-Discrepancy with Nonnegative Weights Suffers from the Curse of Dimensionality
[arXiv] 2026-07-27 | INS-ActBench: A Comprehensive Benchmark for Assessing Professional Actuarial Capability of Large Language Models
[arXiv] 2026-07-27 | FeelWorld: Visuo-Tactile World Model for Hierarchical Contact Prediction and Planning
[arXiv] 2026-07-27 | Spatial resolution for gamma ray interactions in stacks of monolithic silicon sensors
[arXiv] 2026-07-27 | Signs of Square-Free Fourier Coefficients of Half-Integral weight cusp forms and the Congruent Number Problem
[arXiv] 2026-07-27 | Exact Analytical Phase Transitions, Horizon Bistability, and Thermodynamic State-Space Representation of Regular Hayward Black Holes
[arXiv] 2026-07-27 | Influence of a vertical-wall leading edge on bouncing and escape bubble rising regimes
[arXiv] 2026-07-27 | EEGForceFusion: Joint Tokenised-Continuous Representation Learning for Subject-Independent Grasp Force Decoding
[arXiv] 2026-07-27 | Scaling GUI Agents with Visual State Transitions
