[2026-09-11 22:51:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[arXiv] 2026-09-10 | Convex Optimization with Nested Evolving Feasible Sets (CONES) under Time-Varying Loss Functions
[arXiv] 2026-09-10 | Two-step high-accuracy microwave frequency measurement and time-frequency analysis based on optical frequency combs
[arXiv] 2026-09-10 | Automated Identification of Competing Narratives in Political Discourse on Social Media
[arXiv] 2026-09-10 | CEM-TUDASR: Computationally efficient multi-modality transformer based unsupervised domain adaptive super-resolution approach
[arXiv] 2026-09-10 | Optimal Control for Cancer Chemotherapy Using Hybrid Quantum Particle Swarm Optimization
[arXiv] 2026-09-10 | FlexComp: One Model for Every Ratio in Context Compression
[arXiv] 2026-09-10 | Debate-to-Skill: Capability-Bound Process Supervision for Industrial Query-to-Agent Annotation
[arXiv] 2026-09-10 | A Four-Valued Graph Model for Conflict Resolution: Core Framework and a Machine-Checked Formalization in Lean 4
[arXiv] 2026-09-10 | Semi-Tensor Product-Based Multi-Term Randomized T-SVD and Its Visual Applications
[arXiv] 2026-09-10 | From Grid to Chip: Power Architecture, Stability, and Flexibility of AI Data Centers
[arXiv] 2026-09-10 | Effective Dynamics of Inflationary End-of-the-World Branes in AdS$_3$
[arXiv] 2026-09-10 | Certifying Adversarial Robustness of Quantum Classifiers under Known-Readout Query Access
[arXiv] 2026-09-10 | A Training-Free, Alignment-Free Approach to Corporate Intelligence: Application to SEC Filings
[arXiv] 2026-09-10 | Sharp unconditional moment bounds for products of L-functions
[arXiv] 2026-09-10 | Distributed Optimization of Modular Production Systems using Model-based Reinforcement Learning with Inverse Models
[arXiv] 2026-09-10 | Making Alternative Data Work: Context-Augmented LLMs for Financial Forecasting
[arXiv] 2026-09-10 | Cosmic ray boosted dark matter with momentum dependent interactions can explain the LZ 248 keV event
[arXiv] 2026-09-10 | Some results on Archdeacon's conjecture for rotation systems
[arXiv] 2026-09-10 | A distribution-free certification framework for trustworthy crash-severity prediction
[arXiv] 2026-09-10 | Robust Spin-1 Haldane Topology under Itinerant Doping
[arXiv] 2026-09-10 | Preservation of log-concavity under Hadamard products
[arXiv] 2026-09-10 | Convergence of finite element approximations for the one-dimensional stochastic Burgers equation with additive trace-class noise
[arXiv] 2026-09-10 | Negative correlation for the random-cluster model below one on high-degree regular graphs
[arXiv] 2026-09-10 | Linear Response Predicts Cusp-Pair Births in Networks with a Localized Cubic
[arXiv] 2026-09-10 | Learn the Solid, Not the File: Canonical Inputs for Neural Networks on CAD Boundary Representations
[arXiv] 2026-09-10 | TimelyRAG: Semantic-Temporal Hybrid Retrieval for Time-Critical Question Answering in Overlapping-Evolving Documents
[arXiv] 2026-09-10 | High-Speed Semi-FE Readout Module for ATLAS MDT at HL-LHC: Design and Production-Level Characterization
[arXiv] 2026-09-10 | Entwine: Coordinating Tiled Computation and Fine-Grained Communication across GPUs
[arXiv] 2026-09-10 | Néel-Vector-Dependent Altermagnetic Spin Splitting in the One-Dimensional Limit
[arXiv] 2026-09-10 | Complex-Text Robustness Evaluation and Failure Diagnosis for Low-Resource Multilingual Text-to-Speech
[arXiv] 2026-09-10 | ChurnBench: A Drift-Aware Benchmark Demonstrating That Refresh Scheduling, Not Cache Age, Governs Staleness in Agentic AI
[arXiv] 2026-09-10 | Quadratic Gröbner bases for cut ideals of cycles and ring graphs
[arXiv] 2026-09-10 | Generating the wide sequence of Diffuse Galaxies with de Broglie waves of Dark Matter
[arXiv] 2026-09-10 | Design Reflections on Transition to LLM-Aided Novel Visualizations
[arXiv] 2026-09-10 | Existence and Asymptotic Behavior of Normalized Ground States for a Weighted Elliptic System with Caffarelli--Kohn--Nirenberg Critical Exponent
[arXiv] 2026-09-10 | FreeFlow: A Bias-free Hierarchical Transformer for Optical Flow Estimation
[arXiv] 2026-09-10 | A positively curved metric on the Gromoll-Meyer sphere
[arXiv] 2026-09-10 | BridgeMatch: Conditional Transport Bridges in Matching Matrix Space for 3D Deformable Registration
[arXiv] 2026-09-10 | Topological band structure of excitons in octochlore KTb$_{3}$F$_{10}$: an analog of the Luttinger Semimetal
[arXiv] 2026-09-10 | The properties of central stellar knots embedded in galactic bulges of CIELO simulations
[arXiv] 2026-09-10 | FARM: Reading Failure Signals from the Internal Predictive States of a Frozen Robotic World Model
[arXiv] 2026-09-10 | Multi-Modal Controlled Coherent Motion Generation
[arXiv] 2026-09-10 | Homological lifts of Arnold invariants $J^-$ and $J^+$
[arXiv] 2026-09-10 | Entropy concavity for log-concave random variables: an asymmetric counterexample
[arXiv] 2026-09-10 | Undirected edge geography games on stacked prism graphs
[arXiv] 2026-09-10 | Deep-Fake CAPTCHA: Mitigating Next-Generation Social Engineering Attacks
[arXiv] 2026-09-10 | When does a spectral prior help graph learning? Connectivity-loss estimation under road-network disruptions
[arXiv] 2026-09-10 | Multimodal Temporal Modeling for Continuous Group Emotion Recognition in Multi-party Dialogues
[arXiv] 2026-09-10 | LILA: Calibration-Free Structured Pruning of Large Language Models via Latent Spectral Geometry
[arXiv] 2026-09-10 | Small noise asymptotics for linear parabolic SPDEs in two space dimensions with unknown damping factors
[arXiv] 2026-09-10 | Saturation and Localization Results for Max-product Generalized Sampling Operators based on Centered Bell-shaped Kernels
[arXiv] 2026-09-10 | The Quantum Plumber's Problem
[arXiv] 2026-09-10 | IceCube neutrino point-source searches in the direction of the KM3NeT ultra-high-energy event
[arXiv] 2026-09-10 | 3D Point Splatting for mmWave Radar Novel View Synthesis
[arXiv] 2026-09-10 | Building py-kvcache: A Performance Characterization of External KV Caching for vLLM with NVMe SSDs
[arXiv] 2026-09-10 | $hp$-adaptive trees for graph signal approximation
[arXiv] 2026-09-10 | Work as a function of protocol duration for the efficient erasure of an underdamped memory: isothermal to adiabatic transition
[arXiv] 2026-09-10 | Estimating Inconsistency Response Surfaces under Uncertainty in Cyber-Physical System Development
[arXiv] 2026-09-10 | SpecGuard: Inference-Time Backdoor Detection For Free
[arXiv] 2026-09-10 | Logarithmic supertranslations as asymptotic symmetries of gravity at null infinity
[arXiv] 2026-09-10 | TDCOSMO XXXI: New techniques in line-of-sight studies of time delay lenses
[arXiv] 2026-09-10 | Surface gravity wave-mean flow interaction with comparable spatial scales. Part I: reduced wave equations
[arXiv] 2026-09-10 | Certified reduced-basis emulation of conformal field theories on the fuzzy sphere
[arXiv] 2026-09-10 | Contact-Aware Incremental Model Predictive Control for an Underactuated Aerial Manipulator
[arXiv] 2026-09-10 | Vector Balancing via Directional Total Variation
[arXiv] 2026-09-10 | Evaluating Scaffolding-Oriented Multi-Agent Large Language Model System for Clinical Interview Training
[arXiv] 2026-09-10 | Identification in Linear Quantile Panel Models
[arXiv] 2026-09-10 | SenseNova-U1.5: Towards Native Unified Visual Intelligence
[arXiv] 2026-09-10 | The Mysterious Inspiral of WASP-12b: Why Obliquity Tides Cannot Drive Orbital Decay
[arXiv] 2026-09-10 | Data Scarcity and Model Sparsity: Mixtures-of-Experts Overfit More to Repeated Data
[arXiv] 2026-09-10 | AccelForge: Comprehensive Modeling and Co-Design Framework for AI Accelerators
[arXiv] 2026-09-10 | EFI Pairs Without One-Way Puzzles: Oracle Separations from Communication Complexity
[arXiv] 2026-09-10 | Taking Advantage of Noise in Distributed Random Quantum Circuits
[arXiv] 2026-09-10 | Reconstructing Early Primordial Black Hole Domination from Gravitational-Wave Backgrounds
[arXiv] 2026-09-10 | Learning JWST. I. A Foundation Model for New Population Discoveries and Morphology-Aware Photometric Redshift Measurements in the JADES Survey
[arXiv] 2026-09-10 | Learning Agent-based Model Predictive Control for Holistic Vehicle Performance
[arXiv] 2026-09-10 | Sparse data limit what a mechanistic corrosion model can predict
[arXiv] 2026-09-10 | AdamX: Cosine similarity meets gradient descent
[arXiv] 2026-09-10 | PureSuperQMA(exp) = BellPureSymQMA(poly) = QMA via Dimension-Free Bosonic Argmax
[arXiv] 2026-09-10 | A Homogenized Catalogue of Variable Stars in the Globular Cluster M22: Membership, Physical Parameters, and Distance
[arXiv] 2026-09-10 | The cost of simulating classically tractable quantum circuits and dynamics
[arXiv] 2026-09-10 | A General Inequality for Walks in Graphs
[arXiv] 2026-09-10 | Atlas: Efficient Verifiable Semantic Search
[arXiv] 2026-09-10 | Octupolar bremsstrahlung waveform up to the two-loop level and the third-and-a-half post-Newtonian accuracy
[arXiv] 2026-09-10 | Maximality of the Hodge level for smooth weighted complete intersections of general type
[arXiv] 2026-09-10 | Predefined-Time Resilient Integral Reinforcement Learning for Input-Constrained Unknown Nonlinear Systems Under FDI Attacks and Disturbances: A Fully Data-Driven Approach
[arXiv] 2026-09-10 | Isolation of scalar Allen-Cahn local minimizers
[arXiv] 2026-09-10 | Absolutely Maximally Entangled States of $2q$ Parties in Every Odd Prime-Power Dimension $q$
[arXiv] 2026-09-10 | Nondipole Coulomb effects in strong x-ray field ionization
[arXiv] 2026-09-10 | Completeness of constructible norms
[arXiv] 2026-09-10 | Positive radial ground states for nonlinear biharmonic equations: maximum principles and expanding-domain approximation
[arXiv] 2026-09-10 | Whisper-Based Speech Transcription from Videos Across Multiple Languages for Cross-Cultural Understanding
[arXiv] 2026-09-10 | Recognizing Is Not Reversing: A Controlled Inversion Test of Fact-Preserving News Framing
[arXiv] 2026-09-10 | A Unified Per-Token Gating Family for On-Policy Distillation: FKL/RKL Mixing with Multi-Channel and Bias Coefficients
[arXiv] 2026-09-10 | Visual-SLAM for the detection of hidden tomatoes in greenhouses by Hierarchical Localization and GLOMAPfor robotized harvesting
[arXiv] 2026-09-10 | Local classification of chsc Kähler metrics with cone singularities
[arXiv] 2026-09-10 | SEED-UMI: Sharing the Exoskeleton between human and robot for onE-to-one Dexterous demonstration
[arXiv] 2026-09-10 | Might the radiation era extend back to the Big Bang? On dark matter production and the relic graviton background in quadratic gravity
[arXiv] 2026-09-10 | Quantum transport along a tight-binding chain connected to Markovian reservoirs
[arXiv] 2026-09-10 | ORCH: Organizational Principles Enable Collective Intelligence in Embodied AI
[arXiv] 2026-09-10 | Learning structural balance of graphs from quantum spectral features
[arXiv] 2026-09-10 | Tilting Billingsley's model toward a giant prime: two phase transitions
[arXiv] 2026-09-10 | Classification of Choquet-Deny Lie groups
[arXiv] 2026-09-10 | A Time-Based Readout for Vector-Matrix Multiplication in Fully Analog Memristive SNNs
[arXiv] 2026-09-10 | Rigidity and flexibility under positive isotropic curvature
[arXiv] 2026-09-10 | An FPTAS for Two-Machine Open-Shop Scheduling with a Single Unavailability Interval
[arXiv] 2026-09-10 | The Central Limit Theorem and Berry--Esseen bound for logarithmic law of random determinants
[arXiv] 2026-09-10 | Bridging steady-state and time-domain descriptions of molecular electron transport
[arXiv] 2026-09-10 | Kinetic modeling of molecular beam formation in a cryogenic buffer-gas cell
[arXiv] 2026-09-10 | New Evidence, Same Choice: Testing Physical Experiment Selection in Vision Language Models
[arXiv] 2026-09-10 | Sample-optimal learning of stabilizer states
[arXiv] 2026-09-10 | Strong Converse for Quantum Capacity via a Fully Quantum Blowing-Up Lemma
[arXiv] 2026-09-10 | Learning Quantum Matter through Attention in Complex Space
[arXiv] 2026-09-10 | Quantum-hardware spectral co-design framework for multifrequency Rydberg electrometry
[arXiv] 2026-09-10 | Fusion Estimation in Multi-sensor Systems for Data Packets with Disrupted Identities
[arXiv] 2026-09-10 | IndicTriMix: Developing Language Identification Datasets and Models for Tri-Language Code-Mixing
[arXiv] 2026-09-10 | "They don't care about this": A Systematic Study of TEE Build Reproducibility in the Wild
[arXiv] 2026-09-10 | Enabling Knowledge Graph Understanding at Scale with the EXplore Your Graphs ENgine (EXYGEN)
[arXiv] 2026-09-10 | Moduli spaces of geometric functorial field theories
[arXiv] 2026-09-10 | On the bounded-conductor finiteness conjecture in equal characteristic
[arXiv] 2026-09-10 | Cooperative Integer Programming Games: Core Stability and Optimal Coalition Structures
[arXiv] 2026-09-10 | Interacting Tomonaga-Lüttinger liquid with impurity for interaction constant $K = 1/2$: Thermopower investigation, entropy variation and heat capacity densities associated with thermoelectric particle transport
[arXiv] 2026-09-10 | PHAT: PHotonic Accelerator for TFHE
[arXiv] 2026-09-10 | Characterizing Job Power Elasticity for Power-Flexible AI Training
[arXiv] 2026-09-10 | Deep operator learning for efficient sampling from invariant measures of stochastic differential equations
[arXiv] 2026-09-10 | Lightweight LiDAR-Based Cone Detection Framework Using Random Forest for Formula Student Driverless
[arXiv] 2026-09-10 | Bar cohomology of links: beyond Milnor invariants
[arXiv] 2026-09-10 | Beyond Tweedie's Formula: Conditional Score Modeling for Empirical Bayes Inference
[arXiv] 2026-09-10 | ReconPlusGen: Injecting Reconstruction Prior into Multi-view 3D Generation through Noise Inversion and Modulation
[arXiv] 2026-09-10 | A Model-Centric DevOps Architecture for DEVS-Based Digital Twin Simulation Services
[arXiv] 2026-09-10 | Minimal null control time of some 1D linear hyperbolic balance laws with constant coefficients and properties of related kernel equations
[arXiv] 2026-09-10 | A $p$-adic monodromy theorem for curves
[arXiv] 2026-09-10 | Neumann-Neumann Waveform Relaxation Method for Hyperbolic PDE with Time Delay
[arXiv] 2026-09-10 | Ergodicity of dynamical systems without uniqueness of orbits
[arXiv] 2026-09-10 | Learning Realistic Athletic Sprinting Without Demonstrations
[arXiv] 2026-09-10 | RIDE: Relocalization-Informed Depth Estimation with 3D Gaussian Splatting
[arXiv] 2026-09-10 | Dynamics inside the attracting basins of some skew products
[arXiv] 2026-09-10 | Effective estimates for exponential sums with multiplicative coefficients
[arXiv] 2026-09-10 | UniRec: Cross-stage Multi-Task Fusion with Preference Alignment for Cascaded Recommender Systems
[arXiv] 2026-09-10 | Transdimensional quantum droplets in an optically trapped Bose mixture
[arXiv] 2026-09-10 | A prolonged plateau-to-tail transition in the Type II supernova SN2025abyc
[arXiv] 2026-09-10 | The Agent Incident Registry: Toward Preventing Repeated AI Agent Failures
[arXiv] 2026-09-10 | A substrate booster for P-type 2D ferromagnetic semiconductor
[arXiv] 2026-09-10 | Online Treasure Hunt in Vertex-Permuted Dynamic Rings
[arXiv] 2026-09-10 | On-chip squeezed light in the audio frequency band
[arXiv] 2026-09-10 | Janus Dipoles: Fundamentals, Realizations, and Emerging Applications
[arXiv] 2026-09-10 | Two-parameter continuous deformation of Starobinsky inflation as a bridge between Planck and ACT DESI data with $N_\star\in(50,60)$
[arXiv] 2026-09-10 | Exponential Pixelating Integral transform with dual fractal features for enhanced chest X-ray abnormality detection
[arXiv] 2026-09-10 | Erdős-Sós for digraphs
[arXiv] 2026-09-10 | Fractional DP-colorings of $d$-degenerate locally sparse graphs
[arXiv] 2026-09-10 | Experimental Design for Policy Choice
[arXiv] 2026-09-10 | Engineering Reliable Commit Gates for Agentic AI: Cost-Aware Verification Portfolios under Common-Mode Data Failures
[arXiv] 2026-09-10 | Global existence and time decay for a bipolar Euler-Poisson system with one pressureless and undamped fluid
[arXiv] 2026-09-10 | Particle-resolved pathways to energetic-ion formation in a fluctuating low-current hollow-cathode plume
[arXiv] 2026-09-10 | Measuring the Value of World-Model Updates: A Counterfactual Utility Protocol for Continual Adaptation
[arXiv] 2026-09-10 | Empirical Evaluation of Data Poisoning Attacks in Supervised Learning
[arXiv] 2026-09-10 | Testing Between the Test Cases: Proving End-to-End Steering in Conditions You Never Drove
[arXiv] 2026-09-10 | Robust Multimodal Sentiment Analysis with Incomplete Modalities via Semantic-aware Completeness based Reconstruction
[arXiv] 2026-09-10 | Full-window branch discovery and loss-selected EnKF continuation for data assimilation
[arXiv] 2026-09-10 | The Towers Were Standing: A Cause Decomposition of Cellular Outages During Hurricane Helene
[arXiv] 2026-09-10 | The Art of Closed-Formula Defaults: Search-Free Code Generation for Tensor Operators
[arXiv] 2026-09-10 | Distributed variational quantum computing with deterministic entanglement tuning
[arXiv] 2026-09-10 | Probing the Error-Mitigation Threshold with Matrix Product States
[arXiv] 2026-09-10 | Why we should condition denoising diffusion generative models on windows of past observations
[arXiv] 2026-09-10 | Stress-divergence, Laplacian, and rotational forms of the incompressible Navier--Stokes equations with variable viscosity
[arXiv] 2026-09-10 | Almost Linear Universal Point Sets for Planar Graphs
[arXiv] 2026-09-10 | Quantifying the Unintentional Islanding Risk: A Comparative Study on Active Distribution Network
[arXiv] 2026-09-10 | Maximal Center of Distances of Finite Ultrametric Spaces and Perfect Binary Trees
[arXiv] 2026-09-10 | Average Chord Lengths in a Triangle
[arXiv] 2026-09-10 | Scalable Approximate Selected Inversion Based on Single-Level Incomplete $LDL^T$ Factorization and Spectral Corrections for Large Sparse Systems
[arXiv] 2026-09-10 | R4Tun: LLM-guided adaptive segmental tunnel lining segmentation in point clouds
[arXiv] 2026-09-10 | On union-closed families with prescribed number of $k$-sets
[arXiv] 2026-09-10 | Fully Coupled Nonlinear Forward-Backward Stochastic Difference Equations: Spectral Contraction and Infinite-Horizon Maximum Principle
[arXiv] 2026-09-10 | Remarks on the shuffle elements of Iwahori--Hecke algebras
[arXiv] 2026-09-10 | Information-Theoretic Characterization of Macroscopic Chaos Emerging from the Chemical Master Equation
[arXiv] 2026-09-10 | The Semantic Elevation Operator and the Closure of the Undecidable Class under Preservation
[arXiv] 2026-09-10 | MultiHuSE: A Multimodal Dataset for Humour Styles and Emotions
[arXiv] 2026-09-10 | A global mobile network coverage raster product at 1km resolution, 1999--2030
[arXiv] 2026-09-10 | Mi-Ripple: Restoring Images Degraded by Iterative AI Editing
[arXiv] 2026-09-10 | Interface-Controlled Phase Stability in Polymorphic HfO$_2$ Revealed by Machine-Learning Atomistic Simulations
[arXiv] 2026-09-10 | Sharp sign criterion for global existence and blow-up of strong solutions with arbitrarily large initial data in the 3D spherically symmetric compressible Navier-Stokes equations
[arXiv] 2026-09-10 | Automatic Lyric Transcription for Greek Songs: Scaling and Task Composition Effects in Whisper Adaptation
[arXiv] 2026-09-10 | On AF- and type I-ideals in certain crossed product C$^\ast$-algebras
[arXiv] 2026-09-10 | Sequential Detection-Based Iterative Blind Separation for Single-Channel Co-Frequency Signals
[arXiv] 2026-09-10 | Few-Shot Learning for Network Intrusion Detection: Methods, Datasets, and Performance
[arXiv] 2026-09-10 | Minimax-Optimal Early Stopping for Continuous-Time SGD via the Discrepancy Principle
[arXiv] 2026-09-10 | Graviton vertex operators in the de Donder gauge and BRST descent
[arXiv] 2026-09-10 | Asymptotics for Bivariate Risk Models with Random-Size Clusters of Dependent Claims
[arXiv] 2026-09-10 | Relocating the SIMP Miracle in the Axion Portal
[arXiv] 2026-09-10 | AudioICL-Bench: A Benchmark for Large Audio Language Model In-Context Learning
[arXiv] 2026-09-10 | The Illusion of Balanced Multimodal Sentiment Analysis: Beyond the Limits of Optimization-Based Methods
[arXiv] 2026-09-10 | Assessing the Reusability of Public Speech Resources for Low-Resource Languages: A Central Kurdish Case Study
[arXiv] 2026-09-10 | Higgsino dark matter in the Starobinsky supergravity with the MSSM in light of the LUX-ZEPLIN event
[arXiv] 2026-09-10 | Polyhedral Geometry of Time-to-First-Spike Neural Networks
[arXiv] 2026-09-10 | Kinetics of ferritin crystal formation and melting in acoustically levitated droplets
[arXiv] 2026-09-10 | Optimal Covariate Adjustment beyond the Average Treatment Effect: Treated-Population and Overlap-Weighted Estimands
[arXiv] 2026-09-10 | Legible Failures: Detecting and Repairing In-Context Binding Errors
[arXiv] 2026-09-10 | Optimal chemo-immunotherapy scheduling: A hybrid QPSO-SQP approach with Michaelis-Menten pharmacodynamics
[arXiv] 2026-09-10 | Non-axisymmetric Transport of Magnetic Flux Tubes: A Mechanism for Joy's Law and Poloidal Field Generation via Meridional Flows
[arXiv] 2026-09-10 | CryptoL: Towards Scale Dominance and Physics Constraints Mitigation in Financial Multivariate Time Series Forecasting
[arXiv] 2026-09-10 | Viscosity and variational approaches in free boundary problems: A Volume in Honor of Sandro Salsa
