[2026-06-04 11:55:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[IEEE] 2026-6-3 | DeepVesselNet-Based Retinal Vessel Segmentation with Enhanced Preprocessing
[IEEE] 2026-6-3 | Design and Optimization of a High-Gain Multi-Input Multilevel Inverter for Harmonic Mitigation
[IEEE] 2026-6-3 | IoT-Based Solar Power Monitoring System
[IEEE] 2026-6-3 | Backscatter Device-Aided Integrated Sensing and Communication: A Pareto Optimization Framework
[IEEE] 2026-6-3 | Next-Gen Mobile Forensics Tool: Timeline Reconstruction from Android Digital Evidence
[IEEE] 2026-6-3 | A Three-Phase AI Framework for Distributed Database Optimization
[IEEE] 2026-6-3 | A Hybrid Deep Learning Framework for Underwater Image Enhancement in Marine Infrastructure Inspection and Archaeological Exploration
[IEEE] 2026-6-3 | Video Surveillance Model for Anomaly Detection and Alert Generation using Deep Learning
[IEEE] 2026-6-3 | Multi-Sensor Fusion With Transformer-based Deep Learning for Real-Time Fetal Health Monitoring
[IEEE] 2026-6-3 | A Dynamic Edge-Cloud Intelligence Framework for Real-Time Abnormal Activity Detection using Vision-Language Reasoning, Super-Resolution Enhancement, and Reinforcement Learning Optimisation
[IEEE] 2026-6-3 | Iot Payments: Bridging the Gap Between Connectivity, Compliance and Commerce
[IEEE] 2026-6-3 | Smart Indian Farmer Assistant: A Tri-Modal AI Framework for Precision Agriculture Using MobileNetV2, XGBoost, and Multimodal Language Models
[IEEE] 2026-6-3 | Do-It-Yourself Approach to Oscillating Hydropower
[IEEE] 2026-6-3 | A Secure Adaptive Fractal Watermarking Scheme for Visual Authentication
[IEEE] 2026-6-3 | Design and Implementation of a High-Efficiency Transformer-Less Inverter for Low-Voltage Applications
[IEEE] 2026-6-3 | Predictive Self-Healing for Multi-Agent LLM Pipelines Using Model Predictive Control
[IEEE] 2026-6-3 | Self-Adaptive Graph Analytics for Real-Time Fraud Detection in Transaction Networks
[IEEE] 2026-6-3 | Hybrid Deep Learning Models for Solar Energy Production Forecasting: Explainable Artificial Intelligence Approach
[IEEE] 2026-6-3 | Improved Variational Graph Autoencoder for Link Prediction on Real-World Telecom Graphs
[ACM] 2026-6-4 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[ACM] 2026-6-4 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[ACM] 2026-6-4 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[ACM] 2026-6-3 | Human vs LLM-Generated Alt Text for STEM Image Accessibility: A Comparative Study
[ACM] 2026-6-3 | On the Limits for Web Accessibility Evaluation Using AI Agents
[ACM] 2026-6-3 | Participatory Urban Conflict Mapping
[ACM] 2026-6-3 | Exploring Participatory Methods for Design Research on Disability Inclusion in Public Toilets
[ACM] 2026-6-3 | Design of Learning Analytics Tools for Teachers: Optimizing Teaching Strategies Based on Educational Data
[ACM] 2026-6-3 | A Multimodal Data-Driven Scaffolding Instruction Model for Foreign Language Learning Based on AIGC
[ACM] 2026-6-3 | An AI-Enhanced Teaching Framework Integrating OBE and ‌Five Pillars of Education for Project-Based Practical Training
[ACM] 2026-6-3 | Research on LSTM-Attention Based Prediction of Student Performance in Operating Systems Principles Course
[IEEE] 2026-6-3 | Deciphering Object Concepts: Hierarchical Cross-Modal Relational Reasoning for Mining Object-Attribute-Affordance Associations
[IEEE] 2026-6-3 | Robustness of SAM: Segment Anything under Corruptions and beyond_supp1-3698837.pdf
[IEEE] 2026-6-3 | Enhancing Depression Detection on Social Media with DSM-V Guided RAG and Fine-Tuned DeepSeek-R1_supp1-3699501.docx
[IEEE] 2026-6-3 | FlexPWL: A Flexible, Scalable, and Multiplier-Free Approach for Activation Functions on FPGA
[IEEE] 2026-6-3 | Adaptive Downsampling and Refinement for Fast Iterative Closest Point
[IEEE] 2026-6-3 | 2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT)
[IEEE] 2026-6-3 | An Edge-Sensing Measurement Framework for Cross-Sensor Urban Altitude Estimation via Physics-Informed Neural Fields
[IEEE] 2026-6-3 | ICOEI 2026 Committees
[IEEE] 2026-6-3 | Hybrid Relay Architecture: A Decentralized and Semantically-agnostic Interoperability Framework for Blockchain
[IEEE] 2026-6-3 | Rotatable Continuous Aperture Array (CAPA)-based Multi-user MIMO Communications
[IEEE] 2026-6-3 | NPLNet: A Noise-Prior Lightweight Network for On-Device Acoustic Fault Diagnosis of Railway Point Machines from Noisy Measurements
[IEEE] 2026-6-3 | Bayesian Inference-Based Model-Free Predictive Current Control for SPMSM Drives
[IEEE] 2026-6-3 | Minimum Data Rate for Consensus of Linear MASs Under Weighted-Average Protocols
[IEEE] 2026-6-3 | Robust Open-Set Signal Emitter Identification Using Collaborative Learning and Distributed Attention Networks
[IEEE] 2026-6-3 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp1-3697245.mp4
[IEEE] 2026-6-3 | An Angularly Stable and Bidirectional Frequency Selective Rasorber Based on an Antenna-Filter-Antenna Architecture
[IEEE] 2026-6-3 | A Comprehensive General Model of Tendon-Actuated Concentric Tube Robots with Multiple Tubes and Tendons_supp1-3699204.mp4
[IEEE] 2026-6-3 | Robust Intra-Pulse Frequency Coding Against Time-Gated Frequency-Following Jamming via Belief-State Reinforcement Learning_supp1-3699318.pdf
[IEEE] 2026-6-3 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism_supp1-3699154.mp4
[IEEE] 2026-6-3 | HF-Head: A Lightweight Head Design for SAR Small-Ship Detection with Algorithm–Hardware Co-Optimization
[IEEE] 2026-6-3 | Dense Facial Landmark Detection in Thermal Infrared With Cross-Dataset Generalization Testing and Failure Detection
[IEEE] 2026-6-3 | Collaborative Acceleration for Server-Side Multi-User View Synthesis_supp1-3694560.pdf
[IEEE] 2026-6-3 | Smart Solar Advisor: AI-Driven IoT-Based System for Location-Aware Monthly Energy Forecasting
[IEEE] 2026-6-3 | A Fairness-Aware Constraint Satisfaction Framework for University Exam Timetabling with Dual-Role Instructor Conflict Modeling
[IEEE] 2026-6-3 | Smart Vending Machine For Grocery Shop with Custom Quantity Dispensing
[IEEE] 2026-6-3 | Bias and Fairness in AI Systems: Theoretical Analysis and Empirical Validation Through Reweighing Mitigation
[IEEE] 2026-6-3 | Software Sustainability Debt and the Governance-Process-Execution Framework: Evidence from 513,000 Real-World CI/CD Workflows
[IEEE] 2026-6-3 | Machine Learning for Predicting and Managing Industrial Co and Nox Emissions: Data-Driven Modeling for Sustainable Production
[IEEE] 2026-6-3 | Artificial Intelligence based Object Detection Assistant for the Visually Impaired
[ACM] 2026-6-4 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[ACM] 2026-6-4 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[ACM] 2026-6-4 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[IEEE] 2026-6-3 | An Efficient Framework for Network Formation and Optimal Routing in Mobile Ad Hoc Networks
[IEEE] 2026-6-3 | Grid-Aware Harris Hybrid Hawk Optimization for Strategic Electric Vehicle Charging Station Deployment
[IEEE] 2026-6-3 | An Xception–YOLO based Deep Learning Framework for Kidney Stone Detection in CT Images
[IEEE] 2026-6-3 | Small Scale Production of Biochar with a Home Microwave Oven
[IEEE] 2026-6-3 | Fake News Detection Capability Across Contemporary LLMs: Comparative Study of Zero-Shot, Few-Shot, and Parameter-Efficient Fine-Tuning Across LIAR and ISOT
[IEEE] 2026-6-3 | A Deep Learning Framework for Signature Verification: Combining CapsNet with Data Augmentation Techniques
[IEEE] 2026-6-3 | Design of a Via-Loaded Interdigital Microstrip Bandpass Filter for S-Band Applications
[IEEE] 2026-6-3 | 'Can AI Care?': Emotional Tone Analysis and Perceived Empathy in AI-Generated Health Advice
[IEEE] 2026-6-3 | Teaching Off-Grid Solar Energy Installation Business in Liberia
[IEEE] 2026-6-3 | An Explainable AI (XAI)–Driven Deep LSTM Framework for High-Precision Financial Time Series Prediction
[IEEE] 2026-6-3 | Hybrid CNN–Transformer Architectures for Real-Time Medicine Identification with Edge-Optimized Assistive Feedback
[IEEE] 2026-6-3 | Contrastive Learning-Enhanced Attention Models for Predicting and Optimizing Brine Desalination Processes
[IEEE] 2026-6-3 | Deployment-Aware Benchmarking of Lightweight Machine Learning for IoT-Based Smart Grid Fault Detection: A Comparative Study Across Easy, Noisy, and Public Evaluation Settings
[IEEE] 2026-6-3 | History-Aware Dynamic Quantum Time Allocation for Round Robin Scheduling
[IEEE] 2026-6-3 | GAN-Assisted Triple-Branch Swin Transformer for Diabetic Retinopathy Grading
[IEEE] 2026-6-3 | VulnWatch: A Lightweight Network Security Checker for Identifying Risks and Providing Actionable Fixes
[IEEE] 2026-6-3 | Deep Neural Networks for Coastal Climate Risk Prediction Using Flood and Climate Variables
[IEEE] 2026-6-3 | Deep Capsule-Based Self-Attention Mechanism for Underwater Hyperspectral Image Classification
[IEEE] 2026-6-3 | Multi Agent Reinforcement Learning Based Swarm Navigation
[IEEE] 2026-6-3 | Secure Medical Image Transmission using Deep Learning and Chaotic Map-Enhanced Homomorphic Encryption for Privacy Preservation
[IEEE] 2026-6-3 | Modeling and Analysis of Hybrid Renewable Energy Systems Using Artificial Neural Networks for Short-Term Power Forecasting
[IEEE] 2026-6-3 | Latent Ideological Polarization in Energy Transitions: A Multi-Level Structural Causality Analysis of Climate Policy Acceptance
[IEEE] 2026-6-3 | Performance Evaluation of CO
                    <sub>2</sub>
                    Emission Levels in Agrofood Systems for Climate Action
[IEEE] 2026-6-3 | System Dependent Performance Analysis of Metaheuristic Algorithms for DOCR Coordination in Distribution Networks and Microgrids
[IEEE] 2026-6-3 | A Scalable OCR System to Bridge the Annotation Gap in Low Resource Languages
[IEEE] 2026-6-3 | Hardware Acceleration of User-Based Collaborative Filtering on an FPGA-Based SoC
[IEEE] 2026-6-3 | Leveraging Harmonic Analysis for Feature Extraction and Selection in Time-Series Data Processing
[IEEE] 2026-6-3 | ML-FS
                    <sup>2</sup>
                    -CDA- Meta-Learning-Driven Few-Shot Skin Lesion Segmentation with Cross-Dataset Adaptation
[IEEE] 2026-6-3 | Design and Analysis of a Wideband mm-Wave Four-Port MIMO Antenna for 5G/6G Applications
[IEEE] 2026-6-3 | Automated Classification of Lung Nodules in CT Images using DenseNet-121 and Convolutional Block Attention Modules
[IEEE] 2026-6-3 | AI in Health Informatics Through the Eyes of Medical Students
[IEEE] 2026-6-3 | Reducing Barriers to Eye Care: Glaucoma Detection with Novel Imaging Techniques
[IEEE] 2026-6-3 | Decoupled Cost-Sensitive Thresholding–based LightGBM for Reliable Predictive Maintenance
[IEEE] 2026-6-3 | A Structured Approach to Grammar and Style Checking of Scientific Texts With ChatGPT
[IEEE] 2026-6-3 | Improving Web Text Classification Robustness Through Calibrated Transformer Fusion
[ACM] 2026-6-4 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[ACM] 2026-6-3 | Biophilic Governance: Toward a Politics of Making-With Earth
[ACM] 2026-6-3 | Designing A Relational, Participatory, And Multidimensional University Media Lab Model For Media Innovation In Sabana Centro, Colombia
[ACM] 2026-6-3 | Research on Establishing a Smart Zero-Based Budgeting System for Higher Education Institutions Based on Business Process Reengineering
[ACM] 2026-6-3 | Research on Constructing Student Physical Fitness Profiles and Optimising Physical Education Teaching Decisions Supported by Big Data
[ACM] 2026-6-3 | Research on the Construction of the Course AI Agent and the Knowledge Graph of the Geographic Information System
[ACM] 2026-6-3 | Knowledge Graph-Enhanced Large Language Models for Automated Scoring and Feedback of Chinese Literature Essays
[ACM] 2026-6-3 | Towards AI Agents Supported Research Problem Formulation
[IEEE] 2026-6-3 | Effects of Bending Strain on the Magnetic Properties of Single-Phase Wound Transformer Cores
[IEEE] 2026-6-3 | Copyright Page
[IEEE] 2026-6-3 | Modeling Cable-Suspended Multidrone Manipulation Using Grasping Theory
[IEEE] 2026-6-3 | A Vision-Based System for Quantitative Measurement of Tactile Modality and 3D Contact Forces
[IEEE] 2026-6-3 | LaVIDE: Language-Prompted Satellite Change Detection via Map-Image Alignment
[IEEE] 2026-6-3 | In-line Monitoring of Multi-core Fibers by 3D Polymer Waveguides
[IEEE] 2026-6-3 | Human-Inspired Finger Design With Pressure-Based Variable Stiffness Spherical Joints_supp1-3691246.pdf
[IEEE] 2026-6-3 | Robust Galerkin-Ritz Framework for Time-of-Arrival-Based Localization under Deceptive Jamming
[IEEE] 2026-6-3 | HCDiff: Hierarchical Latent Constraint-Projected Diffusion Framework for Deformable Linear Objects Manipulation in Cluttered Environments_supp1-3699256.mp4
[IEEE] 2026-6-3 | Deep Learning-Based Micro-Volume Viscosity Prediction Using the Blinking Dynamics of Janus Particles_supp1-3697410.docx
[IEEE] 2026-6-3 | TriSAFE: Transcript-Bound Verifiable Secure Aggregation with Differential Privacy and Timing Defenses for Gateway-Assisted IoT Federated Learning
[IEEE] 2026-6-3 | Creative Mental Imagery: Cognitive Paradigm for EEG-Based User Authentication
[IEEE] 2026-6-3 | Logi-X: The Digital Transformation of Logistics
[IEEE] 2026-6-3 | From Compliance to Cooperation: A Human-Centered Perspective on Impedance Control in Human–Robot Interaction, Collaboration, and Teaming
[IEEE] 2026-6-3 | Multimodal Paradigmatic Synergies in Hyperdimensional and Quantum-Inspired Architectures for Robust Speech Gender Analytics
[IEEE] 2026-6-3 | Blockchain-Augmented Federated Learning for Secure and Healthcare Diagnosis from Distributed Electronic Health Records
[IEEE] 2026-6-3 | Non-Invasive Detection of Copd Using Acoustic Features Extracted From Sustained Phonation
[IEEE] 2026-6-3 | Grid Connected Energy Net-Metering System for Home Solar Installations
[IEEE] 2026-6-3 | Low-power, High-Speed Comparator Design using FinFETs for ADC Applications
[IEEE] 2026-6-3 | Hybrid Deep Learning Approach for Early Detection of Cashew Plant Disease
[IEEE] 2026-6-3 | A Lightweight Hardware Accelerator for Fixed-Point Least-Squares Estimation in RISC-V SoCs
[IEEE] 2026-6-3 | Improving Military Object Detection under Noisy Conditions Using Spatial Denoising Pipeline and ResNet-50 based Deep Features
[IEEE] 2026-6-3 | Transfer Matrix Method Based Electromagnetic Simulation Software for Analysis and Design of Radomes and Radar Absorbing Materials
[IEEE] 2026-6-3 | A Predictive Rule-Based Energy Management Framework Incorporating Driving Pattern Clustering for Hybrid Electric Vehicles
[IEEE] 2026-6-3 | Deep Learning-Based Framework for Multi-Stage Classification of Alzheimer’s Disease
[IEEE] 2026-6-3 | CNN-Based Turbidity Estimation in Dairy Farms Environments
[IEEE] 2026-6-3 | Forecasting Agentic AI Resource Consumption in Business Processes: A Three Dimensions Cost Estimation Conceptual Framework
[IEEE] 2026-6-3 | Enhancing Crop Recommendation Accuracy using Quantum Support Vector Machines on Complex Agricultural Datasets
[IEEE] 2026-6-3 | Development of a Neural Network-Based Algorithm for HVAC Systems Optimization, Integrating Key Environmental Variables in BEMS
[IEEE] 2026-6-3 | Secure Communication Protocols for IoT-Integrated Electric Vehicle Ecosystems
[IEEE] 2026-6-3 | A Memory-Augmented Learning Framework for Adaptive Resource Allocation in Cognitive Radio Networks
[IEEE] 2026-6-3 | Justification of Proposals for Detecting Data Transmission Channels of Low-Observable Unmanned Aerial Vehicles
[IEEE] 2026-6-3 | A Comprehensive Review of AI-Driven NPC Intelligence and Procedural Content Generation in Video Games
[IEEE] 2026-6-3 | Comparative Analysis of NI USRP-2920 SDR and HAMEG 5006 for Live FM Signal Strength Measurement
[IEEE] 2026-6-3 | Why Beginners Abandon Quantum Programming: Barriers to Developer Experience and a Scaffolding Approach to Development Environment Setup
[IEEE] 2026-6-3 | HAWK-ViT-CNNNet: A Knowledge-Guided Hybrid Deep Learning Model for Breast Cancer Diagnosis
[IEEE] 2026-6-3 | Enhancing Industrial Assembly Processes Through the Integration of Augmented Reality Technologies
[IEEE] 2026-6-3 | Edge AI–based Malware Detection in IoT Devices using Machine Learning
[ACM] 2026-6-4 | Ex-ASE 2025: The 1st International Workshop on ExplainableAutomated Software Engineering
[IEEE] 2026-6-3 | A Structured Approach for Integrating Environmental Impact Assessment Throughout the IC Design Flow
[IEEE] 2026-6-3 | Life Cycle Assessment of 3D Stacked Multi-Chip Assemblies: Comparison of Three Multi-Layer CMOS Image Sensors
[IEEE] 2026-6-3 | Fuzzy Linguistic Summarization in the Electronic Communications Sector: Protoform-Based Natural Language Insights for Digitalization and Decision Support
[ACM] 2026-6-4 | Indoor Semantic Map Prediction for Object Search Based on Relationship Reasoning and Active Training
[ACM] 2026-6-4 | Research on the Optimization Decision of Cold Chain Logistics Delivery Vehicles in Low-Carbon Cities
[ACM] 2026-6-4 | Heterogeneous Effects of Human Resource Management on Firm Performance under Digital Transformation: A Causal Machine Learning Approach
[ACM] 2026-6-4 | Research on Library Book Spine Segmentation and Recognition Based on Deep Learning
[ACM] 2026-6-4 | Skeletal Sentinel for the Detection of Osteoporosis Empowered by Machine Learning and Transfer Learning
[ACM] 2026-6-4 | A Comparative Analysis of Machine Learning Models for Periodontal Disease Classification
[ACM] 2026-6-4 | Secure Implementation of Salesforce Health Cloud for Patient Data Management in Multi-Tenant Environments
[ACM] 2026-6-3 | The Verification Gap in AI Accessibility: A Meta-Analysis of Architectural Paradigms and Agency Deficits
[ACM] 2026-6-3 | Advancing the Taxonomy for Writing Alternative Text Based on Image Type, Context, and Complexity
[ACM] 2026-6-3 | A Multi-Agent Framework for Accessible Web Code Generation
[ACM] 2026-6-3 | Altify: Shift-left Icon Alt-text for Mobile App Developers
[ACM] 2026-6-3 | Computer Course Frequency and Clustering Analysis for Innovation Modes in Digital Economy MajorsComputer Course-Based Statistical Analysis in Digital Economy Majors
[ACM] 2026-6-3 | Adaptive Knowledge Tracking Calculation Model for Language Training Scenarios in Vocational Schools
[ACM] 2026-6-3 | Construction of a Model of teaching innovation teams in Vocational Colleges Based on the composition of teachers' capabilities
[ACM] 2026-6-3 | Design of an Intelligent English Translation Recognition Model Based on an Improved GLR Algorithm
[ACM] 2026-6-3 | Design and Implementation of a Multi-Dimensional Automatic Grading System for Java Programming Assignments in Vocational Education
[ACM] 2026-6-3 | SynChain: A Knowledge-Enhanced Framework for Structured Reasoning and Human Feedback Alignment towards Large Language Models
[ACM] 2026-6-3 | Design of AIGC-based Programming Teaching Auxiliary Model and Empirical Research on Teaching Effectiveness
[ACM] 2026-6-3 | Data Pricing Strategy Considering Missing Values and Privacy Constraints
[ACM] 2026-6-3 | A Multi-Agent Collaborative System for Student Writing Assistance: An Empirical Study on Mitigating AI Bias and Hallucination
[ACM] 2026-6-3 | Construction of an Intelligent Curriculum Integrating Knowledge Graph and Machine Learning: An Innovative Approach to Business English Bilingual Teaching
[ACM] 2026-6-3 | Research on the Feedback Mechanism of Digital Classroom Learning Situation Monitoring Based on Artificial Intelligence
[ACM] 2026-6-3 | Hopscotch: Playful Participatory Action Research
[ACM] 2026-6-3 | Participation through Designing Relations with People, Materials, and Place
[ACM] 2026-6-3 | Micromuseo
[ACM] 2026-6-3 | Protecting Protests from Institutional Repression
[ACM] 2026-6-3 | Participative Intimacy in/as Design for Coexistence
[IEEE] 2026-6-3 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp7-3672876.mp4
[IEEE] 2026-6-3 | TSC-DETR: DETR with Transformer-Semantics to CNN Guidance for Small Object Detection
[IEEE] 2026-6-3 | Google's Training Supercomputers from TPUv2 to Ironwood: Architectural Stability, Scale, Resilience, Power Efficiency, and Sustainability Across Five Generations
[IEEE] 2026-6-3 | NeuroBridge-AI: A Hybrid Biophysical and Machine Learning Framework for Multi-Scale Neural Simulation
[IEEE] 2026-6-3 | Editorial Special Issue on Interactive Power Converters for Renewable Energy Grid-Tied Systems—Part II
[IEEE] 2026-6-3 | A Privacy-Aware Medical Record Query Scheme with Anonymous Authentication in Wireless Body Area Networks
[IEEE] 2026-6-3 | IEEE ComSoc Publications
[IEEE] 2026-6-3 | A Versatile Analytic Phase Noise Model for Optical Frequency-Modulated Continuous-Wave Interferometry
[IEEE] 2026-6-3 | Uncertainty-risk-adaptive-based Offline Context-aware Reinforcement Learning Framework for Vehicle-Cloud End-to-End Autonomous Driving_supp1-3699213.docx
[IEEE] 2026-6-3 | AlGaN-Based UV LEDs with High Wall-Plug Efficiency
[IEEE] 2026-6-3 | Coherence-Based Inversion of Pulse-Echo Data for Ocean Sound Speed Estimation
[IEEE] 2026-6-3 | Design of a Low-Cost Real-Time Angle Sensor Module for Dynamic Body-Weight Support Systems Using Inertial Measurement Unit and Fusion Algorithms
[IEEE] 2026-6-3 | Learning from hard negative samples: Multi-prototype contrastive learning for out-of-distribution detection
[IEEE] 2026-6-3 | A Wideband Dual-Mode High-Efficiency MMIC Power Amplifier Based on Outphasing Architecture
[IEEE] 2026-6-3 | Front cover
[IEEE] 2026-6-3 | 2026 12th International Conference on Communication and Signal Processing (ICCSP)
[IEEE] 2026-6-3 | Dynamic Retrieval-Augmented Generation with Clarification-Driven Query Refinement for Context-Aware Q &amp; A
[IEEE] 2026-6-3 | Utilizing Second-Life EV Batteries to Mitigate PV-Induced Overvoltages in LV networks
[IEEE] 2026-6-3 | FPGA Implementation of Bilateral Filter with Optimized Resources
[IEEE] 2026-6-3 | Design and Implementation of Edge Computing-Aware On-Site Defect Detection in Industrial Applications through Residual Attention MobileNet SSD
[IEEE] 2026-6-3 | FEM-Based Modeling and Analysis of Demagnetization in an Outer-Rotor PMSM with FOC Control Using Co-Simulation
[IEEE] 2026-6-3 | Cryptocurrency Wallet Key Management Using Secret Sharing
[IEEE] 2026-6-3 | Design and Implementation of an Autonomous AI &amp; IoT-Enabled Smart Buoy System for Real-Time Maritime Navigation and Hazard Detection
[IEEE] 2026-6-3 | Do Costs, Energy Prices, or Peer Adoption Matter More? Insights into Renewable Implementation Decisions for SMEs
[IEEE] 2026-6-3 | 3rd Eye: Transport Companion for the Visually Impaired
[IEEE] 2026-6-3 | Deep Learning-Based Rainfall-Runoff Modeling for River Basin Water Resource Prediction
[IEEE] 2026-6-3 | Downscaling of Satellite based Air Quality Maps using AI ML
[IEEE] 2026-6-3 | Phasor Measurement Unit-Based Synchronization of Photovoltaic and Grid System with Control and Remote Cloud Monitoring
[IEEE] 2026-6-3 | Functional Stability of Cyber Technological Processes Using Controllability of Discrete Systems
[IEEE] 2026-6-3 | Fuzzy Logic-Based MPPT Control Strategy for Stable EV Charging under Rapid Solar Irradiance Variations
[IEEE] 2026-6-3 | Adaptive Feature Weighting in Aggregated Long Short-Term Memory for Air Quality Prediction
[IEEE] 2026-6-3 | Understanding Farmer Adoption of Artificial Intelligence in Agriculture: A Systematic Review and Socio-Technical Model Grounded in Midwest Farming Systems
[IEEE] 2026-6-3 | Voltage Control Modeling in Membrane Capacitive Deionization (MCDI) for Desalination Applications
