[2025-11-30 09:08:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-29
正在获取论文...
[ACM] 2025-11-29 | Maxwellium VR: Immersive Learning of Electromagnetic Field through Interactive Simulation
[ACM] 2025-11-29 | Into the Zone: Assisting Runners with Maintaining Heart Rate Zones through a Glancable Ambient Display
[ACM] 2025-11-29 | Muse-Torch: Interactive Museum Guide System Using a Pico-Projector for Children
[ACM] 2025-11-29 | Accelerating Out-of-Core Graph Random Walk Processing via Locality-Aware Algorithm-Hardware Co-Design
[ACM] 2025-11-29 | "Can You Feel the Tide Tonight?" – A Multisensory Interactive System to Foster Sustainability Awareness
[ACM] 2025-11-29 | The Impact of Reviewing Instagram Posts on Episodic Memory: What Do Instagram Users Recall About Their Posted Pictures?
[ACM] 2025-11-29 | Speculative Design Explorations for Sámi Digital Storytelling Futures
[ACM] 2025-11-29 | Embodiment in Smartphone Augmented Reality: Effects on User Performance
[ACM] 2025-11-29 | Augmenting or Immersing? The Impact of Technology Choice on Cognitive Load and Enjoyment in Escape Rooms
[ACM] 2025-11-29 | A Sandbox for (Designing) Democratic Technologies
[ACM] 2025-11-29 | Designing Intent Communication for Agent-Human Collaboration
[ACM] 2025-11-29 | From Head to Hand: Combining Head-Mounted Vibration and Audio Feedback for Simulating Surface Roughness in Virtual Reality
[ACM] 2025-11-29 | Empowering (Smart) Jewellery: Identifying Tensions between Innovation and Sentiment
[ACM] 2025-11-29 | Beyond Touch: Accessibility Framework for Mid-Air Haptics in Mobile and Ubiquitous Multimedia Applications
[ACM] 2025-11-29 | More Than Precision: A Motion-Capture System for Dance Feedback versus Human Coaching for Beginner Dancers
[ACM] 2025-11-29 | Mind Your Vision: A Passive Multimodal Framework for Refractive Disorders Measurement Combining Electrooculography and Eye Tracking
[ACM] 2025-11-29 | Trusting Chip Design: A UX Journey
共写入 68 条记录，保存到 papers/paper2025-11-29.json。
论文获取成功，文件路径: papers/paper2025-11-29.json
正在筛选、翻译并发送邮件...
[NO] 1/68 | Maxwellium VR: Immersive Learning of Electromagnetic Field through Interactive Simulation
[NO] 2/68 | Internet of Legacy Devices (I-oLD): Harnessing the Potential of Outdated Mobile Devices
[NO] 3/68 | Human Control of Privacy and Security Aspects in IoT Settings
[NO] 4/68 | Design of High-voltage Stator with Ring-type Air-core Armature for Direct Grid-connected HTS Synchronous Condenser
[NO] 5/68 | FamiliAR Feedback: Investigating Feedback Modality and Familiarity in Classroom Settings Using Spatial Augmented Reality
[NO] 6/68 | The Proactive Gap: A Scoping Review of Publicly Available LLM-based Browser Extensions and Their Potential to Mitigate Information Disorder
[YES] 7/68 | Advancing Generative AI Collaboration in Design-to-Code Workflows: Insights from Two Empirical Studies
[NO] 8/68 | Investigating Gait Imitation in VR: Impact of Visual Feedback and Avatar Design
[NO] 9/68 | Design Interventions as Methods for Participation in Welfare Services
[NO] 10/68 | FallacyCheck - A Proactive LLM-based Browser Extension to Motivate Critical Assessment of News Articles by Questioning Logical Fallacies
[NO] 11/68 | Sustained Effects of Avatars on Skin Temperature and Thermal Sensation in Virtual Reality
[NO] 12/68 | Co-Designing Intelligent Neighbourhood Technologies with Young People to Support Communality in Nordic Superblocks
[NO] 13/68 | Detecting Human Presence via Smartphone BLE Beaconing: Preliminary Investigations
[NO] 14/68 | Locomotion Method Matters: Comparing Arm-Swing and Joystick for Stability and Learning Effects in VR Walking
[NO] 15/68 | Classifying TikToks Locally: Political Content Detection with Phi-4 on Android
[NO] 16/68 | Designing eHMIs for Delivery Robots in Public Buses: Open HCI Challenges and Usage Scenarios
[NO] 17/68 | Roby on a Mission: Promoting Awareness and Adoption of Password Managers Through Public Security User Interfaces
[NO] 18/68 | RiderID: Investigating Cycling as a Behavioral Biometric through Bicycle-Mounted Sensors
[NO] 19/68 | On Attitudes, Norms, Control Beliefs and Interfaces: Why Sustainable Transport Adoption is not an HCI Problem
[NO] 20/68 | Do Virtual Visitors Experience Museums the Same Way as Physical Visitors? A Comparative Study
[NO] 21/68 | Three-dimensional Analytical Modeling of Plate-type Superconducting Electrodynamic Suspension for Electromagnetic Launch Application
[NO] 22/68 | Spatial Referencing for Large Language Models in Automotive Navigation Tasks
[NO] 23/68 | Exploring The Role of Technology for Accessible Stadium Experiences for People With Limited Mobility
[NO] 24/68 | HarmonyLink: Exploring Cognitive Health and Advance Care Planning through LLM-Powered Supportive Conversations
[NO] 25/68 | Self-monitoring and Feedback : Promoting Sustainable Transportation in On-Demand Mobility Services
[NO] 26/68 | Proceedings of the 24th International Conference on Mobile and Ubiquitous Multimedia
[NO] 27/68 | Understanding resident experience and possibilities of intelligent technologies in supporting neighbourhood communities – Context: Nordic Superblocks
[NO] 28/68 | When the Shuttle Explains: A Multimodal Interface Communicating Autonomous Decisions to Passengers
[NO] 29/68 | Investigating User Perceptions of Visualising Inferred Sensitive Information as Privacy Avatars
[NO] 30/68 | AirClick: Modularized Interactive Inflatables for On-Demand Room Transformation
[NO] 31/68 | "What you think is private is no longer" - Investigating the Aftermath of Shoulder Surfing on Smartphones in Everyday Life through the Eyes of the Victims
[NO] 32/68 | Mind the Switch: Measuring Modality-Switch Cognitive Costs (MSCC) as a Metric for Multimodal Interaction
[NO] 33/68 | Understanding AI Disclosure Needs for News Production and Journalism
[NO] 34/68 | Supporting the Traditional Passenger Role: Human-Like In-Car Conversations
[NO] 35/68 | GestureGlove: Exploring Fine and Gross Gestures for Truly Mobile Interaction while Running
[NO] 36/68 | Exploring the Dynamics of HMD and Non-HMD Users in Museum Exhibition with Virtual Reality
[NO] 37/68 | Digitizing Prayer: The Augmentation of Reality and Spirituality
[NO] 38/68 | Funnelectro: Electrotactile Funneling Illusion and Localization Performance on the Forearm
[NO] 39/68 | Rethinking Troubleshooting Support
[NO] 40/68 | Investigating Powered Wheelchair Control via a Pupil-Center Detection Algorithm with a Glass-Mounted Visible-Light Camera
[NO] 41/68 | Evaluating Thermal Color Palettes for Manual Human Detection in Aerial Search and Rescue Imagery
[NO] 42/68 | Teaching an Old Mouse New Tricks: User-Centered Development of a Gesture Set for Touch-Enabled Computer Mice
[NO] 43/68 | A Stroke of Insight: Accessible Screening for Cervical Myelopathy via Tablet and Paper Drawings
[NO] 44/68 | From ChatGPT to Custom GPTs: Scaffolding Conceptual Learning in Adult Education
[NO] 45/68 | Human, I Need You: Comparison of Human-Robot Interaction Modalities for Search and Rescue Missions
[NO] 46/68 | The Balanced Comparator as a Benchmark Circuit to Validate Josephson Simulators
[NO] 47/68 | Perceptual Characteristics of EMS-Induced Finger Flexion for Bodily Information Displays
[NO] 48/68 | Exploring Socio-Cultural Expressions of Interactive Jewellery
[NO] 49/68 | A Country of Platform Paradoxes - Digital Communication Tools used by Green Citizen-Led Initiatives in Denmark
[NO] 50/68 | Effects of Cataracts Severities on Eye Movements and Task Performance During a Visual Search Task Through Virtual Reality Simulations
[NO] 51/68 | Enhancing Adaptive Sports Training through Bespoke Virtual Reality Games: The Case of Adaptive Hockey and Soccer
[NO] 52/68 | Push-the-Button: Providing Control to Runners over Sonic Breathing Guidance on the Move to Enhance Usability
[NO] 53/68 | Into the Zone: Assisting Runners with Maintaining Heart Rate Zones through a Glancable Ambient Display
[NO] 54/68 | Muse-Torch: Interactive Museum Guide System Using a Pico-Projector for Children
[NO] 55/68 | Accelerating Out-of-Core Graph Random Walk Processing via Locality-Aware Algorithm-Hardware Co-Design
[NO] 56/68 | "Can You Feel the Tide Tonight?" – A Multisensory Interactive System to Foster Sustainability Awareness
[NO] 57/68 | The Impact of Reviewing Instagram Posts on Episodic Memory: What Do Instagram Users Recall About Their Posted Pictures?
[NO] 58/68 | Speculative Design Explorations for Sámi Digital Storytelling Futures
[NO] 59/68 | Embodiment in Smartphone Augmented Reality: Effects on User Performance
[NO] 60/68 | Augmenting or Immersing? The Impact of Technology Choice on Cognitive Load and Enjoyment in Escape Rooms
[NO] 61/68 | A Sandbox for (Designing) Democratic Technologies
[NO] 62/68 | Designing Intent Communication for Agent-Human Collaboration
[NO] 63/68 | From Head to Hand: Combining Head-Mounted Vibration and Audio Feedback for Simulating Surface Roughness in Virtual Reality
[NO] 64/68 | Empowering (Smart) Jewellery: Identifying Tensions between Innovation and Sentiment
[NO] 65/68 | Beyond Touch: Accessibility Framework for Mid-Air Haptics in Mobile and Ubiquitous Multimedia Applications
[NO] 66/68 | More Than Precision: A Motion-Capture System for Dance Feedback versus Human Coaching for Beginner Dancers
[NO] 67/68 | Mind Your Vision: A Passive Multimodal Framework for Refractive Disorders Measurement Combining Electrooculography and Eye Tracking
[NO] 68/68 | Trusting Chip Design: A UX Journey
筛选完成：共 68 篇；Yes = 1 篇；已保存到 papers/select_paper2025-11-29.json。
邮件发送成功！
[2025-11-30 09:15:20] 任务执行成功！
