[2026-06-27 10:58:17] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[ACM] 2026-6-26 | Multi-Tiered Microbenchmark Regression Detection in a Production Database CI Pipeline
[ACM] 2026-6-26 | The Memory Scaling of Reverse-Mode Differentiation in Particle Accelerator Simulations with Space Charge
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp1-3704971.pdf
[IEEE] 2026-6-26 | Energy Efficiency and Spectral Efficiency Tradeoff in RIS-Aided Cell-Free Massive MIMO Network
[IEEE] 2026-6-26 | SoDa
                    <sup>2</sup>
                    : Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[IEEE] 2026-6-26 | Extended Multi-Branch Basis Functions for the Method of Moments Analysis of Nonconformal Problems
[IEEE] 2026-6-26 | Data-driven and Learning-based Control of Autonomous Systems
[IEEE] 2026-6-26 | Unimodular Waveform Design for Blanket Jamming Suppression via Manifold Optimization
[IEEE] 2026-6-26 | A Software Component for Real-Time Automotive Communications Over Ethernet 10BASE-T1S
[IEEE] 2026-6-26 | Thermal Performance Analysis of Retrofilled Power Transformers
[IEEE] 2026-6-26 | Trend-Constrained Physics-Guided Neural Network With Prior-Embedded Slow Feature Analysis for Latent-Variable-Driven Industrial Soft Sensing
[IEEE] 2026-6-26 | Improved IGBT Aging Diagnosis for Three-Phase Inverters via Phase-Angle Feature Redesign and Kernel SHAP Analysis
[IEEE] 2026-6-26 | Active Power Backflow Suppression Strategy for Hybrid Cascaded H-Bridge PV Grid-Connected Inverters under Inter-Phase Short-Circuit Faults
[IEEE] 2026-6-26 | Resource Efficient Edge Wake-Up: A Blind Vibration Metric for Battery Powered Industrial IoT
[IEEE] 2026-6-26 | Improved EAC Method for Transient Synchronization Stability Analysis of Grid-following VSC systems
[IEEE] 2026-6-26 | Low-Energy Battery State Estimation for EVs Using Hybrid SNN-LSTM for Heterogeneous System-on-Chip Architectures
[IEEE] 2026-6-26 | IEEE Robotics and Automation Society Publication Information
[ACM] 2026-6-27 | D3OF: DRL-Driven Dual-Layer Dynamic Obfuscation Framework for FPGAs
[ACM] 2026-6-27 | How Much Energy Is Wasted in LLM operations? Evidence from Kernel-Level DVFS
[ACM] 2026-6-27 | A Portable GPU Kernel Performance Modeling Method Based on LLVM IR Dynamic Feature Prediction
[IEEE] 2026-6-26 | Crop row segmentation using deep learning for autonomous agricultural robots in precision farming
[IEEE] 2026-6-26 | The Impact of AI DNA Marketing on Corporate Efficiency
[IEEE] 2026-6-26 | FinTech Adoption in the Digital Age: A Holistic Framework Addressing Trust, Culture, and Technological Factors
[IEEE] 2026-6-26 | EEG-Based Mental Arithmetic Classification for Cognitive Workload Estimation
[IEEE] 2026-6-26 | Thermodynamical Valorisation of Palm Oil Biomass: A Review of Pyrolysis, Gasification, and Biochar Production Pathways
[ACM] 2026-6-27 | Data Protection Vulnerabilities Assessment for Cross-Organizational Consistency Checking in TEE
[ACM] 2026-6-27 | Advancing DEVS Model Definition via Conceptual Modeling
[ACM] 2026-6-27 | A Persona-Augmented Multi-Agent System for Varied Narrative Generation
[ACM] 2026-6-26 | Proceedings of the 1st International Workshop on Dark Software Engineering
[ACM] 2026-6-26 | SGAP: A Scatter-Gather Processing-in-Memory Architecture with Fixed-Point Reconfiguration for Energy-Efficient DNNs
[IEEE] 2026-6-26 | Optimal Joint Energy and Flexibility Market Clearing Considering Uncertain Renewable Resources Using Information Gap Decision Theory
[IEEE] 2026-6-26 | Incorporating Realistic Margin Constraints: A Data-Driven Deep Reinforcement Learning Framework for Advanced Portfolio Management
[IEEE] 2026-6-26 | CENav: Complexity-Aware Adaptive Navigation for Quadrotors in Cluttered Environments_supp1-3707349.mp4
[IEEE] 2026-6-26 | Design and Implementation of a Novel Olfactory-Enhanced Cardiac Sensing System for Psychological Stress Assessment
[IEEE] 2026-6-26 | A High-efficiency 500-kW Active-neutral-point-clamped Three-level $LLC$ Converter Based on Loss Reconfiguration Strategy and Nonlinear Loss Effect
[ACM] 2026-6-26 | Scalable Agentic Reasoning for Designing Biologics Targeting Intrinsically Disordered Proteins
[ACM] 2026-6-26 | QG-STR: Training-Time Optimized Question-Guided Scene Text Recognition via Visual Question Answering
[IEEE] 2026-6-26 | The Role of Artificial Intelligence in Financial Technology
[IEEE] 2026-6-26 | Convergence and Visual Interpretation Analysis of ViT and CNN on High Similarity and Imbalance Buddhist Heritage Sites Dataset
[IEEE] 2026-6-26 | Student Startup Success Prediction Using Support Vector Machines and Neural Networks
[IEEE] 2026-6-26 | The Role of Generative Artificial Intelligence in Increasing the Productivity of Audit Firms
[IEEE] 2026-6-26 | Ethical Oversight and Governance in AI-Driven Digital Auditing: Toward Sustainable Innovation
[ACM] 2026-6-27 | Engineering Cross-Compatible Personalization for Interactive AI-Driven Services
[ACM] 2026-6-27 | Threads or Vectors? Evaluating SPMD and Vector Accelerators for Resource Constrained RISC-V Architectures
[IEEE] 2026-6-26 | A Digital Twin of the Air: Singapore’s Hybrid AI Wind Map and the Politics of Urban Space
[IEEE] 2026-6-26 | A Multimodal Self-Supervised Learning Framework for Scene Understanding in Autonomous Driving Systems
[IEEE] 2026-6-26 | Privacy-preserving distributed learning: Techniques, applications, and future challenges
[IEEE] 2026-6-26 | TED: Towards Explainable and Holistically Aligned Empathetic Dialogue Generation_supp1-3707410.pdf
[IEEE] 2026-6-26 | Fleet-Size Scaling of AUVs: Revisiting the Range Equation
[IEEE] 2026-6-26 | SA-MPC: Situational Awareness-Driven Model Predictive Control via Vision-SBES Fusion for Robust Underwater Obstacle Avoidance
[IEEE] 2026-6-26 | A Geometric Control Framework for Three-Phase Inverters in Grid-tied Systems
[IEEE] 2026-6-26 | A Bilevel Consensus Model Based on Network Game for Maximizing Satisfaction and Minimizing Cost
[IEEE] 2026-6-26 | Toward LLM Democratization: When LLM Meets P2P Network
[IEEE] 2026-6-26 | ReaDy-Go: Real-to-Sim Dynamic 3D Gaussian Splatting Simulation for Environment-Specific Visual Navigation with Moving Obstacles_supp1-3707355.mp4
[IEEE] 2026-6-26 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp3-3704053.mp4
[IEEE] 2026-6-26 | Two-Scale Controllability of a Parameterised BSP Dungeon Generator for Player Flow Optimisation_supp1-3702534.pdf
[IEEE] 2026-6-26 | Whispering Secrets in a Crowd: Leveraging Non-Covert Users for Covert Communications
[ACM] 2026-6-26 | Patrones Oscuros: a Browser Extension for detecting Dark Patterns in Spanish
[IEEE] 2026-6-26 | The Influence of Perceived Health Benefits, Tourism Transportation, Mental Health, and Motivation on the Development of Wellness Tourism
[IEEE] 2026-6-26 | The Effect of Financing on Small and Medium Enterprises Performance: A Case Study in Jordanian Banks
[IEEE] 2026-6-26 | The Role of Digital Transformation in Improving Organizational Performance: The Mediating Role of Knowledge Generation
[IEEE] 2026-6-26 | GIS Based Optimization of Municipal Solid Waste Collection under Capacity Constraints Using AI in Amman Jordan
[IEEE] 2026-6-26 | How Artificial Intelligence Strengthens Brand Loyalty: The Mediating Role of Mental Image
[IEEE] 2026-6-26 | Automated Oral Cancer Image Classification Using MobileNetV2 for Histopathological Analysis
[IEEE] 2026-6-26 | Artificial Intelligence for Tire Tread Inspection in Smart Manufacturing: A Literature Review
[IEEE] 2026-6-26 | Intelligent Sensor Data Processing Methods for Real-Time Control of Mechatronic Manufacturing Systems
[IEEE] 2026-6-26 | Reinforcement learning-based optimization of fertigation scheduling in smart greenhouses for tomato cultivation
[IEEE] 2026-6-26 | Data-Driven Fault Diagnosis Algorithms for Intelligent Monitoring of Industrial Rotating Machinery
[IEEE] 2026-6-26 | Predictive Maintenance in Healthcare IoT Infrastructure a Systematic Review
[ACM] 2026-6-27 | A Gray Literature Study on Fairness Requirements in AI-enabled Software Engineering
[ACM] 2026-6-27 | A Language-driven Approach for Generating Simulation Scenarios of Self-Adaptive Systems in Minecraft
[ACM] 2026-6-27 | RaDIA: Visual Analytics for Systematic Sample Association in Nuclear Weapon Test Verification Workflows
[ACM] 2026-6-26 | Serverless Computing for Life-Critical Science: Design Patterns and Co-Design Insights from a Real-Time Earthquake Loss Alert System
[IEEE] 2026-6-26 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp2-3702087.pdf
[IEEE] 2026-6-26 | Guest Editorial: Energy Transition Analysis and Technologies with Hydrogen Solutions and Accessories
[IEEE] 2026-6-26 | High Impedance Fault Mathematical Models: A Review
[IEEE] 2026-6-26 | Iterative Diffusion-Refined Neural Attenuation Fields for Multi-Source Stationary CT Reconstruction: NAF Meets Diffusion Model
[IEEE] 2026-6-26 | MixVIO: Selective Visual-Inertial Odometry Via Phase-Aware Attention and Hybrid Kernel Modeling_supp1-3707325.mp4
[IEEE] 2026-6-26 | Quantifying the dynamics that link leg tendon vibration to induced periodic postural oscillations in young subjects Differential effects of light touch on the induced sway_supp1-3707473.pdf
[IEEE] 2026-6-26 | Contrastive Learning for Φ-OTDR Vibration Signal Recognition Based on a Joint Optimization Framework
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp3-3701298.mp4
[IEEE] 2026-6-26 | SSA-CNN-LSTM Based Methods for Evaporation Duct Height Forecasting from Multi-Frequency Reception Signals
[IEEE] 2026-6-26 | Front Cover
[IEEE] 2026-6-26 | A Bilingual Multimodal System for Intelligent Recipe Recommendation
[IEEE] 2026-6-26 | Synthesis and Multi-Technique Characterization of an MnFe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    -Loaded Nano-Kaolin Composite
[IEEE] 2026-6-26 | Artificial Intelligence in Medical Science as a Therapeutic Factor: A Theoretical and Methodological Analysis
[IEEE] 2026-6-26 | Self-Supervised Learning for Fault Detection in Industrial Sensor Networks
[IEEE] 2026-6-26 | Effect of Augmented Reality Experiences on Fashion E-purchase Intention of Gen Z in Mekong Delta, Vietnam
[IEEE] 2026-6-26 | A Robust and Fast InSAR Phase Denoising Algorithm Based on Coarse-to-Fine Adaptive Residual Iteration
[IEEE] 2026-6-26 | Investigation of Inverter Transformer Thermal Modelling Under Supra-Harmonics and Wind Dynamics
[IEEE] 2026-6-26 | A Secure DID/VC Access Control Framework for Named Data Networking
[ACM] 2026-6-27 | µPoly Tutorial: Using the First Microgesture Toolkit
[ACM] 2026-6-27 | FlIP: Flow-Based Instruction Processing for Out-of-Order Scheduling in GPGPUs
[IEEE] 2026-6-26 | Adaptive Constructive Fuzzy System With Spectral-Bounded Regularization and Dual Rule Selection_supp1-3707159.pdf
[IEEE] 2026-6-26 | A High-Fidelity All-Atom Model for HVDC Oil-Paper Insulation Based on Material Characterization and Experimental Validation
[IEEE] 2026-6-26 | 35% Specific Contact Resistivity Reduction in Titanium-Based Ohmic Contact with Ultrathin Low-Oxide-Formation-Enthalpy Yttrium Interlayer
[IEEE] 2026-6-26 | Frequency Meets Intent: Enhancing Sequential Recommendation With Spectral Contrastive Learning
[IEEE] 2026-6-26 | Learning Category-level Last-meter Navigation from RGB Demonstrations of a Single-instance_supp1-3707352.mp4
[IEEE] 2026-6-26 | Total Alpha Jensen-Bregman Divergence-Based MIG Detectors in Nonhomogeneous Clutter
[IEEE] 2026-6-26 | Generalized Non-Intrusive Multiport Impedance Measurement Method for EMI Filter Insertion Loss Evaluation
[IEEE] 2026-6-26 | Model Predictive Control for Fast Frequency Control in Hybrid Renewable Plants: Increasing Robustness through Enhanced Model Observability
[IEEE] 2026-6-26 | Numerically Studying the Continuous Reflections in Graded-indexed Waveguide Layer on GaN-based Fabry-Perot Laser Diodes
[IEEE] 2026-6-26 | Bidirectional Thrust Fault-Tolerant Quadcopter Against Rotor Failure_supp1-3701805.mp4
[IEEE] 2026-6-26 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp3-3705701.mp4
[ACM] 2026-6-26 | Porting the code_saturne CFD Solver to GPU: Methodology, Feedback, and Insights
[ACM] 2026-6-26 | Interpretable WBC Analysis through Pathologist-Aligned Reasoning
[IEEE] 2026-6-26 | Artificial Intelligence and FinTech for Sustainable Financial Systems: A Systematic Review
[IEEE] 2026-6-26 | EEG Emotion Detection via Dynamic Coherence Connectivity and Temporal Deep Learning
[IEEE] 2026-6-26 | The impact of Artificial General Intelligence on ESG Performance: Through smart taxes and smart customs
[IEEE] 2026-6-26 | SUSTAIN: A Comprehensive Methodology for Integrating Sustainability Principles in Software Architecture
[IEEE] 2026-6-26 | A Survey on Machine Learning-Based IoT Classification and Fingerprinting
[IEEE] 2026-6-26 | Big Data Analysis as a Mediator in The Impact of Supply Chain Agility on Sustainable Performance
[IEEE] 2026-6-26 | Intelligent Vision-Based Quality Control Algorithms for Automated Mechanical Component Inspection
[IEEE] 2026-6-26 | Interpretable Attention Integration in EfficientNetV2 S: A Robust 2.5D Framework for Multiclass Lung CT Nodule Classification
[IEEE] 2026-6-26 | Prediction and Optimization of Mutual Coupling in Closely Spaced MIMO Arrays Using Deep Neural Networks
[IEEE] 2026-6-26 | Synergizing HR Analytics and Employer Branding: A Conceptual AI Framework for Sustainable Engineering Competitiveness
[ACM] 2026-6-27 | Row-wise Inter-Phase Pipelining for Hardware-Efficient GCN Acceleration
[ACM] 2026-6-27 | Implications of Supporting Compressed Instructions in Area-Optimized Bit-Serial RISC-V Cores
[ACM] 2026-6-26 | Contiguous Storage of Grid Data for Heterogeneous Parallelism
[ACM] 2026-6-26 | The Dark Art of Dopamine Engineering
[ACM] 2026-6-26 | Information Transfer on the Wrist: Vibrotactile Signal Characteristics from Single to Multiple Tactors
[ACM] 2026-6-26 | The Risk and Reward of Cross-Engine Query Partitioning: A Case for Partition-Aware Benchmarking
[IEEE] 2026-6-26 | Distortion Control in Self-Interference Cancellation Systems: Residual Signal Analysis and Loop Parameter Optimization
[IEEE] 2026-6-26 | Spatial Dependence of Amplitude-to-Phase Modulation Conversion in Silicon p-i-n Photodiodes
[IEEE] 2026-6-26 | Multi-Perception Crowd: Learning to combine entity and implicit perception for diverse crowd simulation
[IEEE] 2026-6-26 | Influence of Concave Damage and Compensation Structures in Ring-Core Photonic Crystal Fiber on Orbital Angular Momentum Mode Transmission
[IEEE] 2026-6-26 | Modulation Switching Strategy for Collaborative Current Measurement Errors Calibration in Distributed Quad-Motor Drives
[IEEE] 2026-6-26 | GAN-Based PAN-to-RGB Image Translation for True-Color 3D Texture Generation Using GaoFen-7 Stereo Imagery
[IEEE] 2026-6-26 | Distributed Acoustic Sensing for Underground Power Distribution Assets: An Evidence-Tiered Review of Deployment-Conditioned Observability and Warning Reliability
[IEEE] 2026-6-26 | Lane-Changing Maneuver Prediction With Urban Arterial Traffic Data From Drones
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Society Information
[IEEE] 2026-6-26 | A Portable Smartphone-Based Fluorescence Detection System for Rapid DNA Semi-Quantification and Water Quality Screening_supp1-3705487.docx
[IEEE] 2026-6-26 | A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning
[ACM] 2026-6-27 | The Influence of Environmental Odors on Student Programmers During Code Comprehension and Code Writing
[IEEE] 2026-6-26 | Digital Innovation and Credit Risk Evolution in Banking System: A Systematic Review and Conceptual Framing
[IEEE] 2026-6-26 | Moderating Role of the Value Chain Model Between the Relationship of Digital Logistics Industry and Production Analysis
[IEEE] 2026-6-26 | The Graphene Opportunity for AI Chips, GPUs, and Data Centers: Limitations and Challenges
[IEEE] 2026-6-26 | Predict, Explain, and Act: An End-to-End Explainable AI System for Profit-Driven Customer Retention
[IEEE] 2026-6-26 | Zero-Noise Quantum Reinforcement Learning: Error-Resilient Learning Architectures for Scalable Quantum Control Systems
[IEEE] 2026-6-26 | The Impact of Smart Systems in Supply Chains on Resource Sustainability: The Role of Smart Systems in Waste Reduction as a Mediator
[IEEE] 2026-6-26 | Edge AI for Real-Time Fault Detection in Industrial Electric Motors Using Vibration Sensor Data
[ACM] 2026-6-27 | Robust Quantum Communication for Space Systems Through an Heterogeneous RISC-V based FPGA/SoC Platform
[ACM] 2026-6-27 | A QSP Matrix Multiplication Method for Phase Factor Recovery
[IEEE] 2026-6-26 | Adaptive Affinity Memorization with Layer Mutation for Multimodal Deepfake Continual Detection
[IEEE] 2026-6-26 | Assessing the Adoption of Email Security Measures After Google’s New Sender Guidelines
[IEEE] 2026-6-26 | Unified Practical Finite-Time and Prescribed Performance Attitude Control for Hypersonic Flight Vehicles
[IEEE] 2026-6-26 | Jamming Detection at the Application Layer Using Deep Learning: A Transfer Learning Approach
[IEEE] 2026-6-26 | Resource-aware switching design with self-triggered sampling: a candidate-based switching framework
[IEEE] 2026-6-26 | Towards Generating Unlearnable Examples for Open-Set Face Recognition
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Information for Authors
[IEEE] 2026-6-26 | Blockchain-Enabled Dynamic Spectrum Trading for Next-Generation Wireless Networks
[IEEE] 2026-6-26 | Neural Spatiotemporal Interpolation for Gap Filling of GNSS-R Soil Moisture Data
[IEEE] 2026-6-26 | Double-Sided Funnel-Shaped Through Silicon Via Interposer by Wet-Etching Method for Superconducting Quantum Application
[IEEE] 2026-6-26 | Development of Feature Tokenizer Deep Learning Model for Fault Diagnosis in Marine Propulsion System
[IEEE] 2026-6-26 | A recursive deformable Mamba pyramid network with multi-objective constraints and spatial-aware attention enhancement for unimodal and multimodal brain image registration.
[ACM] 2026-6-26 | Solver-Integrated Lossy and Lossless Compression for Scalable Flow Simulations
[ACM] 2026-6-26 | <scp>Dyn</scp>
                    NPC: Finding More Violations Induced by ADS in Simulation Testing via Dynamic NPC Behavior Generation
[ACM] 2026-6-26 | IsabeLLM: Automated Theorem Proving Applied to Formally Verifying Consensus
[IEEE] 2026-6-26 | AI-Based Food Waste Reduction and Smart Menu Prediction System
[IEEE] 2026-6-26 | Entropic Control in Latent Spaces: Autonomous Racing in the DonkeyCar MiniMonaco Environment using Soft Actor-Critic
[IEEE] 2026-6-26 | Enhancing Bone Marrow Cell Classification: A Hybrid AI Framework with Hyperparameter Optimization
[IEEE] 2026-6-26 | Machine Learning-Based Detection of Students’ Mental Stress: An In-Depth Analytical Study
[IEEE] 2026-6-26 | FinTech Innovations and Their Impact on Sustainable Investment Strategies in Jordan
[IEEE] 2026-6-26 | Artificial Intelligence as a New Factor of Production: Interrelationships with Traditional Factors and Qualitative Differences
[IEEE] 2026-6-26 | The Effect of Digital Transformation on Business Sustainability: The Moderating Role of Digital Corporate Governance
[IEEE] 2026-6-26 | Edge AI Autoencoder Architecture for Real-Time Ground Fault Detection in Industrial Power Systems
[ACM] 2026-6-27 | POSTER: Measuring What Matters: Advancing Green Computing Through the Green Work Efficiency (GWE) Metric
[ACM] 2026-6-27 | Network Folding for Resource-Efficient Implementation of Stream-Dataflow Deep Neural Network Inference on FPGAs
[ACM] 2026-6-27 | Designing and Engineering Gesture User Interfaces
[ACM] 2026-6-27 | Designing beyond human perspectives: Applying BACT framework into practice
[ACM] 2026-6-27 | Non-Euclidean Portals in VR: A Demo of Seamless Room-Scale Navigation Beyond Physical Boundaries
[ACM] 2026-6-26 | Continuous Resilience Testing of a Distributed Database in Long-Running Clusters
[IEEE] 2026-6-26 | Scriptless Atomic Swap with Batch Processing
[IEEE] 2026-6-26 | 16-nm FinFET FIT Measurements Using a 30 MeV Quasi-Monoenergetic Neutron Source and a Spallation Neutron Source
[IEEE] 2026-6-26 | Accepted Papers - ICISCT 2026
[IEEE] 2026-6-26 | TACE-Net: Two-Stage Asymmetric Conditional Enhancement for Weak-Source Recovery in Co-Channel FM
[IEEE] 2026-6-26 | BC-TRUST: Blockchain-Assisted Trust Assessment via Auditable End-to-End Latency Evidence in SIoT
[IEEE] 2026-6-26 | Enhancing Performance Constraints of Nonlinear Networked Systems Under Intermittent Communications and DoS Attacks
[IEEE] 2026-6-26 | Uncertainty Aware Semi-Supervised Learning for Robust INS/GNSS Integrated Navigation on Edge Platforms_supp1-3705670.pdf
[IEEE] 2026-6-26 | Improvement of Spatial Robustness in UWB Fall Detection Via Temporal Differencing
[IEEE] 2026-6-26 | EleTac: Elephant Trunk Tip-Inspired Soft Gripper with Vision-Based Tactile Sensing and Proprioception
[IEEE] 2026-6-26 | Feasibility-Guided Beamforming for Cell-Free ISAC: A Graph Neural Deep-Unrolling Approach
[IEEE] 2026-6-26 | IEEE Internet of Things Journal Publication Information
[IEEE] 2026-6-26 | Matched Direction Detection in Unknown Gaussian Thermal Noise
[IEEE] 2026-6-26 | Design-Oriented Digital Twin Framework for Optimal VSC Setpoint Synthesis in Hybrid AC/DC CIGRE Low-Voltage Networks
[IEEE] 2026-6-26 | Physics-Aware Modal Intensity Modeling for Dynamically Stable Ocean Front Prediction
[IEEE] 2026-6-26 | Multi-Institution Fraud Detection in Cloud Using Federated Learning and Secure Aggregation
[IEEE] 2026-6-26 | Multimodal AI model for wheat yield prediction using NDVI satellite data, weather time series, and soil parameters
[IEEE] 2026-6-26 | Automatic Classification of Banglish and English Text Using TF-IDF and Machine Learning Models
[IEEE] 2026-6-26 | Towards Sustainable Agriculture: Machine Learning-Based Apple Leaf Disease Detection Using Image Processing Techniques
[IEEE] 2026-6-26 | An Experimental Study on Machine Learning Techniques to Predict Alzheimer Disease
[ACM] 2026-6-27 | Real-World Traceability Patterns for Generative AI Systems: With Insights from the Safa Dataset
[IEEE] 2026-6-26 | The Impact of Green Human Resource Management Practices on Sustainability Performance: A Conceptual Study
[IEEE] 2026-6-26 | Deep Learning-Based Scene Segmentation for Autonomous Navigation in Maritime and Urban Transport Systems
[IEEE] 2026-6-26 | Soil moisture prediction using LSTM for precision irrigation with IoT in semi-arid agricultural regions
[IEEE] 2026-6-26 | Trust and Transparency in Artificial Intelligence Chatbots in E-Commerce
[IEEE] 2026-6-26 | Digital Twin Model of a Smart Irrigation System for Water-Efficient Crop Production
[IEEE] 2026-6-26 | PharmaForge: A 3D Simulation Game for Learning Drug Compounding
[ACM] 2026-6-26 | Delay Conditioned Generative Modelling of Resistive Drift in Memristors
[IEEE] 2026-6-26 | HookSteg: A Truly Lossless Steganography Based on Process Hooking for Lossy Network Channels
[IEEE] 2026-6-26 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp2-3694411.pdf
[IEEE] 2026-6-26 | Edge-assisted Digital Twin-integrated Architecture for Crop Recommendation in Smart Agriculture
[IEEE] 2026-6-26 | 4D Reconstruction of Fetal Left Ventricle from Echocardiography via 2.5D Radial Segmentation and Graph-Fourier Reconstruction
[IEEE] 2026-6-26 | Constraint Control strategy of Radial Active Magnetic Bearings for Maglev Flywheel Rotors: Modelling, Experiment and Prototype
[IEEE] 2026-6-26 | A Novel Lightweight Distributional Knowledge Harmonization Framework for Acoustic Emission-Based Marine Pipeline Leak Pattern Recognition
[IEEE] 2026-6-26 | Correlation study on the initiation characteristics of epoxy resin degradation under multi-harmonic composite voltages in relation to space charge distribution
[IEEE] 2026-6-26 | Buck–Boost ZVqZCS Control for DAB Converters in 7.2 kw GaN-based OBC Applications
[IEEE] 2026-6-26 | A Comparative Study of BIND, CoreDNS, and Technitium performance with respect to DoT and DoH Protocols
[IEEE] 2026-6-26 | Cross-Slice Transformer with Adaptive Slice Fusion for Lymph Node Segmentation in CT Imaging
[IEEE] 2026-6-26 | Impact of Temperature on Amplifier Circuits in 4H-SiC CMOS Technology
[IEEE] 2026-6-26 | Memristive Coupled Dual Rulkov Neuron Model with Multi-type Hyperchaotic Firings and Application to Image Encryption for IoMT
[IEEE] 2026-6-26 | LightMica: Towards Lightweight Mica Sheet Defect Detector via Discriminative Representation Distillation
[IEEE] 2026-6-26 | Towards a Semantic and Goal-Oriented O-RAN Architecture: The 6G-GOALS Approach
[IEEE] 2026-6-26 | Trajectory Planning and User Grouping for NOMA-Assisted UAV Data Collection
[IEEE] 2026-6-26 | On Algebraic Approaches for DNA Code Design with Multiple Constraints
[IEEE] 2026-6-26 | Improving Color Image Steganalysis with Dual Contrastive Learning_supp1-3707497.pdf
[IEEE] 2026-6-26 | Evaluation of Numerical Solution Methods for Equivalent Circuit Battery Models
[IEEE] 2026-6-26 | A Vision-Based Approach for Automated Cattle Tag Reading and Region Detection in Northern Thailand Using YOLO and PaddleOCR
[IEEE] 2026-6-26 | Cross-Layer AI Optimization of Signaling and Media Planes in Cloud-Based Contact Center Architectures
[IEEE] 2026-6-26 | Usage of QR Code Payment in Jordan
[IEEE] 2026-6-26 | Explainable machine learning for identifying key environmental factors causing crop stress in precision agriculture
[IEEE] 2026-6-26 | Integration of HR Analytics and Digital Marketing: Artificial Intelligence in Corporate Reputation Management
[IEEE] 2026-6-26 | Machine Learning for Behavioral Segmentation in E-Commerce: An Adaptive Fuzzy Approach
[IEEE] 2026-6-26 | Hybrid Vision Transformer and Convolutional Neural Network Architectures for Enhanced Multi-Class Classification in Gastrointestinal Endoscopy
