[2026-08-11 10:01:27] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | A pre-triangulated category which is not triangulated
[arXiv] 2026-08-10 | A spin-bond theory unifying non-relativistic spin splitting and emergent spin-orbit textures
[arXiv] 2026-08-10 | Activation Probes Surface Code-Security Signals that the Model's Output Misses
[arXiv] 2026-08-10 | A fully integrated dispersion-managed femtosecond mode-locked laser
[arXiv] 2026-08-10 | Satellite Trajectory Optimization via Proximal Policy Optimization for Space Debris Avoidance
[arXiv] 2026-08-10 | A Design Space Study of Density Matrix Parameterizations for Diffusion-Based Quantum State Tomography
[arXiv] 2026-08-10 | Measuring the Wrong Thing: Internal Harmfulness Scores Anti-Rank Successful Jailbreaks
[arXiv] 2026-08-10 | A Semantic Communication Approach to Fiducial Marker Processing in 5G-Enabled Edge SLAM
[arXiv] 2026-08-10 | Structure-Enhanced Features and Quality-Aware Dynamic Anchor Scoring for Robust Lane Detection
[arXiv] 2026-08-10 | Pinching and Tensorial Rigidity for Ergodicity of Frame Flows
[arXiv] 2026-08-10 | Nonperturbative Stabilization of D-Instantons in the Bosonic IIB Matrix Model
[arXiv] 2026-08-10 | Illusion or Integrity? Geometrical Consistency Metric for AIGC Video Quality Evaluation
[arXiv] 2026-08-10 | MADBench: A Benchmark for Modality-Aware Audio Deepfake Detection
[arXiv] 2026-08-10 | MDB-Link: Hierarchical Schema Linking for Multi-Database Text-to-SQL
[arXiv] 2026-08-10 | Anomaly detection in European cryptocurrency exchange-traded products
[arXiv] 2026-08-10 | MSP-Net: Manifold-Guided Spectral Prompt Network for Hyperspectral Object Tracking
[arXiv] 2026-08-10 | VideoVIBE: A Video-Grounded Diagnostic Benchmark for One-Shot Interactive Website Generation
[arXiv] 2026-08-10 | SonicWeave: Chunk-Routed Mixture-of-Experts for Unified Audio Scene Generation
[arXiv] 2026-08-10 | Eigenvalue asymptotics for the one-particle density matrix and one-particle kinetic energy density operator
[arXiv] 2026-08-10 | From Semantic Grounding to Decision Optimization: A Unified Framework for Long-Horizon UAV Vision-Language Navigation
[arXiv] 2026-08-10 | Row-Boosted Ensemble Belief Propagation for Short LDPC Codes
[arXiv] 2026-08-10 | AudioMap: Cloze-and-Choice Reinforcement Learning for Time-Aware Dense Audio Captioning
[arXiv] 2026-08-10 | Training-Free Universal Approximation by Prompting Random Transformers
[arXiv] 2026-08-10 | Spherical n-lunes: billiards and eigenvalues
[arXiv] 2026-08-10 | Transverse Instability and Bifurcation Analysis of the line soliton for the NLS equation on a Fractured Strip
[arXiv] 2026-08-10 | ELBench: A Multi-Dimensional Benchmark for Education-Facing Large Language Models
[arXiv] 2026-08-10 | Optimization studies of silicon remoTES cryogenic calorimeters
[arXiv] 2026-08-10 | Dual-Adversarial Safety Alignment: Cultivating Intrinsic Threat Comprehension in LRMs
[arXiv] 2026-08-10 | Carnot: Interpretable, Interactive, and Optimized Execution of Deep Research Queries
[arXiv] 2026-08-10 | Symphony: Simple Phase Control for Wave Energy Systems
[arXiv] 2026-08-10 | STAIR: Effective Incident Response Using an End-to-End Agentic Planning Framework
[arXiv] 2026-08-10 | One Adapter Pair per Model: A Universal Activation Interface for Language Models
[arXiv] 2026-08-10 | A Height-Constrained 2-Point Minimal Solver for Pose Estimation from Active LED Markers with Event Cameras
[arXiv] 2026-08-10 | XFeat Revisited: Reproducibility and Evaluation of a Lightweight Image Matcher
[arXiv] 2026-08-10 | Compound beams for direct experimental comparison of quantum operations
[arXiv] 2026-08-10 | Learning Preference Adaptation for Large Language Model Personalization via Verbal Reinforcement Learning
[arXiv] 2026-08-10 | Genuinely Unextendible Product Bases from Maximum Distance Separable Codes
[arXiv] 2026-08-10 | $\tilde{\text{O}}$ptimal Distributed Maximum Flow Approximation in Undirected Planar Graphs
[arXiv] 2026-08-10 | GeoRoute: Geometry-Aware Hybrid Inference for Traffic Future-Frame Prediction
[arXiv] 2026-08-10 | Relative Variability Estimation for the Power Lindley Model with Progressive Type-I Interval Censored Data
[arXiv] 2026-08-10 | Capability Is Not Propensity: Measuring Pressure-Robust Cooperative Behavior in Civic LLM Agents
[arXiv] 2026-08-10 | Graph-Guided Safe Diffuser: Topological Graph Guidance for Safe Diffusion Planning
[arXiv] 2026-08-10 | Hierarchical rank-evolving representation for physics-informed neural networks
[arXiv] 2026-08-10 | From Prompt to Harness: Coderlet from Scratch
[arXiv] 2026-08-10 | An accelerator-based source of high-intensity quantum-entangled annihilation gamma photons
[arXiv] 2026-08-10 | Sekai2: From World Exploration to Interactive World Modeling
[arXiv] 2026-08-10 | Plancherel and Poisson summation formulae for a family of affine $Ψ$-bundles
[arXiv] 2026-08-10 | The Environmental Dependence of Star Cluster Demographics
[arXiv] 2026-08-10 | ZetaGPT: A Reference Implementation of Positional--Encoding--Free State--Space--Attention Language Models
[arXiv] 2026-08-10 | Neutron radii of Mg isotopes and semiphenomenological treatment for neutron distributions
[arXiv] 2026-08-10 | When Spectroscopies Speak the Same Language: Unifying Rheology, Electrochemical Impedance, and Dielectrics
[arXiv] 2026-08-10 | Ensemble-level loopy message passing with generalized-edge closure for percolation
[arXiv] 2026-08-10 | Intelligent Wiretap Code Design: Exploiting Wireless Endogenous Security via Information Theory and Deep Learning Integration
[arXiv] 2026-08-10 | Observational constraints on fractional holographic dark energy in the light of DESI DR2
[arXiv] 2026-08-10 | Scaling laws of Stablecoin Transactions: Evidence from USDT and USDC on the Ethereum blockchain
[arXiv] 2026-08-10 | Foundational values for foundation models
[arXiv] 2026-08-10 | FeedbackTrack: Visual-Cortex-Inspired Cross-Frame Feedback for Transformer Tracking
[arXiv] 2026-08-10 | Beyond Binary: Continuous State Optimization with Graph-Structured Objectives
[arXiv] 2026-08-10 | leaspy: LEArning Spatiotemporal Patterns in PYthon
[arXiv] 2026-08-10 | How Accurately Can the Energy Use of Spark Applications Be Estimated Based on Resource Utilisation?
[arXiv] 2026-08-10 | Universal or Language-Family-Specific Script Unification for Cross-Lingual Transfer? A Case Study on Turkic Languages
[arXiv] 2026-08-10 | The Sharp Upper Bounds for the Median Eigenvalues of Graphs
[arXiv] 2026-08-10 | Binary code rate bounds via classical--quantum channels
[arXiv] 2026-08-10 | A high-performance quantum pulse gate in thin-film lithium niobate
[arXiv] 2026-08-10 | Beyond Global Editing: Per-Instance Disentangled Subspaces for Training-Free Hallucination Mitigation in LVLMs
[arXiv] 2026-08-10 | DH-VLM: Dual-Horizon Cooperative Latent Reasoning for Autonomous Driving
[arXiv] 2026-08-10 | MaxModShift: Model Privacy via Designed Shifts
[arXiv] 2026-08-10 | CoRE: Consensus Rewards via Equilibrium for Test-Time Reinforcement Learning
[arXiv] 2026-08-10 | Openable Force-Balanced Halbach Magnets: From Fibonacci Sphere Simulations to Icosahedral Realizations
[arXiv] 2026-08-10 | Degraded Infrared Small Object Detection via Degradation-Adapted Physics-Guided Restoration
[arXiv] 2026-08-10 | Correlated parity violation in gravity and electromagnetism from five-dimensional spacetime
[arXiv] 2026-08-10 | CADEngBench: It Looks Like CAD, but Does It Work? Evaluating Parametric Design, Assembly Reasoning, and Physics Simulation
[arXiv] 2026-08-10 | Detector Dependence of Inspiral Christodoulou Gravitational Wave Memory in Binary Black Hole Systems
[arXiv] 2026-08-10 | Graphing the Everyday: A Neurosymbolic Approach to Eliciting Routines for Just-In-Time Adaptive Interventions
[arXiv] 2026-08-10 | Optimal Stability Bounds, Minimizers, and Critical Points for a Critical Nonlocal Sobolev Inequality on the Heisenberg Group
[arXiv] 2026-08-10 | Provable Parameter-Free Fixed-Point Algorithms with Linear Convergence Rates
[arXiv] 2026-08-10 | How People Evaluate AI-, Expert-, and Peer-Style Financial Advice
[arXiv] 2026-08-10 | Locating the missing baryons in the warm-hot intergalactic medium with fast radio bursts and the Sunyaev-Zel'dovich effect
[arXiv] 2026-08-10 | Relating the Exterior Algebra of the Conormal Module to the Tor Algebra
[arXiv] 2026-08-10 | Wafer-scale monolithic integration of Ce:YIG films and magneto-optical isolators on silicon
[arXiv] 2026-08-10 | AI-Guided Learning: Research on Knowledge and Skill Acquisition Support Methods Using Deep Learning Audio-Video Processing Techniques
[arXiv] 2026-08-10 | How Far Do Foundation Models Transfer to Infant Signals? A Cross-Dataset Transfer Audit with a Unified Need Ontology
[arXiv] 2026-08-10 | An Active Matter Pathway for Non-Equilibrium Liquid-Liquid Extractions
[arXiv] 2026-08-10 | Detecting Clear Contact Lenses for Iris Recognition: A Two-Stage Mask-Guided Attention Approach
[arXiv] 2026-08-10 | Manton's Exotic Vortex Equation
[arXiv] 2026-08-10 | Depletant-DNA Induces Chirality in the Condensed Domains of Lyotropic Liquid Crystals
[arXiv] 2026-08-10 | Automated generation of experimentally validated digital twins for desiccant-based low-dew-point air-conditioning systems from declarative topology specifications
[arXiv] 2026-08-10 | Best-of-Both-Worlds Fairness and Pareto Optimality
[arXiv] 2026-08-10 | CoRe-UIE: Rethinking Coexisting and Region-wise Degradation for Underwater Image Enhancement
[arXiv] 2026-08-10 | Memoir: Learning, Verifying, and Evolving False-Positive Memories for Static Application Security Testing Tools
[arXiv] 2026-08-10 | A Comparison of some Weighted Numerical Radii of Hilbert Space Operators
[arXiv] 2026-08-10 | Not All Visual Tokens Are Equally Safe to Remove:Consequence-Sensitive Visual Token Compression
[arXiv] 2026-08-10 | GPU-Accelerated Conic Quadratic Programming with Local Linear Convergence under Strict Complementarity
[arXiv] 2026-08-10 | Theoretical analysis of the maximum range of a projectile released from a pendulum
[arXiv] 2026-08-10 | LightAIR: Lightweight Action Inversion and Riemannian Rectification for Text-based Person Anomaly Search
[arXiv] 2026-08-10 | OGG-FR: Orthogonal Gradient Gaming and Frequency Rectification for Unmanned Aerial Vehicle Infrared Image Super-Resolution
[arXiv] 2026-08-10 | SpeedTuning: Speeding Up Policy Execution with Lightweight Reinforcement Learning
[arXiv] 2026-08-10 | Bright-Channel Retinex Enhancement with a Conditional Overdispered-Noise Analysis
[arXiv] 2026-08-10 | Limiting eigen-structure of spiked sample covariance matrices under missing observations
[arXiv] 2026-08-10 | Quantum Hashing Circuit Optimization for Arbitrary Qubit Connectivity Graphs Based on 1-Covering Path
[arXiv] 2026-08-10 | When Latents Forget Pixels: Restoring Fidelity in Diffusion Transformer Super-Resolution
[arXiv] 2026-08-10 | When the Berezin transform fails to detect compactness: Toeplitz operators with $L^1$ symbols on weighted Bergman spaces
[arXiv] 2026-08-10 | MARA: Flow-Matching-Guided Multi-Agent Resource Allocation for Computational Resource Efficient Learning
[arXiv] 2026-08-10 | Critical $p$-Laplace equations with monotone coefficients: Liouville classification and a Schoen-type Harnack inequality
[arXiv] 2026-08-10 | Longest convex chains with i.i.d. points
[arXiv] 2026-08-10 | Exact Periodicity, Surjectivity, and a Haar Limit Law for a Restarting Josephus Process
[arXiv] 2026-08-10 | A Multi-Scale Temporal Framework with Dynamic Fusion for EEG-Based Emotion Recognition
[arXiv] 2026-08-10 | Joint Lyapunov Certificates for K-Agent Generative AI Governance: Stochastic Stability, Emergent Ensemble Risk, and Zero-Knowledge Governance Attestation
[arXiv] 2026-08-10 | An extension theory and semidirect sums for nearrings
[arXiv] 2026-08-10 | Knot your average qutrit: Measurement-induced entanglement splitting and the cabling dictionary for GHZ and W States
[arXiv] 2026-08-10 | Two-Step MV-DeepONet: Probabilistic Operator Learning for Uncertainty Propagation Driven by Random Input Fields
[arXiv] 2026-08-10 | Pseudo2CodeQA: A Benchmark for LLM-Based Structured Algorithmic Reasoning in Code Generation
[arXiv] 2026-08-10 | Rickard's question on standard derived equivalences
[arXiv] 2026-08-10 | Don't Scroll Back: Missing-Evidence Memory for Streaming Dialogue Summarization
[arXiv] 2026-08-10 | Anharmonic dephasing in the electron-phonon interaction
[arXiv] 2026-08-10 | Is the ACL Responsible NLP Checklist a Box-Ticking Exercise? A Large-Scale Analysis of EMNLP 2025
[arXiv] 2026-08-10 | SoftmaxGRPO: Learning to Reason using Softmax Advantage Group Estimation
[arXiv] 2026-08-10 | Distributed Team Orchestration via Supervisor Networks: Convergence, Optimality, and Resilience
[arXiv] 2026-08-10 | Annihilator Digraphs and Extended Zero-Divisor Digraphs of Semigroups and Rings
[arXiv] 2026-08-10 | On Energy Laws and Stability of First-Subdiagonal Pade Approximants for Linear Seminegative Problems
[arXiv] 2026-08-10 | Stroboscopic Raman Spectroscopy of Atom Optics in Quasi-Bragg Regime
[arXiv] 2026-08-10 | Omni2LoRA: Coherence-Preserving Parametric Memory for Efficient Omni Language Models
[arXiv] 2026-08-10 | PatchHead: Learning Spatial Patch Evidence for Generalizable AI-Generated Image Detection
[arXiv] 2026-08-10 | Reading Cognition as Decisions Unfold in Words: A Factorized Inverse Decision Model
[arXiv] 2026-08-10 | A New Lower Bound for Online Vertex Cover under Vertex Arrivals
[arXiv] 2026-08-10 | Exchange-induced suppression of superconductivity in a nano-skyrmion lattice - superconductor hybrid
[arXiv] 2026-08-10 | Signature-Guided Capacity Occupancy for Dense Expert Merging
[arXiv] 2026-08-10 | SiriusDeliver: Automating Data Warehouse Delivery at Tencent
[arXiv] 2026-08-10 | Perception Before Supervision: Self-Contained Visual Distillation from Counterfactual Blind Spots
[arXiv] 2026-08-10 | Wavenumber-Domain Virtual Arrays for Holographic Near-Field Localization
[arXiv] 2026-08-10 | Substrate-dependent thermally driven morphological evolution of Pt$_{0.9}$Ni$_{0.1}$ thin films on sapphire and langasite
[arXiv] 2026-08-10 | On the $β=2$ Partition function for Dirichlet $L$-functions in the $q$-aspect
[arXiv] 2026-08-10 | Fairness in Link Prediction Beyond Demographic Parity: A Reproducibility Study
[arXiv] 2026-08-10 | The Fate of Large Scale White Noise in Second-Order Cosmological Perturbation Theory
[arXiv] 2026-08-10 | Eigenforms and special holonomy
[arXiv] 2026-08-10 | Safe Start: Configuring Optimization Algorithms for Decision-Making under Extreme Risks
[arXiv] 2026-08-10 | Vehicle Platooning
[arXiv] 2026-08-10 | Agentic Auto-Research is Fuzz Testing
[arXiv] 2026-08-10 | Tensor network methods for non-perturbative dynamics of open quantum systems
[arXiv] 2026-08-10 | The Galactic Neutrino Sky: Predictions from Gamma-ray Source Populations
[arXiv] 2026-08-10 | Real-Time Climate Risk Assessment for Supply Chain Resilience: A Data-Driven Nowcasting Framework for Colombian Agriculture
[arXiv] 2026-08-10 | Inevitable shock formation for 3-D compressible Euler flows
[arXiv] 2026-08-10 | Mismatch Matters: On-Policy Distillation Beyond Token Agreement
[arXiv] 2026-08-10 | RA-FinBERT: Rule-aware LoRA adaptation for low-resource financial sentiment classification
[arXiv] 2026-08-10 | An upper bound for the purity of absolutely positive partial transpose states
[arXiv] 2026-08-10 | Blocking codimension-one simplices on the moment curve
[arXiv] 2026-08-10 | Convergence of Galerkin approximations based on asymmetrically-weighted Hermite functions for the Vlasov-Poisson system
[arXiv] 2026-08-10 | Distill Skills into Weights, Not Prompts: Abstract Skills as Privileged Signals for On-Policy Self-Distillation
[arXiv] 2026-08-10 | Longitudinal Bayesian networks for assessing team performance in the National Basketball Association
[arXiv] 2026-08-10 | An open-source, scalable workflow for organizing echosounder data for machine learning applications
[arXiv] 2026-08-10 | Hierarchical Fast--Slow ReAct Agent for Zero-Shot Object-Goal Navigation
[arXiv] 2026-08-10 | From Barren Plateaus to SPSA Optimization in Variational Quantum Eigensolvers
[arXiv] 2026-08-10 | Autonomous Lindblad Realizability of Nonunitary Linear Dynamics with a Carleman Lattice Boltzmann Application
[arXiv] 2026-08-10 | Parameter Exploration for RLVR via Variational Learning
[arXiv] 2026-08-10 | Closed-form thermal threshold functions for the proper-time renormalisation group
[arXiv] 2026-08-10 | CARD: Controlled Agentic Reddit Discussions for Credit Card Simulation
[arXiv] 2026-08-10 | On B-Colorings in Planar Graphs
[arXiv] 2026-08-10 | Degeneracy: From Graphs to Matroids
[arXiv] 2026-08-10 | verdi: retrieval is not transfer for continual world model optimization
[arXiv] 2026-08-10 | Rooted Gibbs-DLR Measures in Planar Directed Polymers
[arXiv] 2026-08-10 | TCS-BENCH: Benchmarking State-of-the-Art Generative AI Theoretical Computer Science Research Ability
[arXiv] 2026-08-10 | ITO: Real-time Browser Tab Orchestration Through Intent Detection
[arXiv] 2026-08-10 | A Highly Accurate Fast Decoding Framework for QLDPC codes Accelerated by Noise Perturbation and Ensemble Decoding
[arXiv] 2026-08-10 | Classification of anomalous actions of finite groups with the Rokhlin property
[arXiv] 2026-08-10 | FlowGRN: Scalable and Dropout-Robust Gene Regulatory Network Inference via Flow Matching-Based Trajectory Reconstruction (Technical Report)
[arXiv] 2026-08-10 | Capacitary estimates for solutions to nonlocal Dirichlet problems
[arXiv] 2026-08-10 | Quantum sensing composite excitations in an anisotropic ferromagnet via a qubit
[arXiv] 2026-08-10 | One Model to Magnify Them All: Efficient Scale-Invariant Histopathology via Conditional Normalization and Continuous Magnification Training
[arXiv] 2026-08-10 | Decompositions of Griess algebras beyond the OZ-setting
[arXiv] 2026-08-10 | AGN activity in nearby disk galaxies: the roles of bar strength and spiral-arm morphology
[arXiv] 2026-08-10 | Search-Based Generation of Undetected Quantum Circuit Mutants
[arXiv] 2026-08-10 | Hadron-quark phase transitions along proto-neutron-star evolution
[arXiv] 2026-08-10 | Measuring the Tokenization Premium: A Cost Audit for Underserved Language Communities
[arXiv] 2026-08-10 | Stealing Reasoning Traces from Proprietary LLM APIs
[arXiv] 2026-08-10 | Theoretical Analysis of Thermodynamic Matrix Inversion: First-order Equivalence to Preconditioned Gradient Descent and Implications for Analog Computing
[arXiv] 2026-08-10 | The Tilting Mode: A New Degree of Freedom for Magneto-Mechanical Resonator Sensors
[arXiv] 2026-08-10 | Real-Time Nonlinear MPC via Sequential Quadratic Programming with Structure-Exploiting ADMM and Interior-Point Methods for Underactuated Double-Pendulum Swing-Up
[arXiv] 2026-08-10 | Security of quantum key distribution with passive basis choice and detection-efficiency mismatch for a realistic satellite setup
[arXiv] 2026-08-10 | Flow-based conditional cardiac anatomy generation for virtual cohorts
[arXiv] 2026-08-10 | Evidence for Counterfactual Violation of Local Conservation Laws in Quantum Events
[arXiv] 2026-08-10 | Realization Variance of Gravitational Wave Background Anisotropies from Shot Noise for Pulsar Timing Arrays
[arXiv] 2026-08-10 | AES-Debye: an Accurate, Efficient, and Scalable Engine for Debye Scattering Calculations
[arXiv] 2026-08-10 | Full-Wave Harmonic Balance Framework for Dispersive Time-Varying Photonic Structures
[arXiv] 2026-08-10 | Superlinear Lower Bounds for Monochromatic Path Partitions
[arXiv] 2026-08-10 | Competitive mediator games and urban CAV routing markets
[arXiv] 2026-08-10 | Anomalous temperature dependence of polaron mobility in a nonlinear double-well potential: unbiased X-propagator approach
[arXiv] 2026-08-10 | Financial Numerical Prediction and Allocation as Token Generation
[arXiv] 2026-08-10 | Maximizing the algebraic connectivity of graphs of given order and size: a proof of a conjecture of Kolokolnikov
[arXiv] 2026-08-10 | Comprehending Python Repetition Structures: An Eye-Tracking Study with Novice Developers
[arXiv] 2026-08-10 | Sharp spectral constants for scaled $q$-numerical ranges
[arXiv] 2026-08-10 | The Earth Moves, But So Does the Bias: Systematic Upward Bias of the Wasserstein (Earth Mover's) Distance and Permutation-Based Null Calibration
[arXiv] 2026-08-10 | Entanglement-Free Trajectory Planning for Tethered Mobile Robots with a Slack Tether
[arXiv] 2026-08-10 | On the Renormalization in Conformal Quantum Gravity
[arXiv] 2026-08-10 | Grothendieck weights and K-theoretic positivity for matroids
[arXiv] 2026-08-10 | From Diagnosis to Correction: Benchmarking and Improving Real-World Table Parsing
[arXiv] 2026-08-10 | Bijectivity analysis of rational T-spline surfaces via Bernstein representations
[arXiv] 2026-08-10 | Alpha Particle Induced Collision Cascade Fusion
[arXiv] 2026-08-10 | Macaron-V1: Towards Open Continual Learning with Self-Improvement and Mixture-of-LoRA
[arXiv] 2026-08-10 | WRAP: Wasserstein-Robust Adaptive Plug-in for Robot Localization
[arXiv] 2026-08-10 | Where Treewidth and Pathwidth Diverge: Towards a Uniform Kernel for Pathwidth-$η$ Deletion
[arXiv] 2026-08-10 | SpecPath: Testing Coding Agents Across Contract-Equivalent Specification Histories
[arXiv] 2026-08-10 | Predictive Simulation of Interphases on Li Metal Surface
[arXiv] 2026-08-10 | Balancing fractional Brownian motion
[arXiv] 2026-08-10 | Superconductivity, pseudogap and marginal Fermi liquid in a relative-momentum-local theory
[arXiv] 2026-08-10 | Pulsar Timing Array Sensitivity to Anisotropy: Empirical Sensitivity Curves, Scaling Relations, and the Multi-Resolution Pixel Basis
[arXiv] 2026-08-10 | Abstract Compilation as Abstraction of Operator Semantics, applied to Cost Analysis
[arXiv] 2026-08-10 | Two-sided estimates of Lyapunov exponents for Milstein schemes of non-autonomous stochastic differential equations
[arXiv] 2026-08-10 | Formation of trapped surfaces for the spherically symmetric Einstein-Yang-Mills system with non-trivial incoming data
[arXiv] 2026-08-10 | Rethinking Factor Sharing in Federated LoRA: A Rank-Aware Adaptive Approach
[arXiv] 2026-08-10 | Security Tests as Executable Specifications for LLM Code Generation: Benefits, Trade-offs, and Coverage Limits
[arXiv] 2026-08-10 | Heegaard Floer knot trace invariants, exotic 4-manifolds, and symplectic obstructions
[arXiv] 2026-08-10 | Aicir: A Full-Stack Quantum Circuit Simulator with AscendNPU Support
[arXiv] 2026-08-10 | Comparing Tobit and Two-Part Hurdle Models for Semi-Continuous Longitudinal Data with an Application to Clonal Hematopoiesis
[arXiv] 2026-08-10 | Exact Exponential-Moment Thresholds for Nonlinear Mean-Reverting Diffusions
[arXiv] 2026-08-10 | Not R Kurvature: Beating Large-Scale White Noise
[arXiv] 2026-08-10 | The rank of the $5\times 5$ permanent tensor is sixteen
[arXiv] 2026-08-10 | Matryoshka Language Model Suites
[arXiv] 2026-08-10 | Cross-frequency SGWB anisotropy from compact topology: CMB B-mode covariance as a transfer probe
[arXiv] 2026-08-10 | Spread of Entanglement in Generalized Kicked Ising Chain
[arXiv] 2026-08-10 | Collective-dissipation-induced dark and metastable-like states for enhanced quantum battery performance
[arXiv] 2026-08-10 | Evaluating Generative Time-Series Models on Data with Point Masses
[arXiv] 2026-08-10 | Recurrent Neural Networks Beyond Time: Learning from Multiple Ordered Projections
[arXiv] 2026-08-10 | FedOrbit: Adaptive Personalized Federated Learning for Non-IID LEO Satellite Constellations
[arXiv] 2026-08-10 | Klingenberg's theorem on Anosov geodesic flows
[arXiv] 2026-08-10 | Open Evaluation Agent: Efficient and Promptable Evaluation of Visual Generative Models
[arXiv] 2026-08-10 | Recoiling Black Holes I. Burst of Observables
[arXiv] 2026-08-10 | Hallucination-Free GUI Grounding via Regression-Free Layout-Aware Matching
[arXiv] 2026-08-10 | Exact boundary controllability of a singular/degenerate wave equation via singular Sturm-Liouville theory
[arXiv] 2026-08-10 | Reconstruction of ASO-S/HXI Solar Flare Hard X-ray Source Images with Physics-Constrained Deep Networks
[arXiv] 2026-08-10 | IntHQ: Task-Interactive Hierarchical Query on Dual-Stream Representations for Generative Recommendation
[arXiv] 2026-08-10 | A remark on Weyl-type bounds for Steklov eigenvalues
[arXiv] 2026-08-10 | A Spatial Fay-Herriot Model when the Auxiliary Variables are based on Non-traditional Data
[arXiv] 2026-08-10 | Diffusion Maps Kernel Ridge Regression
[arXiv] 2026-08-10 | Symmetry Breaking by Interfacial Dead Layers: Observation of Forbidden Self-Induced Spin-Orbit Torque in Symmetric Ferromagnets
[arXiv] 2026-08-10 | Memory-Generated Transport Geometry: Curvature, Holonomy, and Irreversibility
[arXiv] 2026-08-10 | Choquet-type extension theory of set-pair functions, and applications to graph limits, hypergraphs, Riemannian manifolds and metric measure spaces
[arXiv] 2026-08-10 | TSPORec: Token Selection via Preference Optimization for LLM-Based Sequential Recommendation
[arXiv] 2026-08-10 | A block preconditioner with two parameters for double saddle point systems in liquid crystal director modeling
[arXiv] 2026-08-10 | From Sweep to Seam: Interleaved Cross-Block Post-Training Quantization
[arXiv] 2026-08-10 | FactorDrive: Adaptive Multi-Step Reasoning Driven by Planning-Critical Factors for End-to-End Autonomous Driving
[arXiv] 2026-08-10 | Ubiquitous Interstellar Neutral Helium Detected with JWST
[arXiv] 2026-08-10 | Exact solution for the motion of a rigid particle with $\boldsymbol{S_4}$ and $\boldsymbol{C_{2v}}$ symmetry settling under gravity in a viscous fluid
[arXiv] 2026-08-10 | CoRCi: Cross-Reconstruction of Coherent Interests Modeling in Cross-Domain Sequential Recommendation
[arXiv] 2026-08-10 | You Only Flow Once: Calibrated and Real-Time Radar Pose Estimation with Multi-Hypothesis Normalizing Flows
[arXiv] 2026-08-10 | Quantum Uncomputation of Clean and Dirty Ancilla Qubits
[arXiv] 2026-08-10 | Linear Convergence of a Frank-Wolfe-type Method over the Spectrahedron without Strict Complementarity
[arXiv] 2026-08-10 | From Runnable to Verifiable: An Independent Reproducibility Study of LLM/Agent-Driven Vulnerability Validation Artifacts
[arXiv] 2026-08-10 | SECS: A Soft Ensemble-Combining Stage for Low-Latency Decoding
[arXiv] 2026-08-10 | Pragmatic Attack Surface: Vulnerabilities of Implicit Context in Large Language Models
[arXiv] 2026-08-10 | PressureMesh: 3D Human Mesh Estimation from Multi-Device Pressure Images
