[2026-07-29 11:26:57] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[arXiv] 2026-07-28 | Few-Shot Open-Vocabulary Remote Sensing Segmentation via Textual Inversion
[arXiv] 2026-07-28 | Joint Channel Estimation and Data Detection for Multi-LEO-Satellite Cell-Free OTFS Uplinks
[arXiv] 2026-07-28 | Interaction-Endowed PT-Symmetry and its Effects on Decoherence, Einselection, and Non-Markovianity in a Central Spin Model
[arXiv] 2026-07-28 | Sublinear projection tracking in acylindrically hyperbolic groups
[arXiv] 2026-07-28 | The Influence of Dust Composition on Accretion Outbursts
[arXiv] 2026-07-28 | From real polymers to random graphs: percolation thresholds in associative polymer solutions
[arXiv] 2026-07-28 | Multi-Scale Structural Features for Continual, Comprehensible Visual Recognition in a Developmental Learning Framework
[arXiv] 2026-07-28 | Error Estimates for a Linear Fully-Discrete Finite Element Method for the Ferromagnetic Magnetohydrodynamical Model
[arXiv] 2026-07-28 | A Causality-aware Infer-diagnose-refine Framework for Test-time Modality Adaptation in VLA Models
[arXiv] 2026-07-28 | Chemistry of Dark Molecular Clouds
[arXiv] 2026-07-28 | Group Equivariant Diffusion for Anomaly Detection in Computational Cytology
[arXiv] 2026-07-28 | Anti-Backdoor Coreset Selection via Cumulative Entropy
[arXiv] 2026-07-28 | Beyond Prefill-Decode Disaggregation: Dissecting LLM Inference for Heterogeneous Platforms via Dynamic Operator Scheduling
[arXiv] 2026-07-28 | Automated Numerical Stability Analysis of Deep Learning Operators
[arXiv] 2026-07-28 | Quantum Speedups for Stochastic Optimization with Heavy-Tailed Noise
[arXiv] 2026-07-28 | CoTinyVLA: Chain-of-Thought Distillation for a Sub-Billion-Parameter Vision-Language-Action Model
[arXiv] 2026-07-28 | Integrated Framework for Long-term Elective Surgery Management under Uncertainty: From Strategic to Tactical Planning
[arXiv] 2026-07-28 | Photon Gas Thermodynamics in Doubly Special Relativity at the Planck Scale
[arXiv] 2026-07-28 | Algorithm-Driven Information Similarity and Collective Action: An Experimental Study
[arXiv] 2026-07-28 | Initial algebras from constructive ordinals
[arXiv] 2026-07-28 | Disconnectivity in Multistationarity Regions of Cascade of Goldbeter--Koshland Loops
[arXiv] 2026-07-28 | Reading Legends on Ancient Coins: An Object Detection Approach for Character Recognition on a Novel Roman Republican Dataset
[arXiv] 2026-07-28 | Memory Effect for deformed gravitational waves
[arXiv] 2026-07-28 | CoRenew: A large language model agent-based policy simulation platform for multifamily residential redevelopment
[arXiv] 2026-07-28 | Quantum estimates for classical polynomial optimization
[arXiv] 2026-07-28 | On an asymmetric additive energy inequality
[arXiv] 2026-07-28 | Robust Unsupervised Network Intrusion Detection via Federated Learning with Selective Aggregation under Anomalous Sample Contamination
[arXiv] 2026-07-28 | On the Cost of Entrainment in Protein Translation
[arXiv] 2026-07-28 | SafeStats: Efficient 2PC Protocols for Data Statistic-Related Functions
[arXiv] 2026-07-28 | Salient Knowledge Pathways: Sparse Cross-Modal Routing for Efficient Knowledge-Intensive Multimodal Question Answering
[arXiv] 2026-07-28 | A Hierarchical Stochastic Model Predictive Control Framework for Integrated Request-aware Charge Scheduling and Service Allocation
[arXiv] 2026-07-28 | A Numerical Investigation of the Rayleigh-Faber-Krahn Inequality for Polyhedral Domains
[arXiv] 2026-07-28 | A Control System, a Dataset, and a Recipe for Making Frozen LLM Agents Learn a Domain
[arXiv] 2026-07-28 | A minimally nonperfectly divisible graph with a bisimplicial vertex
[arXiv] 2026-07-28 | Polaris: a flexible stellarator demonstration experiment with simple modular coils
[arXiv] 2026-07-28 | Extreme values of quadratic Dirichlet $L$-functions with prime-related moduli
[arXiv] 2026-07-28 | Raikov Remainders of Quotients by Raikov-Complete Almost Metrizable Normal Subgroups
[arXiv] 2026-07-28 | COVENANT: Natural-Language Workflow Compilation for Aligned Agent Execution
[arXiv] 2026-07-28 | Decompose and Reorganize: Planning with Primitives and Visuomotor Policies Learned from Demonstrations
[arXiv] 2026-07-28 | Noise-Free One-Step LoRA for Task-Driven Image Restoration with Diffusion Priors
[arXiv] 2026-07-28 | Reciprocal theorem for ion-releasing colloidal particles
[arXiv] 2026-07-28 | Validation of methods to estimate the uncertainty of buildings energy savings in a controlled numerical setting and Bayesian energy signature with autocorrelated errors
[arXiv] 2026-07-28 | Large Language Model for Operations Research Formulation Selection in Multi-Warehouse Inventory Allocation
[arXiv] 2026-07-28 | Asymptotically sharp bounds for affine subspace statistics in $\mathbb F_2^n$
[arXiv] 2026-07-28 | Length-Constrained Network Design in Planar Digraphs
[arXiv] 2026-07-28 | Gromov-Hausdorff Limits of Noncollapsed Kähler-Ricci Flows and the Geometry of Ricci Shrinkers
[arXiv] 2026-07-28 | On certain $D(9)$ and $D(64)$ Diophantine triples
[arXiv] 2026-07-28 | Random Trees in Hyperbolic FPP
[arXiv] 2026-07-28 | Room-Mediated Co-occurrence for Zero-Shot Object-Centric Semantic Navigation via Frontier Scoring
[arXiv] 2026-07-28 | Topological Classification of Non-Normalizable Vector Fields
[arXiv] 2026-07-28 | Specula: Scaling formal specifications for autonomous model checking of system code
[arXiv] 2026-07-28 | Form factors of the $ρ$-meson in chiral perturbation theory
[arXiv] 2026-07-28 | Tunable state-dependent interactions in collisionally stable mixtures of polar molecules
[arXiv] 2026-07-28 | Roadside units placement for total travel time minimization in I2X-enabled road networks based on a dynamic traffic flow model
[arXiv] 2026-07-28 | PILA: Plug-and-Play Insertion for LLM-native Advertising
[arXiv] 2026-07-28 | Sharpness-Aware Minimization and Muon: Robustness under the Spectral Norm
[arXiv] 2026-07-28 | Multi-Solver Coupling for Parallel Adaptive Multi-Physics Simulations with Trixi$.$jl and deal$.$II
[arXiv] 2026-07-28 | Long-wave instability of periodic shear flows with constant magnetic field for the 2D resistive MHD equations
[arXiv] 2026-07-28 | Extending Biconnected Straight-Line Planar Drawings
[arXiv] 2026-07-28 | On the magnitude, sign and ranking of recanting-twin path-specific effects
[arXiv] 2026-07-28 | Landau Levels on the Surface of a Cube
[arXiv] 2026-07-28 | Reinformed Dreamer: An Asymmetric World Model Efficiently Trained through Latent Guidance
[arXiv] 2026-07-28 | Equi-Entropic Maps for Four-Partite Quantum States
[arXiv] 2026-07-28 | Toward 3D orbits of wide sdO/B binaries I. Six composite systems spatially resolved with VLTI/GRAVITY
[arXiv] 2026-07-28 | A Unifying Framework for Quasi-Polynomial Optimization of Fixed-degree Polynomials
[arXiv] 2026-07-28 | On the Vanishing of the Brauer-Manin Obstruction for Normic Bundles
[arXiv] 2026-07-28 | The coupling flow for supergravity
[arXiv] 2026-07-28 | On the $2$-Bend Slope Number of $1$-Planar Graphs
[arXiv] 2026-07-28 | A Hodge Theoretic Generalization of $\mathbb{Q}$-Homology Manifolds II: Local Complete Intersections
[arXiv] 2026-07-28 | Open-Ended CT Volume Segmentation with Weak Supervision from Language
[arXiv] 2026-07-28 | A Citizen Science Search for Compact Emission Line Nebulae
[arXiv] 2026-07-28 | Shieldstral
[arXiv] 2026-07-28 | Binary-induced mass increase and helium enrichment of the envelopes of Type~IIP supernova progenitors
[arXiv] 2026-07-28 | C-RE-ACT: Causal RE-ACTing Agent for O-RAN Forensic Triage
[arXiv] 2026-07-28 | CHILL-Harness: Counterfactual Harness Learning for Efficient Reasoning in Long-Horizon Agents
[arXiv] 2026-07-28 | Optimal Quantum Eigenvalue Transformation via Linear Combinations of Hermitian Matrices
[arXiv] 2026-07-28 | The Ultimate Ishii-Pastur Theorem for Whole-Line Ergodic Block Jacobi Operators
[arXiv] 2026-07-28 | Integrating moment tensor potentials with finite-element modeling for heat transfer prediction in FLiBe-based molten salt systems
[arXiv] 2026-07-28 | Efficient Lindbladian Learning from Constant-Time Pauli Responses
[arXiv] 2026-07-28 | The Model in the Middle: Toward AI-Native Real-Time Communication
[arXiv] 2026-07-28 | Towards Faithful Sentimental Image Captioning via Evidence-Aware Multi-Agent Reasoning
[arXiv] 2026-07-28 | Variance-Reduced Conditional Gradient Methods under Markovian Sampling for Nonconvex Composite Optimization
[arXiv] 2026-07-28 | Calculating the Expected Value of Sample Information accounting for missing data
[arXiv] 2026-07-28 | Crack-Tip Opening as a Probe for Length-Scale Separation in Geometrically Nonlinear Solids
[arXiv] 2026-07-28 | The Lunar Farside Transients and Technology Telescope (LFT3) Mission
[arXiv] 2026-07-28 | Jacobi polynomials on the simplex of Hermitian matrices and zonal spherical functions on partial flag manifolds
[arXiv] 2026-07-28 | Quantum oscillation spectroscopy of Fermi-surface topologies in tetralayer graphene
[arXiv] 2026-07-28 | Cooperative Multi-UAV Navigation in Complex Environments via Systematic Multi-Agent Deep Reinforcement Learning
[arXiv] 2026-07-28 | Heavy and heavy-light mesons with arbitrary spin and parity in the Covariant Spectator Theory
[arXiv] 2026-07-28 | Classically Augmented Zero-Noise Extrapolation
[arXiv] 2026-07-28 | Late-Time Cosmological Tests of a Minisuperspace Generalized-Uncertainty-Principle Deformation
[arXiv] 2026-07-28 | Physical Mechanism of Vacuole Formation in Liquid Droplets
[arXiv] 2026-07-28 | Tri-Manual Visuomotor Imitation Learning of Robot Policies
[arXiv] 2026-07-28 | Shared Voxel-Map-Based Cooperative Indoor UAV Guidance with a Multi-Agent Soft Actor-Critic Controller
[arXiv] 2026-07-28 | Path-length dependence of parton energy loss across collision systems: a Bayesian analysis of charged-particle RAA, consistent with a universal exponent from O+O to Pb+Pb
[arXiv] 2026-07-28 | Nudging Sustainable Choices through LLM-Generated Recommendation Explanations
[arXiv] 2026-07-28 | Quantum metric quadrupoles in elemental bismuth thin films
[arXiv] 2026-07-28 | Small-scale polarization variations in near-inertial deep Mediterranean horizontal waterflow
[arXiv] 2026-07-28 | SpeechLLM Meets Federated Learning for End-to-End ASR: English and Italian Case Studies
[arXiv] 2026-07-28 | Laser induced optical reconfiguration in Ge_Sb_Te Films with composition dependent response
[arXiv] 2026-07-28 | Impact Detection in Fall Events: Leveraging Spatio-Temporal Graph Convolutional Networks and Recurrent Neural Networks Using 3D Skeletons Data
[arXiv] 2026-07-28 | Categories of tagged lenses
[arXiv] 2026-07-28 | Analysis and Optimal Design of Equilibria in the Vlasov-Poisson System
[arXiv] 2026-07-28 | Parameter Estimation of the Stochastic Allen--Cahn Equation via variations
[arXiv] 2026-07-28 | How haptic feedback enables human group synchronization
[arXiv] 2026-07-28 | Face Structure in Partial Facial Reduction of Semidefinite Relaxations of Binary Programs
[arXiv] 2026-07-28 | SignDeepSC: A Semantic Signature-based Approach for Robust Semantic Communication
[arXiv] 2026-07-28 | The 95 GeV Excess in Models with Two Higgs Doublets plus One Singlet: Model Distinction via Four-top Final States and Triple Higgs Couplings
[arXiv] 2026-07-28 | MemSFT: Mitigating Alignment Tax with an External Parametric Memory
[arXiv] 2026-07-28 | Beyond Self-Knowledge: Propagating Uncertainty Across Reasoning and Retrieval in LLMs
[arXiv] 2026-07-28 | Distribution of the magnetic field relative to the plane of the Galaxy in the region of the Sagittarius spiral arm
[arXiv] 2026-07-28 | Finite-temperature Lanczos for anisotropic spin systems using triple-hybrid high-performance computing
[arXiv] 2026-07-28 | Crustal and upper mantle model of the Middle East based on full-waveform inversion
[arXiv] 2026-07-28 | IRIS: Reusable Identity Representations from Frozen LLMs for Entity Alignment
[arXiv] 2026-07-28 | "Dragon Slayer Becomes the Dragon": How Players Perceive and Respond to Inequality in the Game World of Whiteout Survival
[arXiv] 2026-07-28 | The LAIA Dataset: Labelled Attention for Intelligent Automobiles
[arXiv] 2026-07-28 | CORF-GS: Real-Time Wireless Radiance Field Reconstruction via Coupled Optical-RF Gaussian Splatting
[arXiv] 2026-07-28 | ARCHER: Agentic Rule and Compliance Harness for Executable Regulations
[arXiv] 2026-07-28 | ReDesign: Recovering Editable Design Structures from Images via Agentic Decomposition
[arXiv] 2026-07-28 | Ultradilute quasi-two-dimensional Bose-Bose liquid mixtures
[arXiv] 2026-07-28 | The Information Rate of Fiber-Wireless Communication Systems Based on Photonic Generation of RF Signals
[arXiv] 2026-07-28 | OrthKD: Extracting Generalized Clinical Knowledge from Heterogeneous Teachers for Lightweight Deployment
[arXiv] 2026-07-28 | Finding the noise: Zero-shot AI Music Detection
[arXiv] 2026-07-28 | Harmonic analysis on compact standard quotients of non-Riemannian semisimple symmetric spaces
[arXiv] 2026-07-28 | Geometry resolved atomic oxygen risk assessment for very low earth orbit spacecraft
[arXiv] 2026-07-28 | Type A Nilpotent Hessenberg varieties with Hessenberg function $h(i)\le i+1$
[arXiv] 2026-07-28 | Hypernatural numbers in arithmetic Ramsey theory
[arXiv] 2026-07-28 | From weakly to strongly-interacting driven-dissipative bosons in one dimension
[arXiv] 2026-07-28 | Phase Structure in Rotary Attention: A Spectral Framework for Semantic Continuity and Execution-Boundary Governance
[arXiv] 2026-07-28 | From sLLG to Fokker-Planck: Accurate WER Modeling for Non-Axisymmetric MRAM Devices
[arXiv] 2026-07-28 | WASP: A Configurable Framework for Portable Stateful Serverless Applications
[arXiv] 2026-07-28 | An Exact Obstruction to Uniform Average Mixing on $P_{11}$
[arXiv] 2026-07-28 | Coevolution of epidemic dynamics and network topology driven by disease fatality and waning immunity
[arXiv] 2026-07-28 | Anisotropic domain wall velocity profiles in the creep regime: the interplay of chiral damping, stiffness and Dzyaloshinskii-Moriya interaction
[arXiv] 2026-07-28 | Seen, Said, or Forgotten? A Causal Audit of Visual KV Memory Across Dialog Turns
[arXiv] 2026-07-28 | Ab initio lattice calculation of nuclear magnetic dipole moments with systematic error quantifications
[arXiv] 2026-07-28 | A universal diffuse interface modeling framework for surfactants
[arXiv] 2026-07-28 | Exact discrete-adjoint optimization of trap timing and placement in a Stieltjes-time reaction-diffusion model: A Galicia case study
[arXiv] 2026-07-28 | Emergence of minimal chimera in uncoupled oscillators under common frequency-modulated driving: Theory and experiment
[arXiv] 2026-07-28 | Toward an Organizational Science of Multi-Agent LLM Systems: Decoupling Who, How, and Which Algorithm
[arXiv] 2026-07-28 | Poroelastic aquifer response drives seasonal vertical land motion in southern Louisiana
[arXiv] 2026-07-28 | A matroidal criterion for flow polytopes to be order polytopes
[arXiv] 2026-07-28 | Imaging the Néel Vector in Two-Dimensional Antiferromagnets using Antisymmetric Compton Scattering
[arXiv] 2026-07-28 | Notes on a paper by F. Génot and B. Brogliato on the Painlevé paradox
[arXiv] 2026-07-28 | The category of necklaces is a test category
[arXiv] 2026-07-28 | HANDBOOK.md: A Benchmark for Long-Context Agentic Instruction Following
[arXiv] 2026-07-28 | A smooth projective counterexample to Bondal-Polishchuk's conjecture
[arXiv] 2026-07-28 | SGTP: Sampling-based Game-Theoretic Planning for Real-Time Multi-Vehicle Autonomous Racing
[arXiv] 2026-07-28 | Learned, Relied Upon, or Necessary? Separating Checkpoint Dependence from Task-Level Value in Sheaf GNNs
[arXiv] 2026-07-28 | Beyond endoscopy for the symmetric square representation: The simple trace formula case
[arXiv] 2026-07-28 | Memory for Large Language Models
[arXiv] 2026-07-28 | Cyber-Capable AI Agents: Vulnerabilities, Evaluation Containment, and Defensive Response
[arXiv] 2026-07-28 | Rethinking Likelihood distributions: Student's t Likelihood Boosts Bayesian Neural Network Performance
[arXiv] 2026-07-28 | Logarithmic Aging Diffusion from a Multiplicative Event Clock: Rare Event Statistics, Ultraslow Transport, and Ensemble-Time Inequivalence
[arXiv] 2026-07-28 | Hyperspectral Intrinsic Decomposition: Joint Recovery of Reflectance and Photometric Components for Non-Lambertian Scenes
[arXiv] 2026-07-28 | PanoLess: Environment Reconstruction from Partial Reflective Views
[arXiv] 2026-07-28 | The Case Against Generation for Retrieval: Discriminative Language Models as Effective Retrievers
[arXiv] 2026-07-28 | Remote entanglement of massive oscillators via wire-mediated Coulomb interaction
[arXiv] 2026-07-28 | SPARC: Sequence-aware Progressive Attribute Routing and Compression Framework for Generative Recommendation
[arXiv] 2026-07-28 | Grevo: A Unified Generative Recommendation Framework with Evolutionary Item Indexing
[arXiv] 2026-07-28 | NFR-to-Code Traceability in a Blockchain-IoT System: An Empirical Study
[arXiv] 2026-07-28 | Human-in-the-Loop Signature Bootstrapping for UAV Hyperspectral PFM-1 Mine Detection
[arXiv] 2026-07-28 | Actualization, Records, and the Emergence of Entropic Time
