[2026-06-10 12:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | Dynamic inverse problems: Single-loop online algorithms
[arXiv] 2026-06-09 | From Electroculture to Plasma Agriculture: A Three-Century Arc Bridging Bertholon's Legacy with Contemporary Farming Advances
[arXiv] 2026-06-09 | Well-Posedness Of Second-Order Evolution Equations With Non-Integrable And Degenerate Coefficients In Weighted Lp-Spaces
[arXiv] 2026-06-09 | Beyond Coverage and Kill Scores: Empirically Measuring Test Suite Behavioural Gaps
[arXiv] 2026-06-09 | RATrain: A Resource-Aware Training Runtime for Large Language Models on Bandwidth-Constrained Heterogeneous Supercomputing Platforms
[arXiv] 2026-06-09 | A Unified Multi-Modal Framework for Intelligent Financial Systems: Integrating Reinforcement Learning, High-Frequency Trading, and Game-Theoretic Approaches with Cross-Modal Sentiment Analysis
[arXiv] 2026-06-09 | Chromospheric magnetic field extrapolations reveal the flux-rope configuration of a solar filament
[arXiv] 2026-06-09 | Orthogonal degree-similarity of edge-deleted strongly regular graphs
[arXiv] 2026-06-09 | KCSAT-ML: Probing Reasoning Models with Nationwide-Cohort Human Difficulty
[arXiv] 2026-06-09 | Nonlinearization of bilinear equations of the sine-Gordon type, nonlinear Schrödinger type and Benjamin-Ono type
[arXiv] 2026-06-09 | STAGE-Claw: Automated State-based Agent Benchmarking for Realistic Scenarios
[arXiv] 2026-06-09 | On a Conjecture of Shapiro
[arXiv] 2026-06-09 | Beyond Static Evaluation: Co-Evolutionary Mechanisms for LLM-Driven Strategy Evolution in Adversarial Games
[arXiv] 2026-06-09 | SkillResolve-Bench: Measuring and Resolving Same-Capability Ambiguity in Agent Skill Retrieval
[arXiv] 2026-06-09 | Agentic Hybrid RAG for Evidence-Grounded Muon Collider Analysis
[arXiv] 2026-06-09 | SIDInspector: A Mapping-First Diagnostic Resource for Semantic-ID Tokenizers
[arXiv] 2026-06-09 | Flow-based generative models for amortized Bayesian inference in regression and inverse PDE problems
[arXiv] 2026-06-09 | Chiral algebras with abelian conformal part
[arXiv] 2026-06-09 | Higher-order Diffusion Sampling via Chebyshev Interpolation and Gauss--Seidel Iterations
[arXiv] 2026-06-09 | Neural electron backscatter diffraction
[arXiv] 2026-06-09 | Self-Distillation Policy Optimization via Visual Feedback: Bridging Code and Visual Artifacts
[arXiv] 2026-06-09 | Content-Induced Spatial-Spectral Aggregation Network for Change Detection in Remote Sensing Images
[arXiv] 2026-06-09 | The Order Matters: Sequential Fine-Tuning of LLaMA for Coherent Automated Essay Scoring
[arXiv] 2026-06-09 | Communication Skills in Software Engineering: A Multivocal Review
[arXiv] 2026-06-09 | SSL-GMMVC: Interpretable Voice Conversion via Locally Linear GMM Transforms in Self-Supervised Representation Space
[arXiv] 2026-06-09 | On Time-Delay Compensators for Delayed-Output Systems
[arXiv] 2026-06-09 | What Spatial Memory Must Store: Occlusion as the Test for Language-Agent Memory
[arXiv] 2026-06-09 | LLM-Guided Neural Architecture Search for Robust Co-Design of Physical Neural Networks
[arXiv] 2026-06-09 | Constraints on axion-like particles from ultra-high-energy observations of M87 with the HAWC observatory
[arXiv] 2026-06-09 | Improved Representation of Matrix Lie Group Operations through Tensor Notation
[arXiv] 2026-06-09 | Revisiting Positive Samples in Graph Contrastive Learning: From the Perspective of Message Passing
[arXiv] 2026-06-09 | Towards Robust Arabic Speech Emotion Recognition with Deep Learning
[arXiv] 2026-06-09 | Measurement of the branching fraction of $D_{s}^{*+}\to e^{+}e^{-}D_{s}^{+}$
[arXiv] 2026-06-09 | Multiphase images of a powerful supernova-driven wind in the early Universe
[arXiv] 2026-06-09 | Fast-Neutron Irradiation Effect in Heteroepitaxial $β$-Ga$_2$O$_3$ Schottky Diodes Fabricated on Low-Cost Sapphire Substrates
[arXiv] 2026-06-09 | Filamentary Transport and Thermoelectric Effects in Mushroom Phase Change Memory Cells
[arXiv] 2026-06-09 | A Multimodal Domain-Adversarial Network for Fragmentation Background Suppression in AMS Heavy Nuclei Measurements
[arXiv] 2026-06-09 | Normal ordering in string theory and the canonical phase space quantization
[arXiv] 2026-06-09 | Profy: Interpretable Visualization of Expertise-Dependent Motor Skills Toward Supporting Piano Practice
[arXiv] 2026-06-09 | Generalized superderivations of the super Virasoro algebras
[arXiv] 2026-06-09 | GaussTrace: Provenance Analysis of 3D Gaussian Splatting Models with Evidence-based LLM Reasoning
[arXiv] 2026-06-09 | Transient Stability of Offshore Energy Hubs
[arXiv] 2026-06-09 | Hunting for QCD Instantons
[arXiv] 2026-06-09 | LieIPM: Lie Group Interior Point Method for Direct Trajectory Optimization of Rigid Bodies
[arXiv] 2026-06-09 | Benchmarking Knowledge Editing using Logical Rules
[arXiv] 2026-06-09 | Unsupervised Deep Learning for Limited-Angle STEM-EDX Tomography -- Application to 3D Chemical Analysis of Phase-Change Memory Devices
[arXiv] 2026-06-09 | GRAR: Glass-induced Reflection Artifact Removal in LiDAR Point Clouds
[arXiv] 2026-06-09 | Complex VAE with Heavy-Tailed Likelihood for Radar Target Detection in Sea Clutter
[arXiv] 2026-06-09 | Updating the PATH framework with FRB host galaxy models
[arXiv] 2026-06-09 | Circular polarization effects induced by photon-axion mixing in astrophysical environments
[arXiv] 2026-06-09 | Gamma-Ray Emission from the Crab Pulsar: A 17-Year Fermi-LAT Reanalysis
[arXiv] 2026-06-09 | Microscopic evidence for a Zhang-Rice triplet state in the van der Waals antiferromagnet, NiPS$_3$
[arXiv] 2026-06-09 | Act on What You See: Unlocking Safe Social Navigation in Vision-Language-Action Models
[arXiv] 2026-06-09 | A Nonlinear Snell Envelope Representation for Path-Dependent Controller-Stopper Games
[arXiv] 2026-06-09 | Stability and Physical Properties of Compact Stars Beyond Einstein Gravity
[arXiv] 2026-06-09 | A complementary study on PlanGPT: Evaluation with defined Performance Metrics and comparison with a planner
[arXiv] 2026-06-09 | Advancing the State-of-the-Art in Empirical Privacy Auditing
[arXiv] 2026-06-09 | Detecting Speculative Language in Biomedical Texts using Recurrent Neural Tensor Networks
[arXiv] 2026-06-09 | GC-LoRA: Gated Convolutional LoRA for Parameter-Efficient Acoustic Adaptation
[arXiv] 2026-06-09 | The Distributed Detectability Band Against Marginal-Preserving Attacks
[arXiv] 2026-06-09 | EEVEE: Towards Test-time Prompt Learning in the Real World for Self-Improving Agents
[arXiv] 2026-06-09 | Piper: A Programmable Distributed Training System
[arXiv] 2026-06-09 | Sasakian manifolds and spin-c Killing spinors
[arXiv] 2026-06-09 | Multi-Faceted Interactivity Alignment in Full-Duplex Speech Models
[arXiv] 2026-06-09 | ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity
[arXiv] 2026-06-09 | The Yang-Baxter Equation for the Chiral Potts Model and Integrable Parafermions
[arXiv] 2026-06-09 | Strong Approximations for Markov Chains Weakly Converging to Diffusions
[arXiv] 2026-06-09 | Pre-Fault Voltage Discrimination and Time-Domain Protection for Distribution Networks with Inverter-Based Resources
[arXiv] 2026-06-09 | A Resurgent Analytic Framework for Indicial Umbral Calculus via Mellin-Barnes and Borel-Laplace Theories
[arXiv] 2026-06-09 | Resolving SLX 1744-299 and SLX 1744-300 in the hard X-ray band: implications for their ultracompact nature
[arXiv] 2026-06-09 | Overcoming Rank Collapse in Feedback Alignment
[arXiv] 2026-06-09 | Monte Carlo Pass Search: Using Trajectory Generation for 3D Counterfactual Pass Evaluation in Football
[arXiv] 2026-06-09 | Flower-like WO3-modified Vulcan carbon GDEs for photoelectro-Fenton process: Efficient ciprofloxacin degradation and mechanistic insights
[arXiv] 2026-06-09 | FADA: Accessible fetal ultrasound interpretation and annotation with a selectively distilled unified vision-language model
[arXiv] 2026-06-09 | Spatially heterogeneous power-law attenuation with multiple relaxation mechanisms for ultrasound modeling
[arXiv] 2026-06-09 | Edge-regular graphs with non-negative curvature have polynomial growth
[arXiv] 2026-06-09 | Geometric obstructions to Lipschitz transport between weighted Hessian $\mathrm{CD}(κ,\infty)$ manifolds
[arXiv] 2026-06-09 | Matrix element method at NLO: A fine proof of concept in POWHEG
[arXiv] 2026-06-09 | Unifying Local Communications and Local Updates for LLM Pretraining
[arXiv] 2026-06-09 | How to grow a straight filament
[arXiv] 2026-06-09 | T1-Bench: Benchmarking Multi-Scenario Agents in Real-World Domains
[arXiv] 2026-06-09 | CIAware-Bench: Benchmarking Control Intervention Awareness Across Frontier LLMs
[arXiv] 2026-06-09 | Flexible Kernels for Protein Property Prediction
[arXiv] 2026-06-09 | On pseudogap phase as precursor to a superconducting dome in high-Tc cuprates: Non-analytic T* as a function of doping
[arXiv] 2026-06-09 | The Small-scale Structures in the Wind of Messier 82
[arXiv] 2026-06-09 | GapFuzz: Cross-Plane Divergence Fuzzing for Distributed SDN Controllers
[arXiv] 2026-06-09 | AuRA: Internalizing Audio Understanding into LLMs as LoRA
[arXiv] 2026-06-09 | Influence of CeO$_2$MnO$_x$ heterostructure on Hydrogen Peroxide Electrogeneration on Carbon-Based Catalysts
[arXiv] 2026-06-09 | When Discovery Outpaces Remediation: Modeling AI-Accelerated Vulnerability Discovery in Interconnected Systems
[arXiv] 2026-06-09 | Multi-Channel Soil Moisture Measurement: High Accuracy and Low Crosstalk Through Optical-Semiconductor Based Differential Sensing
[arXiv] 2026-06-09 | Who Brought Easter Eggs to Eid? Auditing Cultural Translation of Math Word Problems Across Diverse Languages and Regions
[arXiv] 2026-06-09 | Revealing the topology of quantum states via Kirkwood-Dirac quasiprobabilities
[arXiv] 2026-06-09 | Lipschitz-free spaces and the isomorphism class of Pełczyński's universal basis space
[arXiv] 2026-06-09 | Multi-UAV Active Sensing with Information Gain-based Planning and Belief Fusion
[arXiv] 2026-06-09 | A Structural Separation Between Chernoff and Convex-Order Optimality in Robust Testing
[arXiv] 2026-06-09 | The link between obscured accretion and mildly relativistic precessing jets
[arXiv] 2026-06-09 | Dismantle and Dissolve, (Re)build, Remix: A Research-creation Inquiry into the Political Economy of Graphics Cards
[arXiv] 2026-06-09 | Architect-Ant: Editable Automatic Furnishing of Architectural Floor Plans
[arXiv] 2026-06-09 | Reconfigurable MDI-QKD and BB84 over 20 km optical channels via EOM-tailored weak coherent states
[arXiv] 2026-06-09 | A Neurosymbolic Prolog Skill for LLM-Driven Service Placement
[arXiv] 2026-06-09 | There are matroid toric ideals without quadratic Gröbner bases
[arXiv] 2026-06-09 | Encoding the Euler Characteristic Transform
[arXiv] 2026-06-09 | DMT: Demographic Conditioning, Morphology-Enhanced Transformer for Cuffless Blood Pressure Estimation from PPG Signals
[arXiv] 2026-06-09 | Finite-Time Orientational Relaxation Restructures Collective Motion in Polar Active Matter
[arXiv] 2026-06-09 | Towards Critical Branching Mechanism in Recurrent Neural Networks
[arXiv] 2026-06-09 | Unidirectional Entropic Solutions of the Pressureless Euler Alignment System
[arXiv] 2026-06-09 | Camera-enabled scalable homodyne detection of multimode quantum light
[arXiv] 2026-06-09 | Nonequilibrium Green Functions Simulations for Large Correlated Systems
[arXiv] 2026-06-09 | Simplicity of q-Gaussian C*-algebras
[arXiv] 2026-06-09 | On the Localization of Checkerboarding in Multiaxial Stress Regions under SIMP Penalization
[arXiv] 2026-06-09 | Anchors that Don't Lift: Understanding Supply Chain Driven Kernel Lock-In and Governance-Mediated Mitigation Strategies in SOHO Devices
[arXiv] 2026-06-09 | Turbulent Diffusion of Magnetic Field Lines in the Heliosphere
[arXiv] 2026-06-09 | Solar flare ribbons structured by uncombed chromospheric loops
[arXiv] 2026-06-09 | $k$-Nearest Neighbors in Gromov--Wasserstein Space
[arXiv] 2026-06-09 | What Do Deepfake Speech Detectors Actually Hear?
[arXiv] 2026-06-09 | Platform Sorting Drives Ideological Fragmentation in the Social Media Ecosystem
[arXiv] 2026-06-09 | Tensor Decomposition for Energy-Momentum Correlation Functions
[arXiv] 2026-06-09 | Arbitrage-free Data Pricing
[arXiv] 2026-06-09 | Mitigating Bias in Low-SNR Financial Reinforcement Learning via Quantum Representations
[arXiv] 2026-06-09 | SpenseGPT: Practical One-shot Pruning Enabling Sparse and Dense GEMMs for LLM Inference
[arXiv] 2026-06-09 | At the Origins of Electroculture: A Retrodictive Modelling of Bertholon's 18th-Century Electrovegetometer in the Pre-Corona Regime
[arXiv] 2026-06-09 | Experimental implementation of continuous-variable QAOA on a quad-rail lattice cluster state
[arXiv] 2026-06-09 | Vision-Assisted Foundation Model for Solving Multi-Task Vehicle Routing Problems
[arXiv] 2026-06-09 | Dynamic Optimization of Virtual Inertia and Damping in Converter-Based Power Systems
[arXiv] 2026-06-09 | Supermoiré Chern mosaic in helical trilayer WSe2
[arXiv] 2026-06-09 | Superheating field of clean superconductors near the type-I--type-II boundary: the low-temperature Meissner stability limit of niobium
[arXiv] 2026-06-09 | Antiferromagnetic order and magnetic polarons in lightly doped Li$_x$CoO$_2$ (x $\sim$ 0.9)
[arXiv] 2026-06-09 | On superspecial hyperelliptic curves of Rosenhain forms
[arXiv] 2026-06-09 | Soul Computing: A Theoretical Framework and Technical Architecture for Intelligent Agents with Independent Consciousness
[arXiv] 2026-06-09 | FOGO: Forgetting-aware Orthogonalization Optimizer
[arXiv] 2026-06-09 | Improved selector behavior in ultrathin chromium-doped V$_2$O$_3$ films
[arXiv] 2026-06-09 | Foveated-Imaging Geometry CT Architecture and Seeded Diffusion Model Enabling Global Super-Resolution Reconstruction
[arXiv] 2026-06-09 | Belief-Space Control for Personalized Cancer Treatment via Active Inference
[arXiv] 2026-06-09 | Equation Asymmetry: An Algebraic Framework for Unifying Secrecy and Covertness in Information-Theoretic Security
[arXiv] 2026-06-09 | KFC-KWS: Keyframe Fusion with CTC for User-Defined Keyword Spotting
[arXiv] 2026-06-09 | ViP-VL: Vietnamese Self-supervised Speech Pretraining Model with Vector-Quantization Learning
[arXiv] 2026-06-09 | Atomic Intent Reasoning: Bringing LLM Semantics to Industrial Cross-Domain Recommendations
[arXiv] 2026-06-09 | Reasoning or Memorization? Direction-Aware Diversity Exploration in LLM Reinforcement Learning
[arXiv] 2026-06-09 | Rank Collapse, Fixed Points, and the Renormalization Group Structure of MLP Residual Networks
[arXiv] 2026-06-09 | Baseline-Free Policy Optimization for Neural Combinatorial Optimization
[arXiv] 2026-06-09 | Nonreciprocal Photon Blockade in an Asymmetric Cavity
[arXiv] 2026-06-09 | Optomechanical system with tunable dissipative and dispersive couplings
[arXiv] 2026-06-09 | Catching One in Five: LLM-as-Judge Blind Spots in Production Multi-Turn Transaction Agents
[arXiv] 2026-06-09 | Invariance principles for additive functionals of voter models
[arXiv] 2026-06-09 | Early-Token Confidence Predicts Reasoning Quality in Multi-Agent LLM Debate
[arXiv] 2026-06-09 | MIRAGE: A Polarity-Flipping Encoding Subspace in LLM Agents
[arXiv] 2026-06-09 | Fundamentals of NOMA in Low-Earth Orbit Coordinated Multi-Satellite Networks
[arXiv] 2026-06-09 | Vortex pinning of Ba$_{0.62}$K$_{0.38}$BiO$_3$ investigated by magneto-optical Kerr-effect and magnetization measurements
[arXiv] 2026-06-09 | How Many Submissions May an Author Make? A Harmonic Quota for Submissions under Coauthorship
[arXiv] 2026-06-09 | The Linux IOCTL Census: A Source-Derived Database of the Linux Kernel Control-Code Surface
[arXiv] 2026-06-09 | First Principles Magnetohydrodynamical Theory for the Expanding Box Model
[arXiv] 2026-06-09 | Coupling-split clusters in a swarmalator model with uniform coupling disorder
[arXiv] 2026-06-09 | Leveraging Machine-Learned Advice in Strategic Interactions with No-Regret Learners
[arXiv] 2026-06-09 | Distributional embeddings of the first limit Bourgain-Rosenthal-Schechtman space
[arXiv] 2026-06-09 | Using the YOLOv12 Model for Verifying the Correct Color Sequence of Wires in Network Cables (Patch Cords) on the Production Line
[arXiv] 2026-06-09 | Don't waste SAM
[arXiv] 2026-06-09 | A Processing Workflow for Cassini VIMS Jupiter Cubes
[arXiv] 2026-06-09 | Chiral Plasma under Strong Magnetic Fields: A Holographic Analysis of Transport Phenomena
[arXiv] 2026-06-09 | An adaptive framework for the axisymmetric pulsar magnetosphere using physics-informed Kolmogorov-Arnold networks
[arXiv] 2026-06-09 | Balancing bias, baryons, and scale cuts in LSST 3x2pt analysis
[arXiv] 2026-06-09 | Full one-fluid dusty gas with multiple grain species in SPH
[arXiv] 2026-06-09 | On the Complexity of Signed Domination
[arXiv] 2026-06-09 | Equilibrating continuous-variable open quantum systems using stochastic classical trajectories in path-integral space
[arXiv] 2026-06-09 | STEDiff: Strengthening Text Embedding for Text-to-Image Alignment in Diffusion Model
[arXiv] 2026-06-09 | Dynamic Linear Attention
[arXiv] 2026-06-09 | Layer Order Semantics for Automata-Based Cybersecurity
[arXiv] 2026-06-09 | Hawking-Page phase transition for pure Lovelock black holes
[arXiv] 2026-06-09 | On concatenation of matrices for reversible linear codes over a finite commutative ring and applications to DNA codes
[arXiv] 2026-06-09 | Critical quasi-linear Schrödinger system with $p$-Laplacian
[arXiv] 2026-06-09 | snaproot: Decentralized File Integrity Verification Using Blockchain-Anchored Cryptographic Hashing
[arXiv] 2026-06-09 | Can Image Models Imagine Time? ImageTime: A Novel Benchmark for Probing Visual World Modeling Through Spatiotemporal Consistency
[arXiv] 2026-06-09 | Overlooking 3d dualities from mezzanines and balconies
[arXiv] 2026-06-09 | Learning What to Remember: Observability-Safe Memory Retention via Constrained Optimization for Long-Horizon Language Agents
[arXiv] 2026-06-09 | Dexterous Point Policy: Learning Point-based Dexterous Hand Policies from Human Demonstrations
[arXiv] 2026-06-09 | The isoperimetric problem for the Favard length
[arXiv] 2026-06-09 | Synergy between the gravitational potential decay rate and other structure growth probes in testing gravity
[arXiv] 2026-06-09 | ContextCodec: Content-Focused Context Guidance for Ultra-Low Bitrate Speech Coding
[arXiv] 2026-06-09 | Higher integrability for parabolic double phase equations with an improved gap bound
[arXiv] 2026-06-09 | NOVA: Symbolic Regression Discovery of Interpretable Car-Following and Lane-Change Models with Driver Heterogeneity
[arXiv] 2026-06-09 | Constraints on the Higgs-gluon effective coupling through $h \to γγ$ decays at the LHC
[arXiv] 2026-06-09 | Improving Adversarial Transferability on Vision-Language Pre-training Models via Surrogate-Specific Bias Correction
[arXiv] 2026-06-09 | Extending Field Limits in Nanoscale Magnetic Imaging with Metamaterial-inspired Magnetic Flux Concentrators
[arXiv] 2026-06-09 | MeV-GeV Gamma-Ray Astrophysics in the Multimessenger Era
[arXiv] 2026-06-09 | The emergence of a new sound research methodology in the field of health: designo-therapy ?
[arXiv] 2026-06-09 | Deterministic Denominator Design for Localized Tamed Stochastic-Gradient Langevin Dynamics
[arXiv] 2026-06-09 | Structured deformations for energies with general surface terms
[arXiv] 2026-06-09 | Optical-like interference control polar-phonons dispersions in 2D materials
[arXiv] 2026-06-09 | From Stacks to Circuits: A Regenerative Socio-Technical Roadmap for AI Infrastructure within Planetary Boundaries
[arXiv] 2026-06-09 | Prefilling-dLLM: Predictive Prefilling for Long-Context Inference in Diffusion Language Models
[arXiv] 2026-06-09 | Audio-Visual Exchange-Aware Token Pruning for Efficient Audio-Visual Captioning
[arXiv] 2026-06-09 | Multiscale modeling for problems with high contrast heterogeneous coefficients by the CEM-GMsFEM
[arXiv] 2026-06-09 | GUI-AC: Enhancing Continual Learning in GUI Agents
[arXiv] 2026-06-09 | LAFP: Preserving Latent Action Structure in Latent Policy Learning via Flow Matching
[arXiv] 2026-06-09 | Contact Tulczyjew Geometry for Continuous and Discrete Dissipative Dynamics on Skew Algebroids
[arXiv] 2026-06-09 | A Deployment-Oriented Framework for Explainable AI-Assisted eBPF/XDP Mitigation at the IoT Edge
[arXiv] 2026-06-09 | Virial stress in systems of active Brownian particles in the presence of translational and rotational inertia
[arXiv] 2026-06-09 | Strain-programmable exciton diffusion in moiré heterostructures
[arXiv] 2026-06-09 | AnisoLift: Anisotropic Latent Representations for Coarse Particle Liquid Enhancement
[arXiv] 2026-06-09 | Trading Utility for Dynamic Fairness in Multiple Resource Division with Sequential Demand
[arXiv] 2026-06-09 | ERAlign: Energy-based Representation Alignment of GNNs and LLMs on Text-attributed Graphs
[arXiv] 2026-06-09 | Minimum Distortion Quantization with Specified Output Distribution
[arXiv] 2026-06-09 | Express Language Modeling
[arXiv] 2026-06-09 | Generative Explainability for Next-Generation Networks: LLM-Augmented XAI with Mutual Feature Interactions
[arXiv] 2026-06-09 | Spectral Koopman Approach for Reconstructing State-space Geometry of Cislunar Restricted 3-Body Problem
[arXiv] 2026-06-09 | Democratising Camera Trap AI: An Open-Source Model for Detecting UK Mammals
[arXiv] 2026-06-09 | It Takes One to Bias Them All: Breaking Bad with One-Shot GRPO
[arXiv] 2026-06-09 | Task Robustness via Re-Labelling Vision-Action Robot Data
[arXiv] 2026-06-09 | Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution
[arXiv] 2026-06-09 | From Prompt to Purchase: How AI Brand Recommendations Move Consumers on the Open Web
[arXiv] 2026-06-09 | A single-step lithography process for reconfigurable SiN photonics with TiN heaters and Al interconnects
[arXiv] 2026-06-09 | Balanced Sperner families via the topological Tverberg theorem
[arXiv] 2026-06-09 | When Do Autoregressive Sequence Models Forecast Physical Wavefields? A Controlled Study on Synthetic Seismograms
