[2026-04-23 10:22:15] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-22
正在获取论文...
[arXiv] 2026-04-22 | From Scene to Object: Text-Guided Dual-Gaze Prediction
[arXiv] 2026-04-22 | PokeVLA: Empowering Pocket-Sized Vision-Language-Action Model with Comprehensive World Knowledge Guidance
[arXiv] 2026-04-22 | Solving Minimax Problems with Bilinear Objectives with ADMM
[arXiv] 2026-04-22 | FedSIR: Spectral Client Identification and Relabeling for Federated Learning with Noisy Labels
[arXiv] 2026-04-22 | From Meme to Method: Rethinking Animal Adoption Platforms through the Cat Distribution System
[arXiv] 2026-04-22 | Autonomous Emergence of Hamiltonian in Deep Generative Models
[arXiv] 2026-04-22 | On $S$-Prime Element Principle
[arXiv] 2026-04-22 | Geodesic Completeness in General Cosmological Scenarios
[arXiv] 2026-04-22 | OMIBench: Benchmarking Olympiad-Level Multi-Image Reasoning in Large Vision-Language Model
[arXiv] 2026-04-22 | Gauge-Equivariant Graph Neural Networks for Lattice Gauge Theories
[arXiv] 2026-04-22 | Designing a Visualization Atlas: Lessons & Reflections from The UK Co-Benefits Atlas for Climate Mitigation
[arXiv] 2026-04-22 | Relative Entropy Estimation in Function Space: Theory and Applications to Trajectory Inference
[arXiv] 2026-04-22 | Accurate Frequency Response Modeling in Integrated T&D Co-Simulation via EWMA-RTTA-Based Quadratic Extrapolation
[arXiv] 2026-04-22 | General Relativity via differential forms -- explorations in Plebanski's Formalism for GR
[arXiv] 2026-04-22 | Personalized electric vehicle energy consumption estimation framework that integrates driver behavior with map data
[arXiv] 2026-04-22 | Termination of Innermost-Terminating Right-Linear Overlay Term Rewrite Systems (Full Version)
[arXiv] 2026-04-22 | Majority C-coloring of graphs
[arXiv] 2026-04-22 | Lifecycle-Aware Federated Continual Learning in Mobile Autonomous Systems
[arXiv] 2026-04-22 | CO$_2$ sequestration hybrid solver using isogeometric alternating-directions and collocation-based robust variational physics informed neural networks (IGA-ADS-CRVPINN)
[arXiv] 2026-04-22 | On the regularity index of the minimum distance function in projective nested Cartesian codes
[arXiv] 2026-04-22 | Interaction between nuclear clusters and superfluid phonons in the neutron-star inner crust
[arXiv] 2026-04-22 | GeoRelight: Learning Joint Geometrical Relighting and Reconstruction with Flexible Multi-Modal Diffusion Transformers
[arXiv] 2026-04-22 | Lifting Cubic Realizations of Weak Orders in Types A and B
[arXiv] 2026-04-22 | Wideband Direct Satellite Uplink Enabled by Pilot-less Sparse Superposition Codes
[arXiv] 2026-04-22 | Forecasts of CMB $E$-mode anomalies for AliCPT-1
[arXiv] 2026-04-22 | On Bayesian Softmax-Gated Mixture-of-Experts Models
[arXiv] 2026-04-22 | Risk-Aware Hosting Capacity Analysis for Flexible Load Interconnection in Distribution Networks
[arXiv] 2026-04-22 | Not all ANIMALs are equal: metaphorical framing through source domains and semantic frames
[arXiv] 2026-04-22 | Toward nanophotonic platforms for solid-state $^{229}$Th nuclear clocks
[arXiv] 2026-04-22 | Assessing the Challenges of Collective Perception via V2I Communications in High-Speed Scenarios with Open Road Testing
[arXiv] 2026-04-22 | Primordial Magnetogenesis and Gravitational Waves from ALP-assisted Phase Transition
[arXiv] 2026-04-22 | Approximate Simulation-based Hierarchical Control of Nonlinear Systems
[arXiv] 2026-04-22 | OpenWaveLogger v2026 (OWL-v2026): an open source, low cost, easy to build, high performance logger for wave data measurements
[arXiv] 2026-04-22 | SpeechParaling-Bench: A Comprehensive Benchmark for Paralinguistic-Aware Speech Generation
[arXiv] 2026-04-22 | The gauge action on semi-discrete Lax representations and its invariants
[arXiv] 2026-04-22 | Network exploration by random walks: A large deviation perspective
[arXiv] 2026-04-22 | An Analysis of Attack Vectors Against FIDO2 Authentication
[arXiv] 2026-04-22 | Closing the Domain Gap in Biomedical Imaging by In-Context Control Samples
[arXiv] 2026-04-22 | ParetoSlider: Diffusion Models Post-Training for Continuous Reward Control
[arXiv] 2026-04-22 | Diagnosing CFG Interpretation in LLMs
[arXiv] 2026-04-22 | Formal Primal-Dual Algorithm Analysis
[arXiv] 2026-04-22 | Autonomous LLM-generated Feedback for Student Exercises in Introductory Software Engineering Courses
[arXiv] 2026-04-22 | Synthesizing Multi-Agent Harnesses for Vulnerability Discovery
[arXiv] 2026-04-22 | Bulk-Surface Coupled PDE with an Open Boundary
[arXiv] 2026-04-22 | Irreducible Gravitational Wave Background as a Particle Detector
[arXiv] 2026-04-22 | Working Memory Constraints Scaffold Learning in Transformers under Data Scarcity
[arXiv] 2026-04-22 | The E-measure
[arXiv] 2026-04-22 | GeoRect4D: Geometry-Compatible Generative Rectification for Dynamic Sparse-View 3D Reconstruction
[arXiv] 2026-04-22 | Finite Riesz products and Ornstein non-inequalities on quantum tori
[arXiv] 2026-04-22 | Gravity mediated entanglement of phonons in Bose-Einstein condensates
[arXiv] 2026-04-22 | CVEs With a CVSS Score Greater Than or Equal to 9
[arXiv] 2026-04-22 | Spontaneous Baryogenesis from Axions on Induced Electroweak Walls
[arXiv] 2026-04-22 | ProfileGLMM: a R Package Extending Bayesian Profile Regression using Generalised Linear Mixed Models
[arXiv] 2026-04-22 | Global Hopf Bifurcation and Symmetric Periodic Solutions in Multi-Agent Systems with Neutral Distributed Delays
[arXiv] 2026-04-22 | High-Fidelity Single-Shot Quantitative Differential Phase Microscopy Using Pseudothermal Sagnac Interferometer
[arXiv] 2026-04-22 | RespondeoQA: a Benchmark for Bilingual Latin-English Question Answering
[arXiv] 2026-04-22 | F\textsuperscript{2}LP-AP: Fast \& Flexible Label Propagation with Adaptive Propagation Kernel
[arXiv] 2026-04-22 | Search for Axion Like Particles produced via the Primakoff process at COMPASS
[arXiv] 2026-04-22 | Tokenised Flow Matching for Hierarchical Simulation Based Inference
[arXiv] 2026-04-22 | COMPASS: COntinual Multilingual PEFT with Adaptive Semantic Sampling
[arXiv] 2026-04-22 | Rank-2 Electromagnetic Backgrounds and Angular Momentum Barriers in Gravitomagnetic Spin-Quadrupole Searches
[arXiv] 2026-04-22 | Learning to Evolve: A Self-Improving Framework for Multi-Agent Systems via Textual Parameter Graph Optimization
[arXiv] 2026-04-22 | Visual-Tactile Peg-in-Hole Assembly Learning from Peg-out-of-Hole Disassembly
[arXiv] 2026-04-22 | SSL-R1: Self-Supervised Visual Reinforcement Post-Training for Multimodal Large Language Models
[arXiv] 2026-04-22 | A 260-Liter Test Stand for Liquid Argon R&D
[arXiv] 2026-04-22 | Engineering Wake-Up-Free Ferroelectric Capacitors with Enhanced High-Temperature Reliability
[arXiv] 2026-04-22 | Robust Out-of-Distribution Stochastic Optimization
[arXiv] 2026-04-22 | FASER: Fine-Grained Phase Management for Speculative Decoding in Dynamic LLM Serving
[arXiv] 2026-04-22 | Infinite time blow-up and slow decay for the six dimensional energy-critical heat equation with self-similarly decaying initial data
[arXiv] 2026-04-22 | Quantum Optical Signatures of Band Topology in Solid-State High Harmonics
[arXiv] 2026-04-22 | Symmetry breaking phases and transitions in an Ising fusion category lattice model
[arXiv] 2026-04-22 | Science from the In Situ Exploration of the Proxima Centauri System
[arXiv] 2026-04-22 | Hallucination Inspector: A Fact-Checking Judge for API Migration
[arXiv] 2026-04-22 | Discrete Preference Learning for Personalized Multimodal Generation
[arXiv] 2026-04-22 | Birational geometry of actions on del Pezzo surfaces
[arXiv] 2026-04-22 | Free Poisson Rota-Baxter algebra
[arXiv] 2026-04-22 | Cesàro-Hardy operators on $L^p[0,1]$: fine spectrum, weighted Koopman semigroups and invariant subspaces
[arXiv] 2026-04-22 | High-Fidelity and Location-Robust Respiratory Waveform Monitoring with Single-Antenna WiFi
[arXiv] 2026-04-22 | Multivariable Vandermonde determinants, amalgams of matrices and Specht modules
[arXiv] 2026-04-22 | Distributional Value Estimation Without Target Networks for Robust Quality-Diversity
[arXiv] 2026-04-22 | Towards Event-Aware Forecasting in DeFi: Insights from On-chain Automated Market Maker Protocols
[arXiv] 2026-04-22 | Neuro-evolutionary stochastic architectures in gauge-covariant neural fields
[arXiv] 2026-04-22 | Level crossings and superradiant quantum phase transition for a two-qutrit quantum Rabi model
[arXiv] 2026-04-22 | LaplacianFormer:Rethinking Linear Attention with Laplacian Kernel
[arXiv] 2026-04-22 | Direct construction of scalar quantum fields by L{é}vy fields -- nontrivial exact Wightman fields in a wider field with a relaxed Gårding-Wightman Axioms-
[arXiv] 2026-04-22 | SignDATA: Data Pipeline for Sign Language Translation
[arXiv] 2026-04-22 | Formation of classical Be-stars of the early spectral subclass in the case of nonconservative mass transfer in close binary systems
[arXiv] 2026-04-22 | The core of the problem: Physical limits of the core-Sérsic model
[arXiv] 2026-04-22 | Column Generation for the Optimization of Switching in Repeaterless Quantum Networks
[arXiv] 2026-04-22 | Disorder-driven coexistence of distinct dynamical states in frustrated Sr$_3$CuNb$_2$O$_9$: a microscopic $μ$SR and $^{93}$Nb NMR study
[arXiv] 2026-04-22 | Interpolating between positive, Schwarz, and completely positive evolution for d-level systems
[arXiv] 2026-04-22 | Image Generators are Generalist Vision Learners
[arXiv] 2026-04-22 | Europa's Lyman-$α$ emissions from HST/STIS observations
[arXiv] 2026-04-22 | SurgCoT: Advancing Spatiotemporal Reasoning in Surgical Videos through a Chain-of-Thought Benchmark
[arXiv] 2026-04-22 | R2IF: Aligning Reasoning with Decisions via Composite Rewards for Interpretable LLM Function Calling
[arXiv] 2026-04-22 | The saturated fusion systems on a Sylow 2-subgroup of $Ω^+_8 (2)$
[arXiv] 2026-04-22 | Seeing Further and Wider: Joint Spatio-Temporal Enlargement for Micro-Video Popularity Prediction
[arXiv] 2026-04-22 | AktivTalk: Digitizing the Talk Test for Voice-Based Exercise Intensity Self-Assessment and Exploring Automated Classification from Speech
[arXiv] 2026-04-22 | FSFM: A Biologically-Inspired Framework for Selective Forgetting of Agent Memory
[arXiv] 2026-04-22 | Classification of solutions to a weighted singular fractional problem in the half space
[arXiv] 2026-04-22 | Technically Natural Suppression of Fifth Force
[arXiv] 2026-04-22 | Efficient INT8 Single-Image Super-Resolution via Deployment-Aware Quantization and Teacher-Guided Training
[arXiv] 2026-04-22 | X-Cache: Cross-Chunk Block Caching for Few-Step Autoregressive World Models Inference
[arXiv] 2026-04-22 | Hamiltonian simulation for 3D elastic wave equations in homogeneous elastic media
[arXiv] 2026-04-22 | Fourier Series Coder: A Novel Perspective on Angle Boundary Discontinuity Problem for Oriented Object Detection
[arXiv] 2026-04-22 | A Lightning-Fast Three-Flavor Neutrino Oscillation Calculator in Constant-Density Matter with Built-In Uncertainty Propagation
[arXiv] 2026-04-22 | Embedding-Based Intrusive Evaluation Metrics for Musical Source Separation Using MERT Representations
[arXiv] 2026-04-22 | Opportunistic Bone-Loss Screening from Routine Knee Radiographs Using a Multi-Task Deep Learning Framework with Sensitivity-Constrained Threshold Optimization
[arXiv] 2026-04-22 | Asymptotically Z-stable bundles over projective surfaces
[arXiv] 2026-04-22 | Measuring Tianlai's primary beam using sky model
[arXiv] 2026-04-22 | Causal-Transformer with Adaptive Mutation-Locking for Early Prediction of Acute Kidney Injury
[arXiv] 2026-04-22 | Visualising CTL Witnesses and Counterexamples -- Extended Version
[arXiv] 2026-04-22 | Controlling the Ćuk Converter using Piecewise Linear Lyapunov Functions
[arXiv] 2026-04-22 | LMI Approach for Sliding Mode Control and Analysis of DC-DC Converters
[arXiv] 2026-04-22 | Entropy lower bounds and sum-product phenomena
[arXiv] 2026-04-22 | Localized Tornado Outbreak at the Upstream of a Tropical Easterly Wave in Camarines Norte, Philippines (13 September 2025)
[arXiv] 2026-04-22 | Convex Duality in Perturbed Utility Route Choice
[arXiv] 2026-04-22 | Scaling Self-Play with Self-Guidance
[arXiv] 2026-04-22 | Stochastic Barrier Certificates in the Presence of Dynamic Obstacles
[arXiv] 2026-04-22 | ACT: Anti-Crosstalk Learning for Cross-Sectional Stock Ranking via Temporal Disentanglement and Structural Purification
[arXiv] 2026-04-22 | How is a gas sensor poisoned by volatile methylsiloxanes?
[arXiv] 2026-04-22 | Selection Rules and Channel Structure in a Base Octave Model of Collatz Dynamics
[arXiv] 2026-04-22 | Tensor network surrogate models for variational quantum computation
[arXiv] 2026-04-22 | Field-Induced Selective Spin Gap Closure and Quantum Criticality in BaNd$_2$ZnS$_5$
[arXiv] 2026-04-22 | SMART: A Spectral Transfer Approach to Multi-Task Learning
[arXiv] 2026-04-22 | Stateless Decision Memory for Enterprise AI Agents
[arXiv] 2026-04-22 | Toward Safe Autonomous Robotic Endovascular Interventions using World Models
[arXiv] 2026-04-22 | Pre-Execution Query Slot-Time Prediction in Cloud Data Warehouses: A Feature-Scoped Machine Learning Approach
[arXiv] 2026-04-22 | Atypical Decay Rates for Atypical Heights in Random Recursive Trees
[arXiv] 2026-04-22 | IMPACT-CYCLE: A Contract-Based Multi-Agent System for Claim-Level Supervisory Correction of Long-Video Semantic Memory
[arXiv] 2026-04-22 | A Delta-Aware Orchestration Framework for Scalable Multi-Agent Edge Computing
[arXiv] 2026-04-22 | Trajectory-Aware Reliability Modeling of Democratic Systems
[arXiv] 2026-04-22 | SPRAY: A smoothed particle radiation hydrodynamics code for modeling high intensity laser-plasma interactions
[arXiv] 2026-04-22 | Zeitgeist-Aware Multimodal (ZAM) Datasets of Pro-Eating Disorder Short-Form Videos: An Idea Worth Researching
[arXiv] 2026-04-22 | Before the Mic: Physical-Layer Voiceprint Anonymization with Acoustic Metamaterials
[arXiv] 2026-04-22 | Tailored Speckle Illumination Microscopy with Enhanced Sectioning and Image Quality
[arXiv] 2026-04-22 | Learning to Solve the Quadratic Assignment Problem with Warm-Started MCMC Finetuning
[arXiv] 2026-04-22 | Heterogeneous Layered Structures Can Modulate Human Softness Perception
[arXiv] 2026-04-22 | A Physics-Informed Neural Network for Solving the Quasi-static Magnetohydrodynamic Equations
[arXiv] 2026-04-22 | Improved large-scale graph learning through ridge spectral sparsification
[arXiv] 2026-04-22 | Regular Black Holes in General Relativity from Nonlinear Electrodynamics with de Sitter Cores
[arXiv] 2026-04-22 | Gradient Residual Stress in Transferred Thin-Film Lithium Niobate and Its Compenstation Using Periodically Poled Piezoelectric Bilayers
[arXiv] 2026-04-22 | Short-time, Wavelet-inspired Mouse Submovement Detection
[arXiv] 2026-04-22 | Global spherically symmetric solutions to the isothermal compressible Navier-Stokes equations with far-field vacuum
[arXiv] 2026-04-22 | ORPHEAS: A Cross-Lingual Greek-English Embedding Model for Retrieval-Augmented Generation
[arXiv] 2026-04-22 | Causal Persuasion
[arXiv] 2026-04-22 | Importance Sampling in Expensive Finite-Sum Optimization via Contextual Bandit Methods
[arXiv] 2026-04-22 | Fully Dynamic Algorithms for Coloring Triangle-Free Graphs
[arXiv] 2026-04-22 | Strain effects in [001] textured Co80Ir20 thin films with negative magnetocrystalline anisotropy
[arXiv] 2026-04-22 | Polaron transport and Verwey transition in magnetite
[arXiv] 2026-04-22 | The Ising Model on a Two-Community Stochastic Block Model
[arXiv] 2026-04-22 | Centering Ecological Goals in Automated Identification of Individual Animals
[arXiv] 2026-04-22 | Topological Word for Non-Abelian Topological Insulators
[arXiv] 2026-04-22 | pAI/MSc: ML Theory Research with Humans on the Loop
[arXiv] 2026-04-22 | Superconductivity in bilayer La$_3$Ni$_2$O$_7$: A review focusing on the strong-coupling Hund's rule assisted pairing mechanism
[arXiv] 2026-04-22 | E-values and sequential power-one tests for monotonicity and unimodality
[arXiv] 2026-04-22 | Beyond ZOH: Advanced Discretization Strategies for Vision Mamba
[arXiv] 2026-04-22 | An electrically tunable metaatom for visible light
[arXiv] 2026-04-22 | Bound, antibound and resonance two-photon states in chiral waveguide QED
[arXiv] 2026-04-22 | Geometric properties of Euclidean domains supporting trace inequalities
[arXiv] 2026-04-22 | Self-Aware Vector Embeddings for Retrieval-Augmented Generation: A Neuroscience-Inspired Framework for Temporal, Confidence-Weighted, and Relational Knowledge
[arXiv] 2026-04-22 | Enhancing the physical layer security with bending beams
[arXiv] 2026-04-22 | Flavon assisted low scale leptogenesis
[arXiv] 2026-04-22 | Laddering of a knitted fabric: a topology-induced failure
[arXiv] 2026-04-22 | PVAC: A RowHammer Mitigation Architecture Exploiting Per-victim-row Counting
[arXiv] 2026-04-22 | Real bordered Floer homology
[arXiv] 2026-04-22 | LLM StructCore: Schema-Guided Reasoning Condensation and Deterministic Compilation
[arXiv] 2026-04-22 | Injectivity paucity in AB5 categories of oversize chains
[arXiv] 2026-04-22 | Enhancing Research Idea Generation through Combinatorial Innovation and Multi-Agent Iterative Search Strategies
[arXiv] 2026-04-22 | Animator-Centric Skeleton Generation on Objects with Fine-Grained Details
[arXiv] 2026-04-22 | Construction of Laguerre pseudospectral differentiation matrices
[arXiv] 2026-04-22 | Extreme events in MLC circuit
[arXiv] 2026-04-22 | Astrophysically Realistic Secondary Spins Trigger Chaos in Schwarzschild Spacetime and Discernible Gravitational Wave Signatures
[arXiv] 2026-04-22 | From Image to Music Language: A Two-Stage Structure Decoding Approach for Complex Polyphonic OMR
[arXiv] 2026-04-22 | Node-reduction through Joint Optimization of Input and Readout Layers in Photonic Reservoir Equalization
[arXiv] 2026-04-22 | Constrained Optimal Polynomials for Quantum Linear System Solvers
[arXiv] 2026-04-22 | Charged-Current Neutrino-Induced Single-Pion Production in the Superscaling Approach and Relativistic Distorted-Wave Impulse Approximation
[arXiv] 2026-04-22 | Automatic Code and Test Generation of Smart Contracts from Coordination Models
[arXiv] 2026-04-22 | Baudrate- and Reach-Flexible All-Optical Equalization with a Co-Packaged Photonic Reservoir and Receiver
[arXiv] 2026-04-22 | An unusual example of a universal automorphism group
[arXiv] 2026-04-22 | Maximum Q-factor of planar inductors
[arXiv] 2026-04-22 | Conditional Monte Carlo Tree Diffusion for Designing Cell-Type-Specific and Biologically Faithful Regulatory DNA
