[2026-09-24 23:37:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[arXiv] 2026-09-23 | Graph Learning with Spectral Connectivity Priors for Scarce Data
[arXiv] 2026-09-23 | TimeEvo: Failure-Driven Self-Evolution of a Time Series Agent
[arXiv] 2026-09-23 | Satisfaction Is Not Explanation: Auditing Vacuity and Training Influence in Temporal-Logic-Guided Reinforcement Learning
[arXiv] 2026-09-23 | Analytical Framework of Radial Resolution for Near-Field Communications
[arXiv] 2026-09-23 | Open Questions Towards Skill-Sustaining Reliance in Reflective AI Engagement
[arXiv] 2026-09-23 | Cryogenic performance and long-term stability of Hamamatsu R8520-506 photomultiplier tubes in liquid argon
[arXiv] 2026-09-23 | Zero density estimates for $\mathrm{GL}_2$ automorphic $L$-functions
[arXiv] 2026-09-23 | Norm-Controlled Inversion in Measure Algebras
[arXiv] 2026-09-23 | Localization and weighted theory on the Bergman spaces
[arXiv] 2026-09-23 | Response of Hellinger-distance based coherence to weak decoherence in two-flavor neutrino oscillations
[arXiv] 2026-09-23 | A ready-to-deploy MLOps software platform for satellite and NEO detection at meter-class ground-based observatories
[arXiv] 2026-09-23 | Coloring Queens with Thousands of Encodings
[arXiv] 2026-09-23 | Direct observation of the electronic structure of even-layer puckered SnTe monolayer films on graphene
[arXiv] 2026-09-23 | SGDet3D++: Geometry-Grounded Semantics for 4D Radar and Camera 3D Object Detection
[arXiv] 2026-09-23 | The Second Gap and Rigidity in Chern's Conjecture with Constant Cubic Trace
[arXiv] 2026-09-23 | Private Decentralized Optimization with Noise Reduction and Bias Correction
[arXiv] 2026-09-23 | A magnetar-powered jet-wind outflow in gamma-ray burst-associated supernovae: Application to the thermal components of GRB 060218-SN 2006aj
[arXiv] 2026-09-23 | A Rigidity Theorem for Flat Graph Hypersurfaces of Variable-Returns-to-Scale Cobb--Douglas Production Functions
[arXiv] 2026-09-23 | Foundations of Algebraic Architecture Theory: A Rising Sea of Geometry, Transport, Comparison, and Reconstruction
[arXiv] 2026-09-23 | Learning Local Heterogeneity and Cross-Region Context for Large-Scale Traffic Forecasting
[arXiv] 2026-09-23 | Pheno-GS: Phenoscape-scale Geodesic Sinkhorn
[arXiv] 2026-09-23 | Compliant AI Infrastructure for Regulated Finance: A tiered multi-agent framework with DLT audit trails for financial operations in DACH
[arXiv] 2026-09-23 | InGuard: Towards Generalized Inner Guardrail for Safe Text-to-Image Generation
[arXiv] 2026-09-23 | On the local theory of non-archimedean psh functions
[arXiv] 2026-09-23 | Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality
[arXiv] 2026-09-23 | DriftAudio: Marginal Drifting for Distributional Post-Training of One-Step Text-to-Audio Generators
[arXiv] 2026-09-23 | Gray-Box Model Predictive Control for Articulated Dump Trucks via Gaussian Process Learning of Sideslip
[arXiv] 2026-09-23 | Efficient Linear Bandits via Cluster-Aware Sketching
[arXiv] 2026-09-23 | Sparse bounds and joint oscillation for bilinear rough commutators
[arXiv] 2026-09-23 | Spherical harmonics, operators of multiplication by coordinates, and infinitesimal conformal transformations
[arXiv] 2026-09-23 | Exploring the short-range correlations in $^{16}$O+$^{16}$O collisions at the LHC
[arXiv] 2026-09-23 | Efficient learning of Clifford disentanglers and typical $t$-doped unitaries with exponentially more $T$ gates
[arXiv] 2026-09-23 | TNLearn: An Open Source Python Package for Task-based Neurons
[arXiv] 2026-09-23 | When Visual Quality Misleads: Intent Recognition under Rendered Avatar Distortions
[arXiv] 2026-09-23 | ThaiTrees: Thai Syntactic Dependency Trees Across Domains
[arXiv] 2026-09-23 | Optimal Trajectory Generation for Improved Magnetic Navigation
[arXiv] 2026-09-23 | Definite integral Albert algebras: arithmetic and finite geometry
[arXiv] 2026-09-23 | A Topos-Theoretic Approach to the Logarithmic Cartier Transform
[arXiv] 2026-09-23 | White Dwarf Pulsars: an emerging class of compact binaries
[arXiv] 2026-09-23 | Classical Root Systems Reveal Defect-Junction Data in Stabilizer Renyi Entropy
[arXiv] 2026-09-23 | KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration
[arXiv] 2026-09-23 | MDRC: A Deployable State-Recovery Defense for Traffic Signal Control under Sensor Corruption
[arXiv] 2026-09-23 | On the Tutte polynomial of series-parallel posets
[arXiv] 2026-09-23 | JASPER: Joint Audio and Speech Pre-trained Encoder Representations
[arXiv] 2026-09-23 | Anti-Localization Uplink Communications in Satellite-Terrestrial Systems
[arXiv] 2026-09-23 | UniDataAgent: An Ontology-Grounded Agent for Enterprise Question-to-Report Automation
[arXiv] 2026-09-23 | Repurposing Pre-trained LLMs as High Fidelity Continuous Text Autoencoders
[arXiv] 2026-09-23 | Memory That Changes Action Is Not Memory That Guides It: Counterfactual Auditing of History-Conditioned Robot Policies
[arXiv] 2026-09-23 | Full-Covariance Smoothing of Bayesian Neural Networks for Online Adaptation
[arXiv] 2026-09-23 | One-Step Voice Conversion by Learning kNN Transport in WavLM Space
[arXiv] 2026-09-23 | Data-Assimilation-Assisted Reinforcement Learning for Power Grid Control under Load Uncertainty
[arXiv] 2026-09-23 | NaviScale: Generating Large-Scale Semantic Map Datasets for Object Navigation
[arXiv] 2026-09-23 | SOT-large subspaces of non-cyclic operators
[arXiv] 2026-09-23 | Prediction with Expert Advice: Anytime Regret with Many Experts Matches the Fixed-Time Constant
[arXiv] 2026-09-23 | XLOG: A CUDA-Native Engine for Neurosymbolic Integration
[arXiv] 2026-09-23 | A Systematic Benchmark of Explainable Methods for Temporal Attribution in Sequential Recommendation Systems
[arXiv] 2026-09-23 | The number of Ekedahl-Oort strata intersecting the supersingular locus in the Siegel modular variety
[arXiv] 2026-09-23 | Quieter Than the Room: Representation Drift and Task Robustness in Speech Encoders
[arXiv] 2026-09-23 | Diverse by Design: Architectural Constraints for Prototype-Based Interpretability
[arXiv] 2026-09-23 | Learning Dissipative Dynamics with Dissipativity-by-Construction Discrete-Time Neural Networks
[arXiv] 2026-09-23 | Emergent Prethermal Symmetries for Scalable Hamiltonian Learning
[arXiv] 2026-09-23 | Artificial intelligence surrogates for treatment effect estimation with before-and-after data
[arXiv] 2026-09-23 | Smallest Cubic Non-1-Planar Graphs
[arXiv] 2026-09-23 | From Alignment to Fusion in 3D Vision-Language
[arXiv] 2026-09-23 | Load Balancing with Partial Queue Information - Threshold Optimality and Indexability
[arXiv] 2026-09-23 | From Agent Output to Authorized Transition
[arXiv] 2026-09-23 | Log-Depth Recurrent Language Modeling
[arXiv] 2026-09-23 | UNITE-AUDIO: Joint Learning of Continuous Tokenization and Latent Flow Matching for Text-to-Audio Generation
[arXiv] 2026-09-23 | Gaussian Critical-Threshold Instability in Real Phase Retrieval
[arXiv] 2026-09-23 | PASTABench: Proactive Assessment of Sequential Trajectories for Agent Safety
[arXiv] 2026-09-23 | State-Resolved Integral of First-Passage Times for Multi-Site Polymer Adsorption
[arXiv] 2026-09-23 | Large Language Models in the UK: Public Use, Trust, and Attitudes
[arXiv] 2026-09-23 | Gamma-ray emission toward supergiant shells in the Large Magellanic Cloud
[arXiv] 2026-09-23 | Homological Trimming and Regularity of Filtrations via Local Obstruction Modules
[arXiv] 2026-09-23 | Black Holes and Scalar Propagation in Three-Dimensional Einstein--Gauss--Bonnet Gravity
[arXiv] 2026-09-23 | Large forward discretely self-similar solutions to the two-dimensional Navier-Stokes equations with rough data
[arXiv] 2026-09-23 | Effects of Corner Radius and Knudsen Number on Rarefied Gas Flow in a Lid-Driven Cavity
[arXiv] 2026-09-23 | Integer Quantization of Graph Neural Networks for Real-Time FPGA Track Finding
[arXiv] 2026-09-23 | Variable opacity and accretion-column regimes of magnetized neutron stars
[arXiv] 2026-09-23 | DEAL-Grasp: Decoupled Alignment Representation for Geometry-Aware Dexterous Grasp Generation
[arXiv] 2026-09-23 | Environment-dependent mass splitting to suppress solar capture in the inelastic-doublet interpretation of the LZ event
[arXiv] 2026-09-23 | A tris of perfect matchings in bridgeless claw-free cubic graphs
[arXiv] 2026-09-23 | Quantum Topological Data Analysis Beyond Betti Numbers: Complexity Hardness $\&$ An Algorithm for Torsion Witness
[arXiv] 2026-09-23 | Periodic Hamiltonian approximation and Oka complements in \mathbb{C^2}
[arXiv] 2026-09-23 | Non-Hermitian Purcell Physics in Dissipatively Coupled Planar Photon-Magnon Systems
[arXiv] 2026-09-23 | SlackDrive: Reclaiming Runtime Slack for Adaptive Driving Inference
[arXiv] 2026-09-23 | A Diagnostic Method for Proto-Neutron Star Magnetic Fields by Supernova Fallback Neutrinos
[arXiv] 2026-09-23 | Channel closing in strong-field photoemission from tip arrays
[arXiv] 2026-09-23 | Asymptotic Growth of Optimal Stabilization Prefactors for the Schrödinger Equations
[arXiv] 2026-09-23 | TEMPS: Temporal Sentence Embeddings for Temporal Information Retrieval
[arXiv] 2026-09-23 | Uniqueness for the inverse Schrödinger problem in the plane with $L^p$ potentials, $p>1$
[arXiv] 2026-09-23 | Amplitude equations for wave bifurcations in reaction-diffusion systems
[arXiv] 2026-09-23 | Subjective Evaluation of DNN AND Auditory-Model-Based Hearing-Loss Compensation
[arXiv] 2026-09-23 | Learning a Speed-adaptive Hip Exoskeleton Control Policy Via Sim-to-real Reinforcement Learning
[arXiv] 2026-09-23 | Evaluating Feedback Focus and Pedagogical Adaptivity in LLM-Generated Feedback on Student Writing
[arXiv] 2026-09-23 | On some $D(u^2)$-triples and quadruples of triangular numbers
[arXiv] 2026-09-23 | Exploiting Decompression Latency for Covert Channels in Inter-Line-Compressed LLCs
[arXiv] 2026-09-23 | First Pre-peak Ultraviolet Spectrum of a Tidal Disruption Event: A Fast Outflow Revealed Prior to Maximum Light in TDE2025aarm
[arXiv] 2026-09-23 | The Skin-Restricted Reinhard Transform:Uniqueness under a Lightness-Preserving Constraint
[arXiv] 2026-09-23 | Ehrhart polynomials of cyclic polytopes as averages of zonotope Ehrhart polynomials
[arXiv] 2026-09-23 | Frozen Flows Forget: Diagnosing and Restoring Lost Motion in a Latent-flow World Model
[arXiv] 2026-09-23 | Existence of disks with prescribed mean curvature and contact angle in arbitrary codimension
[arXiv] 2026-09-23 | Learning Holographic Reduced Representations with Clifford Variational Autoencoders
[arXiv] 2026-09-23 | Retrospective on the Design and Implementation of the Milestone-Based Fusion Development Program of the U.S. Department of Energy
[arXiv] 2026-09-23 | Simulating the emission source function in very peripheral relativistic heavy-ion collisions
[arXiv] 2026-09-23 | Quantum score matching with applications to learning thermal states
[arXiv] 2026-09-23 | On the distribution of the minimal length of addition chains
[arXiv] 2026-09-23 | Delta Characters and Filtered Isocrystals
[arXiv] 2026-09-23 | Curvature-Domain Wireless Communications: Gauge-Fixed Signal Spaces, Fredholm Capacity, and Differentiation-Limited Scaling for Continuous Apertures
[arXiv] 2026-09-23 | Flamingo: On Load Balancing in DAG-based Consensus Protocols
[arXiv] 2026-09-23 | Trivial zeros of zeta functions of type $\mathrm{A}_r$
[arXiv] 2026-09-23 | Phase retrieval from a uniformly discrete point set
[arXiv] 2026-09-23 | Dynamics-structure interchangeability in binary opinion models on multiplex networks
[arXiv] 2026-09-23 | Entropy applications in cosmology: spacetime thermodynamics, holographic dark energy, entropic gravity and beyond - a review
[arXiv] 2026-09-23 | Bridging two families of non-Hermiticity: from non-reciprocal couplings to an imaginary potential using the Lanczos transformation
[arXiv] 2026-09-23 | Rankin-Cohen Pairings and Hilbert Hecke Eigenform Product Identities
[arXiv] 2026-09-23 | phi-FD, a second order finite difference scheme for geometries defined by a level-set function: the Neumann case
[arXiv] 2026-09-23 | Rigidity of projective area widths and a weighted Crofton formula on $RP^3$
[arXiv] 2026-09-23 | A Tentative Line-like GeV Excess in Fermi Blazar 4FGL J1754.2+3212: Implications for Jet Physics and Beyond
[arXiv] 2026-09-23 | A photonic integrated comb engine for ultracold quantum gases
[arXiv] 2026-09-23 | Generic variational principles for supinf problems with constraints
[arXiv] 2026-09-23 | Computation of anisotropic singular sums from high-order derivatives of Epstein zeta functions
[arXiv] 2026-09-23 | Physical Fidelity of Wave-Based Inverse Problems under Broken Time-Reversal Symmetry
[arXiv] 2026-09-23 | A tyro's approach to the tilted sieve: beyond the Erdős--Rankin bound
[arXiv] 2026-09-23 | Beyond Poetry: Can Large Language Models Generate Classical Arabic Maqamat?
[arXiv] 2026-09-23 | Reward-Rate Congestion Games and Replicator--Dinkelbach Dynamics
[arXiv] 2026-09-23 | ODPure: Backdoor Purification for Object Detection via Ensemble Corruption Consensus
[arXiv] 2026-09-23 | Distilling Datasets into Shallow Circuits for Quantum Machine Learning
[arXiv] 2026-09-23 | The Bifurcation Phenomenon for the Regularized Two-Phase Problem Associated with the $p$-Laplacian
[arXiv] 2026-09-23 | FLEET: From Logits Entropy to Enhanced Trajectories in Text Generation
[arXiv] 2026-09-23 | On the normality of the commuting scheme
[arXiv] 2026-09-23 | Change detection with conformal martingales: new optimal constructions, and suboptimality of existing methods
[arXiv] 2026-09-23 | Inverse knapsack at two capacities: which pairs of value-cardinality hulls are realizable?
[arXiv] 2026-09-23 | LAYERSCOPE: A Layerwise Characterization of Video and Multimodal Learned Representations
[arXiv] 2026-09-23 | Learning the Cost of Reliable Inference
[arXiv] 2026-09-23 | Bounded cohomology, Codimension two submanifolds and Pontryagin-Thom constructions
[arXiv] 2026-09-23 | Echo Detection in Spatial Room Impulse Responses Measured with Spherical Microphone Arrays Using the Herglotz Wavefunction
[arXiv] 2026-09-23 | Minimally rational reallocation of objects
[arXiv] 2026-09-23 | Topology optimization of multimaterial aircraft pylons using generalized shape function approach
[arXiv] 2026-09-23 | Absence of bounded-orbit wandering domains
[arXiv] 2026-09-23 | VLMs Can Describe, But Not Measure: Object-Centric Scene Understanding for Robotic Manipulation
[arXiv] 2026-09-23 | LightMIS: Ultra-Lightweight Medical Image Segmentation Without a Stage-Wise Decoder
[arXiv] 2026-09-23 | Two Global Crops Suffice: Locating Semantic Emergence in DINO-Style Self-Supervised Learning
[arXiv] 2026-09-23 | C*-irreducible regular inclusions, Galois correspondence and aperiodicity
[arXiv] 2026-09-23 | Regularity of minimizing $p$-harmonic maps from $B^3$ to $\mathbb{S}^3$
[arXiv] 2026-09-23 | Dynamical and statistical properties of large scales in turbulence
[arXiv] 2026-09-23 | The Path Matters: Evaluating Small Language Models Beyond Answer Accuracy in KGQA
[arXiv] 2026-09-23 | Wave-Robust Passive AUV Localization Using FP-MUSIC
[arXiv] 2026-09-23 | Sharp Higher Integrability Theory, Part I: The $L^p$-norm of the Beurling--Ahlfors transform
[arXiv] 2026-09-23 | Realize What Matters: Principled Context Representation for Large-Scale Reasoning
[arXiv] 2026-09-23 | Modularity is Not Enough: Demonstration of a Solderless 400 V DC, 2.5 kW Three-Phase Inverter
[arXiv] 2026-09-23 | Rank-One Signal Recovery in Sparse Wishart Noise
[arXiv] 2026-09-23 | On convex bodies with rotationally symmetric planar projections
[arXiv] 2026-09-23 | Repairability of Inexact Solvers in Recursive State Estimation with Machine Learning
[arXiv] 2026-09-23 | A sub-100 pc view at z~5 of a Multiply-Imaged Massive Quiescent Galaxy
[arXiv] 2026-09-23 | Differentiable astrophysics at scale: solving and differentiating ODE ensembles on the GPU
[arXiv] 2026-09-23 | Scalar Gauss-Bonnet Wormholes and the Imaginary Distance Bound
[arXiv] 2026-09-23 | Inter-Temporal Price Constraints in Dynamic Pricing: Performance Guarantees Under Price Monotonicity and Promotion Fatigue
[arXiv] 2026-09-23 | Nonequilibrium Phases of Repulsive Self-Attention: Chaos, Attention Condensation, and Emergent Locality
[arXiv] 2026-09-23 | A counterexample to Fuchs's conjecture
[arXiv] 2026-09-23 | Order-Invariant Answers, Order-Sensitive Representations in Mathematical Reasoning
[arXiv] 2026-09-23 | Formal weakly enriched category theory
[arXiv] 2026-09-23 | Predicting the Progression of Adolescent Idiopathic Scoliosis
[arXiv] 2026-09-23 | Dualisable categories in noncommutative geometry
[arXiv] 2026-09-23 | Pulsar magnetospheres in dynamical Chern-Simons gravity: deathline conditions and polar-cap particle acceleration
[arXiv] 2026-09-23 | Performance-portable GPU acceleration of the hybrid particle-in-cell code dHybridR
[arXiv] 2026-09-23 | Transposition achieves OPT$+O(1)$ in polynomial time for IID list update
[arXiv] 2026-09-23 | Cursed Rationalizability
[arXiv] 2026-09-23 | When and Where to Trust the Teacher: Unifying On-Policy Distillation and GRPO through Entropy-Calibrated Credit Assignment
[arXiv] 2026-09-23 | Lasing Mode Control in ZnO Nanowires Coupled to TiO2 Nanopillars
[arXiv] 2026-09-23 | Multiplicity-Weighted Moments Across a Harmonic Caustic: Closed Forms with Order-Independent Breakpoints
[arXiv] 2026-09-23 | Simulation of a Battery Cell on Quantum Computers: Reactions & Transport
[arXiv] 2026-09-23 | Partition functors and universal exponential relations
[arXiv] 2026-09-23 | Improved Bohr-Rogosinski radius for holomorphic mappings with values in complex Banach spaces
[arXiv] 2026-09-23 | A partitioned fluid-structure interaction solver for two-phase sloshing and flexible spacecraft dynamics
[arXiv] 2026-09-23 | High order biorthogonal functions for the discrete de Rham complex on simplices*
[arXiv] 2026-09-23 | Mizar: A 159M-Parameter Audio-Language Model for Audio Understanding
[arXiv] 2026-09-23 | An Open Pipeline and Dashboard for Systemic-Risk Evidence under the EU AI Act's Code of Practice
[arXiv] 2026-09-23 | Nested Disappearing-Track plus Displaced-Vertex Topology at the HL-LHC: A Dual Long-Lived-Particle Signature of the Scotogenic Model
[arXiv] 2026-09-23 | Investigating the ionization mechanisms powering the extreme emission lines in metal-poor galaxies
[arXiv] 2026-09-23 | Multimodal Voice Activity Projection for Social Robot Mediation: Expected Behavior and Deployment Constraints
[arXiv] 2026-09-23 | Rank properties of commutators in finite groups
[arXiv] 2026-09-23 | Sharp existence and non-existence for singular $1$-Laplace equations with Hardy potentials
[arXiv] 2026-09-23 | Stable Cellularity in Hopfological Algebra
[arXiv] 2026-09-23 | Gradient constraints, Born-Infeld, and maximal surfaces via superposition of infinitely many $p$-Laplacians
[arXiv] 2026-09-23 | PBLH Estimation from Satellite Radiances via a Dual-Encoder Transformer
[arXiv] 2026-09-23 | Non-Commutative State Tracking with Input-Dependent Low-Rank Updates in Mamba-3
[arXiv] 2026-09-23 | Predicting Quantization Price for Selecting PTQ Configurations Before Deployment
[arXiv] 2026-09-23 | BRACE: Blockwise Rank Aggregation for Correlation Estimation
[arXiv] 2026-09-23 | Evaluating $\mathrm {SU}(3)$ Verlinde sums using spectral graph theory
[arXiv] 2026-09-23 | GenMC: Real-Time Generative Monte Carlo Surrogate for Quantitative Photoacoustic Imaging
[arXiv] 2026-09-23 | MemBodied: Recurrent Associative Memory for Vision-Language-Action Models
[arXiv] 2026-09-23 | $G$-categories, bootstrap classes and UCT
[arXiv] 2026-09-23 | Ideal Membership in Polynomial Calculus: Complexity and Reductions
[arXiv] 2026-09-23 | Second-Order Stationarity with Common Random Losses: Matching Tolerance Bounds
[arXiv] 2026-09-23 | EmbodiedMemory-Bench: Benchmarking Embodied Memory for Long-Horizon Embodied Tasks
[arXiv] 2026-09-23 | Do Center Biases Propagate? Robustness of Pathology Foundation Models in Whole-Slide Image Classification
[arXiv] 2026-09-23 | A Unified Framework and Dataset for Oriented Object Visual Grounding in Remote Sensing
[arXiv] 2026-09-23 | Determination of the Charge of Electron Using Faraday's Law of Electrolysis
[arXiv] 2026-09-23 | Derived Smooth and Banach Higher Groupoids: Representability and Descent
[arXiv] 2026-09-23 | Solar capture and annihilation of fermionic and scalar dark matter motivated by the LUX-ZEPLIN high-recoil candidate
[arXiv] 2026-09-23 | Sharp Quantitative Stability for the Affine $p$-Sobolev Inequality, Part II: The Case $1<p<2$
[arXiv] 2026-09-23 | Distinguishing Gauss sums
[arXiv] 2026-09-23 | Do Electromagnetic Side-Channel Attacks Threaten Electronic Polling Stations? Scenarios and Recommendations
[arXiv] 2026-09-23 | On the hyperbolic prime number theorem
[arXiv] 2026-09-23 | Transferable Evidence Reconstruction for Longitudinal Glucose Representations
[arXiv] 2026-09-23 | From ECG Signals to Representative-Morphology Heatmaps for Biometric Recognition
[arXiv] 2026-09-23 | How Sensitive Are LLM Leaderboard Claims to Hidden Model Selection?
[arXiv] 2026-09-23 | Counterexamples to the Reiner-Shimozono conjecture and the failure of Schubert filtrations
[arXiv] 2026-09-23 | Larger physical volume and bounds on the number of matter fields in noncompact gauge theories on a lattice
[arXiv] 2026-09-23 | The compressible liquid drop model with curvature included algebraically for the pasta phases in neutron stars
[arXiv] 2026-09-23 | A comparative assessment of global building and settlement datasets across geographic and settlement contexts
[arXiv] 2026-09-23 | EvEMTBench: An Open Benchmark for Machine Learning in Power System Protection
[arXiv] 2026-09-23 | "We'll Fix It Later": Education, AI, and the Deferral of Privacy in EdTech
[arXiv] 2026-09-23 | Unbounded Operators, Physicality, and Modality in Quantum Theories
[arXiv] 2026-09-23 | Extreme Population Selection under Multistage Sampling design With Applications
[arXiv] 2026-09-23 | Optimal Evasion from a Resetting Searcher
[arXiv] 2026-09-23 | Probabilistic and Geometry Aware Neural Surrogate of Scrape Off Layer Plasma Simulations
[arXiv] 2026-09-23 | Watching What We Eat: Information Quality and Body Image in Diet-Related YouTube Videos
[arXiv] 2026-09-23 | Compact linear combination of composition operators on Bergman-Orlicz spaces
[arXiv] 2026-09-23 | Dual-Hypergraph Indexing: Bridging Knowledge Islands for Multi-Hop Reasoning in Retrieval-Augmented Generation
[arXiv] 2026-09-23 | Schauder estimates for a class of fully nonlinear elliptic PDEs: a geometric tangential approach
[arXiv] 2026-09-23 | Strict Stability of the ADM Mass and Static Vacuum Extensions
[arXiv] 2026-09-23 | MotionSpec: Spectral Trajectory Supervision for Motion-Consistent Video Generation
[arXiv] 2026-09-23 | Shock-free super-Eddington accretion onto magnetized neutron star
[arXiv] 2026-09-23 | Can LLMs Catch a Rigged Backtest? A Clean-Control Calibration Benchmark
[arXiv] 2026-09-23 | Complex median method
[arXiv] 2026-09-23 | Reference-Based Analysis of Coherence and Diversity in Open-Ended Text Generation
[arXiv] 2026-09-23 | The Arithmetic of Reducible Rank 2 Hypergeometric Motives
[arXiv] 2026-09-23 | Cyclic ABC Massey Products
[arXiv] 2026-09-23 | Prompt, Probe, Train, or Annotate? Single-camera sports video understanding in amateur settings
[arXiv] 2026-09-23 | General conditions for Turing and wave instabilities in reaction-diffusion systems
[arXiv] 2026-09-23 | Energy conservation of weak solutions and Onsager's conjecture for the two-component Camassa-Holm system
[arXiv] 2026-09-23 | Neural Network Guided Parameter Space Constraints for Gravitational Wave Searches from Binary Black Holes
[arXiv] 2026-09-23 | The Neutral Hydrogen Gas Content of Star-forming and Quiescent S0 Galaxies
[arXiv] 2026-09-23 | Nonabelian vortices: From topological strings to nonvolatile memory
[arXiv] 2026-09-23 | PISCES: Physics-Informed Solar-wind Convolutional autoEncoder for Space-weather Anomaly Detection and Early Warning
[arXiv] 2026-09-23 | PANGU I: A Parthenon-Based Framework for Fixed-Spacetime GRMHD
[arXiv] 2026-09-23 | Stability for the inverse source problem of the stochastic fractional Helmholtz equation
[arXiv] 2026-09-23 | Large-Scale Geometric Map-Based Localization of UAVs in GNSS-Denied Urban Environments
[arXiv] 2026-09-23 | Stability under mixtures of transportation inequalities and restricted log-Sobolev inequalities
[arXiv] 2026-09-23 | Energy estimation of direct and reflected cosmic-ray events aboard balloon-borne radio detectors
