[2026-07-06 12:48:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | The Role of Calculus I in Computer Science Education
[ACM] 2026-7-6 | Java vs. Kotlin in Introductory OOP: Effects on Student Performance and Motivation
[ACM] 2026-7-6 | Ethical Compliance Audit of LLMs Used as Computing Education Tools: An Evaluation Under ACM Standards
[ACM] 2026-7-6 | Towards a Scoping Review of Interpretivism in Computer Science Education.
[ACM] 2026-7-6 | Enhancing Computer Science Transfer Pathways with an AI Chatbot in Program Pathways Mapper
[ACM] 2026-7-6 | The Neural Bridge: From Haptic Cords to Python Code  A Multi-Abstraction Instructional Sequence for Teaching Neural Networks in K-12
[ACM] 2026-7-6 | Artifact-Based Computing Ethics Education: Bridging Analysis and Practice
[ACM] 2026-7-6 | Ancestral Craft and Emerging Technologies: Designing Futures from Place
[ACM] 2026-7-6 | Which Story Mode Works Best? Measuring Preference and Switching in a Quest-Based Course
[ACM] 2026-7-6 | Student-developed Collective Coding Guides in Disciplinary Computing
[ACM] 2026-7-6 | Data Systems Education in Finland: Aligning Higher Education with Industry Expectations
[ACM] 2026-7-6 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Spatial Storytelling
[ACM] 2026-7-6 | Beyond One-Size-Fits-All Exercises: Personalizing Computer Science Worksheets with Large Language Models
[ACM] 2026-7-6 | AI-Assisted Programming Learning
[ACM] 2026-7-6 | Epistemic Programming as a Scientific Field: Building a Community of Practice and an Interaction-Based Framework
[ACM] 2026-7-6 | Documenting K-12 CS Education Around The World
[ACM] 2026-7-6 | Mapping the Research on Collaboration in Computing Courses
[ACM] 2026-7-6 | To Tab or Not to Tab: Measuring Critical Engagement in AI Code Completion Tools Using Behavioral Signals and Attention Checks
[ACM] 2026-7-5 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[ACM] 2026-7-6 | REfact: Growing with Movement – A Hybrid Performance
[ACM] 2026-7-6 | Virtual Theatre: Producing Live Theatre on Virtual Stages
[ACM] 2026-7-6 | Beyond Make-and-Model: Simplifying IoT Network Management with Behavioral Metaclasses
[ACM] 2026-7-6 | Chemistry Context Programming Activities for CS1
[ACM] 2026-7-5 | A Dataset of Agentic AI Coding Tool Configurations
[ACM] 2026-7-6 | A Good Rubber Duck Does Not Quack: Designing Socratic Scaffolding in AI Tutors
[ACM] 2026-7-6 | Pre-Recorded 'Vivas' for Assessing Code Understanding Amidst AI-Assisted Programming
[ACM] 2026-7-6 | From Fragmentation to Architecture: A Spiral Curriculum Model for Integrating Data Science into K-12 Education
[ACM] 2026-7-6 | Student Misconceptions and Strategies in Git/GitHub Processes
[ACM] 2026-7-6 | Co-creating Course Expectations with Students in a Computer Science Course
[ACM] 2026-7-6 | Using LLM to Autograde Diagrams
[ACM] 2026-7-6 | Gendered Perceptions of Success in Computer Science
[ACM] 2026-7-6 | Failure is an Option: Growing Student Metacognition and Resilience in Undergraduate CS
[ACM] 2026-7-6 | A Virtual Lab for Learning AI Security and Adversarial Prompt Engineering
[ACM] 2026-7-6 | CS Undergraduate Women's Experiences in the First Year of Study
[ACM] 2026-7-6 | Gender Gaps in CS1 Exams: The Role of Biased Question Framing
[ACM] 2026-7-6 | Non-functional requirements: The issues online forum users are discussing about
[ACM] 2026-7-6 | Scale, Concentration, and Entry Timing in the Shopify App Ecosystem
[ACM] 2026-7-6 | COSETO: An Evidence-based AI Approach for Software Component Comparison
[ACM] 2026-7-5 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[ACM] 2026-7-6 | When Performance is Not Learning: Evidence from Generative AI Use in Operating Systems Education
[ACM] 2026-7-6 | Hands-On Demonstration of Information Retrieval and Word Embeddings Using a Harry Potter Theme
[ACM] 2026-7-6 | Enabling Student Ownership of LLM-Use through Team Contracts
[ACM] 2026-7-6 | Virtual Reality, Real Challenges: Lessons Learnt from a VR Deployment In-the-Wild
[ACM] 2026-7-6 | Teaching Theory of Computation in the STEM K-12 Curricula Through Impossibility and Undecidability Problems
[ACM] 2026-7-6 | Impact of Instructor Gender on Student Perceptions of Coding Demonstration Videos
[ACM] 2026-7-6 | Not Yet for Students: What Current Educator Prompting Practices Reveal About Pedagogical Gaps in LLM-Generated Feedback
[ACM] 2026-7-6 | Learning to Assess Software Quality: A Metric-Guided Peer Code Review Tool for Large-Scale Software
[ACM] 2026-7-6 | VR Biosecurity Surveillance Training for Indigenous Rangers
[ACM] 2026-7-5 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[ACM] 2026-7-5 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[ACM] 2026-7-5 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[ACM] 2026-7-5 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[ACM] 2026-7-6 | Enhancing Engagement and Efficiency: A Co-authoring Thesis Writing Pilot in Undergraduate Education
[ACM] 2026-7-6 | ChomskyTrainer: An Interactive Learning Environment for Exercising Chomsky Normal Form Transformations
[ACM] 2026-7-6 | Instant Feedback for SQL Assignments using Clause-Driven Automated Grading
[ACM] 2026-7-6 | Visualizing Deterministic Finite-State Automata Minimization
[ACM] 2026-7-6 | Can We Have Both? Achieving ABET Compliance with Reduced Curricular Complexity in Computer Science Programs
[ACM] 2026-7-6 | Building Digital Credential Ecosystems for Computer Science Education: Digital Credentials, Employability, and Social Impact
[ACM] 2026-7-6 | Rust Web Programming in Laboratory Sessions: A Controlled Study of an IDE Plugin for Novice Programmers
[ACM] 2026-7-6 | Toward Automated Curriculum Design: Ensuring Alignment Among LLM-generated Course Components
[ACM] 2026-7-6 | Designing Responsible AI: a Pedagogical Blueprint for Interdisciplinary Reflection and Applied Ethics Competencies
[ACM] 2026-7-6 | Criminal Minds: A Plagiarism Study about Getting Away With It (for Science)
[ACM] 2026-7-6 | Authentic Assessment in Discrete Mathematics: Real-World Modelling Using Logic and Set Theory
[ACM] 2026-7-6 | Bridging Academia and Industry: A Structured Model for Running a Successful Computer Engineering Capstone Program
[ACM] 2026-7-6 | GenAI as a Learning Companion: Interactive Patterns for Supporting Higher-Order Thinking in Computer Science Education
[ACM] 2026-7-6 | Flashover: Spatial Storytelling of Wildfire from Memory to Spatial Experience
[ACM] 2026-7-6 | Ideation Driven Teaching of Software Engineering in an Industry-Integrated Learning Environment
[ACM] 2026-7-6 | Exploring Satisfiability -- Bringing Theoretical Informatics to Schools
[ACM] 2026-7-6 | Collaborative Peer-Review Workshops with Paired Student Teams in Software Metrics Education
[ACM] 2026-7-6 | Accessible Keyboard Controls for Block Ordering Problems
[ACM] 2026-7-6 | Board Games for Blockchain: The Right Time to Unplug
[ACM] 2026-7-6 | Exploring the Impact of Gen-AI on Team-Based Computing Capstone Projects
[ACM] 2026-7-6 | Improving Effectiveness of Automata Theory Teaching Using Computational Thinking
[ACM] 2026-7-6 | Mapping Research on Student Self-Efficacy in Computer Science
[ACM] 2026-7-6 | Genius-Coin: A Deployable Crypto Reward System for Student Engagement
[ACM] 2026-7-6 | Ask, Code, Review: A Three-Module Framework for AI in Programming Labs
[ACM] 2026-7-6 | Accessible AI Literacy for Adult Learners: An Unplugged Collaborative Learning Experience to Teach Clustering
[ACM] 2026-7-6 | Behind the Scenes at The New York Times R&amp;D: Spatial Storytelling
[ACM] 2026-7-5 | SWE-Bench+: Enhanced LLM Coding Benchmark
[ACM] 2026-7-6 | Museum Game Jams as Community-Engaged Design and Computer Science Education
[ACM] 2026-7-6 | 'Let's learn together!': Developing PCK for Physical Computing in Primary Schools
[ACM] 2026-7-6 | Transforming Code Patterns into Procedural Abstractions: An Empirical Study of De-com-po-si-tion
[ACM] 2026-7-6 | Trustworthy AI and Discretion-Based Decision Making in Case Processing: Perceptions for the Future
[ACM] 2026-7-6 | Understanding Cross-Language Programming Knowledge Transfer as a Regulated Learning Process
[ACM] 2026-7-6 | Verification and Ownership: How Professional Engineers Navigate the GenAI Coding Frontier
[ACM] 2026-7-5 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[ACM] 2026-7-5 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[ACM] 2026-7-5 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[ACM] 2026-7-5 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[ACM] 2026-7-5 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
[ACM] 2026-7-6 | QueryPRIMM: A PRIMM-Based Tool for Learning SQL
[ACM] 2026-7-6 | Doing the Work? Student Perspectives on AI Tools in Computing Education
[ACM] 2026-7-6 | Say What? Examining Text and Voice Input Modalities for Prompt-Based Programming in Computing Education
[ACM] 2026-7-6 | Proposing Threshold Concepts in Machine Learning
[ACM] 2026-7-6 | Inside the Show: A Live VR Performance and the Backstage Systems Behind It
[ACM] 2026-7-5 | Beyond Translation Accuracy: Addressing False Failures in LLM-Based Code Translation
[ACM] 2026-7-6 | Quantifying Student Mistakes and Misconceptions of the Run-Time Memory Layout of Java Programs
[ACM] 2026-7-6 | Interaction Patterns With Data Science AI Tutor In Project-Based Learning
[ACM] 2026-7-6 | Teaching Debugging in Cloud-Native Application Development: A Course Intervention Study
[ACM] 2026-7-6 | Exploring Fairness Perceptions in AI Grading Policies
[ACM] 2026-7-6 | Exploring AI for Golden Agers: From Mystery to Mastery
[ACM] 2026-7-6 | Using Small Explanatory Interpreters Inspired by Programming Language Education to Teach Operating Systems
[ACM] 2026-7-6 | Confidence Outpaces Interest: Upper Elementary AI Attitudes in a Science-Integrated Unit
[ACM] 2026-7-6 | A no-code Machine Learning Dashboard for Practice-based Personalized Learning
[ACM] 2026-7-6 | Non-Native English Speakers in CS1: Expectancy, Value, and Belonging
[ACM] 2026-7-6 | Make a Wish: Culturally-Responsive Contexts for Programming Tasks
[ACM] 2026-7-6 | Bridging the Gap: Understanding the Structure and Scope of Bridge-to-Computing Master's Programs
[ACM] 2026-7-6 | Supporting
                    <i>Problem Solvers:</i>
                    An Oral Problem-Solving Assessment Track in Large Undergraduate CS Courses
[ACM] 2026-7-6 | How Students Focus their Studying when Offered Exam Re-takes
[ACM] 2026-7-5 | ClassEval-Pro: A Cross-Domain Benchmark for Class-Level Code Generation
[ACM] 2026-7-5 | Towards AI as a Collaborative Partner: A Taxonomy of AI Agent Behavior in Software Engineering
[ACM] 2026-7-5 | Towards Migrating Neural Network Implementations
[ACM] 2026-7-6 | Connecting Calculus to Computing Education A Conceptual Mapping Tool to Support Disciplinary Applications
[ACM] 2026-7-6 | Brachetti's Restaurant: An Operating Systems Unplugged Activity
[ACM] 2026-7-6 | From SQL Struggles to Visual Insights: Revealing Transformations for Data Science Education
[ACM] 2026-7-6 | Simulation-First Probability for Computing Students: A Giant-Waves Case Study
[ACM] 2026-7-6 | From Students Struggles to Teachers Insights: A Dashboard of Student-AI Interactions in ML Practical Assignments
[ACM] 2026-7-6 | Interleaving Natural Language Prompting with Code Editing for Solving Programming Tasks with Generative AI Models
[ACM] 2026-7-6 | Blockchain Education Demystified: Blended Learning as an Equity Lever in Computer Science Education
[ACM] 2026-7-6 | SSDVis: Teaching Students Modern OS Concepts in a Flash
[ACM] 2026-7-6 | A National Competency Framework for AI Skills across Education and the Workforce
[ACM] 2026-7-5 | RustBuildEq: A Benchmark for Binary Equivalence under Build Variability
[ACM] 2026-7-5 | Testing AIware Systems: A Software Engineering Survey
[ACM] 2026-7-5 | CrossCommitVuln-Bench: A Dataset of Multi-commit Python Vulnerabilities Invisible to Per-Commit Static Analysis
[ACM] 2026-7-6 | How Can Accessibility in Computing Education Be Improved Through HCI Research?
[ACM] 2026-7-6 | Teaching Data Science without the Programming Barrier: Design and Evaluation of an Integrated Learning Platform
[ACM] 2026-7-6 | SQL Beyond Querying: Enhancing SQL Learning with Schema and Data Management
[ACM] 2026-7-6 | Correcting Transcripts: Student Interactions with VLM Graders
[ACM] 2026-7-6 | Constructing 3D-Models and Utilizing Workbooks to Teach Hardware: A Mixed-Media Approach
[ACM] 2026-7-6 | When There Is No Right Answer: How Computing Students Navigate Open-Ended Problems through Collaborative Discussion and Peer Evaluation
[ACM] 2026-7-5 | Configuring Agentic AI Coding Tools: An Exploratory Study
[ACM] 2026-7-5 | Is Artificial Intelligence an Elixir to the Software Engineering Community? An Empirical Study among Managers
[ACM] 2026-7-5 | When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests
[ACM] 2026-7-6 | Co-creation of Real-World Educational Technologies as a Constructionist AI Literacy Curriculum
[ACM] 2026-7-6 | Challenges and Opportunities in Introductory Computer Science Education
[ACM] 2026-7-6 | Towards a Comprehensive Understanding of Replication in Computing Education
[ACM] 2026-7-6 | Towards Prioritized and Actionable Programming Misconceptions
[ACM] 2026-7-6 | Writing Blog Posts Helps Students Connect Experiential Learning to the Workplace
[ACM] 2026-7-6 | Erratum: Navigating Posit Arithmetic: A Comprehensive Survey of Principles, Hardware, and Applications
[ACM] 2026-7-5 | A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models
[ACM] 2026-7-6 | 'I can't read your mind': A Study of Neurodivergent Computing Students' Experiences with Collaborative Active Learning
[ACM] 2026-7-6 | Towards a Shared Framework for Selection, Design, and Evaluation of Mastery Learning Models in Computing Education
[ACM] 2026-7-6 | Multi-sensory Learning of Data Structures for Blind Students Using 3D Printing
[ACM] 2026-7-6 | Participatory Design of Educational Tools with Teachers to Address Children's AI Misconceptions
[ACM] 2026-7-6 | Relational Thinking Meets NoSQL: Challenges in Learning MongoDB and Cassandra
[ACM] 2026-7-6 | Cheap and Cheerful: Low-Fidelity Prototyping for Spatial Stories
[ACM] 2026-7-5 | Operationalizing Ethics for AI Agents: How Developers Encode Values into Repository Context Files
[ACM] 2026-7-5 | When AI Coding Assistants Leak Training Data: A Study of LLM Memorization in Code Generation
[ACM] 2026-7-6 | Voice-Controlled S
                    <scp>cratch</scp>
                    for Children with (Motor) Disabilities
[ACM] 2026-7-6 | Designing Scalable, Context-Adapted CS Placement Exams: An IRT-Based Approach
[ACM] 2026-7-6 | Does This Even Matter in the Real World? Real World Problems in Foundational Theory Courses
[ACM] 2026-7-6 | Play, Explore, Reward: Introducing Reinforcement Learning Concepts through Game-Based Learning in Middle School
[ACM] 2026-7-6 | A Large-scale Analysis of Workplace Discussions on StackExchange
[ACM] 2026-7-6 | Proceedings of the 9th ACM/IEEE International Workshop on Software-intensive Business
[ACM] 2026-7-6 | Collaborative Sensemaking of Unplugged AI in K-2 Language Arts: A Teacher Case Study
[ACM] 2026-7-6 | Social Media and the Construction of Computer Science Occupational Identity
[ACM] 2026-7-6 | A Configurable Gomoku Framework for Learning Heuristics
[ACM] 2026-7-6 | Pedagogical Content Knowledge in Database Education
[ACM] 2026-7-6 | Purplex: An Integrated Platform for Natural Language Programming and Code Comprehension Activities
[ACM] 2026-7-6 | Global-Scale Photorealism with Google Immersive View XR
[ACM] 2026-7-6 | Dog Walk: Narrating Human-AI Alignment through Companion Robots
[ACM] 2026-7-5 | Auditing Who Appears to Belong: A Large-Scale Empirical Study of Bias in Deployed Text-to-Image Systems for Software Engineering
[ACM] 2026-7-6 | Perfecting Partnerships: Employers' Impact through Situated Learning During Computing Internships
[ACM] 2026-7-6 | From Alienation and Culturally-relevant Context to Empowerment: Harnessing Adversarial Thinking Through a Sense of Belonging and Culturally-relevant Contexts
[ACM] 2026-7-6 | Surveying Dropouts from a Finnish CS Bachelor's Programme
[ACM] 2026-7-6 | Beyond Understandability: Which Code Quality Defects Do Instructors Identify Frequently in Novice Programs?
[ACM] 2026-7-6 | Integrating a CS+Linguistics Project into High School English
[ACM] 2026-7-6 | Boundary Crossing in Computing: Investigating Students' Internship Experiences and Role of Industry Mentors
[ACM] 2026-7-5 | TriORM: Workload-Aware Neural-Symbolic Multi-objective Optimization for ORM Mapping Design
[ACM] 2026-7-5 | Wink: Recovering from Misbehaviors in Coding Agents
[ACM] 2026-7-6 | From Gamification to Insights: Predicting Student Success in an Introductory Programming Course
[ACM] 2026-7-6 | Hopfield Networks in CS1
[ACM] 2026-7-6 | The Algorithmic Thinking Gap: Teachers' Self-Assessed Competence in Programming and Algorithms
[ACM] 2026-7-6 | Beyond the Classroom: Designing an Interdisciplinary AI Innovation Challenge at a Minority-Serving Institution
[ACM] 2026-7-5 | From Correctness to Consistency: Redefining Reliability for the Agentware Era
[ACM] 2026-7-6 | Beginning, Now, Ever More: Thirty years: ITiCSE and Computing Education
[ACM] 2026-7-6 | From Global Models to Local Realities: AI Literacy, Education Policy, and Governance in Ghana
[ACM] 2026-7-6 | Nudging Better Version Control Behavior
[ACM] 2026-7-6 | Do Students Plan to Improve What They Struggle With? An Analysis of Programming Reflections
[ACM] 2026-7-6 | Sustainability as an Integral Aspect of Computing Education
[ACM] 2026-7-6 | PyGuide: A Visual Studio Code Extension Providing Diagnostics for Possible Misconceptions
[ACM] 2026-7-6 | When to Check In?: Identifying Early Signs of Student Struggle at Various Cut-Points in CS1 Course Data
[ACM] 2026-7-6 | Creative Exploration Meets Time Constraints: Academic and Professional Approaches to Adversarial Thinking
[ACM] 2026-7-5 | An Empirical Study of Reasoning Steps in Thinking Code LLMs
[ACM] 2026-7-6 | Finding Waldo: The Hidden Curriculum of Computing Education
[ACM] 2026-7-6 | Biology Context Programming Activities for CS1
[ACM] 2026-7-6 | Student Perceptions of Alternative Evaluation in an Introductory Programming Course
[ACM] 2026-7-6 | A Qualitative Examination of Undergraduate CS Students' Self-Regulated Learning
[ACM] 2026-7-6 | Spatial Skills Training Effects Throughout a Computer Science Degree
[ACM] 2026-7-6 | BREAK-IT: Understanding Novice Approaches to an Attack Challenge Task
[ACM] 2026-7-6 | Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 1
[ACM] 2026-7-6 | Perceived Product Management Priorities in Software Startups.
[ACM] 2026-7-6 | Beyond the Pipeline: Understanding Women's Pathways into Doctoral Education
[ACM] 2026-7-6 | Understanding and Supporting Computing Education in the Digital Humanities
[ACM] 2026-7-5 | Quality and Security Signals in AI-Generated Python Refactoring Pull Requests
[ACM] 2026-7-6 | OUT OF THE ASHES: A Work-In-Progress Immersive Documentary about the Human Cost of Climate Change
[ACM] 2026-7-6 | Pre-Service Computer Science Teachers' Perspectives on AI Education in a Teaching-Learning Lab
[ACM] 2026-7-6 | Google's Original Secret Sauce: The PageRank Algorithm
[ACM] 2026-7-6 | Designing a Hardware Reverse Engineering Course: Lessons from Eight Years in a Rapidly Evolving Tech Domain
[ACM] 2026-7-6 | A Competitive Platform for Automated Evaluation of Optimization Algorithms in Computing Education
[ACM] 2026-7-6 | Using Peer Code Reviews to Scale a Brownfield Software Engineering Course
[ACM] 2026-7-6 | Naming Variables is Hard – Assessing Names Need Not Be: An Inductive Taxonomy for Grading Variable Names
[ACM] 2026-7-6 | Teaching Responsible AI From the Borders of Computer Science: An Experience Report
[ACM] 2026-7-5 | SecVulEval: Context-Aware Benchmarking of LLMs for Vulnerability Detection
[ACM] 2026-7-6 | C/x86 Emulator: A Web-Based Interactive Tool for Understanding x86-64 Assembly and Visualizing C Program State
[ACM] 2026-7-6 | App-solutely Vulnerable: Learning Mobile Security through Build, Fortify, and Attack
[ACM] 2026-7-6 | Impacts of Stress During CS Learning: Physiological Insights for Adaptive Education
[ACM] 2026-7-6 | Applying the Traffic Light Assessment Framework to an AI-Integrated Coursework
[ACM] 2026-7-6 | Teamwork in Computing Education: Skills, Values, and Virtues
[ACM] 2026-7-6 | ACM2Y: Supporting Computing Educators in Two-Year Programs
[ACM] 2026-7-6 | Embedding External Partner Code Reviews into Mobile Application Development Coursework
[ACM] 2026-7-6 | The Ghost in the Machine: AI in Software Ecosystems
[ACM] 2026-7-6 | Towards a Readiness Framework for Agentic AI in 6G Software Businesses: Challenges and Adoption Pathways
[ACM] 2026-7-6 | Public IS procurement stakeholders' views on success – A Delphi study
[ACM] 2026-7-6 | An Experience Report: What Students Say Could be Done to Promote Dispositions
[ACM] 2026-7-6 | Oral Exams at Scale in Introductory Computing: Student Outcomes and Perceptions
[ACM] 2026-7-6 | Self-Regulated Personal Contracts as a Harm Reduction Approach to Generative AI in Undergraduate Programming Education
[ACM] 2026-7-5 | TOGBench: A Developer-Written Multi-variant Dataset and Benchmark Suite for Test Oracle Generation
[ACM] 2026-7-5 | Can LLMs Really Reason about Code? Studying How Well LLMs Understand the Relation between Input, Code, and Output
[ACM] 2026-7-6 | Interactive Cybersecurity Education for Upper Secondary School
[ACM] 2026-7-6 | Work-Integrated Learning Meets Program Outcomes and Student Needs
[ACM] 2026-7-6 | Perspectives on Progression within Engineering and Computer Science Degrees
[ACM] 2026-7-6 | Fostering Cybersecurity Awareness in a Diverse Primary School
[ACM] 2026-7-6 | Personalized and Representational Scaffolding to Foster Teachers' Diagnostic and Intervention Skills in Debugging
[ACM] 2026-7-6 | Effective Use of Large Language Models for Social Constructivism in Computer Science Education
[ACM] 2026-7-6 | The Electrified Black Box—Children's Preconceptions About Hardware Components and Their Functions
[ACM] 2026-7-6 | C
                    <scp>onjuror</scp>
                    : A GenAI-Powered Tool to Support Teachers Customizing a Scratch Curriculum
[ACM] 2026-7-6 | A Correctness-First Introduction to Computer Science
[ACM] 2026-7-6 | Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 2
[ACM] 2026-7-6 | Computing Science Education on the AI Innovation Landscape
[ACM] 2026-7-6 | Introducing Undergraduate Students to Computing Education
[ACM] 2026-7-6 | Exploring Language-Based Differences in Student Reflection
[ACM] 2026-7-6 | A Simple Interactive Tool for Bridging Discrete Math and Computer Science
[ACM] 2026-7-6 | What a Middle Grades Concept Inventory Reveals about Programming Understanding in Pre-Service Teachers: Error Prevalence, Misconceptions, and Psychometric Validity
[ACM] 2026-7-6 | The Instrument Is the Story: Ten Years of Spatial Music-Making with Paradiddle
[ACM] 2026-7-6 | Code Quality Catalog for Embedded-Systems (Doctoral Consortium)
[ACM] 2026-7-6 | A Glossary-Based Learning Platform to Support Novice Learners in IT Literacy
[ACM] 2026-7-6 | 'If You Don't Know, Just Ask': How New Graduates Demonstrate Non-Technical Skills and Behaviours in the Workplace
[ACM] 2026-7-6 | Peer Networks and Instructor Resources as Complementary Support Systems in Six CS Classrooms
[ACM] 2026-7-6 | Teamwork for Computer Scientists in Education and Practice
[ACM] 2026-7-5 | Proceedings of the 3rd ACM International Conference on AI-Powered Software
[ACM] 2026-7-5 | From Code Review to Spec-Driven Contracts: A Vision for Auditable AIWare Systems
