[2026-09-14 23:33:16] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-13
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609130000+TO+202609132359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-13 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[ACM] 2026-9-13 | Chameleon: Adaptive Bidirectional Pipeline Parallelism for Edge Collaborative Training
[ACM] 2026-9-13 | RSC: Enabling High-Performance RDMA for Serverless Services with Adaptive Network Multiplexing
[ACM] 2026-9-13 | Scalable Exact Path Selection via Structure-Aware Search for Virtual Payment Channels
[ACM] 2026-9-13 | Bypass-Enabled Topology-Agnostic Multicast Router for Fault-Tolerant Network-on-Chips
[IEEE] 2026-9-14 | A Cybersecurity Framework to Safeguard Smart Healthcare Systems and Enable Trustworthy AI-Based Monitoring in Smart Cities
[IEEE] 2026-9-14 | Big Data-Driven Predictive Maintenance for Smart Cities
[IEEE] 2026-9-14 | A Deep Learning Approach to Infectious Disease Forecasting Using a Susceptible-Exposed- Infectious-Recovered (SEIR) Based Framework
[IEEE] 2026-9-14 | A Comparative Study of Explainable Deep Learning Architectures for Coral Bleaching Detection: Towards a Smart Ocean Framework in Oman
[IEEE] 2026-9-14 | A Predictive Machine Learning Model for Adaptive Learning in Higher Education
[IEEE] 2026-9-14 | Learning From Experts: Serial-Refine Guided Wind Farm Power Maximization for Floating Offshore Wind Farms
[IEEE] 2026-9-14 | From Numerical Estimation to Explainable Insight: A Self-Explainable Semantic Reasoning Framework for Battery State Estimation
[IEEE] 2026-9-14 | AI-Powered Predictive Diagnostics and Intelligent Healthcare Resource Allocation for Sustainable Smart Cities
[IEEE] 2026-9-14 | Enabling Edge-Deployable NILM via Feature-Fused Prototypical Learning
[IEEE] 2026-9-14 | ICGSP 2026 Cover Page
[IEEE] 2026-9-14 | Conceptual Design and Kinematic Analysis of a Novel Robotic Moxibustion Therapy System
[IEEE] 2026-9-14 | Short-Circuit Analysis Considering IBR Control Mode for Distribution Networks via Mixed-Integer Conic Programming
[IEEE] 2026-9-14 | Reinforcement Learning Model Predictive Control for Long-Term Regulation
[IEEE] 2026-9-14 | A Deep Reinforcement Learning Approach For Load Shifting in Industrial Refrigeration Facilities
[IEEE] 2026-9-14 | Thermal management optimization of Battery Electric Vehicles via hierarchical NMPC with CMO-trained Neural Models
[IEEE] 2026-9-14 | Direct Wave Excitation Force Forecasting via LSTM-Diffusion for Model Predictive Control of Wave Energy Converters
[IEEE] 2026-9-14 | SAR-YOLO11: A High-Resolution YOLO11 Framework for UAV Thermal Infrared Person Detection in Search-and-Rescue Scenarios
[IEEE] 2026-9-14 | A Multi-Layer Robust Parsing Method for LLM-Generated Grading Outputs
[IEEE] 2026-9-14 | A Deep Learning Framework for Alarm Flood Classification and Open-Set Cyberattack Detection
[ACM] 2026-9-14 | <scp>z</scp>
                    B
                    <scp>ulk</scp>
                    : Towards Automatic Compartmentalization in Rust with Zero Manual Retrofitting
[IEEE] 2026-9-14 | Coordinated Dispatch Optimization of a Renewable Energy Park Microgrid Considering V2B and Flexible Loads
[IEEE] 2026-9-14 | The Use of Eggshell Powder and Walnut Shell Powder as a Sustainable Partial Replacement of Concrete: Experimental Study of Mechanical and Environmental Performance
[IEEE] 2026-9-14 | Huawei Announces the Tau Scaling Law [Editorial]
[IEEE] 2026-9-14 | Securenet DFIR: An AI-Assisted Digital Forensics and Incident Response Framework for Small and Medium-Sized Enterprises
[IEEE] 2026-9-14 | To Assess the Impact of Biochar on Geo-Technical and Hydraulic Properties of Soil
[ACM] 2026-9-14 | Dissecting the Performance Impact of System Calls
[IEEE] 2026-9-14 | Anomaly Detection in Spending Patterns for Fraud Prevention
[IEEE] 2026-9-14 | Towards Smart-Sustainable Intersection Management: Operational Performance in Muscat
[IEEE] 2026-9-14 | Building Resilient Food Supply Chains using Blockchain and IoT-based Food Systems in the African Food Industry
[IEEE] 2026-9-14 | Health Status Assessment of Vacuum Circuit Breaker Based on Improved Grey Bootstrap Sample Expansion and Single Ring Theorem
[IEEE] 2026-9-14 | A Comparative Study of Spatial Filtering Configurations in Non-Learning Point Cloud Registration Pipelines for Indoor and Outdoor Environments
[IEEE] 2026-9-14 | Power System Transient Stability Assessment Method Based on SAE-HA-HEM
[IEEE] 2026-9-14 | Safe Deep Reinforcement Learning for Energy-Efficient HVAC Control in Multi-Zone Residential Buildings
[IEEE] 2026-9-14 | Optical State Estimation from Intensity-Domain Interference Measurements Using a Polarization Diversity Receiver
[IEEE] 2026-9-14 | Spatial and Temporal Resampling for Interactive Wave Optics Rendering
[IEEE] 2026-9-14 | Battery State-of-Health Estimation based on Partial Discharge Curves
[IEEE] 2026-9-14 | Data-Driven Phase Synchronization for Dynamic Repositioning of Floating Wind Turbines
[IEEE] 2026-9-14 | Multi-Source Meteorological Radar Data Fusion for Quantitative Precipitation Estimation Based on BP Neural Network
[IEEE] 2026-9-14 | Spatial Geometry-Based Position Error Compensation for Master-Slave Underwater Robots During Non-Information Interaction Intervals
[IEEE] 2026-9-14 | Simulation Study on the Influence of Cathode Inlet Air Conditions on the Performance of an Air-Cooled PEMFC
[IEEE] 2026-9-14 | Leveraging Wave Power for the Stability of Offshore Floating Wind Turbine
[IEEE] 2026-9-14 | Effects of Microscopic Structural Evolution on Dielectric Properties of XLPE During Thermal Aging: A Combined Theoretical and Experimental Analysis
[IEEE] 2026-9-14 | Research on Motion Prediction of Unmanned Underwater Vehicle Based on Machine Learning
[IEEE] 2026-9-14 | Kinematic Design and Simulation of a Rigid–Flexible Caterpillar Robot with Opposite-Handed Kresling Cell Pairs
[ACM] 2026-9-13 | Parallel Prefix Filter Search for Weighted Jaccard Similarity
[ACM] 2026-9-13 | Edge-Cloud Collaborative RAG with Multi-State Semantic Caching
[ACM] 2026-9-13 | RPSC: Robust LLM Scheduling by Tolerating Prediction Inaccuracy and Mitigating Tail Latency
[ACM] 2026-9-13 | StreamTrace: Fast Trace Analysis for Large-Scale Parallel Applications on a Single Node
[ACM] 2026-9-13 | Proceedings of the 55th International Conference on Parallel Processing
[ACM] 2026-9-13 | ZSWP: Rollback-Free Spherical ε-Join for Scalable Astronomical Cross-Matching on Heterogeneous Supercomputer Architectures
[ACM] 2026-9-13 | SimPattern: A Novel Byte-Pattern Matching based Chunk Similarity Detection for Post-Deduplication
[ACM] 2026-9-13 | AFH-SpMM: Auto-Fit Heterogeneous Block Sparse-Dense Matrix Multiplication on Tensor Core GPUs
[ACM] 2026-9-13 | Elasticity in Parallel Sparse Triangular Solve
[ACM] 2026-9-14 | A Phygital Game Prototype to Support Speech-Therapy-in-the-Loop AI in Pediatric Rehabilitation
[ACM] 2026-9-14 | XDP_CLONE: Efficient In-Driver Packet Duplication for eBPF-Accelerated Systems
[IEEE] 2026-9-14 | Distributed model predictive control of lateral-longitudinal vehicle dynamics
                    <sup>†</sup>
[IEEE] 2026-9-14 | CauPri: Causal Prior Guided Diffusion Model for Thermal Power Monitoring Imputation
[IEEE] 2026-9-14 | Subjective Decision-Making in Multi-Agent Reinforcement Learning with Cumulative Prospect Theory and Social Value Orientation
[IEEE] 2026-9-14 | ICGSP 2026 Contributor Page
[IEEE] 2026-9-14 | DCF Control Method Based on Digital Control and Its Stability Analysis
[IEEE] 2026-9-14 | Evaluation of Users Opinion on Pregnancy and Child Growth Mobile Application
[IEEE] 2026-9-14 | Personalized Learning in Computer Science: A Retrieval-Augmented Generation (RAG) Framework for Data Structures Tutoring
[IEEE] 2026-9-14 | Air-Ground Collaborative ISAC for LAE: UAV Swarms as Virtual Aerial Arrays for 3D Observability and Seamless Mobility
[IEEE] 2026-9-14 | Impact of RTK Augmentation and INS Integration on GNSS Positioning Accuracy and Continuity: A Benchmarking Study on Inland Waterways
[IEEE] 2026-9-14 | Intelligent Hierarchical Coordinated Control for Off-Road Series Hybrid Electric Vehicles Energy Management and Electric Power Response
[IEEE] 2026-9-14 | Practical and Scalable Multi-Agent Motion Planning for Planar Mover Systems
[IEEE] 2026-9-14 | Dissimilarity-Based Persistent Coverage Control of Multi-Robot Systems for Improving Solar Irradiance Prediction Accuracy in Solar Thermal Power Plants
[IEEE] 2026-9-14 | A Fault Diagnosis Method for Wind Turbine Gearboxes Based on Time-Frequency Feature Extraction
[IEEE] 2026-9-14 | ICGSP 2026 Copyright Page
[IEEE] 2026-9-14 | Fault Diagnosis of Industrial Robot Joints with Information Fusion of CNN and Enhanced D-S Evidence Theory
[IEEE] 2026-9-14 | Bidirectional Transformer Representations for Transferable Statistical Language Models
[IEEE] 2026-9-14 | Toward Native ISAC Support in O-RAN Architectures for 6G
[ACM] 2026-9-14 | Balancing immersion and usability in virtual reality training: Effects on self-efficacy and user experience in mass casualty incident simulation
[ACM] 2026-9-14 | Visual Storytelling for Knowledge Sharing in Co-Design Workshops on Urban Air Mobility
[ACM] 2026-9-13 | MOPAR: A Model Partitioning Framework for Deep Learning Inference Services on Serverless Platforms
[ACM] 2026-9-13 | PIM-Forge: Toward Autonomous PIM Kernel Synthesis through Constraint-Guided Hardware Exploration
[IEEE] 2026-9-14 | Obstacle Avoidance of Dual-Arm Space Robots via Nonlinear Model Predictive Control and Velocity Dampers
[IEEE] 2026-9-14 | Experimental Validation of ISSf-HOCBF-Based Cooperative Transport for Multiple UAVs under Disturbances
[IEEE] 2026-9-14 | Shaping Energy Exchange with Gyroscopic Interconnections: a Geometric Approach
[IEEE] 2026-9-14 | Digital Financial Inclusion and Green Fintech: Impact Pathways, Paradoxes and Future Directions
[IEEE] 2026-9-14 | LightGuardNet: Lightweight Explainable XGBoost-Based Intrusion Detection System Framework for IoHT Cyberattacks
[IEEE] 2026-9-14 | AI-Driven Hybrid Ensemble Framework for Predictive and Real-Time Network Anomaly Detection in Intelligent Digital Infrastructure: Implications for Cybersecurity Education
[IEEE] 2026-9-14 | Design of an Energy-Efficient Vlsi-Based Ecg Signal Processing System for Real-Time Health Monitoring
[IEEE] 2026-9-14 | A Systematic Review of Convolutional Neural Network-Based Crack Diagnostics &amp; Predictive Repair Using GGBFS Geopolymer Mortar: Correlating Crack Metrics with Strength and Durability
[IEEE] 2026-9-14 | Explicit Bounds on the Hausdorff Distance for Truncated mRPI Sets via Norm-Dependent Contraction Rates
[IEEE] 2026-9-14 | Planning and Development of Coastal Lagoons for the Northern Regions of Oman- An AI Integrated Approach
[IEEE] 2026-9-14 | Performance Optimization and System Construction of Lateral Insulation Layers for ZnO Varistors
[IEEE] 2026-9-14 | Closed-Loop Control with Rule-Aligned Small Language Models and Multi-Agent Self-Correction
[IEEE] 2026-9-14 | Selection-Based Kernelized Data-Enabled Predictive Control for Nonlinear Systems
[IEEE] 2026-9-14 | Underwater Formation Model-Guided Spectral Channel Attention Network for Underwater Image Enhancement
[IEEE] 2026-9-14 | OCS-Net: Object Detection Network for Complex Underwater Scenes
[IEEE] 2026-9-14 | Oil Sands Hopper Level Estimation Using Task-Oriented Image-to-Image Domain Translation
[IEEE] 2026-9-14 | Robust Navigation Trajectory Reconstruction for Combine Harvesters Based on Multi-Criteria Reliability Evaluation
[IEEE] 2026-9-14 | Context-Aware Mode-Dependent Alarm Analytics for Multimode Industrial Processes
[IEEE] 2026-9-14 | Bi-Level Distributed Optimal Scheduling of Multi-Microgrid Systems Based on P2P Trading and Stackelberg Game
[IEEE] 2026-9-14 | A Hierarchical MPC–DDPG Collaborative Optimization Method for Distributed Energy and Energy Storage Scheduling
[IEEE] 2026-9-14 | Noncontact Planar Manipulation of Magnetic Particles by Minimum Number of Electromagnets
[IEEE] 2026-9-14 | A Neural-Network-Assisted Multi-Value Settlement Framework for Long-Term Hydropower PPAs Under Renewable-Dominated Power Systems
[IEEE] 2026-9-14 | A Critical Analysis on Approximate and Reconfigurable Architectures for Energy-Efficient Edge Computing
[IEEE] 2026-9-14 | Explainable Random Forest Models for Short-Horizon Stock Direction Prediction in Indian Equity Market
[ACM] 2026-9-13 | Low-bit and Sparsified Gradient Communication for Accelerating Distributed Deep Learning with Convergence Guarantees
[ACM] 2026-9-13 | RayFST: Accelerating Finite-State Transducer Composition with Ray Tracing Cores
[ACM] 2026-9-13 | DiCTR: A Distributed Lightweight Second-Order Optimization Algorithm for Deep Model Training
[IEEE] 2026-9-14 | Energy Transition and Employment from the Perspective of Just Transition: Evidence from China's Urban Electric Power Sector
[IEEE] 2026-9-14 | What Makes a Good Meta-Feature? Comparing Statistical, Embedding-Based, and Landmark Features for Automated Model Selection in Abstractive Summarisation
[IEEE] 2026-9-14 | Security-By-Design Automation for Resource-Constrained Healthcare Facilities: A Systematic Review of Cyber Threats, Open-Source Tools, and Mitigation Gaps
[IEEE] 2026-9-14 | Dual-Constraint Optimization of Mouse V1 Modeling: Integrating Sparsity and Excitation–Inhibition Balance for Improved Representational Similarity With DNNs
[IEEE] 2026-9-14 | Automation Parking Management System UsingSmart Technologies at Middle East College
[IEEE] 2026-9-14 | Corrosion Analysis of Aluminum Alloy
[IEEE] 2026-9-14 | Investigation of Droplet Evaporation Characteristics for Thermal Management in Clean Energy Power Generation Equipment
[IEEE] 2026-9-14 | Optimizing Machine Learning Models for Real-Time Threat Prioritization in SME SOCs: A Comparative Review
[IEEE] 2026-9-14 | Detectability of Internal Short Circuits in Parallel-Connected Lithium-Ion Cells
[IEEE] 2026-9-14 | WSES 2026 Contributor Page
[IEEE] 2026-9-14 | Efficient Power Flow Calculation for Large-Scale Power Systems Based on Residual-Adaptive Multi-Stage Holomorphic Embedding
[IEEE] 2026-9-14 | Budgeted Two-Stage DeePC for Reducing Tracking Errors and Output-Constraint Violations
[IEEE] 2026-9-14 | Optimal Secure Estimation Strategy of Cyber-Physical Systems Based on Auxiliary System Redundancy
[IEEE] 2026-9-14 | ICGSP 2026 Content Announcement Page
[IEEE] 2026-9-14 | A Second-Order State-Sensitivity Propagation Method for Inertial Navigation Error Analysis Under Static-Base Conditions
[IEEE] 2026-9-14 | Image Classification Using Computer Vision and Deep Learning for Shelf Monitoring
[IEEE] 2026-9-14 | Research and Design of an Intelligent Flowerpot System
[IEEE] 2026-9-14 | Control Strategy for Two-Phase Orthogonal/Three-Phase Multiplexed Electromagnetic Stirring Power Supply
[IEEE] 2026-9-14 | ICGSP 2026 TOC
[IEEE] 2026-9-14 | Multi-Task Generalization Control for Bipedal Robots Leveraging Hierarchical Curriculum Learning and Optimized Experience Replay
[ACM] 2026-9-14 | D
                    <scp>eter</scp>
                    V: Verifying Deterministic Parallel Execution
[IEEE] 2026-9-14 | Global Reach, Local Impact: IEEE Sensors Council Seasonal Schools Program Empowers Future Innovators [News From the Council]
[IEEE] 2026-9-14 | Identification of Hotspot Areas for Traffic Accidents and Analyzing Drivers' Behaviors. A Case Study of Muscat
[ACM] 2026-9-14 | Proceedings of the 14th Workshop on Programming Languages and Operating Systems
[IEEE] 2026-9-14 | Robust Zonotopic Control
[IEEE] 2026-9-14 | Framework for Investigating Buffered and Non-Buffered UAV-Assisted FSO Cooperative Relay Networks in City Monitoring Applications
[IEEE] 2026-9-14 | SPOT.ai: A Conceptual Vision-Driven Framework for Smart Parking Optimization in Muscat
[IEEE] 2026-9-14 | Research on Kinematic Modeling and Gait Planning of a Hexapod Bionic Robot
[IEEE] 2026-9-14 | A Power Load Forecasting Method Based on CEEMDAN and Attention Hybrid Deep Networks
[IEEE] 2026-9-14 | Thermal Radiation Characteristics and Cooled MWIR Detection of Water-Blocking Tape Ablation in High-Voltage XLPE Cables
[IEEE] 2026-9-14 | An Analytical Analysis of the Coupling Between Wave Energy Control (Single &amp; Array) and Wave Excitation Force Estimation Under Model Errors
[IEEE] 2026-9-14 | A Causality-Based Bi-LSTM-STM Approach for Day-Ahead Photovoltaic Power Forecasting
[IEEE] 2026-9-14 | CISR 2026 Conference Committees
[IEEE] 2026-9-14 | Large-Scale Electric Vehicle Charging Load Forecasting Based on Dynamic Adaptive Graph Neural Network
[IEEE] 2026-9-14 | Using Blockchain Technology to Enhance the Security and Authenticity of Academic Certificates
[IEEE] 2026-9-14 | DCNet: A CBAM-Enhanced DenseNet-121 Framework for Cotton–Weed Discrimination
[IEEE] 2026-9-14 | A Lightweight Dynamic ROI Generation Algorithm for Pure CPU Edge Devices
[ACM] 2026-9-14 | Do Hedonic Aspects of Context Bias UX Evaluation? Evidence from Controlled Virtual Environments
[ACM] 2026-9-14 | Proceedings of the 2026 European Conference on Cognitive Ergonomics
[ACM] 2026-9-13 | ZNStore: Decomposing the B+Tree Write Path for Zoned Namespace SSDs
[ACM] 2026-9-14 | Using AI-Generated Videos to Simulate Different People Communicating the Same Healthcare Needs: An Exploratory Study of Care Prioritisation and Trust Across Health Professional and Public Groups
[ACM] 2026-9-14 | deMIT Open Research: A Cognitively Sustainable Infrastructure for Shared Knowledge
[ACM] 2026-9-14 | Gender Representation in Chatbot Design: Implications for User Experience
[ACM] 2026-9-13 | Revealing NVIDIA Closed-Source Driver Command Streams for CPU–GPU Runtime Behavior Insight
[ACM] 2026-9-13 | Sparsity-aware Fine-Grained Parallelization for Set Intersection Computations in Graph Datasets
[ACM] 2026-9-13 | AIE-HE: Accelerating Client-Side Processing of Homomorphic Encryption on AMD AI Engine
[IEEE] 2026-9-14 | Calculating the Probability Distribution of Linear Combinations of Branch Active Power
[IEEE] 2026-9-14 | Deep Learning Based Pharmaceutical Identification Through the Optimization of Feature Manifolds in the Mobilenet-V2 Architecture
[IEEE] 2026-9-14 | Comprehensive Characterization of PET Fiber- Reinforced Concrete: Fresh, Microstructural, and Hardened Properties for Sustainable Construction
[IEEE] 2026-9-14 | Exploration and Navigation in a Partially Observable Cluttered Environment using Model Predictive Control and Heat Equation Driven Area Coverage
[IEEE] 2026-9-14 | A Large-Scale Bilingual and Expert-Evaluated Dataset for LLM-Based Smart Healthcare Management in Physical Medicine and Rehabilitation
[IEEE] 2026-9-14 | Lightweight Neural Modular Reasoning for Compositional Visual Question Answering
[IEEE] 2026-9-14 | A Shot–Scene-Based Multimodal Annotation Framework for Analyzing Character Centralization in Animation
[IEEE] 2026-9-14 | Polynomial Chaos Expansion for Nonlinear Receding-Horizon Nash Differential Game with Stochastic Uncertainty
[IEEE] 2026-9-14 | 2026 International Conference on Graphics and Signal Processing (ICGSP)
[IEEE] 2026-9-14 | Intelligent Trajectory Planning for Flight Vehicle with Satellite Cooperative Constraints
[IEEE] 2026-9-14 | MPC-based Torque Vectoring for a High-Performance Vehicle with Feasible Yaw Moment Bounds Computation
[IEEE] 2026-9-14 | laOPT: A Native C++ Optimal Control Toolbox for High-Performance Implementations, and Application to Racing
[IEEE] 2026-9-14 | Introducing Mobilenet-Siamese (MSFHNet) CNN Fusion with Pyramidal Attention and Ethical AI for Bias-Mitigated Breast Cancer Detection in Histopathology
[IEEE] 2026-9-14 | Predicting Social Entrepreneurship Engagement: An AI-Driven Analysis of Community Discourse
[IEEE] 2026-9-14 | Resilient Leader-Following Flocking Under Malicious Agent Attacks: A Zero-Trust Approach
[ACM] 2026-9-14 | μslice: Toward Accurate Sub-Core Allocation with eBPF
[ACM] 2026-9-14 | PHASE: A Platform for Hardware and Software Evaluation of Memory Tiering
[ACM] 2026-9-13 | Thinking Globally, Acting Locally: Merge Sort's Auto-Vectorization on Shuffle-Heavy ISAs
