[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | A nine-line counterexample to a conjecture on the minimal degree of Jacobian relations
[arXiv] 2026-07-02 | MolSight: A Graph-Aware Vision-Language Model for Unified Chemical Image Understanding
[arXiv] 2026-07-02 | Epic-Organized vs. Requirement-Aligned Gherkin: An Empirical Evaluation of LLM-Based Acceptance Criteria Generation
[arXiv] 2026-07-02 | AVD Total Coloring of Central Graphs, Subdivision Graphs, and the Join of Graphs
[arXiv] 2026-07-02 | Moment-Based Selection of Multiresponse Linear Mixed-Effects Models
[arXiv] 2026-07-02 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
[arXiv] 2026-07-02 | Statistical Properties of $k$-means Clustering for Data Missing Completely at Random
[arXiv] 2026-07-02 | Hybrid quantum-classical neural network for sentiment analysis
[arXiv] 2026-07-02 | Neutron stars with primary scalar hair
[arXiv] 2026-07-02 | AIriskEval-edu: New Dataset for Risk Assessment in AI-mediated K-12 Educational Explanations
[arXiv] 2026-07-02 | ElephantAgent: Contextual State Continuity in Agentic Systems
[arXiv] 2026-07-02 | From Battlefield to Boardroom: Strategic Red Teaming as an Epistemic Governance Instrument in the Age of AI
[arXiv] 2026-07-02 | Phase Transitions with Lyapunov Exponents under Einstein and String Frames in Dilatonic Reissner--Nordström--AdS Black Holes
[arXiv] 2026-07-02 | Chaotic behaviors of particles around the black hole with an anisotropic matter immersed in a magnetic field
[arXiv] 2026-07-02 | AI Writes Faster Than Humans Can Review: A Longitudinal Study of an Enterprise 2x Mandate
[arXiv] 2026-07-02 | The Grammar Does the Work: Functional vs. Lexical Dependency Length Minimization Across Universal Dependencies
[arXiv] 2026-07-02 | Reduced characteristic number criteria for equivariant bordism of $T^k$- and $(\mathbb{Z}_2)^k$-manifolds with isolated fixed points
[arXiv] 2026-07-02 | Distance Determination of Southern Galactic Plane Supernova Remnants with the Mopra CO Survey and DECaPS 3D Dust Map
[arXiv] 2026-07-02 | PairCoder++: Pair Programming as a Universal Paradigm for Verified Code-Driven Multimodal and Structured-Artifact Generation
[arXiv] 2026-07-02 | SAB-LVLM: Significance-Aware Binarization for Large Vision-Language Models
[arXiv] 2026-07-02 | QWERTY: Training-Free Motion Control via Query-Warped Video Diffusion Transformers
[arXiv] 2026-07-02 | Refined blow-up criteria and global solutions for triangular cross-diffusion systems
[arXiv] 2026-07-02 | Has This Checkpoint Been Abliterated? A Two-Signal Audit and Its Failure Map
[arXiv] 2026-07-02 | Low-ancilla block encodings via Hamiltonian simulation
[arXiv] 2026-07-02 | Adaptive Group-Based Counterfactual Explanations for Time-Series Rehabilitation Data
[arXiv] 2026-07-02 | PointDiT: Pixel-Space Diffusion for Monocular Geometry Estimation
[arXiv] 2026-07-02 | ReContext: Recursive Evidence Replay as LLM Harness for Long-Context Reasoning
[arXiv] 2026-07-02 | Alleviating prior dependencies for DESI DR1 clustering fits through reparameterization
[arXiv] 2026-07-02 | Almost Supermartingale Extensions of Olivier's Theorem
[arXiv] 2026-07-02 | GeoMix: Descriptor-Free Visual Localization via Global Context and Multi-Detector Training
[arXiv] 2026-07-02 | EAGLE-360: Embodied Active Global-to-Local Exploration in 360$^\circ$
[arXiv] 2026-07-02 | TestEvo-Bench: An Executable and Live Benchmark for Test and Code Co-Evolution
[arXiv] 2026-07-02 | Topological Control of Quantum Chaos Diagnostics: OTOCs, Spectral Statistics, and Information Scrambling in Ising Model
[arXiv] 2026-07-02 | Neuron-Aware Data Selection for Annotation-Free LLM Self-Distillation
[arXiv] 2026-07-02 | Nonholonomic Source Seeking by Torque Tuning: Local and Semi-Global Feedbacks
[arXiv] 2026-07-02 | Endogenous shareholding auctions
[arXiv] 2026-07-02 | When Do LLM Personas Support Visualization Design? A Cross-Model Study of Color Assignment and Chart Choice
[arXiv] 2026-07-02 | Adoption and Ecosystem Health: A Longitudinal Analysis of Open-Source Multi-Agent Frameworks
[arXiv] 2026-07-02 | Native-Opacity Sensitivity of a Fixed Delta Cephei MESA-RSP Pulsation Model
[arXiv] 2026-07-02 | Physical surfaces make touch interactions in virtual reality precise, efficient, and bimanual
[arXiv] 2026-07-02 | Learning to Evolve Scenes: Reasoning about Human Activities with Scene Graphs
[arXiv] 2026-07-02 | LIME: Learning Intent-aware Camera Motion from Egocentric Video
[arXiv] 2026-07-02 | Cartan's and Gauss's equations and rigidity theorems for isometric embeddings in low Sobolev regularity
[arXiv] 2026-07-02 | Show Me Examples: Inferring Visual Concepts from Image Sets
[arXiv] 2026-07-02 | From Ham-Sandwich to Centerpoints: Semialgebraic Algorithms for Cutting Polytopal Measures
[arXiv] 2026-07-02 | Direct numerical simulations of turbulent drag reduction via piezoelectric actuation
[arXiv] 2026-07-02 | Ultra-Low-Cost Hybrid Beamforming: A New Static-Connection Architecture with Sparse Phase-Shifter Sharing
[arXiv] 2026-07-02 | Know Your Source: A Public Knowledge Store for Media Background Checks
[arXiv] 2026-07-02 | The Direct Wave is Not a Meaningful Test of Horizon Properties
[arXiv] 2026-07-02 | Coupled Spin-Orbital $p$-Wave Magnetism via Structural and Magnetic Chirality
[arXiv] 2026-07-02 | Hardware-Enforced Semantic Coordination for Safety-Critical Real-Time Autonomous Systems
[arXiv] 2026-07-02 | Understanding Agent-Based Patching of Compiler Missed Optimizations
[arXiv] 2026-07-02 | World Wide Models: Literary Tools for Cultural AI
[arXiv] 2026-07-02 | Flux solutions for stochastic chemical systems with sources and sinks
[arXiv] 2026-07-02 | The Road to Identifying the Earliest Radio-Powerful AGN with the SKA
[arXiv] 2026-07-02 | Quantum Limits to Ground-State Cooling of Traveling Hypersound Phonons
[arXiv] 2026-07-02 | SkillFuzz: Fuzzing Skill Composition for Implicit Intents Discovery in Open Skill Marketplaces
[arXiv] 2026-07-02 | Self-Gating Attention for Efficient Time Series Forecasting
[arXiv] 2026-07-02 | The VLA-COSMOS 3 GHz Large Project: Polarised source counts and catalogue
[arXiv] 2026-07-02 | Optimal Stabilizer Testing and Learning with Limited Quantum Memory
[arXiv] 2026-07-02 | Event-axis TMD measurements in $e^+e^-$ and SIDIS
[arXiv] 2026-07-02 | From Bloch to Néel: Anisotropy-dependent Domain-Wall Character in FePd Thin Films
[arXiv] 2026-07-02 | Efficient Large-Scale STEM-EELS Simulations With Torched-TACAW
[arXiv] 2026-07-02 | Critical branching processes in random environment with immigration and an application to randomised reproducing graphs
[arXiv] 2026-07-02 | Symmetry Analysis of Compact Tetraquark States and Implications for the Level Ordering of the Fully Charmed Candidates $X(6600)$, $X(6900)$, and $X(7100)$
[arXiv] 2026-07-02 | A Validation Framework for Quantum Simulation of Spin Dynamics against Inelastic Neutron Scattering and Classical Simulation
[arXiv] 2026-07-02 | Transverse-spin dependent energy-energy correlators in proton-proton collisions within the dihadron fragmentation framework
[arXiv] 2026-07-02 | Categorification of some Penrose polynomials
[arXiv] 2026-07-02 | VLAFlow: A Unified Training Framework for Vision-Language-Action Models via Co-training and Future Latent Alignment
[arXiv] 2026-07-02 | EO-Agents: A Three-Agent LLM Pipeline for Earth Observation Hypothesis Generation
[arXiv] 2026-07-02 | DiPS: Dialogue Policy Selection for High-Stakes Persuasion Agents
[arXiv] 2026-07-02 | A Reconfigurable Rocker-Bogie Robot for High Step Climbing and Turning
[arXiv] 2026-07-02 | X-LogSMask: Expand Transformer for Graph-Structured Data
[arXiv] 2026-07-02 | Mechanism and Stability Analysis of Metabolic Closed-Loop Metaheuristics
[arXiv] 2026-07-02 | Is Trend Still Your Friend?: A Microstructural Account of the Demise of Short-Term Trend-Following
[arXiv] 2026-07-02 | Continuous-Time Bayesian Networks with Structured Shrinkage Priors for Modelling Multimorbidity Trajectories in Large-Scale Electronic Health Records
[arXiv] 2026-07-02 | Subsoil acidity causes long delays in inorganic carbon sequestration by Enhanced Weathering
[arXiv] 2026-07-02 | RT-Tango: Real-Time Distributed Binaural Speech Enhancement for Low-Power Hearing Aid Devices
[arXiv] 2026-07-02 | Archer: Towards Agentic Review for Compiler Optimizations
[arXiv] 2026-07-02 | $r$-deformed $α$-$z$-Rényi relative entropy
[arXiv] 2026-07-02 | PARTREP: Learning What to Repeat for Decoder-only LLMs
[arXiv] 2026-07-02 | Subensemble Acceptance Method 3.0: General Corrections to Cumulants from Exact Conservation Constraints
[arXiv] 2026-07-02 | Morse Bridge between Planar Kepler and Hyperbolic Landau Dynamics
[arXiv] 2026-07-02 | Subliminal Clocks: Latent Time Modelling in Diffusion Language Models
[arXiv] 2026-07-02 | Rethinking Fractional Programming for Joint Uplink Scheduling and Power Control in Multicell Wireless Networks
[arXiv] 2026-07-02 | SimWorlds: A Multi-Agent System for Dynamic 3D Scene Creation
[arXiv] 2026-07-02 | Spherical Designs with Infinite Harmonic Strength
[arXiv] 2026-07-02 | Refploit: Facilitating Exploit Construction via Code-Agent Trajectory Repair
[arXiv] 2026-07-02 | The Turning Point of 3D Plant Phenotyping: 3D Foundation Models Enable Minute-to-Second Cross-Crop Reconstruction and Beyond
[arXiv] 2026-07-02 | Identifiability Limits of Physics-Informed Inference for Spatial Stochastic Dynamics from Static Snapshots
[arXiv] 2026-07-02 | When Does Generating More Help? Disentangling Fixed-Source Synthesis from Source Expansion in Synthetic Data Scaling
[arXiv] 2026-07-02 | An Adaptive Glicko-2 Rating Framework for Probabilistic Football Forecasting and Season Simulation
[arXiv] 2026-07-02 | Distributionally Robust Listwise Preference Optimization
[arXiv] 2026-07-02 | Trust Boundary Semantic Gaps: A Multi-dimensional Analysis and Mitigation for Security-by-Design
[arXiv] 2026-07-02 | Generic Expert Coverage for Pruning SparseMixture-of-Experts Language Models
[arXiv] 2026-07-02 | Efficient Pattern Matching in Unordered Term Tree Patterns with Height Constraints
[arXiv] 2026-07-02 | On Euclidean systems of ray classes
[arXiv] 2026-07-02 | A Pfaffian Proof and Generalization of a Conjecture of Sun Zhiwei
[arXiv] 2026-07-02 | Stability regions of glued wormholes with massless Kim-Lee backreacted spacetimes as interior
[arXiv] 2026-07-02 | WARP: Weight-Space Analysis for Recovering Training Data Portfolios
[arXiv] 2026-07-02 | Self-Referential $K$-SAT and the Finite Analogue of Gödel's Incompleteness Theorem
[arXiv] 2026-07-02 | Temporal and Cross-Modal Alignment for Enhanced Audiovisual Video Captioning
[arXiv] 2026-07-02 | Revisiting Decentralized Online Convex Optimization with Compressed Communication
[arXiv] 2026-07-02 | Substrate-Agnostic 3x: Biosignatures, Technosignatures, Ecologies
[arXiv] 2026-07-02 | Teaching Vision-Language-Action Models What to See and Where to Look
[arXiv] 2026-07-02 | Plug-and-Play Volumetric Reconstruction for Compressive Sensing Light-Sheet Microscopy
[arXiv] 2026-07-02 | AgentFlow: Building Agent Dependency Graphs for Static Analysis of Agent Programs
[arXiv] 2026-07-02 | Fourier-Diagonalized Natural Gradients and Sobolev Mirror Descent
[arXiv] 2026-07-02 | MKGR: Multimodal Knowledge-Graph Representation Learning for Cold-Start Protein-Protein Interaction Prediction
[arXiv] 2026-07-02 | Shallow Unitary Circuits for Kramers-Wannier Dualities
[arXiv] 2026-07-02 | Identical-Particle Symmetry-Enabled Complete Coherent Control of Ultracold Atomic and Molecular Collisions
[arXiv] 2026-07-02 | Evaluating Glanceable Multi-Device Family Health Tracking with Smartwatches and Home Displays
[arXiv] 2026-07-02 | On the Power Set of Quasinilpotent Operators in Banach Spaces
[arXiv] 2026-07-02 | Invariant Measure of the Camassa-Holm Equation with Linear Multiplicative Noise
[arXiv] 2026-07-02 | Bolometric correction factor and radiative efficiency for the super-Eddington accretion flow in tidal disruption events
[arXiv] 2026-07-02 | Safe and Adaptive Cloud Healing: Verifying LLM-Generated Recovery Plans with a Neural-Symbolic World Model
[arXiv] 2026-07-02 | Verification and Performance Assessment of NuDEAL, a GPU-Accelerated Deterministic Transport Framework on Unstructured Meshes
[arXiv] 2026-07-02 | OrchestrXR: A Multi-Agent System for Idea-to-Prototype XR Study Authoring
[arXiv] 2026-07-02 | APEIRON: composing smart TDAQ systems for high energy physics experiments
[arXiv] 2026-07-02 | Intrinsic orbital Hall effect in a nonuniform electric field
[arXiv] 2026-07-02 | Characterisations of strong $Δ$-matroids
[arXiv] 2026-07-02 | Automated grading of Linux/bash examinations using large language models: a four-level cognitive taxonomy approach
[arXiv] 2026-07-02 | TCG-AR: Real-Time Multi-View Augmented Reality for Trading Card Game Streaming
[arXiv] 2026-07-02 | Reformalization of the Jordan Curve Theorem
[arXiv] 2026-07-02 | On a Rosenzweig-Porter-type model
[arXiv] 2026-07-02 | On the Symplectic Propagation of the Spin-MInt Algorithm for Non-Adiabatic Quantum Dynamics
[arXiv] 2026-07-02 | Fully Persistent Dynamic LCE via AVL Trees and AVL Grammars
[arXiv] 2026-07-02 | OmniPilot: An Uncertainty-Aware LLM Inference Advisor for Heterogeneous GPU Clusters
[arXiv] 2026-07-02 | Total positivity of transformation matrices for uniform subdivisions
[arXiv] 2026-07-02 | Detection of Doppler velocity differences between ions and neutrals in an erupting prominence
[arXiv] 2026-07-02 | H-SAGE: Holistic Speaker-Aware Guided Experts for MoE-based Multi-Talker ASR
[arXiv] 2026-07-02 | Waveform Design for Underwater Simultaneous Acoustic Information and Power Transfer
[arXiv] 2026-07-02 | A Capacity-Aware Parr Model for Agile Projects
[arXiv] 2026-07-02 | Lancaster copulas
[arXiv] 2026-07-02 | Symbolic Discovery of Iterative Algorithms: A Continuous Latent Space Bayesian Optimization Framework
[arXiv] 2026-07-02 | Many Voices, One Reward: Multi-Role Rubric Generation for LLM Judging and Reward Modeling
[arXiv] 2026-07-02 | Pre-Flight: A Benchmark for Evaluating Large Language Models on Aviation Operational Knowledge
[arXiv] 2026-07-02 | Pattern-Calibrated Multimodal Prediction under Blockwise Missingness
[arXiv] 2026-07-02 | Memory Device for Photons by exploiting Brillouin Interactions in Nanowires
[arXiv] 2026-07-02 | MMBench-Live: A Continuously Evolving Benchmark for Multimodal Models
[arXiv] 2026-07-02 | TO-Master: an LLM-agent framework for automated topology optimization
[arXiv] 2026-07-02 | Extracting Work from Discrete Quantum Polytropic Processes
[arXiv] 2026-07-02 | VLA-Corrector: Lightweight Detect-and-Correct Inference for Adaptive Action Horizon
[arXiv] 2026-07-02 | Do LLMs Truly Generalize in the Molecular Domain? A Perturbation-Based Analysis
[arXiv] 2026-07-02 | Uniqueness and Analytic Structures of Bosonic String Effective Amplitudes
[arXiv] 2026-07-02 | EHHN: An Event-driven Heterogeneous Hypergraph Network for Object-Centric Next Activity Prediction
[arXiv] 2026-07-02 | Is the 2026 East Asia Summer Extreme Heat Forecast Credible?
[arXiv] 2026-07-02 | Set Diffusion: Interpolating Token Orderings Between Autoregression and Diffusion for Fast and Flexible Decoding
[arXiv] 2026-07-02 | Verifiable Knowledge Expansion through Retrieval-Grounded Formal Concept Analysis
[arXiv] 2026-07-02 | On the structure of constacyclic codes over finite chain rings
[arXiv] 2026-07-02 | JointHOI: Jointly Generating Contact Maps Enhances Hand Object Interaction Generation
[arXiv] 2026-07-02 | Role-Aware Neural Convex Divergence Heads for Asymmetric Representation Learning
[arXiv] 2026-07-02 | Gross-Zagier formula for the $4, 7$ cases of Sylvester's conjecture
[arXiv] 2026-07-02 | ReQuest: Rethinking-based Question-Aware Frame Selection for Long-Form Video QA
[arXiv] 2026-07-02 | Predicting Closed-Loop Performance of Latent World Models: Offline Checkpoint Selection for MPC and Model-Based RL Under Non-Markovian Rewards in LunarLander
[arXiv] 2026-07-02 | Exploiting Task-Based Parallelism for the Red-Black Gauss-Seidel Method on 2D Grids
[arXiv] 2026-07-02 | Beyond Pixel Diffs: Benchmarking Image Change Captioning for Web UI Visual Regression Testing
[arXiv] 2026-07-02 | Classical and Loop Quantum Cosmology of Interacting Dark Energy: A Dynamical System Analysis with Superfluid Dark Matter and Dust Matter
[arXiv] 2026-07-02 | CoRe: Combined Rewards with Vision-Language Model Feedback for Preference-Aligned Reinforcement Learning
[arXiv] 2026-07-02 | A Coordinate System for Collatz Dynamics
[arXiv] 2026-07-02 | Quantum Noncommutativity Uniquely Determines Relative Entropy
[arXiv] 2026-07-02 | Degrees of $p$-rational characters and normality of Sylow $p$-subgroups
[arXiv] 2026-07-02 | Structure-Aware Gaussian Splatting for Large-Scale Scene Reconstruction
[arXiv] 2026-07-02 | Model Merging as Probabilistic Inference in Fine-Tuning Parameter Space
[arXiv] 2026-07-02 | Bayesian Monotone Metrics for Multiparameter Quantum Estimation
[arXiv] 2026-07-02 | Existence of a Nonsmoothable Local Gorenstein Algebra with Smoothable Q(0)
[arXiv] 2026-07-02 | On the generalized Turán number of the complete bipartite graph $K_{3,b+1}$
[arXiv] 2026-07-02 | SCAPE: Accurate and Efficient LLM Training with Extreme Sparse Communication
[arXiv] 2026-07-02 | HistoSeg++: Delving deeper with attention and multiscale feature fusion for biomarker segmentation
[arXiv] 2026-07-02 | Intrinsically low thermal conductivity of stoichiometric lithium niobate:Experimental measurement and microscopic origin
[arXiv] 2026-07-02 | Constructing depth one laminations transverse to pseudo-Anosov flows
[arXiv] 2026-07-02 | Unified Panoramic-Gaussian Representation for Monocular 4D Scene Synthesis
[arXiv] 2026-07-02 | Comparative analysis of resistive immersed surface and immersed boundary methods for aortic valve simulation
[arXiv] 2026-07-02 | Message Passing Based Two-Timescale Bayesian Learning for Joint Channel and Memory Hardware Impairments Tracking
[arXiv] 2026-07-02 | Domain Generalization via Text-Anchored Information Bottleneck
[arXiv] 2026-07-02 | DeadPool: Resilient LLM Training with Hot-Swapping via Zero-Overhead Checkpoint
[arXiv] 2026-07-02 | Global Existence of Weak Martingale Solutions to the Camassa-Holm Equation with Linear Multiplicative Noise
[arXiv] 2026-07-02 | When Agents Do Not Stop: Uncovering Infinite Agentic Loops in LLM Agents
[arXiv] 2026-07-02 | Existence of weak solutions of the surface Beris-Edwards model
[arXiv] 2026-07-02 | Hadronization of $Λ_c^+$ baryons from recombination model in Pb+Pb collisions at the Large Hadron Collider
[arXiv] 2026-07-02 | Bridging 3D Gaussians and Semantic Occupancy for Comprehensive Open-Vocabulary Scene Understanding from Unposed Images
[arXiv] 2026-07-02 | Stream function -- pressure virtual element methods for the Stokes--Darcy interface problem
[arXiv] 2026-07-02 | Noise Suppression via Pulsed All-Optical Magnetometry with Nitrogen-Vacancy Ensembles
[arXiv] 2026-07-02 | Structured Factorization Approaches for Quantum State Tomography
[arXiv] 2026-07-02 | MxGLUT: A Reconfigurable LUT-Centric Broadcast Dataflow Accelerator for Mixed-Precision GEMM
[arXiv] 2026-07-02 | X-ray Fourier lag-frequency spectra modulated by stochastic turbulent acceleration in the jets of high-frequency-peaked BL Lac
[arXiv] 2026-07-02 | BOUNDARY_SYNC: Measuring Communication-Induced Representational Coupling in Multi-Agent LLM Systems
[arXiv] 2026-07-02 | Enhancing Acoustic-to-Articulatory Inversion with Multi-Target Pretraining for Low-Resource Settings
[arXiv] 2026-07-02 | Hawk: Harnessing Hardware-Aware Knowledge for High-Performance NPU Kernel Generation
[arXiv] 2026-07-02 | Study of ZZ and ZH production in the bb$ττ$ final state and search for high-mass spin-0 and spin-1 resonances in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-07-02 | Robust Stabilization of Linear Markov-Jumping Hyperbolic PDEs with Boundary Input Delay
[arXiv] 2026-07-02 | Testing Gravity with Binary Pulsars in the SKA Era
[arXiv] 2026-07-02 | Prompt Coverage Adequacy
[arXiv] 2026-07-02 | Undamped Modes in an N-Qubit Heisenberg Chain with Collective Dissipation
[arXiv] 2026-07-02 | Mitigating Package Hallucinations in Large Language Models via Model Editing
[arXiv] 2026-07-02 | Embracing Intra-Class Heterogeneity for Semi-Supervised Medical Image Segmentation: From Diversity to Precision
[arXiv] 2026-07-02 | On the total character of a finite group
[arXiv] 2026-07-02 | Towards Load-Aware Prefill Deflection for Disaggregated LLM Serving
[arXiv] 2026-07-02 | Probing hot QCD medium with heavy quarkonium in small and large collision systems
[arXiv] 2026-07-02 | Evaluating Vision-Language Models as a Zero-Shot Learning Alternative to You Only Look Once and Optical Character Recognition for Nigerian License Plate Recognition
[arXiv] 2026-07-02 | Sandpile Models on complex networks
[arXiv] 2026-07-02 | Hidden Forgetting in Continual Multimodal Learning: When Accuracy Survives but Grounding Fails
[arXiv] 2026-07-02 | Mid-infrared pure-state quantum light source based on lithium niobate waveguides
[arXiv] 2026-07-02 | Comb smoothing and local triviality of homogeneous spaces over a relative curve
[arXiv] 2026-07-02 | Research Progress on Solar Small-Scale Dynamo
[arXiv] 2026-07-02 | EduArt: An educational-level benchmark for evaluating art history knowledge in large language models
[arXiv] 2026-07-02 | Every cusp singularity link admits infinitely many strong symplectic fillings
[arXiv] 2026-07-02 | Episodic-to-Semantic Consolidation Without Identity Drift
[arXiv] 2026-07-02 | Understanding Geometric Representations in Self-Supervised Vision Transformers via Subspace Intervention
[arXiv] 2026-07-02 | Do Newer Lightweight CNNs Perform Better Under Resource Constraints? A Controlled Multigenerational Study of Architecture, Initialization, Training Budget, and Efficiency
[arXiv] 2026-07-02 | Plausibility: Exact inference in R
[arXiv] 2026-07-02 | Current status of the High-Resolution Multi-Object Spectrograph (MOS-HR) for the Wide-field Spectroscopic Telescope
[arXiv] 2026-07-02 | NeoMap: Training-free Novel-View Synthesis from Single Images and Videos
