[2026-08-20 09:35:37] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[arXiv] 2026-08-19 | On a conjecture on the Kasami APN function: reductions, structure theorems, a proof for $k\bmod n\in\{1,2,n{-}2,n{-}1\}$, and exhaustive verification for $n\le 13$
[arXiv] 2026-08-19 | Online Service with Per-Batch Maximum Delay
[arXiv] 2026-08-19 | Continual Reasoning Gym: Diagnosing and Harnessing Shared Reasoning in Continual RLVR
[arXiv] 2026-08-19 | Optics and Thermodynamics of Charged BTZ Black Holes with Exotic Matter Sources
[arXiv] 2026-08-19 | Magnetism and Electrical Conduction in Lightly-Doped Single-Layer High-$T_c$ Cuprate $\mathrm{La}_2\mathrm{CuO}_{4+δ}$
[arXiv] 2026-08-19 | MorphoGP: A Nonparametric Framework for Predicting Equilibrium Beach Profiles Under Tidal Influence
[arXiv] 2026-08-19 | Performance Drift Detection in Machine Learning as a Service (MLaaS) for IoT Environments
[arXiv] 2026-08-19 | Symmetry of Solutions and Domain-Reduction Finite Element Method for Second-Order Linear Elliptic Dirichlet Boundary Value Problems on Bounded Domains
[arXiv] 2026-08-19 | DART-SD: Diamond-topology Aware Retrieval and Tuning for Self-Distillation of Multi-Turn Tool-Calling Agents
[arXiv] 2026-08-19 | Sharp Sobolev Approximation on General Domains by Linearized Shallow Networks with Analytic Activations
[arXiv] 2026-08-19 | Beyond Idealized PAHs: Infrared Signatures of Carbon-Chain Defects from Shock Synthesis
[arXiv] 2026-08-19 | On coordinate frames relevant for pulsar physics
[arXiv] 2026-08-19 | Entrywise Positivity Preservers on Green Matrices
[arXiv] 2026-08-19 | Designing Social Robots for Social-Cognition Training with Autistic Adults
[arXiv] 2026-08-19 | Partition the Support, Reconstruct the Residual: Training-Free Sparse Attention for Video Generation and World Models
[arXiv] 2026-08-19 | From magnetized Coulombic quantum dynamics to magnetized fluids
[arXiv] 2026-08-19 | Joint Beamforming and Phase Shifts Design for RIS-Enabled RSMA-ISAC Systems
[arXiv] 2026-08-19 | Verblunsky coefficients, CMV matrices and numerical invariants of homogeneous bidisc submodules
[arXiv] 2026-08-19 | Adaptive Multi-Agent Feature Selection for Personalized Fall Risk Prevention
[arXiv] 2026-08-19 | Formal Verification of Romanov's Triplet Logic: A Verified Filter for Sliding-window 3-CNF with Application to Structured Formulas
[arXiv] 2026-08-19 | Beam-Tracing-Based Quantitative Reconstruction of Density Fluctuations in QUEST Using Doppler Backscattering
[arXiv] 2026-08-19 | Asymptotic Entanglement Hiding under Stabilizer Restrictions
[arXiv] 2026-08-19 | Longitudinal Relational Publics and their Discursive Overlap with Issue Publics
[arXiv] 2026-08-19 | The Road Taken: The Role of Optimizers at the Edge of Stability
[arXiv] 2026-08-19 | JSL-DC: A Word-Level Japanese Sign Language Dataset with Linguist-Derived Descriptions for Distinguishing Confusable Signs
[arXiv] 2026-08-19 | Half-open integer parallelepipeds and polytope Dedekind sums
[arXiv] 2026-08-19 | AoNT Trap: Borromean-Entangled Mutable Chameleon Trapdoor Hash All-or-Nothing Stream Cipher
[arXiv] 2026-08-19 | A metallicity sweet spot for disc fragmentation and planet formation
[arXiv] 2026-08-19 | Detecting Feedback-path Delay Injection Attacks Using Interacting Multiple Model Filtering
[arXiv] 2026-08-19 | A Unifying Relational Perspective on Expressive Lottery Tickets
[arXiv] 2026-08-19 | Toric Representation Type of the Veronese Surface
[arXiv] 2026-08-19 | Characterizing the Plurality Rule via Clone Invariance
[arXiv] 2026-08-19 | Interference-engineered shortcut to perfect state transfer
[arXiv] 2026-08-19 | Removing Population Size, World Cities Leave on Land a Footprint of Wealth
[arXiv] 2026-08-19 | The Birth of Radar Meteor Astronomy at Jodrell Bank: The Collaboration between Bernard Lovell and Manning Prentice
[arXiv] 2026-08-19 | Dream2Reward: Transition-Alignment Reward Models from Positive Demonstrations for Robotic Manipulation
[arXiv] 2026-08-19 | Scoring and Gamification to Encourage Sustainable Use of Compute Clusters
[arXiv] 2026-08-19 | Maximal ideals in the finitary symmetric group algebra in characteristic two
[arXiv] 2026-08-19 | SIDScope: A Diagnostic Resource for Semantic-ID Interfaces in Generative Recommendation
[arXiv] 2026-08-19 | Size-Mass Relation Shows Its Colours: Contrasting Physical Imprints of Galaxy Evolution in Rest-Frame UV and Optical
[arXiv] 2026-08-19 | Decisive Margins in Differentially Private Voting
[arXiv] 2026-08-19 | Enhancing Distance-Based Graph Autoencoders with Structural Penalties for Dynamic Graph Embedding
[arXiv] 2026-08-19 | Maximal attractors for perturbations of unimodal maps near a homoclinic tangency
[arXiv] 2026-08-19 | Epistemic Subordination: Generative AI and the Infrastructure of Knowledge
[arXiv] 2026-08-19 | A note on the reflexibility of regular maps with automorphism group PGL(2,q)
[arXiv] 2026-08-19 | Binary Voltage Covers of $K(10,3)$: Cohomology, Symmetry Orbits, and a Locally $K(7,3)$ Graph
[arXiv] 2026-08-19 | Seeded SU(1,1) interferometry for Fourier-domain optical coherence tomography
[arXiv] 2026-08-19 | Regularised Iterative Generalised Least Squares with Optimal Selection of the Hyper-Parameter for Identifying Nonlinear Phenomenological Models
[arXiv] 2026-08-19 | Implications of $B\to χ_{c1}πK$ data for an isovector $G$-odd $D^\ast\bar D^\ast$ molecular virtual state
[arXiv] 2026-08-19 | Fair, Efficient and Connected Allocations on Graphs
[arXiv] 2026-08-19 | SoftVTBench: A Deformation-Aware Visuo-Tactile Dataset and Benchmark for Deformable-Object Manipulation
[arXiv] 2026-08-19 | Affine Evaluation Maps, Dimension Groups, and Fair measures
[arXiv] 2026-08-19 | gridcp: Fast Online Changepoint Detection in Python
[arXiv] 2026-08-19 | Europe's Climate Ambition Under Scrutiny: Evidence from Deep Learning Emission Projections
[arXiv] 2026-08-19 | DocClaw: A Unified Agentic System for Intelligent Document Processing
[arXiv] 2026-08-19 | Monad Structures on Topological Spaces Comprising Mislove's Random Variables
[arXiv] 2026-08-19 | Sounds Uncertain: Exploring the Affective Aspects of Sonification for Uncertainty Visualization
[arXiv] 2026-08-19 | Long-run risk-sensitive portfolio optimisation with proportional transaction costs and log Lévy asset prices
[arXiv] 2026-08-19 | Vision-Language Models for Egocentric Video: From Hand-Object Interaction to Embodied AI
[arXiv] 2026-08-19 | A general method of deducing the determinantal expressions for polynomial and its derivative
[arXiv] 2026-08-19 | Toward testing antinucleon$\unicode{x2013}$nucleus optical potentials with antineutron scattering lengths
[arXiv] 2026-08-19 | Dynamic SpectraFormer for Ultra-High-Definition Underwater Image Enhancement
[arXiv] 2026-08-19 | TranslatePsy-AfriSLM: High-Quality Data Scaling For Low-Resource Machine Translation
[arXiv] 2026-08-19 | On uniqueness of non-vacuum stationary axisymmetric type D spacetime
[arXiv] 2026-08-19 | The induced-$P_4$-free process
[arXiv] 2026-08-19 | SAM2Dual: Training-Free, Dual Memory for Long-Term Video Object Segmentation
[arXiv] 2026-08-19 | Report on The 1st Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access at CHIIR 2026
[arXiv] 2026-08-19 | PILOT Technical Report
[arXiv] 2026-08-19 | Nonlinear Maxwell's Equations as a Boundary Value Problem in Multilayer Nanophotonics
[arXiv] 2026-08-19 | Evaluation of Monocular SLAM Systems on High-Altitude Nadir UAV Footage
[arXiv] 2026-08-19 | CTIFoundry: An Agent-Native Corpus Scaffold for Cyber Threat Intelligence
[arXiv] 2026-08-19 | On the Diophantine Equation $p^x+ (2p+1)^y =z^2$ with Consecutive Exponents
[arXiv] 2026-08-19 | Turning interest into institutional change: teaching advocacy for sustainable research
[arXiv] 2026-08-19 | Code Health in LLM-Based Test Generation: Effectiveness and Token Efficiency
[arXiv] 2026-08-19 | The MAGPI Survey: Emission Line Products Data Release and the Role of Spectroscopic Aperture Covering Fraction on the Balmer Decrement-Stellar Mass Relation
[arXiv] 2026-08-19 | APEX: A Dual-Sparsity Accelerator for Precise and Efficient SNN Inference
[arXiv] 2026-08-19 | Learning Topological Features of $\widehat Z$-invariants
[arXiv] 2026-08-19 | An invariant energy release hierarchy in a repeating fast radio burst
[arXiv] 2026-08-19 | Equal Lagrange Numbers with Non-Isomorphic Band Graphs: A Counterexample to Schiffler's Problem 6.3
[arXiv] 2026-08-19 | A Fast Deterministic Algorithm for $(Δ+1)$-edge coloring in CONGEST
[arXiv] 2026-08-19 | Entanglement battery and entanglement catalyst in local state discrimination problems
[arXiv] 2026-08-19 | An Open Source Reference System for Portable Low-Field MRI
[arXiv] 2026-08-19 | COSTA: A Cluster-Centric Paradigm for Annotation-Free Open-Set Semantic Segmentation of Aerial Point Clouds with Domain Shifts
[arXiv] 2026-08-19 | Constrained minmax density transportation for linear parabolic PDEs: a numerical optimal control perspective
[arXiv] 2026-08-19 | Boundedly exchangeable graphs
[arXiv] 2026-08-19 | GreekBarRetrieval: A Benchmark for Greek Statutory Retrieval
[arXiv] 2026-08-19 | FRAGMENT: Factorized Graph Representations for Document Generation and Editing via Entity-Aware Transformations
[arXiv] 2026-08-19 | Non-invertible symmetry and vertex operator algebra outer-automorphism
[arXiv] 2026-08-19 | Qualified Cross-References as a Verification Method: The Normative Environment of the EU AI Act
[arXiv] 2026-08-19 | A Localized Fourier Extension Method for Piecewise-Smooth Inverse Source Reconstruction
[arXiv] 2026-08-19 | Electrostriction in a Bose-Einstein Condensate of Dipolar Molecules
[arXiv] 2026-08-19 | A random walk on p-groups with a symmetric perfect pairing
[arXiv] 2026-08-19 | Effects of manufacturing tolerances on the performance of metamaterial microwave anti-reflection coatings
[arXiv] 2026-08-19 | State--Generator Geometry of Open Quantum Systems: Compatibility and Covariant Transport
[arXiv] 2026-08-19 | Finetuning Strategies for Querying Sounds by Vocal Imitation
[arXiv] 2026-08-19 | Eigendecomposition of the Hessian of the Robin function in orthogonally invariant domains
[arXiv] 2026-08-19 | Learned, Then Lost: A Measured Single-Example Counterfactual in Pre-training
[arXiv] 2026-08-19 | On entropic cosmology, late time acceleration and the quantum bounce
[arXiv] 2026-08-19 | Notes on Kerr-Bertotti-Robinson Spacetime
[arXiv] 2026-08-19 | A simple construction of the automorphic residual spectrum
[arXiv] 2026-08-19 | Toward Quantum Advantage in Learning Parities with Structured Noise via Lower Bound Optimization of the Condition Number
[arXiv] 2026-08-19 | Identifying Cost-Favorable Locations for Cosmic Explorer
[arXiv] 2026-08-19 | Ultra-low energy (20 - 300 eV) electron imaging and diffraction
[arXiv] 2026-08-19 | Kenmotsu manifolds and spin-c Killing spinors
[arXiv] 2026-08-19 | Local Structure and Dynamics of Three-Dimensional Covalent Organic Frameworks
[arXiv] 2026-08-19 | The structure and generation of the second maximal subgroups of the almost simple groups with alternating, classical or sporadic socle
[arXiv] 2026-08-19 | Growth gaps and generating sets
[arXiv] 2026-08-19 | Phase-Shifted Nanopteron Solutions to a Singularly Perturbed Korteweg--de Vries Equation
[arXiv] 2026-08-19 | Sign-problem-resilient singular-value probe in determinant quantum Monte Carlo
[arXiv] 2026-08-19 | Quantum Magic in High Energy Collision
[arXiv] 2026-08-19 | On a classical zero-sum invariant
[arXiv] 2026-08-19 | Does Mapping Non-Maximal Probabilities to GMM Components Matter for S-JEPA Encoder Representations?
[arXiv] 2026-08-19 | When Readability and Source Retention Diverge: An Evaluability Gap in AI Translation
[arXiv] 2026-08-19 | Elongation suppresses rheotaxis and enables microfluidic enrichment of \b{eta}-lactam-resistant bacteria
[arXiv] 2026-08-19 | Equations of Tree Tensor Network Varieties
[arXiv] 2026-08-19 | Function-On-Function Regression Through Separable Neural Operators
[arXiv] 2026-08-19 | Diffusion Models for High-Dimensional Clustered Data: Intrinsic-Dimension Adaptivity via Bayesian Classification
[arXiv] 2026-08-19 | Anti-spin Laue groups: classification of anti-altermagnets and their representative minimal models
[arXiv] 2026-08-19 | Transversality Locks Longitudinal Gradients in Structured-Light Quadrupole Transitions
[arXiv] 2026-08-19 | Malformer: A Multi-Modal Malware Detector Using Transformers
[arXiv] 2026-08-19 | Multi-Agent Off-Policy Deep Reinforcement Learning for Smart Campus Coverage
[arXiv] 2026-08-19 | Distributed Online Estimation of Spiked Eigenvalues with Adaptive Weighting under Persistent Aspect Ratio Heterogeneity
[arXiv] 2026-08-19 | Bernstein-Vazirani Networks: Quantum Machine Learning by Interference
[arXiv] 2026-08-19 | The ECH and alternative ECH capacities of closed symplectic 4-manifolds
[arXiv] 2026-08-19 | Hot Games: Towards a Holistic Assessment of the Planet Warming Emissions of Video Games based on 2024-2025 Data
[arXiv] 2026-08-19 | Adaptive Memory and Reflection Multi-Agent System for Medical Question Answering
[arXiv] 2026-08-19 | Constrained Spatial Pricing of On-Street Parking with Bayesian Demand Calibration
[arXiv] 2026-08-19 | Harness Continual Learning: Continual Adaptation Beyond Model Parameters
[arXiv] 2026-08-19 | The progenitors of $z\gtrsim10$ JWST galaxies in the COLIBRE simulations
[arXiv] 2026-08-19 | Autonomous Agricultural Tractor: Integrated Weed Detection and LiDAR Navigation for Precision Paddy Farming
[arXiv] 2026-08-19 | Structure, Association, and Decision Value: Representation-Based Difficulty Estimation for Adaptive Inference in African-Language NLI
[arXiv] 2026-08-19 | Open at the Edge, Captured at the Center: llama.cpp and the Political Economy of Local AI Inference
[arXiv] 2026-08-19 | Symmetries of QCD and their relevance for low-energy nuclear physics
[arXiv] 2026-08-19 | TractorBeam: Personalized AI Sensemaking Support via Collaborative Machine Annotation
[arXiv] 2026-08-19 | Spectral dynamics for the Basilica group
[arXiv] 2026-08-19 | X-LMC: Cross-View Spatiotemporal Collateral Circulation Scoring from DSA
[arXiv] 2026-08-19 | RushHour: A Dynamically Reconfigurable Lattice-Surgery Architecture
[arXiv] 2026-08-19 | Conformity Traps and the Formation of Independent Judgment
[arXiv] 2026-08-19 | On-chip Bragg peak extraction from MHz frame rate X-ray detectors using a cellular automaton architecture
[arXiv] 2026-08-19 | Fuzzy Accuracy Compensates for Label Subjectivity in Classification of Skin Tone Using Wearable Photoplethysmography Signals
[arXiv] 2026-08-19 | Differentiable approximation of continuous locally definable maps that preserves the image
[arXiv] 2026-08-19 | Complexity-sensitive additive energy and off-diagonal Young inequalities on bounded-degree algebraic varieties
[arXiv] 2026-08-19 | Constraining Cosmic-Ray Acceleration and Escape in Middle-Aged Supernova Remnants with GeV-TeV Gamma-Ray Observations
[arXiv] 2026-08-19 | Mixed Membership Model of Low-rank Matrices with Multimodal Extension
[arXiv] 2026-08-19 | Flat and Topological Floquet Minibands from Patterned Light in Untwisted Bilayer Graphene
[arXiv] 2026-08-19 | A Structured Framework for Calibrating Stochastic Car-Following Models: Data Adequacy, Parameter Sensitivity, and Objective Selection
[arXiv] 2026-08-19 | Characterization of Supporting Functionals at Points of the Unit Sphere of Orlicz-Lorentz Spaces
[arXiv] 2026-08-19 | Training Chemical Plausibility-Aware Large Language Models for Single-Step Retrosynthesis
[arXiv] 2026-08-19 | Graphical Design of Interpretable Architectures
[arXiv] 2026-08-19 | Products of trees and ${\rm PGL}_2$-torsors over the punctured affine line
[arXiv] 2026-08-19 | Transportable Causal Effect Estimation across Networks under Interference
[arXiv] 2026-08-19 | Gaudin models for some classical multivariate distributions
[arXiv] 2026-08-19 | Stefan Bergman (1895-1977). Notes on His Bio- and Bibliography
[arXiv] 2026-08-19 | Detecting Magnetic Phase Transitions in Ion-Irradiated CrSBr Through Resonant Raman Scattering
[arXiv] 2026-08-19 | Image Generation Techniques for Urban Planning
[arXiv] 2026-08-19 | A FEM-Based Surrogate Modelling and Optimization Framework for Physics-Constrained Electromagnetic Coil Design
[arXiv] 2026-08-19 | Orientation-dependent drag, lift, and torque correlations for regular Platonic polyhedral particles
[arXiv] 2026-08-19 | CauSec: Unboxing the Causal Drivers of Static Vulnerability Analysis Performance
[arXiv] 2026-08-19 | Computing All Optimal Partial $p$-Wasserstein Matchings on the Line
[arXiv] 2026-08-19 | A Weyl-type law for surface-localized eigenfunctions of the Maxwell transmission problem
[arXiv] 2026-08-19 | Deciding Relabeling Observation Consistency in Multi-Agent Discrete-Event Systems
[arXiv] 2026-08-19 | Simulation of advective accretion flows around black holes under various outer boundary conditions
[arXiv] 2026-08-19 | Undecidability of Confluence for Binary Length-Reducing Cycle Rewriting
[arXiv] 2026-08-19 | OdinEval: A Reproducible Benchmark for LLM-Based Program Repair in the Odin Programming Language
[arXiv] 2026-08-19 | FD-CanKD: Frequency-Decoupled Cross-Attention Distillation as a Refinement Prior for Compact Object Detectors
[arXiv] 2026-08-19 | Beyond Distortion Robustness: Rethinking Severe Cropping as Erasure-Resilient Message Embedding
[arXiv] 2026-08-19 | SemanticSlider3D: Training-Free Continuous Semantic Editing for 3D Objects
[arXiv] 2026-08-19 | Convergent series of coherent states
[arXiv] 2026-08-19 | Exact Robust Instability Analysis for Networked Dynamical Systems with Biological Application
[arXiv] 2026-08-19 | Real-Time Control-Constrained DDP for Underactuated Balancing of Legged Robots
[arXiv] 2026-08-19 | MARCUS: Missing-Aware Region Representation with Contextual Urban Signals for Rent Prediction
[arXiv] 2026-08-19 | Any $k$-graph with zero $\ell$-degree Turán density is layered
[arXiv] 2026-08-19 | Reaction Cross Sections and $α$-Cluster Geometry in $^{12}$C and Be Isotopes
[arXiv] 2026-08-19 | A simple geometric proof of Kepler's first Law
[arXiv] 2026-08-19 | Sixteen generators of the automorphism group of the Fermat quartic surface
[arXiv] 2026-08-19 | Polytopes of Effective Boundary Expressions of Divisors on $\overline{M}_{0,n}$
[arXiv] 2026-08-19 | Toward Controllability-Aware Performance Measures: A Case Study on Controllable Highway Congestion
[arXiv] 2026-08-19 | Science Done on a Machine by a Machine: AI Agents in Computational Chemistry
[arXiv] 2026-08-19 | Physics-Unrolled Neural Operator for Wireless Field Modeling
[arXiv] 2026-08-19 | An Efficient Second-Order-in-Time Penalty-Projection Ensemble Eddy Viscosity Method for Parameterized Navier-Stokes Flows
[arXiv] 2026-08-19 | Coverage-Driven RTL Assertion Generation with Formal Exploration and Neuro-Symbolic Refinement
[arXiv] 2026-08-19 | Building real-time digital twin instances with Function+Data Flow: user evaluation and extension for iterative pipelines
[arXiv] 2026-08-19 | A Locally Deployable Tool-Grounded LLM Multi-agent Framework for Automating Methane Emission Analysis and Reporting
[arXiv] 2026-08-19 | ERASE: EaRly bAckpropagation SchEdule for Faster Training of Modern Recommendation Systems
[arXiv] 2026-08-19 | Covariant Energy Momentum Tensor in General Relativity by Generalized Canonical Method
[arXiv] 2026-08-19 | Backward Layout Search for Sequence-Constrained Robotic Assembly
[arXiv] 2026-08-19 | Data-Driven Output Feedback based Analysis and Control for Unknown Discrete-Time Linear System
[arXiv] 2026-08-19 | Decomposability and Norm Convergence Property of Operators in Type $\mathrm{I}_k$ von Neumann Algebras
[arXiv] 2026-08-19 | Optical poling of a quantum ferroelectric metal across the order-disorder phase transition
[arXiv] 2026-08-19 | FM-Bench: A Benchmark for Long-Horizon Management with Competing Agents
[arXiv] 2026-08-19 | CoMVS-GS: Collaborative Multi-View Stereo and 3D Gaussian Splatting for Surface Reconstruction
[arXiv] 2026-08-19 | Role-Conditioned Sub-Token Routing for Efficient Vision-Language-Action Policies
[arXiv] 2026-08-19 | Improving Natural-Language Combinatorial-Optimization Accuracy in Resource-Constrained Language Models via Formal Abstractions
[arXiv] 2026-08-19 | Witt groups of smooth real curves and surfaces
[arXiv] 2026-08-19 | A Positive Proportion of the Reduced D'Arcais Polynomials is not Hurwitz
[arXiv] 2026-08-19 | EVADE: Evidence-Verified Agentic Diagnosis with Escape
[arXiv] 2026-08-19 | $Ab$ $initio$ calculation of hyperfine-structure properties to extract nuclear magnetic octupole moments of $^{69}$Ga and $^{71}$Ga
[arXiv] 2026-08-19 | Some uniform error analysis for gKdV equations in dispersionless limit regime before dispersive shock
[arXiv] 2026-08-19 | A Quantum-Gravity-Motivated GUP Effective Metric
[arXiv] 2026-08-19 | Power-kernel fractional Sturm--Liouville operators: a graph realization and boundary-independent singular-value asymptotics
[arXiv] 2026-08-19 | Could John Ellard Gore have pre-empted the Hertzsprung-Russell diagram?
[arXiv] 2026-08-19 | A Framework for Enterprise Network Dimensioning
[arXiv] 2026-08-19 | Scaling-law-informed neural point processes for earthquake sequence forecasting
[arXiv] 2026-08-19 | Modelling electroweak interactions at lepton colliders - from the Z pole to the highest energies
[arXiv] 2026-08-19 | Mitigating Regional Traffic Congestion via School Start Time Scheduling: A Bilevel Alternating Optimization Approach
[arXiv] 2026-08-19 | When to Sell an Asset? - A Distribution Builder Approach
[arXiv] 2026-08-19 | Electron Correlation Enables Phase-Coherent One-Attosecond Pulse Trains
[arXiv] 2026-08-19 | Electromagnetic and Acoustic Fano Interference in Surface Acoustic Wave Resonators
[arXiv] 2026-08-19 | To Go Far, Go Together: Diverse Preferences Induce a Curriculum for Reward Optimization
[arXiv] 2026-08-19 | A shifted energy barrier approach for phase-field modeling of tensile-dominated brittle fracture
[arXiv] 2026-08-19 | SED-FOD: Scattering-Aware Expert Decomposition for Few-Shot Cross-Sensor SAR Object Detection
[arXiv] 2026-08-19 | Metrics That Write Themselves: Evolving an Evaluator from Its Own Blind Spots
[arXiv] 2026-08-19 | A Multi-Agent Platform for Automated Enterprise Analytics and Insight Generation
[arXiv] 2026-08-19 | Comparing GNSS Derived Sea Ice Drift in the Arctic and Antarctic using Rotary Spectra and Principal Component Analysis
[arXiv] 2026-08-19 | FedLNS: Leverage LayerNorm Signature Modeling to Mitigate Adversarial Manipulation in Federated LLMs
[arXiv] 2026-08-19 | Reduction Operations and Structural Characterizations of $S^1$-Flows in Graphs
[arXiv] 2026-08-19 | Model Literacy: An Extra Summative Evaluation Factor for Visual Analytics
[arXiv] 2026-08-19 | Linear and nonlinear optical responses in the chiral multifold semimetal BeAu: A quantum-geometric perspective
[arXiv] 2026-08-19 | Comparative study of nonperturbative electron-positron pair production by intense laser fields colliding with either bremsstrahlung $γ$-rays or relativistic ions
[arXiv] 2026-08-19 | Adaptive Nonlinear Control with Online Identification and Receding-Horizon Optimization
[arXiv] 2026-08-19 | The Impact of CutMix on Reliability and Robustness in Semantic Segmentation
[arXiv] 2026-08-19 | Sensitivity of the ECMWF seasonal forecast model to CO2 and anthropogenic aerosol forcings: Experimental design and impact on climate trends
[arXiv] 2026-08-19 | Conformal mapping of circular triangles & classical function theory
[arXiv] 2026-08-19 | Nonlinear collective dynamics and microwave comb generation in a diamond maser
[arXiv] 2026-08-19 | The Total and Polarized Radio Emission from the Innermost Jets of a High-Redshift Quasar and a Candidate at Parsec-Scale Resolution
[arXiv] 2026-08-19 | Aslema at NADI 2026: Augmentation through Fewshot for SLU
[arXiv] 2026-08-19 | Regularity Preservation for Jump-Type Stochastic Transport Equations with Singular Drift
[arXiv] 2026-08-19 | Teeth2Point: A Two-Stage Dental CBCT ROI-to-Point Segmentation Framework
[arXiv] 2026-08-19 | X2Streaming-TTS: Causal Token-Level Text-to-Speech from Streaming Text with Speech-State Inheritance
[arXiv] 2026-08-19 | Quantum-Logic Tsetlin Machines: Interpretable Quantum Machine Learning with Commuting Projector Clauses
[arXiv] 2026-08-19 | Clinically Structured Surrogate Rewards for Post-SFT Medical Image Captioning
[arXiv] 2026-08-19 | PCQA-R1: Advancing Generalized 3D Point Cloud Quality Assessment with Reinforcement Learning
[arXiv] 2026-08-19 | UBio-MolFM: Enabling Biomolecular Dynamics at DFT Accuracy and $10^5$ Atoms with One Untuned Potential
[arXiv] 2026-08-19 | Hector Galaxy Survey: Falling in Between - Infalling Galaxies in the Midst of the Abell 3667 Merger
[arXiv] 2026-08-19 | An Empirical Effective-Temperature Calibrations for Galactic B/A Supergiants
[arXiv] 2026-08-19 | SPARC: Slice-to-volume Pipeline for Automated Reconstruction of gated 3D+time fetal Cardiac MRI
