[2026-05-19 10:20:36] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-18
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605180000+TO+202605182359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[ACM] 2026-5-18 | HeteroFedSyn: Differentially Private Tabular Data Synthesis for Heterogeneous Federated Settings
[ACM] 2026-5-18 | LINE: A Learned Index with Group-Enhanced Leaves and Cache-Optimized Inner Tree
[ACM] 2026-5-18 | 100x Cost &amp; Latency Reduction: Performance Analysis of AI Query Approximation using Lightweight Proxy Models: [Experiments &amp; Analysis]
[ACM] 2026-5-18 | Loom: Weaving PCS-Preserving and Searchable Cloud Backups for Secure Messaging
[ACM] 2026-5-18 | Generalized Entity Matching with Adaptivity via Large Language Models
[ACM] 2026-5-18 | Constrained Shortest Path Finding on Terrain Surfaces
[ACM] 2026-5-18 | AlignedServe: Orchestrating Prefix-aware Batching to Build a High-throughput and Computing-efficient LLM Serving System
[IEEE] 2026-5-18 | Introducing IEEE Collabratec
[IEEE] 2026-5-18 | A Random PWM Technique to Reduce Switching Frequency Harmonics for Induction Motor Drives
[IEEE] 2026-5-18 | Multi-Objective Neural Architecture Search for Cognitive Diagnosis: Balancing Accuracy and Interpretability With Probabilistic Models
[IEEE] 2026-5-18 | GNSS Induced Spoofing Detection Based on the Sum of Carrier Phases of Early and Late Branches
[IEEE] 2026-5-18 | DRL-Driven Robust Topology Control and Flow Scheduling for SDN-Enabled Underwater Acoustic Sensor Networks
[IEEE] 2026-5-18 | Multi-Port Segmented Event-Triggered Control for USV-UAV Cooperative System: A VO-driven Dynamic Cross-Bridge Strategy
[IEEE] 2026-5-18 | An FPGA-Calibrated Modulo ADC for High-Dynamic-Range Signal Acquisition
[IEEE] 2026-5-18 | Ferroelectric/Dielectric Spacer Engineering in Negative capacitance MoS
                    <sub>2</sub>
                    FinFETs: An Insight into Digital, Analog/RF and Circuit Applications
[IEEE] 2026-5-18 | Discrete Fuzzy Approximation-Based Sliding Mode Current Control for Torque Ripple Suppression in Switched Reluctance Motors
[IEEE] 2026-5-18 | Diverse Style Prompt Assistant for Generalized Remote Sensing Object Classification_supp1-3693680.pdf
[IEEE] 2026-5-18 | TechRxiv: Share Your Preprint Research With the World!
[IEEE] 2026-5-18 | A Neuromorphic Approach to DDoS Detection: Hardware Accelerator for Integer-Quantized Spiking Neural Networks
[IEEE] 2026-5-18 | Evolution of Layer1/Layer2-Triggered Mobility in 5G-Advanced: From Release 18 Foundation to Release 19 Enhancements and Beyond
[IEEE] 2026-5-18 | A Stochastic Game-Theoretic Framework for Robust Ventilator Safety: The Trust Gate Mechanism and Life Confidence Score (RLCS)
[IEEE] 2026-5-18 | Optimizing Electric Vehicle Charging Load Forecasting via Ensemble of Diffusion Models
[IEEE] 2026-5-18 | Timing Yield-Driven Clock Skew Scheduling Based on Hybrid Distributions
[IEEE] 2026-5-18 | STAR-RIS–Assisted UAV Communications for Dynamic Spectrum Sharing in NOMA Under Imperfect SIC: Enabling Cognitive Radio Networks
[IEEE] 2026-5-18 | Table of Content
[IEEE] 2026-5-18 | A Novel Surrogate Modeling Framework Based on Fast Time-Domain Simulation and Transfer Learning for Signal Integrity Analysis
[IEEE] 2026-5-18 | Robust Pitch Control for Floating Offshore Wind Turbines Using LLF-Based Aerodynamic Modeling and Nonsingular Terminal Sliding Mode With Prescribed Performance
[IEEE] 2026-5-18 | FPGA-Accelerated Spatiotemporal Graph Neural Networks for Dynamic Terahertz Beam Steering
[IEEE] 2026-5-18 | Smart Indicator Turn Off System for Forgotten Appliances
[IEEE] 2026-5-18 | A Microcontroller-based Intelligent Shopping Cart with Automated Navigation and Real-Time Billing
[IEEE] 2026-5-18 | An Efficient and Verifiable Multi-Keyword Search Scheme with Forward Security
[IEEE] 2026-5-18 | EAG-SR: Entity Association-Guided Self-Reflection for Document-Level Enterprise Relation Extraction
[IEEE] 2026-5-18 | DiffTKGR: Dual-Branch Conditional Diffusion for Temporal Knowledge Graph Reasoning
[IEEE] 2026-5-18 | Electricity Theft Detection using GA-Optimized Random Forest
[IEEE] 2026-5-18 | Empirical Study of Polycystic Ovary Syndrome Detection based on Ultrasound Images using Deep Learning
[IEEE] 2026-5-18 | From Activation to Semantics: Explaining Neurons through Their Contributions to Model Outputs
[IEEE] 2026-5-18 | Smart Agricultural Hub: Intelligent Decision Supporting AI Multilingual Farmer Interface
[ACM] 2026-5-19 | Multi-dimensional Effectiveness Evaluation of DAA System for General Aviation in Integrated Operation with UAS
[ACM] 2026-5-18 | Maximal Biclique Enumeration with Improved Worst-Case Time Complexity Guarantee: A Partition-Oriented Strategy
[ACM] 2026-5-18 | PACMMOD V4, N3 (SIGMOD), June 2026 Editorial
[ACM] 2026-5-18 | Efficient Index Layout and Search Strategy for Large-scale High-dimensional Vector Similarity Search
[IEEE] 2026-5-18 | Improving Fairness in Airline Integrated Crew Scheduling - Colleague Familiarity and Team Experience Distribution Considerations
[IEEE] 2026-5-18 | Responsible Integration of Generative AI in Software Engineering Education
[IEEE] 2026-5-18 | GAIIS 2026 Author Information Page
[IEEE] 2026-5-18 | Theory-Guided Modeling for Network Performance Prediction
[IEEE] 2026-5-18 | Performance and Efficiency Trade-Off Analysis of Modern CNN Architectures for Automated Stem Cell Colony Quality Assessment_supp1-3692455.pdf
[IEEE] 2026-5-18 | P-Channel Tri-gate Nanowire InGaN/GaN/AlN/InAlGaN MOS-HFET for Power Switching Applications
[IEEE] 2026-5-18 | Megahertz Soft-Switching Wireless Power Transfer for Capsule Robots Under Dynamic Position and Orientation Variations_supp2-3693630.avi
[IEEE] 2026-5-18 | 3D-Printed Folded Transmitarray with Gain-Filtering Response and Low Cross-Polarization
[IEEE] 2026-5-18 | Federated Learning with Enhanced Privacy via Model Splitting and Random Client Participation
[IEEE] 2026-5-18 | End-to-End Vectorized HD Map Construction Based on Graph Structure Modeling and Graph Transformer Optimization
[IEEE] 2026-5-18 | Cooperative Edge Caching with Large Language Model in Wireless Networks_supp1-3687739.pdf
[IEEE] 2026-5-18 | High-Gain End-Fire Antenna Based on Slow-Wave Substrate-Integrated Waveguide Loading
[IEEE] 2026-5-18 | An Intelligent Distributed Base Station Deployment Strategy for Low-Altitude UAV Sensing
[IEEE] 2026-5-18 | Distributed CPS-Based Predefined-Time Control of Large-Scale Plug-and-Play Inverter Air Conditioner Clusters for Demand Response
[IEEE] 2026-5-18 | HFAVL: Hard-label Fusion Attack toward Vision-language Model
[IEEE] 2026-5-18 | ICSEDIS 2026 Author Index
[IEEE] 2026-5-18 | A Single-Tail CMOS Comparator for High-Speed and Low-Power Data Conversion
[IEEE] 2026-5-18 | Controllable Echocardiography Video Generation for Safe Medical Data Sharing
[IEEE] 2026-5-18 | Reinforcement Learning based Energy Management Strategy for Hybrid Renewable Micro Grid with EV Integration
[IEEE] 2026-5-18 | Enhanced Encrypted IoT Malicious Traffic Detection via Adaptive Fusion and Focal Loss: An Improved Heterogeneous Graph Approach
[IEEE] 2026-5-18 | SPCL: Semantic Prototype Contrastive Learning for Incomplete Multimodal Sentiment Analysis
[IEEE] 2026-5-18 | Proactive Traffic Surge Forecasting for Student Result Portals using LSTM Networks
[IEEE] 2026-5-18 | LightARM-Net: Accelerating Sparse-Attention Tabular Model for Android Malware Detection
[IEEE] 2026-5-18 | An Intelligent Machine Learning Approach for Wind Turbine Fault Detection
[IEEE] 2026-5-18 | AI-Powered Multimodal Human Detection System Combining YOLOv11 and Terrain Data in Search and Rescue Operations
[IEEE] 2026-5-18 | Path Loss Prediction for Maritime Tropospheric Scatter Based on CNN-MLP
[IEEE] 2026-5-18 | Enhanced Iris Recognition Framework using Hybrid Cosine and Hamming Similarity Measures
[IEEE] 2026-5-18 | FSM based I2C Communication Protocol for Reducing CPU Overhead
[ACM] 2026-5-19 | Patterns of Bot Participation and Emotional Influence in Open Source Development
[ACM] 2026-5-19 | Enhancing Deadline Miss Early Detection for DAG Tasks with Variable Probabilistic Thresholds
[IEEE] 2026-5-18 | Energy Efficiency and Carbon Reduction Potential of HTTP Caching in ICT-enabled Critical Infrastructure
[IEEE] 2026-5-18 | An analytical model for flexible capacitive pressure sensors with hemispherical microstructure-based dielectric layer of high sensing performance_supp1-3691819.docx
[IEEE] 2026-5-18 | Communication-Free CC/CV Phase Shift Control for SS-Compensated WPT System under Misalignment via Reflected Impedance Decoupling
[IEEE] 2026-5-18 | TSGNAS: A Topology- and Semantic-Guided Graph Neural Network Architecture Searcher_supp1-3692360.pdf
[IEEE] 2026-5-18 | Cross-Scenario Multi-Type Fault Diagnosis for Lithium-Ion Batteries via Deep Transfer Learning
[IEEE] 2026-5-18 | KEditVis: A Visual Analytics System for Knowledge Editing of Large Language Models
[IEEE] 2026-5-18 | Upper and Lower-Limb Motor Decoding for Adaptive and Generalized Neural Rehabilitation_supp1-3694007.pdf
[IEEE] 2026-5-18 | A Dual-Modal Dual-Fusion Framework for UAV Classification Using Multistatic RCS Sequences
[IEEE] 2026-5-18 | Data-efficient Cross-domain Few-shot Website Fingerprinting with Unsupervised Domain Adaptation
[IEEE] 2026-5-18 | Protecting Solid-State Transformers: Insights Into Mechanisms in Smart and Future Electrified Grids
[IEEE] 2026-5-18 | Generalized Discrete-Time Equivalent Circuit Modeling of Mutual Inductance
[IEEE] 2026-5-18 | AocSeg: Adaptive Obfuscated Contrast for Semi-supervised Semantic Segmentation Method for Unmanned Vehicles
[IEEE] 2026-5-18 | Context-Aware Filtering of PolSAR Data Based on Quaternion Wavelet Shrinkage
[ACM] 2026-5-18 | Zeno Filter: To Infinity in Tiny Steps
[IEEE] 2026-5-18 | Review for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[ACM] 2026-5-19 | The Cross Application of Artificial Intelligence and Acupuncture and Its Research in Ischemic Stroke
[IEEE] 2026-5-18 | Applications of Intelligent Image Recognition Technology in Modern Security Inspection and the Evolution of Screening Equipment
[IEEE] 2026-5-18 | A Dual-Stage Convolutional Framework for Pancreatic Tumor Detection and Classification on Pancreas CT Images
[IEEE] 2026-5-18 | An IoT-Driven Intelligent Drainage Safety System using Federated Machine Learning for Real-Time Gas and Blockage Prediction
[IEEE] 2026-5-18 | A Two-Tier Stacking Ensemble Approach for Noise-Resilient Fitness Classification
[IEEE] 2026-5-18 | EnsembleShield-DM: Interpretable, Shift-Robust Ensemble Learning for Type 2 Diabetes Prediction Across Multi-Regional Cohorts
[IEEE] 2026-5-18 | FocusED: An NLP-Driven Personalized and Affective-Aware Learning Framework for Neurodivergent Students
[IEEE] 2026-5-18 | MA-STGNN: Monsoon-Aware Spatiotemporal Graph Neural Networks with Hybrid Attention for Groundwater Forecasting in India
[IEEE] 2026-5-18 | Auditing Hallucination in Lightweight Vision-Language Models for Radiology Captioning
[ACM] 2026-5-18 | FaaSBoard: Efficient Graph Processing with a Disaggregated Architecture on Serverless Services
[ACM] 2026-5-18 | Fiber-level Woven Fabric Capture from a Single Microscopic Image
[IEEE] 2026-5-18 | A New Approach for Coupling Absorbers to Magnetic Microcalorimeters
[IEEE] 2026-5-18 | DiCLIP: Diffusion Model Enhances CLIP&amp;#x2019;s Dense Knowledge for Weakly Supervised Semantic Segmentation_supp1-3692055.pdf
[IEEE] 2026-5-18 | Transient Detection on EAF Current Signals Sampled at Low Rates via Statistical Analysis
[IEEE] 2026-5-18 | 2025 IEEE Ocean Engineering Technology and Innovation Conference: Management and Conservation for Sustainable and Resilient Marine and Coastal Resources (OETIC)
[IEEE] 2026-5-18 | PDO-SFCM: Prediction-Driven Orchestration for SFC Migration in SAGIN via Fine-Tuned Large Time-Series Model and DRL
[IEEE] 2026-5-18 | Magnetic Field Reconstruction and Internal Current Inversion of GIS via Physics-Informed Deep Operator Network
[IEEE] 2026-5-18 | How Software Engineers Engage with AI: A Pragmatic Workflow
[IEEE] 2026-5-18 | RAG-Augmented Explainable Early Warning System for Acute Kidney Injury in the ICU: A KDIGO-Aligned XGBoost Pipeline with SHAP-Driven Evidence Retrieval on MIMIC-IV
[IEEE] 2026-5-18 | U-Sleep-RBD-KAN: Joint Sleep Staging and REM Behavior Disorder Detection with Interpretable Nonlinear Learning
[IEEE] 2026-5-18 | A 50–110 GHz UltraWideband Waveguide Diplexer Based on Novel Branch-Guide Coupler Utilizing Waveguide Cutoff Characteristics
[IEEE] 2026-5-18 | A Reference-Free Framework for Stereoscopic Image Quality Evaluation Using Wavelet and Sharpness Features of Scene Components_supp1-3693751.pdf
[ACM] 2026-5-19 | An Adaptive Multi-Scale Fusion and Temporal Attention-Driven Method for Gearbox Fault Diagnosis
