[2026-05-07 11:10:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[arXiv] 2026-05-06 | Sequential topology optimization: SIMP initialization for level-set boundary refinement
[arXiv] 2026-05-06 | Reward-Decomposed Reinforcement Learning for Immersive Video Role-Playing
[arXiv] 2026-05-06 | ULF-Loc: Unbiased Landmark Feature for Robust Visual Localization with 3D Gaussian Splatting
[arXiv] 2026-05-06 | Anny-Fit: All-Age Human Mesh Recovery
[arXiv] 2026-05-06 | From Beats to Breaches:How Offensive AI Infers Sensitive User Information from Playlists
[arXiv] 2026-05-06 | Lithium enrichment threatens to curb fusion deployment
[arXiv] 2026-05-06 | Subcubic $K_4$-minor-free graphs without crumby colorings
[arXiv] 2026-05-06 | FaithfulFaces: Pose-Faithful Facial Identity Preservation for Text-to-Video Generation
[arXiv] 2026-05-06 | When Graph Traversal Meets Structured Preferences: Unified Framework and Complexity Results
[arXiv] 2026-05-06 | $\mathbb{G}_m$-cohomology of $p$-adic Stein spaces
[arXiv] 2026-05-06 | Theoretical Constraints on Neutron Star Superfluidity from Her X-1 Precession
[arXiv] 2026-05-06 | Compact, AGN-hosting Dwarf Galaxies with "Little Red Dots"-like SEDs in the Local Universe
[arXiv] 2026-05-06 | Multi-Level Bidirectional Biomimetic Learning for EEG-Based Visual Decoding
[arXiv] 2026-05-06 | ITBoost: Information-Theoretic Trust for Robust Boosting
[arXiv] 2026-05-06 | Paraphrase-Induced Output-Mode Collapse: When LLMs Break Character Under Semantically Equivalent Inputs
[arXiv] 2026-05-06 | FAAST: Forward-Only Associative Learning via Closed-Form Fast Weights for Test-Time Supervised Adaptation
[arXiv] 2026-05-06 | Quantum Coherence Reshapes Thermodynamic Bounds for Thermal Machines
[arXiv] 2026-05-06 | ReflectDrive-2: Reinforcement-Learning-Aligned Self-Editing for Discrete Diffusion Driving
[arXiv] 2026-05-06 | Securing the Web with HSTS-Enforced
[arXiv] 2026-05-06 | Gradients with Respect to Semantics Preserving Embeddings Tell the Uncertainty of Large Language Models
[arXiv] 2026-05-06 | A Generalized Framework of Antisymmetric Polyspectral Indices for Identifying High-Order Neural Interactions
[arXiv] 2026-05-06 | CombOL: a Library for Practical Enumeration and Boltzmann Sampling of Combinatorial Classes
[arXiv] 2026-05-06 | Determinantal formulae for a symmetric generating function of totally symmetric plane partitions
[arXiv] 2026-05-06 | Constructions of locally repairable codes via concatenated codes
[arXiv] 2026-05-06 | Counting Minimal Lagrangians Via Mirzakhani Functions
[arXiv] 2026-05-06 | Continual Knowledge Updating in LLM Systems: Learning Through Multi-Timescale Memory Dynamics
[arXiv] 2026-05-06 | Theta functions and transformations of bilateral basic hypergeometric series
[arXiv] 2026-05-06 | Proximal Projection for Doubly Sparse Regularized Models
[arXiv] 2026-05-06 | Driver-WM: A Driver-Centric Traffic-Conditioned Latent World Model for In-Cabin Dynamics Rollout
[arXiv] 2026-05-06 | Time-Fractional Schrödinger Evolution in Coupled Double Quantum Dots: Memory Effects on Quantum Resources
[arXiv] 2026-05-06 | Provable imitation learning for control of instability in partially-observed Vlasov--Poisson equations
[arXiv] 2026-05-06 | High-Dimensional Statistics: Reflections on Progress and Open Problems
[arXiv] 2026-05-06 | MSE-Optimal Difference-in-Differences Estimator
[arXiv] 2026-05-06 | When Relations Break: Analyzing Relation Hallucination in Vision-Language Model Under Rotation and Noise
[arXiv] 2026-05-06 | Computer-Aided Design Generation by Cascaded Discrete Diffusion Model
[arXiv] 2026-05-06 | Local Intrinsic Dimension Unveils Hallucinations in Diffusion Models
[arXiv] 2026-05-06 | Position: Embodied AI Requires a Privacy-Utility Trade-off
[arXiv] 2026-05-06 | Dephasing Effects on the Dynamical Evolution of Quantum Correlations and Coherence in Neutrino Oscillations
[arXiv] 2026-05-06 | CARD: A Multi-Modal Automotive Dataset for Dense 3D Reconstruction in Challenging Road Topography
[arXiv] 2026-05-06 | First Detection of Extensive Air Showers Using a Small-Aperture Fluorescence Telescope
[arXiv] 2026-05-06 | A Tutorial for Evaluating Cure Model Appropriateness
[arXiv] 2026-05-06 | Federated Learning for Early Prediction of EV Charging Demand
[arXiv] 2026-05-06 | Non-Expansive Matrix Based number Systems
[arXiv] 2026-05-06 | The one and the only: the pulsar - white dwarf system in NGC 6749
[arXiv] 2026-05-06 | Lifespan of Classical Solutions to One-Dimensional Quasilinear Wave Equations
[arXiv] 2026-05-06 | Reliable Modeling of Distribution Shifts via Displacement-Reshaped Optimal Transport
[arXiv] 2026-05-06 | Exact SU(2) Yang-Mills Waves from a Simple Ansatz
[arXiv] 2026-05-06 | Scalar and Vector Airborne Platform Calibration Using Quantum and Classical Magnetometers and Inertial Sensors
[arXiv] 2026-05-06 | Integral Homology and Poincaré Polynomials of classical and exceptional Real Flag Manifolds
[arXiv] 2026-05-06 | Local elastic perturbation of colloidal suspensions near the colloidal glass transition
[arXiv] 2026-05-06 | Horizontal transport as a source of disequilibrium chemistry on the nightside of a hot exoplanet
[arXiv] 2026-05-06 | Decision Problems in Multilevel Linear Programming
[arXiv] 2026-05-06 | Response tensor for the superconducting (Josephson) diode effect
[arXiv] 2026-05-06 | Unintended Negative Impacts of Promotional Language in Patent Evaluation
[arXiv] 2026-05-06 | Evolving Idea Graphs with Learnable Edits-and-Commits for Multi-Agent Scientific Ideation
[arXiv] 2026-05-06 | A Convolution Process for Sea Surface Temperature Hot-Spot Identification in the Mediterranean Sea
[arXiv] 2026-05-06 | Koopman Identification of Nonlinear Systems via Reservoir Liftings
[arXiv] 2026-05-06 | Breaking the Quality-Privacy Tradeoff in Tabular Data Generation via In-Context Learning
[arXiv] 2026-05-06 | Geant4 Optical Simulation without C++
[arXiv] 2026-05-06 | On the (In-)Security of the Shuffling Defense in the Transformer Secure Inference
[arXiv] 2026-05-06 | Storage Is Not Memory: A Retrieval-Centered Architecture for Agent Recall
[arXiv] 2026-05-06 | Parameter Estimation Horizon of Core-Collapse Supernovae with Current and Next-Generation Gravitational-Wave Detectors
[arXiv] 2026-05-06 | Regime-Conditioned Evaluation in Multi-Context Bayesian Optimization
[arXiv] 2026-05-06 | An Andrews-Gordon Type Identity Related to Andrews' Parity Consideration
[arXiv] 2026-05-06 | A Comparative Study of PyCaret AutoML and CNN-BiLSTM for Binary Hate Speech Detection in Indonesian Twitter
[arXiv] 2026-05-06 | Catalytic advantage in asymptotic entanglement manipulation
[arXiv] 2026-05-06 | Anticipating Innovation Using Large Language Models
[arXiv] 2026-05-06 | Uncertainty-Aware Exploratory Direct Preference Optimization for Multimodal Large Language Models
[arXiv] 2026-05-06 | Branching Brownian motion with rank-based selection and reaction-diffusion equations
[arXiv] 2026-05-06 | 3D Ultrasound-Derived Pseudo-CT Synthesis Using a Transformer-Augmented Residual Network for Real-Time Operator Guidance
[arXiv] 2026-05-06 | Generative Quantum-inspired Kolmogorov-Arnold Eigensolver
[arXiv] 2026-05-06 | Multiscale Euclidean Network Trajectories: Second-Moment Geometry, Attribution, and Change Points
[arXiv] 2026-05-06 | TajikNLP: An Open-Source Toolkit for Comprehensive Text Processing of Tajik (Cyrillic Script)
[arXiv] 2026-05-06 | Fundamental Limitations of Post-Quantum Cryptographic Architectures
[arXiv] 2026-05-06 | Benchmarking POS Tagging for the Tajik Language: A Comparative Study of Neural Architectures on the TajPersParallel Corpus
[arXiv] 2026-05-06 | VL-UniTrack: A Unified Framework with Visual-Language Prompts for UAV-Ground Visual Tracking
[arXiv] 2026-05-06 | IRON: Implicit Resolvent Optimization under Noise
[arXiv] 2026-05-06 | Neural-Guided Domain Restriction to Accelerate Pseudospectra Computation for Structured Non-normal Banded Matrices
[arXiv] 2026-05-06 | The Nonreciprocal Mie-surfaces
[arXiv] 2026-05-06 | Measurement-Device-Independent Entanglement Quantification in a Fully Connected Time-Bin Quantum Network
[arXiv] 2026-05-06 | Hierarchical entanglement transitions and hidden area-law sectors in quantum many-body dynamics
[arXiv] 2026-05-06 | From Video-to-PDE: Data-Driven Discovery of Nonlinear Dye Plume Dynamics
[arXiv] 2026-05-06 | Characterizing Students' LLM Usage Behaviors and Their Association with Learning in Critical Thinking Tasks
[arXiv] 2026-05-06 | Reward-Guided Semantic Evolution for Test-time Adaptive Object Detection
[arXiv] 2026-05-06 | Stability conditions and infinitesimal deformation of curves
[arXiv] 2026-05-06 | RaguTeam at SemEval-2026 Task 8: Meno and Friends in a Judge-Orchestrated LLM Ensemble for Faithful Multi-Turn Response Generation
[arXiv] 2026-05-06 | FL-Sailer: Efficient and Privacy-Preserving Federated Learning for Scalable Single-Cell Epigenetic Data Analysis via Adaptive Sampling
[arXiv] 2026-05-06 | Enhanced $2$-categories of models of sketches as enhanced $2$-categories of algebras over monads
[arXiv] 2026-05-06 | DiffCap-Bench: A Comprehensive, Challenging, Robust Benchmark for Image Difference Captioning
[arXiv] 2026-05-06 | SCOUT: Active Information Foraging for Long-Text Understanding with Decoupled Epistemic States
[arXiv] 2026-05-06 | The unique, universal entropy for complex systems
[arXiv] 2026-05-06 | Confidence uncertainty: position and momentum can be jointly determined with a guaranteed probability
[arXiv] 2026-05-06 | ESG as Priced Crash Insurance: State-Dependent Tail Risk and Deconfounding Evidence
[arXiv] 2026-05-06 | On the structural behavior of images of polynomials
[arXiv] 2026-05-06 | LEGO: LoRA-Enabled Generator-Oriented Framework for Synthetic Image Detection
[arXiv] 2026-05-06 | Asymptotics of Minimizers for Ginzburg--Landau-type Functionals in High Dimensions
[arXiv] 2026-05-06 | Implementation of the Habegger--Lin decision algorithm
[arXiv] 2026-05-06 | Delay-induced chimera transitions via mode selection in a multiplex FitzHugh Nagumo network
[arXiv] 2026-05-06 | Submodular Ground-Set Pruning: Monotone Tightness and a Non-Monotone Separation
[arXiv] 2026-05-06 | Structure-Preserving and Pressure-Robust PINNs for Incompressible Oseen Problems
[arXiv] 2026-05-06 | A Numerical Investigation of Extremum-Seeking-Based Command Generation for Adaptively Controlled Systems
[arXiv] 2026-05-06 | UAV as Urban Construction Change Monitor: A New Benchmark and Change Captioning Model
[arXiv] 2026-05-06 | Detecting Deepfakes via Hamiltonian Dynamics
[arXiv] 2026-05-06 | Existence, uniqueness, stability, and monotonicity of traveling waves for repulsion/attraction chemotaxis models with logistic type source
[arXiv] 2026-05-06 | Anchored random clusters and SLE excursions
[arXiv] 2026-05-06 | Global spherically symmetric solutions to the multidimensional isentropic compressible Navier--Stokes--Korteweg system with large initial data
[arXiv] 2026-05-06 | Production of $D_s\bar{D}_s$ and $D\bar{D}$ bound states in the $B$ decays within the Bethe-Salpeter framework
[arXiv] 2026-05-06 | Worst-Case Discovery and Runtime Protection for RL-Based Network Controllers
[arXiv] 2026-05-06 | Random sampling of self-avoiding theta-graphs
[arXiv] 2026-05-06 | Online Nonstochastic Prediction: Logarithmic Regret via Predictive Online Least Squares
[arXiv] 2026-05-06 | Superconvergence in finite element method by smoothing
[arXiv] 2026-05-06 | On the Influence of the Feature Computation Budget on Per-Instance Algorithm Selection for Black-Box Optimization
[arXiv] 2026-05-06 | Beyond Seeing Is Believing: On Crowdsourced Detection of Audiovisual Deepfakes
[arXiv] 2026-05-06 | Cobordism-equivalence for codimension-one submanifolds
[arXiv] 2026-05-06 | Reconfigurable and cascaded logic gates using dual-input multilayered heater nanocryotrons
[arXiv] 2026-05-06 | Stability and Bifurcation Analysis of Fractional Delay Differential Equation with a Delay-dependent Coefficient
[arXiv] 2026-05-06 | Multistate Coupled Diabatic Neural Network potential for the quantum non-adiabatic Photofragmentation of CH$_2^+$
[arXiv] 2026-05-06 | S-LCG: Structured Linear Congruential Generator-Based Deterministic Algorithm for Search and Optimization
[arXiv] 2026-05-06 | From open-loop representations to closed-loop feedback implementations in differential games: A numerical case study
[arXiv] 2026-05-06 | Temporal Structure Matters for Efficient Test-Time Adaptation in Wearable Human Activity Recognition
[arXiv] 2026-05-06 | Taming Outlier Tokens in Diffusion Transformers
[arXiv] 2026-05-06 | On a polynomial involving quadratic residues modulo primes
[arXiv] 2026-05-06 | Frustrated magnetic order in hybrid Kitaev spin-orbital models
[arXiv] 2026-05-06 | Singular Behavior of Observables at Hopf Bifurcations
[arXiv] 2026-05-06 | Grokability in five inequalities
[arXiv] 2026-05-06 | LongSeeker: Elastic Context Orchestration for Long-Horizon Search Agents
[arXiv] 2026-05-06 | LoViF 2026 The First Challenge on Holistic Quality Assessment for 4D World Model (PhyScore)
[arXiv] 2026-05-06 | Numerical study of the 2D Kaup-Broer-Kuperschmidt Boussinesq system
[arXiv] 2026-05-06 | A Closed-Form Dual-Barrier CBF Safety Filter for Holonomic Robots on Incrementally Built Occupancy Grid Maps
[arXiv] 2026-05-06 | On the generalized Komar charge of supersymmetric solutions
[arXiv] 2026-05-06 | Understanding In-Context Learning for Nonlinear Regression with Transformers: Attention as Featurizer
[arXiv] 2026-05-06 | MRI-Eval: A Tiered Benchmark for Evaluating LLM Performance on MRI Physics and GE Scanner Operations Knowledge
[arXiv] 2026-05-06 | When Life Gives You BC, Make Q-functions: Extracting Q-values from Behavior Cloning for On-Robot Reinforcement Learning
[arXiv] 2026-05-06 | Entanglement-Rank Duality in Quadratic Phase Quantum States
[arXiv] 2026-05-06 | PhysForge: Generating Physics-Grounded 3D Assets for Interactive Virtual World
[arXiv] 2026-05-06 | Dynamical correlations in a dissipative XXZ spin chain
[arXiv] 2026-05-06 | The Saturable Electronic Reluctance Switch: Switchable low-power and low-noise generation of magnetic fields using permanent magnets
[arXiv] 2026-05-06 | CTseg: A Tool for Brain CT Segmentation, Spatial Normalisation, and Volumetrics
[arXiv] 2026-05-06 | What Can Go Wrong During Caplet Stripping ?
[arXiv] 2026-05-06 | Transformed Latent Variable Multi-Output Gaussian Processes
[arXiv] 2026-05-06 | The Demand Externality of Automation
[arXiv] 2026-05-06 | Time-Dependent Dynamical Dimensional Transmutation in the $SU(2)$ Gross-Neveu Model with Time-Dependent Interaction Strength
[arXiv] 2026-05-06 | Input-Output Specifications and Dynamic Droop Coefficients: Stability and Performance Conditions for Grid-Forming IBRs
[arXiv] 2026-05-06 | Minimizing the Expected Cost of Synchronization in Lossless Power Networks
[arXiv] 2026-05-06 | Are PTA measurements sensitive to gravitational wave non-Gaussianities?
[arXiv] 2026-05-06 | UFAL-CUNI at SemEval-2026 Task 11: An Efficient Modular Neuro-symbolic Method for Syllogistic Reasoning
[arXiv] 2026-05-06 | The Erdős-Pósa property for prime-length cycles fails (and beyond)
[arXiv] 2026-05-06 | Harnessing a 256-qubit Neutral Atom Simulator for Graph Classification
[arXiv] 2026-05-06 | Neural-powered unit disk graph embedding: qubits connectivity for some QUBO problems
[arXiv] 2026-05-06 | The magnetic fields in Be stars are stronger than previously suggested
[arXiv] 2026-05-06 | Deterministic identification for Bernoulli channels and related channels with continuous input
[arXiv] 2026-05-06 | Toward a Risk Assessment Framework for Institutional DeFi: A Nine-Dimension Approach
[arXiv] 2026-05-06 | Syn4D: A Multiview Synthetic 4D Dataset
[arXiv] 2026-05-06 | Field-induced asymmetric band flattening and ideal quantum geometry in rhombohedral graphene
[arXiv] 2026-05-06 | Stable homotopy theory of higher categories
[arXiv] 2026-05-06 | Almost-Orthogonality in Lp Spaces: A Case Study with Grok
[arXiv] 2026-05-06 | SILC: Lookahead Caching for Short-form Video Delivery Systems
[arXiv] 2026-05-06 | On Turán's inequality: new general criteria, nonnegative representations and the class of generalized Chebyshev polynomials
[arXiv] 2026-05-06 | Estimating the expected output of wide random MLPs more efficiently than sampling
[arXiv] 2026-05-06 | Private Structured-Subset Retrieval
[arXiv] 2026-05-06 | PSK at SemEval-2026 Task 9: Multilingual Polarization Detection Using Ensemble Gemma Models with Synthetic Data Augmentation
[arXiv] 2026-05-06 | Superposition Is Not Necessary: A Mechanistic Interpretability Analysis of Transformer Representations for Time Series Forecasting
[arXiv] 2026-05-06 | On Characterizations of (Almost) Strictly Convex Functions
[arXiv] 2026-05-06 | On Controllability of a Class of N -dimensional Hyperbolic Equations with Internal Single-point Degeneracy
[arXiv] 2026-05-06 | Executable World Models for ARC-AGI-3 in the Era of Coding Agents
[arXiv] 2026-05-06 | Algebraic $K$-theory, cohomotopy $K$-groups, and Koszul duality
[arXiv] 2026-05-06 | Adaptive Policy Selection and Fine-Tuning under Interaction Budgets for Offline-to-Online Reinforcement Learning
[arXiv] 2026-05-06 | Beyond Semantics: An Evidential Reasoning-Aware Multi-View Learning Framework for Trustworthy Mental Health Prediction
[arXiv] 2026-05-06 | Physiologically Grounded Driver Behavior Classification: SHAP-Driven Elite Feature Selection and Hybrid Gradient Boosting for Multimodal Physiological Signals
[arXiv] 2026-05-06 | On the Hardness of Junking LLMs
[arXiv] 2026-05-06 | How Long Does Infinite Width Last? Signal Propagation in Long-Range Linear Recurrences
[arXiv] 2026-05-06 | LineRides: Line-Guided Reinforcement Learning for Bicycle Robot Stunts
[arXiv] 2026-05-06 | Unified Framework of Distributional Regret in Multi-Armed Bandits and Reinforcement Learning
[arXiv] 2026-05-06 | Microscopic evidence for imaginary charge density wave in a kagome metal
[arXiv] 2026-05-06 | Hyperfine-structure constants of the $^{45}\!$Sc II ion and the nuclear quadrupole moment
[arXiv] 2026-05-06 | Why Geometric Continuity Emerges in Deep Neural Networks: Residual Connections and Rotational Symmetry Breaking
[arXiv] 2026-05-06 | Augmented transfer regression learning for completely missing covariates
[arXiv] 2026-05-06 | Practical validation of synthetic pre-crash scenarios
[arXiv] 2026-05-06 | Beyond Static Best-of-N: Bayesian List-wise Alignment for LLM-based Recommendation
[arXiv] 2026-05-06 | Effects of event-by-event hydrodynamic fluctuations on bottomonium dynamics in Pb--Pb collisions at $\sqrt{s_{NN}} = 5.02$ TeV
[arXiv] 2026-05-06 | Benchmarking LLMs on the Massive Sound Embedding Benchmark (MSEB)
[arXiv] 2026-05-06 | Counter-Dyna: Data-Efficient RL-Based HVAC Control using Counterfactual Building Models
[arXiv] 2026-05-06 | InterMesh: Explicit Interaction-Aware End-to-End Multi-Person Human Mesh Recovery
[arXiv] 2026-05-06 | The Newsworthiness of Brazilian Distress: A Peak Analysis on Time Series of International Media Attention to Disasters in Brazil
[arXiv] 2026-05-06 | A Ceiling Continued Fraction Approach to the Erdős-Straus Conjecture: Heuristic finiteness of counterexamples
[arXiv] 2026-05-06 | Hard CNF Instances for Ideal Proof Systems
[arXiv] 2026-05-06 | Transversality and Geometric Regularisation in Distributional Statistical Models
[arXiv] 2026-05-06 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[arXiv] 2026-05-06 | YOTOnet: Zero-Shot Cross-Domain Fault Diagnosis via Domain-Conditioned Mixture of Experts
[arXiv] 2026-05-06 | DAO-enabled decentralized physical AI: A new paradigm for human-machine collaboration
[arXiv] 2026-05-06 | Unveiling the Atomistic Mechanisms of Shear-Induced LDA$\leftrightarrow$HDA Transformations and Shear Banding in Amorphous Silicon under High Pressures
[arXiv] 2026-05-06 | From Priors to Perception: Grounding Video-LLMs in Physical Reality
[arXiv] 2026-05-06 | Zeros of characters and orders of elements in finite groups
[arXiv] 2026-05-06 | Approximate Dynamic Programming for Real-time Assignment of Extraboard Transit Operators
[arXiv] 2026-05-06 | CoherentRaster: Efficient 3D Gaussian Splatting for Light Field Displays
[arXiv] 2026-05-06 | Loop Extrusion Reversal by Condensin Motor is Mediated by Catch Bonds
[arXiv] 2026-05-06 | Tightly-Coupled Estimation and Guidance for Robust Low-Thrust Rendezvous via Adaptive Homotopy
[arXiv] 2026-05-06 | Information Coordination as a Bridge: A Neuro-Symbolic Architecture for Reliable Autonomous Driving Scene Understanding
[arXiv] 2026-05-06 | Geometry-Aware Neural Optimizer for Shape Optimization and Inversion
[arXiv] 2026-05-06 | Programming sequential deployment of origami via kinematic transition fronts
[arXiv] 2026-05-06 | Order Flow Exclusivity and Value Extraction Mechanisms: An Analysis of Ethereum Builder Centralization
[arXiv] 2026-05-06 | Distributed TD Tracking with Linear Function Approximation over Directed Communication Networks
[arXiv] 2026-05-06 | One Pool, Two Caches: Adaptive HBM Partitioning for Accelerating Generative Recommender Serving
[arXiv] 2026-05-06 | GEM: Graph-Enhanced Mixture-of-Experts with ReAct Agents for Dialogue State Tracking
[arXiv] 2026-05-06 | HIMCE: High-dimensional multiple imputation via covariance-mode updating for neuroimaging and spatiotemporal blocks
[arXiv] 2026-05-06 | A CNN--Transformer Denoiser for low-$S/N$ Galaxy Spectra: Stellar Population Recovery in Synthetic Tests
[arXiv] 2026-05-06 | Fixed-point lifting and ghost periodic points for Chebyshev polynomials modulo odd prime powers
[arXiv] 2026-05-06 | Structured 3D Latents Are Surprisingly Powerful: Unleashing Generalizable Style with 2D Diffusion
[arXiv] 2026-05-06 | Thin subbases of Piatetski-Shapiro sequences
[arXiv] 2026-05-06 | Autonomous Laparoscope Control through Unified Mechanics-Based Representation of Multimodal Intraoperative Information
[arXiv] 2026-05-06 | Assessing Generalisation Capability of Machine Learning Models for Intrusion Detection
[arXiv] 2026-05-06 | Contextual Memory-Enhanced Source Coding for Low-SNR Communications
[arXiv] 2026-05-06 | Kitaev chain in synthetic dimension with cavity-controlled Majorana modes
[arXiv] 2026-05-06 | More on the Erd\H os--Kleitman problem on matchings in set families
[arXiv] 2026-05-06 | A Zero-Inflated Beta Mixture Model for Marginal Mediation Analysis with Compositional Microbiome Mediators
[arXiv] 2026-05-06 | Reddit's Globalization over Twenty Years: Inferring Community Time Zone from Activity Timestamps
[arXiv] 2026-05-06 | Mitigating Label Shift in Tabular In-Context Learning via Test-Time Posterior Adjustment
[arXiv] 2026-05-06 | Dynamic Collateral Control for Permissionless Spot Perpetual Basis Trading
[arXiv] 2026-05-06 | Gated Multimodal Learning for Interpretable Property Energy Performance Prediction and Retrofit Scenario Analysis
[arXiv] 2026-05-06 | The top cohomology of principal congruence subgroups of special linear groups over Euclidean number rings
[arXiv] 2026-05-06 | Order Matters: Improving Domain Adaptation by Reordering Data
[arXiv] 2026-05-06 | On the minimal generating weighted IFS of self-similar measure
[arXiv] 2026-05-06 | FlowDIS: Language-Guided Dichotomous Image Segmentation with Flow Matching
[arXiv] 2026-05-06 | Look Once, Beam Twice: Camera-Primed Real-Time Double-Directional mmWave Beam Management for Vehicular Connectivity
[arXiv] 2026-05-06 | The NUV transit of XO-3 b
[arXiv] 2026-05-06 | Interaction-controlled localization in one-dimensional chain: From edges to domain walls
[arXiv] 2026-05-06 | Reduced-order Neural Modeling with Differentiable Simulation for High-Detail Tactile Perception
[arXiv] 2026-05-06 | Interpretable Neural Networks to Predict Momentum Fluxes of Orographic Gravity Waves
[arXiv] 2026-05-06 | Kinematic Discriminants of Deceleration Behavior Modes in Car-Following: Evidence from NGSIM Trajectory Data
[arXiv] 2026-05-06 | On spectral Turán theorems: confirming a conjecture of Guiduli and two problems of Nikiforov
[arXiv] 2026-05-06 | Local Homophily on Bicolored Graphs is $\mathbf{P}$-complete
[arXiv] 2026-05-06 | Sampling Simultaneous Edge-Colorings
[arXiv] 2026-05-06 | Can a hybrid star with constant sound speed parametrization explain the new NICER mass-radius measurements ?
[arXiv] 2026-05-06 | An Optimal Regularity Theory for Immersed Stable Minimal Hypersurfaces with Small Singular Set
[arXiv] 2026-05-06 | Multiplicative $f$-ic forms on algebraic varieties arising from Thaine's generalized Jacobi sums
[arXiv] 2026-05-06 | The Predictive-Causal Gap: An Impossibility Theorem and Large-Scale Neural Evidence
[arXiv] 2026-05-06 | Prompt-Anchored Vision-Text Distillation for Lifelong Person Re-identification
[arXiv] 2026-05-06 | Existence of rotationally symmetric embedded f-minimal tori
[arXiv] 2026-05-06 | Matchings in permutations
[arXiv] 2026-05-06 | Attention-Based Chaotic Self-Supervision for Medical Image Classification
[arXiv] 2026-05-06 | Self-Induced Outcome Potential: Turn-Level Credit Assignment for Agents without Verifiers
[arXiv] 2026-05-06 | Temperature dependence of the Gibbs energies of formation of point defects in B2 MoTa from ab initio calculations
[arXiv] 2026-05-06 | Tests for white noise via asymptotically independent U-statistics in high-dimensions
[arXiv] 2026-05-06 | Spiral metasurface enables tunable directional edge enhancement
[arXiv] 2026-05-06 | Fast Full-Wave Simulation of Indoor RSS Maps for Pre-Measurement Validation in Device-Free Localization
[arXiv] 2026-05-06 | A low-valence ribbon graph complex computing the cohomology of $M_{g,m}$
[arXiv] 2026-05-06 | AllSERP: Exhaustive Per-Element Enrichment of the Versatile AdSERP Dataset
[arXiv] 2026-05-06 | Quantum Realizability of Probabilistic Theories Stable under Teleportation
[arXiv] 2026-05-06 | Low Beta, Normal Conducting Cavities
[arXiv] 2026-05-06 | Curated AI beats frontier LLMs at pharma asset discovery
[arXiv] 2026-05-06 | Delta-Based Neural Architecture Search: LLM Fine-Tuning via Code Diffs
[arXiv] 2026-05-06 | SynConfRoute: Syntax-Aware Routing for Efficient Code Completion with Small CodeLLMs
[arXiv] 2026-05-06 | Real-time Surface-Code Error Correction Using an FPGA-based Neural-Network Decoder
[arXiv] 2026-05-06 | BenCSSmark: Making the Social Sciences Count in LLM Research
[arXiv] 2026-05-06 | From Classical to Quantum-Mechanical Data Assimilation: A Comparison between DATO and QMDA
[arXiv] 2026-05-06 | Measuring Psychological States Through Semantic Projection: A Theory-Driven Approach to Language-Based Assessment
