[2026-08-08 09:38:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[ACM] 2026-8-7 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[ACM] 2026-8-7 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[ACM] 2026-8-7 | The Entropic Overhead of Conformal Correction
[ACM] 2026-8-7 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[ACM] 2026-8-7 | Bounded-Abstention Pairwise Learning to Rank
[ACM] 2026-8-7 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[IEEE] 2026-8-7 | Using Genetic Algorithms to Optimize the Construction Strategy of Customer Relationship Management Platforms for Industrial and Commercial Enterprises
[IEEE] 2026-8-7 | Three-Dimensional Reconstruction and Geometric Parameterization Modeling Method of Architectural Structure of Dunhuang Murals
[IEEE] 2026-8-7 | Shift Scheduling for Electric Service Vehicles: A Public Transportation Case Study
[IEEE] 2026-8-7 | Research and Application of Intelligent Heating Control Platform Based on Digital Technologies
[IEEE] 2026-8-7 | AIGC Reshaping: A New Era in Interior Design Workflow
[IEEE] 2026-8-7 | A Full-Stack API Performance Monitoring Middleware: Design and Implementation Using the MERN Stack
[IEEE] 2026-8-7 | Lightweight Stress Detection Framework Using Wearable Bio-Signals and Machine Learning
[IEEE] 2026-8-7 | Based on Bibliometric Method Research on Visualisation Analysis and Development Trend of Cultural Tourism
[IEEE] 2026-8-7 | A Study on College Students' Repurchase Intention of Urban Cultural and Creative Products from the Perspective of Cultural Identity
[IEEE] 2026-8-7 | Real-World Water-Scene Image Dehazing Based on Vision-Language Model and Density Difference Information
[IEEE] 2026-8-7 | Safe Navigation in Narrow Channels Using Smooth Minkowski Barrier Function
[IEEE] 2026-8-7 | A Combined Image Matching Method for Multi-Beam Sonar Image
[IEEE] 2026-8-7 | MQTT-Enabled IoT Framework for Real-Time Environmental Monitoring and Employee Safety in Industries
[IEEE] 2026-8-7 | Research on AR Interaction Design of Jade Culture
[IEEE] 2026-8-7 | Adaptive Auto-Scaling Using CNN-Based Workload Classification for Reliable Cloud Resource Provisioning
[IEEE] 2026-8-7 | CGFE-UNet: Cross-Group-Feature-Enhanced U-Net for Medical Image Segmentation
[IEEE] 2026-8-7 | Personalized Depression Analysis Using EBFRFS-Net from Facial Emotion Variations
[IEEE] 2026-8-7 | Quantifying Similarity Between Nonlinear Systems From Data Using Matrix Profiles
[IEEE] 2026-8-7 | Digital Intervention for the Living Inheritance of Jun Porcelain Culture
[IEEE] 2026-8-7 | Research on Intrusion Detection and Anomaly Recognition Algorithm Based on Multi-Source Sensor Data Fusion
[IEEE] 2026-8-7 | On the fixed-time control of systems with mismatched perturbations: An application to Quadrotor Unmanned Aerial Vehicles
[IEEE] 2026-8-7 | The Application of Artistic Style Interpretation and Cultural Communication Enhancement in the Transportation Landscape Design of Historical and Cultural Cities
[IEEE] 2026-8-7 | An Edge-Guided Mixture-of-Experts Network for Arbitrary-Scale Multi-Contrast MRI Super-Resolution
[IEEE] 2026-8-7 | Uncertainty-guided Whitening for Unsupervised Generalizable Person Re-identification
[IEEE] 2026-8-7 | Enhancing Straight-Line Stability of a Dual Flapping, Caudal Fin-Propelled Biomimetic AUV by Design Modifications
[IEEE] 2026-8-7 | Input-Complete Finite State Machines with Explicit Failure States: A Verification-Oriented Approach for ROPS Control Systems
                    <sup>*</sup>
[IEEE] 2026-8-7 | Practical Exploration of the Youthful Inheritance of Dalian Intangible Cultural Heritage Driven by Digital Intelligence
[IEEE] 2026-8-7 | A Hybrid Machine Learning Approach for Scalable VLSI Testing
[IEEE] 2026-8-7 | Strategic Deployment and Optimization of Cloud-RAN Architectures for Future Wireless Networks
[IEEE] 2026-8-7 | A Study of the Role of Immersive Intelligent Virtual Environments and Digital Avatars in Enhancing Students' Sense of Belonging
[IEEE] 2026-8-7 | Traffic Density Estimation from Real-Time Video Streams using Convolutional Neural Networks
[IEEE] 2026-8-7 | Parameter Identification of a Macroscopic Crowd Model Governed by a Hyperbolic PDE Using Physics-Informed Neural Networks
[IEEE] 2026-8-7 | Personalized Reverse Iontophoresis-based Non-Invasive Continuous Glucose Monitoring via Multi-Parameters Coupled Machine Learning
[IEEE] 2026-8-7 | Research on Human-Centered Cultural Tourism Project Design Based on Sustainable Operation
[IEEE] 2026-8-7 | Research on the Design Path of Urban Rewilding Renewal Under the TSD Model: A Case Study of Huaxi Park Area in Guiyang City
[IEEE] 2026-8-7 | Towards An Agile Business Intelligence Dashboard for Bandwidth and Subscription Transparency in the Starlink Reseller Ecosystem
[IEEE] 2026-8-7 | Thiolated TiO
                    <sub>2</sub>
                    Thin Films Based Flexible Patch for Real-time Detection of L-cysteine in Sweat
[IEEE] 2026-8-7 | Research on High-Precision Intelligent Inversion Model of Geotechnical Parameters Driven by Digital Twin
[IEEE] 2026-8-7 | Intelligent Audit Systems: A Systematic Review of Fundamental Scientific Challenges
[IEEE] 2026-8-7 | Research on the Relationship Between the Attributes of Museum Cultural and Creative Products and the Consumer Demand of Generation Z Based on Kano Model
[IEEE] 2026-8-7 | A KernelCentric AI Architecture for Emergency Triage: From Healthcare Knowledge Management to Simulated Dispatch Scenarios*
[IEEE] 2026-8-7 | AI-Enabled Controllable Creation of Chinese Traditional Dyeing Art Using Stable Diffusion Model
[IEEE] 2026-8-7 | MILP and CP Approaches for Human-Robot Collaborative Flow-Shop Scheduling
[IEEE] 2026-8-7 | Microstructural Evolution of Cr/Au Films on Fused Silica after Vacuum Annealing
[IEEE] 2026-8-7 | Metaheuristics-based LPV Controller Synthesis with Uncertainty Volume Maximization
[IEEE] 2026-8-7 | 3D Object Detection Method Based on BEV Feature Fusion
[IEEE] 2026-8-7 | Spatiotemporal Characteristics of Waves and Wave Energy Resources in the South China Sea
[IEEE] 2026-8-7 | The Interdisciplinary Nature of Stochastic Systems: Challenges and Opportunities in STEM Education
[IEEE] 2026-8-7 | Research on the Design of Mobility Aid Products for the Elderly Based on Emotional Permanence Theory
[IEEE] 2026-8-7 | On the Incremental Stability of PIDE-based Stochastic Gene Regulatory Networks under Switching Inducer Profiles
[IEEE] 2026-8-7 | Simulation-Generated Data for Fault Detection and Diagnosis in Mobile Robots
[IEEE] 2026-8-7 | Research on the Design of Digital Platform for Tang Poetry Education in Primary and Middle Schools Under Flow Experience
[IEEE] 2026-8-7 | Multidimensional Data Analysis and Effect Evaluation Model Construction of Practical Education Projects in Colleges and Universities
[IEEE] 2026-8-7 | Low-Order Continuous-Time Koopman Operator Learning via Physics-Informed Neural Networks
[IEEE] 2026-8-7 | Adaptive Dynamic Region Allocation and Full Coverage Path Planning Method for Multi-UUV Area Exploration Missions
[IEEE] 2026-8-7 | Hybrid Deep Learning Framework for Content Based Image Retrieval Using CNN and CLIP
[IEEE] 2026-8-7 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[IEEE] 2026-8-7 | Cultural Design of South Liaoning Shadow Puppetry via Consumption Value Theory and Eye-Tracking
[IEEE] 2026-8-7 | Simulation of Metasurface Structures for Mid-Infrared Narrowband Filter
[IEEE] 2026-8-7 | Machine Learning Soft Sensor for Predicting the Product Quality of a Hydrogen Reduction Furnace
[IEEE] 2026-8-7 | Optimizing Oil Palm Detection: A Deep Dive into Algorithm Performance and Software Metrics
[IEEE] 2026-8-7 | A Method for Ocean Wave Classification from X-Band Marine Radar Images
[IEEE] 2026-8-7 | Logistic Regression Integrated Autoencoder Framework for Intelligent Acoustic Anomaly Detection in Industrial Environments
[IEEE] 2026-8-7 | High-Precision Orange Leaf Disease Detection Using Edge-Optimized Lightweight YOLO nano models
[IEEE] 2026-8-7 | Multi-Objective Deterministic Ambulance Routing: Exact MILP Benchmarking and Metaheuristic Optimization
[ACM] 2026-8-7 | MixLM: High-Throughput and Effective LLM Ranking via Text-Embedding Mix-Interaction
[ACM] 2026-8-7 | Multi-Hop Diffusion-Wavelet Semantic Learning for Zero-Shot Circrna-Mirna Interaction Prediction
[ACM] 2026-8-7 | DICE: Dynamic In-Context Example Selection in LLM Agents via Efficient Knowledge Transfer
[ACM] 2026-8-7 | Slowing Down Forgetting in Continual Learning: Evidence from Manufacturing
[ACM] 2026-8-7 | {GS-Fuse}: Granger-Supervised Gated Fusion and Multi-Granularity Alignment for Event-Driven Financial Forecasting
[ACM] 2026-8-7 | Online Learning for Wild Streaming Data with Delayed Feedback
[ACM] 2026-8-7 | UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning
[ACM] 2026-8-7 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[IEEE] 2026-8-7 | G.R.A.D.E.: A Gemini-Based Resume Assessment and Document Evaluator
[IEEE] 2026-8-7 | Multiplex Optical Detection of Bacteria in Water Using a Cell Imprinted Polymer-Based Microfluidic Sensor
[IEEE] 2026-8-7 | Message from the General Chairs
[IEEE] 2026-8-7 | A Class of Generalized Sufficiently Smooth Projection Operators
[IEEE] 2026-8-7 | 2026 IEEE Global Symposium on Emerging and Communication Technologies (GSEACT)
[IEEE] 2026-8-7 | Event-Triggered Gossip for Distributed Learning_supp1-3718498.pdf
[IEEE] 2026-8-7 | Residual MPC: Blending Reinforcement Learning with GPU-Parallelized Model Predictive Control
[IEEE] 2026-8-7 | A Physics-Guided Parametric Discovery Framework for Closed-Form Gain Representation of EDFA
[IEEE] 2026-8-7 | Expert Behavior Prior Reinforcement Learning
[IEEE] 2026-8-7 | Hierarchical Predictive Sliding Mode Control for Under-Actuated UAV: A FAS Approach
[IEEE] 2026-8-7 | Shape-Aware Cell Segmentation with Global Cues_supp1-3721049.pdf
[IEEE] 2026-8-7 | Self-Chained Dynamic Context Perception to Tracking by Natural Language Specification
[IEEE] 2026-8-7 | A 19.8-Gb/s/Wire Single-Ended PAM-3/NRZ Simultaneous Bidirectional Transceiver With Shared ZQ/Hybrid Calibration for Memory Interfaces
[IEEE] 2026-8-7 | High-Throughput LDPC Decoder for nand Flash: Turbo Two-Bit Gradient Descent Bit-Flipping Algorithm and VLSI Architecture
[IEEE] 2026-8-7 | Porous 4H-SiC Local Avalanche Ultraviolet Photodetector with High Photo-to-dark Current Ratio and Low Avalanche Threshold Voltage
[IEEE] 2026-8-7 | Noise-Aware Model Inversion Eavesdropping Attack in Semantic Communication System for Video Transmission
[IEEE] 2026-8-7 | A Non-Contact Capacitive ECG Smart Mattress System Using Sensor Arrays and Adaptive Switching Strategy for Unconstrained In-Bed Sleep
[IEEE] 2026-8-7 | A Novel Flash-Based Finite Impulse Response (FFIR) Filter Featuring Processing In-Memory (PIM) for IoT Applications
[IEEE] 2026-8-7 | Physics-Informed Feature Generation for Fault Classification in Industrial Drive Systems
[IEEE] 2026-8-7 | Secure Inter-Vehicle Communication Using Blockchain-Based Distributed Security Frameworks
[IEEE] 2026-8-7 | A Study on Friendly Space Design for Caracal Pavilion Based on the Analytic Hierarchy Process
[IEEE] 2026-8-7 | The Role of Cross-Modal Vision-Touch Interaction in Generalized Anxiety Regulation
[IEEE] 2026-8-7 | Optimization of Exterior Shading for Classrooms in Non-North-South Oriented Regions: A Performance-Driven Study of Sanmenxia Experimental Primary School
[IEEE] 2026-8-7 | Joint Optimization of Temporal Windows and Hidden Neurons for Residual-Based Fault Detection
                    <sup>*</sup>
[IEEE] 2026-8-7 | A Study on the Influencing Factors of Prayer Exam Stationery Purchase Intention Based on the Theory of Planned Behavior
[IEEE] 2026-8-7 | Stable Adversarial Adaptation for Wearable Sensors
[IEEE] 2026-8-7 | Remaining Useful Life Prediction Method using Bayesian Optimization based CNN-LSTM- XGBoost Cascaded Model
[IEEE] 2026-8-7 | Heart Attack Risk Prediction Using Retinal Eye Images
[IEEE] 2026-8-7 | Outdoor Robustness Validation of a Laser-Acoustic Cross-Medium Communication System
[IEEE] 2026-8-7 | Investigation of Sample Volume Effect on Viscosity Sensor Using SAW Devices
[IEEE] 2026-8-7 | Net Buoyancy Identification of Underwater Vehicles via Power-Off Ascent Dynamics
[IEEE] 2026-8-7 | A Feature-Weighted K-Means and K-Means++ Framework for Clustering of Low-Dimensional Data
[IEEE] 2026-8-7 | Detecting Hard Examples for Semantic Segmentation with Auxiliary 3D LiDAR
[IEEE] 2026-8-7 | Lyapunov-Based Adaptive Control for Constrained Kinematic Tracking of Robot Manipulators under Parameter Uncertainty
[IEEE] 2026-8-7 | Building a Structured Indonesian Legal Corpus for NLP Applications
[IEEE] 2026-8-7 | Laser Phase-Shifting Interferometry for Micro-Scale Displacement Measurement of Piezoelectric Actuators
[IEEE] 2026-8-7 | A new consensus-based control strategy for intelligent cooperative buildings in microgrid
[IEEE] 2026-8-7 | Low-Complexity Probabilistic Amplitude Shaping via Neural Distribution Matching for Underwater Optical Systems
[IEEE] 2026-8-7 | The Chemically Sensitive Transistor based on Palladium Nanoparticle-modified h-BN/MoS
                    <sub>2</sub>
                    Heterostructures for H
                    <sub>2</sub>
                    Detection*
[IEEE] 2026-8-7 | Application of Particle Swarm Optimization Algorithm in Time Planning of Army Aviation Interception Missions
[IEEE] 2026-8-7 | Edge-Optimized AI Framework for Predictive Maintenance in Smart Industrial IoT Systems
[IEEE] 2026-8-7 | Pressure-Preserving Transfer Technology for Hadal Macro-Organisms Based on Modular Chamber Docking: Design and Experimental Study
[IEEE] 2026-8-7 | Quantum AI Driven Intrusion Detection System for Large-Scale Network Traffic Analysis Using the CICIDS2017 Dataset
[IEEE] 2026-8-7 | PAMR: Patch-Aggregated Metric Retrieval for Scalable Fine-Grained Texture and Material Recognition
[IEEE] 2026-8-7 | A Channel Impulse Response-Aided Time of Arrival Estimation Method for Under-Ice Current Field Distributed Acoustic Observation
[IEEE] 2026-8-7 | Enhancing Seathru-NeRF with External Monocular Depth Constraints for Underwater 3D Reconstruction
[IEEE] 2026-8-7 | A new cutting plane algorithm for the min s-t cut problem
[IEEE] 2026-8-7 | MLAS: An Integrated Deep Multi-Task Architecture for Data-Driven Farming
[IEEE] 2026-8-7 | Equivalent Disturbance Modeling of Riser and Buffer Station Coupling Effects on Dynamic Positioning Deep-Sea Mining Vessels
[IEEE] 2026-8-7 | Magnetic Induction-Based Cross-Boundary Communication Between Air and Water
[IEEE] 2026-8-7 | FinVision AI: A Multi-Model Machine Learning Framework for Financial Risk Management and Portfolio Optimization
[IEEE] 2026-8-7 | A Portable Multi-Sensor Unit and Layered Kalman Filtering for State Estimation on Legged and Wheeled Mobile Robots
[IEEE] 2026-8-7 | Enhancing Path Planning and Obstacle Avoidance in Autonomous System Using Deep Learning
[IEEE] 2026-8-7 | Research on the Reconstruction and Competitiveness Evaluation of Time-Honored Zisha Utensils Under the New Aigc Workflow
[IEEE] 2026-8-7 | Liaoning Folk Paper Cutting Folk Cultural Characteristics and Spatial Translation Design Research
[IEEE] 2026-8-7 | Stochastic prediction for heavy-tailed processes using extreme gradient boosting
[IEEE] 2026-8-7 | A Multimodal Domain Ontology for the Dominant Zooplankton Species in Shandong Offshore Area, China
[IEEE] 2026-8-7 | Correlation Between Medium-to-High Intensity Physical Activity and U6-7 Basic Motor Skills and Physical Fitness
[IEEE] 2026-8-7 | Trust-Based Admission and Departure Control for Cooperative Platooning
[IEEE] 2026-8-7 | Improved Real-Time Object Detection Using a YOLOv8-Based Ensemble Framework
[IEEE] 2026-8-7 | A Self-Powered Wireless Sensing System Based on Array Piezoelectric Energy Harvester
[IEEE] 2026-8-7 | Innovative Integration of Intelligent Technology and Narrative Theory in Dunhuang Cultural Creative Products
[IEEE] 2026-8-7 | Adaptive Compensation and Adaptive Optimal Control of a Single Link Manipulator
[IEEE] 2026-8-7 | Calibrated and Uncertainty-Aware Heart Disease Prediction Using Ensemble Learning
[IEEE] 2026-8-7 | Exploration on Basic Courses of Art Design Education Under the Background of Artificial Intelligence
[IEEE] 2026-8-7 | A Hybrid Model-Based and Model-Free Framework for Active Multi-View Viewpoint Optimization in Sonar Target Recognition
[IEEE] 2026-8-7 | Evaluation of YOLO Algorithms in Car Damage Detection Using CarDD Dataset
[IEEE] 2026-8-7 | Visual Target Localization for Single UAV Based on Dynamic Benchmark Optimization and Multi-View Vector Intersection
[IEEE] 2026-8-7 | Engineering the Ocean Decade Innovation Pipeline: The IEEE OES Ocean Challenge as a Scalable Mechanism for Ocean Technology Prototyping and Capacity Development
[IEEE] 2026-8-7 | Motion-Artifact-Suppressed Pulse Wave Monitoring Based on an Iontronic Pressure Sensor
[IEEE] 2026-8-7 | Hierarchical Satellite Attitude Control via Reinforcement Learning-Guided Model Predictive Control
                    <sup>*</sup>
[IEEE] 2026-8-7 | Offline Opacity Enforcement and Online Mitigation Mechanism for Actuator-Enablement Attacks in Discrete Event Systems
[IEEE] 2026-8-7 | Coastal S-Band Coherent Radar Observations of Ocean Waves During Tropical Cyclones
[IEEE] 2026-8-7 | Research on Non-Contact Voltage Sensing System Technology Supporting Load Management of Dedicated Transformer Areas
[IEEE] 2026-8-7 | Bayesian Ensemble Regression for Uncertainty Prediction in Data-Sparse Sensor Calibration
[IEEE] 2026-8-7 | Dynamic Positioning Control for Surface Vessels via a Composite Observer with State and Disturbance Estimation
[IEEE] 2026-8-7 | Enhanced Extended Sliding Innovation Filter for Nonlinear Underwater Bearings-Only Target Tracking
[IEEE] 2026-8-7 | Fingertip Campus: A Study on the Design of Accessible Campus Maps for the Consideration of Blind People
[IEEE] 2026-8-7 | Sentimental Analysis of Social Media Data Using Contextual Hybrid Embeddings and Deep Learning
[IEEE] 2026-8-7 | Research Approaches to Smart Clothing Design From the Perspective of Phenomenology of the Body
[IEEE] 2026-8-7 | Study on External Spatial Characteristics of Qingdao Textile Valley Creative Park
[IEEE] 2026-8-7 | A Study on the Structural Transformation of Intelligent Advertising Creative Production Under the 5W Communication Model--Taking Midjourney as an Example
[IEEE] 2026-8-7 | Exploring the Emotional Attributes of Chinese Fonts and Their Relationship to Morphology and Emotional Perception
[IEEE] 2026-8-7 | Sea-Trial Validation of an Underwater Acoustic OFDM-Based Real-Time Remote Seafloor Seismic Monitoring System
[IEEE] 2026-8-7 | A hybrid continuous-discrete nonlinear observer for real-time SOC estimation for Supercapacitor
[IEEE] 2026-8-7 | Parametric Design on Three Ordered Levels of Product Design
[IEEE] 2026-8-7 | A Secure and Scalable Digital Healthcare System Based on Blockchain Telemedicine Architecture
[IEEE] 2026-8-7 | Next-Gen Secure Access Using Intelligent Zero Trust Network Architecture
[IEEE] 2026-8-7 | Research on Enhancing Adolescent Cultural Heritage Cognition Through Gamified Multimodal Interaction
[IEEE] 2026-8-7 | Research on Digital Flow Design of Ancient Book with the Aid of Artificial Intelligence
[IEEE] 2026-8-7 | Exploring New Paradigms in Chinese Font Library Design Under the Context of Artificial Intelligence
[IEEE] 2026-8-7 | Side-Scan Sonar Image Correction Method Based on Histogram Partitioning Estimation
[IEEE] 2026-8-7 | Research on Personalized Learning Path Recommendation in Vocational Education Based on Deep Learning
[IEEE] 2026-8-7 | Research on the Construction Path and Practice of the “Golden Curriculum System” for AI-Empowered Intelligent Manufacturing Professional Group Under the Background of “Double High Construction (2025-2029)”
[IEEE] 2026-8-7 | Offshore Floating Wind Development in Iberian Coastal Waters: A GIS-Based Tool to Assess Technical, Economic, and Industrial Value Chains
[IEEE] 2026-8-7 | Research on Intelligent Design and Dynamic Interaction of Digital Twin Systems for Heritage Sites—A Case Study on the Living Digitization of Yuanmingyuan Cultural Heritage
[IEEE] 2026-8-7 | IoT-Based Emergency Vehicle Priority Traffic Control Using Realtime Signal Adjustment
[ACM] 2026-8-7 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[ACM] 2026-8-7 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[ACM] 2026-8-7 | FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation
[ACM] 2026-8-7 | MEMTS: Internalizing Domain Knowledge via Parameterized Memory for Retrieval-Free Domain Adaptation of Time Series Foundation Models
[ACM] 2026-8-7 | Artificial Social Intelligence
[ACM] 2026-8-7 | Generalizing GNNs with Tokenized Mixture of Experts
[ACM] 2026-8-7 | EHRBench: An Automated and Reliable EHR-based Benchmark for Clinical Decision Making with LLMs
[IEEE] 2026-8-7 | Fair Charging under Grid Constraints: A Receding-Horizon Game Approach for Electric Vehicle Charging Parks
[IEEE] 2026-8-7 | Predictive Analytics Framework for Long COVID Healthcare Resource Forecasting Using Ensemble Learning
[IEEE] 2026-8-7 | An Examination of Sustainable Travel in Remote Urban Communities Through the Lens of Service Design
[IEEE] 2026-8-7 | AFS-BERTweet: An Adaptive Feature-Selection Framework for Robust Sentiment Analysis under Sarcasm and Irony in Noisy Social Media Data
[IEEE] 2026-8-7 | Research on Optimizing User Experience of Shared Mobility in the Context of Cultural Heritage
[IEEE] 2026-8-7 | Intelligent Design Empowers Cultural and Creative Platforms: A New Path for the Digitization of Cultural Heritage
[IEEE] 2026-8-7 | A Legendre-Corrected Analytical Model for Modal Coupling in LiNbO
                    <sub>3</sub>
                    XBAR Resonators
[IEEE] 2026-8-7 | Automatic Berthing in Constrained Harbors with Reeds-Shepp A-Star Planning and Line-of-Sight Path Following
[IEEE] 2026-8-7 | Analyzing the Role of Digital Interaction Design in Hubei Provincial Museums
[IEEE] 2026-8-7 | Multimodal Perception and Embodiment: AI-Driven Research in Intermedia Art Management
[IEEE] 2026-8-7 | Rehabilitation and Reintegration Pathways for Offenders with Intellectual Disabilities: Bridging Secure and Community Frameworks
[IEEE] 2026-8-7 | Tunable Energy Transfer in MEMS Resonators with Electrostatic Coupling under Parametric Excitation
[IEEE] 2026-8-7 | Routh Matrix Algorithm: A State-Space Approach
[IEEE] 2026-8-7 | Autonomous Acoustic and Optical Guided Recovery Method for Underwater Robots in Polar Ice-Covered Regions
[IEEE] 2026-8-7 | Automated Detection and Classification of Epileptic Seizure using Hybrid Feature-Optimized Machine Learning Model
[IEEE] 2026-8-7 | Towards Energy-Efficient Underwater Visual Perception via an FPGA Accelerator of Vision Transformers
[IEEE] 2026-8-7 | Order Sensitivity of Integrated Electronics Supply Networks in Emergent Customer and Market Conditions
[IEEE] 2026-8-7 | Terrain traversability calculation using visual friction estimation and geometric information fusion for sloped terrains
[IEEE] 2026-8-7 | A Study on Digital Bio-Color Design Based on Pheasant Feather Coloration
[IEEE] 2026-8-7 | Research on the Modular Design of Huai Flower Lamp Based on Fractal Method
[IEEE] 2026-8-7 | Research on Industrial Heritage Transformation Based on Spatial Experience Theory-Taking Shenyang Hongmei Cultural and Creative Park as an Example
[IEEE] 2026-8-7 | AI Capabilities Driving Sustainable Organizational Performance Through Training Development and Organizational Agility Under Leadership Influence
[IEEE] 2026-8-7 | Traditional Culture Inheritance and Innovation Strategy Based on Digital Technology—The China Grand Canal Museum as an Example
[IEEE] 2026-8-7 | An Intelligent Computing Framework for Smart Healthcare Applications
[IEEE] 2026-8-7 | Direct Acoustic Cross-Medium Communication in Misaligned Scenarios: Channel Modeling and Experimental Validation
[IEEE] 2026-8-7 | Narrative of Rural Cultural Tourism Scene Based on AR Technology Digital Display Design Research
