[2026-06-08 13:08:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | The Impact of Haptics on User Presence in Virtual Reality
[ACM] 2026-6-8 | Tracing the Impact: A Longitudinal Study of Accessibility Training
[ACM] 2026-6-8 | Chicago LEAD Program: Learning from Experience in AI Development
[ACM] 2026-6-8 | Replicating and Extending Small, All-Women CS1 Courses: A Six-Year Experience at a Hispanic-Serving R1 Institution
[ACM] 2026-6-8 | Community-Based AI Learning: Redistributing Artificial Intelligence's Epistemic Authority in Education
[ACM] 2026-6-8 | Making Ethics Matter: Relatable Pedagogical Approaches for Every Computer Science Student
[ACM] 2026-6-8 | Belonging in Computing: The Roles of Peer, Mentor, and Departmental Support for Women of Color
[ACM] 2026-6-8 | Decolonizing Computer Science Education: Queer, Indigenous, Ecofeminist, and New Materialist Approaches
[ACM] 2026-6-8 | Across the Universe of Autobiographical Media Memories in Space and Time
[ACM] 2026-6-8 | Beyond the Pilot Trap: XR Business Models and Ecosystem Sustainability in Finland's Creative Industries
[ACM] 2026-6-8 | What Ethical Frameworks Are Used in Computing Education?: A Systematic Review Across Educational Contexts
[ACM] 2026-6-8 | The Erosion of Statewide Data Access: Structural Barriers to Monitoring Equity in K–12 Computing
[ACM] 2026-6-8 | Reckoning with Ten Years of 'CS for All': Was the Stand-Alone Course the Right Path to Equity?
[ACM] 2026-6-8 | ProMe: Supporting the new Merit-Based Professoriate through AI-powered, Robot-Assisted Professional Development (Satire)
[ACM] 2026-6-8 | Designing for All: Leveraging Micro-Credentials to Increase Participation for Learners with Disabilities in K-12 CS Education
[ACM] 2026-6-8 | Understanding How Parsons Puzzles Scaffold Code Writing for Minoritized Women High School Students
[ACM] 2026-6-8 | Proceedings of the 2026 Conference on Research on Equity and Sustained Participation in Engineering, Computing, and Technology
[ACM] 2026-6-8 | Reimagining Assessment: How Co-construction Shifts Agency in Computer Science Classrooms
[IEEE] 2026-6-8 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | Computer Science's Role in the Rural Classroom of 2035: Agriculture Teachers’ Perspectives
[ACM] 2026-6-8 | The Double Bind: Understanding Equity in the Context of Generative AI in Computing Education
[ACM] 2026-6-8 | Spatial Transitions for Locomotion in Cinematic Virtual Reality
[ACM] 2026-6-8 | When milliseconds matter: the impact of network latency on VR gaming experience
[ACM] 2026-6-8 | A Comparative Study of VR and Tablet Interactions for an Immersive Jazz Concert with Spatial Audio
[IEEE] 2026-6-8 | Author response for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | Collaboration as Equity Work in Computing Education: Theoretical Perspectives on Participation and Power
[ACM] 2026-6-8 | Literacy Demands as an Equity Issue in K–12 CS Education: A Lexile-Level–Based Analysis of Cognitive Load and Performance
[ACM] 2026-6-8 | Exploring the Social Challenges and Opportunities of Group Use of Augmented Reality Through Speculative Design Workshops
[ACM] 2026-6-8 | Closing the Distance
[ACM] 2026-6-8 | Perceived Recovery in Hand Rehabilitation through Mixed Reality Mirror Therapy
[ACM] 2026-6-8 | Preparing Secondary and Postsecondary Educators to Support the Plurality of Identities in Computing Classrooms: The Identity-Inclusive Instructors Workshop
[ACM] 2026-6-8 | XRSeat: Designing and Evaluating a Modular Multimodal Chair to Increase the Quality of Experience for XR
[ACM] 2026-6-8 | LiveAvatar: Real-time 3D Gaussian Head Avatars from Single Images
[ACM] 2026-6-8 | The Ostrich in the Sky
[ACM] 2026-6-8 | Beyond the Microphone: A Targeted Literature Review of Generative AI in Podcasting
[ACM] 2026-6-8 | Beyond Good Intentions: Duty of Care and Accountability in Service Learning for Accessible and Inclusive Computing
[ACM] 2026-6-8 | Work-in-Progress: Behavioral Insights from Eye Tracking and Interactions in an Immersive Cognitive Training Program for Adults with Intellectual Disabilities
[ACM] 2026-6-8 | Exploring Student Perceptions of Generative AI's Transparency in Higher Education
[IEEE] 2026-6-8 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[IEEE] 2026-6-8 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | Building Collaborative Practice: An Experience Report on Professional Learning Connecting CS and Special Education Teachers
[ACM] 2026-6-8 | Centering Context in Computing Ethics Education: An Experience Report
[ACM] 2026-6-8 | Leveraging Augmented Reality (AR) in the Experience Centered Design of Gamified Interventions to Promote Physical Activity
[ACM] 2026-6-8 | From Parallel Screens to Shared Experiences: Evaluating Audience Engagement in XR Broadcasting
[ACM] 2026-6-8 | AccessiXR: Designing an Open-Source Accessible System for Immersive Experiences
[ACM] 2026-6-8 | HD video transmission in a restricted physical channel using Tiled Stream Time Division Multiplexing and evaluation of its quality
[ACM] 2026-6-8 | Own Your Expression: A Case Study of Blockchain-based User-generated Content for Avatars in Social Virtual Worlds
[ACM] 2026-6-8 | "Like Navigating A Dark Labyrinth"
[ACM] 2026-6-8 | Practice-based Inquiries into Affective Renderings
[ACM] 2026-6-8 | Virtual Nature: Investigating the Role of Virtual Reality in Emotional Restoration for Individuals with ADHD
[ACM] 2026-6-8 | Building in Depth: An Exploratory Comparison of 2D, Stereo, and RGB‑D Representations for XR Remote Training
[ACM] 2026-6-8 | Toward an AI Director: Automating Live Presentations with Local Vision-Language Models
[ACM] 2026-6-8 | Integrating Intersectional Frameworks Into an Accessibility Capstone
[ACM] 2026-6-8 | Towards Expert-Centred XR Authoring: The VAX Annotator for Reactive Heritage Digital Twins
[IEEE] 2026-6-8 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | Interactive Experiences in Extended Reality and Multimedia Environments
[ACM] 2026-6-8 | Describing Hidden Curriculum in an Undergraduate Computing Context
[ACM] 2026-6-8 | PyPal: Supporting Middle Schoolers with ADHD in Computing Education
[ACM] 2026-6-8 | Proceedings of the 2026 ACM International Conference on Interactive Media Experiences
[ACM] 2026-6-8 | Solo versus Supported: How Computing Students Experience Belonging and Non-Belonging
[ACM] 2026-6-8 | Towards a Framework for Interactive Hybrid Social XR: Exploring Multimodal Interaction and Assistive Technologies in Asymmetric Multiuser Experiences
[ACM] 2026-6-8 | Unseen Realities: A Speculative Interactive System for Exploring AI-Mediated Perception
[ACM] 2026-6-8 | Migrant Voices, Local News: Insights on Bridging Community Needs with Media Content
[ACM] 2026-6-8 | Exploring Environmental Design in VR for Autistic Children: Towards Expert and Parent Insights
[ACM] 2026-6-8 | Re-Thinking XR Data Logging as a Layer-Aware Process: Taxonomy, Guidelines and Illustrative Plugin
[ACM] 2026-6-8 | A Gamified Augmented Reality System for Sensor-Based Whiplash Rehabilitation and Remote Monitoring
[ACM] 2026-6-8 | Social XR for Pre-Production Meetings: An In-the-Wild Study of Early Stage Communication Between XR Producers and Clients
[ACM] 2026-6-8 | "Players have a choice": Untangling the Tensions of Serious-Casual Games for Sustainability
[ACM] 2026-6-8 | Teaching Indigenous Languages and Knowledges Through Computer Science
[ACM] 2026-6-8 | Quiet Eye VR: Using Virtual Reality for Sports Performance Optimization in High-Pressure Environments
[ACM] 2026-6-8 | Building Community and Belonging: The RESET Project's Approach to Supporting Black, Latina/o/e/x, and Native American Students in Computing
[ACM] 2026-6-8 | What It Takes to Bring AI Literacy to Rural K–2 Classrooms: Reflections from an Ongoing Professional Development Initiative
[ACM] 2026-6-8 | Exploring Equity in Artificial Intelligence: Programs and Resources for Critical AI Teaching Fellows
[ACM] 2026-6-8 | Cracking the Case, Missing the Data: Design Tensions in Community-Led Critical Data Literacy Instruction
[ACM] 2026-6-8 | Making Voice AI Strange: Reflective Design Interventions in a Real-Time Voice AI Experience
[ACM] 2026-6-8 | MovieMetaViewer: Extending TV Movie Browsing Interfaces to Visualise and Filter Based on Hidden or Unlinked Metadata using Augmented Reality Overlays
[IEEE] 2026-6-8 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | VROOM: Evaluating Role-Based Collaboration for Immersive Ontology Manipulation
[ACM] 2026-6-8 | Why Do People Turn on Subtitles?
[ACM] 2026-6-8 | Parent Cultural Wealth: How Beliefs, Curriculum Familiarity, and Community Awareness Facilitate CS Conversations
[ACM] 2026-6-8 | Monologue in VR: Translating Samuel Beckett’s Not I into an Immersive Virtual Reality Experience
[ACM] 2026-6-8 | Examining Teachers’ Values for Inclusive Learning
[ACM] 2026-6-8 | Designing Through Feedback: Evolving a Wearable Interactive System from Rural Fieldwork
[ACM] 2026-6-8 | Sensory Perception of Audiovisual Congruence in Immersive Virtual Environments
[ACM] 2026-6-8 | Physiological Responses to Musical Stimuli - an Initial Investigation
[ACM] 2026-6-8 | What do Incarcerated Adult College Students Most Look Forward to about taking CS1?
[ACM] 2026-6-8 | Reorienting Critical AI Literacy
[ACM] 2026-6-8 | Building Belonging and Self-Efficacy Through a Bridge Program
[ACM] 2026-6-8 | Preparing for Compliance or Critical Participation? Ethics and AI Literacy in Computing Education
[ACM] 2026-6-8 | Fostering Computational Thinking within Elementary Classrooms through a Research-Practice Partnership
[ACM] 2026-6-8 | Exploring Computer Science Education in Rural and Urban Regions
[ACM] 2026-6-8 | Inclusion, Identity, and Institutional Experience: A Comparative Analysis of CS Department Satisfaction among Disabled Students of Color and White Disabled Students at MSIs.
[ACM] 2026-6-8 | Supporting Holistic Teacher Learning Journeys
[ACM] 2026-6-8 | Skuarewave: Play Music With Holograms
[ACM] 2026-6-8 | Flyrun: A Running Style Tracker Mobile Application with Interactive Gamified Experiences
[ACM] 2026-6-8 | Exploration of the Effect of Automatic Camera Tracking for Teleconferencing
[ACM] 2026-6-8 | Beyond Digital Replication: Designing an Interactive and Multisensory VR Museum Experience
[ACM] 2026-6-8 | Interaction Onset Strategies for Conversational AI Agents in VR
[ACM] 2026-6-8 | School Implementation Planning to Support Access and Success in AP CSP
[ACM] 2026-6-8 | Beyond the Campus Gates: Toward a Distance-Inclusive Broadening Participation Agenda
[ACM] 2026-6-8 | A Pattern Language for Head-Mounted AR in Museums: Parameterized, Composable, and Reproducible
[ACM] 2026-6-8 | Understanding User Behavior and Preferences in Avatar Authoring with Search and Customization
[ACM] 2026-6-8 | Multimodal Haptics for Realistic Texture Rendering in Extended Reality
[ACM] 2026-6-8 | From Prototypes to Comparable Evidence: A Design–Mechanism–Measurement View of AR Gamified Rehabilitation
[ACM] 2026-6-8 | Exploring Mediated Communication with Older Adults: Comparing AR Avatars, Telepresence Robots, and Face-to-Face Interaction
[ACM] 2026-6-8 | The Most Important Feature Is Inclusion: Adding A Focus in Accessibility to an E-commerce Course for Novices
[ACM] 2026-6-8 | Creating Counterspaces for Black Women in Computing
[ACM] 2026-6-8 | Immersive remote learning for individuals with intellectual disabilities
[ACM] 2026-6-8 | Empathetic Storytelling in Interactive Extended Reality
[ACM] 2026-6-8 | Promoting Ocean Stewardship by Embedding an Ocean Literacy VR Experience in a Traditional Topnaar Narrative
[IEEE] 2026-6-8 | Author response for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | From High School to “The House”: Pathways into CS for Black Men at an HBCU
[ACM] 2026-6-8 | Exploring the Relationship Between Quality of Experience and Quality of Service in Collaborative Mixed Reality
[ACM] 2026-6-8 | Virtual Sauna – Evaluating an Immersive Thermal Motion Experience
共写入 163 条记录，保存到 papers/paper2026-06-07.json。
论文获取成功，文件路径: papers/paper2026-06-07.json
正在筛选、翻译并发送邮件...
[NO] 1/163 | The Impact of Haptics on User Presence in Virtual Reality
[NO] 2/163 | ReadAR: Utilizing Mixed Reality for Physical Document Digitization
[NO] 3/163 | Culturally Informed Colour Coding in Virtual Reality: Preserving ovaHimba Heritage
[NO] 4/163 | Translating Multimodal UX Requirements into System Architecture: The Implementation of the UX-Tracking Framework
[NO] 5/163 | Subgroup and Longitudinal Measurement Invariance of the Computational Thinking Test Short (CTt-S)
[NO] 6/163 | Project SmartAvatar: A Human-Avatar Interface
[NO] 7/163 | Investigating Quality of Experience and Performance in AR-Based Skill Training for Gaelic Football
[NO] 8/163 | A Sneak Peek into AI-Generated 3D Immersive Memories
[NO] 9/163 | From Talking Heads to Moving Bodies: Understanding Video-Mediated Dance Instruction
[NO] 10/163 | Towards Pluriversal Computing
[NO] 11/163 | Diagrams Are Structures: Reframing Accessibility for Data Structure Diagrams
[NO] 12/163 | "Aha Workshop": A Low-Barrier Intervention for Embedding Accessibility in Computing Education
[NO] 13/163 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 14/163 | Behavioral and Perceptual Responses to 3D Character and Volumetric Avatars Under Conflicting Guidance in Mixed Reality
[NO] 15/163 | Understanding Why Viewers Turn on Subtitles: Towards Context-Aware, Reactive and Adaptive Subtitling Systems
[NO] 16/163 | AI-Driven MetaHuman for Immersive VR Property Tours: Design and Early Evaluation
[NO] 17/163 | Beyond Correctness: A Design Vocabulary for Perceived Response Dynamics in Affective Adaptation
[NO] 18/163 | ECO-STICK: Integrated control with ecological elements for interactive solutions in the Amazon
[NO] 19/163 | Shared Visits to Lost Theaters: Holoportation and Multimodal Content in Virtual Reality
[NO] 20/163 | Towards Interactive Volumetric Video experiences on Lightweight VR Devices through Remote Rendering
[NO] 21/163 | From Cane to Code
[NO] 22/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 23/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 24/163 | Beyond Representation: Mechanisms of Culturally Affirming Mentorship for Black and Latinx Students in STEM
[NO] 25/163 | Will We Hold the Mission Together? Enhancing Team Cohesion through Virtual Reality Interventions
[NO] 26/163 | Designing Persuasive Health Technologies: A Gamified Mobile Application for Bipolar Disorder Self-Management
[NO] 27/163 | Designing AACs for People with Aphasia: Communication Partners’ Perspectives and Practices
[NO] 28/163 | Baseline-Driven Personalized FPA Retraining Using IMU and AR Feedback for Overground Walking
[NO] 29/163 | The Influence of Context on Learning in a Social VR Historical Fashion Exhibition
[NO] 30/163 | A Multi-Modal Exploration of Diversity in Visual Media Production Industries
[NO] 31/163 | “You Figure It Out By Yourself”: Women's Transitions from Computer Science Education to the Workforce
[NO] 32/163 | The Spiders Perspective: A Multisensory VR Experience to Foster Small Animal Conservation
[NO] 33/163 | Leveraging a Vintage Radio Interface to Explore Media Recommender Systems
[NO] 34/163 | Quantifying the Cost of Manual Navigation: A Comparison of Gesture-Based Magnification versus Direct Access Reading in Digital Layout-based Documents
[NO] 35/163 | Equity Analysis of Statewide Longitudinal High School CS Coursework Data: An Application of the CAPE Framework
[NO] 36/163 | Beyond Gender: Breadth of Computer Science Education Experiences Predict Motivation to Study Computer Science
[NO] 37/163 | Training HBCU Undergraduates in Human-Centered AI Research
[NO] 38/163 | Measuring the Divide
[NO] 39/163 | Understanding Black Students' Perceptions of Familial and Non Familial Social Capital Entities
[NO] 40/163 | Movie Stream
[NO] 41/163 | Comparative Analysis of Human vs. AI-powered Support in VRChat Communities on Discord: User Engagement, Response Dynamics and Interaction Patterns
[NO] 42/163 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 43/163 | Different Ways of ‘Being a CS Student’: Latent Profiles of Identity and Need Satisfaction, and Their Links to Attitudes and Persistence Intentions
[NO] 44/163 | Unveiling Hype Patterns in AI Advertising
[NO] 45/163 | Real-Time Computer-Assisted Afrogenic Dance Move Recognition and Analysis
[NO] 46/163 | Evaluating Multimedia Design Principles for Verbal Content in VRLEs
[NO] 47/163 | GenX: Device Orchestration for Multimodal Generative Experiences in Ubiquitous Systems
[NO] 48/163 | An AI-Driven Conversational Platform for the Learning and Assessment of Programming Logic
[NO] 49/163 | Beyond Demographic Labels to Holistic Identity Measures
[NO] 50/163 | Storybook Futures: A Public Installation for Speculative Narrative Exploration
[NO] 51/163 | Tracing the Impact: A Longitudinal Study of Accessibility Training
[NO] 52/163 | Chicago LEAD Program: Learning from Experience in AI Development
[NO] 53/163 | Replicating and Extending Small, All-Women CS1 Courses: A Six-Year Experience at a Hispanic-Serving R1 Institution
[NO] 54/163 | Community-Based AI Learning: Redistributing Artificial Intelligence's Epistemic Authority in Education
[NO] 55/163 | Making Ethics Matter: Relatable Pedagogical Approaches for Every Computer Science Student
[NO] 56/163 | Belonging in Computing: The Roles of Peer, Mentor, and Departmental Support for Women of Color
[NO] 57/163 | Decolonizing Computer Science Education: Queer, Indigenous, Ecofeminist, and New Materialist Approaches
[NO] 58/163 | Across the Universe of Autobiographical Media Memories in Space and Time
[NO] 59/163 | Beyond the Pilot Trap: XR Business Models and Ecosystem Sustainability in Finland's Creative Industries
[NO] 60/163 | What Ethical Frameworks Are Used in Computing Education?: A Systematic Review Across Educational Contexts
[NO] 61/163 | The Erosion of Statewide Data Access: Structural Barriers to Monitoring Equity in K–12 Computing
[NO] 62/163 | Reckoning with Ten Years of 'CS for All': Was the Stand-Alone Course the Right Path to Equity?
[NO] 63/163 | ProMe: Supporting the new Merit-Based Professoriate through AI-powered, Robot-Assisted Professional Development (Satire)
[NO] 64/163 | Designing for All: Leveraging Micro-Credentials to Increase Participation for Learners with Disabilities in K-12 CS Education
[NO] 65/163 | Understanding How Parsons Puzzles Scaffold Code Writing for Minoritized Women High School Students
[NO] 66/163 | Proceedings of the 2026 Conference on Research on Equity and Sustained Participation in Engineering, Computing, and Technology
[NO] 67/163 | Reimagining Assessment: How Co-construction Shifts Agency in Computer Science Classrooms
[NO] 68/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 69/163 | Computer Science's Role in the Rural Classroom of 2035: Agriculture Teachers’ Perspectives
[NO] 70/163 | The Double Bind: Understanding Equity in the Context of Generative AI in Computing Education
[NO] 71/163 | Spatial Transitions for Locomotion in Cinematic Virtual Reality
[NO] 72/163 | When milliseconds matter: the impact of network latency on VR gaming experience
[NO] 73/163 | A Comparative Study of VR and Tablet Interactions for an Immersive Jazz Concert with Spatial Audio
[NO] 74/163 | Author response for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 75/163 | Collaboration as Equity Work in Computing Education: Theoretical Perspectives on Participation and Power
[NO] 76/163 | Literacy Demands as an Equity Issue in K–12 CS Education: A Lexile-Level–Based Analysis of Cognitive Load and Performance
[NO] 77/163 | Exploring the Social Challenges and Opportunities of Group Use of Augmented Reality Through Speculative Design Workshops
[NO] 78/163 | Closing the Distance
[NO] 79/163 | Perceived Recovery in Hand Rehabilitation through Mixed Reality Mirror Therapy
[NO] 80/163 | Preparing Secondary and Postsecondary Educators to Support the Plurality of Identities in Computing Classrooms: The Identity-Inclusive Instructors Workshop
[NO] 81/163 | XRSeat: Designing and Evaluating a Modular Multimodal Chair to Increase the Quality of Experience for XR
[NO] 82/163 | LiveAvatar: Real-time 3D Gaussian Head Avatars from Single Images
[NO] 83/163 | The Ostrich in the Sky
[NO] 84/163 | Beyond the Microphone: A Targeted Literature Review of Generative AI in Podcasting
[NO] 85/163 | Beyond Good Intentions: Duty of Care and Accountability in Service Learning for Accessible and Inclusive Computing
[NO] 86/163 | Work-in-Progress: Behavioral Insights from Eye Tracking and Interactions in an Immersive Cognitive Training Program for Adults with Intellectual Disabilities
[NO] 87/163 | Exploring Student Perceptions of Generative AI's Transparency in Higher Education
[NO] 88/163 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 89/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 90/163 | Building Collaborative Practice: An Experience Report on Professional Learning Connecting CS and Special Education Teachers
[NO] 91/163 | Centering Context in Computing Ethics Education: An Experience Report
[NO] 92/163 | Leveraging Augmented Reality (AR) in the Experience Centered Design of Gamified Interventions to Promote Physical Activity
[NO] 93/163 | From Parallel Screens to Shared Experiences: Evaluating Audience Engagement in XR Broadcasting
[NO] 94/163 | AccessiXR: Designing an Open-Source Accessible System for Immersive Experiences
[NO] 95/163 | HD video transmission in a restricted physical channel using Tiled Stream Time Division Multiplexing and evaluation of its quality
[NO] 96/163 | Own Your Expression: A Case Study of Blockchain-based User-generated Content for Avatars in Social Virtual Worlds
[NO] 97/163 | "Like Navigating A Dark Labyrinth"
[NO] 98/163 | Practice-based Inquiries into Affective Renderings
[NO] 99/163 | Virtual Nature: Investigating the Role of Virtual Reality in Emotional Restoration for Individuals with ADHD
[NO] 100/163 | Building in Depth: An Exploratory Comparison of 2D, Stereo, and RGB‑D Representations for XR Remote Training
[NO] 101/163 | Toward an AI Director: Automating Live Presentations with Local Vision-Language Models
[NO] 102/163 | Integrating Intersectional Frameworks Into an Accessibility Capstone
[NO] 103/163 | Towards Expert-Centred XR Authoring: The VAX Annotator for Reactive Heritage Digital Twins
[NO] 104/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 105/163 | Interactive Experiences in Extended Reality and Multimedia Environments
[NO] 106/163 | Describing Hidden Curriculum in an Undergraduate Computing Context
[NO] 107/163 | PyPal: Supporting Middle Schoolers with ADHD in Computing Education
[NO] 108/163 | Proceedings of the 2026 ACM International Conference on Interactive Media Experiences
[NO] 109/163 | Solo versus Supported: How Computing Students Experience Belonging and Non-Belonging
[NO] 110/163 | Towards a Framework for Interactive Hybrid Social XR: Exploring Multimodal Interaction and Assistive Technologies in Asymmetric Multiuser Experiences
[NO] 111/163 | Unseen Realities: A Speculative Interactive System for Exploring AI-Mediated Perception
[NO] 112/163 | Migrant Voices, Local News: Insights on Bridging Community Needs with Media Content
[NO] 113/163 | Exploring Environmental Design in VR for Autistic Children: Towards Expert and Parent Insights
[NO] 114/163 | Re-Thinking XR Data Logging as a Layer-Aware Process: Taxonomy, Guidelines and Illustrative Plugin
[NO] 115/163 | A Gamified Augmented Reality System for Sensor-Based Whiplash Rehabilitation and Remote Monitoring
[NO] 116/163 | Social XR for Pre-Production Meetings: An In-the-Wild Study of Early Stage Communication Between XR Producers and Clients
[NO] 117/163 | "Players have a choice": Untangling the Tensions of Serious-Casual Games for Sustainability
[NO] 118/163 | Teaching Indigenous Languages and Knowledges Through Computer Science
[NO] 119/163 | Quiet Eye VR: Using Virtual Reality for Sports Performance Optimization in High-Pressure Environments
[NO] 120/163 | Building Community and Belonging: The RESET Project's Approach to Supporting Black, Latina/o/e/x, and Native American Students in Computing
[NO] 121/163 | What It Takes to Bring AI Literacy to Rural K–2 Classrooms: Reflections from an Ongoing Professional Development Initiative
