[2026-05-23 10:27:05] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-22
正在获取论文...
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[IEEE] 2026-5-22 | Machine-Learning-Driven Operational Optimisation of Electrolyser-Based Hydrogen Production Using a Physics-Informed Digital Twin for UK Industrial Clusters
[IEEE] 2026-5-22 | Predicting Postpartum Depression Using Questionnaire -Based Data and Machine Learning
[IEEE] 2026-5-22 | Comparative Analysis of Zero-Shot Voice Cloning for Digital Sibling AI
[IEEE] 2026-5-22 | Intelligent Judicial Decision System Using Machine Learning Techniques
[IEEE] 2026-5-22 | A Soft Everting Pneumatic Deployment Cap for Secure Payload Delivery in Robotic Endoscopy
[IEEE] 2026-5-22 | AI-Driven Decision Support Systems (DSS) for Strategic IT Management
[IEEE] 2026-5-22 | Design and Development of a Multi-Extinguisher Autonomous Fire Fighting Robot
[IEEE] 2026-5-22 | An Enhanced Model of an Inter-Hospital Data Exchange Platform with Intelligent Referral Recommendations
[IEEE] 2026-5-22 | Transformer-Enhanced Constrained Reinforcement Learning for Load Frequency Control in High- Renewable Multi-Area Grids
[IEEE] 2026-5-22 | Machine Learning and AI-based Analysis of Economic and Environmental Factors on CO
                    <sub>2</sub>
                    Emissions: A Comparative Study of China, India, and the United Kingdom
[IEEE] 2026-5-22 | Predictive Analysis in Public Transport: A Cloud-Based Intelligent Driver Assistance and Maintenance Framework
[IEEE] 2026-5-22 | Adaptive and Multi-object Grasping via Deformable Origami Modules
[IEEE] 2026-5-22 | SenseLess: Minimal Vision, Maximum Insight for Smart Homes
[IEEE] 2026-5-22 | Historical Scenario Probability Modeling and SAO-DBSCAN-Based Scenario Reduction for Wind Power Systems
[IEEE] 2026-5-22 | RISs as Enablers for Adaptive and Modular Space Communication Architectures
[IEEE] 2026-5-22 | Proactive Vehicle Safety and Driver Assistance System
[IEEE] 2026-5-22 | Enhancing CNN Resilience: A Dual-Layer Defense Framework Integrating Neural-Cleanse and JPEG Compression
[IEEE] 2026-5-22 | Design of an Experimental Model for Transportation Process Analysis of People with Sensory Disabilities using Process Mining
[IEEE] 2026-5-22 | Explainable Multimodal AI System for Early Prediction of Kidney Failure Using Clinical and CT Imaging Data
[IEEE] 2026-5-22 | It's a Dirty Job: Defining and Mitigating Dust and Sand Hazards on the Dragonfly Mission to Titan
[IEEE] 2026-5-22 | Integration of AI into Islamic Finance and Its Impacts: A Literature-Driven Analysis- The Case of United Kingdom
[IEEE] 2026-5-22 | Explainable AI for Automated Emergency Triage of Brain CT Pathologies: A Multi-Level Classification Framework
[IEEE] 2026-5-22 | A Survey of Neuro-Symbolic AI: Integration Paradigms, Taxonomy, and Formal Specification
[IEEE] 2026-5-22 | Fed-CASQ: Enhancing Class-Wise Accuracy in Pervasive Federated Learning with Class-Aware Scaling and Quantization
[IEEE] 2026-5-22 | Storage Duration and Thermal Capacity Trade-offs in Carbon-Constrained Wind–PV–Thermal Systems
[IEEE] 2026-5-22 | Design and Analysis of PCB Winding Permanent Magnet Linear Motor
[IEEE] 2026-5-22 | Context-Dependent Value of Ccus: Roles of Economy-Wide Carbon Caps, Power-Sector Decarbonization, and End-Use Electrification
[IEEE] 2026-5-22 | X-MedVIT: Interpretable Vision Transformers for Clinically Reliable Medical Imaging
[IEEE] 2026-5-22 | Characterization of DC Partial Discharge in SF6 Using PMT and Photon Counting Method
[IEEE] 2026-5-22 | An Evaluation of Few-Shot Learning Strategies for Essential Oil Classification: Balancing Data Augmentation and Meta-Learning
[IEEE] 2026-5-22 | Explainable AI for Eye Tracking-Based Prediction: A Systematic Literature Review
[IEEE] 2026-5-22 | Maneuver Detection Based Adaptive Transition Probability Matrix for Improved IMM Estimate
[IEEE] 2026-5-22 | Closed-Loop Modeling and Simulation of Phase-Shift Full-Bridge Converter with Current Doubler Output
[IEEE] 2026-5-22 | IoT-Enabled Smart Surveillance with Raspberry Pi and CNN for Real-Time Missing Persons Identification
[IEEE] 2026-5-22 | Frequency-Constrained Unit Commitment Incorporating Wind Farm PFR Parameters and System Damping Dynamics
[IEEE] 2026-5-22 | International Experience and Insights on Energy Storage Price Formation Mechanisms
[IEEE] 2026-5-22 | Crowd Vision: A Real-Time Zone-Based Crowd Density Monitoring and Early Overcrowding Alert System Using YOLOv8
[IEEE] 2026-5-22 | Multi-Agent Research Synthesis Under Governed Communication: A Deontic-Agentic Approach to Epistemic Governance
[IEEE] 2026-5-22 | Robust PMSM Traction Control for Electric Vehicles: An Improved Reaching Law Based Non-Singular Fast Terminal Sliding Mode Approach
[IEEE] 2026-5-22 | IoT Basedintegrated Design for Aeroponic Plant Cultivation Using GRU Algorithm
[ACM] 2026-5-22 | AI-Assisted Moot Courts: Simulating Justice-Specific Questioning in Oral Arguments
[ACM] 2026-5-23 | OLTL: An Optimization Extension of Linear Temporal Logic
[ACM] 2026-5-22 | Generating Expressive and Customizable Evals for Timeseries Data Analysis Agents with AgentFuel
[ACM] 2026-5-22 | Power Allocation for SNR Optimization in OCDM-Based Underwater Acoustic Communications
[ACM] 2026-5-22 | A Multi-Agent Reinforcement Learning-Based Adaptive Scheduling MAC Protocol for AUV Formation
[ACM] 2026-5-22 | TTQMAC: A Q-Learning-Based Adaptive TDD-TDMA MAC Protocol for Large-Scale Underwater Acoustic Networks
[IEEE] 2026-5-22 | Comparative Analysis of Price Cap Mechanisms in U.S. Electricity Markets and Implications for China
[IEEE] 2026-5-22 | Distributed Area Coverage with High Altitude Balloons Using Multi-Agent Reinforcement Learning
[IEEE] 2026-5-22 | CSI-Tuples-Based 3-D Channel Fingerprints Construction Assisted by Multimodal Learning
[IEEE] 2026-5-22 | The Unpredictability of the Traffic Sources Model on Instagram Content Using Tree-Based Models Machine Learning Algorithms
[IEEE] 2026-5-22 | Fully Distributed DMPC–UKF Framework for Cyber-Resilient Control of Islanded AC Microgrids
[IEEE] 2026-5-22 | Enhanced Phishing Detection Using Gradient Boosting Classifier: A Machine Learning Approach
[IEEE] 2026-5-22 | Europa Clipper Cruise Phase: From Integration and Test to Early Operations
[IEEE] 2026-5-22 | Hierarchical Energy Flow Coordination for Dual-Motor All-Electric Helicopter Propulsion Under Dynamic Flight Conditions
[IEEE] 2026-5-22 | Dynamic Client Selector: A Double Deep Q-Learning Framework for Efficient Federated Learning
[IEEE] 2026-5-22 | MentalCare: Contrastive Disentanglement and Positive Transfer for Psychiatric Disorder Detection with a Wristband–Smartphone System
[IEEE] 2026-5-22 | Reconfigurable Compensation Topology for Efficient Wireless Energy Conversion in Electric Vehicle CCCV Charging with Zero Voltage Switching
[IEEE] 2026-5-22 | Visual SLAM with DEM Anchoring for Long-Range Lunar Surface Navigation
[IEEE] 2026-5-22 | Autismsense: Leveraging Cnns for Early Visual Diagnosis
[IEEE] 2026-5-22 | Maximizing van der Waals Contact in Gecko-Inspired Grippers for Complex Object Geometries via Compliant Backing
[IEEE] 2026-5-22 | Highlights of the IMAP Integration and Test Campaign
[IEEE] 2026-5-22 | Data-Centric Dataset Characterization for Tabular Learning Using Uniqueness Domains Knowledge Profiling
[IEEE] 2026-5-22 | Soft-Shell Crab-Inspired Inflatable Limbs Formed from a Continuous Tube
[IEEE] 2026-5-22 | A Hybrid CNN-CCT Based Road Surface Anomaly Detection System for Real-Time Pothole Identification: A Comparative Study with Deep Learning Models
[IEEE] 2026-5-22 | AI-Driven Quantum Entanglement Classification: A Novel Noise-Robust Approach
[IEEE] 2026-5-22 | Deep Reinforcement Learning Based Transient Voltage Stability Emergency Control
[IEEE] 2026-5-22 | Non-invasive Lithium Battery Diagnosis by Magnetic Field Sensing and Machine Learning Assisted Recognition
[IEEE] 2026-5-22 | Solar Powered LoRa Mesh IoT System for Real Time Forest Fire Prediction, Detection and Alerting System
[IEEE] 2026-5-22 | Smart Mirror with AI-Powered Facial and Body Language Recognition for Health Tips and Contextual Emotion Response
[IEEE] 2026-5-22 | Operationalizing IEC 62443 Through NIST SP 800 82 Revision 3: A Localized OT Security Framework for Indonesia's Energy Sector
[IEEE] 2026-5-22 | Dynamic Open-Loop Trajectory Tracking Control of a Soft Robot Using Servo-Constraints
[IEEE] 2026-5-22 | Artichoke-Inspired Gripper with Changeable Morphology for Adaptive and Delicate Handling
[IEEE] 2026-5-22 | Impact of Slow Data Poisoning Attacks on Smart Traffic Light Control Systems
[IEEE] 2026-5-22 | Guidance and Control Assessments of Psyche Mission's Monthly Operations Sequences
[IEEE] 2026-5-22 | Design of an IoT-Controlled Solar Powered Cold Storage Unit for Horticultural Product
[IEEE] 2026-5-22 | Expanding Venus Entry Accessibility through a Resonance Transfer
[IEEE] 2026-5-22 | iZEN: An Energy World Model Framework Bridging Planning and Operation in Industrial Microgrids
[IEEE] 2026-5-22 | Design and Critical Evaluation of a Postmodern-Aware Chatbot Using Retrieval-Augmented Generation and Discourse Metrics
[IEEE] 2026-5-22 | VigiGuard: An AI-Driven Real-Time Surveillance System for Retail Theft Prevention
[ACM] 2026-5-22 | Safeguarding Knowledge in Federated Transfer Learning with Direction-Aware DP
[ACM] 2026-5-22 | Protocols for Univariate Sumcheck
[ACM] 2026-5-22 | Proceedings of the ACM ASIA Public-Key Cryptography Workshop
[IEEE] 2026-5-22 | Index of Authors
[IEEE] 2026-5-22 | FDPNet: Frequency Guided Prior Decoupling Network for Remote Sensing Change Detection
[IEEE] 2026-5-22 | Velocity First? Rethinking 3D Object Detection with 4D Millimeter Wave Radar
[IEEE] 2026-5-22 | Coordinating Multiple Conditions for Trajectory-Controlled Human Motion Generation_supp1-3695772.pdf
[IEEE] 2026-5-22 | KubeAI-An AI powered pod placement scheduler for kubernetes
[IEEE] 2026-5-22 | An End-to-End Multi-Output Deep Learning Model with Attention Mechanism for Joint Prediction of Ship Position, Course, and Speed Based on AIS Data
[IEEE] 2026-5-22 | MSN: Rethinking Cross-Domain Automatic Modulation Recognition via Decoupled Modulation Signal Normalization
[IEEE] 2026-5-22 | Behavior-Guided Identity Learning for Multiagent Cooperation
[IEEE] 2026-5-22 | Magnetoresistive Sensors for Emerging Applications: A Comparative Review of Device Performance and Design Trade-Offs
[IEEE] 2026-5-22 | Bayesian Channel Estimation With Imperfect Sensing Information for Integrated Sensing and Communication
[IEEE] 2026-5-22 | EvoBTSeg: Evolutionary Architecture Search for Compact and Precise Heterogeneous Brain Tumor Segmentation
[IEEE] 2026-5-22 | Buckbeak: A 1.2 TFLOPS/W Reconfigurable Vector/Scalar RISC-V Processor for Precision Scalable Near-Sensor Computing in 22nm FDSOI Technology
[IEEE] 2026-5-22 | Preset-Time Distributed Optimization for Nonlinear Multiagent Systems With a Time-Varying Equality Constraint Over Directed Networks
[IEEE] 2026-5-22 | Automated Consistency Checks of Contract Data Requirement Lists and Model-Based Systems Engineering Models Using Natural Language Processing
[IEEE] 2026-5-22 | State Space Quantification in Reinforcement Learning
[IEEE] 2026-5-22 | An AI-Based Li-Fi Innovative Framework for Optical Security Optimization in Smart Cities
[IEEE] 2026-5-22 | Evaluation of Machine Learning Algorithms and Ensemble Methods for Prediction of Students' Graduation
[IEEE] 2026-5-22 | HIL Simulation of Multi-Objective Power Quality Mitigation for High-Penetration Renewables and New Loads
[IEEE] 2026-5-22 | Attention Feature Fusion with Cluster Contrastive Learning for Snoring and Breath-Holding Detection Using Seismic Sensing
[IEEE] 2026-5-22 | DA-LSTM Photovoltaic Power Strong Fluctuation Scenario Prediction Based on KNN Similar Time Period Features Fusion
[IEEE] 2026-5-22 | Graceful Degradation of Spacecraft Capabilities with Simulated Component Failure
[IEEE] 2026-5-22 | Comparative Study on Dual Active Bridge Based Quasi-Two-Stage Partial Power Processing Topologies
[IEEE] 2026-5-22 | An Equilibrium Analysis of Feed-in Premiums and Forward Contracts for Renewable Energy Integration
[IEEE] 2026-5-22 | Hybrid Spatial-Temporal Attention Networks for Plant Disease Classification: a Benchmarking Study of Deep Learning Architectures
[IEEE] 2026-5-22 | Research on Typical Wind and Solar Power Output Scenarios Generation Method Based on Quadratic Clustering Algorithm
[IEEE] 2026-5-22 | Composite Habitat: An Incremental Development Path from Propellant Tank to Crewed Habitat
[IEEE] 2026-5-22 | A Novel Sheath-Core Detection System for Wire-Stripping of Power Distribution Live-line Operation Robots
[IEEE] 2026-5-22 | Short-Term Load Forecasting for the Cambodian Power System Using a Meta-Learning Ensemble of Random Forest and XGBoost Models
[IEEE] 2026-5-22 | Earth's Magnetopause Positions in Solar Wind Density-Velocity Space from 1963-2025
[IEEE] 2026-5-22 | NeuroSymX: A Transparent Neuro-Symbolic AI Framework for Causality-Aware and Human-Interpretable Decision Systems
[IEEE] 2026-5-22 | Contraction Vine Robots for Contact-Aided Steering
[IEEE] 2026-5-22 | A Topology-Driven Multi-Objective Evolutionary Algorithm for Offshore Wind Farm Layout Optimization
[IEEE] 2026-5-22 | Workspace Expansion in a Tendon-Driven Soft Joint through Base-Rotation Mechanism
[IEEE] 2026-5-22 | AI Powered IoT System for Speed Regulation and Road Sign Based Accident Prevention
[IEEE] 2026-5-22 | Decentralized Radio Access Network Virtualization via Distributed Ledger Technology
[IEEE] 2026-5-22 | LFO Modal Identification and PSS Parameter Tuning Based on CEEMD-Prony Method
[IEEE] 2026-5-22 | A Classification and Prediction Method for DDoS Attacks Using Machine Learning
[IEEE] 2026-5-22 | Unbalance Compensation for Autonomous AC Microgrid
[IEEE] 2026-5-22 | Test-Bed Development for Sensor Fusion Application for Rendezvous and Proximity Operations
[IEEE] 2026-5-22 | Vision-Language Guided Pseudo-Labeling for Multi-Label Waste Classification
[IEEE] 2026-5-22 | Predicting Competitive Programming Problem Tags and Ratings from Tutorials Using BERT-Based Models
[IEEE] 2026-5-22 | Automated Crack Detection in Concrete Structures Using Image Processing and Deep Learning Techniques
[IEEE] 2026-5-22 | Scenario Generation of Wind-Solar Output Under Multiple Weather Types Based on an Improved Generative Adversarial Network
[IEEE] 2026-5-22 | Using AI Predictive Analytics Model to Enhance the Safety of People with Special Needs in Sports Crowds
[IEEE] 2026-5-22 | AI-Powered E-Triage Systems: Enhancing Healthcare Efficiency Through Intelligent Clinical Decision Support
[IEEE] 2026-5-22 | Physics-Data Driven Weak Point Identification for Voltage Stability in Receiving-End Power Grids
[IEEE] 2026-5-22 | GPU-Accelerated Merkle Tree Construction Using CUDA: A Parallel SHA-256 Framework for Cryptographic Applications
[IEEE] 2026-5-22 | Design of a Gamified Mobile Application for Preventive Student Mental Health Support
[IEEE] 2026-5-22 | Arabic Calligraphy Classification: A Comparative Study of Modern CNN Models
[IEEE] 2026-5-22 | Large Signal Stability and Parametric Analysis of Hybrid System with Grid-Following Converter and Grid-Forming Converter
[IEEE] 2026-5-22 | SLAP: Slapband-Based Autonomous Perching Drone with Failure Recovery for Vertical Tree Trunks
[IEEE] 2026-5-22 | Research on the Safety Evaluation of the Power Industry Chain for New Electricity System under the New International Situation
[IEEE] 2026-5-22 | Built to Die: Bioinspired Locomoting Robot with Programmed End-of-Life Biodegradation
[IEEE] 2026-5-22 | iPCB-Guard: A Confidence-Calibrated, Edge-Optimized Inline PCB Inspection Framework with Cost-Aware Robotic Segregation
[IEEE] 2026-5-22 | GMEAC Framework for Condition Assessment and Risk Early Warning of Substation RP &amp; IAS Equipment
[IEEE] 2026-5-22 | Carbon-I: Expanding the Frontiers of Carbon Cycle Science
[IEEE] 2026-5-22 | Drone-Based Multi-Sensor Detection System for Underground Human Identification
[IEEE] 2026-5-22 | Coordinated Planning of Grid-Forming and Grid-Following SVGs for Static and Dynamic Voltage Support
[IEEE] 2026-5-22 | Design and Implementation of the NASA Psyche Discovery Mission Science Data Center
[IEEE] 2026-5-22 | Analysis of Cost-Effective Lunar Positioning Constellation with Heterogeneous Satellites
[IEEE] 2026-5-22 | A Machine-Learning Emulator Framework for Multi-Objective Policy Scenario Simulation and Optimization
[IEEE] 2026-5-22 | Reliable Maintenance Policy for Distributed Affine Formation Control of UAVs
[IEEE] 2026-5-22 | Comparative Statistical Lifetime Modeling of Red AlGaInP LEDs Under Multi-Stress Accelerated Life Testing: Lognormal Versus Weibull Analysis
[IEEE] 2026-5-22 | Techno-Economic Analysis With Environmental Performance Considerations For Fluorescent-To-LED Lighting Retrofits
[IEEE] 2026-5-22 | Optimizing Face Detection in Low-Resolution Images under Blur Condition Using Lucy Richardson Algorithm
[IEEE] 2026-5-22 | Accelerating the Post-Quantum Transition: A GPU-Based Performance Comparison of ML-KEM and ML-DSA
[IEEE] 2026-5-22 | A Comparison Analysis of Traditional Versus AI-Driven Tourism Ecosystems
[IEEE] 2026-5-22 | ECORE: Energy-Conscious Optimized Routing for Deep Learning Models at the Edge
[ACM] 2026-5-22 | Willful Disobedience: Automatically Detecting Failures in Agentic Traces
[ACM] 2026-5-22 | Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models
[ACM] 2026-5-22 | Transformative Energy-Efficient Edge-Optimised Multimodal Deep Learning Framework for Pest Management and Severity Analysis in  Tea Plants
[ACM] 2026-5-22 | OTFS-Based Underwater Acoustic Channel Estimation Algorithm
[ACM] 2026-5-22 | Improving the Classification of Humpback Whale Calls Using Multi-Modal Learning: Integration of Audio and Metadata
[ACM] 2026-5-22 | From Rules to Reasoning: A Survey of Large Language Model-Based Approaches to Scientific Hypothesis and Idea Generation
[ACM] 2026-5-22 | A Graph Sufficiency Perspective for Neural Networks
[IEEE] 2026-5-22 | Front Cover Page
[IEEE] 2026-5-22 | HarmonyQA: A Unified Framework for Harmonization Quality Assessment
[IEEE] 2026-5-22 | Optimistic Thompson Sampling for No-Regret Learning in Unknown Games
[IEEE] 2026-5-22 | Dyadic Conflicting Control Design for Cyber-Physical Systems: Applications to Variable Cycle Engines
[IEEE] 2026-5-22 | Self-Packaged High-Selective Filter Based on Dual-Layer Dual-Mode Strip Patch Resonators
[IEEE] 2026-5-22 | Exact Modal Decomposition of Axial Currents in Bulk and Hollow Conducting Cylinders
[IEEE] 2026-5-22 | Reliability-Based Preventive Maintenance for a Humanoid Robot System under Dependent Competing Failure Processes
[IEEE] 2026-5-22 | A Hybrid Carrier-Based PWM With Optimized Output Quality and Reduced Common-Mode Voltage for Coupled Ten-Switch Three-Phase Three-Level Inverter
[IEEE] 2026-5-22 | MGRT-Net: Multi-Gain Radiometric Response Transfer Network for On-Orbit Relative Radiometric Calibration of Micro Nighttime Remote Sensing Satellites
[IEEE] 2026-5-22 | Bearing-Only Tracking of Underwater Multiple Acoustic Sources Using Underwater Vehicles Under Latency and Packet Loss_supp1-3684218.mp4
[IEEE] 2026-5-22 | FOF-X: Towards Real-time Detailed Human Reconstruction from a Single Image
[IEEE] 2026-5-22 | A Streamlined Fault Detection and Selectivity Method based on a Normalized Current Difference Criterion and Apparent Impedance for Onshore Wind Farm Collector Grids
[IEEE] 2026-5-22 | FSA-DFNet: A Diffusion-Enhanced Soft Sensor Prediction Model for BTP with Hybrid Frequency-Spatial Attention Mechanism
[IEEE] 2026-5-22 | DCRU-Net: A Dual Cross-Attentive Recurrent U-Net Architecture for Full-Field Deformation Estimation of Ground-Based Radar System
[IEEE] 2026-5-22 | IEEE Internet of Things Journal Society Information
[IEEE] 2026-5-22 | High-Performance Self-Powered NUV Photodetectors Based on Trilayered SnS/h-BN/SnS
                    <sub>2</sub>
                    Heterojunctions
[IEEE] 2026-5-22 | Table of Contents
[IEEE] 2026-5-22 | Wafer-scale GPU Memory Pool with In-Package Optics for Enhanced Capacity and Bandwidth
[ACM] 2026-5-22 | Distinguishing Task-Specific and General-Purpose AI in Regulation
[ACM] 2026-5-22 | Proceedings of the 19th International Conference on Underwater Networks and Systems
[ACM] 2026-5-22 | A Reservation-Based Adaptive Scheduling MAC Protocol for Underwater Acoustic Sensor Networks
[IEEE] 2026-5-22 | Optimal Droop Control Strategy for Coordinated Voltage Regulation and Power Sharing in Hybrid AC-MTDC Systems
[IEEE] 2026-5-22 | Consensus Adjustment Mechanism Based on Semisupervised Clustering and Cross Allocation for&amp;#x000A0;Large-Scale Social Network Group Decision&amp;#x000A0;Making_supp1-3686760.pdf
[IEEE] 2026-5-22 | Resource Allocation in ISTN via Learning and Optimization over Riemannian Manifolds
[IEEE] 2026-5-22 | UAV-Based Through-the-Wall Radar Sensing for 3D Urban Building Layout Reconstruction Using an Enhanced U-Net
[IEEE] 2026-5-22 | Robust and Energy-efficient Multi-UAV Trajectory Planning for Data Collection: A Game-theoretic and Deep Reinforcement Learning Approach
[IEEE] 2026-5-22 | Self-training Based Source-free Domain Adaptation for Remote Sensing Scene Classification_supp1-3695530.pdf
[IEEE] 2026-5-22 | COMBINER: Composed Image Retrieval Guided by Attribute-based Neighbor Relations
[IEEE] 2026-5-22 | Limitations of Nyquist Criteria in the Discretization of 2D Electromagnetic Integral Equations at High Frequency: Spectral Insights into Pollution Effects
[IEEE] 2026-5-22 | An Advanced Predictive Control Strategy for Current Harmonic Suppression in Three-Phase Three-Level Vienna Rectifier
[IEEE] 2026-5-22 | Instrument-embedded sampling oscilloscope for in-situ waveform characterization and its implementation in the Ocean Color Instrument of the NASA PACE mission
[IEEE] 2026-5-22 | Data Distributional Attention Based Heterogeneous Representation Learning for PolSAR Land Cover Classification
[IEEE] 2026-5-22 | IEEE Foundation
[ACM] 2026-5-22 | SoK: PIOP-based SNARKs for General Computation
[ACM] 2026-5-23 | Hypertext as Method—Continued
[ACM] 2026-5-22 | Area-Level Medication Demand Prediction Via Multitask Spatial-Temporal Machine Learning
[ACM] 2026-5-22 | Robust Batch-Level Query Routing for Large Language Models under Cost and Capacity Constraints
[ACM] 2026-5-22 | The Cost of Consensus: Isolated Self-Correction Prevails Over Unguided Homogeneous Multi-Agent Debate
[ACM] 2026-5-22 | Why Johnny Can’t Use Agents: Industry Aspirations vs. User Realities with AI Agents
[ACM] 2026-5-22 | Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use
[ACM] 2026-5-22 | When Harmful Intent Dissolves into Technical Detail: How Safe Are Coding Agents Against Cyber Misuse?
[ACM] 2026-5-22 | Governance by Construction for Generalist Agents
[ACM] 2026-5-22 | Website Fingerprinting Attacks and Defense Techniques: A Survey
[ACM] 2026-5-22 | Enhanced Energy-Flow Beamforming via a Nested VP Hybrid Array for Underwater Radiated Noise Source Localization
[IEEE] 2026-5-22 | Front Cover and Back Cover Page
[IEEE] 2026-5-22 | 2026 4th International Conference on Artificial Intelligence and Machine Learning Applications Theme: Healthcare and Internet of Things (AIMLA)
[IEEE] 2026-5-22 | High-Bandwidth Flash for KV Caches: Endurance and Performance Implications
[IEEE] 2026-5-22 | Time-Domain Linear Model-based Framework for Passive Acoustic Mapping of Cavitation Activity_supp1-3695753.pdf
[IEEE] 2026-5-22 | Dependence of optical refractive index of seawater on temperature, salinity, pressure, and wavelength in near-infrared waveband for warm and shallow sea_supp4-3693439.mp4
[IEEE] 2026-5-22 | Dependence of optical refractive index of seawater on temperature, salinity, pressure, and wavelength in near-infrared waveband for warm and shallow sea_supp2-3693439.xls
[IEEE] 2026-5-22 | Hybrid BEMT-Vortex Theory Model to Predict Amphibious Propeller Performance
[IEEE] 2026-5-22 | Comparative Analysis of Large Language Model Performance in News Content Classification
[IEEE] 2026-5-22 | AI-Enabled Automated Transcription and Clinical Data Extraction for NHS 999 Call Handling Using Wav2Vec 2.0 and Clinical BERT Models
[IEEE] 2026-5-22 | Quantum Game Coordination Mechanism for Transformer District Prosumers with Grid Constraints
[IEEE] 2026-5-22 | Real-Time Sign Language Recognition System with Web-Scraped Datasets and Image Annotation for Accessibility and Human-Computer Interaction Applications
[IEEE] 2026-5-22 | Towards an AI-Augmented Monitoring and Control Applications Lifecycle Management System
[IEEE] 2026-5-22 | A Cyber-Physical Testing Framework for Evaluating Space Habitat Performance
[IEEE] 2026-5-22 | Cost-Effective Assessment: An Estimation of Diversity Factor for Sizing of Transformer in Selected High-Rise Residential Building
[IEEE] 2026-5-22 | ARGOS: Leveraging Visual Priors for Scalable Wireless Navigation in Dynamic Environments
[IEEE] 2026-5-22 | Machine Learning Based Event Level Structural and Expressive Modeling of Sampled Audio for Digital Instrument Transformation
[IEEE] 2026-5-22 | Collaborative LLM-Based Agents for Autonomous Multi-UAV Mission Execution
[IEEE] 2026-5-22 | Quantum Image Processing for Medical Image Analysis: A Comprehensive Literature Survey
[IEEE] 2026-5-22 | Robust Delay-Compensated Control of Systems with Uncertain Time Delay using a Predefined-Time Sliding Mode Strategy
[IEEE] 2026-5-22 | Progress Towards a Near-Unity Fill Factor FIR Thermopile Detector for Space-Based Remote Sensing
[IEEE] 2026-5-22 | TG-CausalX: A Threshold-Gated Causal AI Framework of Explainable and Autonomous GPON Network Optimization
[IEEE] 2026-5-22 | Calibrating IMU Pitch Misalignment in the Field to Reduce Wheel-Inertial Odometry Elevation Drift
[IEEE] 2026-5-22 | A Multi-Agent Cognitive Isolation Framework for Defect-Driven Power Grid Document Assessment
[IEEE] 2026-5-22 | MSA-ENet: Multi-Scale Attention Enhanced Network for Kidney Stone Detection in Ultrasound Images
[IEEE] 2026-5-22 | Heading Estimation for Navigation of Micro Aerial Vehicle in Indoor Environment
[IEEE] 2026-5-22 | Intelligent Defect Detection and Identification for Additive Manufacturing Systems
[IEEE] 2026-5-22 | Accurate Prediction of Dynamic Line Rating for Overhead Transmission Lines Based on GWO-VMD-GRU
[IEEE] 2026-5-22 | Commercial Orbit Transfer Services to Facilitate Lunar and Martian Exploration
[IEEE] 2026-5-22 | High-Performance MNIST Digit Classification Using Multi-Layer Perceptron with Progressive CUDA Optimization
[IEEE] 2026-5-22 | Design and Application of an Automated Testing System for Line Protection Equipment
[IEEE] 2026-5-22 | Application, Development and Analysis of Low-Speed, High-Torque Axial Flux Permanent Magnet Generator for Fluid Machinery Renewable Energies
