[2026-04-11 09:42:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | From AI Winter to Forever Spring—AI Is Here to Stay
[IEEE] 2026-4-10 | Simultaneous Localization and Imaging Using Combined Range-Doppler Domain Information for Vehicle-Mounted UWB Radar in Urban Environments
[IEEE] 2026-4-10 | Evaluation of the Improved 10 mA and 10 V Reference and Transfer Standard for the High DC Current Test and Calibration Infrastructure at CERN
[IEEE] 2026-4-10 | Lunar Communication and Navigation Systems: A Comprehensive Survey, Research Challenges, and an Architectural Roadmap
[IEEE] 2026-4-10 | RWW 2027 Call for Papers SiRF
[IEEE] 2026-4-10 | Spoilt by choice? Understanding the effects of customization and variety increases on service performance: the role of service modularity
[IEEE] 2026-4-10 | Fast Decision Making in Human–Machine Interaction Through Estimation of Human Reaching Intent
[IEEE] 2026-4-10 | A Trapezoidal-Current Pulsed Power Converter Based on Modified Pulse-Forming Lines in SHINE Injector
[ACM] 2026-4-10 | When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure
[ACM] 2026-4-10 | Hermes: Making Path-Sensitive Pointer Analysis Scalable for Sparse Value-Flow Analysis
[ACM] 2026-4-10 | Beacon: Detecting Broken Access Control Vulnerabilities in DBMSs via System Catalog Consistency Validation
[IEEE] 2026-4-10 | Discrete Phase-Compensated Multiple SOGIs with PI and FLL for Signal Extraction under Distorted and DC-Offset Grid
[IEEE] 2026-4-10 | Learning graphons from data: Random walks, transfer operators, and spectral clustering
[IEEE] 2026-4-10 | Toward Standardized Edge-Enhanced Collaborative Computing for 6G Healthcare Networks
[IEEE] 2026-4-10 | SleepingEdge: Real-Time Sleep-Stage–Driven Epileptic Seizure Detection Using HMM and Hybrid OptiNet-SVM
[IEEE] 2026-4-10 | Bayesian Model Calibration for Deep-Learning-Based Indirect Test of Analog Circuits
[IEEE] 2026-4-10 | DAFF-Net: Dynamic Attention-Guided Feature Fusion for Single-View 3D Reconstruction
[IEEE] 2026-4-10 | Rank-Based Optimized Sequential Sampling Approaches for Reliability Prediction Under Hybrid Degradation Process
[IEEE] 2026-4-10 | Modeling and Design of Electromagnetic Motion Systems
[IEEE] 2026-4-10 | Fault Diagnosis of Elevator Traction System based on Digital Twin
[IEEE] 2026-4-10 | Micro-Action Recognition in Lecture Scenarios for Educational Training: A Dual-Case Benchmark Study
[IEEE] 2026-4-10 | Remaining Vital [MicroBusiness]
[ACM] 2026-4-11 | Using Item Personality-Based Profiling in Music Recommender Systems
[ACM] 2026-4-10 | SIRA: Scaled-Integer Range Analysis for Optimizing FPGA Dataflow Neural Network Accelerators
[IEEE] 2026-4-10 | Spectral data fusion based on mRMR algorithm to assess the DP of insulating paper at different water contents
[IEEE] 2026-4-10 | Open-Source Toolkits for Experiments in Virtual Reality: a Scoping Review
[ACM] 2026-4-10 | Effectively Propositional Higher-Order Functional Programming
[IEEE] 2026-4-10 | CoCaTS: a Cooperative Caching-enabled Transmission Scheme in Ultra-dense LEO Satellite Networks
[IEEE] 2026-4-10 | Koopman-Based Online Identification With Sim2Real Transfer for Hydrodynamic Modeling of Turtle Inspired Robot_supp1-3682620.mp4
[IEEE] 2026-4-10 | N-Stage Phase-Interleaved Fourth-Order LCLC Resonant Converter for High-Voltage DC Applications
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | IEEE CS Jobs Board
[IEEE] 2026-4-10 | Masthead
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | “United in Science” [From the Guest editor's Desk]
[IEEE] 2026-4-10 | Idling Control of PEMFC Based on Quantitative Model-free Adaptive Iterative Learning Approach
[IEEE] 2026-4-10 | Real-Time Validation of Stewart Platform U-Joint Kinematics through a Digital Shadow
[IEEE] 2026-4-10 | RRFuzzer: A Fuzzing Framework for Proprietary Industrial Control System Protocols using a Combination Strategy
[IEEE] 2026-4-10 | Mathematical Modeling and Simulation of AI-Driven Sports Rehabilitation for Drug Addiction Treatment
[IEEE] 2026-4-10 | TKCFN: Textual Knowledge Guided Contextual Feature Fusion Network for UHR Satellite Images
[ACM] 2026-4-10 | OBsmith: LLM-Powered JavaScript Obfuscator Testing
[ACM] 2026-4-10 | CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System
[IEEE] 2026-4-10 | Performance Analysis of Coherent-State Quantum Optical Wireless Communication over Turbulent Channels with Pointing Errors
[IEEE] 2026-4-10 | Temporal Characterization of Fade Events in mmWave Channels
[IEEE] 2026-4-10 | GAC-Net: Global-Local Adaptive Context Network for Infrared Small Target Detection
[IEEE] 2026-4-10 | Dual-Hypergraph Based Symmetrical Self-Representation Learning for Cross-Domain Facial Expression Recognition
[IEEE] 2026-4-10 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry
[IEEE] 2026-4-10 | Boosting the Signal From the Lower Recording Structure in Three-Dimensional Magnetic Recording
[IEEE] 2026-4-10 | Blank Page
[IEEE] 2026-4-10 | Power transformer health index analysis software with monitoring of operational electrical parameters
[IEEE] 2026-4-10 | Performance Evaluation of Cell-Free Massive MIMO Systems based on mixed Indoor/Outdoor Measurements
[IEEE] 2026-4-10 | Fast and Accurate Lithium-ion Battery Impedance Measurement Using Multi-rate Quadrature Demodulation with Band-pass Filtering
[IEEE] 2026-4-10 | Mechanisms under Shifts: Interpretable Clustering with Self-Improving Heterogeneous Causal Graphs
[IEEE] 2026-4-10 | Eel-Inspired Electrohydraulic Soft Swimmer with Programmable Undulatory Gaits
[IEEE] 2026-4-10 | Cloud-Assisted Heterogeneous Privacy-Preserving Collaborative Graph Learning
[IEEE] 2026-4-10 | Edge Network Sensing of Cable Insulation Aging Using High Frequency Power Flow Analysis of PLC Signals
[IEEE] 2026-4-10 | Dual-Stage Optimized SSTDR for High Accuracy Online Cable Fault Localization
[IEEE] 2026-4-10 | Singular Value Fine-tuning for Few-Shot Class-Incremental Learning
[IEEE] 2026-4-10 | PersonalAI: A Systematic Comparison of Knowledge Graph Storage and Retrieval Approaches for Personalized LLM agents
[IEEE] 2026-4-10 | IEEE CS Social Media
[IEEE] 2026-4-10 | SAR Aspect Angle Domain Adaptation Based on Directional Scattering Centers for Non-Cooperative Target Recognition
[IEEE] 2026-4-10 | The -Score Test: A Model-Free Weighting Framework for Robust Parametric Detection_supp1-3682439.pdf
[IEEE] 2026-4-10 | Design of Leakage Protection System Based on Industrial Internet of Things
[IEEE] 2026-4-10 | Analysis of the Effectiveness of K-Nearest Neighbor Algorithm in Predicting the Congestion Level of Delivery Routes
[IEEE] 2026-4-10 | Combining Graph Neural Networks with Metalearning for Cross-Domain Graph Representation Learning
[IEEE] 2026-4-10 | Hybrid Variable Selection Algorithm Based on Mutual Information and Random Forest
[IEEE] 2026-4-10 | Quantifying Synergistic Evolution Between Digital Finance and Industrial Structure Transformation and Upgrading: A Composite System Modeling Approach
[IEEE] 2026-4-10 | Single-View 3D Reconstruction Via Shifted Window Attention
[ACM] 2026-4-11 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[ACM] 2026-4-11 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[IEEE] 2026-4-10 | Target characterization for maritime surveillance using HF surface wave radar
[IEEE] 2026-4-10 | IMS2026 Registration Announcement
[IEEE] 2026-4-10 | Generalized Parametric Design of an Integrated Electric Vehicle Drive System for Wide-Speed-Range Operation: Experimental Validation, Torque Control, and Performance Assessment
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Physics-Informed Encoder Neural Network for Determination of Fiber Parameters in a Fiber Laser
[IEEE] 2026-4-10 | Split Federated Learning under Joint System and Data Heterogeneity
[IEEE] 2026-4-10 | MuscleGolfAR: Embodied versus Detached Visualization for Motions and Inferred Muscle Activations in Augmented Reality_supp1-3680749.mp4
[IEEE] 2026-4-10 | <i>T</i>
                    -A Formulation for Calculating Induced Currents in Rotating High-Temperature Superconductor Coils
[IEEE] 2026-4-10 | Standards-Driven Security and AI Governance for 6G Edge Wearable Digital Twins for Mental-Health Monitoring in University Campuses
[IEEE] 2026-4-10 | Multi-modal Shape Encoding for 3D Object Detection
[ACM] 2026-4-10 | Diatom: Polylithic Binary Lifting with Data-Flow Summaries and Type-Aware IR Linking
[ACM] 2026-4-10 | EditFlow: Benchmarking and Optimizing Code Edit Recommendation Systems via Reconstruction of Developer Flows
[ACM] 2026-4-10 | When Lifetimes Liberate: A Type System for Arenas with Higher-Order Reachability Tracking
[ACM] 2026-4-10 | Commuting Conversions and Join Points for Call-by-Push-Value
[IEEE] 2026-4-10 | Research on the Improvement Theory of Canonical Correlation Analysis and Its Application
[IEEE] 2026-4-10 | Performance Evaluation of Single-User Massive MIMO with Hybrid Precoding in Rayleigh Fading and Millimeter Wave Channels
[ACM] 2026-4-10 | Type-Safe Monotonic Object Evolution
[ACM] 2026-4-10 | A Tale of 1001 LoC: Potential Runtime Error-Guided Specification Synthesis for Verifying Large-Scale Programs
[ACM] 2026-4-10 | Efficient Directed Hybrid Fuzzing via Target-Centric Seed Selection and Generation
[IEEE] 2026-4-10 | MQLSTM-Based Daily Operation for Microgrid with Renewable Uncertainty and Multi-Objective
[IEEE] 2026-4-10 | IEEE CS CFP
[IEEE] 2026-4-10 | Progressive Compression of ResNet: An 8.33× Reduction with 90.5% Accuracy Retention for Edge Deployment
[IEEE] 2026-4-10 | A Function-level Fault Injection and Machine Learning Framework for Reliability Analysis
[IEEE] 2026-4-10 | DF-DiffVSR: Deformable Field-Driven Diffusion Model for Inter-Slice Continuity Enhancement in Medical Volume Super-Resolution
[IEEE] 2026-4-10 | Lesion Learning Network with Relation Aware Transformer for Diabetic Retinopathy Grading
[IEEE] 2026-4-10 | Measurement of Saturation Characteristic of Transformer Using an Improved AC and DC Voltage Superposition Method
[IEEE] 2026-4-10 | Local Duality for Sparse Support Vector Machines
[ACM] 2026-4-10 | The Centrality Fallacy and ACM
[IEEE] 2026-4-10 | Secure Containers: A DevSecOps-Based Approach for Comprehensive Docker Image Vulnerability Assessment
[IEEE] 2026-4-10 | Model-Based Simulation of Eddy Current Effects and Correction Methods in MRI Gradient Systems
[IEEE] 2026-4-10 | Study on Smoke Backflow Characteristics in High-Altitude Tunnels Based on Numerical Simulation
[IEEE] 2026-4-10 | A Reliability Modeling Method Based on Logical Verification Generative Adversarial Networks
[ACM] 2026-4-10 | noDice: Inference for Discrete Probabilistic Programs with Nondeterminism and Conditioning
[ACM] 2026-4-10 | Mixtris: Mechanised Higher-Order Separation Logic for Mixed Choice Multiparty Message Passing
[ACM] 2026-4-10 | Frashokereti: Non-aborting Optimistically Replicated Objects
[ACM] 2026-4-10 | Efficient Incremental GR(1) Synthesis via Monotonic Fixed-Point Reuse
[IEEE] 2026-4-10 | Evidential Prior Guided Neural Collapse for Open World Object Detection
[IEEE] 2026-4-10 | LLM-Driven Stationarity-Aware Expert Demonstrations for Multi-Agent Reinforcement Learning in Mobile Systems
[IEEE] 2026-4-10 | The Ph.D. Student Sponsorship Initiative at IMS2026
[IEEE] 2026-4-10 | Sapphire MEMS Fiber-optic Sensor with a Ceramic-housing Package for High-temperature Vibration
[IEEE] 2026-4-10 | Variational Bayesian Joint Tracking and RCS Estimation for Fluctuating Targets in Radar Systems
[IEEE] 2026-4-10 | HandMLP: A GAT-Enhanced MLP Network for Robust 3-D Hand Pose Estimation
[IEEE] 2026-4-10 | EZ-Therm: Effective Zero-shot Thermal Depth Completion by Adapting Diffusion Priors
[IEEE] 2026-4-10 | 2025 IEEE 5th International Conference on Applied Mathematics, Modeling and Computer Simulation (AMMCS)
[IEEE] 2026-4-10 | Penetration-free Solid-Fluid Interaction on Shells and Rods_supp1-3674041.mp4
[IEEE] 2026-4-10 | Scalable and Generalizable Correspondence Pruning Via Geometry-Consistent Pre-Training
[IEEE] 2026-4-10 | A Multiband 4th-Order RF Transmitter Featuring an N-Path-Filter Modulator With a Switched
                    <i>g</i>
                    <sub>m</sub>
                    –C Network
[IEEE] 2026-4-10 | IMS2026 Student Design Competitions
[IEEE] 2026-4-10 | Bridging the Hard Tech Gap at the IEEE Entrepreneurship Hard Tech Venture Summit
[IEEE] 2026-4-10 | A High-Precision and Easy to Encode Precise Solution Scheme for Calculating Attitude Angles
[ACM] 2026-4-11 | Implementing DevSecOps: A Systematic Literature Review on Integrating Security into DevOps
[IEEE] 2026-4-10 | Analysis and Study of Line Spectrum Features Affected by Underwater Target Motion
[IEEE] 2026-4-10 | Transformer-Based Dual Contrastive Learning for Multi-View Clustering
[IEEE] 2026-4-10 | Stability Analysis of Tailrace Open Channel Slope in a Pumped Storage Power Station
[IEEE] 2026-4-10 | RFIC/RFSA/RFTT Industry Paper Competitions
[ACM] 2026-4-10 | Beer: Interactive Alarm Resolution in Bayesian Program Analysis via Exploration-Exploitation
[ACM] 2026-4-10 | Sound and Complete Invariant-Based Heap Encodings
[ACM] 2026-4-10 | RoboBunting: Building Social, Affective Expressiveness through Bilateral Force Exchange
[ACM] 2026-4-10 | A Traffic Data Imputation Method Based on Spatial-temporal Synchronous Graph Recovery Neural Network
[IEEE] 2026-4-10 | Non-Enzymatic Uric Acid Sensing via MoS-Enhanced Paper-Based Electrochemical Sensor Using Neural Network Regression Framework_supp1-3680435.pdf
[IEEE] 2026-4-10 | 3D-IRMM-Net: An Interpretable Radiologist-Mimicking 3D Multimodal Network for Lesion Detection in ABUS with LLM-Based Guidance and Uncertainty Quantification
[IEEE] 2026-4-10 | Synchronization Dynamics of MEMS Oscillators With Sub-Harmonic Injection Locking (SHIL) for Emulating Artificial Ising Spins
[IEEE] 2026-4-10 | The IMS2026 Interactive Forum
[IEEE] 2026-4-10 | MP3: Let’s Revolutionize RF—Join Us in Boston!
[IEEE] 2026-4-10 | The Electronic Grip Gauge (EGG): Automated Assessment of Sensorimotor Hand Function Using an Instrumented Fragile Object
[IEEE] 2026-4-10 | An Adaptive RRT* Algorithm for Narrow Passage Path Planning
[IEEE] 2026-4-10 | Interference Module Noise Suppression Model for Interferometric Distributed Optical Fiber Sensing
[IEEE] 2026-4-10 | Unleash Your Potential
[ACM] 2026-4-10 | Taming the Hydra: Targeted Control-Flow Transformations for Dynamic Symbolic Execution
[IEEE] 2026-4-10 | A Continuous-Time Zoom Sensor Readout Frontend With Fast Tracking and Floating-Gm-CCO Integrator
[ACM] 2026-4-11 | PACGBI: A CI/CD Pipeline for LLM-assisted Code Generation of Web Front End
[ACM] 2026-4-11 | Machine Learning-Based Skin Lesion Classification with Feature Importance Analysis using SVM for Dermoscopy Images in the Philippines
[IEEE] 2026-4-10 | Table of Contents
[IEEE] 2026-4-10 | Natural Jacobian Matrix Formulation for Homogeneous Performance Indices in Parallel Mechanisms_supp1-3676057.docx
[IEEE] 2026-4-10 | Model Predictive Control of a Single-Stage SPV under Weak Grid Conditions
[IEEE] 2026-4-10 | A Two-Stage Fault Detection and Early Warning Framework for Intelligent Laboratory Measurement Systems
[IEEE] 2026-4-10 | Blank Page
[IEEE] 2026-4-10 | Design and Verification of a Modular Four-Degree-of-Freedom Error Measurement System
[IEEE] 2026-4-10 | W-Band Dual-Polarized 2 × 2 Metasurface Antenna-in-Package Array Based on Through-Glass Via Technology
[IEEE] 2026-4-10 | Multi-UAV Collaborative ISCPT: Joint 3D Deployment and Power Control of UAVs
[IEEE] 2026-4-10 | Joint Link Adaptation and Device Scheduling Approach for URLLC Industrial IoT Network: A DRL-Based Method With Bayesian Optimization
[IEEE] 2026-4-10 | ESQA: Event Sequences Question Answering
[IEEE] 2026-4-10 | Degradation, Lifetime, and Failure Modes of Metal Oxide Varistors in Low-Voltage DC Circuit Breaker Applications
[IEEE] 2026-4-10 | SCOOP: Scalable On-Chain-Off-Chain Storage in Blockchain-Based Decentralized Identity for Cyber-Physical-Social Systems
[ACM] 2026-4-10 | Learning Symmetric Invariants from Symmetric Samples
[IEEE] 2026-4-10 | Generative Artificial Intelligence for Social Impact
[IEEE] 2026-4-10 | A Multi-Keyword Boolean Search Scheme for Medical Data Based on Blockchain Indexing
[ACM] 2026-4-11 | Analyzing the 2024 U.S. Presidential Elections: BERT-based Sentiment Classification of Spoken Content in Video Data
[ACM] 2026-4-11 | A Systematic Literature Review on the Application of Scrum in Application Development
[ACM] 2026-4-11 | A Probabilistic Least Squares Estimation For NHPP-based Software Reliability Models with Time-domain Data
[ACM] 2026-4-11 | Traceability and Detect Forgery Platform of Digitally Important Educational Documents for Grade 6 Secondary Schools Case Study of the Northeastern Region, Thailand
[IEEE] 2026-4-10 | Optimal Partitioning of Square Computational Domains for Parallel Computing on Hybrid Servers with Heterogeneous Processors and Heterogeneous Communicating Links_supp1-3682580.pdf
[IEEE] 2026-4-10 | Center-of-Mass and Attitude Control of an Orbital Manipulator: A Novel Control Strategy_supp1-3682621.mp4
[IEEE] 2026-4-10 | Controlling the reactive power in multiple active bridge converters to increase efficiency
[IEEE] 2026-4-10 | IEEE CS 2026 Awards
[IEEE] 2026-4-10 | LCMTrack: Low Rank Gated Adaptation and Cross Modal Attention Fusion for Multi-Scale Spatio-Temporal RGB-T Tracking
[IEEE] 2026-4-10 | The RFIC2026 Symposium
[IEEE] 2026-4-10 | ASVspoof 5: Evaluation of Spoofing, Deepfake, and Adversarial Attack Detection Using Crowdsourced Speech
[IEEE] 2026-4-10 | IMS2026 Industry Workshops
[ACM] 2026-4-11 | Mining Exception Rules from Eclipse and NetBeans Defect Dataset
[IEEE] 2026-4-10 | IMS: Where the World Meets Microwaves [President’s Column]
[IEEE] 2026-4-10 | IEEE Standard for Edge Subsystem of Digital Retina Systems
[ACM] 2026-4-10 | Specy: Learning Specifications for Distributed Systems from Event Traces
[ACM] 2026-4-10 | Debugging Debugging Information using Dynamic Call Trees
[IEEE] 2026-4-10 | Quadruplet Augmentation With Attribute and Structure Invariance for Online Continual Learning
[IEEE] 2026-4-10 | QubitCache: Quantum-Inspired Probabilistic Attention Preservation for KV-Cache Compression
[IEEE] 2026-4-10 | LLM-Guided Classification and Extension of the MISP Taxonomy for Dark Web Q&amp;A Forums
[IEEE] 2026-4-10 | Experimental and Ray-Tracing-Based Comparison of Virtual-Array and Mechanically Scanned Directional Channel Sounding in Indoor Millimeter-Wave Channels
[IEEE] 2026-4-10 | Ordered Statistics Decoding Based on Codeword Neighborhood Structure Learning
[IEEE] 2026-4-10 | ARC Flash Anaysis for Electrification Projects How Far Upstream and Downstream Should be Re-Evaluated a Refinery Case Study
[IEEE] 2026-4-10 | Descriptor:
                    <i>Forward-Looking Multibeam - Marine Litter Detection and Tracking Dataset (FLM-MLDT)</i>
[IEEE] 2026-4-10 | AMMCS 2025 Table of Content
[IEEE] 2026-4-10 | Generative Principal Component Regression via Variational Inference
[IEEE] 2026-4-10 | 3D Passive Positioning with Individual Resonant Beam Base Station
[IEEE] 2026-4-10 | Failure-Threshold Determination of Full-Ceramic Ball Bearings Under Highly Fluctuating Health Indicators at Multiple Time Scales
[IEEE] 2026-4-10 | Intelligent Systems Reviewer List 2025
[IEEE] 2026-4-10 | IMS2026 RF Systems Dialogue on ISAC
[ACM] 2026-4-10 | Bisociative Pivoting as a Method for Moderating User Response to Text Similarity in Next-item News Recommendation
[IEEE] 2026-4-10 | Masthead
[IEEE] 2026-4-10 | G²VLO: Accurate and Generic 2D Gaussian based Visual-LiDAR Odometry
[IEEE] 2026-4-10 | Addressing Data Scarcity in Substation Inspection: A CycleGAN - Based Approach for Synthetic Defect Generation
[IEEE] 2026-4-10 | A Study on the Development Factors of New Energy Vehicles in China based on Factor Analysis and Multiple Regression Modeling
[IEEE] 2026-4-10 | Pavlov’s Dog and Large Language Models: The Double-Edged Power of Context Conditioning
[ACM] 2026-4-10 | Floating-Point Usage on GitHub: A Large-Scale Study of Statically Typed Languages
[IEEE] 2026-4-10 | XGBoost-Based Real-Time Intrusion Detection With Blockchain Logging for Secure EV Charging
[IEEE] 2026-4-10 | PISAStego: Privacy-Preserving Instance-Specific Self-Supervised Autoencoder Steganography for Elevated Security in Industrial IoT Systems
[IEEE] 2026-4-10 | Computing Edge
[IEEE] 2026-4-10 | Duplexing CMOS Millimeter-Wave Retrodirective Array for Automatic Beam Tracking Without Phase Shifter
[ACM] 2026-4-10 | VeriEQ: Finding Verilog Simulators and Synthesizers Bugs with Equivalence Circuit Transformation
[ACM] 2026-4-10 | Introduction to the Special Issue on Large Language Models, Conversational Systems, and Generative AI in Health - Part 2
[IEEE] 2026-4-10 | A 16-Channel Front-End ASIC with Adaptive Capacitive Level-Shifting PGA and 16-bit 1MS/s Hybrid SAR ADC for Cryogenic Infrared Imagers
[IEEE] 2026-4-10 | A Module-Based Method for Identifying Safety-Related Faults in Large-scale Systems Using FTA
[IEEE] 2026-4-10 | Safe and Adaptive Multi-Target Encirclement with Socially Aware Multi-Robot Control_supp1-3682584.mp4
[IEEE] 2026-4-10 | 2025 IEEE Scientific Visualization Contest Winner: A Comprehensive Visual Exploration Tool for Multivariate Multi-Objective Optimization of Aluminum Alloy Compositions
[IEEE] 2026-4-10 | Adaptive denoising algorithm with considering terrestrial slopes for single-photon LiDAR point cloud data processing
[IEEE] 2026-4-10 | Improving Odometry-Aided Position and Orientation Systems Through Bilateral Endpoints Constraint
[IEEE] 2026-4-10 | Embodied Spatial Simulation: Enabling Embodied Interaction with Human Motion Simulation in Extended Reality_supp1-3679897.mp4
[IEEE] 2026-4-10 | Planning of Large-scale Wind-Supplied Hydrogen Energy Storage System to Support Zero Energy Buildings in Urban Distribution System
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | Anisotropy and the magnetocaloric effect in
                    <i>RB</i>
                    <sub>2</sub>
                    (
                    <i>R</i>
                    =
                    <i>Dy, Ho</i>
                    )
[IEEE] 2026-4-10 | Cubic-Quartic Optical Solitons in Birefringent Fibers with Non-Local Law Nonlinearity
[IEEE] 2026-4-10 | Delay-Dependent Stability of Discrete-Time Memristive Neural Networks via Extended Reciprocally Convex Inequality
[IEEE] 2026-4-10 | Secure Reversible Image Obscuration for Content Protection
[IEEE] 2026-4-10 | Application of Residual Autocorrelation Hybrid Models in Slope Deformation Prediction
[ACM] 2026-4-10 | Mechanised Semantics of Multi-stage Programming
[ACM] 2026-4-10 | Lawyer: Modular Obligations-Based Liveness Reasoning in Higher-Order Impredicative Concurrent Separation Logic
[ACM] 2026-4-10 | Determining the Unreachable: Constraint-Guided Reachability Analysis for Dependency Vulnerabilities
[IEEE] 2026-4-10 | Enhancement of Large Language Models Driving Knowledge for Practical Autonomous Driving Decision Making
[IEEE] 2026-4-10 | A Robust Real-Time Quantum Sensing System Based on an Ensemble of Nitrogen-Vacancy Centers in Diamond
[IEEE] 2026-4-10 | Bandwidth enhancement based on intensity-cross-combination principle for phase-shifting Φ-OTDR system
[IEEE] 2026-4-10 | Proactive Threat Hunting and Anomaly Detection for Networked Consumer Maritime Electronics Using a Variational Bayesian Adaptive IMM
[IEEE] 2026-4-10 | Marine Ship Detection Algorithm Based on Adaptive Feature Extraction and Multi-Scale Feature Weighted Selection Fusion
[ACM] 2026-4-10 | PersuHSG: Adaptive Persuasion Strategy Planning for Dialogue Agents Based on Hierarchical Strategy Graph
[ACM] 2026-4-10 | Project Everest: Perspectives from Developing Industrial-Grade High-Assurance Software
[ACM] 2026-4-10 | SART: Sign-Absolute Reformulation Theory for Binary Variable Reduction in Neural Network Verification
[IEEE] 2026-4-10 | Human–Machine Shared Steering in Driving via Integration of Driver Fatigue in a Fuzzy Logic-Based System
[IEEE] 2026-4-10 | Confidence-Weighted Prior-Guided RPCA for Hyperspectral Anomaly Detection
[IEEE] 2026-4-10 | Application of Manual Brake Release Pump in Explosion-Proof Vehicles
[ACM] 2026-4-11 | Simulating QR Code Scanner Phishing Attacks: Investigating Vulnerabilities in QR Scanning and Reading Mechanisms Leading to Cookie and Data Exposure in Organization Environment
[IEEE] 2026-4-10 | Multipath Parameter Estimation Using GNSS Receiver Doppler Measurements
[IEEE] 2026-4-10 | Wavelet-enhanced graph attention framework for multidimensional feature extraction of loom data
[IEEE] 2026-4-10 | Design of a Passive Finger-Tip Changer for Modular Robotic Manipulation_supp1-3682528.mp4
[IEEE] 2026-4-10 | Evaluation of Language Model Architectures for Scholarly Applications
[IEEE] 2026-4-10 | Design and Optimization of a Grating-Structured Triboelectric Nanogenerator-based Self-Powered Flexible Pressure Sensor
[IEEE] 2026-4-10 | Analytical Design and Decision Tree-Based Excitation Strategies for Low-Profile IPT Systems Insensitive to Angular Misalignment
[IEEE] 2026-4-10 | Transient DC Arc-Flash Incident Energy Calculations for DC Distribution Systems
[IEEE] 2026-4-10 | Interval Stabilization for Switched Stochastic Positive Systems: A State-Dependent Switching Scheme with Convergence Rate Constraint
[IEEE] 2026-4-10 | Spacing-Compensated Measurement of the Acoustoelectric Interaction Constant for Quantitative Current-Density Imaging in Saline and Brain Tissue_supp1-3682610.pdf
