[2026-05-16 10:17:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-15
正在获取论文...
[IEEE] 2026-5-15 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[IEEE] 2026-5-15 | A Framework for Deep Reinforcement Learning-Based Assembly Sequence Planning of Aircraft Tube
[IEEE] 2026-5-15 | A Highly Sensitive and Robust Electrochemical Biosensor with Anti-Adhesion Property for BK Virus Detection
[IEEE] 2026-5-15 | Objective No-Reference Error Estimation at the Macroblock Level for Compressed Videos
[IEEE] 2026-5-15 | Aphrophoridae Foam Detection using YOLOv11 for Sustainable Management of Xylella Fastidiosa Vectors
[IEEE] 2026-5-15 | Multi-Index Vegetation Monitoring and Stress Detection for Smallholder Rice Farms in Telangana Using Sentinel-2
[IEEE] 2026-5-15 | Non-Invasive Thermal Monitoring of Dairy Cows’ Core Body Temperature with Multi-Modal Sensing
[IEEE] 2026-5-15 | Synergistic Component Engineering and Surface Modification to Regulate the Crystallization Kinetics and Photovoltaic Performance of Perovskite Materials
[IEEE] 2026-5-15 | Lab-on-Chip Acoustic Detection Platform: Design, Fabrication and Performance Evaluation
[IEEE] 2026-5-15 | A Data-Driven Clustering Analysis of Multi-Energy Load Profiles for Typical Scenario Extraction in Renewable Energy Systems
[IEEE] 2026-5-15 | Indoor Temperature Prediction Model Based on SVMD-CNN- Informer
[IEEE] 2026-5-15 | Research on Control Method of Ship Integrated Power System Based on Load Current Feedforward
[IEEE] 2026-5-15 | Rapid and Accurate Estimation of Acoustic Coupling in MUT Devices Using finite Element Modeling
[IEEE] 2026-5-15 | Research on Multi-Sensor Array Detection Methods for Verifying GC-IMS Analysis of Neuraminidase-Metabolized Gases
[IEEE] 2026-5-15 | Pushing Bit-Width Limits in LLM Quantization with Saliency-Guided Mix-Precision Allocation and Learnable Affine Transformation
[IEEE] 2026-5-15 | Sparse2Dense: A Keypoint-Driven Generative Framework for Human Video Compression and Vertex Prediction
[IEEE] 2026-5-15 | A 28nm 11.2-to-20-GHz PLL-based 16-Phase Clock Generator with High-Order-Mode Ring Oscillator Achieving 24.3-fs Jitter for 320-Gsps-Sample-Rate Data Converter
[IEEE] 2026-5-15 | Analyzing Performance–Memory–Security Trade-Offs of Convolutions for DNN Inference on Homomorphically Encrypted Data
[IEEE] 2026-5-15 | Distance Enhancement and Misalignment Robustness in WPT System Employing Higher Order Compensation Topology and ZVS
[IEEE] 2026-5-15 | A 500kHz 600V Capacitive Isolated SiC Converter with Switching-On Transition Detection for Hard-Switching Fault Prognosis Achieving 58ns Short-Circuit Protection
[IEEE] 2026-5-15 | TOKCIM: A 65nm All-Digital Compute-in-Memory Transformer Accelerator with Advanced Weight Sparsity Handling and SoftMax Acceleration
[IEEE] 2026-5-15 | A 10-bit 20-GS/s 4-Channel Time-Interleaved DAC Employing Hybrid-Segmentation in 28-nm CMOS
[IEEE] 2026-5-15 | THReaD: A 22.8 Mbps/node Two-dimensional Hierarchical Reconfigurable and Distributed Network for E-textiles with Fault Tolerance and Cooperative Power Management
[IEEE] 2026-5-15 | Hybrid RL-PID for Intelligent Lighting Control in Container-based Indoor Farming
[IEEE] 2026-5-15 | Towards Efficient 3D Gaussian Human Avatar Compression: A Prior-Guided Framework
[IEEE] 2026-5-15 | TCROC–Markov: A Two-Stage Framework for Economic Regime Analysis
[IEEE] 2026-5-15 | Comparative Security Analysis of Cross-Chain Protocols: An Empirical and Metrics-Based Approach
[IEEE] 2026-5-15 | MI-STA 2026 Conference Proceedings
[IEEE] 2026-5-15 | Rapid Diagnosis of Foot-and-Mouth Disease in Livestock Using Supervised Machine Learning Algorithms
[IEEE] 2026-5-15 | ASIM 2025 Cover Page
[IEEE] 2026-5-15 | EWA-DA: An EWA-Learning-Based Double Auction Mechanism for Multi-Agent Task Allocation
[IEEE] 2026-5-15 | Investigation of Dynamic Testing Methods for Composite Thermoelectric Devices under Multi-Condition Loading
[IEEE] 2026-5-15 | Research on Multi-target Detection Method of Transmission Line Based on YOLOv5
[IEEE] 2026-5-15 | A Plug-And-Play Deep Unrolling Method for Brain Source Imaging
[IEEE] 2026-5-15 | Imbalanced Fault Diagnosis of Rolling Bearings Fusing WGAN-GP and Self-Attention Mechanism
[IEEE] 2026-5-15 | Verification of the Mold Material Model Through Simulation Studies at the Product Level
[IEEE] 2026-5-15 | Ensemble ConvNeXt-LSTM Framework for Smart Surface Defect Detection in Hot-Rolled Steel Strips
[IEEE] 2026-5-15 | IoT-Enabled EV Battery Monitoring System With Machine Learning-Based Predictive Analysis
[IEEE] 2026-5-15 | EEG-Based Early Detection System for Alzheimer's and Parkinson's Disease
[IEEE] 2026-5-15 | HRM Practices in Small-sized Institutes within the Education Industry: Evidence from Qualitative Case Studies
[IEEE] 2026-5-15 | Detection and Classification of Abnormal Human Actions for Video Surveillance on Edge Devices
[IEEE] 2026-5-15 | ICST 2025 TOC
[IEEE] 2026-5-15 | ICISES 2025 Copyright Page
[IEEE] 2026-5-15 | Research on Sample Imbalanced Fault Diagnosis of Ship Water Pump Bearing Dataset Based on HCAB-SMOTE
[IEEE] 2026-5-15 | Comparative Analysis of RF, SVM and XGBoost for High-Accuracy Crop Recommendation
[IEEE] 2026-5-15 | Digital Implementation of Cordic-Based Fitzhugh Nagumo Neuron Models on FPGAs
[IEEE] 2026-5-15 | ECOTRACK: An AI-Based Carbon Emission Tracking and Prediction System
[IEEE] 2026-5-15 | Imbalanced Bearing Fault Diagnosis Using WGAN-GP With Cascaded SIMAM-GAM Attention
[IEEE] 2026-5-15 | Lung Cancer Diagnosis: Visualizing Deep Learning Decision Pathways Using Yolov8
[IEEE] 2026-5-15 | A Hybrid DeBERTa-BiLSTM Framework with Attention for Context-Aware Fake News Detection
[IEEE] 2026-5-15 | Post-COVID Cardiovascular Risk Stratification Using Independent Machine Learning and Deep Learning Pipelines
[IEEE] 2026-5-15 | A Hybrid Multi-Objective Optimization Framework for Energy-Aware UAV Swarm Coordination in Dynamic Environments
[IEEE] 2026-5-15 | Performance Evaluation of BCH, LDPC, and Turbo Codes in LTE-Based MIMO-OFDM Systems Using 64-QAM
[IEEE] 2026-5-15 | Performance-Driven Hybrid Scheduling Mechanism Using Nature-Inspired Algorithms for Mobile Edge Cloud Resource Management
[IEEE] 2026-5-15 | Intelligent Cluster Maintenance and Hybrid Routing Optimization for High-Mobility MANET Environments
[IEEE] 2026-5-15 | A Comparative Analysis of Decentralized Control Techniques for Grid-Forming Inverters Using Finite Control Set Model Predictive Control
[IEEE] 2026-5-15 | Latency-Bound Online Consistency Verification for Always-on Financial Databases
[IEEE] 2026-5-15 | Joint Service Caching and Resource Allocation in DT-Empowered Cloud-Edge Networks Via MARL With Hierarchical Knowledge Transfer_supp1-3691308.pdf
[IEEE] 2026-5-15 | Portable Electrochemical Platform for Point-of-Care Bilirubin Sensing for Liver Diagnostics_supp2-3693203.mp4
[IEEE] 2026-5-15 | RadioYNet: Efficient 3D Path Loss Map Prediction with Height-Aware Feature Fusion
[IEEE] 2026-5-15 | Unified Energy Consumption Modeling for Heterogeneous UAVs: An Adaptative Incremental Learning-Based Framework
[IEEE] 2026-5-15 | Mixture Density Networks Improve Inter-Sensor Consistency of Optical Water Type Classification
[IEEE] 2026-5-15 | From Rules to Reasoning: Bridging Rule-based and LLM-based Machine Translation
[IEEE] 2026-5-15 | On Information Theoretic Fairness: From Perfect To Bounded Demographic Parity
[IEEE] 2026-5-15 | A Deterministic Boolean-Logic Switching Control for Grid-Connected Multi-Level PV Microinverters
[IEEE] 2026-5-15 | IMRA 2025 TOC
[IEEE] 2026-5-15 | IEEE Annals of the History of Computing
[ACM] 2026-5-15 | Artificial Protozoa Optimizer for Multi-Objective Economic Load Dispatch
[ACM] 2026-5-15 | Theoretical Framework for the Integration and Development of Digital Economy and Traditional Industries
[ACM] 2026-5-15 | An Adversarial Knowledge-Enhanced Approach for Stock Prediction
[ACM] 2026-5-15 | Research on Application of Large Language Model (LLM) in Macroeconomic Forecasting
[ACM] 2026-5-15 | Research on e-commerce risk prediction scheme based on Transformer-BiLSTM-SVM
[ACM] 2026-5-15 | Research on the Relationship Between Corporate Digital Transformation and Financial Performance from the Perspective of Dynamic Capabilities: An Empirical Analysis Based on the Case of Company H and Multiple Linear Regression &amp; Random Forest Algorithms
[ACM] 2026-5-15 | Mechanism of Managers' AI Cognition Driving Enterprise Digital Transformation
[ACM] 2026-5-15 | Research on the impact of intellectual property protection on foreign trade under the background of big data
[ACM] 2026-5-15 | Spatio-Temporal Evolution and Optimisation Strategies for China's Agricultural Product Export Trade
[ACM] 2026-5-15 | An Empirical Study on the Integration of Information-based Education and Artificial Intelligence Driven by AI-TPACK Model
[ACM] 2026-5-15 | Floating-Point Expression Precision Optimization Method Based on Genetic Algorithms and Expression Rewriting
[ACM] 2026-5-15 | Cross-View Consistency Checking for Multimodal Web Agents under Adversarial UI Perturbations
[ACM] 2026-5-15 | Generative AI-Driven Design Framework for Intangible Cultural Heritage Cultural and Creative Products A Case Study of the Miao “Water Dragon God”
[ACM] 2026-5-15 | LBCA: A Lightweight Self-Learned Bayesian Clock Alignment Approach for Industrial Digital Twin Systems
[ACM] 2026-5-15 | Control System Design for Multi-Terrain Agricultural Transportation: Integrating Cableway and Adaptive Height Adjustment
[ACM] 2026-5-15 | Influence of temporal environment on building settlement
[IEEE] 2026-5-15 | Short-Circuit Blackbox Modeling of Inverter-Based Resources: Development, Validation and Key Insights
[IEEE] 2026-5-15 | An In-Loop Filter PLL with Fixed-Frequency Enhanced ROGI Prefilter for Three-Phase Grid-Connected Converters
[IEEE] 2026-5-15 | Dynamic Operating Envelope Calculation for Grid Integration of Large Controllable Digital Loads
[IEEE] 2026-5-15 | Self-Healing of Microgrids or Distribution Systems Using Radio Pulse Injected on a Neutral Wire
[IEEE] 2026-5-15 | Impact of Geographically Dispersed Solar Farms on System Reliability
[IEEE] 2026-5-15 | Secure Data Aggregation for Oilfield Transport and Inspection Vehicles Using Onion-Routed Federated Learning
[IEEE] 2026-5-15 | Analysis and Mitigation of Power System Harmonics in Industrial Vfd Applications Using Passive Filter Configurations
[IEEE] 2026-5-15 | Battery Health Prognosis Using Physics-Informed Neural Network with Quantum Feature Mapping
[IEEE] 2026-5-15 | Resource Adequacy in United States Power Markets During the Digital Era: A Comparative Review of Principles and Current Practices
[IEEE] 2026-5-15 | An Emotion - Driven System Offering Personalized Activities and Lifestyle Recommendations
[IEEE] 2026-5-15 | Spatio-Temporal Siamese Ensemble with Multi-Level Feature Fusion for Video-Based Person Re-Identification
[IEEE] 2026-5-15 | Construction of Occupational Interest Profiles Based on Deep Learning (CNN-LSTM): Precise Matching Algorithms Integrating Multi-Source Behavioral Data
[IEEE] 2026-5-15 | Learning Gold Futures Price Dynamics Using Attention-Guided Temporal Deep Learning
[IEEE] 2026-5-15 | Simulation Research of Frequency-Selective Fading Channels for Deterministic Networks
[IEEE] 2026-5-15 | GST Smart Filing Assistance for SMES
[IEEE] 2026-5-15 | A Hardware-in-the-Loop Platform for Evaluating MQTT-based Intelligent Traffic Light Systems
[IEEE] 2026-5-15 | Evaluating Cycle and Non-Cycle Traffic Control Approaches in Intersection Networks Under Sensor Cyber Attacks
[IEEE] 2026-5-15 | Model-Based Multi-Modal Volumetric Sensing via Fusion of Stereo HFR, ToF, and Thermal Cameras
[IEEE] 2026-5-15 | Fractional-N PLL–Based Micro-Oven Control for Ultra-Stable MEMS Frequency References
[IEEE] 2026-5-15 | Design and Operation Analysis of Phase Change Energy Storage and Multi-Energy Coupled Constant-Temperature Biogas System
[IEEE] 2026-5-15 | Classifying Snoring Sounds for Acoustic Detection of Sleep Apnea
[IEEE] 2026-5-15 | A Multi-Agent System for Automated Lifetime Prediction of Power Electronics
[IEEE] 2026-5-15 | Research on the Structured Reconstruction and Precise Extraction of Key Information from Power Demand Texts Based on Large Language Models
[IEEE] 2026-5-15 | Research on the Prediction Method of Recent Photovoltaic Power Generation Based on CNN BiGRU
[IEEE] 2026-5-15 | Distributed Smart Agriculture Monitoring over the IoT Computing Continuum
[IEEE] 2026-5-15 | Traceability and Research in the Agricultural Chain of Medicinal and Aromatic Plants (MAPs): An IoT-based Approach
[IEEE] 2026-5-15 | OmniPlantSeg: Species Agnostic 3D Point Cloud Organ Segmentation for High-Resolution Plant Phenotyping Across Modalities
[IEEE] 2026-5-15 | 2025 IEEE Latin American Conference on Nanotechnology (LANANO)
[IEEE] 2026-5-15 | Grapevine Leaf Phenotyping Using Deep Learning Based on Three-Dimensional Point Cloud
[IEEE] 2026-5-15 | A Novel Current Protection Setting Method with Moderate Sacrifice of Selectivity
[IEEE] 2026-5-15 | Beyond Productivity: Exploring the Cognitive Cost of Using ChatGPT
[IEEE] 2026-5-15 | Application Research of an Efficient Blockchain Consensus Mechanism Integrating Clustering Algorithms and Zero-Knowledge Proofs in Distributed Power Trading
[IEEE] 2026-5-15 | AI-Powered Optimization and Reusability Prediction of Visible-Light Photocatalyst for Methylene Blue Degradation
[IEEE] 2026-5-15 | Region-Adaptive Learned Hierarchical Encoding for 3D Gaussian Splatting Data
[IEEE] 2026-5-15 | Film Grain Synthesis with Debanding Feature
[IEEE] 2026-5-15 | Intelligent Smart Energy Monitoring Architecture for Real-Time Consumption Analysis and Automated Efficiency Optimization in Systems
[IEEE] 2026-5-15 | Computer Vision-Based Emotion Recognition Methods
[IEEE] 2026-5-15 | IoT-Based Intelligent Child Tracking System with Cloud Integration and Geofencing
[IEEE] 2026-5-15 | Time-Domain Waveform Mapping and Prediction of Ultrasonic Guided Waves Based on Deep Learning
[IEEE] 2026-5-15 | ASIM 2025 Cover Page
[IEEE] 2026-5-15 | Deep Non-Negative Matrix Factorization for Recommender Systems
[IEEE] 2026-5-15 | Influence of Free-Stream Turbulence on the Aerodynamic Performance of Paired Vertical-Axis Wind Turbine
[IEEE] 2026-5-15 | A Σ-Structure Ripple-Cancellation Switching Regulator with Automatic Ripple Calibration Achieving Sub-mV Output Voltage Ripple
[IEEE] 2026-5-15 | Multi-Spectral Filter-Less Computational Imager in Standard CMOS for Beyond-Visible Ubiquitous Machine Vision and Flexible Adaptation to Application
[IEEE] 2026-5-15 | Genetic Algorithm–Based Optimization of RoBERTa for Sexism Detection
[IEEE] 2026-5-15 | Development of IoT stations for measuring air and water quality by using optical spectroscopy
[IEEE] 2026-5-15 | GPU-Accelerated Chirplet Transform: Scalable Runtime Profiling and Analysis
[IEEE] 2026-5-15 | Light Detector System for Analyzing Plant Cultivation Utilization of Reflected Light from Ground Surfaces
[IEEE] 2026-5-15 | Research on Vulnerable Regions of MEMS Sensors Based on Multi-Physics Coupling Simulation
[IEEE] 2026-5-15 | Deep Learning for Friction Velocity Estimation in Urban Roughness Sublayer
[IEEE] 2026-5-15 | RGB-T Multi-modal Visual Question Answering in Nighttime and Adverse Environment
[IEEE] 2026-5-15 | OAFA-Net: A Lightweight Orientation-Aware Network for Remote Sensing Scene Classification
[IEEE] 2026-5-15 | BWPF-XGB: A Gradient-Reshaped and Weighted Fusion Framework for Extreme Imbalanced Fault Detection in Semiconductor Manufacturing
[IEEE] 2026-5-15 | Modeling and Robust Control of SEIG-Based Wind Energy Systems Using Linear RST and Nonlinear Sliding Mode VOC Techniques
[IEEE] 2026-5-15 | Multimodal Large Model-Driven AI Parking Recognition Technology
[IEEE] 2026-5-15 | Improved ASD Detection from Brain fMRI Using Fine-Tuned Transfer Learning on Pretrained Deep Convolutional Models
[IEEE] 2026-5-15 | CDDPM Data Augmentation and Fault Diagnosis for Small-Sample Vibration Signals
[IEEE] 2026-5-15 | Comprehensive Analysis and Detection of Network Level Session Hijacking Attacks Across TCP/IP and UDP Protocols
[IEEE] 2026-5-15 | A Planar and Low-Profile CPW-Fed UWB MIMO Antenna with High Isolation
[IEEE] 2026-5-15 | Peruvian Starch-Based Magnetic Hydrogel for Crystal Violet Dye Removal in Aqueous Media
[IEEE] 2026-5-15 | Review of Advances in the Modeling and Design of Composite Pressure Vessels for Hydrogen Storage
[IEEE] 2026-5-15 | Machine Learning Framework for Early Lung Cancer Risk Prediction Using Patient-Reported Clinical Data
[IEEE] 2026-5-15 | Structured Irradiance Benchmark for Performance Assesment of MPPT Algorithms in PV System
[IEEE] 2026-5-15 | NutriGuardian: An AI System for Personalized Health Guidance and Ingredient Evaluation in Packaged Foods
[IEEE] 2026-5-15 | Intrusion Detection and Prevention System Using Hybrid Classification Model
[IEEE] 2026-5-15 | Green Synthesis of Gold Nanoparticles Using Camellia sinensis and Baccharis trimera for a Sustainable Colorimetric Biosensor for Rapid and Selective Drug Detection
[IEEE] 2026-5-15 | Martingale and Graph Neural Network Edge Reweighting for Stable Community Detection
[IEEE] 2026-5-15 | Design and Evaluation of ChordVDB: A Distributed Vector Database System for Augmented Retrieval
[IEEE] 2026-5-15 | Neural Network-Based Simulation Framework for Anthrax Disease Progression in Animal Populations
[ACM] 2026-5-15 | Research on multi-center cloud redundant control architecture and scheduling mechanism based on interrupt cycle optimization
[ACM] 2026-5-15 | Automatic Grading of Experimental Reports Based on Feature Engineering and Machine Learning
[ACM] 2026-5-15 | ReCE: Rule-Retrieval Augmented Generation for Zero-shot and Few-shot Cybersecurity Event Extraction
[ACM] 2026-5-15 | Value-Oriented Online Optimization of Joint Data Collection and Backhaul Access in Multi-UAV Surveillance Networks
[IEEE] 2026-5-15 | A Timing Synchronization Algorithm for Single-Carrier Burst Signals Based on Segmented Smoothing Processing
[IEEE] 2026-5-15 | Robust Hevc Bitstream Stitching for Live Multiview Video Streaming
[IEEE] 2026-5-15 | Comparison of Deep Learning Architectures for Fault Detection in Power Grids: A Study on CNN, Vision Transformer, and Swin Transformer
[IEEE] 2026-5-15 | A 26.4-to-56-Gb/s 0.38-pJ/bit PAM-4 Reference-less CDR Using Frequency-Offset Quantization Scheme Achieving 65-ns Constant-Band Acquisition Time in 28nm CMOS
[IEEE] 2026-5-15 | Attractor Matching: A New Paradigm for Structural String Comparison
[IEEE] 2026-5-15 | Design and Modelling of a Bidirectional ThreePhase Solid-State Transformer for Advanced Power System Applications
[IEEE] 2026-5-15 | IoT-Based Health Monitoring System for Textile Workers
[IEEE] 2026-5-15 | Real-Time AI-Driven Multi-Store Sales Forecasting and Automated Inventory Optimization System with Role-based Retail Intelligence
[IEEE] 2026-5-15 | The Neurological Code: Deciphering Parkinson's with Deep Generative Models and Attention Mechanisms
[IEEE] 2026-5-15 | Research on Curing Degree Detection of Fiber-Wound Plastic-Lined Gas Cylinders Using RFID and Physical Information Neural Networks
[IEEE] 2026-5-15 | A Passivity Criterion for Event-Triggered Communication Control of Manipulator for Bilateral Teleoperation Systems with Time-Varying Delays
[IEEE] 2026-5-15 | IEEE Career Center
[IEEE] 2026-5-15 | Research on Reinforcement Learning Decision of UAV Air Combat Based on Improved PPO Algorithm
[IEEE] 2026-5-15 | Lightweight Hybrid Attention for Rock CT Image Super-Resolution
[IEEE] 2026-5-15 | Physics-Constrained LSTM for Long-Term Operational Rule Extraction in IES
[IEEE] 2026-5-15 | Co-Evolutionary Pruning and Dynamic Weight Aggregation Enhanced L-SHADE for Cuffless Blood Pressure Estimation
[IEEE] 2026-5-15 | An Automated Text Summarization Agent Framework Based on Asymmetric Role Collaboration
[IEEE] 2026-5-15 | A Bi-Credit Evaluation and Revolving-Credit Settlement for Distributed Energy Trading
[IEEE] 2026-5-15 | Sliding Mode Observer-Based Detection and Reconstruction of Cyber Attacks in Cyber-Physical Power Systems with HIL Simulation
[IEEE] 2026-5-15 | A Hybrid Convolutional Neural Network and Vision Transformer Architecture for Lung Cancer Classification
[IEEE] 2026-5-15 | High Speed Datapath Circuit Design Using Domino Logic
[IEEE] 2026-5-15 | Hybrid Convolutional Orientation Encoder for Retinal Vessel Segmentation
[IEEE] 2026-5-15 | Research on Hierarchical Configuration Strategy of Grid and Load-Side Energy Storage for Improving Urban Regional Distribution Network Capacity
[IEEE] 2026-5-15 | Cluster Analysis of North Carolina’s County-Level Crime Rates
[IEEE] 2026-5-15 | Design of a Low-Cost Transfer Function Based MPC-Controlled Synchronous Buck Converter
[IEEE] 2026-5-15 | Thermal-mechanical coupling simulation of Chiplet 2.5D packaging based on chiplet distribution and Full Copper Interconnection
[IEEE] 2026-5-15 | Rural E-Commerce and Digital Platforms for Entrepreneurship: A Case Study in Northeast China
[ACM] 2026-5-15 | A Study on Policy Orientations for Regional Enterprises' Green Transformation Based on Text Analysis Algorithms
[ACM] 2026-5-15 | Research on an Intelligent Algorithm for Cross-Market Arbitrage of Copper Futures Based on Dynamic Slope Calculation - EMA Filtering - PPO Reinforcement Learning
[ACM] 2026-5-15 | IoT-Enabled Digital Twin for Whole-Lifecycle Management in Architectural Decoration Engineering
[ACM] 2026-5-15 | Trustworthy Multi-Agent Framework for Video Thumbnail Selection in Data Asset Ecosystems
[ACM] 2026-5-15 | The Impact of Big Data–Driven Bank Digital Transformation on Firm Innovation
[ACM] 2026-5-15 | How Algorithmic Recommendation Technology and Platform Green Reputation Drive Sustainable Consumption: Empirical Evidence from the Art Toy Market
[ACM] 2026-5-15 | The Impact of Digital Financial Inclusion Development on Economic Growth in Guangdong Province—Based on Perspectives of Spatial Econometrics and Machine Learning
[ACM] 2026-5-15 | Advancing Computer Technology for Financial Forecasting: A Comparative Study of Quantum and Classical Machine Learning Approaches in Stock Price Prediction
[ACM] 2026-5-15 | Evolution, Hotspots, and Future Trends: A Systematic Analysis of the “AI + Writing” Research Field Based on Knowledge Graph
[ACM] 2026-5-15 | Optimizing Legal Talent Training in Southern Xinjiang through Generative AI and Statistical Algorithms
[ACM] 2026-5-15 | Reinforcement Learning based Personalized Training Method for Computer Programming Courses
[ACM] 2026-5-15 | Application of Neural Network Models Based on Multi-Objective Optimization in the Sustainable Evaluation and Intervention of Educational Equity
[ACM] 2026-5-15 | Integrating Artificial Intelligence and Big Data for Tailored Ideological Education in Universities
[ACM] 2026-5-15 | Application of IOT Technology in Elevators and Its Impact on Professional Talent Cultivation
[ACM] 2026-5-15 | Prescribed-Time Formation Control for Multi-Agent Systems with Bounded Switching Time-Varying Gains
[ACM] 2026-5-15 | Divide-and-Conquer: Cold-Start Bundle Recommendation via Mixture of Diffusion Experts
[IEEE] 2026-5-15 | A Novel Sliding Mode Differentiator-Based Feature for EMG-Based Hand Gesture Characterization
[IEEE] 2026-5-15 | Adaptive Observer-Based Resilient Containment of Multi-Agent Systems With Hybrid Cyber-Attacks
[IEEE] 2026-5-15 | Multi-Population Ensemble Genetic Programming via Cooperative Coevolution and Multi-View Learning for Classification_supp1-3668624.pdf
[IEEE] 2026-5-15 | SageIQ: Scene-Graph-Guided Blind Image Quality Assessment
[IEEE] 2026-5-15 | Multi-User Covert Communications via Intelligent Spectrum Control
[IEEE] 2026-5-15 | Low-Iterative Fault Location Method for IBR-Connected Transmission Lines Considering System Nonhomogeneity
[IEEE] 2026-5-15 | Towards the Connection between Activation Sparsity and Flat Minima_supp1-3691379.pdf
[IEEE] 2026-5-15 | DDPG-Based Beamforming Optimization for Optical Phased Arrays
[IEEE] 2026-5-15 | Effects of High Penetration of Wind Energy on System Small-Signal Stability: A Case Study
[IEEE] 2026-5-15 | Analytical Relationship Between GFL Active-Power Step-Response Rise Time and Dynamic-Load Ramp-Rate Compensation
[IEEE] 2026-5-15 | Multi-Objective Optimization Framework for the Design of Wireless Power Transfer Systems
[IEEE] 2026-5-15 | Cascading Failure Model for Power Systems with Large-Scale Data Center Load
[IEEE] 2026-5-15 | Adaptive-Based Control of a Step-Down Non-Isolated DC-DC Converter with High Reduction Ratio for Microgrid Applications
[IEEE] 2026-5-15 | Physics-Informed Unsupervised Learning for Denial-of-Service Attack Detection in Load Frequency Control of Multi-Area Power Systems
[IEEE] 2026-5-15 | A Label-Efficient Semi-Supervised Learning Approach for Fine-Grained Voltage Sag Classification Using FreeMatch and Vision Transformers
[IEEE] 2026-5-15 | Application of Industrial Robot Drawing Function Based on RobotStudio Virtual-Physical Integration
[IEEE] 2026-5-15 | Design and Implementation of a Low-Frequency in Single-Phase High-Power Inverter Using Arduino Mega 2560 for Modular Pico-Hydro Energy Systems
[IEEE] 2026-5-15 | A Comparative Video-Gait Analysis Using AI-Based Pose Estimation to Assess Driver Fatigue in Pre-Work and Post-Work Conditions
[IEEE] 2026-5-15 | Power Quality Improvement in Grid-Tied PVG-UAPF Using MSOGI-NF
[IEEE] 2026-5-15 | Research on Acute Myocardial Infarction Risk Prediction Model Based on FT-Transformer and MLP Dual-Stream Heterogeneous Feature Fusion
[IEEE] 2026-5-15 | Reviewers
[IEEE] 2026-5-15 | AD5941-Enabled Digital Active Electrode for Electrical Impedance Tomography
[IEEE] 2026-5-15 | Machine Learning-Based Wind Speed and Power Forecasting Using Meteorological Data
[IEEE] 2026-5-15 | Design and Evaluation of an Artificial Intelligence-Based Sentiment Analysis Tool Using the Feelings Wheel and Real-World Data
[IEEE] 2026-5-15 | IEEE Foundation
[IEEE] 2026-5-15 | Title Page
[IEEE] 2026-5-15 | Highly Stretchable, Fully Screen-Printed Resistive Strain Sensor for Apple Fruit Growth Monitoring
[IEEE] 2026-5-15 | Detection of Gas Emission from the Ground by Drone Using Fountain Flow over Rough Terrain
[IEEE] 2026-5-15 | A Method for Enhancing the Clarity of Sea Surface Targets Based on Generative Diffusion Models
[IEEE] 2026-5-15 | LADE-YOLO: A Lightweight Attention-Based Instance Segmentation Network for Edge-Computing Logistics Robots
[IEEE] 2026-5-15 | Irrigation-Driven Vineyard Resilience to Climate Variability: A Sentinel-2-Based Preliminary Approach
