[2026-07-30 11:08:47] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[arXiv] 2026-07-29 | Free boundary flows by powers of the Gauss curvature in the unit ball
[arXiv] 2026-07-29 | Two Calls Beat Five Agents: Evaluating Multi-Agent Pipelines Against Self-Refinement for Local Language Models
[arXiv] 2026-07-29 | From Keypoints to Predictive Distributions: Post-Hoc Uncertainty for YOLO-Pose Models
[arXiv] 2026-07-29 | Critical net-proton number fluctuations with hydrodynamics
[arXiv] 2026-07-29 | CinemaTraj: Composing Atomic Camera Trajectories for 3D Scenes with LLM Agents
[arXiv] 2026-07-29 | From Passive Video to Editable Experience: Physically Grounded Experience Synthesis for Embodied Intelligence
[arXiv] 2026-07-29 | Lehmer Codes and the Reverse-Complement Mapping from (32-1)-Avoiding Permutations to (3-21)-Avoiding Permutations
[arXiv] 2026-07-29 | Dimensions of Orbit Closures and Discrepancy for Dynamical $p$-adic Sequences
[arXiv] 2026-07-29 | Structure-Property Correlation of Cr/Cu-MnFeCoNi High-Entropy Alloys for Alkaline Water Electrolysis
[arXiv] 2026-07-29 | Junction Conditions, Radial Stability, Thermodynamics, Optical Geometry and Appearance of Polymer-Quintessence Thin-Shell Wormholes
[arXiv] 2026-07-29 | Hybrid Workflow Composition for Extreme-Scale Data Processing: A Case Study on the HL-LHC (Extended Version)
[arXiv] 2026-07-29 | Role of particle density in the Hall response of synthetic fermionic ladders: Lifshitz and Meissner-vortex transitions
[arXiv] 2026-07-29 | Probing Primordial Chirality in the Matter Distribution
[arXiv] 2026-07-29 | Few-Shot Open-Set Audio Classification via Transductive Prototype Refinement and Class Logit Enhancement
[arXiv] 2026-07-29 | JEPADepth: Masked Predictive Representation Learning for Self-Supervised Monocular Depth Estimation
[arXiv] 2026-07-29 | Transient Detour and Cooperative Oxygen Exchange in the Polarization Switching of Ferroelectric Hf0.5Zr0.5O2
[arXiv] 2026-07-29 | Inapproximability of Unique-Machine Precedence Scheduling for Unit-Length Jobs
[arXiv] 2026-07-29 | CDN Tsunami: Exploiting HTTP/3-HTTP/1.1 Conversion for DoS Attacks
[arXiv] 2026-07-29 | R-SLPR: Region-based Small-to-Large Point-cloud Registration with Contrastive Learning
[arXiv] 2026-07-29 | Mode-Resolved Light Scattering Recovers Polymer Thermodynamics in Solutions with Trace Large-Mass Scatterers
[arXiv] 2026-07-29 | DC Josephson transport in a three-terminal Yu-Shiba-Rusinov system
[arXiv] 2026-07-29 | Where Detectors Fail: Closing the Tail-Domain Gap with Expert-Guided Mutual Distillation
[arXiv] 2026-07-29 | MedARC: Training-Free Adaptive Redundancy Compression of Visual Tokens for 3D Medical Vision-Language Models
[arXiv] 2026-07-29 | ThinkOmni: A Reasoning-Driven Omni-Modal LLM Framework for Audio Forgery Detection and Localization
[arXiv] 2026-07-29 | Intruder-driven mirror energy differences between $^{29}$Cl and $^{29}$Mg studied with antisymmetrized molecular dynamics
[arXiv] 2026-07-29 | A Persona-based Rate Action Index
[arXiv] 2026-07-29 | Static topological dilatonic black hole with multiple horizons and its thermodynamics
[arXiv] 2026-07-29 | Local asymptotics near a smooth boundary point and estimates for a hyperbolic-type metric
[arXiv] 2026-07-29 | The Art of Not Forgetting A Local Learning Architecture for Continual Learning
[arXiv] 2026-07-29 | HiFloat4 Format for End-To-End Reinforcement Learning Post-Training of Large Language Models
[arXiv] 2026-07-29 | BiHom-L-R-smash biproduct and BiHom-Yetter-Drinfel'd-Long category
[arXiv] 2026-07-29 | Safety-Gated Autoscaling: A Multi-Layered Defense Architecture for Kubernetes Vertical Resource Optimization
[arXiv] 2026-07-29 | An Efficient Algorithm for Computing Mountain Prominence in Almost Linear Time
[arXiv] 2026-07-29 | Revisiting Electron Heating in Capacitively Coupled Plasma (CCP) Discharges: A Nonlinear Dynamics Perspective
[arXiv] 2026-07-29 | A new theorem of alternatives leading to sufficient conditions for the superiorization guarantee question of Dynamic String-Averaging in the inconsistent case
[arXiv] 2026-07-29 | Same-spin Andreev reflections in the quantum Hall regime: the role of loss
[arXiv] 2026-07-29 | Quantum random number generation using spatial quantum noise of light
[arXiv] 2026-07-29 | A Receding Horizon Control For General Assembly Line Balancing Problems
[arXiv] 2026-07-29 | Finding diagonal logical gates in CSS codes and circuits
[arXiv] 2026-07-29 | CMT-RAG: Complementary Memory Traces for Multi-turn Multi-hop RAG
[arXiv] 2026-07-29 | Neural Architecture Search for Traffic Prediction: A Survey of Methods, Challenges, and Future Directions
[arXiv] 2026-07-29 | Exact solutions for static spherically symmetric spacetime with a perfect fluid in Rastall theory
[arXiv] 2026-07-29 | Evolution of hypersurfaces in $(n+1)$-dimensional light-cone
[arXiv] 2026-07-29 | DHRCL:Training Code LLMs with Dense Hierarchical Rewards and Curriculum Learning
[arXiv] 2026-07-29 | Energy-Efficient Access-Point Sleep-Mode Techniques for Cell-Free mmWave Massive MIMO Networks With Non-Uniform Spatial Traffic Density
[arXiv] 2026-07-29 | Phantom-divide crossing and suppressed structure growth in kinetically braided dark energy with momentum exchange
[arXiv] 2026-07-29 | Straightedge-and-Compass Constructibility of the Reciprocal-$k$-th-Power Law
[arXiv] 2026-07-29 | Explicit Note-Event Tokenization and Pitch-Validity Constrained Decoding for MIDI-to-Tablature Transcription
[arXiv] 2026-07-29 | Decoder-Guided Lossy Contour Coding Via Anchor Refinement
[arXiv] 2026-07-29 | Observations of a Solar Jet Triggered by Reconnection between Super-penumbral Fibrils and a Mini-filament
[arXiv] 2026-07-29 | Machine-Checked Certificates for the Geometric Half of the Minimum Kochen-Specker Bound
[arXiv] 2026-07-29 | Can We Trust AI in 6G? Verifiable and Auditable AI-Driven Trustworthy Wireless Networks
[arXiv] 2026-07-29 | Examining the Efficacy of Graph Neural Network Message-Passing in Regression Contexts
[arXiv] 2026-07-29 | Sensor-Placement-Agnostic Sonomyography: Toward Continuous High-Dimensional Control by Users with Tetraplegia
[arXiv] 2026-07-29 | Q-Steer: Action-Value Guidance for Molecular Policy Optimization
[arXiv] 2026-07-29 | "Nobody Did This": Contribution, Originality, and Accountability in Agent-Mediated Collaboration
[arXiv] 2026-07-29 | Zero-Fi: Zero-Shot Wi-Fi-Based Human Activity Recognition via Contrastive Signal-Language Alignment
[arXiv] 2026-07-29 | Thermal convection in 1, 2, 3 and 4 dimensions
[arXiv] 2026-07-29 | Self-dual double cyclic codes over $\mathbb{F}_q$
[arXiv] 2026-07-29 | Guaranteeing Hausdorff-Gromov-Hausdorff Equality for Metric Graphs
[arXiv] 2026-07-29 | MRCoder: An Efficient Context Selecting Approach for Repository-Level Code Generation
[arXiv] 2026-07-29 | FedTopo: Relation-Level Topology Sharing for Model-Heterogeneous Federated Learning
[arXiv] 2026-07-29 | PRISM-Net: Patient-specific reference-guided inter-breast symmetry matching for three-class breast DCE-MRI classification
[arXiv] 2026-07-29 | Joint State-Parameter Inference Enhances Estimation Performance in Model-Based Digital Therapeutics for Type 1 Diabetes
[arXiv] 2026-07-29 | Property-driven Causal Abstractions for Markov Decision Processes
[arXiv] 2026-07-29 | SkillRise: Agentic Reinforcement Learning for Cross-Task Skill Evolution
[arXiv] 2026-07-29 | Asymptotics of the spectral determinant of the weighted Laplacian for a sequence of compact Riemann surfaces of infinitely growing volume
[arXiv] 2026-07-29 | CodeSpec: Dual Executable Specifications for Agentic Long-Horizon Feature Development
[arXiv] 2026-07-29 | Possibilistic operators in Formal Concept Analysis as Kan extensions
[arXiv] 2026-07-29 | Journey Operators for Structured Multi-Axis Composition
[arXiv] 2026-07-29 | Hybrid quantum-classical end-to-end pipeline for solving MILPs: a vehicle routing case study
[arXiv] 2026-07-29 | See2Think: Do Multimodal Models Really Use Intermediate Visual States?
[arXiv] 2026-07-29 | MediaWiki Code2Code Search: Neural Retrieval for the Semantic Discovery of Open-Source Software Entities
[arXiv] 2026-07-29 | Searching for Robust Augmentations to Improve Out-of-Domain Generalization in Dermoscopic Skin Cancer Classification
[arXiv] 2026-07-29 | Relation Geometry in Semantic Space of Language Models
[arXiv] 2026-07-29 | Compactly supported radial basis functions as probability density functions
[arXiv] 2026-07-29 | Phoneme- vs. Character-Level Targets and Selective State-Space Models for Intracortical Brain-to-Text
[arXiv] 2026-07-29 | Image Recognition via Vaisman--Neifeld's Geometry
[arXiv] 2026-07-29 | Fluctuation force induced by quenched random polarizations
[arXiv] 2026-07-29 | An Attention-Based Framework for Alzheimers Disease Classification Using Resting-State fMRI
[arXiv] 2026-07-29 | A Dual-Mode FM/AM Modulator Based on a Time-Varying Inverting Integrator
[arXiv] 2026-07-29 | Dual Inversion for Text-to-Image Diffusion Models: From Both Prompt and Noise Perspectives
[arXiv] 2026-07-29 | CASIAL: Geometric Distortion Robust Image Watermarking
[arXiv] 2026-07-29 | From Individual to Shared Ownership: A Coalitional Game Approach to Sustainable Co-investment
[arXiv] 2026-07-29 | UrbanDS: A Graph-Guided LLM Multi-Agent System for Data-Intensive Urban Tasks
[arXiv] 2026-07-29 | DREvo: Distilling Recalibrated Historical Experience for Harness Self-Evolution
[arXiv] 2026-07-29 | An atomic criterion for irrationality without quantum computations
[arXiv] 2026-07-29 | ActSWM: Action-Sensitive World Models for Long-Horizon Planning in Open-World Games
[arXiv] 2026-07-29 | Generative AI Beyond Tokens: Quantum Resource Consumption of IQP Circuits
[arXiv] 2026-07-29 | Microscopic study of topological phase transitions: Percolation point of view
[arXiv] 2026-07-29 | Early Failure Prediction from Near-Anomaly Detection: A Proactive Approach
[arXiv] 2026-07-29 | Inviscid and fast rotation limit for dispersive generalized SQG equations
[arXiv] 2026-07-29 | Multi-scale radiomics in pelvic MRI for endometriosis subtyping: highlighting data heterogeneity constraints
[arXiv] 2026-07-29 | Tournaments determined by three and five voters
[arXiv] 2026-07-29 | On the higher algebraic $K$-groups of arithmetically equivalent number fields
[arXiv] 2026-07-29 | A Geometric CPVSM Framework: Dynamical Quark Mass Spurt with Explicit CP Violation in the Standard Mode
[arXiv] 2026-07-29 | OpenCSI: Self-Calibration Layer for Heterogeneous Mesh Wireless Sensor Networks
[arXiv] 2026-07-29 | Enfold: Folding World-Generator Computation into Predictive Representations for Efficient Embodied Control
[arXiv] 2026-07-29 | Graph Is the Verifier: Agentic Reinforcement Learning for Interprocedural Vulnerability Detection
[arXiv] 2026-07-29 | Physically Real-time Infrared Attack against Optical Flow Estimation Networks
[arXiv] 2026-07-29 | Contrastive ESA: Human Evaluation of Multiple Translations at Once
[arXiv] 2026-07-29 | TurboVLA: Real-Time Vision-Language-Action Model at 32 Hz on an RTX 4090 with <1 GB VRAM
[arXiv] 2026-07-29 | Fault-Tolerant Logical Operations and Efficient State Preparation in Modular Quantum Architectures with Noisy Interfaces
[arXiv] 2026-07-29 | Do You Really Need to Pretrain Q-Functions for Online RL Fine-Tuning?
[arXiv] 2026-07-29 | Settling the Optimal Exponent Relating Sumsets and Difference Sets
[arXiv] 2026-07-29 | HumanCLAW: Can Vision-Language Models Act Through a Body?
[arXiv] 2026-07-29 | The Social Cost of an AI Teammate: How an Artificial Teammate Reshapes Human-Human Communication in Small-Team Decision-Making
[arXiv] 2026-07-29 | Materials Behavior as Mechanism Ensembles: A Probabilistic Framework for Emergent Behaviors
[arXiv] 2026-07-29 | Anatomy Contextualized Adaption of CT Foundation Models
[arXiv] 2026-07-29 | MindForge: Teaching Small Language Models Whole-Life-Cycle Software Engineering via Source-Free Program Synthesis
[arXiv] 2026-07-29 | Parity-Based Time-Bin Encoding Enabling SWAP Between Polarization and Time-Bin Qubits
[arXiv] 2026-07-29 | DLAM: Distributional Latent Actions with Temporal Constraints
[arXiv] 2026-07-29 | KAMR: Grounding Generation via Knowledge-Aligned Multi-hop Retrieval
[arXiv] 2026-07-29 | On the second moment and non-vanishing of central values of Hecke $L$-functions of $r$-th order characters
[arXiv] 2026-07-29 | TactiPlay: Multi-Granularity Tactical Parsing and Video-Anchored Match Review for Amateur Badminton Players
[arXiv] 2026-07-29 | The spectrum of strict units of topological modular forms
[arXiv] 2026-07-29 | Towards Grounded GI Endoscopy VQA via Multi-Task Learning on Small VLMs
[arXiv] 2026-07-29 | The Keyl-Werner algorithm is not optimal for spectrum estimation
[arXiv] 2026-07-29 | SecRespond: Benchmarking AI Agents for Real-World Post-Compromise Incident Response
[arXiv] 2026-07-29 | Scalable Dynamic Optimal Transport via Distributed Linearized ADMM
[arXiv] 2026-07-29 | A New Paradigm for 3D Turbomachinery Design: Generative Diffusion Model Based Framework with Direct Geometry Encoding
[arXiv] 2026-07-29 | On the robustness of noisy solutions in non-convex neural networks
[arXiv] 2026-07-29 | Zero-Shot Face-to-Speech Synthesis via Latent Space Adaptation of a Style-Diffusion TTS Model
[arXiv] 2026-07-29 | Existence of a stable shrinker for the corotational harmonic map heat flow in higher space dimensions
[arXiv] 2026-07-29 | Inferring Magnetic Material Parameters from Statistical Measures in Strongly Fluctuating Magnetization Dynamics
[arXiv] 2026-07-29 | Conditional hypocoercivity for nonlinear kinetic Fokker--Planck equations
[arXiv] 2026-07-29 | A Low-Power Sparse Convolution Accelerator with Idle-First-Task-Assignment for Edge Vision
[arXiv] 2026-07-29 | Scanning Gate Microscopy Modulation of Supercurrent in Graphene Josephson Junctions
[arXiv] 2026-07-29 | Exploring Structures in Physics Problems: Can AI Agents Discover Statistical Mechanical Mappings?
[arXiv] 2026-07-29 | Neoplatonic solids
[arXiv] 2026-07-29 | Optimizing Efficiency and Convergence in MMRM: Practical Considerations for Longitudinal Data Analysis
[arXiv] 2026-07-29 | A Wireless Volumetric Metamaterial Resonator for Breast MRI
[arXiv] 2026-07-29 | Symphony of Bias: Exploring Gender Associations with Musical Instruments in Multimodal LLMs
[arXiv] 2026-07-29 | ReCo: Reweighting GRPO Against Distributional Concentration
[arXiv] 2026-07-29 | NeoRacer: An Open, Standardized 1:12 Scale Autonomous Race Car for Benchmarking and Education
[arXiv] 2026-07-29 | From Representations to Behaviors: Exploring the Person-Situation-Behavior Triad in LLMs
[arXiv] 2026-07-29 | ToxScreen: Detecting Whether an LLM Has Been Poisoned
[arXiv] 2026-07-29 | Tight Generalization Bound for AdaBoost
[arXiv] 2026-07-29 | Uniform Convergence of Generalized Conditional Fréchet Means with Applications to Weighted Fréchet Aggregation and Exceedance Set Estimation
[arXiv] 2026-07-29 | Language Models are not Equally Robust to Non-Canonical Tokenization across Languages
[arXiv] 2026-07-29 | Budget-Aware LLM Discovery via Cost-Calibrated Frontier Utility
[arXiv] 2026-07-29 | AI as Friction for Reflection Support in Ideation
[arXiv] 2026-07-29 | From Found to Designed: Concepts as a Design Axis for Large Language Models
[arXiv] 2026-07-29 | Optimizing the extraction of information from redshift probability distribution functions
[arXiv] 2026-07-29 | From Uncertainty to Determinism: Coarse-to-Fine Visual Floorplan Localization without Ray Matching
[arXiv] 2026-07-29 | Minimax adaptive control for finite sets of positive linear systems
[arXiv] 2026-07-29 | Limit cubic laminations
[arXiv] 2026-07-29 | Practice Makes Policies: Bootstrapping and Consolidating Robotic Capabilities from Zero Human Demonstrations
[arXiv] 2026-07-29 | Route by Kinematics, Act by Observation: Kinematics-Supervised Expert Routing in MoE-Augmented VLA
[arXiv] 2026-07-29 | Disentangling bulk and surface states in the electronic structure of PtBi$_2$(0001)
[arXiv] 2026-07-29 | Crossing-Free Probabilistic K-Line Forecasts Without Retraining
[arXiv] 2026-07-29 | Stable and Budget-Feasible Coalition Formation for Clustered Federated Learning: A Hedonic Potential-Game Approach
[arXiv] 2026-07-29 | Invariant forms compute the Dolbeault cohomology of complex nilmanifolds
[arXiv] 2026-07-29 | Enhancing Generative Information Extraction with Two-step Validation: A Product Attribute Use Case
[arXiv] 2026-07-29 | Twin reflections from a moving space-time boundary
[arXiv] 2026-07-29 | Long-Tailed 3D Point Cloud Dataset Distillation
[arXiv] 2026-07-29 | On the Betti numbers, Poincaré polynomials, and Euler characteristics of $\overline{\mathcal M}_{0,n}$
[arXiv] 2026-07-29 | Bouncing Cosmology and Cosmological Dynamics in $f(Q,T)$ Gravity
[arXiv] 2026-07-29 | Demonstration of a High-Q Subwavelength Dielectric Nanocylinder
[arXiv] 2026-07-29 | Domain adaptation for handwriting trajectory reconstruction from IMU sensors
[arXiv] 2026-07-29 | Online Handwriting Trajectory Reconstruction from Kinematic Sensors using Temporal Convolutional Network
[arXiv] 2026-07-29 | Platicon purification in self-injection locking regime via gain switching
[arXiv] 2026-07-29 | AtmosERC: Modeling Dialogue-Level Affective Atmosphere for Emotion Recognition in Conversation
[arXiv] 2026-07-29 | FreeShadow: Training-Free Shadow Removal via Illumination Transfer and Selective Content Preservation in Diffusion Models
[arXiv] 2026-07-29 | Mixture-of-experts for handwriting trajectory reconstruction from IMU sensors
[arXiv] 2026-07-29 | Strongly linearly convex exhaustion of $\mathbb C$-convex domains with $\C^{1,α}$ boundary
[arXiv] 2026-07-29 | An Informativeness-based Clustered Federated Learning Method for Reliable Traffic Prediction in Managed Wi-Fi Networks
[arXiv] 2026-07-29 | UAV Swarming for Air-Ground ISAC via Cross-Region Cooperation
[arXiv] 2026-07-29 | Quantum model reduction based on Oja's flow
[arXiv] 2026-07-29 | On the decay estimates of a nonlocal convection-diffusion Hamer system
[arXiv] 2026-07-29 | Computational Study of Water Adsorption and Dissociative Mechanisms Impacting g-C3N4's Optical and Electronic Properties
[arXiv] 2026-07-29 | Stabilized Morley FEM for surface Stokes in stream-function formulation: Optimal convergence via a new geometric estimate
[arXiv] 2026-07-29 | The Sparsity Ceiling: Where Spiking Networks Can and Cannot Trade Activity for Energy
[arXiv] 2026-07-29 | Rethinking Self-Evolution: A Constrained Exploration-Exploitation Process for Mitigating Skill Overfitting
[arXiv] 2026-07-29 | Borrowed Strength: Best-of-N Search over a Code EncodingBreaks Self-Check Jailbreak Defenses
[arXiv] 2026-07-29 | Filesystem-Based Memory for LLM Agents: Organization, Evolution, and Sustainability
[arXiv] 2026-07-29 | Mesh-dependent iteration count growth in primal-dual active set strategies
[arXiv] 2026-07-29 | WhisperRec: Latent Reasoning for Efficient Foundation Recommendation Models
[arXiv] 2026-07-29 | Integral Representations for Interface Problems for the Barenblatt-Sobolev-Galpern Pseudoparabolic Equation
[arXiv] 2026-07-29 | Interaction-induced sign reversal of the orbital magnetic susceptibility in Chern insulators
[arXiv] 2026-07-29 | Detecting seizure onset and offset times using human intelligence: A critical-transitions-based approach
[arXiv] 2026-07-29 | Rainfall is rough
[arXiv] 2026-07-29 | Combinatorial Bounds for Codes over Metric Spaces: Ramsey-Sidorenko Thresholds and Subgraph Counts
[arXiv] 2026-07-29 | Geometric Properties of Higher Dimensional Solenoidal Attractors
[arXiv] 2026-07-29 | Where does the criticality live? Early-warning signals are event-heterogeneous across seven crypto-perpetual liquidation cascades
[arXiv] 2026-07-29 | Visual Credit Audit for Multimodal Spatial Reasoning
[arXiv] 2026-07-29 | The {K}aplan--{M}eier estimator as a limit function of {E}fron's self-consistency iterations
[arXiv] 2026-07-29 | Magnetophotonic crystals with antiferromagnetic order
[arXiv] 2026-07-29 | Optimising Trotter-Suzuki Simulations of Markovian Open Quantum Systems via Classical Search
[arXiv] 2026-07-29 | Tight Stability Estimates Near the Simplex and Improved Bounds for the Diameter of the Banach-Mazur Compactum in Fixed Dimensions
[arXiv] 2026-07-29 | SNT-Rank: Kronecker Products and Euclidean Distance Matrices
[arXiv] 2026-07-29 | Kuroda's Class Number Formula
[arXiv] 2026-07-29 | Rotating mirror with all-directional pinch compressions - The beauty and simplicity in controlled nuclear fusion
[arXiv] 2026-07-29 | Mean curvature and sharp Willmore inequalities in metric spaces
[arXiv] 2026-07-29 | Lipschitz continuity of harmonic maps between ${\rm RCD}(K,N)$ spaces and ${\rm CAT}(κ)$ spaces
[arXiv] 2026-07-29 | Universality of dual mass-scaled fundamental modes in two-fluid neutron stars with mirror dark matter
[arXiv] 2026-07-29 | Algorithms for Linear Ordinary Differential Operators
[arXiv] 2026-07-29 | Constraining the shape of dark matter haloes using only starlight II. Tests of the technique with objects of known gravitational potential
[arXiv] 2026-07-29 | Theory of phonon-magnon hybridization and angular momentum in CrI$_3$ and CrBr$_3$
[arXiv] 2026-07-29 | InkShield: Writing Style Protection Against Unauthorized Handwriting Mimicry
[arXiv] 2026-07-29 | Constraints from parallaxes and average period spacings in the asteroseismic study of 8 DAVs
[arXiv] 2026-07-29 | Finite-Time Chaos Diagnostics and Noise-Induced Basin Merging in a Two-Dimensional Map
[arXiv] 2026-07-29 | Gamow shell model description of the hypernuclei
[arXiv] 2026-07-29 | A Simple Robust Procedure in Instrumental Variables Regression
[arXiv] 2026-07-29 | Assurance-Scoped Reliability for Agentic Networks: Capturing the State That Matters
[arXiv] 2026-07-29 | Instability-induced bistable shape-morphing kirigami structures
[arXiv] 2026-07-29 | Surrogate assisted diversity estimation in neural ensemble search
[arXiv] 2026-07-29 | J-PAS & FLAMINGO: Cosmic voids and void galaxies in the gravitational landscape of photometric surveys
[arXiv] 2026-07-29 | Extended Phase Space Thermodynamics and Joule-Thomson Expansion of Regular AdS Black Holes in a String Cloud
[arXiv] 2026-07-29 | A topological interpretation of numbers
[arXiv] 2026-07-29 | Boundary-Driven Anisotropic Coarsening in Conserved Phase Separation
[arXiv] 2026-07-29 | BioVLN: A Simulation Platform for Visual Language Navigation in Biomedical Laboratories
[arXiv] 2026-07-29 | Fractal Remez inequality on the sphere and observability of the heat equation
[arXiv] 2026-07-29 | Revival of transport reciprocity via quantum interference in asymmetric nonlinear devices
[arXiv] 2026-07-29 | Exact Lagrangian Realization and Robust Strain Sensing in Incompressible Flow
[arXiv] 2026-07-29 | Beyond Action Imitation: Learning a Decision-Aware User Simulator for Online Advertising
[arXiv] 2026-07-29 | The Lie algebra generated by gradient vector fields
[arXiv] 2026-07-29 | SERPO: Self-Evolving Rubric Policy Optimization for Open-Ended Test-Time Reinforcement Learning
[arXiv] 2026-07-29 | Gravitational bremsstrahlung waveform at the eighth post-Minkowskian order in the extreme-mass-ratio limit
[arXiv] 2026-07-29 | First- and Second-Order Phase Transformation Modeling Based on the Hamilton Principle: A Coupled Thermo-Mechanical Approach for Glass Additive Manufacturing
[arXiv] 2026-07-29 | ASARL: Autonomous Social-Aware Relevance Learning for QQ Search
[arXiv] 2026-07-29 | MultiFixer: A Coordinator-Proposer Based Multi-Agent Framework For Fixing Multi-Hunk Bugs
[arXiv] 2026-07-29 | One Run Is Not an Idea: The Implementation Lottery in Automated Research
[arXiv] 2026-07-29 | Level, Sharpness, and Corpus: Why Zero-Shot OOD Detector Rankings Do Not Transfer
[arXiv] 2026-07-29 | Stochastic Scalar Conservation Laws on Moving Hypersurfaces
[arXiv] 2026-07-29 | In Search of the Most Balanced Sampling Design
[arXiv] 2026-07-29 | Impact of microlens shape on the performance of Laser Guide Star wavefront sensors for ELT-class telescopes
[arXiv] 2026-07-29 | HARMONI@ELT: instrument design, performance, and science capabilities
[arXiv] 2026-07-29 | Fuglede's Conjecture on Cyclic Groups of Square-Free Order: The Case of Rapidly Growing Prime Factors
[arXiv] 2026-07-29 | Secure Relay Low-Altitude Networks via Hybrid Fixed-Position and Rotatable Antenna Arrays
[arXiv] 2026-07-29 | EgoSafe: A First-Person Mobile-Captured Benchmark for Visual Safety Understanding
[arXiv] 2026-07-29 | Explicit Kinematic Guidance from Analytic Concepts for Vision-Language-Action Models
