[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[ACM] 2026-8-6 | C-iVAE: Causal Structure-Aware Identifiable VAE for Tabular Data with Limited Environments
[ACM] 2026-8-6 | Force-Recovered Neural Operators for Coupled Structures with Test-Time Closure Calibration
[ACM] 2026-8-7 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[ACM] 2026-8-6 | Deterministic-Allocation and Anonymous Joint Advertising in E-commerce Platforms
[ACM] 2026-8-6 | IonoFM: Multimodal Self-Supervised Learning for Ionospheric Monitoring and Prediction
[ACM] 2026-8-6 | Reinforcement Learning with Scenario-Context Rollout in Portfolio Management
[ACM] 2026-8-7 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[ACM] 2026-8-6 | <scp>SimCoachCorpus:</scp>
                    A Naturalistic Dataset with Language and Trajectories for Embodied Teaching
[ACM] 2026-8-6 | Balanced Multimodal Federated Learning: An Efficient and Noise-Resilient Approach
[ACM] 2026-8-7 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[ACM] 2026-8-6 | Multi-Modal Hierarchical Retrieval-Augmented Generation for Document Question Answering
[ACM] 2026-8-6 | AIGQ: An End-to-End Hybrid Generative Architecture for E-commerce Query Recommendation
[ACM] 2026-8-7 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[ACM] 2026-8-6 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[ACM] 2026-8-6 | GDPTN: Econometrics-Informed Deep Generative Forecasting for Large-Scale Censored Panel Data
[ACM] 2026-8-7 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[ACM] 2026-8-6 | MoE-Pointer: Seq2Seq Reinforcement Learning for Dynamic Multi-Echelon Pickup-and-Delivery with Courier-Drone Relay
[ACM] 2026-8-6 | UrbanGraphEmbeddings: Learning and Evaluating Spatially Grounded Multimodal Embeddings for Urban Environments
[ACM] 2026-8-6 | SAASBench: A Synthetic Antibody–antigen Specificity Benchmark
[ACM] 2026-8-6 | Beyond Reaction Data: Learning Chemical Knowledge from Large-Scale Molecules for Retrosynthesis
[ACM] 2026-8-7 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[ACM] 2026-8-6 | LLM-based Evaluation Policy Extraction for Ecological Modeling
[ACM] 2026-8-6 | Both Topology and Text Matter: Revisiting LLM-guided Out-of-Distribution Detection on Text-attributed Graphs
[ACM] 2026-8-7 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[ACM] 2026-8-7 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[ACM] 2026-8-6 | VCAgent: A Mutation-Guided Self-Reflective Agent Framework for Virtual Cell Modeling
[ACM] 2026-8-6 | OpenAqua: A Large-Scale Fine-Grained Dataset and Benchmark for Open Underwater Visual Perception
[ACM] 2026-8-7 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[ACM] 2026-8-6 | CEComBench: Benchmarking Large Language Models' performance on Chinese E-commerce tasks
[ACM] 2026-8-6 | Training-free Truthfulness Detection via Sparse MLP Value Vectors
[IEEE] 2026-8-6 | A Survey on UAV-Assisted Wireless Communications for Future Networks
[IEEE] 2026-8-6 | Large-Scale MIMO for Satellite Communications: Opportunities and Challenges
[IEEE] 2026-8-6 | SYNAPSE: Privacy-Constrained Diagnosis-Aware Exercise Recommendation with Synthetic Data
[IEEE] 2026-8-6 | Authenticating and Authorizing the Caller: A Defense Mechanism Against Caller ID Spoofing
[IEEE] 2026-8-6 | Obstacle-Aware Interpolation for Real-Time Radio Map Generation in Smart Factories
[IEEE] 2026-8-6 | Neural Fitting for Sparse Radio Map Construction in LEO Satellite Network
[IEEE] 2026-8-6 | Graph-Based Modelling and Prediction of Adversary Behaviour from Honeypot Traces
[IEEE] 2026-8-6 | Risk Management Framework for LLM-Enabled Identity Tools: Mapping OWASP LLM Top 10 to NIST CSF 2.0
[IEEE] 2026-8-6 | AIRC 2026 Cover Page
[IEEE] 2026-8-6 | Dynamic Object-Based Point Cloud Registration for Roadside LiDAR Calibration in Low-Overlap Outdoor Deployments
[IEEE] 2026-8-6 | Robust Optimal Formation Control in Connected Autonomous Surface Vehicles with Multiple Objectives and Input Dead-Zones
[IEEE] 2026-8-6 | WoRMA 2026 Keynotes
[IEEE] 2026-8-6 | Quantum Attention Mechanisms: Architectures, Measurement Overhead, and Empirical Evidence
[IEEE] 2026-8-6 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits
[IEEE] 2026-8-6 | Deep Neural Networks for Inverse Kinematics with Multi-Valued Solution Spaces: Limitations and Hybrid Learning–Optimization Approach
[IEEE] 2026-8-6 | A 11.6–27.7-GHz Frequency Doubler With Stack Harmonic Feedback Achieving 18.8% Total Efficiency
[IEEE] 2026-8-6 | NewbornTimeLine: Automated Video-Based Timelines for Neonatal Resuscitation in a Hospital Pilot Study
[IEEE] 2026-8-6 | Cybersecure and Privacy-Aware Governance Framework with Face Verification ID in Digital Public Infrastructure Toward a Trusted and Secure Digital Society: A Systematic Literature Review
[ACM] 2026-8-6 | Trustworthy LLM-Based Agents for Data-Centric AI
[ACM] 2026-8-6 | Interactive Recommendation Agent with Active User Commands
[ACM] 2026-8-6 | Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation
[ACM] 2026-8-6 | TCG-LLM: Physics-aware Fine-tuning with Quality-based Reward Shaping for Tropical Cyclogenesis Detection and Localization
[ACM] 2026-8-6 | Integrating Inductive Biases in Transformers via Distillation for Financial Time Series Forecasting
[ACM] 2026-8-6 | Beyond Time Series: Spatial Reasoning for Epidemic Forecasting via Multimodal Learning
[ACM] 2026-8-6 | FairTraj: Density-Aware Generative Data Augmentation for Fairness in Downstream Trajectory Learning Tasks
[ACM] 2026-8-7 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[ACM] 2026-8-6 | GREPO: A Benchmark for Graph Neural Networks on Repository-Level Bug Localization
[ACM] 2026-8-6 | RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation
[ACM] 2026-8-6 | Lightweight Wrappers for Adapting Time Series Foundation Models to Regional Drought Forecasting
[ACM] 2026-8-6 | ECHO: Adaptive Community Search over Multimodal Graphs
[ACM] 2026-8-6 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[ACM] 2026-8-6 | Scalable Multi-Action Offline Policy Learning with an
                    <i>m</i>
                    -ary Tree
[ACM] 2026-8-6 | X-VORTEX: Spatio-Temporal Contrastive Learning for Wake Vortex Trajectory Forecasting
[ACM] 2026-8-6 | Dual-Difficulty Curriculum Learning for Direct Preference Optimization
[ACM] 2026-8-6 | HD-Prot: A Protein Language Model for Joint Sequence-Structure Modeling with Continuous Structure Tokens
[ACM] 2026-8-6 | Hierarchical Causal Model for Multimodal Single-cell Data Integration and Prediction
[ACM] 2026-8-6 | PRIME: A Pretrained Representation-Induced Model for 3D Molecules in De Novo Binder Design
[ACM] 2026-8-6 | Native Hierarchical and Compositional Representations with Subspace Embeddings
[ACM] 2026-8-6 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[ACM] 2026-8-6 | <scp>MirrorBench:</scp>
                    A Benchmark to Evaluate Conversational User-Proxy Agents for Human-Likeness
[ACM] 2026-8-6 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
[ACM] 2026-8-7 | Multi-Hop Diffusion-Wavelet Semantic Learning for Zero-Shot Circrna-Mirna Interaction Prediction
[ACM] 2026-8-7 | MixLM: High-Throughput and Effective LLM Ranking via Text-Embedding Mix-Interaction
[ACM] 2026-8-6 | CTIConnect: A Benchmark for Retrieval-Augmented LLMs over Heterogeneous Cyber Threat Intelligence
[ACM] 2026-8-6 | The Pitfall of Scaling Up: Uncovering and Mitigating Popularity Bias Amplification in Scaling Transformer-based Recommenders
[ACM] 2026-8-6 | Rethinking Weak Supervision in Anomaly Detection: A Comprehensive Benchmark
[ACM] 2026-8-7 | DICE: Dynamic In-Context Example Selection in LLM Agents via Efficient Knowledge Transfer
[ACM] 2026-8-6 | Backward Compatibility in Tree-Based Explanations and Enhanced CART Algorithm
[ACM] 2026-8-6 | SaFRO: Satisfaction-Aware Fusion via Dual-Relative Policy Optimization for Short-Video Search
[ACM] 2026-8-6 | Geometry-aware Test-Time Adaptation on Graphs
[ACM] 2026-8-6 | Geometry-First Generative Spatial Single-Cell Reconstruction
[ACM] 2026-8-6 | CoRGI: GNNs with Convolutional Residual Global Interactions for Lagrangian Simulation
[ACM] 2026-8-6 | Compass: Navigating Global Marine Lead Data Integration through Expert-Guided LLM Agent
[ACM] 2026-8-6 | FedTail-DT: A Dual-Teacher Framework for Long-Tailed Heterogeneous FL with CLIP Prototypes and Adaptive Aggregation
[ACM] 2026-8-7 | Slowing Down Forgetting in Continual Learning: Evidence from Manufacturing
[ACM] 2026-8-6 | MMSep: Efficient Multimodal Long-Generation Reasoning via Multimodal Separator Compression
[ACM] 2026-8-7 | {GS-Fuse}: Granger-Supervised Gated Fusion and Multi-Granularity Alignment for Event-Driven Financial Forecasting
[ACM] 2026-8-7 | Online Learning for Wild Streaming Data with Delayed Feedback
[ACM] 2026-8-7 | UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning
[ACM] 2026-8-6 | SemStruct: Contextualizing Semantic Embeddings with Structural Information for Schema Matching
[IEEE] 2026-8-6 | Fault Diagnosis of Networked Time Petri Nets With Communication Delays
[IEEE] 2026-8-6 | SSH-Net: Symplectic-Inspired Discrete Dynamic Evolution for Hyperspectral Image Classification
[IEEE] 2026-8-6 | Evaluation of Rotor Tolerances in Iron- and Air-Cored Halbach PM Machines
[IEEE] 2026-8-6 | MT-REN: An Energy-Efficient Metric–Topology-Fusion Reconfigurable End-to-End GVD-NeuroSLAM Accelerator for Autonomous Microrobots
[IEEE] 2026-8-6 | Watch, Localize and Answer: Actom-Centric Video Large Language Models
[IEEE] 2026-8-6 | SWAN: Synergistic Wavelet-Attention Network for Infrared Small Target Detection
[IEEE] 2026-8-6 | IEEE Innovation Testbed
[IEEE] 2026-8-6 | Q-Learning Based Graphical Tuning of ADRC Parameters: Hardware Implementation on a DC-DC Boost Converter
[IEEE] 2026-8-6 | Mathworks—Medical
[IEEE] 2026-8-6 | A Secure Hierarchical Federated Learning Architecture for UAV-Enabled Edge Computing Systems
[IEEE] 2026-8-6 | LAVA-Control: Stable Cost-Aware Intelligence Density Adaptation for Distributed IDS in Heterogeneous IoT Networks
[IEEE] 2026-8-6 | Real-Time Deepfake Threat Detection: Benchmarking Lightweight Audio Forensics Against SOTA Video and Hybrid Architectures
[IEEE] 2026-8-6 | Roadmap to Wearable Biosensors for Continuous Monitoring of Biomarkers in Sweat: Next-Generation Sweat Biosensing
[IEEE] 2026-8-6 | HG-Probe: A Safety-Bounded Evidence Layer for LLM-Guided Web/API Security Testing
[IEEE] 2026-8-6 | Shared Data Intelligence-Driven Multi-Task Prediction for Efficient Resource Utilization in 6G Networks
[IEEE] 2026-8-6 | Quantum-Resistant RLWE Based Authentication Scheme for Space-Air-Ground-Integrated Network
[IEEE] 2026-8-6 | Security risk assessment in distributed systems made practical: Application to a real-world mobility system
[IEEE] 2026-8-6 | Study on Cybersecurity for LLM Systems
[IEEE] 2026-8-6 | A RSSI Attenuation Model Considering Incident Angle and Wall Thickness in Indoor Environments
[IEEE] 2026-8-6 | From Cyber Threat to Political Action: The Identity and Motivations Presented by Anonymous Sudan for DDoS Attacks
[IEEE] 2026-8-6 | LLM-Assisted Network Management for Digital Twin-Enabled 5G Systems
[IEEE] 2026-8-6 | Middleware Topology Comparison for Automotive Zonal Architectures: Zenoh, DDS, and Zenoh-Bridged DDS
[IEEE] 2026-8-6 | High-sensitivity seawater temperature measurement based on core-offset microchannel sensing structure
[IEEE] 2026-8-6 | Minimum Rate Maximization for BD-RIS Networks with Time-Varying Channels
[IEEE] 2026-8-6 | Adaptive Kinematic Masking for Urban Human Activity Recognition Using UWB Radar: A Sim2Real Approach
[IEEE] 2026-8-6 | S2R-LiteInfer: A Lightweight Inference-Driven Sim2Real Domain Adaptation Framework for Distributed Cooperative Perception
[IEEE] 2026-8-6 | Spatio-Temporal Kernel Density Estimation for Streaming Time-Varying Data
[IEEE] 2026-8-6 | ReCIL: Rehearsal-Based Class Incremental Learning for Cross-Subject Motor Imagery Classification
[IEEE] 2026-8-6 | Distributed Fixed-Time Cooperative Transport of Multiscene Aero-Disturbed UAVs-Payload Systems Via a Predefined-Time Collision Strategy
[ACM] 2026-8-6 | <scp>Kairos:</scp>
                    Time-Sensitive Scheduling for Ad-Oriented ML Workloads with Heterogeneous Time-Utility Functions
[ACM] 2026-8-7 | Generalizing GNNs with Tokenized Mixture of Experts
[ACM] 2026-8-6 | Scalable and Traceable Joint Uplift Modeling for Multi-Lever Online Marketing
[ACM] 2026-8-6 | Self-Regulating Prompt Expansion for Continual Learning
[ACM] 2026-8-6 | The International Workshop on AI for Cognitive and Mental Health Support
[ACM] 2026-8-6 | CanonFedRec: A Canonical Geometric Framework for Personalized Federated Recommendation
[ACM] 2026-8-6 | Revisiting Graph Autoencoders as Implicit Contrastive Learners
[ACM] 2026-8-6 | Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2
[ACM] 2026-8-6 | AFLiP: An Access-Recomputation Decoupling Framework for Efficient and Structure-Preserving GNN-based Link Prediction
[ACM] 2026-8-6 | Structured Task Alignment for Multi-Objective Learning to Rank
[ACM] 2026-8-6 | MOSIC: Model-Agnostic Optimal Subgroup Identification with Multi-Constraint for Improved Reliability
[ACM] 2026-8-6 | CR-Aug: Community Risk-Guided Adaptive Augmentation for Semi-supervised Graph Anomaly Detection
[ACM] 2026-8-6 | A Data-Centric Decomposition of Estimator Performance in Continuous Treatment Effect Estimation
[ACM] 2026-8-6 | RoDAC: A Robust Data-centric Anti-Cheat Framework for Fair Online Competitive Gaming
[ACM] 2026-8-6 | FlightGen: Controllable Flight Trajectory Generation with Physics-Constrained Diffusion
[ACM] 2026-8-6 | Tensor Methods: A Unified and Interpretable Approach for Material Design
[ACM] 2026-8-6 | SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization
[ACM] 2026-8-6 | Multi-TAP: Multi-criteria Target Adaptive Persona Modeling for Cross-domain Recommendation
[ACM] 2026-8-6 | OOD-GraphLLM: Graph Large Language Model for Out-of-Distribution Generalized Drug Synergy Prediction
[ACM] 2026-8-6 | DEGR: Dual Exploration-Driven Generative Re-Ranking for Adaptive Cross-Request Context Bridging
[ACM] 2026-8-7 | Artificial Social Intelligence
[ACM] 2026-8-6 | Driving Reaction Trajectories via Latent Flow Matching
[ACM] 2026-8-6 | <scp>Optimas</scp>
                    : An Intelligent Analytics-Informed Generative AI Framework for Performance Optimization
[ACM] 2026-8-6 | StaR: Stateful Dynamic-Graph Root Cause Analysis through Memory-Enhanced Causality Discovery
[ACM] 2026-8-6 | <scp>DDIAgents:</scp>
                    Mechanism-Conditioned Context Flow for Drug-Drug Interaction Prediction
[ACM] 2026-8-6 | Towards Universal Spatial Transcriptomics Super-Resolution: A Generalist Physically Consistent Flow Matching Framework
[ACM] 2026-8-6 | TCRTSdesign: End-to-End Co-Design of Antigen-Specific TCR Sequences and Structures
[ACM] 2026-8-7 | EHRBench: An Automated and Reliable EHR-based Benchmark for Clinical Decision Making with LLMs
[ACM] 2026-8-6 | Relaxed Bipartite Matching with Structural Inertia for Efficient Diffusion
[ACM] 2026-8-6 | CaCuTe: Casual Cubic-Model Technique for Faster Optimization
[ACM] 2026-8-7 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[ACM] 2026-8-6 | Take Control of Censoring, Generate Real-World Like Synthetic Data
[ACM] 2026-8-6 | FuXi-Linear: Unleashing the Power of Linear Attention in Long-term Time-aware Sequential Recommendation
[ACM] 2026-8-6 | BatteryMFormer: Multi-level Learning for Battery Degradation Trajectory Forecasting
[ACM] 2026-8-6 | ThermEval: A Structured Benchmark for Evaluation of Vision-Language Models on Thermal Imagery
[ACM] 2026-8-6 | Learning to Evaluate: Cost-Effective Model Evaluation on Unlabeled Data with Meta-Learning
[ACM] 2026-8-7 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[ACM] 2026-8-6 | The KDD 2026 Panel Beyond Scaling---What Will Define the Next Decade of AI? New Frontiers in Knowledge Discovery from Data
[ACM] 2026-8-6 | Rewarding the Scientific Process: Process-Level Reward Modeling for Agentic Data Analysis
[ACM] 2026-8-6 | AI-Assisted Variance Reduction in Randomized Experiments
[ACM] 2026-8-6 | Experimentation for Different Scheduling Policies on Queues: Mixed Differences-in-Q Estimators Based on Little's Law
[ACM] 2026-8-6 | HeimdaLLM: Efficient Cloud-assisted Federated Fine-tuning with Zeroth-Order Rectification for LLMs
[ACM] 2026-8-7 | FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation
[ACM] 2026-8-7 | MEMTS: Internalizing Domain Knowledge via Parameterized Memory for Retrieval-Free Domain Adaptation of Time Series Foundation Models
[ACM] 2026-8-6 | Chem-R: Learning to Reason as a Chemist
[ACM] 2026-8-6 | Atomic Intent Reasoning: Bringing LLM Semantics to Industrial Cross-Domain Recommendations
[IEEE] 2026-8-6 | Bias-Aware FP8 Format for Efficient Weight Representation in Post-Training Quantization
[IEEE] 2026-8-6 | Few-Sample GNSS Environment Recognition via LLM-Based Physical-Semantic Distillation and Test-Time Adaptation
[IEEE] 2026-8-6 | CTLSL: A Robust Underwater Target Localization in Stratified and Perturbed UIoT Environments_supp1-3720542.pdf
[IEEE] 2026-8-6 | Author Index
[IEEE] 2026-8-6 | SM-FSL: Similarity Guided Multi-Source Few-Shot Learning for Lung Ultrasound Diagnosis
[IEEE] 2026-8-6 | Wavelet Decoupling and Fusion Network for Aero-Engine Blade Defect Detection
[IEEE] 2026-8-6 | LMI Synthesis of Multivariable Current Controllers for AC/AC Modular Multilevel Converters
[IEEE] 2026-8-6 | On Investigation of Interference and its Cancellation Using Statistical Embedding in cGAN Architecture for Rate Splitting Mixed RF/FSO Relaying Systems
[IEEE] 2026-8-6 | Vibration Based Condition Classification of ASTM C93900 Bronze Plain Bearing Bushings Using Deep Learning
[IEEE] 2026-8-6 | Towards Intelligent and Adaptive Multi-Agent Slicing in Maritime Networks
[IEEE] 2026-8-6 | Satellite-terrestrial Passive Wireless Communication Using Programmable Metasurface
[IEEE] 2026-8-6 | Evolution of Curing Induced Stress in Cycloaliphatic Epoxy Composite Insulators: Comparative Insights from Linear Elastic and Viscoelastic Models_supp1-3720347.pdf
[IEEE] 2026-8-6 | An O-RAN-Assisted MARL Approach for Dynamic Sidelink and Infrastructure Selection in V2X Communications
[IEEE] 2026-8-6 | A Multi-Modal Seismic Attenuation Compensation Based on Shallow-Dominant Attenuation Collaborative Mapping
[IEEE] 2026-8-6 | CDNet:Cascade decoupled network for end to end Person Search
[IEEE] 2026-8-6 | Cross-Modal Gated Fusion for Joint Anomaly Detection and Fault Category Diagnosis in Distributed Systems
[IEEE] 2026-8-6 | Enhanced Contention-Based Random Access for 5G NR and Beyond: Supporting NES
[IEEE] 2026-8-6 | Adaptive PSO Algorithm for Cooperative Multi-UAV Path Planning in Disaster Relief
[IEEE] 2026-8-6 | GATv2+LP: GATv2-Based WSS Topology Design with Link Pruner for Datacenter Network
[IEEE] 2026-8-6 | From Synchronized Testbed to MaskForceNet: End-to-End Force Estimation for Neurovascular Guidewires
[IEEE] 2026-8-6 | Holographic-ELAA-Enabled Near-Field ISAC: A Sensing-Centric Beamforming Design
[IEEE] 2026-8-6 | Energy-Aware Online Fog Scheduling for Mixed Agricultural Sensing Platforms
[IEEE] 2026-8-6 | Corrections to “A Systematic Open Source Modeling Method for Energy and Power Systems: Solar PV Application”
[IEEE] 2026-8-6 | An Efficient Image Dehazing Algorithm using Wavelength-Based Transmission Rate Estimation for Edge Applications
[IEEE] 2026-8-6 | FPGA-Enabled Design for per-Stream Processing in Asynchronous Traffic Shaping for TSN
[IEEE] 2026-8-6 | A Stability-Driven Clustering Scheme for Uninterrupted Federated Learning in UAV Networks
[IEEE] 2026-8-6 | TATM: A Proactive Flow-Aware Buffer Allocation Framework for Efficient Micro-Burst Absorption in Commodity Switches of 5G Networks
[IEEE] 2026-8-6 | CCGP: A Cooperative Coevolutionary Cartesian Genetic Programming Algorithm for Finite State Machine Synthesis
[IEEE] 2026-8-6 | Edge-AI Enabled Real-Time Multi-Camera Casualty Detection and Tracking for Military IoT
[IEEE] 2026-8-6 | Implementation of a ZSM-Based Network Agent for Automated Traffic Detection and Unified Data Collection in Multi-Generation Networks
[IEEE] 2026-8-6 | pFedRadar: Personalized Federated Learning for Radar-based Human Activity Recognition
[IEEE] 2026-8-6 | Generalized Query-Oriented Image Semantic Coding Empowered by Large AI Models and Semantic-Aware Hybrid Beamforming
[IEEE] 2026-8-6 | A Spatial–Spectral Denoising Algorithm for Accurate Temperature and Emissivity Retrieval from Airborne Thermal Infrared Hyperspectral Data
[IEEE] 2026-8-6 | IEEE Conversation
[IEEE] 2026-8-6 | APS-SA: Adaptive Proposal Scaling Simulated Annealing-Based Calibration for SAR ADC
[IEEE] 2026-8-6 | AIA-UltraNeRF: Acoustic-Impedance-Aware Neural Radiance Field with Hash Encodings for Robotic Ultrasound Reconstruction and Localization
[IEEE] 2026-8-6 | Fuzzy Alignment Resolves Visual Representations From 1024-Channel Brain Recordings_supp1-3691203.pdf
[IEEE] 2026-8-6 | Wavelet-Guided Frequency Decoupling for Channel-Robust UAV RFFI
[IEEE] 2026-8-6 | S2FNet: Spatial-Spectral-Frequency Network for Few-Shot Hyperspectral Image Classification via Frequency Domain Prompt Pool
[IEEE] 2026-8-6 | Adaptive Missing-Sensitive Attention Network for Wind Turbine Fault Diagnosis and Early Warning With Incomplete SCADA Data
[IEEE] 2026-8-6 | AIRC 2026 Author Index
[IEEE] 2026-8-6 | Organizing Committee
[IEEE] 2026-8-6 | An Efficient Wood Defect Segmentation Method for Seen and Unseen Wood Species Based on Domain Generalization
[IEEE] 2026-8-6 | A Look Back
[IEEE] 2026-8-6 | AUPIO-based Event-triggered Composite Anti-disturbance Intrusion-tolerant Control for VPSs Under UFDIAs and Multi-source Disturbances
[IEEE] 2026-8-6 | Data-Driven Shape Trajectory Control of Deformable Linear Objects_supp2-3715312.mp4
[IEEE] 2026-8-6 | Magnitude-Informed Permutation Entropy for remaining useful life prediction of rolling bearings
[IEEE] 2026-8-6 | Multiagent–Multilevel Coordination Based Transactive EV Charging Framework_supp1-3701625.pdf
[IEEE] 2026-8-6 | Adaptive Image Transmission Control Based on Wireless Communication Quality for Wide-Area Monitoring with Autonomous Mobile Robots
[IEEE] 2026-8-6 | Score-Based Generative Model for Wireless Channel Estimation
[IEEE] 2026-8-6 | Engineering a 5-Phase Operational Framework for Research Network Analytics: A Scalable Deployment Architecture for High-Velocity Traffic
[IEEE] 2026-8-6 | Cybersecurity is the True Frontier for Generative AI Success or Failure
[IEEE] 2026-8-6 | Tor Through the Lens of OSINT: Studying the Presence of Exit Nodes in Blocklists
[IEEE] 2026-8-6 | AI-Driven Spatiotemporal Modelling and Forecasting of Urban PM
                    <sub>2.5</sub>
                    Pollution: A Case Study
[IEEE] 2026-8-6 | FASTI: Fast and Accurate Secure Transformer Inference
[IEEE] 2026-8-6 | Conditional Flow Matching-based Semi-supervised Segmentation for Quality Assessment of Fundus Images
[ACM] 2026-8-7 | Label-consistent Clustering for Evolving Data
[ACM] 2026-8-6 | MALLES: A Multi-agent LLMs-based Economic Sandbox with Consumer Preference Alignment
